啊哑夺着死猫,a'ya'duo'zhe'si'mao
大诚商场,da'cheng'shang'chang
达濠工业区,da'hao'gong'ye'qu
达濠海马池,da'hao'hai'ma'chi
大华路口,da'hua'lu'kou
大华路南,da'hua'lu'nan
大华路中,da'hua'lu'zhong
大窖,da'jiao
大井,da'jing
大林水产,da'lin'shui'chan
大学路头,da'xue'lu'tou
埭头,dai'tou
丹霞庄,dan'xia'zhuang
丹阳庄,dan'yang'zhuang
宕石风景区,dang'shi'feng'jing'qu
宕石岭顶,dang'shi'ling'ding
德堡,de'bao
嘀嗒,di'da
地个,di'ge
帝豪酒店,di'hao'jiu'dian
第四人民医院,di'si'ren'min'yi'yuan
地甜,di'tian
睇唔对个人影,di'wu'dui'ge'ren'ying
滴硬大便,di'ying'da'bian
电大,dian'da
电视塔,dian'shi'ta
钓妞,diao'niu
叠金,die'jin
鼎柳,ding'liu
订你腰龟,ding'ni'yao'gui
东墩,dong'dun
东方公园,dong'fang'gong'yuan
东方体育乐园,dong'fang'ti'yu'le'yuan
东方温,dong'fang'wen
东风温,dong'feng'wen
东湖村,dong'hu'cun
东湖游乐场,dong'hu'you'le'chang
东里,dong'li
东厦北路,dong'xia'bei'lu
东厦路南,dong'xia'lu'nan
东厦南路中,dong'xia'nan'lu'zhong
东厦中学,dong'xia'zhong'xue
短目子,duan'mu'zi
多地块,duo'di'kuai
多地仔,duo'di'zi
二医院,er'yi'yuan
阀门厂,fa'men'chang
放尿,fang'niao
放尿放屎,fang'niao'fang'shi
放屎,fang'shi
飞达仕网吧,fei'da'shi'wang'ba
飞厦,fei'xia
飞翔网吧,fei'xiang'wang'ba
蜂星,feng'xing
丰泽花园,feng'ze'hua'yuan
浮东,fu'dong
附二,fu'er
浮景,fu'jing
浮陇,fu'long
芙蓉园,fu'rong'yuan
浮西,fu'xi
附一,fu'yi
妇幼活动中心,fu'you'huo'dong'zhong'xin
服装城,fu'zhuang'cheng
嘎嘎输,ga'ga'shu
敢敢做你来,gan'gan'zuo'ni'lai
港美站,gang'mei'zhan
高新电脑中心,gao'xin'dian'nao'zhong'xin
葛陈,ge'chen
个物,ge'wu
葛朱,ge'zhu
共和路,gong'he'lu
工人文化宫,gong'ren'wen'hua'gong
公元厂,gong'yuan'chang
公园里,gong'yuan'li
公园头,gong'yuan'tou
购书中心,gou'shu'zhong'xin
怪浪,guai'lang
官埭新乡,guan'dai'xin'xiang
官棣新乡,guan'di'xin'xiang
广场轮渡,guang'chang'lun'du
广达路,guang'da'lu
光华路东,guang'hua'lu'dong
光华路西,guang'hua'lu'xi
光华路中,guang'hua'lu'zhong
广厦新城,guang'sha'xin'cheng
广兴村,guang'xing'cun
广州酒家,guang'zhou'jiu'jia
鬼甲马到吼,gui'jia'ma'dao'hou
滚水,gun'shui
国防基地,guo'fang'ji'di
国际大酒店,guo'ji'da'jiu'dian
过气,guo'qi
粿条,guo'tiao
粿条面,guo'tiao'mian
粿条汤,guo'tiao'tang
国新花园,guo'xin'hua'yuan
粿汁,guo'zhi
海滨花园,hai'bin'hua'yuan
海军基地,hai'jun'ji'di
海旁路,hai'pang'lu
海旁路中,hai'pang'lu'zhong
海平路,hai'ping'lu
海是,hai'shi
海是做泥,hai'shi'zuo'ni
海棠园,hai'tang'yuan
海湾大桥,hai'wan'da'qiao
濠城海马池,hao'cheng'hai'ma'chi
濠城邮电局,hao'cheng'you'dian'ju
蠔粿,hao'guo
好静呕,hao'jing'ou
蚝烙,hao'lao
好扑母个,hao'pu'mu'ge
合信华美花园,he'xin'hua'mei'hua'yuan
衡山北路,heng'shan'bei'lu
衡山路花木市场,heng'shan'lu'hua'mu'shi'chang
红荔园,hong'li'yuan
红领巾路东,hong'ling'jin'lu'dong
红领巾路西,hong'ling'jin'lu'xi
红桥路,hong'qiao'lu
后日,hou'ri
护堤路南,hu'di'lu'nan
葫芦市,hu'lu'shi
礐石,hu'shi
礐石大桥,hu'shi'da'qiao
礐石轮渡,hu'shi'lun'du
华老,hua'lao
华能电厂,hua'neng'dian'chang
华侨博物馆,hua'qiao'bo'wu'guan
华侨大厦,hua'qiao'da'sha
华侨公园,hua'qiao'gong'yuan
华侨新村,hua'qiao'xin'cun
华侨医院,hua'qiao'yi'yuan
华山北路,hua'shan'bei'lu
华山南路,hua'shan'nan'lu
华山中路,hua'shan'zhong'lu
华新城,hua'xin'cheng
华新路口,hua'xin'lu'kou
花园宾馆,hua'yuan'bin'guan
花园里,hua'yuan'li
欢爱,huan'ai
环碧庄,huan'bi'zhuang
黄河路,huang'he'lu
黄山路,huang'shan'lu
汇景城,hui'jing'cheng
灰路头,hui'lu'tou
会展中心,hui'zhan'zhong'xin
火车货站,huo'che'huo'zhan
火车路,huo'che'lu
火车站,huo'che'zhan
技工学校,ji'gong'xue'xiao
鸡笼山,ji'long'shan
际人,ji'ren
极速网吧,ji'su'wang'ba
济肿肚,ji'zhong'du
家乐福,jia'le'fu
甲领扑,jia'ling'pu
甲你物去,jia'ni'wu'qu
甲人甲人尚,jia'ren'jia'ren'shang
脚村堵椅嘴堵奔,jiao'cun'du'yi'zui'du'ben
交警考场,jiao'jing'kao'chang
胶罗死,jiao'luo'si
教师公寓,jiao'shi'gong'yu
教育学院,jiao'yu'xue'yuan
金凤坛,jin'feng'tan
金海大厦,jin'hai'da'sha
金海湾大酒店,jin'hai'wan'da'jiu'dian
金湖路中,jin'hu'lu'zhong
金湖桥,jin'hu'qiao
金湖桥西,jin'hu'qiao'xi
金湖西路,jin'hu'xi'lu
金湖中路,jin'hu'zhong'lu
金陇站,jin'long'zhan
今日视线,jin'ri'shi'xian
金砂,jin'sha
金砂公园,jin'sha'gong'yuan
金砂侨社,jin'sha'qiao'she
金砂西路,jin'sha'xi'lu
金砂乡,jin'sha'xiang
金砂乡北,jin'sha'xiang'bei
金砂中路,jin'sha'zhong'lu
金山宾馆,jin'shan'bin'guan
锦泰花园,jin'tai'hua'yuan
金泰庄,jin'tai'zhuang
金涛庄,jin'tao'zhuang
金新北路,jin'xin'bei'lu
金新路北,jin'xin'lu'bei
金新路口,jin'xin'lu'kou
金新南路,jin'xin'nan'lu
金叶岛,jin'ye'dao
金玉,jin'yu
金园法院,jin'yuan'fa'yuan
金园路东,jin'yuan'lu'dong
晶华鱼丸,jing'hua'yu'wan
惊日,jing'ri
精神中心,jing'shen'zhong'xin
经纬广场,jing'wei'guang'chang
旧年,jiu'nian
就头来,jiu'tou'lai
举登站,ju'deng'zhan
聚友网吧,ju'you'wang'ba
菊园,ju'yuan
掘你灵精,jue'ni'ling'jing
卡好,ka'hao
开濠,kai'hao
哭父死母,ku'fu'si'mu
葵花园,kui'hua'yuan
莱美路口,lai'mei'lu'kou
劳教所,lao'jiao'suo
老兄,lao'xiong
乐飞轮,le'fei'lun
乐业园,le'ye'yuan
磊广路口,lei'guang'lu'kou
磊口,lei'kou
利安路,li'an'lu
利安路口,li'an'lu'kou
丽晶,li'jing
粒籽散了,li'zi'san'le
练江路口,lian'jiang'lu'kou
莲上,lian'shang
恋塘,lian'tang
莲塘新辽,lian'tang'xin'liao
莲下镇政府,lian'xia'zhen'zheng'fu
莲阳,lian'yang
莲阳东站,lian'yang'dong'zhan
两镇中学,liang'zhen'zhong'xue
良知网吧,liang'zhi'wang'ba
林百欣科技中专,lin'bai'xin'ke'ji'zhong'zhuan
林百欣中学,lin'bai'xin'zhong'xue
零点,ling'dian
陵海招待所,ling'hai'zhao'dai'suo
岭亭,ling'ting
领姨个肚,ling'yi'ge'du
领咦块几,ling'yi'kuai'ji
灵钟昵纳,ling'zhong'ni'na
龙湖宾馆,long'hu'bin'guan
龙湖村,long'hu'cun
龙湖乐园,long'hu'le'yuan
龙湖人民医院,long'hu'ren'min'yi'yuan
龙泉街道,long'quan'jie'dao
龙泉岩,long'quan'yan
陇头,long'tou
龙头,long'tou
龙祥,long'xiang
卤鹅,lu'e
卤蛴,lu'qi
庐山路口,lu'shan'lu'kou
绿茵庄,lv'yin'zhuang
妈宫站,ma'gong'zhan
吗日,ma'ri
马西,ma'xi
埋担,mai'dan
埋担这个,mai'dan'zhe'ge
鳗鱼粥,man'yu'zhou
茂洲,mao'zhou
玫瑰园,mei'gui'yuan
梅园,mei'yuan
猛猛,meng'meng
面布,mian'bu
面盆,mian'pen
乜事,mie'shi
民生档案,min'sheng'dang'an
暝暗,ming'an
暝暗仔,ming'an'zi
明珠广场,ming'zhu'guang'chang
目镜,mu'jing
目涩死,mu'se'si
木溪东口,mu'xi'dong'kou
南墩,nan'dun
南海横路,nan'hai'heng'lu
南天大酒店,nan'tian'da'jiu'dian
内充公,nei'chong'gong
你爱做泥啊,ni'ai'zuo'ni'a
你星夜啊迷,ni'xing'ye'a'mi
牛奶场,niu'nai'chang
牛肉粿条,niu'rou'guo'tiao
牛田洋,niu'tian'yang
农科所,nong'ke'suo
欧下,ou'xia
拍人,pai'ren
培英中学,pei'ying'zhong'xue
蓬州北,peng'zhou'bei
蓬州东,peng'zhou'dong
蓬州南门,peng'zhou'nan'men
破堪,po'kan
破相,po'xiang
普宁豆干,pu'ning'dou'gan
汽车总站,qi'che'zong'zhan
起来凤哇,qi'lai'feng'wa
七日红公园,qi'ri'hong'gong'yuan
岐山中学,qi'shan'zhong'xue
前沟,qian'gou
青云岩,qing'yun'yan
青州,qing'zhou
去杀,qu'sha
区政府,qu'zheng'fu
全球通大厦,quan'qiu'tong'da'sha
热电厂,re'dian'chang
人民广场,ren'min'guang'chang
日出,ri'chu
日道,ri'dao
日道头,ri'dao'tou
日落,ri'luo
如龙工业园,ru'long'gong'ye'yuan
瑞诚商场,rui'cheng'shang'chang
三和实业公司,san'he'shi'ye'gong'si
三和休闲中心,san'he'xiu'xian'zhong'xin
三联,san'lian
三联书店,san'lian'shu'dian
三桥收费处,san'qiao'shou'fei'chu
三身人,san'shen'ren
散四来,san'si'lai
桑尼公司,sang'ni'gong'si
桑浦公园,sang'pu'gong'yuan
啥做是,sha'zuo'shi
晒棚,shai'peng
汕大附属第二医院,shan'da'fu'shu'di'er'yi'yuan
汕大附属第一医院,shan'da'fu'shu'di'yi'yi'yuan
汕大附属医院,shan'da'fu'shu'yi'yuan
汕大医附二院,shan'da'yi'fu'er'yuan
山兜站,shan'dou'zhan
汕头大学,shan'tou'da'xue
汕头电厂,shan'tou'dian'chang
汕头港,shan'tou'gang
汕头日报,shan'tou'ri'bao
汕头日报社,shan'tou'ri'bao'she
汕头商场,shan'tou'shang'chang
汕头新闻,shan'tou'xin'wen
汕头医学附属二院,shan'tou'yi'xue'fu'shu'er'yuan
汕头一中,shan'tou'yi'zhong
汕头迎宾花园,shan'tou'ying'bin'hua'yuan
上等好,shang'deng'hao
商业学校,shang'ye'xue'xiao
少个物,shao'ge'wu
烧透,shao'tou
升平路,sheng'ping'lu
升平区政府,sheng'ping'qu'zheng'fu
市二医院,shi'er'yi'yuan
市福利院,shi'fu'li'yuan
市福利园,shi'fu'li'yuan
食酒,shi'jiu
食了无事,shi'le'wu'shi
世贸花园,shi'mao'hua'yuan
石炮台,shi'pao'tai
石炮台公园,shi'pao'tai'gong'yuan
市人大,shi'ren'da
市三医院,shi'san'yi'yuan
食屎,shi'shi
食水,shi'shui
市跳水馆,shi'tiao'shui'guan
食烟,shi'yan
市政府,shi'zheng'fu
收容站,shou'rong'zhan
叔恶,shu'e
爽尿,shuang'niao
水产码头,shui'chan'ma'tou
水果批发市场,shui'guo'pi'fa'shi'chang
饲鸡,si'ji
四季树,si'ji'shu
饲鸭,si'ya
饲猪,si'zhu
松山发电厂,song'shan'fa'dian'chang
塑料城,su'liao'cheng
塑料五厂,su'liao'wu'chang
塔山,ta'shan
台膏拍做迷,tai'gao'pai'zuo'mi
泰山路口,tai'shan'lu'kou
糖葱薄饼,tang'cong'bao'bing
桃园,tao'yuan
天蓝网吧,tian'lan'wang'ba
天山路,tian'shan'lu
天山路南,tian'shan'lu'nan
天山南路,tian'shan'nan'lu
天坛花园,tian'tan'hua'yuan
天竺园,tian'zhu'yuan
鮀岛,tuo'dao
鮀岛影剧院,tuo'dao'ying'ju'yuan
鮀东学校,tuo'dong'xue'xiao
鮀济中学,tuo'ji'zhong'xue
鸵南路口,tuo'nan'lu'kou
鮀浦,tuo'pu
鮀四街道,tuo'si'jie'dao
外环西路,wai'huan'xi'lu
外马路,wai'ma'lu
外马路西,wai'ma'lu'xi
外砂桥头,wai'sha'qiao'tou
外砂镇政府,wai'sha'zhen'zheng'fu
外语中专,wai'yu'zhong'zhuan
万客隆,wan'ke'long
网乐网吧,wang'le'wang'ba
文祠西,wen'ci'xi
文冠路口,wen'guan'lu'kou
沃尔玛,wo'er'ma
我喜欢说达濠话,wo'xi'huan'shuo'da'hao'hua
无变,wu'bian
无变敌吕,wu'bian'di'lv
勿除死人哪,wu'chu'si'ren'na
物了白白歇,wu'le'bai'bai'xie
无哩歇,wu'li'xie
无乜个,wu'mie'ge
无目,wu'mu
无你变,wu'ni'bian
无你个变,wu'ni'ge'bian
物你叫唔敢,wu'ni'jiao'wu'gan
物你灵钟,wu'ni'ling'zhong
五日谈,wu'ri'tan
蜈田村,wu'tian'cun
无夜无日,wu'ye'wu'ri
无影浪迹,wu'ying'lang'ji
唔知,wu'zhi
物直啊未,wu'zhi'a'wei
西堤,xi'di
溪东,xi'dong
西墩,xi'dun
西陇,xi'long
溪南镇,xi'nan'zhen
西园头,xi'yuan'tou
西园头沿江路,xi'yuan'tou'yan'jiang'lu
厦桂埔,xia'gui'pu
夏桂埔,xia'gui'pu
侠女,xia'nv
下蓬中学,xia'peng'zhong'xue
下岐,xia'qi
峡山,xia'shan
虾粥,xia'zhou
咸涩,xian'se
香江家私城,xiang'jiang'jia'si'cheng
相输,xiang'shu
小到堆,xiao'dao'dui
小到下,xiao'dao'xia
小公园,xiao'gong'yuan
小里,xiao'li
辛厝寮,xin'cuo'liao
新富华海鲜城,xin'fu'hua'hai'xian'cheng
新干线网吧,xin'gan'xian'wang'ba
新华,xin'hua
新时代,xin'shi'dai
新溪,xin'xi
新溪镇,xin'xi'zhen
新兴路,xin'xing'lu
新兴路口,xin'xing'lu'kou
行象棋,xing'xiang'qi
许个物,xu'ge'wu
亚鲁网吧,ya'lu'wang'ba
亚洲花园,ya'zhou'hua'yuan
沿江路,yan'jiang'lu
眼科中心,yan'ke'zhong'xin
砚前,yan'qian
燕山宾馆,yan'shan'bin'guan
洋滨,yang'bin
一回照大支,yi'hui'zhao'da'zhi
伊控网吧,yi'kong'wang'ba
一日,yi'ri
一夜,yi'ye
迎宾馆,ying'bin'guan
迎宾路,ying'bin'lu
迎宾路口,ying'bin'lu'kou
硬虎,ying'hu
永安村,yong'an'cun
永平路,yong'ping'lu
有变,you'bian
有变咯无,you'bian'ge'wu
有影无,you'ying'wu
渔港,yu'gang
玉井,yu'jing
雨来咯,yu'lai'ge
欲去地块,yu'qu'di'kuai
鱼粥,yu'zhou
渔洲,yu'zhou
缘份网吧,yuan'fen'wang'ba
冤屈死人,yuan'qu'si'ren
跃进路,yue'jin'lu
月浦,yue'pu
月浦中,yue'pu'zhong
早死仔,zao'si'zi
扎死人,zha'si'ren
樟林,zhang'lin
振兴路,zhen'xing'lu
振兴路口,zhen'xing'lu'kou
正大万客隆,zheng'da'wan'ke'long
肿肚,zhong'du
中国银行,zhong'guo'yin'hang
中岐,zhong'qi
中山东路,zhong'shan'dong'lu
中山公园,zhong'shan'gong'yuan
中泰花园,zhong'tai'hua'yuan
中心医院,zhong'xin'yi'yuan
珠池路东,zhu'chi'lu'dong
珠池路西,zhu'chi'lu'xi
珠池派出所,zhu'chi'pai'chu'suo
珠江路西,zhu'jiang'lu'xi
珠江路中,zhu'jiang'lu'zhong
珠津工业区,zhu'jin'gong'ye'qu
珠娘,zhu'niang
朱浦东,zhu'pu'dong
朱浦中,zhu'pu'zhong
竹围乡,zhu'wei'xiang
专爱个,zhuan'ai'ge
姿娘,zi'niang
紫云庄,zi'yun'zhuang
总工会,zong'gong'hui
