庵山,an'shan
邵武的,shao'wu'de
邵武了,shao'wu'le
邵武人,shao'wu'ren
邵武市,shao'wu'shi
邵武在线,shao'wu'zai'xian
盛海,sheng'hai
圣农,sheng'nong
省质检,sheng'zhi'jian
石陂,shi'bei
是不是咯,shi'bu'shi'ge
市立医院,shi'li'yi'yuan
十三水,shi'san'shui
石屯,shi'tun
实幼,shi'you
瘦肉羹,shou'rou'geng
书坊,shu'fang
甩趴,shuai'pa
双溪,shuang'xi
水北,shui'bei
水东,shui'dong
水吉,shui'ji
水南,shui'nan
水南桥,shui'nan'qiao
水南塔,shui'nan'ta
水尾,shui'wei
水西,shui'xi
水仙,shui'xian
顺昌,shun'chang
顺昌县,shun'chang'xian
顺阳,shun'yang
说下咯,shuo'xia'ge
四鹤,si'he
死开死开,si'kai'si'kai
死小鬼,si'xiao'gui
松溪,song'xi
松溪县,song'xi'xian
算掉,suan'diao
酸枣糕,suan'zao'gao
塔前,ta'qian
泰宁,tai'ning
躺住,tang'zhu
体育公园,ti'yu'gong'yuan
天游峰,tian'you'feng
铁城,tie'cheng
铁山,tie'shan
同城游,tong'cheng'you
桐木,tong'mu
桐木关,tong'mu'guan
同文,tong'wen
童游,tong'you
哇哟,wa'yo
晚边,wan'bian
完断,wan'duan
忘记掉,wang'ji'diao
王台,wang'tai
渭田,wei'tian
温书假,wen'shu'jia
文体路,wen'ti'lu
我在南平,wo'zai'nan'ping
我在武夷山,wo'zai'wu'yi'shan
我这下,wo'zhe'xia
五夫,wu'fu
吴家塘,wu'jia'tang
五里樟,wu'li'zhang
武夷,wu'yi
武夷宫,wu'yi'gong
武夷花园,wu'yi'hua'yuan
五一九,wu'yi'jiu
五一九路,wu'yi'jiu'lu
武夷山,wu'yi'shan
武夷山的,wu'yi'shan'de
武夷山了,wu'yi'shan'le
武夷山市,wu'yi'shan'shi
武夷新区,wu'yi'xin'qu
武夷星,wu'yi'xing
武夷学院,wu'yi'xue'yuan
武夷岩茶,wu'yi'yan'cha
无语掉,wu'yu'diao
溪东,xi'dong
西门头,xi'men'tou
溪源,xi'yuan
溪源庵,xi'yuan'an
夏道,xia'dao
下梅,xia'mei
吓死掉,xia'si'diao
峡阳,xia'yang
仙店,xian'dian
仙楼,xian'lou
仙楼山,xian'lou'shan
小茶匠,xiao'cha'jiang
小湖,xiao'hu
小舅母,xiao'jiu'mu
小南平,xiao'nan'ping
笑死掉,xiao'si'diao
小武夷,xiao'wu'yi
小圆弧,xiao'yuan'hu
小种,xiao'zhong
新大桥,xin'da'qiao
新建村,xin'jian'cun
芯线,xin'xian
星村,xing'cun
兴福兴,xing'fu'xing
徐墩,xu'dun
熏鹅,xun'e
鸭骨架,ya'gu'jia
岩茶,yan'cha
延平,yan'ping
延平区,yan'ping'qu
沿山,yan'shan
洋墩,yang'dun
洋后,yang'hou
洋口,yang'kou
杨源,yang'yuan
杨真堂,yang'zhen'tang
洋庄,yang'zhuang
一半半,yi'ban'ban
亿发,yi'fa
一线天,yi'xian'tian
印象大红袍,yin'xiang'da'hong'pao
永相逢,yong'xiang'feng
有没在,you'mei'zai
芋饺,yu'jiao
玉女峰,yu'nv'feng
玉屏桥,yu'ping'qiao
玉屏山,yu'ping'shan
元坑,yuan'keng
元坑镇,yuan'keng'zhen
悦华,yue'hua
越南粉,yue'nan'fen
云灵山,yun'ling'shan
在店铺,zai'dian'pu
在店上,zai'dian'shang
在家某,zai'jia'mou
在建瓯,zai'jian'ou
在建阳,zai'jian'yang
在南平,zai'nan'ping
在浦城,zai'pu'cheng
在三姑,zai'san'gu
在邵武,zai'shao'wu
在顺昌,zai'shun'chang
在武夷山,zai'wu'yi'shan
寨里,zhai'li
涨大水,zhang'da'shui
漳墩,zhang'dun
这几时,zhe'ji'shi
这么迟,zhe'me'chi
这么迟了,zhe'me'chi'le
镇前,zhen'qian
郑墩,zheng'dun
郑坊,zheng'fang
政和,zheng'he
政和县,zheng'he'xian
正山,zheng'shan
正山堂,zheng'shan'tang
正山小种,zheng'shan'xiao'zhong
芝华,zhi'hua
止马,zhi'ma
知者来,zhi'zhe'lai
抓来打,zhua'lai'da
锥栗,zhui'li
自承式,zi'cheng'shi
紫溪粉,zi'xi'fen
醉掉,zui'diao
做茶叶,zuo'cha'ye
做人差,zuo'ren'cha
