按劳分配规律,an'lao'fen'pei'gui'lv
金融市场,jin'rong'shi'chang
经济,jing'ji
经济范畴,jing'ji'fan'chou
经济杠杆,jing'ji'gang'gan
经济规律,jing'ji'gui'lv
经济合同,jing'ji'he'tong
经济计量学,jing'ji'ji'liang'xue
经济机制,jing'ji'ji'zhi
经济特区,jing'ji'te'qu
经济体制,jing'ji'ti'zhi
经济危机,jing'ji'wei'ji
经济系统,jing'ji'xi'tong
经济效益,jing'ji'xiao'yi
经济写作常用术语,jing'ji'xie'zuo'chang'yong'shu'yu
经济写作需要借鉴的经济思想,jing'ji'xie'zuo'xu'yao'jie'jian'de'jing'ji'si'xiang
经济新闻,jing'ji'xin'wen
经济学,jing'ji'xue
经济责任制,jing'ji'ze'ren'zhi
经济增长理论,jing'ji'zeng'zhang'li'lun
经济政策,jing'ji'zheng'ce
经济指数,jing'ji'zhi'shu
经济周期,jing'ji'zhou'qi
经营权,jing'ying'quan
凯恩斯的经济干预政策,kai'en'si'de'jing'ji'gan'yu'zheng'ce
跨国公司,kua'guo'gong'si
来料加工与进料加工,lai'liao'jia'gong'yu'jin'liao'jia'gong
劳动,lao'dong
劳动对象,lao'dong'dui'xiang
劳动价值与剩余价值学说,lao'dong'jia'zhi'yu'sheng'yu'jia'zhi'xue'shuo
劳动力,lao'dong'li
劳动密集型企业,lao'dong'mi'ji'xing'qi'ye
劳动生产率,lao'dong'sheng'chan'lv
利改税,li'gai'shui
李斯特的保护主义经济思想,li'si'te'de'bao'hu'zhu'yi'jing'ji'si'xiang
利息,li'xi
利用外资,li'yong'wai'zi
联产计酬,lian'chan'ji'chou
农本论经济思想,nong'ben'lun'jing'ji'si'xiang
农村承包经营户,nong'cun'cheng'bao'jing'ying'hu
农业产业结构,nong'ye'chan'ye'jie'gou
农业基本建设,nong'ye'ji'ben'jian'she
农业机械化,nong'ye'ji'xie'hua
农业结构,nong'ye'jie'gou
农业是国民经济基础,nong'ye'shi'guo'min'jing'ji'ji'chu
农业现代化,nong'ye'xian'dai'hua
农业新闻,nong'ye'xin'wen
农业专业化,nong'ye'zhuan'ye'hua
欧洲货币单位,ou'zhou'huo'bi'dan'wei
期货市场,qi'huo'shi'chang
企业集团,qi'ye'ji'tuan
人民币,ren'min'bi
瑞典模式,rui'dian'mo'shi
三角债,san'jiao'zhai
商品,shang'pin
商品经济,shang'pin'jing'ji
商品经济思想,shang'pin'jing'ji'si'xiang
商业利润,shang'ye'li'run
社会集团购买力,she'hui'ji'tuan'gou'mai'li
社会经济信息化,she'hui'jing'ji'xin'xi'hua
社会经济形态,she'hui'jing'ji'xing'tai
生产,sheng'chan
生产方式,sheng'chan'fang'shi
生产工具,sheng'chan'gong'ju
生产关系,sheng'chan'guan'xi
生产结构,sheng'chan'jie'gou
生产力,sheng'chan'li
生产资料,sheng'chan'zi'liao
生产资料所有制,sheng'chan'zi'liao'suo'you'zhi
市场经济,shi'chang'jing'ji
世界经济一体化理论,shi'jie'jing'ji'yi'ti'hua'li'lun
世界市场,shi'jie'shi'chang
双轨制,shuang'gui'zhi
税收,shui'shou
四个现代化,si'ge'xian'dai'hua
特别提款权,te'bie'ti'kuan'quan
通货膨胀,tong'huo'peng'zhang
通货膨胀理论,tong'huo'peng'zhang'li'lun
投入产出分析,tou'ru'chan'chu'fen'xi
投资资讯,tou'zi'zi'xun
外国独资企业,wai'guo'du'zi'qi'ye
外汇牌价,wai'hui'pai'jia
外汇收支平衡,wai'hui'shou'zhi'ping'heng
无形贸易,wu'xing'mao'yi
现金管理,xian'jin'guan'li
消费,xiao'fei
消费价格指数,xiao'fei'jia'ge'zhi'shu
消费结构,xiao'fei'jie'gou
消费信贷,xiao'fei'xin'dai
信贷,xin'dai
信贷控制,xin'dai'kong'zhi
新兴工业化国家,xin'xing'gong'ye'hua'guo'jia
信用,xin'yong
信用卡,xin'yong'ka
新自由主义经济理论,xin'zi'you'zhu'yi'jing'ji'li'lun
抑商论经济思想,yi'shang'lun'jing'ji'si'xiang
隐蔽性失业,yin'bi'xing'shi'ye
银根紧缩,yin'gen'jin'suo
英国庸俗政治经济学,ying'guo'yong'su'zheng'zhi'jing'ji'xue
硬通货,ying'tong'huo
营业税,ying'ye'shui
预算外资金,yu'suan'wai'zi'jin
再生产,zai'sheng'chan
招标与投标,zhao'biao'yu'tou'biao
治理整顿,zhi'li'zheng'dun
智能经济,zhi'neng'jing'ji
滞胀,zhi'zhang
重农学派的经济思想,zhong'nong'xue'pai'de'jing'ji'si'xiang
重商主义思想,zhong'shang'zhu'yi'si'xiang
中外合资企业,zhong'wai'he'zi'qi'ye
中外合作企业,zhong'wai'he'zuo'qi'ye
专业户,zhuan'ye'hu
资本,zi'ben
自然经济,zi'ran'jing'ji
自由主义经济思想,zi'you'zhu'yi'jing'ji'si'xiang
租赁,zu'lin
最高限价,zui'gao'xian'jia
最惠国待遇,zui'hui'guo'dai'yu
