阿米卡星,a'mi'ka'xing
地塞米松,di'sai'mi'song
滴数,di'shu
地西泮,di'xi'pan
滴眼剂,di'yan'ji
低右,di'you
低张性缺氧,di'zhang'xing'que'yang
碘酊,dian'ding
碘伏,dian'fu
电击,dian'ji
电解质紊乱,dian'jie'zhi'wen'luan
电疗,dian'liao
丁胺卡那霉素,ding'an'ka'na'mei'su
酊剂,ding'ji
丁卡,ding'ka
兜带牵引,dou'dai'qian'yin
窦房结,dou'fang'jie
杜冷丁,du'leng'ding
渎职,du'zhi
端坐呼吸,duan'zuo'hu'xi
端坐卧位,duan'zuo'wo'wei
对冷过敏,dui'leng'guo'min
多巴胺,duo'ba'an
多尿,duo'niao
多元素,duo'yuan'su
恶心,e'xin
恶性病变,e'xing'bing'bian
耳鼻喉科,er'bi'hou'ke
二级护理,er'ji'hu'li
二甲双胍,er'jia'shuang'gua
二甲医院,er'jia'yi'yuan
儿科,er'ke
耳廓,er'kuo
二联律,er'lian'lv
发绀,fa'gan
法莫替丁,fa'mo'ti'ding
发热反应,fa're'fan'ying
发生,fa'sheng
发作性睡眠,fa'zuo'xing'shui'mian
饭后,fan'hou
饭前,fan'qian
反牵引力,fan'qian'yin'li
反射性末梢血管收缩,fan'she'xing'mo'shao'xue'guan'shou'suo
反射性心率减慢,fan'she'xing'xin'lv'jian'man
翻身,fan'shen
反应蛋白,fan'ying'dan'bai
犯罪,fan'zui
方法,fang'fa
防腐,fang'fu
放射科,fang'she'ke
房室传导阻滞,fang'shi'chuan'dao'zu'zhi
防止,fang'zhi
肺部引流,fei'bu'yin'liu
肺不张,fei'bu'zhang
非快速动眼期,fei'kuai'su'dong'yan'qi
非那根,fei'na'gen
肺水肿,fei'shui'zhong
肺炎链球菌肺炎,fei'yan'lian'qiu'jun'fei'yan
非致病,fei'zhi'bing
粪便嵌塞,fen'bian'qian'sai
分泌物,fen'mi'wu
分娩,fen'mian
风湿热,feng'shi're
腹部,fu'bu
腹部检查,fu'bu'jian'cha
妇产科,fu'chan'ke
复方氨林巴比妥,fu'fang'an'lin'ba'bi'tuo
复方的,fu'fang'de
副教授,fu'jiao'shou
呋塞米,fu'sai'mi
副肾,fu'shen
扶手,fu'shou
腹痛,fu'tong
俯卧位,fu'wo'wei
腹泻,fu'xie
辅助呼吸肌,fu'zhu'hu'xi'ji
副主任护师,fu'zhu'ren'hu'shi
副主任技师,fu'zhu'ren'ji'shi
副主任医师,fu'zhu'ren'yi'shi
肝病科,gan'bing'ke
肝胆外科,gan'dan'wai'ke
感觉异常,gan'jue'yi'chang
甘露醇,gan'lu'chun
感染,gan'ran
感染性休克,gan'ran'xing'xiu'ke
肝肾功,gan'shen'gong
肛肠外科,gang'chang'wai'ke
肛门,gang'men
肛门检查,gang'men'jian'cha
高锰酸钾,gao'meng'suan'jia
高热,gao're
高血压,gao'xue'ya
个案护理,ge'an'hu'li
隔离,ge'li
跟骨,gen'gu
跟骨牵引,gen'gu'qian'yin
工会,gong'hui
公斤,gong'jin
功能低下,gong'neng'di'xia
功能制护理,gong'neng'zhi'hu'li
构成,gou'cheng
构成要素,gou'cheng'yao'su
沟通,gou'tong
股骨髁上牵引,gu'gu'ke'shang'qian'yin
骨科,gu'ke
骨盆带牵引,gu'pen'dai'qian'yin
骨盆兜悬吊牵引,gu'pen'dou'xuan'diao'qian'yin
骨牵引,gu'qian'yin
刮痧,gua'sha
拐杖,guai'zhang
观察,guan'cha
灌肠,guan'chang
灌肠剂,guan'chang'ji
关节外科,guan'jie'wai'ke
灌注流质食物,guan'zhu'liu'zhi'shi'wu
冠状动脉,guan'zhuang'dong'mai
冠状动脉痉挛,guan'zhuang'dong'mai'jing'luan
广谱抗菌,guang'pu'kang'jun
过程,guo'cheng
过敏,guo'min
过敏性休克,guo'min'xing'xiu'ke
过氧化氢,guo'yang'hua'qing
过氧乙酸,guo'yang'yi'suan
含氯消毒剂,han'lv'xiao'du'ji
含漱剂,han'shu'ji
毫克,hao'ke
毫升,hao'sheng
合剂,he'ji
合适的注射部位,he'shi'de'zhu'she'bu'wei
合适的注射器和针头,he'shi'de'zhu'she'qi'he'zhen'tou
核医学科,he'yi'xue'ke
洪脉,hong'mai
红细胞,hong'xi'bao
后倾,hou'qing
护患关系,hu'huan'guan'xi
糊剂,hu'ji
呼叫系统,hu'jiao'xi'tong
护栏,hu'lan
护理,hu'li
护理部,hu'li'bu
护理程序,hu'li'cheng'xu
护理措施,hu'li'cuo'shi
护理计划,hu'li'ji'hua
护理记录,hu'li'ji'lu
护理立法,hu'li'li'fa
护理评估,hu'li'ping'gu
护理评价,hu'li'ping'jia
护理实践活动,hu'li'shi'jian'huo'dong
护理思想,hu'li'si'xiang
护理学,hu'li'xue
护理学院,hu'li'xue'yuan
护理站,hu'li'zhan
护理诊断,hu'li'zhen'duan
护士,hu'shi
护师,hu'shi
护士条例,hu'shi'tiao'li
呼吸道分泌物干燥,hu'xi'dao'fen'mi'wu'gan'zao
呼吸道隔离,hu'xi'dao'ge'li
呼吸费力,hu'xi'fei'li
呼吸困难,hu'xi'kun'nan
呼吸频率,hu'xi'pin'lv
呼吸衰竭,hu'xi'shuai'jie
呼吸兴奋剂,hu'xi'xing'fen'ji
呼吸抑制,hu'xi'yi'zhi
划价,hua'jia
化脓,hua'nong
化学,hua'xue
化学消毒剂,hua'xue'xiao'du'ji
坏死,huai'si
坏死溃疡期,huai'si'kui'yang'qi
环丙沙星,huan'bing'sha'xing
环境,huan'jing
缓慢性心律失常,huan'man'xing'xin'lv'shi'chang
环氧乙烷,huan'yang'yi'wan
患者,huan'zhe
黄视,huang'shi
恢复健康,hui'fu'jian'kang
恢复精力,hui'fu'jing'li
恢复期,hui'fu'qi
会阴,hui'yin
混合后给予,hun'he'hou'gei'yu
昏迷,hun'mi
昏睡,hun'shui
活动受限,huo'dong'shou'xian
急腹症,ji'fu'zheng
肌苷,ji'gan
计划,ji'hua
肌力,ji'li
稽留热,ji'liu're
记录,ji'lu
肌肉注射,ji'rou'zhu'she
技士,ji'shi
技师,ji'shi
急速,ji'su
脊髓穿刺,ji'sui'chuan'ci
急性,ji'xing
急性肺水肿,ji'xing'fei'shui'zhong
急性肾功衰,ji'xing'shen'gong'shuai
急性炎症反应,ji'xing'yan'zheng'fan'ying
急诊科,ji'zhen'ke
急诊室,ji'zhen'shi
脊柱兜悬吊牵引,ji'zhu'dou'xuan'diao'qian'yin
脊柱外科,ji'zhu'wai'ke
脊椎术后,ji'zhui'shu'hou
夹板,jia'ban
甲亢,jia'kang
甲醛,jia'quan
甲乳外科,jia'ru'wai'ke
甲硝唑,jia'xiao'zuo
甲氧氯普胺,jia'yang'lv'pu'an
加至,jia'zhi
检查,jian'cha
检查回血,jian'cha'hui'xue
间隔,jian'ge
碱化尿液,jian'hua'niao'ye
健康,jian'kang
健康教育,jian'kang'jiao'yu
间羟胺,jian'qiang'an
减轻,jian'qing
减轻局部出血,jian'qing'ju'bu'chu'xie
间歇给药,jian'xie'gei'yao
间歇脉,jian'xie'mai
间歇热,jian'xie're
检验科,jian'yan'ke
讲师,jiang'shi
降温,jiang'wen
焦虑,jiao'lv
胶囊剂,jiao'nang'ji
角色,jiao'se
教授,jiao'shou
交替脉,jiao'ti'mai
矫正,jiao'zheng
解除,jie'chu
接触隔离,jie'chu'ge'li
节律,jie'lv
截石位,jie'shi'wei
禁忌症,jin'ji'zheng
金属移植,jin'shu'yi'zhi
颈部,jing'bu
胫骨结节牵引,jing'gu'jie'jie'qian'yin
静脉滴注,jing'mai'di'zhu
静脉输液,jing'mai'shu'ye
静脉推注,jing'mai'tui'zhu
静脉炎,jing'mai'yan
静脉注射,jing'mai'zhu'she
晶状体后纤维组织增生,jing'zhuang'ti'hou'xian'wei'zu'zhi'zeng'sheng
颈椎病,jing'zhui'bing
颈椎骨折,jing'zhui'gu'zhe
颈椎牵引,jing'zhui'qian'yin
救护车,jiu'hu'che
酒精擦浴,jiu'jing'ca'yu
纠酸,jiu'suan
纠正酸中毒,jiu'zheng'suan'zhong'du
局部持续缺血,ju'bu'chi'xu'que'xie
局部组织,ju'bu'zu'zhi
局部组织肿胀,ju'bu'zu'zhi'zhong'zhang
枸橼酸纳中毒,ju'yuan'suan'na'zhong'du
卡马西平,ka'ma'xi'ping
卡托普利,ka'tuo'pu'li
开放性,kai'fang'xing
开口器,kai'kou'qi
康复科,kang'fu'ke
抗过敏,kang'guo'min
抗焦虑,kang'jiao'lv
抗惊厥,kang'jing'jue
抗体,kang'ti
抗休克,kang'xiu'ke
抗血栓,kang'xue'shuan
抗组胺,kang'zu'an
抗组胺类,kang'zu'an'lei
可待因,ke'dai'yin
客观,ke'guan
客观表现,ke'guan'biao'xian
科教科,ke'jiao'ke
克拉霉素,ke'la'mei'su
可拉明,ke'la'ming
克林霉素,ke'lin'mei'su
咳痰,ke'tan
恐惧,kong'ju
空气不足,kong'qi'bu'zu
空气栓塞,kong'qi'shuan'sai
控制炎症扩散,kong'zhi'yan'zheng'kuo'san
口服,kou'fu
叩击,kou'ji
口腔护理,kou'qiang'hu'li
口腔科,kou'qiang'ke
快速动眼期,kuai'su'dong'yan'qi
溃烂,kui'lan
昆虫隔离,kun'chong'ge'li
扩管,kuo'guan
老年病科,lao'nian'bing'ke
乐果,le'guo
类风湿因子,lei'feng'shi'yin'zi
雷米封,lei'mi'feng
雷尼替丁,lei'ni'ti'ding
冷疗,leng'liao
冷霜,leng'shuang
利巴韦林,li'ba'wei'lin
利多卡因,li'duo'ka'yin
利福平,li'fu'ping
立即,li'ji
理疗,li'liao
利尿,li'niao
利尿效果,li'niao'xiao'guo
利尿作用,li'niao'zuo'yong
链霉素,lian'mei'su
林格,lin'ge
磷化锌,lin'hua'xin
林可霉素,lin'ke'mei'su
临时医嘱,lin'shi'yi'zhu
淋浴,lin'yu
临终,lin'zhong
临终关怀,lin'zhong'guan'huai
流感,liu'gan
硫酸镁,liu'suan'mei
硫酸钠,liu'suan'na
硫酸铜,liu'suan'tong
颅骨牵引,lu'gu'qian'yin
鲁米那,lu'mi'na
颅内压,lu'nei'ya
卢痛定,lu'tong'ding
洛贝林,luo'bei'lin
螺内酯,luo'nei'zhi
罗痛定,luo'tong'ding
氯苯那敏,lv'ben'na'min
氯丙嗪,lv'bing'qin
氯化钾,lv'hua'jia
麻痹,ma'bi
麻醉床,ma'zui'chuang
麻醉前给药,ma'zui'qian'gei'yao
脉搏,mai'bo
脉搏短绌,mai'bo'duan'chu
脉律,mai'lv
慢性心力衰竭,man'xing'xin'li'shuai'jie
慢性炎症,man'xing'yan'zheng
满意,man'yi
每日次,mei'ri'ci
美容科,mei'rong'ke
美托洛尔,mei'tuo'luo'er
每晚,mei'wan
每小时次,mei'xiao'shi'ci
梦游,meng'you
泌尿外科,mi'niao'wai'ke
面部,mian'bu
棉签胶布,mian'qian'jiao'bu
灭害灵,mie'hai'ling
灭菌,mie'jun
灭鼠药,mie'shu'yao
明确诊断,ming'que'zhen'duan
目的,mu'di
男性科,nan'xing'ke
脑水肿,nao'shui'zhong
脑死亡,nao'si'wang
内分泌科,nei'fen'mi'ke
内服,nei'fu
内科,nei'ke
内科学,nei'ke'xue
伲福达,ni'fu'da
尼可刹米,ni'ke'sha'mi
尼莫地平,ni'mo'di'ping
溺水,ni'shui
年老体弱,nian'lao'ti'ruo
尿常规,niao'chang'gui
尿道,niao'dao
尿失禁,niao'shi'jin
尿液,niao'ye
尿潴留,niao'zhu'liu
凝血因子,ning'xue'yin'zi
疟疾,nue'ji
诺氟沙星,nuo'fu'sha'xing
女病人,nv'bing'ren
呕吐,ou'tu
呕吐物,ou'tu'wu
排便失禁,pai'bian'shi'jin
排空气,pai'kong'qi
排尿异常,pai'niao'yi'chang
哌替啶,pai'ti'ding
排泄物,pai'xie'wu
排泄异常,pai'xie'yi'chang
膀胱,pang'guang
膀胱刺激征,pang'guang'ci'ji'zheng
配成,pei'cheng
配合,pei'he
配合胃镜,pei'he'wei'jing
喷雾剂,pen'wu'ji
皮肤科,pi'fu'ke
皮肤溃疡,pi'fu'kui'yang
疲劳,pi'lao
皮内注射,pi'nei'zhu'she
皮试,pi'shi
皮下注射,pi'xia'zhu'she
片剂,pian'ji
平喘,ping'chuan
平卧,ping'wo
扑尔敏,pu'er'min
普萘洛尔,pu'nai'luo'er
葡萄糖,pu'tao'tang
葡萄糖酸钙,pu'tao'tang'suan'gai
葡萄糖盐水,pu'tao'tang'yan'shui
普通外科,pu'tong'wai'ke
普通胰岛素,pu'tong'yi'dao'su
普外,pu'wai
脐带脱垂,qi'dai'tuo'chui
气功,qi'gong
奇脉,qi'mai
浅度溃疡期,qian'du'kui'yang'qi
千克,qian'ke
牵引,qian'yin
抢救,qiang'jiu
强烈收缩,qiang'lie'shou'suo
强心,qiang'xin
侵权行为,qin'quan'xing'wei
侵入人体,qin'ru'ren'ti
清除,qing'chu
庆大霉素,qing'da'mei'su
青光眼,qing'guang'yan
氢化物,qing'hua'wu
清理呼吸道,qing'li'hu'xi'dao
氢氯噻嗪,qing'lv'sai'qin
青霉素,qing'mei'su
请取,qing'qu
轻松,qing'song
去甲肾上腺素,qu'jia'shen'shang'xian'su
曲马多,qu'ma'duo
屈膝仰卧位,qu'xi'yang'wo'wei
取药,qu'yao
去枕卧位,qu'zhen'wo'wei
全范围关节活动,quan'fan'wei'guan'jie'huo'dong
权利,quan'li
全麻未醒,quan'ma'wei'xing
全面,quan'mian
缺损,que'sun
缺氧,que'yang
热疗,re'liao
热水袋,re'shui'dai
热水瓶,re'shui'ping
热型,re'xing
人工呼吸,ren'gong'hu'xi
人事科,ren'shi'ke
溶血,rong'xue
溶液,rong'ye
溶液剂,rong'ye'ji
肉芽组织,rou'ya'zu'zhi
乳剂,ru'ji
入院,ru'yuan
入院程序,ru'yuan'cheng'xu
软膏剂,ruan'gao'ji
软组织,ruan'zu'zhi
软组织损伤,ruan'zu'zhi'sun'shang
三查七对,san'cha'qi'dui
散剂,san'ji
三级护理,san'ji'hu'li
三甲医院,san'jia'yi'yuan
三联律,san'lian'lv
杀灭芽胞,sha'mie'ya'bao
山莨菪碱,shan'liang'dang'jian
伤寒,shang'han
上午,shang'wu
少尿,shao'niao
烧伤,shao'shang
烧伤整形科,shao'shang'zheng'xing'ke
社会,she'hui
深度,shen'du
神经内科,shen'jing'nei'ke
肾上腺素,shen'shang'xian'su
渗透性,shen'tou'xing
身心需要,shen'xin'xu'yao
慎用,shen'yong
神志,shen'zhi
生理,sheng'li
生理的需要,sheng'li'de'xu'yao
生命体征,sheng'ming'ti'zheng
升血压,sheng'xue'ya
生殖医学,sheng'zhi'yi'xue
尸斑,shi'ban
湿度,shi'du
十二指肠引流,shi'er'zhi'chang'yin'liu
石膏,shi'gao
湿化,shi'hua
尸僵,shi'jiang
尸冷,shi'leng
适量,shi'liang
食疗,shi'liao
嗜睡,shi'shui
室性自主心率,shi'xing'zi'zhu'xin'lv
食欲不振,shi'yu'bu'zhen
湿疹,shi'zhen
手术,shou'shu
手术记录,shou'shu'ji'lu
手术室,shou'shu'shi
受体阻断剂,shou'ti'zu'duan'ji
受尊重的需要,shou'zun'zhong'de'xu'yao
术后,shu'hou
疏忽大意,shu'hu'da'yi
数目,shu'mu
舒适,shu'shi
舒适性,shu'shi'xing
输血,shu'xue
输血传染病,shu'xue'chuan'ran'bing
输血反应发热,shu'xue'fan'ying'fa're
输液反应,shu'ye'fan'ying
栓剂,shuan'ji
双氢克尿塞,shuang'qing'ke'niao'sai
双眼,shuang'yan
水电解紊乱,shui'dian'jie'wen'luan
水分,shui'fen
睡眠型呼吸暂停,shui'mian'xing'hu'xi'zan'ting
睡前,shui'qian
水肿,shui'zhong
水中毒,shui'zhong'du
四肢轮扎,si'zhi'lun'zha
松弛,song'chi
速度,su'du
速尿,su'niao
所致,suo'zhi
太极拳,tai'ji'quan
胎膜早破,tai'mo'zao'po
胎位不正,tai'wei'bu'zheng
碳酸氢钠,tan'suan'qing'na
糖浆剂,tang'jiang'ji
糖尿病,tang'niao'bing
烫伤,tang'shang
糖水,tang'shui
特别,te'bie
特级护理,te'ji'hu'li
特性,te'xing
疼痛,teng'tong
体位引流,ti'wei'yin'liu
体温,ti'wen
体温不升,ti'wen'bu'sheng
体温过低,ti'wen'guo'di
体温过高,ti'wen'guo'gao
体液,ti'ye
体液隔离,ti'ye'ge'li
体质虚弱,ti'zhi'xu'ruo
调节机体酸碱度,tiao'jie'ji'ti'suan'jian'du
停药,ting'yao
听诊器,ting'zhen'qi
瞳孔,tong'kong
铜绿假单胞菌,tong'lv'jia'dan'bao'jun
头孢吡肟,tou'bao'bi'wo
头孢呋辛,tou'bao'fu'xin
头孢哌酮,tou'bao'pai'tong
头孢哌酮钠舒巴坦钠,tou'bao'pai'tong'na'shu'ba'tan'na
头孢曲松,tou'bao'qu'song
头孢噻肟,tou'bao'sai'wo
头孢他啶,tou'bao'ta'ding
头低足高位,tou'di'zu'gao'wei
头发护理,tou'fa'hu'li
头高足低位,tou'gao'zu'di'wei
头痛,tou'tong
头晕,tou'yun
图书馆,tu'shu'guan
团委,tuan'wei
推拿,tui'na
臀部,tun'bu
脱落细胞,tuo'luo'xi'bao
外科,wai'ke
外科学,wai'ke'xue
外用,wai'yong
外周血管收缩,wai'zhou'xue'guan'shou'suo
外周阻力,wai'zhou'zu'li
丸剂,wan'ji
晚间护理,wan'jian'hu'li
弯盘,wan'pan
胃肠道疾病,wei'chang'dao'ji'bing
胃肠道痉挛,wei'chang'dao'jing'luan
胃肠外科,wei'chang'wai'ke
胃肠胀气,wei'chang'zhang'qi
胃复安,wei'fu'an
微克,wei'ke
卫生法,wei'sheng'fa
微生物,wei'sheng'wu
危险三角区,wei'xian'san'jiao'qu
温度,wen'du
戊二醛,wu'er'quan
五官科,wu'guan'ke
无害程度,wu'hai'cheng'du
雾化,wu'hua
雾化吸入,wu'hua'xi'ru
无菌,wu'jun
无菌操作,wu'jun'cao'zuo
无菌技术,wu'jun'ji'shu
无菌巾,wu'jun'jin
无菌区域,wu'jun'qu'yu
无菌物品,wu'jun'wu'pin
无菌原则,wu'jun'yuan'ze
物理,wu'li
无尿,wu'niao
污染,wu'ran
无痛技术,wu'tong'ji'shu
西地兰,xi'di'lan
洗剂,xi'ji
细菌污染,xi'jun'wu'ran
细菌芽胞,xi'jun'ya'bao
细脉,xi'mai
西咪替丁,xi'mi'ti'ding
吸入,xi'ru
稀释,xi'shi
吸痰器,xi'tan'qi
系统,xi'tong
系统化,xi'tong'hua
洗胃,xi'wei
膝胸卧位,xi'xiong'wo'wei
洗眼剂,xi'yan'ji
吸氧,xi'yang
吸氧导管,xi'yang'dao'guan
下午,xia'wu
现配现用,xian'pei'xian'yong
纤维颤动,xian'wei'chan'dong
显微外科,xian'wei'wai'ke
硝苯地平,xiao'ben'di'ping
消除,xiao'chu
消毒,xiao'du
消毒隔离制度,xiao'du'ge'li'zhi'du
小剂量,xiao'ji'liang
消心痛,xiao'xin'tong
消炎痛,xiao'yan'tong
小组制护理,xiao'zu'zhi'hu'li
心包积液,xin'bao'ji'ye
心电图,xin'dian'tu
心电图输,xin'dian'tu'shu
心动过缓,xin'dong'guo'huan
心动过速,xin'dong'guo'su
心房,xin'fang
心房颤抖,xin'fang'chan'dou
心肺复苏,xin'fei'fu'su
心肺疾病,xin'fei'ji'bing
心肝肾功能不全,xin'gan'shen'gong'neng'bu'quan
心梗后合并室性心律失常,xin'geng'hou'he'bing'shi'xing'xin'lv'shi'chang
心功能室,xin'gong'neng'shi
心悸,xin'ji
心肌收缩,xin'ji'shou'suo
心理,xin'li
心理护理,xin'li'hu'li
心率呼吸,xin'lv'hu'xi
心律失常,xin'lv'shi'chang
心前区,xin'qian'qu
新生儿室,xin'sheng'er'shi
新生儿窒息,xin'sheng'er'zhi'xi
心室,xin'shi
心事颤动,xin'shi'chan'dong
心室激惹性,xin'shi'ji're'xing
心衰,xin'shuai
新斯的明,xin'si'de'ming
心跳骤停,xin'tiao'zhou'ting
心痛定,xin'tong'ding
心血管内科,xin'xue'guan'nei'ke
心源性休克,xin'yuan'xing'xiu'ke
胸腹盆腔,xiong'fu'pen'qiang
胸外按压,xiong'wai'an'ya
溴己新,xiu'ji'xin
休克,xiu'ke
休息,xiu'xi
需要层次,xu'yao'ceng'ci
需要时,xu'yao'shi
眩晕,xuan'yun
血常规,xue'chang'gui
血沉,xue'chen
血管,xue'guan
血管钳,xue'guan'qian
血红蛋白,xue'hong'dan'bai
血栓塞病,xue'shuan'sai'bing
血糖,xue'tang
血小板,xue'xiao'ban
血压,xue'ya
血压计,xue'ya'ji
血压升高,xue'ya'sheng'gao
血液,xue'ye
血液隔离,xue'ye'ge'li
血液科,xue'ye'ke
血液性缺氧,xue'ye'xing'que'yang
血液循环障碍,xue'ye'xun'huan'zhang'ai
循环性缺氧,xun'huan'xing'que'yang
压疮,ya'chuang
牙垫舌钳,ya'dian'she'qian
压力,ya'li
压力源,ya'li'yuan
压舌板,ya'she'ban
压抑,ya'yi
眼膏,yan'gao
严格,yan'ge
眼科,yan'ke
严密隔离,yan'mi'ge'li
盐水,yan'shui
盐酸溴己新,yan'suan'xiu'ji'xin
炎性浸润期,yan'xing'jin'run'qi
炎症,yan'zheng
严重,yan'zhong
洋地黄中毒,yang'di'huang'zhong'du
氧氟沙星,yang'fu'sha'xing
氧疗,yang'liao
氧疗的副作用,yang'liao'de'fu'zuo'yong
氧中毒,yang'zhong'du
腰部检查,yao'bu'jian'cha
药剂科,yao'ji'ke
药物,yao'wu
摇匀,yao'yun
腰椎骨折,yao'zhui'gu'zhe
腰椎间盘突出症,yao'zhui'jian'pan'tu'chu'zheng
腰椎牵引,yao'zhui'qian'yin
乙胺丁醇,yi'an'ding'chun
异丙嗪,yi'bing'qin
异丙肾上腺素,yi'bing'shen'shang'xian'su
异常,yi'chang
乙醇,yi'chun
易感宿主,yi'gan'su'zhu
一过性冠脉收缩,yi'guo'xing'guan'mai'shou'suo
医护关系,yi'hu'guan'xi
医患关系,yi'huan'guan'xi
以患者为中心,yi'huan'zhe'wei'zhong'xin
一级护理,yi'ji'hu'li
抑菌,yi'jun
医疗,yi'liao
依那普利,yi'na'pu'li
异山梨酯,yi'shan'li'zhi
医士,yi'shi
医师,yi'shi
意识,yi'shi
意识模糊,yi'shi'mo'hu
义务,yi'wu
医务科,yi'wu'ke
胰腺,yi'xian
医学,yi'xue
医学院,yi'xue'yuan
异烟肼,yi'yan'jing
一氧化碳中毒,yi'yang'hua'tan'zhong'du
一氧化碳自杀,yi'yang'hua'tan'zi'sha
胰液分泌,yi'ye'fen'mi
医院,yi'yuan
抑制,yi'zhi
抑制胃酸,yi'zhi'wei'suan
医嘱,yi'zhu
乙状结肠,yi'zhuang'jie'chang
吲哚美辛,yin'duo'mei'xin
音量,yin'liang
引流,yin'liu
阴囊,yin'nang
引起,yin'qi
引吐,yin'tu
罂粟碱,ying'su'jian
影像中心,ying'xiang'zhong'xin
营养不良,ying'yang'bu'liang
用法,yong'fa
油剂,you'ji
有机磷中毒,you'ji'lin'zhong'du
有机整体,you'ji'zheng'ti
有效咳嗽,you'xiao'ke'sou
右眼,you'yan
预防,yu'fang
预防压疮,yu'fang'ya'chuang
淤血红润期,yu'xue'hong'run'qi
院办,yuan'ban
院感科,yuan'gan'ke
原因,yuan'yin
孕妇,yun'fu
运用,yun'yong
暂空床,zan'kong'chuang
脏器出血,zang'qi'chu'xie
早期治疗,zao'qi'zhi'liao
责任制护理,ze'ren'zhi'hu'li
增加排血量,zeng'jia'pai'xue'liang
震荡,zhen'dang
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
枕颌带牵引,zhen'he'dai'qian'yin
枕后,zhen'hou
镇静,zhen'jing
针灸,zhen'jiu
整洁性,zheng'jie'xing
蒸馏水,zheng'liu'shui
正肾,zheng'shen
整体护理,zheng'ti'hu'li
致病,zhi'bing
直肠,zhi'chang
指骨牵引,zhi'gu'qian'yin
治疗,zhi'liao
治疗碗镊子,zhi'liao'wan'nie'zi
支气管哮喘发作,zhi'qi'guan'xiao'chuan'fa'zuo
指示,zhi'shi
止酸,zhi'suan
窒息,zhi'xi
止血,zhi'xue
