爱送不送,ai'song'bu'song
可昆明,ke'kun'ming
可要哦,ke'yao'o
可以玩啊,ke'yi'wan'a
奎香乡,kui'xiang'xiang
昆明吗,kun'ming'ma
来的很,lai'de'hen
来昭通,lai'zhao'tong
烂桑,lan'sang
烂杂种,lan'za'zhong
老说人家,lao'shuo'ren'jia
乐红,le'hong
乐红村,le'hong'cun
乐红乡,le'hong'xiang
利外村,li'wai'cun
李小翔,li'xiao'xiang
林凤,lin'feng
六门柜,liu'men'gui
柳溪,liu'xi
刘振刚,liu'zhen'gang
龙街,long'jie
龙街乡,long'jie'xiang
龙泉花园,long'quan'hua'yuan
龙头山,long'tou'shan
楼坝,lou'ba
鲁甸,lu'dian
鲁甸县,lu'dian'xian
鲁甸县委,lu'dian'xian'wei
炉房,lu'fang
炉房乡,lu'fang'xiang
露水夫妻,lu'shui'fu'qi
陆友朋,lu'you'peng
罗炳辉,luo'bing'hui
罗坎,luo'kan
罗坎镇,luo'kan'zhen
落雁乡,luo'yan'xiang
洛泽河,luo'ze'he
马湖,ma'hu
码口,ma'kou
麻柳湾,ma'liu'wan
马小佩,ma'xiao'pei
芒部,mang'bu
忙的点,mang'de'dian
冒包,mao'bao
冒牛,mao'niu
毛坪,mao'ping
茂租,mao'zu
煤厂,mei'chang
没咋个,mei'za'ge
梅志成,mei'zhi'cheng
门夹啦,men'jia'la
庙坝,miao'ba
庙沟,miao'gou
墨翰,mo'han
木杆,mu'gan
母享,mu'xiang
木卓,mu'zhuo
那哈儿,na'ha'er
那么的后市,na'me'de'hou'shi
哪一件事,na'yi'jian'shi
乃得,nai'de
乃点,nai'dian
乃给,nai'gei
乃哈,nai'ha
乃些,nai'xie
南顺城,nan'shun'cheng
你给要,ni'gei'yao
你给要来,ni'gei'yao'lai
你老者,ni'lao'zhe
你呢人,ni'ne'ren
你怕要,ni'pa'yao
你说乃,ni'shuo'nai
你要咋个,ni'yao'za'ge
你在昭通,ni'zai'zhao'tong
你在整啥子,ni'zai'zheng'sha'zi
你怎个,ni'zen'ge
牛彩网,niu'cai'wang
牛场镇,niu'chang'zhen
牛寨,niu'zhai
农转城,nong'zhuan'cheng
女扎,nv'zha
怕不可能,pa'bu'ke'neng
怕不搜,pa'bu'sou
怕得,pa'de
盘河,pan'he
坪上,ping'shang
坪子,ping'zi
泼机,po'ji
普洱镇,pu'er'zhen
巧家,qiao'jia
巧家县,qiao'jia'xian
荞山,qiao'shan
亲爱哩,qin'ai'li
青岗岭,qing'gang'ling
清官亭,qing'guan'ting
取分线,qu'fen'xian
区一中,qu'yi'zhong
去昭通,qu'zhao'tong
然后乃,ran'hou'nai
绕着点,rao'zhe'dian
认求不得,ren'qiu'bu'de
洒洒洒,sa'sa'sa
三坪,san'ping
沙坝,sha'ba
啥儿,sha'er
杉树,shan'shu
上高桥,shang'gao'qiao
上昆明,shang'kun'ming
上昭通,shang'zhao'tong
烧烤城,shao'kao'cheng
烧洋芋,shao'yang'yu
石板溪,shi'ban'xi
石坎,shi'kan
是了嘛,shi'le'ma
市司法局,shi'si'fa'ju
寿山,shou'shan
受灾,shou'zai
双河,shuang'he
水富,shui'fu
水富县,shui'fu'xian
水井湾,shui'jing'wan
水竹乡,shui'zhu'xiang
四群教育,si'qun'jiao'yu
苏甲,su'jia
苏家院,su'jia'yuan
绥江,sui'jiang
绥江县,sui'jiang'xian
梭山,suo'shan
太平村,tai'ping'cun
太平乡,tai'ping'xiang
炭山,tan'shan
滩头,tan'tou
塘房村,tang'fang'cun
田坝,tian'ba
瓦大喜,wa'da'xi
碗厂,wan'chang
万仙观,wan'xian'guan
完整吗,wan'zheng'ma
望海公园,wang'hai'gong'yuan
王汉波,wang'han'bo
王尚武,wang'shang'wu
王世生,wang'shi'sheng
为啥儿,wei'sha'er
威信的,wei'xin'de
威信县,wei'xin'xian
文吉梅,wen'ji'mei
文屏镇,wen'ping'zhen
我晓不得密码,wo'xiao'bu'de'mi'ma
我咋个了,wo'za'ge'le
我在昭通,wo'zai'zhao'tong
我只哈,wo'zhi'ha
唔啵,wu'bo
五德,wu'de
乌峰镇,wu'feng'zhen
务基,wu'ji
稀豆粉,xi'dou'fen
溪洛渡,xi'luo'du
向家坝,xiang'jia'ba
晓不得啊,xiao'bu'de'a
小草坝,xiao'cao'ba
小龙洞,xiao'long'dong
写真照片,xie'zhen'zhao'pian
新林村,xin'lin'cun
新滩,xin'tan
雄魁,xiong'kui
秀水康城,xiu'shui'kang'cheng
学庄,xue'zhuang
巡护,xun'hu
鸭子塘,ya'zi'tang
盐丰,yan'feng
岩脚,yan'jiao
盐津,yan'jin
盐津县,yan'jin'xian
盐井,yan'jing
盐井镇,yan'jing'zhen
岩口,yan'kou
炎山,yan'shan
样铲,yang'chan
杨功成,yang'gong'cheng
羊肉米线,yang'rou'mi'xian
要不像我,yao'bu'xiang'wo
要求得,yao'qiu'de
药山,yao'shan
姚系,yao'xi
要咋个,yao'za'ge
彝良,yi'liang
彝良县,yi'liang'xian
一头子,yi'tou'zi
易贤网,yi'xian'wang
永丰镇,yong'feng'zhen
永善,yong'shan
永善县,yong'shan'xian
油房,you'fang
油糕饵块,you'gao'er'kuai
渔洞,yu'dong
雨河,yu'he
浴身,yu'shen
与物质,yu'wu'zhi
余震,yu'zhen
云南省昭通市,yun'nan'sheng'zhao'tong'shi
云南昭通,yun'nan'zhao'tong
云天化,yun'tian'hua
云天化中学,yun'tian'hua'zhong'xue
咋个的,za'ge'de
咋个咯,za'ge'ge
咋个哩,za'ge'li
咋个乃,za'ge'nai
咋个说了,za'ge'shuo'le
咋个样,za'ge'yang
咋个咋个,za'ge'za'ge
在鲁甸,zai'lu'dian
在哪得,zai'na'de
灾情,zai'qing
灾区,zai'qu
在水富,zai'shui'fu
在威信,zai'wei'xin
在昭通,zai'zhao'tong
在镇雄,zai'zhen'xiong
在整啥子,zai'zheng'sha'zi
葬德,zang'de
脏个,zang'ge
怎个了,zen'ge'le
怎啥子,zen'sha'zi
扎西小学,zha'xi'xiao'xue
张俊忠,zhang'jun'zhong
找不斗,zhao'bu'dou
找斗,zhao'dou
昭通,zhao'tong
昭通的,zhao'tong'de
昭通电视台,zhao'tong'dian'shi'tai
昭通了,zhao'tong'le
昭通人,zhao'tong'ren
昭通市,zhao'tong'shi
昭通信息港,zhao'tong'xin'xi'gang
昭通学院,zhao'tong'xue'yuan
昭通一中,zhao'tong'yi'zhong
昭阳,zhao'yang
昭阳大道,zhao'yang'da'dao
昭阳区,zhao'yang'qu
昭一中,zhao'yi'zhong
昭苑,zhao'yuan
这哈儿,zhe'ha'er
这闲工夫,zhe'xian'gong'fu
这样的班,zhe'yang'de'ban
镇雄,zhen'xiong
镇雄吧,zhen'xiong'ba
镇雄县,zhen'xiong'xian
整啥子,zheng'sha'zi
只个,zhi'ge
只哈,zhi'ha
只些,zhi'xie
只种,zhi'zhong
中坝,zhong'ba
中城镇,zhong'cheng'zhen
中咀,zhong'ju
钟鸣乡,zhong'ming'xiang
中寨,zhong'zhai
珠泉,zhu'quan
珠泉路,zhu'quan'lu
朱砂洞,zhu'sha'dong
爪儿,zhua'er
