安居,an'ju
今年过的是团圆年,jin'nian'guo'de'shi'tuan'yuan'nian
靖边绘菜,jing'bian'hui'cai
就那么个,jiu'na'me'ge
九州八托二,jiu'zhou'ba'tuo'er
局劲,ju'jing
烤肉,kao'rou
可儿了,ke'er'le
瞌睡蓝,ke'shui'lan
酷啦啦,ku'la'la
啦当,la'dang
拉话,la'hua
拉里了,la'li'le
拉手手亲口口,la'shou'shou'qin'kou'kou
蓝岛,lan'dao
揽工歌,lan'gong'ge
烂货,lan'huo
拦羊,lan'yang
牢饭,lao'fan
老家亲,lao'jia'qin
劳山,lao'shan
老秧歌,lao'yang'ge
泪蛋蛋抛在沙蒿蒿林,lei'dan'dan'pao'zai'sha'hao'hao'lin
丽景花苑,li'jing'hua'yuan
李渠,li'qu
丽融,li'rong
丽融大厦,li'rong'da'sha
连翘,lian'qiao
亮点,liang'dian
亮点造型设计,liang'dian'zao'xing'she'ji
凉粉,liang'fen
凉面,liang'mian
柳林,liu'lin
洛川,luo'chuan
洛川蹩鼓,luo'chuan'bie'gu
洛川苹果,luo'chuan'ping'guo
洛川县,luo'chuan'xian
绿豆,lv'dou
驴哈的,lv'ha'de
旅游大厦,lv'you'da'sha
马家湾,ma'jia'wan
麻绳,ma'sheng
马塌,ma'ta
麻汤饭,ma'tang'fan
毛鬼神,mao'gui'shen
么麻打,me'ma'da
么门,me'men
么求意思,me'qiu'yi'si
没求意思,mei'qiu'yi'si
妹子开门来,mei'zi'kai'men'lai
猛好蓝,meng'hao'lan
梦胡,meng'hu
米汤,mi'tang
密汁南瓜,mi'zhi'nan'gua
抿节,min'jie
名贵杂豆,ming'gui'za'dou
木囊,mu'nang
哪达也不如咱这山沟沟好,na'da'ye'bu'ru'zan'zhe'shan'gou'gou'hao
哪可也,na'ke'ye
难活,nan'huo
南门坡,nan'men'po
南泥湾,nan'ni'wan
南桥,nan'qiao
闹一瓶,nao'yi'ping
你甘没事么,ni'gan'mei'shi'me
你说什嘛,ni'shuo'shen'ma
年似,nian'si
釹子,nv'zi
欧锦园,ou'jin'yuan
欧景园,ou'jing'yuan
爬远远,pa'yuan'yuan
排侃,pai'kan
匹比害菜,pi'bi'hai'cai
婆姨,po'yi
汽车南站,qi'che'nan'zhan
七里铺,qi'li'pu
钱钱饭,qian'qian'fan
悄班子些,qiao'ban'zi'xie
桥沟,qiao'gou
荞麦搅团,qiao'mai'jiao'tuan
荞麦凉粉,qiao'mai'liang'fen
荞面饸饹,qiao'mian'he'ge
悄悄的,qiao'qiao'de
情哥哥的心思猜不透,qing'ge'ge'de'xin'si'cai'bu'tou
清凉山,qing'liang'shan
求眉鼠眼,qiu'mei'shu'yan
求脑蛋子,qiu'nao'dan'zi
求势蓝,qiu'shi'lan
求势子,qiu'shi'zi
秋收,qiu'shou
球炸二五,qiu'zha'er'wu
区政府,qu'zheng'fu
热电厂,re'dian'chang
日八歘,ri'ba'chua
日把川,ri'ba'chuan
日毛个喘,ri'mao'ge'chuan
日眼,ri'yan
芮仁,rui'ren
三道巷,san'dao'xiang
三十里铺,san'shi'li'pu
骚亲,sao'qin
涩皮,se'pi
杀革,sha'ge
沙棘,sha'ji
陕北好,shan'bei'hao
陕北荞麦,shan'bei'qiao'mai
陕北秧歌,shan'bei'yang'ge
市场构,shi'chang'gou
拾掇,shi'duo
世纪龙,shi'ji'long
世纪龙网吧,shi'ji'long'wang'ba
时空,shi'kong
十里铺,shi'li'pu
失笑,shi'xiao
实验中学,shi'yan'zhong'xue
耍什么着了,shua'shen'me'zhe'le
耍一阵,shua'yi'zhen
拴整,shuan'zheng
双青豆,shuang'qing'dou
水厂,shui'chang
水世界,shui'shi'jie
说话么,shuo'hua'me
似达,si'da
酸菜面,suan'cai'mian
酸眉流眼,suan'mei'liu'yan
酸枣仁,suan'zao'ren
碎事,sui'shi
碎娃娃,sui'wa'wa
碎子,sui'zi
孙子差,sun'zi'cha
太熬蓝,tai'ao'lan
太和山,tai'he'shan
太猛蓝,tai'meng'lan
调面皮,tiao'mian'pi
豌豆,wan'dou
万花,wan'hua
万花山庄,wan'hua'shan'zhuang
玩什么着了,wan'shen'me'zhe'le
王帅,wang'shuai
王帥,wang'shuai
温莎堡,wen'sha'bao
吴起,wu'qi
吴旗铁鞭舞,wu'qi'tie'bian'wu
吴起县,wu'qi'xian
吴旗香醋,wu'qi'xiang'cu
西沟,xi'gou
想你哩,xiang'ni'li
想什么着了,xiang'shen'me'zhe'le
向阳沟,xiang'yang'gou
晓得蓝,xiao'de'lan
小东门,xiao'dong'men
小魏煎饼,xiao'wei'jian'bing
新娘百分百,xin'niang'bai'fen'bai
信天游,xin'tian'you
杏仁,xing'ren
绣金匾,xiu'jin'bian
学谎,xue'huang
亚军面皮,ya'jun'mian'pi
亚来黑老,ya'lai'hei'lao
亚圣,ya'sheng
亚圣大酒店,ya'sheng'da'jiu'dian
亚细亚面皮,ya'xi'ya'mian'pi
延安,yan'an
延安大桥,yan'an'da'qiao
延安市,yan'an'shi
延安市人民医院,yan'an'shi'ren'min'yi'yuan
延长,yan'chang
延长梆子,yan'chang'bang'zi
延长酥梨,yan'chang'su'li
延长西瓜,yan'chang'xi'gua
延长县,yan'chang'xian
延川,yan'chuan
延川红枣,yan'chuan'hong'zao
延川县,yan'chuan'xian
延大附属医院,yan'da'fu'shu'yi'yuan
延大附中,yan'da'fu'zhong
佯打各思,yang'da'ge'si
杨家岭,yang'jia'ling
洋洋务务,yang'yang'wu'wu
洋芋擦擦,yang'yu'ca'ca
洋芋叉叉,yang'yu'cha'cha
羊杂碎,yang'za'sui
姚店,yao'dian
叶沟,ye'gou
夜天,ye'tian
宜川,yi'chuan
宜川壶口酥梨,yi'chuan'hu'kou'su'li
宜川花椒,yi'chuan'hua'jiao
宜川柿子,yi'chuan'shi'zi
宜川县,yi'chuan'xian
宜川胸鼓,yi'chuan'xiong'gu
易通,yi'tong
易通网吧,yi'tong'wang'ba
茵陈,yin'chen
银海,yin'hai
银海国际大酒店,yin'hai'guo'ji'da'jiu'dian
尹家沟,yin'jia'gou
印象,yin'xiang
影剧院,ying'ju'yuan
油糕,you'gao
油馍馍,you'mo'mo
玉米,yu'mi
玉米饭,yu'mi'fan
芋头,yu'tou
育英,yu'ying
育英中学,yu'ying'zhong'xue
芸豆,yun'dou
杂了,za'le
奘蓝,zang'lan
奘蓝昂,zang'lan'ang
早起,zao'qi
枣园,zao'yuan
展趟,zhan'tang
折夺,zhe'duo
志丹,zhi'dan
志丹扇鼓,zhi'dan'shan'gu
志丹县,zhi'dan'xian
志丹羊子,zhi'dan'yang'zi
中国移动移不动,zhong'guo'yi'dong'yi'bu'dong
肿货,zhong'huo
中科,zhong'ke
中心街,zhong'xin'jie
中延国际,zhong'yan'guo'ji
子长,zi'chang
子长煎饼,zi'chang'jian'bing
子长马铃薯,zi'chang'ma'ling'shu
子长唢呐,zi'chang'suo'na
子长县,zi'chang'xian
紫胡,zi'hu
自由人网吧,zi'you'ren'wang'ba
走西口,zou'xi'kou
做甚了,zuo'shen'le
做什么着了,zuo'shen'me'zhe'le
