八王之乱爆发后,ba'wang'zhi'luan'bao'fa'hou
山西太原市南,shan'xi'tai'yuan'shi'nan
上党公,shang'dang'gong
石勒合兵,shi'le'he'bing
十六国时,shi'liu'guo'shi
是匈奴汉国,shi'xiong'nu'han'guo
首先对晋阳,shou'xian'dui'jin'yang
署他为,shu'ta'wei
属下有,shu'xia'you
司马炽,si'ma'chi
司马睿,si'ma'rui
司马业,si'ma'ye
司马颖,si'ma'ying
司马颙,si'ma'yong
死三万余人,si'san'wan'yu'ren
虽派出了援兵,sui'pai'chu'le'yuan'bing
岁时开始,sui'shi'kai'shi
岁已,sui'yi
所以太原名士,suo'yi'tai'yuan'ming'shi
所以在汉国军事,suo'yi'zai'han'guo'jun'shi
他先为,ta'xian'wei
他在政治,ta'zai'zheng'zhi
太兴元年,tai'xing'yuan'nian
太原太守,tai'yuan'tai'shou
通习经史,tong'xi'jing'shi
通悉音乐,tong'xi'yin'yue
统治之下,tong'zhi'zhi'xia
投降了汉国,tou'xiang'le'han'guo
拓跋猗卢,tuo'ba'yi'lu
弯弓,wan'gong
王浑,wang'hun
王浚,wang'jun
王弥,wang'mi
唯并州刺史,wei'bing'zhou'ci'shi
为皇后,wei'huang'hou
为皇太后,wei'huang'tai'hou
为太子,wei'tai'zi
为向导,wei'xiang'dao
文武俱佳,wen'wu'ju'jia
无端杀害后,wu'duan'sha'hai'hou
西晋部分臣属,xi'jin'bu'fen'chen'shu
骁骑别部司马,xiao'qi'bie'bu'si'ma
匈奴汉国,xiong'nu'han'guo
匈奴汉国君主,xiong'nu'han'guo'jun'zhu
匈奴人,xiong'nu'ren
匈奴右部都尉,xiong'nu'you'bu'du'wei
徐润得宠后,xu'run'de'chong'hou
学击剑,xue'ji'jian
押送汉国,ya'song'han'guo
也有些治绩,ye'you'xie'zhi'ji
以后逐渐,yi'hou'zhu'jian
已举城,yi'ju'cheng
猗卢,yi'lu
一名刘载,yi'ming'liu'zai
以子刘粲为,yi'zi'liu'can'wei
营四州军事,ying'si'zhou'jun'shi
永嘉四年,yong'jia'si'nian
永嘉五年,yong'jia'wu'nian
幽并,you'bing
又不善用人,you'bu'shan'yong'ren
由此受到刘琨,you'ci'shou'dao'liu'kun
右积弩将军,you'ji'nu'jiang'jun
又善书法,you'shan'shu'fa
有诗百余篇,you'shi'bai'yu'pian
由太子,you'tai'zi
尤为精熟,you'wei'jing'shu
幽州刺史,you'zhou'ci'shi
与匈奴,yu'xiong'nu
在当时确是一个,zai'dang'shi'que'shi'yi'ge
在江南,zai'jiang'nan
这是刘聪,zhe'shi'liu'cong
政治生涯的开端,zheng'zhi'sheng'ya'de'kai'duan
中原的衣冠士族,zhong'yuan'de'yi'guan'shi'zu
主持冀,zhu'chi'ji
字玄明,zi'xuan'ming
自幼聪慧好学,zi'you'cong'hui'hao'xue
卒于东晋元帝,zu'yu'dong'jin'yuan'di
最强盛的时期,zui'qiang'sheng'de'shi'qi
尊刘渊妻单氏,zun'liu'yuan'qi'dan'shi
