巴宾斯基征征白血病,ba'bin'si'ji'zheng'zheng'bai'xue'bing
高氧试验,gao'yang'shi'yan
革兰阴性杆菌肺炎,ge'lan'yin'xing'gan'jun'fei'yan
宫内生长迟缓,gong'nei'sheng'zhang'chi'huan
弓形虫病,gong'xing'chong'bing
钩虫病,gou'chong'bing
佝偻病,gou'lou'bing
孤立性蛋白尿,gu'li'xing'dan'bai'niao
孤立性血尿,gu'li'xing'xue'niao
骨嗜酸细胞肉芽肿,gu'shi'suan'xi'bao'rou'ya'zhong
冠状病毒,guan'zhuang'bing'du
光照疗法,guang'zhao'liao'fa
过敏性紫癜,guo'min'xing'zi'dian
过期产儿,guo'qi'chan'er
韩薛柯病,han'xue'ke'bing
红细胞葡萄糖磷酸脱氢酶,hong'xi'bao'pu'tao'tang'lin'suan'tuo'qing'mei
红细胞游离原卟啉,hong'xi'bao'you'li'yuan'bu'lin
呼吸道合胞病毒,hu'xi'dao'he'bao'bing'du
呼吸道合胞病毒肺炎,hu'xi'dao'he'bao'bing'du'fei'yan
呼吸衰竭,hu'xi'shuai'jie
呼吸暂停,hu'xi'zan'ting
化脓性脑膜炎,hua'nong'xing'nao'mo'yan
换血疗法,huan'xie'liao'fa
黄体生成素,huang'ti'sheng'cheng'su
获得性免疫缺陷综合征,huo'de'xing'mian'yi'que'xian'zong'he'zheng
基本生命支持,ji'ben'sheng'ming'zhi'chi
基础代谢率,ji'chu'dai'xie'lv
肌电图,ji'dian'tu
继发性呼吸暂停,ji'fa'xing'hu'xi'zan'ting
继发性免疫缺陷病,ji'fa'xing'mian'yi'que'xian'bing
继发性肾小球疾病,ji'fa'xing'shen'xiao'qiu'ji'bing
吉兰巴雷综合症,ji'lan'ba'lei'zong'he'zheng
寄生虫病,ji'sheng'chong'bing
激素,ji'su
脊髓灰质炎,ji'sui'hui'zhi'yan
急性肺组织胞浆菌病,ji'xing'fei'zu'zhi'bao'jiang'jun'bing
急性感染性喉炎,ji'xing'gan'ran'xing'hou'yan
急性呼吸窘迫综合症,ji'xing'hu'xi'jiong'po'zong'he'zheng
急性淋巴细胞白血病,ji'xing'lin'ba'xi'bao'bai'xue'bing
急性气管支气管炎,ji'xing'qi'guan'zhi'qi'guan'yan
急性上呼吸道感染,ji'xing'shang'hu'xi'dao'gan'ran
急性肾衰竭,ji'xing'shen'shuai'jie
急性肾小球肾炎,ji'xing'shen'xiao'qiu'shen'yan
急性粟粒性肺结核,ji'xing'su'li'xing'fei'jie'he
急性支气管炎,ji'xing'zhi'qi'guan'yan
基因组印记,ji'yin'zu'yin'ji
甲状腺功能减低症,jia'zhuang'xian'gong'neng'jian'di'zheng
甲状腺激素焦虑症,jia'zhuang'xian'ji'su'jiao'lv'zheng
家族性再发性血尿,jia'zu'xing'zai'fa'xing'xue'niao
结核病结核性脑膜炎,jie'he'bing'jie'he'xing'nao'mo'yan
近端肾小管酸中毒,jin'duan'shen'xiao'guan'suan'zhong'du
金黄色葡萄球菌肺炎,jin'huang'se'pu'tao'qiu'jun'fei'yan
惊厥,jing'jue
巨大儿,ju'da'er
巨噬细胞活化综合征,ju'shi'xi'bao'huo'hua'zong'he'zheng
巨细胞病毒感染,ju'xi'bao'bing'du'gan'ran
抗利尿激素,kang'li'niao'ji'su
抗利尿激素异常分泌综合征,kang'li'niao'ji'su'yi'chang'fen'mi'zong'he'zheng
抗生素相关性腹泻,kang'sheng'su'xiang'guan'xing'fu'xie
克氏征,ke'shi'zheng
咳嗽变异型哮喘,ke'sou'bian'yi'xing'xiao'chuan
空肠弯曲菌,kong'chang'wan'qu'jun
口服补液盐口炎,kou'fu'bu'ye'yan'kou'yan
狼疮性肾炎,lang'chuang'xing'shen'yan
朗格汉斯细胞组织细胞增多症,lang'ge'han'si'xi'bao'zu'zhi'xi'bao'zeng'duo'zheng
勒雪病联合免疫缺陷病,le'xue'bing'lian'he'mian'yi'que'xian'bing
连锁显性遗传,lian'suo'xian'xing'yi'chuan
连锁遗传,lian'suo'yi'chuan
连锁隐性遗传,lian'suo'yin'xing'yi'chuan
流行性腮腺炎,liu'xing'xing'sai'xian'yan
卵泡刺激素,luan'pao'ci'ji'su
轮状病毒,lun'zhuang'bing'du
麻疹,ma'zhen
麻疹粘膜斑,ma'zhen'nian'mo'ban
慢性肺疾病,man'xing'fei'ji'bing
毛玻璃样,mao'bo'li'yang
毛细支气管炎,mao'xi'zhi'qi'guan'yan
泌尿道感染,mi'niao'dao'gan'ran
弥散性血管内凝血,mi'san'xing'xue'guan'nei'ning'xue
觅食反射,mi'shi'fan'she
免疫,mian'yi
免疫功能低下,mian'yi'gong'neng'di'xia
免疫缺陷病,mian'yi'que'xian'bing
蛲虫病,nao'chong'bing
脑电图,nao'dian'tu
脑干,nao'gan
脑脊液,nao'ji'ye
脑室,nao'shi
脑室内出血,nao'shi'nei'chu'xue
脑实质出血,nao'shi'zhi'chu'xie
脑性瘫痪,nao'xing'tan'huan
黏多糖病,nian'duo'tang'bing
黏膜皮肤淋巴结综合征,nian'mo'pi'fu'lin'ba'jie'zong'he'zheng
念珠菌病,nian'zhu'jun'bing
尿崩症,niao'beng'zheng
尿道炎,niao'dao'yan
脓气胸,nong'qi'xiong
脓胸,nong'xiong
膀胱输尿管反流,pang'guang'shu'niao'guan'fan'liu
膀胱炎,pang'guang'yan
疱疹性口腔炎,pao'zhen'xing'kou'qiang'yan
疱疹性咽峡炎,pao'zhen'xing'yan'xia'yan
气道高反应性,qi'dao'gao'fan'ying'xing
期前收缩,qi'qian'shou'suo
脐炎,qi'yan
潜伏结核感染,qian'fu'jie'he'gan'ran
羟化酶缺乏症,qiang'hua'mei'que'fa'zheng
羟类固醇脱氢酶缺乏症,qiang'lei'gu'chun'tuo'qing'mei'que'fa'zheng
桥本甲状腺炎,qiao'ben'jia'zhuang'xian'yan
侵袭性大肠杆菌,qin'xi'xing'da'chang'gan'jun
青春期,qing'chun'qi
青年成熟期发病型糖尿病,qing'nian'cheng'shu'qi'fa'bing'xing'tang'niao'bing
曲霉菌病,qu'mei'jun'bing
全面性癫痫,quan'mian'xing'dian'xian
全身炎症反应综合征,quan'shen'yan'zheng'fan'ying'zong'he'zheng
缺铁性贫血,que'tie'xing'pin'xue
染色体病,ran'se'ti'bing
热性惊厥,re'xing'jing'jue
人类免疫缺陷病毒,ren'lei'mian'yi'que'xian'bing'du
人类偏肺病毒,ren'lei'pian'fei'bing'du
散发性先天性甲低,san'fa'xing'xian'tian'xing'jia'di
沙门菌,sha'men'jun
伤害,shang'hai
肾病综合症,shen'bing'zong'he'zheng
深部真菌病,shen'bu'zhen'jun'bing
神经性贪食症,shen'jing'xing'tan'shi'zheng
神经性厌食症,shen'jing'xing'yan'shi'zheng
神经元,shen'jing'yuan
肾小管酸中毒,shen'xiao'guan'suan'zhong'du
肾小球滤过率,shen'xiao'qiu'lv'guo'lv
肾小球肾炎,shen'xiao'qiu'shen'yan
肾盂肾炎,shen'yu'shen'yan
生理性黄疸,sheng'li'xing'huang'dan
生长迟缓,sheng'zhang'chi'huan
生长激素,sheng'zhang'ji'su
生长激素缺陷症,sheng'zhang'ji'su'que'xian'zheng
生长激素释放激素,sheng'zhang'ji'su'shi'fang'ji'su
生长激素释放抑制激素,sheng'zhang'ji'su'shi'fang'yi'zhi'ji'su
湿肺,shi'fei
室间隔缺损,shi'jian'ge'que'sun
视觉诱发电位,shi'jue'you'fa'dian'wei
室性期前收缩,shi'xing'qi'qian'shou'suo
室性心动过速,shi'xing'xin'dong'guo'su
试验,shi'yan
适于胎龄,shi'yu'tai'ling
受体拮抗剂,shou'ti'jie'kang'ji
水痘,shui'dou
水痘带状疱疹病毒,shui'dou'dai'zhuang'pao'zhen'bing'du
胎粪吸入综合征,tai'fen'xi'ru'zong'he'zheng
糖尿病,tang'niao'bing
糖原累积病,tang'yuan'lei'ji'bing
绦虫病,tao'chong'bing
特发性矮身材,te'fa'xing'ai'shen'cai
特发性性早熟,te'fa'xing'xing'zao'shu
特发性血小板减少性紫癜,te'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian
特异性烯醇化酶,te'yi'xing'xi'chun'hua'mei
体感诱发电位,ti'gan'you'fa'dian'wei
听觉诱发电位,ting'jue'you'fa'dian'wei
头颅血肿,tou'lu'xue'zhong
外周性性早熟,wai'zhou'xing'xing'zao'shu
晚期新生儿,wan'qi'xin'sheng'er
完全性大动脉转位,wan'quan'xing'da'dong'mai'zhuan'wei
未成熟儿,wei'cheng'shu'er
未结合胆红素,wei'jie'he'dan'hong'su
围生期,wei'sheng'qi
胃食管反流,wei'shi'guan'fan'liu
胃炎,wei'yan
握持反射,wo'chi'fan'she
无症状性菌尿,wu'zheng'zhuang'xing'jun'niao
物质滥用,wu'zhi'lan'yong
吸吮反射,xi'shun'fan'she
腺病毒肺炎,xian'bing'du'fei'yan
线粒体病,xian'li'ti'bing
先天性肥厚性幽门狭窄,xian'tian'xing'fei'hou'xing'you'men'xia'zhai
先天性睾丸发育不全综合征,xian'tian'xing'gao'wan'fa'yu'bu'quan'zong'he'zheng
先天性甲状腺功能减低症,xian'tian'xing'jia'zhuang'xian'gong'neng'jian'di'zheng
先天性巨结肠,xian'tian'xing'ju'jie'chang
先天性梅毒,xian'tian'xing'mei'du
先天性肾病综合症,xian'tian'xing'shen'bing'zong'he'zheng
先天性肾上腺皮质增生症,xian'tian'xing'shen'shang'xian'pi'zhi'zeng'sheng'zheng
先天性心脏病,xian'tian'xing'xin'zang'bing
哮喘持续状态,xiao'chuan'chi'xu'zhuang'tai
小儿急性中毒,xiao'er'ji'xing'zhong'du
消化性溃疡,xiao'hua'xing'kui'yang
小脑出血,xiao'nao'chu'xue
小于胎龄,xiao'yu'tai'ling
心肺复苏,xin'fei'fu'su
心理社会发育障碍,xin'li'she'hui'fa'yu'zhang'ai
心律失常,xin'lv'shi'chang
心内膜弹力纤维增生症,xin'nei'mo'tan'li'xian'wei'zeng'sheng'zheng
心内膜炎,xin'nei'mo'yan
新生儿,xin'sheng'er
新生儿败血症,xin'sheng'er'bai'xue'zheng
新生儿病理性黄疸,xin'sheng'er'bing'li'xing'huang'dan
新生儿持续肺动脉高压,xin'sheng'er'chi'xu'fei'dong'mai'gao'ya
新生儿出血症,xin'sheng'er'chu'xie'zheng
新生儿低钙血症,xin'sheng'er'di'gai'xue'zheng
新生儿低血糖,xin'sheng'er'di'xue'tang
新生儿肺炎,xin'sheng'er'fei'yan
新生儿高血糖,xin'sheng'er'gao'xue'tang
新生儿寒冷损伤综合征,xin'sheng'er'han'leng'sun'shang'zong'he'zheng
新生儿呼吸窘迫综合症,xin'sheng'er'hu'xi'jiong'po'zong'he'zheng
新生儿坏死性小肠结肠炎,xin'sheng'er'huai'si'xing'xiao'chang'jie'chang'yan
新生儿黄疸,xin'sheng'er'huang'dan
新生儿颅内出血,xin'sheng'er'lu'nei'chu'xue
新生儿破伤风,xin'sheng'er'po'shang'feng
新生儿缺氧缺血性脑病,xin'sheng'er'que'yang'que'xue'xing'nao'bing
新生儿溶血病,xin'sheng'er'rong'xue'bing
新生儿咽下综合征,xin'sheng'er'yan'xia'zong'he'zheng
新生儿衣原体感染,xin'sheng'er'yi'yuan'ti'gan'ran
新生儿硬肿症,xin'sheng'er'ying'zhong'zheng
新生儿窒息,xin'sheng'er'zhi'xi
新生儿重症监护室,xin'sheng'er'zhong'zheng'jian'hu'shi
新生儿蛛网膜下腔出血,xin'sheng'er'zhu'wang'mo'xia'qiang'chu'xie
性染色体,xing'ran'se'ti
性早熟,xing'zao'shu
血管内皮细胞,xue'guan'nei'pi'xi'bao
血浆鱼精蛋白副凝试验,xue'jiang'yu'jing'dan'bai'fu'ning'shi'yan
血尿,xue'niao
血清肌酸磷酸激酶同工酶,xue'qing'ji'suan'lin'suan'ji'mei'tong'gong'mei
血清嗜异凝集试验,xue'qing'shi'yi'ning'ji'shi'yan
血清铁,xue'qing'tie
血清铁蛋白,xue'qing'tie'dan'bai
血清总铁结合力,xue'qing'zong'tie'jie'he'li
血友病,xue'you'bing
咽结合膜热,yan'jie'he'mo're
严重急性呼吸道综合征,yan'zhong'ji'xing'hu'xi'dao'zong'he'zheng
氧疗,yang'liao
遗传病,yi'chuan'bing
遗传性代谢病,yi'chuan'xing'dai'xie'bing
遗传性球形红细胞增多症,yi'chuan'xing'qiu'xing'hong'xi'bao'zeng'duo'zheng
遗传性肾小球疾病,yi'chuan'xing'shen'xiao'qiu'ji'bing
遗传性生长激素缺乏,yi'chuan'xing'sheng'zhang'ji'su'que'fa
胰岛素依赖性糖尿病,yi'dao'su'yi'lai'xing'tang'niao'bing
乙肝病毒相关性肾炎,yi'gan'bing'du'xiang'guan'xing'shen'yan
抑郁症,yi'yu'zheng
衣原体肺炎,yi'yuan'ti'fei'yan
阴离子间隙,yin'li'zi'jian'xi
隐球菌病,yin'qiu'jun'bing
隐球菌脑膜炎,yin'qiu'jun'nao'mo'yan
婴儿肝炎综合症,ying'er'gan'yan'zong'he'zheng
婴儿痉挛,ying'er'jing'luan
硬膜下出血,ying'mo'xia'chu'xie
营养,ying'yang
营养素,ying'yang'su
营养性巨幼细胞贫血,ying'yang'xing'ju'you'xi'bao'pin'xue
营养性维生素缺乏,ying'yang'xing'wei'sheng'su'que'fa
拥抱反射,yong'bao'fan'she
幽门螺杆菌,you'men'luo'gan'jun
幼年特发性关节炎,you'nian'te'fa'xing'guan'jie'yan
远端肾小管酸中毒,yuan'duan'shen'xiao'guan'suan'zhong'du
原发型肺结核,yuan'fa'xing'fei'jie'he
原发性呼吸暂停,yuan'fa'xing'hu'xi'zan'ting
原发性免疫缺陷病,yuan'fa'xing'mian'yi'que'xian'bing
原发性肾小球疾病,yuan'fa'xing'shen'xiao'qiu'ji'bing
原发性蛛网膜下腔出血,yuan'fa'xing'zhu'wang'mo'xia'qiang'chu'xie
原发综合症,yuan'fa'zong'he'zheng
早产儿,zao'chan'er
早产儿视网膜病,zao'chan'er'shi'wang'mo'bing
早期新生儿,zao'qi'xin'sheng'er
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
正常肠道菌群,zheng'chang'chang'dao'jun'qun
正常出生体重,zheng'chang'chu'sheng'ti'zhong
正常足月儿,zheng'chang'zu'yue'er
症状性泌尿道感染,zheng'zhuang'xing'mi'niao'dao'gan'ran
致病性大肠杆菌,zhi'bing'xing'da'chang'gan'jun
支气管充气征,zhi'qi'guan'chong'qi'zheng
支气管肺发育不良,zhi'qi'guan'fei'fa'yu'bu'liang
支气管肺炎,zhi'qi'guan'fei'yan
支气管哮喘,zhi'qi'guan'xiao'chuan
质子泵抑制剂,zhi'zi'beng'yi'zhi'ji
中毒型细菌性痢疾,zhong'du'xing'xi'jun'xing'li'ji
中枢神经系统白血病,zhong'shu'shen'jing'xi'tong'bai'xue'bing
中枢性性早熟,zhong'shu'xing'xing'zao'shu
中性温度,zhong'xing'wen'du
重症肌无力,zhong'zheng'ji'wu'li
转铁蛋白,zhuan'tie'dan'bai
紫癜性肾炎,zi'dian'xing'shen'yan
综合管理,zong'he'guan'li
综合征,zong'he'zheng
足月儿,zu'yue'er
组织胞浆菌病,zu'zhi'bao'jiang'jun'bing
组织细胞增生症,zu'zhi'xi'bao'zeng'sheng'zheng
