包括邓小平理论,bao'kuo'deng'xiao'ping'li'lun
以及其他,yi'ji'qi'ta
以经济建设为中心,yi'jing'ji'jian'she'wei'zhong'xin
以科学发展为主题,yi'ke'xue'fa'zhan'wei'zhu'ti
以人为本,yi'ren'wei'ben
亿万人民,yi'wan'ren'min
与时俱进,yu'shi'ju'jin
再分配,zai'fen'pei
在内的,zai'nei'de
怎样建设社会主义,zen'yang'jian'she'she'hui'zhu'yi
政治建设,zheng'zhi'jian'she
政治体制,zheng'zhi'ti'zhi
政治协商制度,zheng'zhi'xie'shang'zhi'du
制度创新,zhi'du'chuang'xin
执政规律,zhi'zheng'gui'lv
重大作用,zhong'da'zuo'yong
中国共产党,zhong'guo'gong'chan'dang
中国特色,zhong'guo'te'se
中国特色社会主义,zhong'guo'te'se'she'hui'zhu'yi
中华民族伟大复兴,zhong'hua'min'zu'wei'da'fu'xing
逐步实现,zhu'bu'shi'xian
主人翁精神,zhu'ren'weng'jing'shen
着力解决,zhuo'li'jie'jue
自我完善和发展,zi'wo'wan'shan'he'fa'zhan
总布局,zong'bu'ju
总任务,zong'ren'wu
总依据,zong'yi'ju
