安伏乡安川村,an'fu'xiang'an'chuan'cun
王窑乡漆老村,wang'yao'xiang'qi'lao'cun
王窑乡乔庙村,wang'yao'xiang'qiao'miao'cun
王窑乡山场村,wang'yao'xiang'shan'chang'cun
王窑乡石沟村,wang'yao'xiang'shi'gou'cun
王窑乡王窑村村,wang'yao'xiang'wang'yao'cun'cun
王窑乡魏湾村,wang'yao'xiang'wei'wan'cun
王窑乡下湾村,wang'yao'xiang'xia'wan'cun
王窑乡小湾河村,wang'yao'xiang'xiao'wan'he'cun
王窑乡崖湾村,wang'yao'xiang'ya'wan'cun
王窑乡阎山村,wang'yao'xiang'yan'shan'cun
王窑乡杨何村,wang'yao'xiang'yang'he'cun
王窑乡阴湾村,wang'yao'xiang'yin'wan'cun
王窑乡雨伯村,wang'yao'xiang'yu'bo'cun
王窑乡张洼村,wang'yao'xiang'zhang'wa'cun
王尹乡包全村,wang'yin'xiang'bao'quan'cun
王尹乡草湾村,wang'yin'xiang'cao'wan'cun
王尹乡成小村,wang'yin'xiang'cheng'xiao'cun
王尹乡傅山村,wang'yin'xiang'fu'shan'cun
王尹乡郭山村,wang'yin'xiang'guo'shan'cun
王尹乡郭湾村,wang'yin'xiang'guo'wan'cun
王尹乡郝康村,wang'yin'xiang'hao'kang'cun
王尹乡胡家坪村,wang'yin'xiang'hu'jia'ping'cun
王尹乡李磨村,wang'yin'xiang'li'mo'cun
王尹乡李庄村,wang'yin'xiang'li'zhuang'cun
王尹乡马河村,wang'yin'xiang'ma'he'cun
王尹乡马山村,wang'yin'xiang'ma'shan'cun
王尹乡孟河村,wang'yin'xiang'meng'he'cun
王尹乡南瓦村,wang'yin'xiang'nan'wa'cun
王尹乡全家窑村,wang'yin'xiang'quan'jia'yao'cun
王尹乡孙湾村,wang'yin'xiang'sun'wan'cun
王尹乡陶杨村,wang'yin'xiang'tao'yang'cun
王尹乡王川村,wang'yin'xiang'wang'chuan'cun
王尹乡王庙村,wang'yin'xiang'wang'miao'cun
王尹乡王新庄村,wang'yin'xiang'wang'xin'zhuang'cun
王尹乡西王村,wang'yin'xiang'xi'wang'cun
王尹乡姚家沟村,wang'yin'xiang'yao'jia'gou'cun
王尹乡尹川村,wang'yin'xiang'yin'chuan'cun
王尹乡张底村,wang'yin'xiang'zhang'di'cun
王尹乡赵梁村,wang'yin'xiang'zhao'liang'cun
王尹乡总门村,wang'yin'xiang'zong'men'cun
魏店乡陈寨村,wei'dian'xiang'chen'zhai'cun
魏店乡陈庄村,wei'dian'xiang'chen'zhuang'cun
魏店乡大湾村,wei'dian'xiang'da'wan'cun
魏店乡吊川村,wei'dian'xiang'diao'chuan'cun
魏店乡董家湾村,wei'dian'xiang'dong'jia'wan'cun
魏店乡伏河村,wei'dian'xiang'fu'he'cun
魏店乡伏峡村,wei'dian'xiang'fu'xia'cun
魏店乡侯坪村,wei'dian'xiang'hou'ping'cun
魏店乡化屲村,wei'dian'xiang'hua'wa'cun
魏店乡蒋台村,wei'dian'xiang'jiang'tai'cun
魏店乡焦湾村,wei'dian'xiang'jiao'wan'cun
魏店乡康家坡村,wei'dian'xiang'kang'jia'po'cun
魏店乡梨树梁村,wei'dian'xiang'li'shu'liang'cun
魏店乡刘岔村,wei'dian'xiang'liu'cha'cun
魏店乡刘家四嘴村,wei'dian'xiang'liu'jia'si'zui'cun
魏店乡陇滩村,wei'dian'xiang'long'tan'cun
魏店乡龙王庙村,wei'dian'xiang'long'wang'miao'cun
魏店乡庞沟村,wei'dian'xiang'pang'gou'cun
魏店乡任学村,wei'dian'xiang'ren'xue'cun
魏店乡山上湾村,wei'dian'xiang'shan'shang'wan'cun
魏店乡双石村,wei'dian'xiang'shuang'shi'cun
魏店乡孙阴屲村,wei'dian'xiang'sun'yin'wa'cun
魏店乡孙庄村,wei'dian'xiang'sun'zhuang'cun
魏店乡田山村,wei'dian'xiang'tian'shan'cun
魏店乡王家窑村,wei'dian'xiang'wang'jia'yao'cun
魏店乡魏南村,wei'dian'xiang'wei'nan'cun
魏店乡魏坡村,wei'dian'xiang'wei'po'cun
魏店乡武华村,wei'dian'xiang'wu'hua'cun
魏店乡辛屲村,wei'dian'xiang'xin'wa'cun
魏店乡貟湾村,wei'dian'xiang'yuan'wan'cun
魏店乡张家坪村,wei'dian'xiang'zhang'jia'ping'cun
魏店乡张家坡村,wei'dian'xiang'zhang'jia'po'cun
魏店乡张家寨村,wei'dian'xiang'zhang'jia'zhai'cun
五营乡安山村,wu'ying'xiang'an'shan'cun
五营乡北坡村,wu'ying'xiang'bei'po'cun
五营乡蔡河村,wu'ying'xiang'cai'he'cun
五营乡蔡仁村,wu'ying'xiang'cai'ren'cun
五营乡陈峡村,wu'ying'xiang'chen'xia'cun
五营乡敦厚村,wu'ying'xiang'dun'hou'cun
五营乡何洼村,wu'ying'xiang'he'wa'cun
五营乡花双村,wu'ying'xiang'hua'shuang'cun
五营乡焦沟村,wu'ying'xiang'jiao'gou'cun
五营乡罗湾村,wu'ying'xiang'luo'wan'cun
五营乡雒塬村,wu'ying'xiang'luo'yuan'cun
五营乡马川村,wu'ying'xiang'ma'chuan'cun
五营乡麻沟村,wu'ying'xiang'ma'gou'cun
五营乡马小村,wu'ying'xiang'ma'xiao'cun
五营乡邵店村,wu'ying'xiang'shao'dian'cun
五营乡胜利村,wu'ying'xiang'sheng'li'cun
五营乡王店村,wu'ying'xiang'wang'dian'cun
五营乡王家阳屲村,wu'ying'xiang'wang'jia'yang'wa'cun
五营乡王屲村,wu'ying'xiang'wang'wa'cun
五营乡魏山村,wu'ying'xiang'wei'shan'cun
五营乡西坡村,wu'ying'xiang'xi'po'cun
五营乡徐屲村,wu'ying'xiang'xu'wa'cun
五营乡薛李村,wu'ying'xiang'xue'li'cun
五营乡阎沟村,wu'ying'xiang'yan'gou'cun
五营乡杨山村,wu'ying'xiang'yang'shan'cun
五营乡杨湾村,wu'ying'xiang'yang'wan'cun
五营乡腰庄村,wu'ying'xiang'yao'zhuang'cun
五营乡鱼尾村,wu'ying'xiang'yu'wei'cun
五营乡袁庄村,wu'ying'xiang'yuan'zhuang'cun
五营乡张塬村,wu'ying'xiang'zhang'yuan'cun
五营乡赵宋村,wu'ying'xiang'zhao'song'cun
五营乡赵王村,wu'ying'xiang'zhao'wang'cun
西川镇安家湾村,xi'chuan'zhen'an'jia'wan'cun
西川镇安坪村,xi'chuan'zhen'an'ping'cun
西川镇曹家洼村,xi'chuan'zhen'cao'jia'wa'cun
西川镇川口村,xi'chuan'zhen'chuan'kou'cun
西川镇歹家窑村,xi'chuan'zhen'dai'jia'yao'cun
西川镇冯家山村,xi'chuan'zhen'feng'jia'shan'cun
西川镇高堡村,xi'chuan'zhen'gao'bao'cun
西川镇郭家山村,xi'chuan'zhen'guo'jia'shan'cun
西川镇何湾村,xi'chuan'zhen'he'wan'cun
西川镇侯辛村,xi'chuan'zhen'hou'xin'cun
西川镇姜堡村,xi'chuan'zhen'jiang'bao'cun
西川镇姜湾村,xi'chuan'zhen'jiang'wan'cun
西川镇焦山村,xi'chuan'zhen'jiao'shan'cun
西川镇进马山村,xi'chuan'zhen'jin'ma'shan'cun
西川镇李堡村,xi'chuan'zhen'li'bao'cun
西川镇李洼村,xi'chuan'zhen'li'wa'cun
西川镇梁山村,xi'chuan'zhen'liang'shan'cun
西川镇刘家沟村,xi'chuan'zhen'liu'jia'gou'cun
西川镇雒堡村,xi'chuan'zhen'luo'bao'cun
西川镇雒川村,xi'chuan'zhen'luo'chuan'cun
西川镇上高堡村,xi'chuan'zhen'shang'gao'bao'cun
西川镇神明川村,xi'chuan'zhen'shen'ming'chuan'cun
西川镇水沟村,xi'chuan'zhen'shui'gou'cun
西川镇宋场村,xi'chuan'zhen'song'chang'cun
西川镇宋峡村,xi'chuan'zhen'song'xia'cun
西川镇孙嘴村,xi'chuan'zhen'sun'zui'cun
西川镇王堡村,xi'chuan'zhen'wang'bao'cun
西川镇王家牌楼村,xi'chuan'zhen'wang'jia'pai'lou'cun
西川镇王家小庄村,xi'chuan'zhen'wang'jia'xiao'zhuang'cun
西川镇王湾村,xi'chuan'zhen'wang'wan'cun
西川镇王峡村,xi'chuan'zhen'wang'xia'cun
西川镇吴川村,xi'chuan'zhen'wu'chuan'cun
西川镇吴洼村,xi'chuan'zhen'wu'wa'cun
西川镇下王峡村,xi'chuan'zhen'xia'wang'xia'cun
西川镇小寨村,xi'chuan'zhen'xiao'zhai'cun
西川镇鸭儿沟村,xi'chuan'zhen'ya'er'gou'cun
西川镇鸦湾村,xi'chuan'zhen'ya'wan'cun
西川镇张坪村,xi'chuan'zhen'zhang'ping'cun
西川镇张坡村,xi'chuan'zhen'zhang'po'cun
西川镇张新村,xi'chuan'zhen'zhang'xin'cun
西川镇折桥村,xi'chuan'zhen'zhe'qiao'cun
西川镇郑桥村,xi'chuan'zhen'zheng'qiao'cun
西川镇周家峡口村,xi'chuan'zhen'zhou'jia'xia'kou'cun
兴丰乡安湾村,xing'feng'xiang'an'wan'cun
兴丰乡拔湾村,xing'feng'xiang'ba'wan'cun
兴丰乡董家大庄村,xing'feng'xiang'dong'jia'da'zhuang'cun
兴丰乡范山村,xing'feng'xiang'fan'shan'cun
兴丰乡傅寨村,xing'feng'xiang'fu'zhai'cun
兴丰乡古湾村,xing'feng'xiang'gu'wan'cun
兴丰乡何杨村,xing'feng'xiang'he'yang'cun
兴丰乡槐树村,xing'feng'xiang'huai'shu'cun
兴丰乡槐阳村,xing'feng'xiang'huai'yang'cun
兴丰乡李家山村,xing'feng'xiang'li'jia'shan'cun
兴丰乡那坡村,xing'feng'xiang'na'po'cun
兴丰乡三图村,xing'feng'xiang'san'tu'cun
兴丰乡上陈村,xing'feng'xiang'shang'chen'cun
兴丰乡石屲村,xing'feng'xiang'shi'wa'cun
兴丰乡兴丰村,xing'feng'xiang'xing'feng'cun
兴丰乡燕湾村,xing'feng'xiang'yan'wan'cun
兴丰乡阳坡村,xing'feng'xiang'yang'po'cun
兴丰乡阴屲村,xing'feng'xiang'yin'wa'cun
兴丰乡张庄村,xing'feng'xiang'zhang'zhuang'cun
兴丰乡震霖村,xing'feng'xiang'zhen'lin'cun
兴丰乡郑峡村,xing'feng'xiang'zheng'xia'cun
兴丰乡朱李村,xing'feng'xiang'zhu'li'cun
兴丰乡褚湾村,xing'feng'xiang'zhu'wan'cun
兴国镇北大村,xing'guo'zhen'bei'da'cun
兴国镇蔡店村,xing'guo'zhen'cai'dian'cun
兴国镇蔡山村,xing'guo'zhen'cai'shan'cun
兴国镇蔡小村,xing'guo'zhen'cai'xiao'cun
兴国镇丰乐村,xing'guo'zhen'feng'le'cun
兴国镇凤山村,xing'guo'zhen'feng'shan'cun
兴国镇高坪村,xing'guo'zhen'gao'ping'cun
兴国镇何川村,xing'guo'zhen'he'chuan'cun
兴国镇贾川村,xing'guo'zhen'jia'chuan'cun
兴国镇康坡村,xing'guo'zhen'kang'po'cun
兴国镇康湾村,xing'guo'zhen'kang'wan'cun
兴国镇李家河村,xing'guo'zhen'li'jia'he'cun
兴国镇李山村,xing'guo'zhen'li'shan'cun
兴国镇茂林村,xing'guo'zhen'mao'lin'cun
兴国镇庙嘴村,xing'guo'zhen'miao'zui'cun
兴国镇南关村,xing'guo'zhen'nan'guan'cun
兴国镇彭家坪,xing'guo'zhen'peng'jia'ping
兴国镇十里铺村,xing'guo'zhen'shi'li'pu'cun
兴国镇宋洼村,xing'guo'zhen'song'wa'cun
兴国镇孙蔡村,xing'guo'zhen'sun'cai'cun
兴国镇王坪村,xing'guo'zhen'wang'ping'cun
兴国镇王新村,xing'guo'zhen'wang'xin'cun
兴国镇蔚林村,xing'guo'zhen'wei'lin'cun
兴国镇贤门村,xing'guo'zhen'xian'men'cun
兴国镇小湾村,xing'guo'zhen'xiao'wan'cun
兴国镇邢泉村,xing'guo'zhen'xing'quan'cun
兴国镇邢湾村,xing'guo'zhen'xing'wan'cun
兴国镇杨坪村,xing'guo'zhen'yang'ping'cun
兴国镇腰崖村,xing'guo'zhen'yao'ya'cun
兴国镇依仁村,xing'guo'zhen'yi'ren'cun
兴国镇映南村,xing'guo'zhen'ying'nan'cun
兴国镇枣滩村,xing'guo'zhen'zao'tan'cun
兴国镇张磨村,xing'guo'zhen'zhang'mo'cun
兴国镇赵湾村,xing'guo'zhen'zhao'wan'cun
兴国镇郑川村,xing'guo'zhen'zheng'chuan'cun
兴国镇周家庄,xing'guo'zhen'zhou'jia'zhuang
叶堡乡蔡家牌楼村,ye'bao'xiang'cai'jia'pai'lou'cun
叶堡乡程沟村,ye'bao'xiang'cheng'gou'cun
叶堡乡程家崖湾村,ye'bao'xiang'cheng'jia'ya'wan'cun
叶堡乡东升村,ye'bao'xiang'dong'sheng'cun
叶堡乡窦家沟村,ye'bao'xiang'dou'jia'gou'cun
叶堡乡何李村,ye'bao'xiang'he'li'cun
叶堡乡何坪村,ye'bao'xiang'he'ping'cun
叶堡乡侯滩村,ye'bao'xiang'hou'tan'cun
叶堡乡金城村,ye'bao'xiang'jin'cheng'cun
叶堡乡李坪村,ye'bao'xiang'li'ping'cun
叶堡乡马庙村,ye'bao'xiang'ma'miao'cun
叶堡乡庞宋村,ye'bao'xiang'pang'song'cun
叶堡乡钱坪村,ye'bao'xiang'qian'ping'cun
叶堡乡三棵树村,ye'bao'xiang'san'ke'shu'cun
叶堡乡师河村,ye'bao'xiang'shi'he'cun
叶堡乡王沟村,ye'bao'xiang'wang'gou'cun
叶堡乡王坡村,ye'bao'xiang'wang'po'cun
叶堡乡吴沟村,ye'bao'xiang'wu'gou'cun
