按层,an'ceng
二维贴图,er'wei'tie'tu
发光强度,fa'guang'qiang'du
发光贴图,fa'guang'tie'tu
发射器,fa'she'qi
法线,fa'xian
泛动力学导向器,fan'dong'li'xue'dao'xiang'qi
泛方向导向器,fan'fang'xiang'dao'xiang'qi
泛光灯,fan'guang'deng
反光化,fan'guang'hua
泛光化,fan'guang'hua
范围,fan'wei
反向,fan'xiang
反向运动学,fan'xiang'yun'dong'xue
反向运动学混合,fan'xiang'yun'dong'xue'hun'he
反向运动学解决方案,fan'xiang'yun'dong'xue'jie'jue'fang'an
反向运动学目标,fan'xiang'yun'dong'xue'mu'biao
繁殖粒子,fan'zhi'li'zi
纺锤,fang'chui
仿射变换,fang'she'bian'huan
方向行为,fang'xiang'xing'wei
放样,fang'yang
放置灯光和摄影机,fang'zhi'deng'guang'he'she'ying'ji
非活动足迹,fei'huo'dong'zu'ji
非均匀有理数样条线,fei'jun'yun'you'li'shu'yang'tiao'xian
非均匀有理样条线曲面,fei'jun'yun'you'li'yang'tiao'xian'qu'mian
分辨率,fen'bian'lv
分段,fen'duan
分割,fen'ge
封套,feng'tao
父对象,fu'dui'xiang
复合材质,fu'he'cai'zhi
复合对象,fu'he'dui'xiang
附件,fu'jian
父粒子,fu'li'zi
辅助对象,fu'zhu'dui'xiang
伽马校正,ga'ma'jiao'zheng
高光度设置,gao'guang'du'she'zhi
高光颜色,gao'guang'yan'shai
高级光线跟踪,gao'ji'guang'xian'gen'zong
高级照明,gao'ji'zhao'ming
跟随对象,gen'sui'dui'xiang
功能曲线,gong'neng'qu'xian
工作流程,gong'zuo'liu'cheng
工作台,gong'zuo'tai
骨骼,gu'ge
孤立当前选择,gu'li'dang'qian'xuan'ze
关键点,guan'jian'dian
关键帧,guan'jian'zhen
关键帧模式,guan'jian'zhen'mo'shi
光度学,guang'du'xue
光能传递,guang'neng'chuan'di
光能传解决方案,guang'neng'chuan'jie'jue'fang'an
光贴图,guang'tie'tu
光通量,guang'tong'liang
光线跟踪,guang'xian'gen'zong
光线跟踪加速,guang'xian'gen'zong'jia'su
光线跟踪偏移,guang'xian'gen'zong'pian'yi
光线跟踪阴影,guang'xian'gen'zong'yin'ying
光学度,guang'xue'du
光泽度和高光度设置,guang'ze'du'he'gao'guang'du'she'zhi
光子贴图,guang'zi'tie'tu
规格化样条线,gui'ge'hua'yang'tiao'xian
轨迹,gui'ji
轨迹视图,gui'ji'shi'tu
轨迹视图层次图标,gui'ji'shi'tu'ceng'ci'tu'biao
轨迹组,gui'ji'zu
国家电视标准委员会,guo'jia'dian'shi'biao'zhun'wei'yuan'hui
过滤,guo'lv
过滤不透明性,guo'lv'bu'tou'ming'xing
过滤色,guo'lv'se
焊接,han'jie
合成,he'cheng
合成贴图,he'cheng'tie'tu
横截面,heng'jie'mian
忽略背面,hu'lue'bei'mian
滑动步进,hua'dong'bu'jin
滑块,hua'kuai
环境光,huan'jing'guang
环境光颜色,huan'jing'guang'yan'shai
环境贴图,huan'jing'tie'tu
环形,huan'xing
环形结,huan'xing'jie
回避行为,hui'bi'xing'wei
绘制选择区域,hui'zhi'xuan'ze'qu'yu
混合,hun'he
混合对象,hun'he'dui'xiang
活动,huo'dong
活动链接,huo'dong'lian'jie
活动时间段,huo'dong'shi'jian'duan
火焰,huo'yan
基础样条线,ji'chu'yang'tiao'xian
几何学原语,ji'he'xue'yuan'yu
基于路径对象,ji'yu'lu'jing'dui'xiang
腱部,jian'bu
减缓曲线,jian'huan'qu'xian
剪辑控制器,jian'ji'kong'zhi'qi
间接照明,jian'jie'zhao'ming
剪切,jian'qie
剪切平面,jian'qie'ping'mian
减少的不透明度,jian'shao'de'bu'tou'ming'du
脚本,jiao'ben
脚本包文件,jiao'ben'bao'wen'jian
脚本编辑器窗口,jiao'ben'bian'ji'qi'chuang'kou
脚本工具面板,jiao'ben'gong'ju'mian'ban
脚本化行为,jiao'ben'hua'xing'wei
脚部状态,jiao'bu'zhuang'tai
角度,jiao'du
交互式渲染器,jiao'hu'shi'xuan'ran'qi
胶片颗粒,jiao'pian'ke'li
焦散,jiao'san
接触,jie'chu
接触对象,jie'chu'dui'xiang
节点,jie'dian
解冻,jie'dong
结合,jie'he
解决方案,jie'jue'fang'an
接收焦散,jie'shou'jiao'san
景深,jing'shen
镜像,jing'xiang
就位模式,jiu'wei'mo'shi
局部,ju'bu
局部事件,ju'bu'shi'jian
局部坐标系,ju'bu'zuo'biao'xi
锯齿,ju'chi
聚光,ju'guang
聚光区,ju'guang'qu
矩形选择区域,ju'xing'xuan'ze'qu'yu
抗锯齿,kang'ju'chi
可编辑多边形,ke'bian'ji'duo'bian'xing
可编辑面片,ke'bian'ji'mian'pian
可编辑网格,ke'bian'ji'wang'ge
可变形,ke'bian'xing
可变形封套,ke'bian'xing'feng'tao
空间扭曲,kong'jian'niu'qu
空间扭曲行为,kong'jian'niu'qu'xing'wei
控制点,kong'zhi'dian
控制顶点,kong'zhi'ding'dian
控制晶格,kong'zhi'jing'ge
控制器,kong'zhi'qi
快速切片,kuai'su'qie'pian
快速渲染,kuai'su'xuan'ran
快速渲染初始化和更新,kuai'su'xuan'ran'chu'shi'hua'he'geng'xin
块索引,kuai'suo'yin
冷材质,leng'cai'zhi
棱柱,leng'zhu
粒子爆炸,li'zi'bao'zha
粒子级别,li'zi'ji'bie
粒子流,li'zi'liu
粒子图表,li'zi'tu'biao
粒子系统,li'zi'xi'tong
粒子云,li'zi'yun
链接,lian'jie
链接的几何体,lian'jie'de'ji'he'ti
链接约束,lian'jie'yue'shu
连续性,lian'xu'xing
连续性级别,lian'xu'xing'ji'bie
涟漪,lian'yi
亮度,liang'du
量角器,liang'jiao'qi
两足动物,liang'zu'dong'wu
两足动物重放,liang'zu'dong'wu'chong'fang
两足动物动态,liang'zu'dong'wu'dong'tai
路径,lu'jing
路径跟随,lu'jing'gen'sui
路径追随行为,lu'jing'zhui'sui'xing'wei
轮廓,lun'kuo
马达,ma'da
漫步行为,man'bu'xing'wei
漫反射颜色,man'fan'she'yan'shai
漫游信息,man'you'xin'xi
面光源,mian'guang'yuan
面片,mian'pian
面片变形,mian'pian'bian'xing
面片栅格,mian'pian'shan'ge
面状,mian'zhuang
明暗器,ming'an'qi
摩擦,mo'ca
末端效应器,mo'duan'xiao'ying'qi
模糊,mo'hu
模糊偏移,mo'hu'pian'yi
模式,mo'shi
模型,mo'xing
目标,mu'biao
目标焊接,mu'biao'han'jie
牛顿,niu'dun
扭曲链接,niu'qu'lian'jie
排斥行为,pai'chi'xing'wei
喷射,pen'she
批处理渲染,pi'chu'li'xuan'ran
匹配帧,pi'pei'zhen
偏移,pian'yi
平衡轨迹,ping'heng'gui'ji
平衡因素,ping'heng'yin'su
平滑度,ping'hua'du
平滑组,ping'hua'zu
平面化,ping'mian'hua
平面角度,ping'mian'jiao'du
平面镜,ping'mian'jing
平铺镜像,ping'pu'jing'xiang
平行光,ping'xing'guang
启动脚本,qi'dong'jiao'ben
期间,qi'jian
棋盘格,qi'pan'ge
墙查找行为,qiang'cha'zhao'xing'wei
墙排除行为,qiang'pai'chu'xing'wei
切角,qie'jiao
切线,qie'xian
穹顶摄像机,qiong'ding'she'xiang'ji
曲面,qu'mian
曲面获得行为,qu'mian'huo'de'xing'wei
曲面追随行为,qu'mian'zhui'sui'xing'wei
曲线,qu'xian
曲线编辑器,qu'xian'bian'ji'qi
曲线视图,qu'xian'shi'tu
取消隐藏,qu'xiao'yin'cang
区域灯光,qu'yu'deng'guang
区域泛光灯,qu'yu'fan'guang'deng
区域聚光灯,qu'yu'ju'guang'deng
区域阴影,qu'yu'yin'ying
全动力学导向器,quan'dong'li'xue'dao'xiang'qi
全景导出器,quan'jing'dao'chu'qi
全局光,quan'ju'guang
全局轨迹,quan'ju'gui'ji
全局事件,quan'ju'shi'jian
全局运动剪辑控制器,quan'ju'yun'dong'jian'ji'kong'zhi'qi
权重曲线,quan'zhong'qu'xian
群组,qun'zu
群组系统,qun'zu'xi'tong
热材质,re'cai'zhi
认知控制器,ren'zhi'kong'zhi'qi
日志文件,ri'zhi'wen'jian
熔合,rong'he
容器,rong'qi
软管,ruan'guan
软选择,ruan'xuan'ze
散布,san'bu
散焦,san'jiao
三角形面片,san'jiao'xing'mian'pian
三维贴图,san'wei'tie'tu
三向投影视图,san'xiang'tou'ying'shi'tu
扫描线渲染器,sao'miao'xian'xuan'ran'qi
色调,se'diao
色调饱和度,se'diao'bao'he'du
栅格对齐,shan'ge'dui'qi
栅格对象,shan'ge'dui'xiang
摄像机点,she'xiang'ji'dian
摄影机,she'ying'ji
设置,she'zhi
生成动画,sheng'cheng'dong'hua
生成焦散,sheng'cheng'jiao'san
矢代,shi'dai
矢代次数,shi'dai'ci'shu
事件,shi'jian
时间段,shi'jian'duan
时间感应器,shi'jian'gan'ying'qi
事件级别,shi'jian'ji'bie
事件显示,shi'jian'xian'shi
世界空间,shi'jie'kong'jian
世界空间修改器,shi'jie'kong'jian'xiu'gai'qi
世界坐标系,shi'jie'zuo'biao'xi
视口背景,shi'kou'bei'jing
视口渲染器,shi'kou'xuan'ran'qi
实例,shi'li
矢量场,shi'liang'chang
矢量场的空间扭曲,shi'liang'chang'de'kong'jian'niu'qu
矢量和矢量控制柄,shi'liang'he'shi'liang'kong'zhi'bing
矢量控制柄,shi'liang'kong'zhi'bing
适配变形,shi'pei'bian'xing
视频安全框,shi'pin'an'quan'kuang
实时,shi'shi
视野,shi'ye
十字叉,shi'zi'cha
首顶点,shou'ding'dian
输出,shu'chu
输入,shu'ru
输入事件,shu'ru'shi'jian
属性骨骼,shu'xing'gu'ge
数值,shu'zhi
枢轴门,shu'zhou'men
衰减,shuai'jian
衰减区,shuai'jian'qu
双版本文件,shuang'ban'ben'wen'jian
双脚支撑周期,shuang'jiao'zhi'cheng'zhou'qi
双面,shuang'mian
水滴网格,shui'di'wang'ge
说明面板,shuo'ming'mian'ban
四边形面片,si'bian'xing'mian'pian
四元树,si'yuan'shu
速度插值,su'du'cha'zhi
速度改变行为,su'du'gai'bian'xing'wei
塌陷,ta'xian
抬高,tai'gao
太阳光,tai'yang'guang
弹出按钮,tan'chu'an'niu
弹簧,tan'huang
套索选择区域,tao'suo'xuan'ze'qu'yu
特点体形模式,te'dian'ti'xing'mo'shi
体积光,ti'ji'guang
体积雾,ti'ji'wu
体形标志,ti'xing'biao'zhi
体形模式,ti'xing'mo'shi
天光,tian'guang
调整特色姿态,tiao'zheng'te'se'zi'tai
贴图,tie'tu
贴图材质,tie'tu'cai'zhi
贴图偏移,tie'tu'pian'yi
贴图缩放器,tie'tu'suo'fang'qi
贴图通道,tie'tu'tong'dao
贴图坐标,tie'tu'zuo'biao
停靠,ting'kao
通用命名约定,tong'yong'ming'ming'yue'ding
头对象,tou'dui'xiang
透明通道,tou'ming'tong'dao
投射,tou'she
投射修改器,tou'she'xiu'gai'qi
透视视图,tou'shi'shi'tu
投影灯,tou'ying'deng
图表编辑器,tu'biao'bian'ji'qi
凸出,tu'chu
凸出角度,tu'chu'jiao'du
图解视图,tu'jie'shi'tu
凸面外壳属性,tu'mian'wai'ke'shu'xing
图像运动模糊,tu'xiang'yun'dong'mo'hu
图形合并,tu'xing'he'bing
图形和样条线,tu'xing'he'yang'tiao'xian
图形缓冲区,tu'xing'huan'chong'qu
推拉门,tui'la'men
推力,tui'li
腿运动定位,tui'yun'dong'ding'wei
拓扑,tuo'pu
外部参考文件,wai'bu'can'kao'wen'jian
外部参照,wai'bu'can'zhao
弯曲链接,wan'qu'lian'jie
万向,wan'xiang
网格,wang'ge
网格化,wang'ge'hua
网格平滑,wang'ge'ping'hua
网络管理器,wang'luo'guan'li'qi
网络渲染,wang'luo'xuan'ran
网络渲染服务器,wang'luo'xuan'ran'fu'wu'qi
伪彩色曝光控制,wei'cai'se'bao'guang'kong'zhi
围栏选择区域,wei'lan'xuan'ze'qu'yu
位图,wei'tu
位置约束,wei'zhi'yue'shu
文件,wen'jian
纹理元素,wen'li'yuan'su
涡轮平滑,wo'lun'ping'hua
雾环境,wu'huan'jing
物理摄像机,wu'li'she'xiang'ji
无模式,wu'mo'shi
细胞,xi'bao
细化,xi'hua
线光源,xian'guang'yuan
线框,xian'kuang
线框模式,xian'kuang'mo'shi
线性曝光控制,xian'xing'bao'guang'kong'zhi
向量场,xiang'liang'chang
橡皮圈模式,xiang'pi'quan'mo'shi
像素,xiang'su
相位交替线,xiang'wei'jiao'ti'xian
形体空间,xing'ti'kong'jian
行为,xing'wei
行星,xing'xing
行走张力,xing'zou'zhang'li
修改器,xiu'gai'qi
修改器堆栈,xiu'gai'qi'dui'zhan
虚拟对象,xu'ni'dui'xiang
悬空周期,xuan'kong'zhou'qi
渲染场景,xuan'ran'chang'jing
渲染到纹理,xuan'ran'dao'wen'li
漩涡,xuan'wo
选项标记,xuan'xiang'biao'ji
选择并操纵,xuan'ze'bing'cao'zong
旋转约束,xuan'zhuan'yue'shu
循环,xun'huan
颜色映射,yan'shai'ying'she
样式父级,yang'shi'fu'ji
样条线,yang'tiao'xian
样条线动态,yang'tiao'xian'dong'tai
依赖于拓扑结构修改器,yi'lai'yu'tuo'pu'jie'gou'xiu'gai'qi
异面体,yi'mian'ti
隐藏,yin'cang
隐藏对象,yin'cang'dui'xiang
音频剪辑,yin'pin'jian'ji
引擎,yin'qing
阴影,yin'ying
阴影贴图,yin'ying'tie'tu
阴影贴图文件,yin'ying'tie'tu'wen'jian
荧光,ying'guang
映射,ying'she
映射表,ying'she'biao
应用式,ying'yong'shi
应用式反向动力学,ying'yong'shi'fan'xiang'dong'li'xue
油罐,you'guan
优先级,you'xian'ji
预乘阿尔法,yu'cheng'a'er'fa
原点,yuan'dian
圆角,yuan'jiao
元素,yuan'su
圆形选择区域,yuan'xing'xuan'ze'qu'yu
圆锥体角度,yuan'zhui'ti'jiao'du
约束,yue'shu
约束点,yue'shu'dian
运动捕获,yun'dong'bu'huo
运动合成,yun'dong'he'cheng
运动混合,yun'dong'hun'he
运动混合器,yun'dong'hun'he'qi
运动剪辑,yun'dong'jian'ji
运动流,yun'dong'liu
运动流编辑器,yun'dong'liu'bian'ji'qi
运动流脚本,yun'dong'liu'jiao'ben
运动模糊,yun'dong'mo'hu
运动文件,yun'dong'wen'jian
运动学链,yun'dong'xue'lian
噪波,zao'bo
增加的不透明度,zeng'jia'de'bu'tou'ming'du
增强曲线,zeng'qiang'qu'xian
障碍回避行为,zhang'ai'hui'bi'xing'wei
张力,zhang'li
照度,zhao'du
折叠门,zhe'die'men
遮罩,zhe'zhao
真彩色,zhen'cai'se
帧缓冲区,zhen'huan'chong'qu
帧速率,zhen'su'lv
侦听器窗口,zhen'ting'qi'chuang'kou
正交视图,zheng'jiao'shi'tu
正向,zheng'xiang
正向运动,zheng'xiang'yun'dong
正向运动学,zheng'xiang'yun'dong'xue
支撑期间,zhi'cheng'qi'jian
置换,zhi'huan
指南针,zhi'nan'zhen
指数,zhi'shu
质心坐标,zhi'xin'zuo'biao
重力,zhong'li
重力加速度,zhong'li'jia'su'du
重力矢量,zhong'li'shi'liang
重心,zhong'xin
中心轴,zhong'xin'zhou
种子值,zhong'zi'zhi
轴点,zhou'dian
轴旋转,zhou'xuan'zhuan
轴中心,zhou'zhong'xin
主块运动剪辑控制器,zhu'kuai'yun'dong'jian'ji'kong'zhi'qi
主栅格,zhu'shan'ge
注视对象,zhu'shi'dui'xiang
专业布尔,zhuan'ye'bu'er
自动曝光控制,zi'dong'bao'guang'kong'zhi
自动边,zi'dong'bian
自动栅格,zi'dong'shan'ge
子对象,zi'dui'xiang
子对象级别,zi'dui'xiang'ji'bie
自发光,zi'fa'guang
姿势,zi'shi
自适应,zi'shi'ying
自适应降级,zi'shi'ying'jiang'ji
自适应锁定,zi'shi'ying'suo'ding
自适应细分,zi'shi'ying'xi'fen
自适应准蒙特卡洛,zi'shi'ying'zhun'meng'te'ka'luo
姿态,zi'tai
自由形式动画,zi'you'xing'shi'dong'hua
自由形式方法,zi'you'xing'shi'fang'fa
纵横比,zong'heng'bi
阻力,zu'li
阻尼器,zu'ni'qi
最终聚集,zui'zhong'ju'ji
坐标,zuo'biao
坐标空间,zuo'biao'kong'jian
