八大家,ba'da'jia
忙撒子,mang'sa'zi
忙着在,mang'zhe'zai
毛纺小区,mao'fang'xiao'qu
茅坪,mao'ping
猫人,mao'ren
么这样,me'zhe'yang
没得们,mei'de'men
没得玩的,mei'de'wan'de
没跌,mei'die
美尔雅,mei'er'ya
媚俩娃,mei'lia'wa
没求得,mei'qiu'de
没谈朋友,mei'tan'peng'you
孟楼,meng'lou
米公,mi'gong
米公祠,mi'gong'ci
米公路,mi'gong'lu
米庄,mi'zhuang
庙滩,miao'tan
民发天地,min'fa'tian'di
明的,ming'de
明儿的,ming'er'de
缪斯,miu'si
莫搞,mo'gao
莫还行,mo'hai'xing
莫理他,mo'li'ta
墨水湖,mo'shui'hu
莫这样,mo'zhe'yang
那俩娃,na'lia'wa
那娃子,na'wa'zi
纳薇,na'wei
那我睡得,na'wo'shui'de
那咋搞,na'za'gao
南河,nan'he
南湖广场,nan'hu'guang'chang
男娃子,nan'wa'zi
南望山,nan'wang'shan
南一中,nan'yi'zhong
南营,nan'ying
南漳,nan'zhang
南漳县,nan'zhang'xian
脑壳子,nao'ke'zi
脑扣,nao'kou
内环路,nei'huan'lu
嫩长,nen'chang
嫩多,nen'duo
嫩多人,nen'duo'ren
嫩狠,nen'hen
嫩快,nen'kuai
嫩爽,nen'shuang
嫩远,nen'yuan
你斗,ni'dou
你都是个,ni'dou'shi'ge
你干嘛在,ni'gan'ma'zai
泥咀,ni'ju
你来了吧,ni'lai'le'ba
你明的,ni'ming'de
你去武汉,ni'qu'wu'han
你谈朋友,ni'tan'peng'you
你天门,ni'tian'men
你娃子,ni'wa'zi
你玩的好的,ni'wan'de'hao'de
你屋的,ni'wu'de
你晓得吧,ni'xiao'de'ba
你咋搞,ni'za'gao
你在嘎子,ni'zai'ga'zi
你在哪撒,ni'zai'na'sa
你在武汉,ni'zai'wu'han
你在襄樊,ni'zai'xiang'fan
你在咋,ni'zai'za
牛首,niu'shou
牛首镇,niu'shou'zhen
牛杂面,niu'za'mian
女人爱饰界,nv'ren'ai'shi'jie
欧庙,ou'miao
牌坊湾,pai'fang'wan
潘台,pan'tai
庞公,pang'gong
片片鱼,pian'pian'yu
平林,ping'lin
璞河,pu'he
七方,qi'fang
七里庙,qi'li'miao
麒麟路,qi'lin'lu
汽院,qi'yuan
掐不住,qia'bu'zhu
前进路,qian'jin'lu
欠死你,qian'si'ni
乔营,qiao'ying
清河口,qing'he'kou
清潭,qing'tan
求吧,qiu'ba
秋风路,qiu'feng'lu
求哟,qiu'yo
去北街,qu'bei'jie
去十堰,qu'shi'yan
去武汉,qu'wu'han
去武汉了,qu'wu'han'le
去襄樊,qu'xiang'fan
去襄阳,qu'xiang'yang
去宜昌,qu'yi'chang
去枣阳,qu'zao'yang
全忠,quan'zhong
热干,re'gan
认得吧,ren'de'ba
人来撒,ren'lai'sa
日白扯,ri'bai'che
日限额,ri'xian'e
荣军医院,rong'jun'yi'yuan
软黄,ruan'huang
撒时,sa'shi
撒时间,sa'shi'jian
撒样的,sa'yang'de
撒咋,sa'za
撒子撒,sa'zi'sa
三道河,san'dao'he
三眼桥,san'yan'qiao
三元路,san'yuan'lu
沙店,sha'dian
砂锅面,sha'guo'mian
山水檀溪,shan'shui'tan'xi
上班去的,shang'ban'qu'de
尚一特,shang'yi'te
神龙架,shen'long'jia
什么撒,shen'me'sa
盛康,sheng'kang
胜利街,sheng'li'jie
盛特,sheng'te
盛特区,sheng'te'qu
生娃子,sheng'wa'zi
省线,sheng'xian
试车场,shi'che'chang
是滴撒,shi'di'sa
石花,shi'hua
石花镇,shi'hua'zhen
世纪金源,shi'ji'jin'yuan
世界城,shi'jie'cheng
十里铺,shi'li'pu
是求得,shi'qiu'de
食神,shi'shen
十堰,shi'yan
十堰的,shi'yan'de
十堰了,shi'yan'le
十一局,shi'yi'ju
施营,shi'ying
寿康,shou'kang
双沟,shuang'gou
双沟镇,shuang'gou'zhen
睡觉滴,shui'jiao'di
睡觉来的,shui'jiao'lai'de
睡觉去的,shui'jiao'qu'de
睡觉在,shui'jiao'zai
水镜,shui'jing
水镜庄,shui'jing'zhuang
睡来的,shui'lai'de
水星台,shui'xing'tai
说到玩,shuo'dao'wan
说到玩的,shuo'dao'wan'de
四方山,si'fang'shan
四美塘,si'mei'tang
寺坪,si'ping
死娃子,si'wa'zi
松鹤路,song'he'lu
酸浆面,suan'jiang'mian
随州,sui'zhou
随州了,sui'zhou'le
孙庄,sun'zhuang
他不搞,ta'bu'gao
太平店,tai'ping'dian
泰跃,tai'yue
抬庄,tai'zhuang
谈朋友,tan'peng'you
谈朋友了,tan'peng'you'le
谈朋友没,tan'peng'you'mei
檀溪,tan'xi
唐白河,tang'bai'he
唐店,tang'dian
唐梓山,tang'zi'shan
特奥,te'ao
体型好,ti'xing'hao
体育队,ti'yu'dui
天点,tian'dian
天济,tian'ji
天天福,tian'tian'fu
铁路文化宫,tie'lu'wen'hua'gong
铁伊人,tie'yi'ren
同济堂,tong'ji'tang
土狗子,tu'gou'zi
图马,tu'ma
团山,tuan'shan
团山镇,tuan'shan'zhen
娃子,wa'zi
娃子们,wa'zi'men
玩的伴,wan'de'ban
玩的好的,wan'de'hao'de
玩好的,wan'hao'de
玩撒子,wan'sa'zi
玩啥子,wan'sha'zi
万山,wan'shan
王超群,wang'chao'qun
网格员,wang'ge'yuan
王家台,wang'jia'tai
王家湾,wang'jia'wan
旺前,wang'qian
王寨,wang'zhai
魏庄,wei'zhuang
我吃饭的,wo'chi'fan'de
我吃饭来的,wo'chi'fan'lai'de
我吃饭去的,wo'chi'fan'qu'de
我出门的,wo'chu'men'de
我斗,wo'dou
我今的,wo'jin'de
我今里,wo'jin'li
卧龙镇,wo'long'zhen
我明的,wo'ming'de
我起床的,wo'qi'chuang'de
我去吃饭的,wo'qu'chi'fan'de
我去武汉,wo'qu'wu'han
我去洗的,wo'qu'xi'de
我去洗澡的,wo'qu'xi'zao'de
我睡的啊,wo'shui'de'a
我睡滴,wo'shui'di
我睡觉的,wo'shui'jiao'de
我睡觉来的,wo'shui'jiao'lai'de
我谈朋友,wo'tan'peng'you
我天门,wo'tian'men
我娃子,wo'wa'zi
我玩的好的,wo'wan'de'hao'de
我屋的,wo'wu'de
我洗澡去的,wo'xi'zao'qu'de
我先睡的,wo'xian'shui'de
我先下的,wo'xian'xia'de
我小爹,wo'xiao'die
我要的好的,wo'yao'de'hao'de
我也睡的,wo'ye'shui'de
我咋搞,wo'za'gao
我在湖北,wo'zai'hu'bei
我在襄樊,wo'zai'xiang'fan
我在襄阳,wo'zai'xiang'yang
窝子面,wo'zi'mian
我昨的,wo'zuo'de
武安镇,wu'an'zhen
武当山,wu'dang'shan
屋的,wu'de
吴店,wu'dian
武汉啊,wu'han'a
武汉不,wu'han'bu
武汉回来,wu'han'hui'lai
武汉了,wu'han'le
伍家岗,wu'jia'gang
吴家山,wu'jia'shan
吴家湾,wu'jia'wan
屋里玩,wu'li'wan
无求聊,wu'qiu'liao
武商,wu'shang
武商量贩,wu'shang'liang'fan
武泰闸,wu'tai'zha
五条路,wu'tiao'lu
舞阳坝,wu'yang'ba
武职,wu'zhi
西关口,xi'guan'kou
习家池,xi'jia'chi
西门桥,xi'men'qiao
洗去的,xi'qu'de
吸引人气,xi'yin'ren'qi
洗澡来的,xi'zao'lai'de
洗澡去的,xi'zao'qu'de
下河,xia'he
峡口,xia'kou
夏之梦,xia'zhi'meng
鲜橙,xian'cheng
现代城,xian'dai'cheng
仙人渡,xian'ren'du
岘山,xian'shan
襄北,xiang'bei
襄城,xiang'cheng
襄城区,xiang'cheng'qu
襄大,xiang'da
襄樊,xiang'fan
襄樊啊,xiang'fan'a
襄樊吧,xiang'fan'ba
襄樊的,xiang'fan'de
襄樊话,xiang'fan'hua
襄樊了,xiang'fan'le
襄樊吗,xiang'fan'ma
襄樊人,xiang'fan'ren
襄樊市,xiang'fan'shi
襄樊学院,xiang'fan'xue'yuan
襄江,xiang'jiang
香水河,xiang'shui'he
襄阳,xiang'yang
襄阳城,xiang'yang'cheng
襄阳的,xiang'yang'de
襄阳东,xiang'yang'dong
襄阳公园,xiang'yang'gong'yuan
襄阳了,xiang'yang'le
襄阳区,xiang'yang'qu
襄阳人,xiang'yang'ren
襄阳市,xiang'yang'shi
襄阳四中,xiang'yang'si'zhong
襄阳天气,xiang'yang'tian'qi
襄阳五中,xiang'yang'wu'zhong
襄阳一中,xiang'yang'yi'zhong
襄职,xiang'zhi
襄州,xiang'zhou
襄州区,xiang'zhou'qu
小白象,xiao'bai'xiang
小北街,xiao'bei'jie
小店子,xiao'dian'zi
小爹,xiao'die
小管家,xiao'guan'jia
小何村,xiao'he'cun
小何西村,xiao'he'xi'cun
肖家台,xiao'jia'tai
小俩娃,xiao'lia'wa
销售王,xiao'shou'wang
小娃子,xiao'wa'zi
肖湾,xiao'wan
小溪塔,xiao'xi'ta
肖堰,xiao'yan
歇马,xie'ma
歇马镇,xie'ma'zhen
谢湾,xie'wan
新富贵,xin'fu'gui
新合作,xin'he'zuo
新华市场,xin'hua'shi'chang
新集,xin'ji
信你的邪,xin'ni'de'xie
新武商,xin'wu'shang
新五中,xin'wu'zhong
幸福小区,xing'fu'xiao'qu
星火路,xing'huo'lu
兴隆镇,xing'long'zhen
雄楚,xiong'chu
雄楚大道,xiong'chu'da'dao
熊河,xiong'he
熊集,xiong'ji
熊集镇,xiong'ji'zhen
徐家棚,xu'jia'peng
薛集,xue'ji
学里,xue'li
雪美,xue'mei
薛坪,xue'ping
鸭唇王,ya'chun'wang
沿河路,yan'he'lu
沿江大道,yan'jiang'da'dao
艳阳天,yan'yang'tian
杨当,yang'dang
杨家湾,yang'jia'wan
姚岗,yao'gang
窑湾,yao'wan
夜蚊子,ye'wen'zi
宜昌了,yi'chang'le
宜城,yi'cheng
宜城的,yi'cheng'de
宜城了,yi'cheng'le
宜城市,yi'cheng'shi
宜都,yi'du
怡谷,yi'gu
一伙子,yi'huo'zi
一景,yi'jing
夷陵区,yi'ling'qu
一桥,yi'qiao
一桥头,yi'qiao'tou
一特,yi'te
一医院,yi'yi'yuan
艺苑,yi'yuan
音乐风,yin'yue'feng
邮电街,you'dian'jie
优录,you'lu
余岗,yu'gang
余家湖,yu'jia'hu
鱼梁洲,yu'liang'zhou
玉泉寺,yu'quan'si
羽绒袄,yu'rong'ao
峪山,yu'shan
育婴房,yu'ying'fang
咋法,za'fa
咋搞,za'gao
咋搞啊,za'gao'a
咋搞了,za'gao'le
咋搞里,za'gao'li
咋搞撒,za'gao'sa
咋可能来,za'ke'neng'lai
咋老,za'lao
咋了怕,za'le'pa
咋了撒,za'le'sa
咋了啥,za'le'sha
咋没的,za'mei'de
咋撒,za'sa
在吧,zai'ba
在吧在吧,zai'ba'zai'ba
在保康,zai'bao'kang
在北街,zai'bei'jie
在恩施,zai'en'shi
再尔,zai'er
再尔广场,zai'er'guang'chang
在嘎子,zai'ga'zi
在搞撒子,zai'gao'sa'zi
在谷城,zai'gu'cheng
在汉阳,zai'han'yang
在河口,zai'he'kou
在荆门,zai'jing'men
在哪撒,zai'na'sa
在南漳,zai'nan'zhang
在十堰,zai'shi'yan
在屋的,zai'wu'de
在屋滴,zai'wu'di
在想到,zai'xiang'dao
在襄樊,zai'xiang'fan
在襄阳,zai'xiang'yang
在宜城,zai'yi'cheng
在咋,zai'za
在枣阳,zai'zao'yang
枣阳,zao'yang
枣阳的,zao'yang'de
枣阳了,zao'yang'le
枣阳市,zao'yang'shi
造业,zao'ye
造业啊,zao'ye'a
怎么了撒,zen'me'le'sa
闸口,zha'kou
张集,zhang'ji
张家集,zhang'jia'ji
张湾,zhang'wan
张湾镇,zhang'wan'zhen
张营,zhang'ying
找包,zhao'bao
昭明台,zhao'ming'tai
找求不到,zhao'qiu'bu'dao
这伙子,zhe'huo'zi
这娃子,zhe'wa'zi
真话的,zhen'hua'de
真武山,zhen'wu'shan
政法街,zheng'fa'jie
正快,zheng'kuai
枝城,zhi'cheng
直个,zhi'ge
职工街,zhi'gong'jie
至于吧,zhi'yu'ba
中天街,zhong'tian'jie
仲宣楼,zhong'xuan'lou
轴承厂,zhou'cheng'chang
诸葛亮广场,zhu'ge'liang'guang'chang
朱集,zhu'ji
竹林桥,zhu'lin'qiao
住哪在,zhu'na'zai
竹山,zhu'shan
抓花,zhua'hua
专班,zhuan'ban
追日,zhui'ri
追日路,zhui'ri'lu
准备睡得,zhun'bei'shui'de
准备睡觉的,zhun'bei'shui'jiao'de
卓刀泉,zhuo'dao'quan
紫盖山,zi'gai'shan
宗华,zong'hua
走叉,zou'cha
走场,zou'chang
走滴,zou'di
走读证,zou'du'zheng
走人家,zou'ren'jia
钻石人间,zuan'shi'ren'jian
左岸春天,zuo'an'chun'tian
昨的,zuo'de
昨滴,zuo'di
