保存在人们,bao'cun'zai'ren'men
过去的存在问题,guo'qu'de'cun'zai'wen'ti
过去的历史,guo'qu'de'li'shi
还是表达,hai'shi'biao'da
和表达,he'biao'da
和基于,he'ji'yu
和历史,he'li'shi
和历史的反思,he'li'shi'de'fan'si
和历史哲学家,he'li'shi'zhe'xue'jia
互补的境界,hu'bu'de'jing'jie
或被表达的历史的过去,huo'bei'biao'da'de'li'shi'de'guo'qu
或称之为,huo'cheng'zhi'wei
或反思的历史,huo'fan'si'de'li'shi
或许有无数的,huo'xu'you'wu'shu'de
或者说在,huo'zhe'shuo'zai
既不同于自然科学,ji'bu'tong'yu'zi'ran'ke'xue
即具有形式,ji'ju'you'xing'shi
即历史,ji'li'shi
即历史哲学,ji'li'shi'zhe'xue
即人类自身的历史,ji'ren'lei'zi'shen'de'li'shi
即思辩,ji'si'bian
即它自身,ji'ta'zi'shen
即现实的,ji'xian'shi'de
基于时间,ji'yu'shi'jian
简单地说,jian'dan'de'shuo
解释的,jie'shi'de
进入到了,jin'ru'dao'le
今天的历史,jin'tian'de'li'shi
经过历史表达的自觉,jing'guo'li'shi'biao'da'de'zi'jue
就是历史学家,jiu'shi'li'shi'xue'jia
就是作为,jiu'shi'zuo'wei
具体的历史,ju'ti'de'li'shi
具有同时性意义,ju'you'tong'shi'xing'yi'yi
看作为历史的自身,kan'zuo'wei'li'shi'de'zi'shen
可以把,ke'yi'ba
来解释历史,lai'jie'shi'li'shi
历史本体论,li'shi'ben'ti'lun
历史存在,li'shi'cun'zai
历史的,li'shi'de
历史的本质,li'shi'de'ben'zhi
历史的表达与反思,li'shi'de'biao'da'yu'fan'si
历史的重写,li'shi'de'chong'xie
历史的存在,li'shi'de'cun'zai
历史的反思,li'shi'de'fan'si
历史的反思也是这样,li'shi'de'fan'si'ye'shi'zhe'yang
历史的今天,li'shi'de'jin'tian
历史的觉醒,li'shi'de'jue'xing
历史的时间性本质,li'shi'de'shi'jian'xing'ben'zhi
历史的特殊性,li'shi'de'te'shu'xing
历史的自身,li'shi'de'zi'shen
历史的自身是这样,li'shi'de'zi'shen'shi'zhe'yang
历史反思,li'shi'fan'si
历史即,li'shi'ji
历史就是,li'shi'jiu'shi
历史看作,li'shi'kan'zuo
历史理论,li'shi'li'lun
历史时间,li'shi'shi'jian
历史事实,li'shi'shi'shi
历史是一门,li'shi'shi'yi'men
历史思想,li'shi'si'xiang
历史为什么,li'shi'wei'shen'me
历史唯一有决定意义的部份,li'shi'wei'yi'you'jue'ding'yi'yi'de'bu'fen
历史学家重写的历史,li'shi'xue'jia'chong'xie'de'li'shi
历史学中的历史,li'shi'xue'zhong'de'li'shi
历史研究,li'shi'yan'jiu
历史与史观的,li'shi'yu'shi'guan'de
历史与哲学,li'shi'yu'zhe'xue
历史在,li'shi'zai
历史哲学,li'shi'zhe'xue
历史哲学所,li'shi'zhe'xue'suo
历史哲学主要是,li'shi'zhe'xue'zhu'yao'shi
历史自身的,li'shi'zi'shen'de
历史总是,li'shi'zong'shi
理性的思想中,li'xing'de'si'xiang'zhong
理性的思想中因,li'xing'de'si'xiang'zhong'yin
理性自觉,li'xing'zi'jue
两个层次水平,liang'ge'ceng'ci'shui'ping
朦胧时代,meng'long'shi'dai
秘密之一,mi'mi'zhi'yi
批判的,pi'pan'de
企图从历史的自身,qi'tu'cong'li'shi'de'zi'shen
企图回答,qi'tu'hui'da
去折磨,qu'zhe'mo
却是确实的,que'shi'que'shi'de
却与哲学无异,que'yu'zhe'xue'wu'yi
然后是指,ran'hou'shi'zhi
人类从,ren'lei'cong
人类的历史,ren'lei'de'li'shi
人类理性的,ren'lei'li'xing'de
人们无法区别,ren'men'wu'fa'qu'bie
人们总是,ren'men'zong'shi
认识和,ren'shi'he
认识论的,ren'shi'lun'de
如此困难,ru'ci'kun'nan
社会科学的学科,she'hui'ke'xue'de'xue'ke
甚至看成是,shen'zhi'kan'cheng'shi
时间的历史,shi'jian'de'li'shi
时间意义的,shi'jian'yi'yi'de
时间意义上的,shi'jian'yi'yi'shang'de
时间意义上的过去的历史,shi'jian'yi'yi'shang'de'guo'qu'de'li'shi
世界最重要的,shi'jie'zui'zhong'yao'de
是历史,shi'li'shi
是历史和,shi'li'shi'he
史料中的历史,shi'liao'zhong'de'li'shi
是现代的,shi'xian'dai'de
实现的,shi'xian'de
史学观点和方法,shi'xue'guan'dian'he'fang'fa
是一个真正,shi'yi'ge'zhen'zheng
似乎完全不同,si'hu'wan'quan'bu'tong
思考历史,si'kao'li'shi
思想自觉,si'xiang'zi'jue
虽然时间意义,sui'ran'shi'jian'yi'yi
所达到的深度,suo'da'dao'de'shen'du
它暗示了,ta'an'shi'le
它的自身,ta'de'zi'shen
它的最高,ta'de'zui'gao
它的最高本质,ta'de'zui'gao'ben'zhi
它的最高形式,ta'de'zui'gao'xing'shi
它即是,ta'ji'shi
它既是,ta'ji'shi
它具有,ta'ju'you
它历史地,ta'li'shi'di
它们具有,ta'men'ju'you
他们留下了,ta'men'liu'xia'le
它们在时间上,ta'men'zai'shi'jian'shang
它们总是,ta'men'zong'shi
它实际上,ta'shi'ji'shang
它是历史哲学中的,ta'shi'li'shi'zhe'xue'zhong'de
它虽然,ta'sui'ran
它虽然与哲学,ta'sui'ran'yu'zhe'xue
它同样基于,ta'tong'yang'ji'yu
它宣告了,ta'xuan'gao'le
提供一个,ti'gong'yi'ge
同时又是,tong'shi'you'shi
同一性超越,tong'yi'xing'chao'yue
透露的,tou'lu'de
西方的历史总是,xi'fang'de'li'shi'zong'shi
现代历史学家,xian'dai'li'shi'xue'jia
现在的存在,xian'zai'de'cun'zai
现在中的历史,xian'zai'zhong'de'li'shi
形式化为,xing'shi'hua'wei
性质上的同一,xing'zhi'shang'de'tong'yi
寻找答案,xun'zhao'da'an
研究平台,yan'jiu'ping'tai
也不同于,ye'bu'tong'yu
也是人类,ye'shi'ren'lei
也是一种哲学,ye'shi'yi'zhong'zhe'xue
一个整体或,yi'ge'zheng'ti'huo
以相同的,yi'xiang'tong'de
意义上,yi'yi'shang
一种梦境中的,yi'zhong'meng'jing'zhong'de
因此历史,yin'ci'li'shi
因此历史学家,yin'ci'li'shi'xue'jia
因此它是,yin'ci'ta'shi
因而达到了,yin'er'da'dao'le
因理性的思想,yin'li'xing'de'si'xiang
因为基于,yin'wei'ji'yu
用某种观念,yong'mou'zhong'guan'nian
有两种历史,you'liang'zhong'li'shi
有千百万,you'qian'bai'wan
又是形式,you'shi'xing'shi
又是自身的对象,you'shi'zi'shen'de'dui'xiang
由于最终实现了,you'yu'zui'zhong'shi'xian'le
与对被表达的历史的反思,yu'dui'bei'biao'da'de'li'shi'de'fan'si
与历史反思,yu'li'shi'fan'si
与研究历史,yu'yan'jiu'li'shi
与以往的,yu'yi'wang'de
与在现在之中的,yu'zai'xian'zai'zhi'zhong'de
与中国思想,yu'zhong'guo'si'xiang
原因趋势,yuan'yin'qu'shi
再就是由,zai'jiu'shi'you
在历史问题上,zai'li'shi'wen'ti'shang
在人的思想中,zai'ren'de'si'xiang'zhong
在同构中重演,zai'tong'gou'zhong'chong'yan
在同一中进行,zai'tong'yi'zhong'jin'xing
在现实思想中的,zai'xian'shi'si'xiang'zhong'de
在这个意义上,zai'zhe'ge'yi'yi'shang
在哲学上,zai'zhe'xue'shang
这就是一般意义,zhe'jiu'shi'yi'ban'yi'yi
这句话是,zhe'ju'hua'shi
这首先是,zhe'shou'xian'shi
哲学家们,zhe'xue'jia'men
哲学家相信,zhe'xue'jia'xiang'xin
哲学思想等等,zhe'xue'si'xiang'deng'deng
这样的问题,zhe'yang'de'wen'ti
这也是一种历史观,zhe'ye'shi'yi'zhong'li'shi'guan
这意味着历史,zhe'yi'wei'zhe'li'shi
这正是人类自觉,zhe'zheng'shi'ren'lei'zi'jue
这种历史存在的,zhe'zhong'li'shi'cun'zai'de
正是这种,zheng'shi'zhe'zhong
挣脱的句号,zheng'tuo'de'ju'hao
正在这里,zheng'zai'zhe'li
挣扎般的印象,zheng'zha'ban'de'yin'xiang
之间的比较,zhi'jian'de'bi'jiao
之中的现在,zhi'zhong'de'xian'zai
中的历史,zhong'de'li'shi
中国历史是,zhong'guo'li'shi'shi
中国思想,zhong'guo'si'xiang
中国文化,zhong'guo'wen'hua
中国哲学的,zhong'guo'zhe'xue'de
终级的一致性,zhong'ji'de'yi'zhi'xing
中西哲学,zhong'xi'zhe'xue
自觉的思想,zi'jue'de'si'xiang
自觉而被证实,zi'jue'er'bei'zheng'shi
自身存在的,zi'shen'cun'zai'de
自身开始,zi'shen'kai'shi
自我意识,zi'wo'yi'shi
总是以,zong'shi'yi
最后是有关,zui'hou'shi'you'guan
最终包括了现在,zui'zhong'bao'kuo'le'xian'zai
最终从,zui'zhong'cong
最终也是,zui'zhong'ye'shi
作为被表达的历史,zuo'wei'bei'biao'da'de'li'shi
作为部份的整体,zuo'wei'bu'fen'de'zheng'ti
作为历史与历史的反思,zuo'wei'li'shi'yu'li'shi'de'fan'si
