阿道夫,a'dao'fu
迪得莉,di'de'li
迪恩,di'en
蒂法尼,di'fa'ni
迪夫,di'fu
帝福尼,di'fu'ni
迪丽雅,di'li'ya
迪伦,di'lun
帝摩斯,di'mo'si
蒂莫西,di'mo'xi
堤姆,di'mu
杜达,du'da
杜克,du'ke
杜鲁,du'lu
杜鲁门,du'lu'men
多拉,duo'la
多莉丝,duo'li'si
多琳,duo'lin
多洛雷斯,duo'luo'lei'si
多米尼克,duo'mi'ni'ke
多明尼卡,duo'ming'ni'ka
厄休拉,e'xiu'la
尔莎,er'sha
法兰克,fa'lan'ke
法兰克林,fa'lan'ke'lin
范伦丁,fan'lun'ding
范伦铁恩,fan'lun'tie'en
范伦汀娜,fan'lun'ting'na
梵妮,fan'ni
菲比,fei'bi
菲碧,fei'bi
费迪南德,fei'di'nan'de
菲尔,fei'er
菲蕾德翠,fei'lei'de'cui
费利克斯,fei'li'ke'si
菲莉帕,fei'li'pa
菲利普,fei'li'pu
菲丽丝,fei'li'si
菲妮克丝,fei'ni'ke'si
费奇,fei'qi
斐瑞,fei'rui
费怡,fei'yi
费滋,fei'zi
费兹捷勒,fei'zi'jie'le
佛能,fo'neng
富宾恩,fu'bin'en
弗恩,fu'en
弗吉尔,fu'ji'er
弗兰克,fu'lan'ke
富兰克林,fu'lan'ke'lin
弗朗西斯,fu'lang'xi'si
弗雷得力克,fu'lei'de'li'ke
弗莉达,fu'li'da
弗罗拉,fu'luo'la
弗罗伦丝,fu'luo'lun'si
弗纳尔,fu'na'er
弗农,fu'nong
弗瑞德,fu'rui'de
福特,fu'te
盖尔,gai'er
盖理,gai'li
盖文,gai'wen
高德佛里,gao'de'fo'li
哥达,ge'da
戈登,ge'deng
格吉尔,ge'ji'er
葛佳丝塔,ge'jia'si'ta
格拉迪斯,ge'la'di'si
葛兰,ge'lan
格雷格,ge'lei'ge
格雷戈里,ge'lei'ge'li
葛里菲兹,ge'li'fei'zi
葛莉谢尔,ge'li'xie'er
格林,ge'lin
格林顿,ge'lin'dun
格罗佛,ge'luo'fo
葛罗瑞亚,ge'luo'rui'ya
格纳,ge'na
葛瑞丝,ge'rui'si
古斯塔夫,gu'si'ta'fu
关德琳,guan'de'lin
哈帝,ha'di
哈利,ha'li
哈里,ha'li
哈里森,ha'li'sen
哈莉特,ha'li'te
哈丽雅特,ha'li'ya'te
哈伦,ha'lun
哈罗德,ha'luo'de
哈瑞,ha'rui
哈维,ha'wei
海登,hai'deng
海勒,hai'le
海伦,hai'lun
海洛伊丝,hai'luo'yi'si
海曼,hai'man
海柔尔,hai'rou'er
海拾兹,hai'shi'zi
汉弗莱,han'fu'lai
汉克,han'ke
汉米敦,han'mi'dun
汉纳,han'na
汉妮,han'ni
汉特,han'te
好尔德,hao'er'de
赫伯特,he'bo'te
赫达,he'da
赫蒂,he'di
赫尔曼,he'er'man
赫瑟尔,he'se'er
亨利,heng'li
胡尔达,hu'er'da
华德,hua'de
华莉丝,hua'li'si
华纳,hua'na
霍伯特,huo'bo'te
霍尔,huo'er
霍根,huo'gen
霍华德,huo'hua'de
纪伯伦,ji'bo'lun
吉蒂,ji'di
吉恩,ji'en
姬儿,ji'er
吉尔伯特,ji'er'bo'te
姬玛,ji'ma
吉米,ji'mi
吉姆,ji'mu
基诺,ji'nuo
基思,ji'si
吉榭尔,ji'xie'er
贾艾斯,jia'ai'si
加百利,jia'bai'li
加比,jia'bi
嘉比里拉,jia'bi'li'la
加布力尔,jia'bu'li'er
加尔,jia'er
加菲尔德,jia'fei'er'de
加里,jia'li
贾里德,jia'li'de
贾斯丁,jia'si'ding
贾思琳,jia'si'lin
贾斯汀,jia'si'ting
加文,jia'wen
杰佛理,jie'fo'li
杰夫,jie'fu
杰弗里,jie'fu'li
杰弗瑞,jie'fu'rui
杰克,jie'ke
杰克逊,jie'ke'xun
杰奎琳,jie'kui'lin
杰拉尔德,jie'la'er'de
杰拉尔丁,jie'la'er'ding
杰勒米,jie'le'mi
杰理,jie'li
杰罗姆,jie'luo'mu
婕咪,jie'mi
杰瑞,jie'rui
杰森,jie'sen
杰西,jie'xi
金百莉,jin'bai'li
金姆,jin'mu
卡尔,ka'er
卡尔文,ka'er'wen
卡拉,ka'la
卡萝,ka'luo
卡洛儿,ka'luo'er
卡罗琳,ka'luo'lin
卡玛,ka'ma
卡米拉,ka'mi'la
卡斯帕,ka'si'pa
卡特,ka'te
凯尔,kai'er
凯利,kai'li
凯莉,kai'li
凯里,kai'li
凯伦,kai'lun
凯瑟琳,kai'se'lin
凯丝,kai'si
凯斯,kai'si
凯文,kai'wen
凯希,kai'xi
凯伊,kai'yi
坎蒂丝,kan'di'si
康拉德,kang'la'de
康那理惟士,kang'na'li'wei'shi
康奈尔,kang'nai'er
康斯坦丝,kang'si'tan'si
考伯特,kao'bo'te
考尔比,kao'er'bi
柯蒂斯,ke'di'si
科尔,ke'er
科尔温,ke'er'wen
科克,ke'ke
科拉,ke'la
克拉克,ke'la'ke
克拉伦斯,ke'la'lun'si
克莱儿,ke'lai'er
克莱尔,ke'lai'er
克莱拉,ke'lai'la
克莱曼婷,ke'lai'man'ting
克莱斯特,ke'lai'si'te
克劳德,ke'lao'de
克雷孟特,ke'lei'meng'te
科里,ke'li
柯利福,ke'li'fu
克利福德,ke'li'fu'de
克利夫兰,ke'li'fu'lan
克里斯,ke'li'si
克里斯蒂安,ke'li'si'di'an
克里斯多夫,ke'li'si'duo'fu
克里斯廷,ke'li'si'ting
克里斯汀,ke'li'si'ting
克里斯托弗,ke'li'si'tuo'fu
科林,ke'lin
克洛怡,ke'luo'yi
可妮莉雅,ke'ni'li'ya
科兹莫,ke'zi'mo
肯恩苏格兰,ken'en'su'ge'lan
肯尼,ken'ni
肯尼迪,ken'ni'di
肯尼思,ken'ni'si
肯尼斯,ken'ni'si
肯特,ken'te
昆蒂娜,kun'di'na
昆顿,kun'dun
昆娜,kun'na
昆尼尔,kun'ni'er
昆特,kun'te
昆廷,kun'ting
昆西,kun'xi
拉里,la'li
莱安,lai'an
赖安,lai'an
赖昂内尔,lai'ang'nei'er
莱尔,lai'er
莱特,lai'te
来希,lai'xi
蓝伯特,lan'bo'te
兰德尔,lan'de'er
兰迪,lan'di
兰斯,lan'si
蓝斯,lan'si
劳伦,lao'lun
劳伦斯,lao'lun'si
劳伦特,lao'lun'te
劳瑞,lao'rui
劳瑞恩,lao'rui'en
勒斯,le'si
雷尔夫,lei'er'fu
雷吉诺德,lei'ji'nuo'de
雷克斯,lei'ke'si
雷克斯拉丁,lei'ke'si'la'ding
雷蒙德,lei'meng'de
雷纳德,lei'na'de
蕾娜塔,lei'na'ta
蕾妮,lei'ni
雷欧,lei'ou
雷契尔,lei'qi'er
雷思丽,lei'si'li
雷哲,lei'zhe
利安德尔,li'an'de'er
利昂娜,li'ang'na
利奥,li'ao
利奥波德,li'ao'bo'de
利奥波特,li'ao'bo'te
理查德,li'cha'de
莉达,li'da
莉迪亚,li'di'ya
里根,li'gen
李莉斯,li'li'si
丽莲,li'lian
莉娜,li'na
丽诺比丽,li'nuo'bi'li
里奇,li'qi
莉萨,li'sa
莉斯,li'si
里斯特,li'si'te
莉娃,li'wa
利瓦伊,li'wa'yi
列得,lie'de
列蒂西雅,lie'di'xi'ya
列夫,lie'fu
林顿,lin'dun
林恩,lin'en
林赛,lin'sai
刘易斯,liu'yi'si
露比,lu'bi
鲁宾,lu'bin
鲁伯特,lu'bo'te
鲁道夫,lu'dao'fu
路德,lu'de
卢克,lu'ke
鲁思,lu'si
陆斯恩,lu'si'en
鲁思玛丽,lu'si'ma'li
璐易丝,lu'yi'si
路易斯,lu'yi'si
伦道夫,lun'dao'fu
伦恩,lun'en
伦纳德,lun'na'de
伦农,lun'nong
罗宾,luo'bin
罗宾逊,luo'bin'xun
罗伯塔,luo'bo'ta
罗伯特,luo'bo'te
罗德,luo'de
罗得里克,luo'de'li'ke
罗德尼,luo'de'ni
罗恩,luo'en
罗杰,luo'jie
洛克,luo'ke
罗克珊,luo'ke'shan
罗拉,luo'la
洛兰,luo'lan
罗里,luo'li
罗伦,luo'lun
罗纳德,luo'na'de
罗瑞尔,luo'rui'er
罗莎琳德,luo'sha'lin'de
罗丝,luo'si
罗伊,luo'yi
玛德琳,ma'de'lin
玛蒂娜,ma'di'na
马丁,ma'ding
马尔卡,ma'er'ka
马尔凯,ma'er'kai
马尔斯,ma'er'si
玛格丽特,ma'ge'li'te
玛吉,ma'ji
马卡斯,ma'ka'si
马克,ma'ke
马科斯,ma'ke'si
马克斯拉丁,ma'ke'si'la'ding
马克西米兰,ma'ke'xi'mi'lan
玛可欣,ma'ke'xin
马库斯,ma'ku'si
玛拉,ma'la
马勒第兹,ma'le'di'zi
玛丽,ma'li
玛丽安,ma'li'an
马里奥,ma'li'ao
马丽娜,ma'li'na
玛莉提丝,ma'li'ti'si
玛丽亚,ma'li'ya
马伦,ma'lun
玛佩尔,ma'pei'er
玛琪,ma'qi
玛乔丽,ma'qiao'li
玛瑞,ma'rui
马莎,ma'sha
马特,ma'te
马文,ma'wen
玛希,ma'xi
马西,ma'xi
玛西亚,ma'xi'ya
马歇尔,ma'xie'er
马休,ma'xiu
马修,ma'xiu
麦尔肯,mai'er'ken
麦尔斯,mai'er'si
麦格,mai'ge
麦基,mai'ji
麦克,mai'ke
迈克尔,mai'ke'er
麦伦,mai'lun
曼德尔德国,man'de'er'de'guo
曼蒂,man'di
曼特裘,man'te'qiu
梅根,mei'gen
梅莉,mei'li
梅蜜,mei'mi
梅薇思,mei'wei'si
门罗,men'luo
蒙莉萨,meng'li'sa
梦娜,meng'na
蜜尔娜,mi'er'na
密克,mi'ke
米兰达,mi'lan'da
蜜莉恩,mi'li'en
米路,mi'lu
蜜妮安,mi'ni'an
米契尔,mi'qi'er
米歇尔,mi'xie'er
蜜雪莉雅,mi'xue'li'ya
摩黛丝提,mo'dai'si'ti
摩帝马,mo'di'ma
摩顿,mo'dun
摩尔根,mo'er'gen
摩菲,mo'fei
莫雷,mo'lei
茉莉,mo'li
摩里斯拉丁,mo'li'si'la'ding
莫妮卡,mo'ni'ka
摩西,mo'xi
茉伊拉,mo'yi'la
穆得,mu'de
穆得莉,mu'de'li
穆尔,mu'er
穆丽儿,mu'li'er
穆琳,mu'lin
娜娥迷,na'e'mi
纳塔利,na'ta'li
纳特,na'te
娜提雅维,na'ti'ya'wei
奈宝尼尔,nai'bao'ni'er
奈登,nai'deng
奈哲尔,nai'zhe'er
南希,nan'xi
内丽,nei'li
妮蒂亚,ni'di'ya
尼尔,ni'er
尼尔森,ni'er'sen
尼古拉斯,ni'gu'la'si
妮可,ni'ke
尼克,ni'ke
妮可拉,ni'ke'la
尼克勒斯,ni'ke'le'si
妮娜,ni'na
纽曼,niu'man
诺顿,nuo'dun
诺尔,nuo'er
诺拉,nuo'la
诺玛,nuo'ma
诺曼,nuo'man
诺维雅,nuo'wei'ya
诺亚,nuo'ya
欧恩,ou'en
欧尔佳,ou'er'jia
欧格登,ou'ge'deng
欧内斯特,ou'nei'si'te
帕克,pa'ke
帕梅拉,pa'mei'la
帕特里克,pa'te'li'ke
派翠西亚,pai'cui'xi'ya
派恩,pai'en
潘多拉,pan'duo'la
潘妮,pan'ni
培迪,pei'di
佩儿,pei'er
佩格,pei'ge
裴吉,pei'ji
佩内洛普,pei'nei'luo'pu
皮特,pi'te
珀莉,po'li
普雷斯科特,pu'lei'si'ke'te
普莉玛,pu'li'ma
普利莫,pu'li'mo
普莉斯拉,pu'li'si'la
普鲁登斯,pu'lu'deng'si
契布曼,qi'bu'man
绮莉,qi'li
强纳生,qiang'na'sheng
乔安娜,qiao'an'na
乔蒂,qiao'di
乔休尔,qiao'xiu'er
乔伊斯,qiao'yi'si
乔治,qiao'zhi
乔治亚,qiao'zhi'ya
切斯特,qie'si'te
琼纳斯,qiong'na'si
日杰夫斯,ri'jie'fu'si
瑞琪儿,rui'qi'er
瑞伊,rui'yi
若拉,ruo'la
若娜,ruo'na
若伊,ruo'yi
撒克逊,sa'ke'xun
萨琳娜,sa'lin'na
萨米,sa'mi
萨姆,sa'mu
撒姆尔,sa'mu'er
赛拉,sai'la
赛门,sai'men
塞缪尔,sai'miu'er
赛薇亚拉,sai'wei'ya'la
塞西尔,sai'xi'er
塞西莉亚,sai'xi'li'ya
桑席,sang'xi
莎芭丝提,sha'ba'si'ti
莎柏琳娜,sha'bai'lin'na
莎碧娜,sha'bi'na
莎拉,sha'la
莎莉,sha'li
沙伦,sha'lun
莎洛姆,sha'luo'mu
莎曼撤,sha'man'che
山迪,shan'di
珊多拉,shan'duo'la
山姆,shan'mu
史宾杜,shi'bin'du
史丹,shi'dan
史丹佛,shi'dan'fo
史丹尼,shi'dan'ni
史蒂夫,shi'di'fu
史蒂文,shi'di'wen
史都华德,shi'du'hua'de
史考特,shi'kao'te
丝柏凌,si'bai'ling
斯宾塞,si'bin'sai
斯考特,si'kao'te
斯帕克,si'pa'ke
斯派克,si'pai'ke
斯泰西,si'tai'xi
斯坦利,si'tan'li
丝特芬妮,si'te'fen'ni
丝特勒,si'te'le
斯图亚特,si'tu'ya'te
苏菲亚,su'fei'ya
苏珊,su'shan
苏珊娜,su'shan'na
苏西,su'xi
所罗门,suo'luo'men
塔伯,ta'bo
泰贝莎,tai'bei'sha
泰德古,tai'de'gu
泰勒,tai'le
泰莉萨,tai'li'sa
泰伦,tai'lun
泰伦斯,tai'lun'si
泰蜜,tai'mi
泰丝,tai'si
唐恩,tang'en
汤米,tang'mi
汤姆,tang'mu
唐娜,tang'na
唐纳德,tang'na'de
唐纳修,tang'na'xiu
汤尼,tang'ni
桃乐斯,tao'le'si
特里,te'li
特莉萨,te'li'sa
特伦斯,te'lun'si
特洛伊,te'luo'yi
特瑞西,te'rui'xi
潼恩,tong'en
托拜厄斯,tuo'bai'e'si
托比,tuo'bi
托德,tuo'de
托玛士,tuo'ma'shi
托马斯,tuo'ma'si
托尼,tuo'ni
瓦尔克,wa'er'ke
瓦尔特,wa'er'te
瓦尔特古,wa'er'te'gu
瓦勒莉,wa'le'li
旺妲,wang'da
韦勃,wei'bo
韦伯斯特,wei'bo'si'te
维达,wei'da
维德,wei'de
维多利亚,wei'duo'li'ya
韦恩,wei'en
威尔,wei'er
韦尔伯,wei'er'bo
维尔莉特,wei'er'li'te
威弗列,wei'fu'lie
威弗列德,wei'fu'lie'de
维基,wei'ji
维吉妮亚,wei'ji'ni'ya
维克,wei'ke
维克多,wei'ke'duo
维拉,wei'la
维拉妮卡,wei'la'ni'ka
威利,wei'li
威廉,wei'lian
维隆卡,wei'long'ka
维娜,wei'na
威尼弗雷,wei'ni'fu'lei
卫斯理,wei'si'li
维托,wei'tuo
维维安,wei'wei'an
维文,wei'wen
伟兹,wei'zi
温德尔,wen'de'er
温迪,wen'di
温妮,wen'ni
文森,wen'sen
文森特,wen'sen'te
温士顿,wen'shi'dun
沃伦,wo'lun
渥兹华斯,wo'zi'hua'si
伍德洛,wu'de'luo
西奥多,xi'ao'duo
夕巴斯汀,xi'ba'si'ting
希贝儿,xi'bei'er
锡德,xi'de
锡德里克,xi'de'li'ke
西德尼,xi'de'ni
锡得尼,xi'de'ni
希尔保特,xi'er'bao'te
希尔达,xi'er'da
席尔维斯特,xi'er'wei'si'te
西格莉德,xi'ge'li'de
希拉,xi'la
席拉,xi'la
希拉里,xi'la'li
希拉瑞莉,xi'la'rui'li
西莱斯特,xi'lai'si'te
西里尔,xi'li'er
西蒙,xi'meng
席梦娜,xi'meng'na
西泽,xi'ze
夏洛特,xia'luo'te
夏佐古,xia'zuo'gu
仙蒂,xian'di
肖恩,xiao'en
谢里尔,xie'li'er
辛普森,xin'pu'sen
休伯特,xiu'bo'te
雪莉,xue'li
亚伯,ya'bo
亚伯拉罕,ya'bo'la'han
亚岱尔,ya'dai'er
亚当,ya'dang
亚德里恩,ya'de'li'en
亚度尼斯,ya'du'ni'si
亚尔弗列得,ya'er'fu'lie'de
亚尔林,ya'er'lin
亚尔曼德,ya'er'man'de
亚尔维斯,ya'er'wei'si
雅各布,ya'ge'bu
亚恒,ya'heng
亚历克斯,ya'li'ke'si
亚历山大,ya'li'shan'da
亚力士,ya'li'shi
亚伦,ya'lun
亚摩斯,ya'mo'si
亚撒,ya'sa
亚瑟,ya'se
亚特兰特,ya'te'lan'te
亚特伍德,ya'te'wu'de
亚希伯恩,ya'xi'bo'en
耶达,ye'da
耶鲁古,ye'lu'gu
伊登希,yi'deng'xi
伊迪丝,yi'di'si
伊甸,yi'dian
伊恩,yi'en
伊凡,yi'fan
伊芳,yi'fang
伊芙,yi'fu
依夫,yi'fu
伊夫力,yi'fu'li
伊夫林,yi'fu'lin
伊格纳缇伍兹,yi'ge'na'ti'wu'zi
伊莱,yi'lai
易莱哲,yi'lai'zhe
伊丽莎白,yi'li'sha'bai
伊莲恩,yi'lian'en
伊诺克,yi'nuo'ke
伊莎蓓尔,yi'sha'bei'er
伊文捷琳,yi'wen'jie'lin
伊西多,yi'xi'duo
依耶芙特,yi'ye'fu'te
依耶塔,yi'ye'ta
英格兰姆,ying'ge'lan'mu
英格丽,ying'ge'li
尤多拉,you'duo'la
尤金,you'jin
优拉,you'la
尤莱亚,you'lai'ya
尤里西斯,you'li'xi'si
优娜,you'na
尤妮斯,you'ni'si
雨果,yu'guo
约翰,yue'han
约翰尼,yue'han'ni
约克,yue'ke
约瑟芬,yue'se'fen
约瑟夫,yue'se'fu
约书亚,yue'shu'ya
泽维尔,ze'wei'er
扎克利,zha'ke'li
詹姆士,zhan'mu'shi
哲罗姆,zhe'luo'mu
珍来,zhen'lai
珍妮芙,zhen'ni'fu
珍尼丝,zhen'ni'si
珍妮特,zhen'ni'te
芝妮雅,zhi'ni'ya
朱蒂,zhu'di
朱蒂斯,zhu'di'si
朱恩,zhu'en
朱莉,zhu'li
朱利安,zhu'li'an
朱利尔斯,zhu'li'er'si
朱莉娅,zhu'li'ya
朱丽叶,zhu'li'ye
