保单的转让与质押,bao'dan'de'zhuan'rang'yu'zhi'ya
保险合同的内容,bao'xian'he'tong'de'nei'rong
保险合同的生效,bao'xian'he'tong'de'sheng'xiao
保险合同的受益人,bao'xian'he'tong'de'shou'yi'ren
保险合同的形式,bao'xian'he'tong'de'xing'shi
保险价值与保险金额,bao'xian'jia'zhi'yu'bao'xian'jin'e
保险监管机构,bao'xian'jian'guan'ji'gou
保险金的继承,bao'xian'jin'de'ji'cheng
保险经纪人,bao'xian'jing'ji'ren
保险经纪人资格许可,bao'xian'jing'ji'ren'zi'ge'xu'ke
保险理赔法定程序,bao'xian'li'pei'fa'ding'cheng'xu
保险利益原则,bao'xian'li'yi'yuan'ze
保险期间和保险责任开始时间,bao'xian'qi'jian'he'bao'xian'ze'ren'kai'shi'shi'jian
保险欺诈的民事责任,bao'xian'qi'zha'de'min'shi'ze'ren
保险欺诈及其法律责任,bao'xian'qi'zha'ji'qi'fa'lv'ze'ren
保险人代位求偿权的禁止,bao'xian'ren'dai'wei'qiu'chang'quan'de'jin'zhi
保险人说明义务,bao'xian'ren'shuo'ming'yi'wu
保险条款,bao'xian'tiao'kuan
保险条款和保险费率的备案,bao'xian'tiao'kuan'he'bao'xian'fei'lv'de'bei'an
保险条款和保险费率的审批,bao'xian'tiao'kuan'he'bao'xian'fei'lv'de'shen'pi
保险统计监督管理及法律责任,bao'xian'tong'ji'jian'du'guan'li'ji'fa'lv'ze'ren
保险外汇资金的境外运用,bao'xian'wai'hui'zi'jin'de'jing'wai'yun'yong
保险行政许可,bao'xian'xing'zheng'xu'ke
保险责任和除外责任,bao'xian'ze'ren'he'chu'wai'ze'ren
保险专营,bao'xian'zhuan'ying
保险资产管理公司,bao'xian'zi'chan'guan'li'gong'si
保险资金的运用,bao'xian'zi'jin'de'yun'yong
保证金和职业责任保险,bao'zheng'jin'he'zhi'ye'ze'ren'bao'xian
被保险人犯罪的保单处理,bei'bao'xian'ren'fan'zui'de'bao'dan'chu'li
被保险人防止损失扩大的义务,bei'bao'xian'ren'fang'zhi'sun'shi'kuo'da'de'yi'wu
不得行使代位权的情形,bu'de'xing'shi'dai'wei'quan'de'qing'xing
不可抗辩条款,bu'ke'kang'bian'tiao'kuan
财产保险标的转让,cai'chan'bao'xian'biao'di'zhuan'rang
财产保险合同,cai'chan'bao'xian'he'tong
财产保险合同中的保险利益,cai'chan'bao'xian'he'tong'zhong'de'bao'xian'li'yi
查勘定损费用的承担,cha'kan'ding'sun'fei'yong'de'cheng'dan
偿付能力,chang'fu'neng'li
偿付能力额度和监管指标的管理,chang'fu'neng'li'e'du'he'jian'guan'zhi'biao'de'guan'li
偿付能力额度及监管指标,chang'fu'neng'li'e'du'ji'jian'guan'zhi'biao
重复保险,chong'fu'bao'xian
代理和经纪违规行为,dai'li'he'jing'ji'wei'gui'xing'wei
代理协议,dai'li'xie'yi
代位求偿权,dai'wei'qiu'chang'quan
定期寿险,ding'qi'shou'xian
定值保险与不定值保险,ding'zhi'bao'xian'yu'bu'ding'zhi'bao'xian
对保险公司的接管,dui'bao'xian'gong'si'de'jie'guan
对保险公司的整顿,dui'bao'xian'gong'si'de'zheng'dun
对第三人的赔偿请求权,dui'di'san'ren'de'pei'chang'qing'qiu'quan
对他人损害的民事补偿,dui'ta'ren'sun'hai'de'min'shi'bu'chang
对违规行为的限期改正,dui'wei'gui'xing'wei'de'xian'qi'gai'zheng
法定分保,fa'ding'fen'bao
法律施行时间,fa'lv'shi'xing'shi'jian
非寿险责任准备金,fei'shou'xian'ze'ren'zhun'bei'jin
分业经营,fen'ye'jing'ying
个人代理人,ge'ren'dai'li'ren
公平竞争原则,gong'ping'jing'zheng'yuan'ze
故意造成保险事故的处理,gu'yi'zao'cheng'bao'xian'shi'gu'de'chu'li
国内优先分保,guo'nei'you'xian'fen'bao
国有保险公司监事会,guo'you'bao'xian'gong'si'jian'shi'hui
海上保险的适用,hai'shang'bao'xian'de'shi'yong
机动车第三者责任险,ji'dong'che'di'san'zhe'ze'ren'xian
监管机构的监督检查权限,jian'guan'ji'gou'de'jian'du'jian'cha'quan'xian
监管机关工作人员的法律责任,jian'guan'ji'guan'gong'zuo'ren'yuan'de'fa'lv'ze'ren
健康保险,jian'kang'bao'xian
兼业代理人,jian'ye'dai'li'ren
近因原则,jin'yin'yuan'ze
境内投保,jing'nei'tou'bao
精算责任人职责及法律责任,jing'suan'ze'ren'ren'zhi'ze'ji'fa'lv'ze'ren
经营保险业务许可证,jing'ying'bao'xian'ye'wu'xu'ke'zheng
巨灾风险,ju'zai'feng'xian
宽限期,kuan'xian'qi
两全保险,liang'quan'bao'xian
免赔额,mian'pei'e
年龄误报的处理,nian'ling'wu'bao'de'chu'li
农业保险的法律适用,nong'ye'bao'xian'de'fa'lv'shi'yong
其他保险组织,qi'ta'bao'xian'zu'zhi
强制保险的限制,qiang'zhi'bao'xian'de'xian'zhi
全额保险不足额保险和超额保险,quan'e'bao'xian'bu'zu'e'bao'xian'he'chao'e'bao'xian
人身保险,ren'shen'bao'xian
人身保险合同的保险利益,ren'shen'bao'xian'he'tong'de'bao'xian'li'yi
人身保险合同效力的中止与复效,ren'shen'bao'xian'he'tong'xiao'li'de'zhong'zhi'yu'fu'xiao
人身险保费缴付,ren'shen'xian'bao'fei'jiao'fu
人寿保险,ren'shou'bao'xian
如实告知义务的违反,ru'shi'gao'zhi'yi'wu'de'wei'fan
擅自变更有关事项的处罚,shan'zi'bian'geng'you'guan'shi'xiang'de'chu'fa
商业保险,shang'ye'bao'xian
寿险责任准备金,shou'xian'ze'ren'zhun'bei'jin
死亡保险合同的特殊生效要件,si'wang'bao'xian'he'tong'de'te'shu'sheng'xiao'yao'jian
死亡保险中被保险人自杀的处理,si'wang'bao'xian'zhong'bei'bao'xian'ren'zi'sha'de'chu'li
损失补偿原则,sun'shi'bu'chang'yuan'ze
索赔时效,suo'pei'shi'xiao
提供虚假材料行为的处罚,ti'gong'xu'jia'cai'liao'xing'wei'de'chu'fa
统括保单,tong'kuo'bao'dan
投保人解除财产保险合同的权利,tou'bao'ren'jie'chu'cai'chan'bao'xian'he'tong'de'quan'li
投保人解除合同的法律后果,tou'bao'ren'jie'chu'he'tong'de'fa'lv'hou'guo
投保人如实告知义务,tou'bao'ren'ru'shi'gao'zhi'yi'wu
投资连结保险,tou'zi'lian'jie'bao'xian
投资入股保险公司的要求,tou'zi'ru'gu'bao'xian'gong'si'de'yao'qiu
外国保险公司分公司,wai'guo'bao'xian'gong'si'fen'gong'si
外国保险机构驻华代表机构,wai'guo'bao'xian'ji'gou'zhu'hua'dai'biao'ji'gou
外商独资保险公司,wai'shang'du'zi'bao'xian'gong'si
外资保险公司,wai'zi'bao'xian'gong'si
外资保险公司的适用,wai'zi'bao'xian'gong'si'de'shi'yong
维护标的安全的义务,wei'hu'biao'di'an'quan'de'yi'wu
危险单位,wei'xian'dan'wei
危险增加的通知义务,wei'xian'zeng'jia'de'tong'zhi'yi'wu
现金价值,xian'jin'jia'zhi
虚假理赔的法律责任,xu'jia'li'pei'de'fa'lv'ze'ren
业务分类,ye'wu'fen'lei
意外伤害保险,yi'wai'shang'hai'bao'xian
疑义条款的解释,yi'yi'tiao'kuan'de'jie'shi
犹豫期条款,you'yu'qi'tiao'kuan
再保险,zai'bao'xian
再保险公司,zai'bao'xian'gong'si
责任保险,ze'ren'bao'xian
责任保险的责任限额,ze'ren'bao'xian'de'ze'ren'xian'e
责任保险中保险人的赔付对象,ze'ren'bao'xian'zhong'bao'xian'ren'de'pei'fu'dui'xiang
责任保险中的第三人,ze'ren'bao'xian'zhong'de'di'san'ren
责任保险中其他费用的承担,ze'ren'bao'xian'zhong'qi'ta'fei'yong'de'cheng'dan
责任准备金,ze'ren'zhun'bei'jin
终身寿险,zhong'shen'shou'xian
中外合资保险公司,zhong'wai'he'zi'bao'xian'gong'si
最大诚信原则,zui'da'cheng'xin'yuan'ze
