阿兵哥,a'bing'ge
蝙蝠成,bian'fu'cheng
变很多,bian'hen'duo
扁食,bian'shi
扁食拌面,bian'shi'ban'mian
扁食汤,bian'shi'tang
滨北,bin'bei
滨北中行,bin'bei'zhong'hang
宾森,bin'sen
滨水,bin'shui
饼票,bing'piao
饼券,bing'quan
博饼,bo'bing
博到,bo'dao
簸箕板,bo'ji'ban
波斯来,bo'si'lai
不爱读书,bu'ai'du'shu
不爱讲,bu'ai'jiang
不爱说你,bu'ai'shuo'ni
补补眠,bu'bu'mian
补充包,bu'chong'bao
不错吃,bu'cuo'chi
不错看,bu'cuo'kan
不错了啦,bu'cuo'le'la
不错听,bu'cuo'ting
不错用,bu'cuo'yong
不懂地,bu'dong'di
不懂诶,bu'dong'ei
不懂也,bu'dong'ye
不顾啦,bu'gu'la
不好料,bu'hao'liao
不会读书,bu'hui'du'shu
不会贵,bu'hui'gui
不会很远,bu'hui'hen'yuan
不会啦,bu'hui'la
不回去吃,bu'hui'qu'chi
不会热,bu'hui're
不来厦门,bu'lai'xia'men
不清楚也,bu'qing'chu'ye
不去了啦,bu'qu'le'la
不然等等,bu'ran'deng'deng
不然叫,bu'ran'jiao
不然就去,bu'ran'jiu'qu
不然就是,bu'ran'jiu'shi
不然嘞,bu'ran'le
不然哪里,bu'ran'na'li
不然你来,bu'ran'ni'lai
不然你去,bu'ran'ni'qu
不然你是,bu'ran'ni'shi
不然你说,bu'ran'ni'shuo
不然你要,bu'ran'ni'yao
不然你在,bu'ran'ni'zai
不然你在干嘛,bu'ran'ni'zai'gan'ma
不然怕,bu'ran'pa
不然去,bu'ran'qu
不然是,bu'ran'shi
不然是什么,bu'ran'shi'shen'me
不然是谁,bu'ran'shi'shui
不然算了,bu'ran'suan'le
不然我是,bu'ran'wo'shi
不然无聊,bu'ran'wu'liao
不然要干嘛,bu'ran'yao'gan'ma
不然夜魔,bu'ran'ye'mo
不然用,bu'ran'yong
不然在干嘛,bu'ran'zai'gan'ma
不然这样,bu'ran'zhe'yang
不是要来,bu'shi'yao'lai
不爽什么,bu'shuang'shen'me
不同家,bu'tong'jia
不要嘞,bu'yao'le
不一定啦,bu'yi'ding'la
不用了啦,bu'yong'le'la
不在厦门,bu'zai'xia'men
不在线嗯,bu'zai'xian'en
不知道要干嘛,bu'zhi'dao'yao'gan'ma
蔡店,cai'dian
才会到,cai'hui'dao
采棉人,cai'mian'ren
蔡塘,cai'tang
才想说,cai'xiang'shuo
蔡小虎,cai'xiao'hu
才要来,cai'yao'lai
才要去,cai'yao'qu
才有办法,cai'you'ban'fa
才再说,cai'zai'shuo
沧虹,cang'hong
沧虹路,cang'hong'lu
草根堂,cao'gen'tang
草鸡买,cao'ji'mai
草枝摆,cao'zhi'bai
曾错,ceng'cuo
曾错安,ceng'cuo'an
曾糊涂,ceng'hu'tu
曾营,ceng'ying
茶卜道,cha'bu'dao
差不多几点,cha'bu'duo'ji'dian
叉车厂,cha'che'chang
茶点,cha'dian
差看看,cha'kan'kan
查某,cha'mou
茶叶店,cha'ye'dian
长庚,chang'geng
长庚医院,chang'geng'yi'yuan
长乐村,chang'le'cun
长青路,chang'qing'lu
长泰,chang'tai
长泰县,chang'tai'xian
长汀,chang'ting
场装,chang'zhuang
炒白果,chao'bai'guo
潮福城,chao'fu'cheng
超级白,chao'ji'bai
炒泡面,chao'pao'mian
吵死掉,chao'si'diao
车轮饼,che'lun'bing
车身价,che'shen'jia
宸鸿,chen'hong
陈嘉庚,chen'jia'geng
陈水总,chen'shui'zong
成兵,cheng'bing
成功大道,cheng'gong'da'dao
成功发到,cheng'gong'fa'dao
城上城,cheng'shang'cheng
乘务队,cheng'wu'dui
程溪,cheng'xi
诚毅,cheng'yi
诚毅学院,cheng'yi'xue'yuan
吃饱撑着,chi'bao'cheng'zhe
吃冰,chi'bing
吃饭下,chi'fan'xia
吃好料,chi'hao'liao
吃很饱,chi'hen'bao
吃很好,chi'hen'hao
赤湖,chi'hu
吃看看,chi'kan'kan
吃沙茶面,chi'sha'cha'mian
吃什么好料,chi'shen'me'hao'liao
吃太饱,chi'tai'bao
吃太好,chi'tai'hao
吃太好了,chi'tai'hao'le
吃田鸡,chi'tian'ji
吃稀饭,chi'xi'fan
吃下饭,chi'xia'fan
吃下药,chi'xia'yao
池园,chi'yuan
吃这么好,chi'zhe'me'hao
抽层,chou'ceng
抽成,chou'cheng
臭三八,chou'san'ba
臭头,chou'tou
出仓单,chu'cang'dan
出发层,chu'fa'ceng
厨柜,chu'gui
船东,chuan'dong
穿看看,chuan'kan'kan
串台,chuan'tai
吹海风,chui'hai'feng
吹瓶,chui'ping
慈济,ci'ji
辞职单,ci'zhi'dan
从福州,cong'fu'zhou
从厦门,cong'xia'men
粗饭,cu'fan
翠丰,cui'feng
厝垵,cuo'an
打八十,da'ba'shi
大邦,da'bang
大茶杯,da'cha'bei
大肠血,da'chang'xue
搭车了,da'che'le
大登,da'deng
大嶝岛,da'deng'dao
打堵车,da'du'che
大丰收,da'feng'shou
搭盖,da'gai
搭公交车,da'gong'jiao'che
大骨,da'gu
大骨汤,da'gu'tang
大宏,da'hong
大红袍,da'hong'pao
大金龙,da'jin'long
大酒楼,da'jiu'lou
打看看,da'kan'kan
大帽山,da'mao'shan
大闽网,da'min'wang
大摩,da'mo
打摩的,da'mo'di
大排档,da'pai'dang
大榕树,da'rong'shu
大生里,da'sheng'li
打死掉,da'si'diao
大摊,da'tan
大唐世家,da'tang'shi'jia
大条了,da'tiao'le
大同路,da'tong'lu
大同小学,da'tong'xiao'xue
大尾,da'wei
大尾鲈鳗,da'wei'lu'man
大厦门,da'xia'men
大小声,da'xiao'sheng
大小周,da'xiao'zhou
大学康城,da'xue'kang'cheng
大学湾,da'xue'wan
带餐,dai'can
待就业,dai'jiu'ye
带看,dai'kan
带台,dai'tai
埭头,dai'tou
带训,dai'xun
代志,dai'zhi
单元考,dan'yuan'kao
单证费,dan'zheng'fei
到岛内,dao'dao'nei
到福州,dao'fu'zhou
到鼓浪屿,dao'gu'lang'yu
到海沧,dao'hai'cang
到很久了,dao'hen'jiu'le
到集美,dao'ji'mei
到了说下,dao'le'shuo'xia
到龙岩,dao'long'yan
到轮渡,dao'lun'du
岛内,dao'nei
岛内岛外,dao'nei'dao'wai
岛内的,dao'nei'de
岛内了,dao'nei'le
岛内吗,dao'nei'ma
岛内外,dao'nei'wai
岛内玩,dao'nei'wan
到泉州,dao'quan'zhou
到同安,dao'tong'an
岛外,dao'wai
岛外的,dao'wai'de
岛外了,dao'wai'le
到厦大,dao'xia'da
到厦门,dao'xia'men
到厦门了,dao'xia'men'le
到厦门了吗,dao'xia'men'le'ma
到漳州,dao'zhang'zhou
的半死,de'ban'si
德化,de'hua
等不到别,deng'bu'dao'bie
等船,deng'chuan
等等过去,deng'deng'guo'qu
等等还要,deng'deng'hai'yao
等等回去,deng'deng'hui'qu
等等看看,deng'deng'kan'kan
等等要,deng'deng'yao
等等要去,deng'deng'yao'qu
底迪,di'di
第二摊,di'er'tan
地瓜粉,di'gua'fen
地瓜腔,di'gua'qiang
地瓜叶,di'gua'ye
地瓜粥,di'gua'zhou
帝豪大厦,di'hao'da'sha
第三学期,di'san'xue'qi
第三医院,di'san'yi'yuan
的士上,di'shi'shang
第一码头,di'yi'ma'tou
第一医院,di'yi'yi'yuan
抵用卷,di'yong'juan
抵用乱,di'yong'luan
帝元,di'yuan
点操,dian'cao
电放单,dian'fang'dan
电风吹,dian'feng'chui
殿前,dian'qian
点台,dian'tai
电子城,dian'zi'cheng
叼火,diao'huo
订台,ding'tai
订台的,ding'tai'de
订台了,ding'tai'le
订台人,ding'tai'ren
顶溪头,ding'xi'tou
定向生,ding'xiang'sheng
动车票,dong'che'piao
动车上,dong'che'shang
动车站,dong'che'zhan
东渡,dong'du
东渡路,dong'du'lu
东二门,dong'er'men
东方巴黎,dong'fang'ba'li
东方美,dong'fang'mei
东方山庄,dong'fang'shan'zhuang
冬粉鸭,dong'fen'ya
东孚镇,dong'fu'zhen
东坪,dong'ping
东坪山,dong'ping'shan
东浦,dong'pu
东浦路,dong'pu'lu
东浦一里,dong'pu'yi'li
东山,dong'shan
东山岛,dong'shan'dao
东山的,dong'shan'de
东山县,dong'shan'xian
冻未条,dong'wei'tiao
东宅,dong'zhai
都很早睡,dou'hen'zao'shui
都会怕,dou'hui'pa
都几岁了,dou'ji'sui'le
都嘛是,dou'ma'shi
都没差,dou'mei'cha
都那是,dou'na'shi
斗西路,dou'xi'lu
斗西路口,dou'xi'lu'kou
都有带,dou'you'dai
都有到,dou'you'dao
都有发,dou'you'fa
都有来,dou'you'lai
都有在,dou'you'zai
都在好哦,dou'zai'hao'o
豆仔尾,dou'zai'wei
都在厦门,dou'zai'xia'men
独辫子,du'bian'zi
读不下去,du'bu'xia'qu
都市港湾,du'shi'gang'wan
杜浔,du'xun
段霸,duan'ba
段草,duan'cao
段花,duan'hua
段长,duan'zhang
对哄,dui'hong
对吼,dui'hou
对啦对啦,dui'la'dui'la
兑山,dui'shan
对堂,dui'tang
对厦门,dui'xia'men
多多乐,duo'duo'le
多还少补,duo'huan'shao'bu
饿死掉,e'si'diao
恶心鬼,e'xin'gui
嗯嗯吧,en'en'ba
嗯嗯哈,en'en'ha
嗯嗯啦,en'en'la
嗯好啦,en'hao'la
二举,er'ju
二市站,er'shi'zhan
发给我下,fa'gei'wo'xia
烦死掉,fan'si'diao
泛太平洋,fan'tai'ping'yang
梵天寺,fan'tian'si
番鸭,fan'ya
房产站,fang'chan'zhan
放叼,fang'diao
枋湖,fang'hu
枋湖村,fang'hu'cun
枋湖路,fang'hu'lu
访台,fang'tai
枋钟路,fang'zhong'lu
非矿,fei'kuang
飞厦门,fei'xia'men
飞行部,fei'xing'bu
非在编,fei'zai'bian
分你吃,fen'ni'chi
分时,fen'shi
分我吃,fen'wo'chi
风动石,feng'dong'shi
枫多士,feng'duo'shi
凤凰花,feng'huang'hua
封建日,feng'jian'ri
凤梨酥,feng'li'su
封签,feng'qian
凤泉,feng'quan
风水世家,feng'shui'shi'jia
凤头,feng'tou
凤屿路,feng'yu'lu
佛具,fo'ju
佛昙,fo'tan
福达里,fu'da'li
福鼎,fu'ding
福鼎肉片,fu'ding'rou'pian
福建,fu'jian
福建电信,fu'jian'dian'xin
福建高考,fu'jian'gao'kao
福建哪里,fu'jian'na'li
福建省,fu'jian'sheng
福建省厦门市,fu'jian'sheng'xia'men'shi
福建体彩,fu'jian'ti'cai
福建厦门,fu'jian'xia'men
福建移动,fu'jian'yi'dong
福建一区,fu'jian'yi'qu
福津大街,fu'jin'da'jie
福隆,fu'long
福隆国际,fu'long'guo'ji
福满山庄,fu'man'shan'zhuang
福清的,fu'qing'de
福清了,fu'qing'le
福清人,fu'qing'ren
芙蓉餐厅,fu'rong'can'ting
芙蓉湖,fu'rong'hu
芙蓉隧道,fu'rong'sui'dao
芙蓉苑,fu'rong'yuan
富山,fu'shan
福师大,fu'shi'da
富万邦,fu'wan'bang
扶元堂,fu'yuan'tang
福州,fu'zhou
福州啊,fu'zhou'a
福州吧,fu'zhou'ba
福州到,fu'zhou'dao
福州的,fu'zhou'de
福州啦,fu'zhou'la
福州了,fu'zhou'le
福州了吗,fu'zhou'le'ma
福州吗,fu'zhou'ma
福州那,fu'zhou'na
福州南,fu'zhou'nan
福州呢,fu'zhou'ne
福州女,fu'zhou'nv
福州去,fu'zhou'qu
福州人,fu'zhou'ren
福州玩,fu'zhou'wan
福州站,fu'zhou'zhan
改天啦,gai'tian'la
概统,gai'tong
盖章本,gai'zhang'ben
甘翠,gan'cui
干屌,gan'diao
干干干,gan'gan'gan
干锅包菜,gan'guo'bao'cai
干煎,gan'jian
赶紧去吃,gan'jin'qu'chi
赶紧去睡,gan'jin'qu'shui
赶紧去睡觉,gan'jin'qu'shui'jiao
赶紧入睡,gan'jin'ru'shui
赶快去吃,gan'kuai'qu'chi
甘霖老,gan'lin'lao
甘霖闹,gan'lin'nao
赶羚羊,gan'ling'yang
干嘛一直,gan'ma'yi'zhi
干你老,gan'ni'lao
干你老师,gan'ni'lao'shi
干你妈,gan'ni'ma
干您老,gan'nin'lao
干三代,gan'san'dai
干屎,gan'shi
干他妈,gan'ta'ma
干训,gan'xun
甘蔗汁,gan'zhe'zhi
港白,gang'bai
刚到厦门,gang'dao'xia'men
港记,gang'ji
刚来厦门,gang'lai'xia'men
港头,gang'tou
港尾,gang'wei
刚要,gang'yao
刚要吃,gang'yao'chi
刚要出门,gang'yao'chu'men
刚要出去,gang'yao'chu'qu
刚要回家,gang'yao'hui'jia
刚要回去,gang'yao'hui'qu
刚要去,gang'yao'qu
刚要去吃,gang'yao'qu'chi
港杂费,gang'za'fei
刚在吃,gang'zai'chi
高殿,gao'dian
高峰会,gao'feng'hui
高丽菜,gao'li'cai
高粱酒,gao'liang'jiu
高林,gao'lin
高林居住区,gao'lin'ju'zhu'qu
高崎,gao'qi
高崎火车站,gao'qi'huo'che'zhan
高崎机场,gao'qi'ji'chang
高山茶,gao'shan'cha
高时,gao'shi
搞死掉,gao'si'diao
高职单招,gao'zhi'dan'zhao
高装,gao'zhuang
歌橙,ge'cheng
歌手赛,ge'shou'sai
隔水炖,ge'shui'dun
歌仔戏,ge'zai'xi
给林被,gei'lin'bei
更好睡,geng'hao'shui
公维金,gong'wei'jin
工训,gong'xun
工业集中区,gong'ye'ji'zhong'qu
枸杞叶,gou'qi'ye
古地,gu'di
古地石,gu'di'shi
顾店,gu'dian
故宫路,gu'gong'lu
鼓浪听涛,gu'lang'ting'tao
鼓浪湾,gu'lang'wan
鼓浪屿,gu'lang'yu
鼓浪屿的,gu'lang'yu'de
鼓浪屿了,gu'lang'yu'le
鼓浪屿上,gu'lang'yu'shang
古龙,gu'long
古龙御景,gu'long'yu'jing
古楼,gu'lou
鼓山,gu'shan
古早人,gu'zao'ren
古早味,gu'zao'wei
古宅,gu'zhai
骨之味,gu'zhi'wei
古庄,gu'zhuang
古锥,gu'zhui
管不动,guan'bu'dong
官邸,guan'di
冠宏,guan'hong
冠捷,guan'jie
关静音,guan'jing'yin
灌口,guan'kou
灌口镇,guan'kou'zhen
官任路,guan'ren'lu
观日路,guan'ri'lu
管他去死,guan'ta'qu'si
官浔,guan'xun
观音山,guan'yin'shan
观音寺,guan'yin'si
冠豸山,guan'zhai'shan
光饼,guang'bing
光膜,guang'mo
柜号,gui'hao
锅边糊,guo'bian'hu
国际山庄,guo'ji'shan'zhuang
国际银行,guo'ji'yin'hang
郭坑,guo'keng
过来泡茶,guo'lai'pao'cha
过来厦门,guo'lai'xia'men
国贸大厦,guo'mao'da'sha
国贸新城,guo'mao'xin'cheng
国贸阳光,guo'mao'yang'guang
郭山,guo'shan
国业,guo'ye
哈哈好啦,ha'ha'hao'la
海滨大厦,hai'bin'da'sha
还不错吃,hai'bu'cuo'chi
还不错看,hai'bu'cuo'kan
海沧,hai'cang
海沧啊,hai'cang'a
海沧大桥,hai'cang'da'qiao
海沧的,hai'cang'de
海沧了,hai'cang'le
海沧区,hai'cang'qu
海沧湾,hai'cang'wan
海沧医院,hai'cang'yi'yuan
海底世界,hai'di'shi'jie
海富路,hai'fu'lu
海瓜子,hai'gua'zi
还好而已,hai'hao'er'yi
还很久,hai'hen'jiu
海景城,hai'jing'cheng
还久着,hai'jiu'zhe
海蛎饼,hai'li'bing
海蛎干,hai'li'gan
海蛎煎,hai'li'jian
海六路,hai'liu'lu
海伦娜,hai'lun'na
还没煮,hai'mei'zhu
还没煮好,hai'mei'zhu'hao
海南鸡,hai'nan'ji
海南鸡饭,hai'nan'ji'fan
海山路,hai'shan'lu
还是你要,hai'shi'ni'yao
海天,hai'tian
海天路,hai'tian'lu
海投,hai'tou
海湾公园,hai'wan'gong'yuan
海西,hai'xi
海西晨报,hai'xi'chen'bao
海峡,hai'xia
海峡国际,hai'xia'guo'ji
海峡论坛,hai'xia'lun'tan
海洋学院,hai'yang'xue'yuan
还要公园,hai'yao'gong'yuan
海翼大厦,hai'yi'da'sha
还以为呢,hai'yi'wei'ne
还有在,hai'you'zai
海裕路,hai'yu'lu
海院,hai'yuan
海悦山庄,hai'yue'shan'zhuang
海韵,hai'yun
海韵台,hai'yun'tai
海韵园,hai'yun'yuan
还在福州,hai'zai'fu'zhou
还在厦门,hai'zai'xia'men
汉阳馆,han'yang'guan
航海学院,hang'hai'xue'yuan
行情价,hang'qing'jia
航运中心,hang'yun'zhong'xin
好爱困,hao'ai'kun
好呗好呗,hao'bei'hao'bei
浩呆,hao'dai
豪佳香,hao'jia'xiang
好加在,hao'jia'zai
好康,hao'kang
豪客来,hao'ke'lai
豪利来,hao'li'lai
好料,hao'liao
好料的,hao'liao'de
号码卡,hao'ma'ka
好命人,hao'ming'ren
好清香,hao'qing'xiang
浩沙,hao'sha
濠头,hao'tou
豪享来,hao'xiang'lai
皓月园,hao'yue'yuan
合道,he'dao
喝挂,he'gua
呵呵啦,he'he'la
喝很多,he'hen'duo
喝看看,he'kan'kan
禾山,he'shan
禾山路,he'shan'lu
和通,he'tong
和通里,he'tong'li
和溪,he'xi
和厦门,he'xia'men
禾祥东,he'xiang'dong
禾祥东路,he'xiang'dong'lu
禾祥西,he'xiang'xi
禾祥西路,he'xiang'xi'lu
喝一下,he'yi'xia
嘿啊,hei'a
黑弟,hei'di
黑摸摸,hei'mo'mo
黑鱼煲,hei'yu'bao
很爱困,hen'ai'kun
很不爱,hen'bu'ai
很大条,hen'da'tiao
很大只,hen'da'zhi
很故意,hen'gu'yi
很好穿,hen'hao'chuan
很好料,hen'hao'liao
很好睡,hen'hao'shui
很好赚,hen'hao'zhuan
很会喝,hen'hui'he
很久了那,hen'jiu'le'na
很拼,hen'pin
很三八,hen'san'ba
很瞎,hen'xia
很小只,hen'xiao'zhi
鸿斌,hong'bin
红不让,hong'bu'rang
宏都,hong'du
红菇,hong'gu
红馆,hong'guan
红牡丹,hong'mu'dan
洪前,hong'qian
鸿山,hong'shan
洪塘头,hong'tang'tou
洪塘镇,hong'tang'zhen
洪文站,hong'wen'zhan
厚吧,hou'ba
后滨,hou'bin
后滨路,hou'bin'lu
后村,hou'cun
后埭溪,hou'dai'xi
后埭溪路,hou'dai'xi'lu
后古,hou'gu
后江埭,hou'jiang'dai
后坑,hou'keng
后炉,hou'lu
后埔,hou'pu
后溪,hou'xi
后溪镇,hou'xi'zhen
猴枣散,hou'zao'san
湖边花园,hu'bian'hua'yuan
湖滨,hu'bin
湖滨北,hu'bin'bei
湖滨北路,hu'bin'bei'lu
湖滨东路,hu'bin'dong'lu
湖滨南,hu'bin'nan
湖滨南路,hu'bin'nan'lu
湖滨西路,hu'bin'xi'lu
湖滨中路,hu'bin'zhong'lu
湖滨中学,hu'bin'zhong'xue
蝴蝶轩,hu'die'xuan
互动电视,hu'dong'dian'shi
湖东路,hu'dong'lu
湖东路东,hu'dong'lu'dong
胡瓜,hu'gua
湖光路,hu'guang'lu
浒井,hu'jing
湖里,hu'li
湖里大道,hu'li'da'dao
湖里妇幼,hu'li'fu'you
湖里公园,hu'li'gong'yuan
湖里建行,hu'li'jian'hang
湖里区,hu'li'qu
胡里山,hu'li'shan
胡里山炮台,hu'li'shan'pao'tai
湖里万达,hu'li'wan'da
湖里园,hu'li'yuan
湖里中学,hu'li'zhong'xue
湖明路,hu'ming'lu
湖头,hu'tou
狐尾山,hu'wei'shan
湖心岛,hu'xin'dao
虎园路,hu'yuan'lu
华昌路,hua'chang'lu
华大,hua'da
画虎烂,hua'hu'lan
华侨大学,hua'qiao'da'xue
华侨海景城,hua'qiao'hai'jing'cheng
花生汤,hua'sheng'tang
花现了,hua'xian'le
华祥苑,hua'xiang'yuan
华新路,hua'xin'lu
华医馆,hua'yi'guan
欢唱,huan'chang
环岛干道,huan'dao'gan'dao
环岛路,huan'dao'lu
环东海域,huan'dong'hai'yu
欢乐星,huan'le'xing
黄翅,huang'chi
黄翅鱼,huang'chi'yu
皇达,huang'da
黄董,huang'dong
皇家一号,huang'jia'yi'hao
黄金香,huang'jin'xiang
黄胜记,huang'sheng'ji
黄则和,huang'ze'he
惠安,hui'an
惠安女,hui'an'nv
回安溪,hui'an'xi
慧彬,hui'bin
会不会困,hui'bu'hui'kun
会不会累,hui'bu'hui'lei
汇成,hui'cheng
回岛内,hui'dao'nei
回到厦门,hui'dao'xia'men
惠尔康,hui'er'kang
回福州,hui'fu'zhou
会坏掉,hui'huai'diao
回集美,hui'ji'mei
汇景,hui'jing
惠娟,hui'juan
会困吗,hui'kun'ma
回来厦门,hui'lai'xia'men
会冷吗,hui'leng'ma
回龙岩,hui'long'yan
会忙吗,hui'mang'ma
回莆田,hui'pu'tian
回泉州,hui'quan'zhou
回三明,hui'san'ming
回同安,hui'tong'an
回厦门,hui'xia'men
回厦门了,hui'xia'men'le
会展,hui'zhan
回漳州,hui'zhang'zhou
会准,hui'zhun
火炬园,huo'ju'yuan
火山岛,huo'shan'dao
活水馆,huo'shui'guan
几把人,ji'ba'ren
寄包,ji'bao
集大,ji'da
几点要去,ji'dian'yao'qu
寄读,ji'du
寄放,ji'fang
吉家家,ji'jia'jia
吉家家世界,ji'jia'jia'shi'jie
寄酒,ji'jiu
寄酒卡,ji'jiu'ka
集美,ji'mei
集美吧,ji'mei'ba
集美大道,ji'mei'da'dao
集美大桥,ji'mei'da'qiao
集美大学,ji'mei'da'xue
集美的,ji'mei'de
集美店,ji'mei'dian
集美了,ji'mei'le
集美哪里,ji'mei'na'li
集美区,ji'mei'qu
集美区政府,ji'mei'qu'zheng'fu
集美万达,ji'mei'wan'da
集美学村,ji'mei'xue'cun
集美中学,ji'mei'zhong'xue
几平,ji'ping
鸡软骨,ji'ruan'gu
寄下来,ji'xia'lai
集源路,ji'yuan'lu
集中区,ji'zhong'qu
加氨,jia'an
甲霸,jia'ba
加班完,jia'ban'wan
嘉庚,jia'geng
嘉庚体育馆,jia'geng'ti'yu'guan
嘉庚学院,jia'geng'xue'yuan
嘉禾路,jia'he'lu
嘉禾路口,jia'he'lu'kou
嘉禾园,jia'he'yuan
加捷,jia'jie
嘉美花园,jia'mei'hua'yuan
假期商城,jia'qi'shang'cheng
假日商城,jia'ri'shang'cheng
嘉盛,jia'sheng
嘉盛豪园,jia'sheng'hao'yuan
家庭旅馆,jia'ting'lv'guan
嘉园路,jia'yuan'lu
建发,jian'fa
建设大厦,jian'she'da'sha
健体无极,jian'ti'wu'ji
剑伟,jian'wei
煎蟹,jian'xie
建兴路,jian'xing'lu
件园,jian'yuan
降火的,jiang'huo'de
将军祠,jiang'jun'ci
姜母,jiang'mu
姜母鸭,jiang'mu'ya
江头,jiang'tou
江头市场,jiang'tou'shi'chang
酱油水,jiang'you'shui
角滨,jiao'bin
角滨路,jiao'bin'lu
角滨路口,jiao'bin'lu'kou
叫餐,jiao'can
叫餐了,jiao'can'le
叫货,jiao'huo
缴交,jiao'jiao
交警网,jiao'jing'wang
叫看看,jiao'kan'kan
角美,jiao'mei
叫爽的,jiao'shuang'de
叫我要,jiao'wo'yao
杰斌,jie'bin
借看看,jie'kan'kan
杰克龙,jie'ke'long
接下去,jie'xia'qu
金榜,jin'bang
金榜公园,jin'bang'gong'yuan
金榜路,jin'bang'lu
金榜山,jin'bang'shan
金包银,jin'bao'yin
进仓图,jin'cang'tu
进岛,jin'dao
金枫园,jin'feng'yuan
金橄榄,jin'gan'lan
巾帼园,jin'guo'yuan
金海峡,jin'hai'xia
金湖路,jin'hu'lu
金鸡亭,jin'ji'ting
晋江,jin'jiang
晋江的,jin'jiang'de
金酒,jin'jiu
晋爵会,jin'jue'hui
金门,jin'men
金门岛,jin'men'dao
金门湾,jin'men'wan
金山小区,jin'shan'xiao'qu
金山站,jin'shan'zhan
金尚,jin'shang
金尚路,jin'shang'lu
金尚小区,jin'shang'xiao'qu
金穗园,jin'sui'yuan
金汤湾,jin'tang'wan
今天厦门,jin'tian'xia'men
今天有上班,jin'tian'you'shang'ban
金线莲,jin'xian'lian
金象湾,jin'xiang'wan
锦园,jin'yuan
金中华,jin'zhong'hua
金中意,jin'zhong'yi
惊死人,jing'si'ren
井头,jing'tou
经院,jing'yuan
景州乐园,jing'zhou'le'yuan
酒伴,jiu'ban
九层塔,jiu'ceng'ta
酒国,jiu'guo
酒国英雄,jiu'guo'ying'xiong
就很不爽,jiu'hen'bu'shuang
就很多了,jiu'hen'duo'le
九湖,jiu'hu
九龙城,jiu'long'cheng
就没差,jiu'mei'cha
九牧王,jiu'mu'wang
九鹏溪,jiu'peng'xi
就厦门,jiu'xia'men
就业会,jiu'ye'hui
就有说,jiu'you'shuo
就有在,jiu'you'zai
就在厦门,jiu'zai'xia'men
桔地,ju'di
居酒屋,ju'jiu'wu
局口,ju'kou
局口街,ju'kou'jie
聚泰,ju'tai
骏豪会,jun'hao'hui
君泰,jun'tai
咖啡虫,ka'fei'chong
咖啡一条街,ka'fei'yi'tiao'jie
卡拉车,ka'la'che
卡维拉,ka'wei'la
凯宾斯基,kai'bin'si'ji
凯帝城,kai'di'cheng
开禾路,kai'he'lu
开禾路口,kai'he'lu'kou
开下门,kai'xia'men
凯旋广场,kai'xuan'guang'chang
凯裕,kai'yu
