艾杜糖苷酸酶测定,ai'du'tang'gan'suan'mei'ce'ding
大肠埃希菌培养,da'chang'ai'xi'jun'pei'yang
大环内酯类抗生素耐药检测,da'huan'nei'zhi'lei'kang'sheng'su'nai'yao'jian'ce
蛋白测定,dan'bai'ce'ding
蛋白质及多肽类检验,dan'bai'zhi'ji'duo'tai'lei'jian'yan
单纯疱疹病毒抗体测定,dan'chun'pao'zhen'bing'du'kang'ti'ce'ding
单纯疱疹病毒抗原测定,dan'chun'pao'zhen'bing'du'kang'yuan'ce'ding
单纯疱疹病毒脱氧核糖核酸测定,dan'chun'pao'zhen'bing'du'tuo'yang'he'tang'he'suan'ce'ding
单纯疱疹病毒型抗体测定,dan'chun'pao'zhen'bing'du'xing'kang'ti'ce'ding
单个核细胞直接计数,dan'ge'he'xi'bao'zhi'jie'ji'shu
单个凝血因子测定因子等,dan'ge'ning'xue'yin'zi'ce'ding'yin'zi'deng
胆红素测定,dan'hong'su'ce'ding
单基因遗传病基因突变检测,dan'ji'yin'yi'chuan'bing'ji'yin'tu'bian'jian'ce
胆囊收缩素测定,dan'nang'shou'suo'su'ce'ding
等电聚焦脑脊液蛋白电泳,deng'dian'ju'jiao'nao'ji'ye'dan'bai'dian'yong
等克分子前列腺特异抗原测定,deng'ke'fen'zi'qian'lie'xian'te'yi'kang'yuan'ce'ding
滴虫培养鉴定,di'chong'pei'yang'jian'ding
滴虫直接涂片镜检,di'chong'zhi'jie'tu'pian'jing'jian
低分辨基因分型检测,di'fen'bian'ji'yin'fen'xing'jian'ce
低分辨检测,di'fen'bian'jian'ce
第因子相关抗原测定,di'yin'zi'xiang'guan'kang'yuan'ce'ding
地中海贫血基因突变检测,di'zhong'hai'pin'xue'ji'yin'tu'bian'jian'ce
淀粉酶同工酶测定,dian'fen'mei'tong'gong'mei'ce'ding
碘海醇清除率,dian'hai'chun'qing'chu'lv
动物性变应原筛查,dong'wu'xing'bian'ying'yuan'shai'cha
端粒酶活性检测,duan'li'mei'huo'xing'jian'ce
对羟基苯丙氨酸酪氨酸尿液检测,dui'qiang'ji'ben'bing'an'suan'lao'an'suan'niao'ye'jian'ce
多胺定量测定,duo'an'ding'liang'ce'ding
多巴胺,duo'ba'an
芳基硫酸酯酶测定,fang'ji'liu'suan'zhi'mei'ce'ding
肥达反应,fei'da'fan'ying
肥大细胞脱颗粒试验,fei'da'xi'bao'tuo'ke'li'shi'yan
非结核分枝杆菌培养,fei'jie'he'fen'zhi'gan'jun'pei'yang
非无菌体液分枝杆菌快速培养,fei'wu'jun'ti'ye'fen'zhi'gan'jun'kuai'su'pei'yang
肺吸虫抗原测定,fei'xi'chong'kang'yuan'ce'ding
非小细胞肺癌抗原快速诊断,fei'xiao'xi'bao'fei'ai'kang'yuan'kuai'su'zhen'duan
肺炎链球菌抗原检测,fei'yan'lian'qiu'jun'kang'yuan'jian'ce
肺炎双球菌检测,fei'yan'shuang'qiu'jun'jian'ce
肺炎细菌检测,fei'yan'xi'jun'jian'ce
肺炎衣原体核酸检测,fei'yan'yi'yuan'ti'he'suan'jian'ce
肺炎支原体核酸检测,fei'yan'zhi'yuan'ti'he'suan'jian'ce
粪便常规检查,fen'bian'chang'gui'jian'cha
粪便钙卫蛋白检测,fen'bian'gai'wei'dan'bai'jian'ce
粪便寄生虫检查,fen'bian'ji'sheng'chong'jian'cha
粪便检查,fen'bian'jian'cha
粪便乳糖不耐受测定,fen'bian'ru'tang'bu'nai'shou'ce'ding
粪便涂片革兰染色镜检,fen'bian'tu'pian'ge'lan'ran'se'jing'jian
粪便涂片革兰染色镜检查真菌,fen'bian'tu'pian'ge'lan'ran'se'jing'jian'cha'zhen'jun
粪便隐血试验,fen'bian'yin'xue'shi'yan
粪便脂肪定量测定,fen'bian'zhi'fang'ding'liang'ce'ding
粪便转铁蛋白测定,fen'bian'zhuan'tie'dan'bai'ce'ding
粪胆素检查,fen'dan'su'jian'cha
粪寄生虫镜检,fen'ji'sheng'chong'jing'jian
粪寄生虫卵集卵镜检,fen'ji'sheng'chong'luan'ji'luan'jing'jian
粪寄生虫卵计数,fen'ji'sheng'chong'luan'ji'shu
粪苏丹染色检查,fen'su'dan'ran'se'jian'cha
分枝杆菌单药快速药敏试验,fen'zhi'gan'jun'dan'yao'kuai'su'yao'min'shi'yan
分枝杆菌鉴定,fen'zhi'gan'jun'jian'ding
分枝杆菌菌种鉴定,fen'zhi'gan'jun'jun'zhong'jian'ding
分枝杆菌联合快速药敏试验,fen'zhi'gan'jun'lian'he'kuai'su'yao'min'shi'yan
分枝杆菌罗氏培养,fen'zhi'gan'jun'luo'shi'pei'yang
分枝杆菌培养鉴定,fen'zhi'gan'jun'pei'yang'jian'ding
分枝杆菌培养鉴定药敏,fen'zhi'gan'jun'pei'yang'jian'ding'yao'min
风疹病毒核糖核酸检测,feng'zhen'bing'du'he'tang'he'suan'jian'ce
风疹病毒抗体测定,feng'zhen'bing'du'kang'ti'ce'ding
复钙交叉时间测定,fu'gai'jiao'cha'shi'jian'ce'ding
复钙时间测定,fu'gai'shi'jian'ce'ding
复钙时间纠正试验,fu'gai'shi'jian'jiu'zheng'shi'yan
氟喹诺酮类抗生素耐药检测,fu'kui'nuo'tong'lei'kang'sheng'su'nai'yao'jian'ce
副流感病毒核糖核酸检测,fu'liu'gan'bing'du'he'tang'he'suan'jian'ce
副流感病毒抗体测定,fu'liu'gan'bing'du'kang'ti'ce'ding
副流感病毒抗原检测,fu'liu'gan'bing'du'kang'yuan'jian'ce
肝病的实验诊断,gan'bing'de'shi'yan'zhen'duan
肝豆状核变性基因分析,gan'dou'zhuang'he'bian'xing'ji'yin'fen'xi
甘露糖苷酶测定,gan'lu'tang'gan'mei'ce'ding
感染性疾病分子生物学检验,gan'ran'xing'ji'bing'fen'zi'sheng'wu'xue'jian'yan
感染性疾病实验检测,gan'ran'xing'ji'bing'shi'yan'jian'ce
干扰素测定,gan'rao'su'ce'ding
干扰素抗体,gan'rao'su'kang'ti
肝素辅因子活性测定,gan'su'fu'yin'zi'huo'xing'ce'ding
肝型脂肪酸结合蛋白测定,gan'xing'zhi'fang'suan'jie'he'dan'bai'ce'ding
甘油三酯测定去游离甘油,gan'you'san'zhi'ce'ding'qu'you'li'gan'you
高分辨基因分型检测,gao'fen'bian'ji'yin'fen'xing'jian'ce
高分辨检测,gao'fen'bian'jian'ce
高分辨染色体核型分析,gao'fen'bian'ran'se'ti'he'xing'fen'xi
高铁血红素白蛋白过筛试验,gao'tie'xue'hong'su'bai'dan'bai'guo'shai'shi'yan
各种穿刺液及分泌物细胞学检查,ge'zhong'chuan'ci'ye'ji'fen'mi'wu'xi'bao'xue'jian'cha
各种穿刺液及分泌物细菌学检查,ge'zhong'chuan'ci'ye'ji'fen'mi'wu'xi'jun'xue'jian'cha
庚型肝炎病毒核糖核酸扩增检测,geng'xing'gan'yan'bing'du'he'tang'he'suan'kuo'zeng'jian'ce
弓形虫抗体测定,gong'xing'chong'kang'ti'ce'ding
弓形体核酸检测,gong'xing'ti'he'suan'jian'ce
钩端螺旋体免疫学测定,gou'duan'luo'xuan'ti'mian'yi'xue'ce'ding
谷氨酰基转移酶同工酶测定,gu'an'xian'ji'zhuan'yi'mei'tong'gong'mei'ce'ding
骨钙素测定,gu'gai'su'ce'ding
谷胱甘肽过氧化酶测定,gu'guang'gan'tai'guo'yang'hua'mei'ce'ding
骨髓检查及常用染色技术,gu'sui'jian'cha'ji'chang'yong'ran'se'ji'shu
骨髓巨核细胞计数,gu'sui'ju'he'xi'bao'ji'shu
骨髓涂片细胞学检查,gu'sui'tu'pian'xi'bao'xue'jian'cha
骨髓有核细胞计数,gu'sui'you'he'xi'bao'ji'shu
骨型碱性磷酸酶质量测定,gu'xing'jian'xing'lin'suan'mei'zhi'liang'ce'ding
骨质疏松的实验诊断,gu'zhi'shu'song'de'shi'yan'zhen'duan
冠状病毒核糖核酸检测,guan'zhuang'bing'du'he'tang'he'suan'jian'ce
果糖测定,guo'tang'ce'ding
过氧化物酶染色,guo'yang'hua'wu'mei'ran'se
过氧化脂质测定,guo'yang'hua'zhi'zhi'ce'ding
还原型血红蛋白溶解度测定,hai'yuan'xing'xue'hong'dan'bai'rong'jie'du'ce'ding
核糖核酸染色,he'tang'he'suan'ran'se
红细胞包涵体检查,hong'xi'bao'bao'han'ti'jian'cha
红细胞电泳测定,hong'xi'bao'dian'yong'ce'ding
红细胞孵育渗透脆性试验,hong'xi'bao'fu'yu'shen'tou'cui'xing'shi'yan
红细胞滚动试验,hong'xi'bao'gun'dong'shi'yan
红细胞花环试验,hong'xi'bao'hua'huan'shi'yan
红细胞抗体筛查,hong'xi'bao'kang'ti'shai'cha
红细胞镰变试验,hong'xi'bao'lian'bian'shi'yan
红细胞膜蛋白测定,hong'xi'bao'mo'dan'bai'ce'ding
红细胞膜蛋白定量测定,hong'xi'bao'mo'dan'bai'ding'liang'ce'ding
红细胞膜流动性测定,hong'xi'bao'mo'liu'dong'xing'ce'ding
红细胞渗透脆性试验,hong'xi'bao'shen'tou'cui'xing'shi'yan
红细胞特殊血型抗原鉴定,hong'xi'bao'te'shu'xue'xing'kang'yuan'jian'ding
红细胞血型抗体检查,hong'xi'bao'xue'xing'kang'ti'jian'cha
红细胞叶酸定量检测,hong'xi'bao'ye'suan'ding'liang'jian'ce
红细胞游离原卟啉测定,hong'xi'bao'you'li'yuan'bu'lin'ce'ding
红细胞自身溶血过筛试验,hong'xi'bao'zi'shen'rong'xue'guo'shai'shi'yan
红细胞自身溶血及纠正试验,hong'xi'bao'zi'shen'rong'xue'ji'jiu'zheng'shi'yan
呼吸道标本涂片革兰染色镜检,hu'xi'dao'biao'ben'tu'pian'ge'lan'ran'se'jing'jian
呼吸道合胞病毒核糖核酸检测,hu'xi'dao'he'bao'bing'du'he'tang'he'suan'jian'ce
呼吸道合胞病毒抗体测定,hu'xi'dao'he'bao'bing'du'kang'ti'ce'ding
呼吸道合胞病毒抗原测定,hu'xi'dao'he'bao'bing'du'kang'yuan'ce'ding
化学药物用药指导的基因检测,hua'xue'yao'wu'yong'yao'zhi'dao'de'ji'yin'jian'ce
磺胺类药物耐药检测,huang'an'lei'yao'wu'nai'yao'jian'ce
活化部分凝血活酶时间纠正试验,huo'hua'bu'fen'ning'xue'huo'mei'shi'jian'jiu'zheng'shi'yan
活化淋巴细胞检测,huo'hua'lin'ba'xi'bao'jian'ce
活化血小板膜糖蛋白测定,huo'hua'xue'xiao'ban'mo'tang'dan'bai'ce'ding
霍乱弧菌培养鉴定,huo'luan'hu'jun'pei'yang'jian'ding
霍乱弧菌血清学分型鉴定,huo'luan'hu'jun'xue'qing'xue'fen'xing'jian'ding
霍乱弧菌直接涂片镜检,huo'luan'hu'jun'zhi'jie'tu'pian'jing'jian
活性测定,huo'xing'ce'ding
寄生虫卵孵化试验,ji'sheng'chong'luan'fu'hua'shi'yan
寄生虫免疫学检查,ji'sheng'chong'mian'yi'xue'jian'cha
激素测定,ji'su'ce'ding
肌酸激酶同工酶测定,ji'suan'ji'mei'tong'gong'mei'ce'ding
基因表达水平对肿瘤预后的判断,ji'yin'biao'da'shui'ping'dui'zhong'liu'yu'hou'de'pan'duan
基因多态性检测,ji'yin'duo'tai'xing'jian'ce
基因检测,ji'yin'jian'ce
基因扩增检测,ji'yin'kuo'zeng'jian'ce
甲苯胺蓝纠正试验,jia'ben'an'lan'jiu'zheng'shi'yan
甲基安非他明检测,jia'ji'an'fei'ta'ming'jian'ce
甲胎蛋白异质体测定,jia'tai'dan'bai'yi'zhi'ti'ce'ding
甲型肝炎病毒抗体测定,jia'xing'gan'yan'bing'du'kang'ti'ce'ding
甲型肝炎病毒抗原测定,jia'xing'gan'yan'bing'du'kang'yuan'ce'ding
甲型流感病毒核糖核酸检测,jia'xing'liu'gan'bing'du'he'tang'he'suan'jian'ce
甲型流感病毒抗原检测,jia'xing'liu'gan'bing'du'kang'yuan'jian'ce
家族性乳腺癌基因突变检测,jia'zu'xing'ru'xian'ai'ji'yin'tu'bian'jian'ce
检测,jian'ce
碱负荷试验,jian'fu'he'shi'yan
间接抗人球蛋白试验,jian'jie'kang'ren'qiu'dan'bai'shi'yan
艰难梭菌毒素测定,jian'nan'suo'jun'du'su'ce'ding
艰难梭菌培养鉴定,jian'nan'suo'jun'pei'yang'jian'ding
碱性磷酸酶同工酶电泳测定,jian'xing'lin'suan'mei'tong'gong'mei'dian'yong'ce'ding
碱性髓鞘蛋白测定,jian'xing'sui'qiao'dan'bai'ce'ding
简易凝血活酶纠正试验,jian'yi'ning'xue'huo'mei'jiu'zheng'shi'yan
简易凝血活酶生成试验,jian'yi'ning'xue'huo'mei'sheng'cheng'shi'yan
降钙素基因相关肽测定,jiang'gai'su'ji'yin'xiang'guan'tai'ce'ding
交叉配血试验,jiao'cha'pei'xue'shi'yan
结核非结核分枝杆菌核酸检测,jie'he'fei'jie'he'fen'zhi'gan'jun'he'suan'jian'ce
结核分枝杆菌固体药敏试验,jie'he'fen'zhi'gan'jun'gu'ti'yao'min'shi'yan
结核分枝杆菌耐药基因检测,jie'he'fen'zhi'gan'jun'nai'yao'ji'yin'jian'ce
结核分枝杆菌涂片检测,jie'he'fen'zhi'gan'jun'tu'pian'jian'ce
结核分枝杆菌液体药敏试验,jie'he'fen'zhi'gan'jun'ye'ti'yao'min'shi'yan
姐妹染色体互换分析,jie'mei'ran'se'ti'hu'huan'fen'xi
解脲脲原体基因型别鉴定,jie'niao'niao'yuan'ti'ji'yin'xing'bie'jian'ding
解脲脲原体脱氧核糖核酸检测,jie'niao'niao'yuan'ti'tuo'yang'he'tang'he'suan'jian'ce
金黄色葡萄球菌检测,jin'huang'se'pu'tao'qiu'jun'jian'ce
精浆果糖定性试验,jing'jiang'guo'tang'ding'xing'shi'yan
精浆柠檬酸测定,jing'jiang'ning'meng'suan'ce'ding
精浆弹性硬蛋白酶定量测定,jing'jiang'tan'xing'ying'dan'bai'mei'ding'liang'ce'ding
精浆锌测定,jing'jiang'xin'ce'ding
精浆中性葡萄糖苷酶测定,jing'jiang'zhong'xing'pu'tao'tang'gan'mei'ce'ding
精神类药物浓度测定,jing'shen'lei'yao'wu'nong'du'ce'ding
精液白细胞染色检查,jing'ye'bai'xi'bao'ran'se'jian'cha
精液常规检查,jing'ye'chang'gui'jian'cha
精液果糖定量试验,jing'ye'guo'tang'ding'liang'shi'yan
精液卵磷脂测定,jing'ye'luan'lin'zhi'ce'ding
精液渗透压测定,jing'ye'shen'tou'ya'ce'ding
精液酸性磷酸酶测定,jing'ye'suan'xing'lin'suan'mei'ce'ding
精液图像分析,jing'ye'tu'xiang'fen'xi
精子顶体酶活性定量测定,jing'zi'ding'ti'mei'huo'xing'ding'liang'ce'ding
精子顶体完整率检查,jing'zi'ding'ti'wan'zheng'lv'jian'cha
精子核蛋白染色,jing'zi'he'dan'bai'ran'se
精子畸形率测定,jing'zi'ji'xing'lv'ce'ding
精子结合抗体测定,jing'zi'jie'he'kang'ti'ce'ding
精子酪氨酸磷酸化测定,jing'zi'lao'an'suan'lin'suan'hua'ce'ding
精子膜凝集素受体定量检测,jing'zi'mo'ning'ji'su'shou'ti'ding'liang'jian'ce
精子凝集试验,jing'zi'ning'ji'shi'yan
精子爬高试验,jing'zi'pa'gao'shi'yan
精子受精能力测定,jing'zi'shou'jing'neng'li'ce'ding
精子速度激光测定,jing'zi'su'du'ji'guang'ce'ding
精子透明质酸结合试验,jing'zi'tou'ming'zhi'suan'jie'he'shi'yan
精子尾部低渗肿胀试验,jing'zi'wei'bu'di'shen'zhong'zhang'shi'yan
精子运动轨迹分析,jing'zi'yun'dong'gui'ji'fen'xi
酒石酸抑制酸性磷酸酶测定,jiu'shi'suan'yi'zhi'suan'xing'lin'suan'mei'ce'ding
巨球蛋白测定,ju'qiu'dan'bai'ce'ding
巨噬细胞趋化功能试验,ju'shi'xi'bao'qu'hua'gong'neng'shi'yan
巨噬细胞吞噬功能试验,ju'shi'xi'bao'tun'shi'gong'neng'shi'yan
军团菌抗原检测,jun'tuan'jun'kang'yuan'jian'ce
军团菌尿抗原测定,jun'tuan'jun'niao'kang'yuan'ce'ding
军团菌培养及分型,jun'tuan'jun'pei'yang'ji'fen'xing
军团菌培养鉴定,jun'tuan'jun'pei'yang'jian'ding
抗埃可病毒抗体测定,kang'ai'ke'bing'du'kang'ti'ce'ding
抗白蛋白抗体检测,kang'bai'dan'bai'kang'ti'jian'ce
抗白喉类毒素抗体测定,kang'bai'hou'lei'du'su'kang'ti'ce'ding
抗百日咳杆菌抗体测定,kang'bai'ri'ke'gan'jun'kang'ti'ce'ding
抗斑疹伤寒杆菌抗体测定,kang'ban'zhen'shang'han'gan'jun'kang'ti'ce'ding
抗胞衬蛋白抗体测定,kang'bao'chen'dan'bai'kang'ti'ce'ding
抗变异上皮抗体检测,kang'bian'yi'shang'pi'kang'ti'jian'ce
抗表皮基底膜抗体检测,kang'biao'pi'ji'di'mo'kang'ti'jian'ce
抗表皮棘细胞桥粒连接抗体检测,kang'biao'pi'ji'xi'bao'qiao'li'lian'jie'kang'ti'jian'ce
抗表皮细胞间质抗体天疱疮抗体,kang'biao'pi'xi'bao'jian'zhi'kang'ti'tian'pao'chuang'kang'ti
抗补体抗体检测,kang'bu'ti'kang'ti'jian'ce
抗促甲状腺激素受体抗体检测,kang'cu'jia'zhuang'xian'ji'su'shou'ti'kang'ti'jian'ce
抗促甲状腺素抗体检测,kang'cu'jia'zhuang'xian'su'kang'ti'jian'ce
抗癫痫类药物浓度测定,kang'dian'xian'lei'yao'wu'nong'du'ce'ding
抗肺泡基底膜抗体检测,kang'fei'pao'ji'di'mo'kang'ti'jian'ce
抗肺吸虫抗体测定,kang'fei'xi'chong'kang'ti'ce'ding
抗肺炎克雷伯杆菌抗体测定,kang'fei'yan'ke'lei'bo'gan'jun'kang'ti'ce'ding
抗肺炎衣原体抗体测定,kang'fei'yan'yi'yuan'ti'kang'ti'ce'ding
抗肺炎支原体抗体测定,kang'fei'yan'zhi'yuan'ti'kang'ti'ce'ding
抗副百日咳杆菌抗体测定,kang'fu'bai'ri'ke'gan'jun'kang'ti'ce'ding
抗钙通道抗体检测,kang'gai'tong'dao'kang'ti'jian'ce
抗肝肾微粒体亚型抗体,kang'gan'shen'wei'li'ti'ya'xing'kang'ti
抗肝细胞抗体检测,kang'gan'xi'bao'kang'ti'jian'ce
抗肝细胞特异性脂蛋白抗体检测,kang'gan'xi'bao'te'yi'xing'zhi'dan'bai'kang'ti'jian'ce
抗肝脏特异抗原抗体检测,kang'gan'zang'te'yi'kang'yuan'kang'ti'jian'ce
抗睾丸间质细胞抗体检测,kang'gao'wan'jian'zhi'xi'bao'kang'ti'jian'ce
抗冠状病毒变异株抗体测定,kang'guan'zhuang'bing'du'bian'yi'zhu'kang'ti'ce'ding
抗核糖体抗体检测,kang'he'tang'ti'kang'ti'jian'ce
抗核周因子抗体检测,kang'he'zhou'yin'zi'kang'ti'jian'ce
抗滑膜抗体,kang'hua'mo'kang'ti
抗肌动蛋白抗体检测,kang'ji'dong'dan'bai'kang'ti'jian'ce
抗肌内膜抗体检测,kang'ji'nei'mo'kang'ti'jian'ce
抗脊髓灰质炎病毒抗体测定,kang'ji'sui'hui'zhi'yan'bing'du'kang'ti'ce'ding
抗甲型流感病毒抗体测定,kang'jia'xing'liu'gan'bing'du'kang'ti'ce'ding
抗甲状旁腺抗体检测,kang'jia'zhuang'pang'xian'kang'ti'jian'ce
抗结肠弯曲菌抗体测定,kang'jie'chang'wan'qu'jun'kang'ti'ce'ding
抗结核分枝杆菌抗体测定,kang'jie'he'fen'zhi'gan'jun'kang'ti'ce'ding
抗解脲脲原体抗体测定,kang'jie'niao'niao'yuan'ti'kang'ti'ce'ding
抗精子抗体,kang'jing'zi'kang'ti
抗精子抗体混合凝集试验,kang'jing'zi'kang'ti'hun'he'ning'ji'shi'yan
抗酒石酸酸性磷酸酶染色,kang'jiu'shi'suan'suan'xing'lin'suan'mei'ran'se
抗巨噬细胞抗体检测,kang'ju'shi'xi'bao'kang'ti'jian'ce
抗柯萨奇病毒抗体测定,kang'ke'sa'qi'bing'du'kang'ti'ce'ding
抗空肠弯曲菌抗体测定,kang'kong'chang'wan'qu'jun'kang'ti'ce'ding
抗狂犬病毒抗体测定,kang'kuang'quan'bing'du'kang'ti'ce'ding
抗莱姆螺旋体抗体测定,kang'lai'mu'luo'xuan'ti'kang'ti'ce'ding
抗类风湿关节炎核抗原抗体,kang'lei'feng'shi'guan'jie'yan'he'kang'yuan'kang'ti
抗立克次体抗体测定,kang'li'ke'ci'ti'kang'ti'ce'ding
抗粒细胞特异性抗核抗体,kang'li'xi'bao'te'yi'xing'kang'he'kang'ti
抗链激酶抗体测定,kang'lian'ji'mei'kang'ti'ce'ding
抗链球菌透明质酸酶测定,kang'lian'qiu'jun'tou'ming'zhi'suan'mei'ce'ding
抗淋巴细胞抗体试验,kang'lin'ba'xi'bao'kang'ti'shi'yan
抗磷壁酸抗体检测,kang'lin'bi'suan'kang'ti'jian'ce
抗磷脂酰丝氨酸抗体检测,kang'lin'zhi'xian'si'an'suan'kang'ti'jian'ce
抗流感嗜血杆菌抗体测定,kang'liu'gan'shi'xue'gan'jun'kang'ti'ce'ding
抗流行性出血热病毒抗体测定,kang'liu'xing'xing'chu'xue're'bing'du'kang'ti'ce'ding
抗卵巢抗体检测,kang'luan'chao'kang'ti'jian'ce
抗轮状病毒抗体检测,kang'lun'zhuang'bing'du'kang'ti'jian'ce
抗麻疹病毒抗体测定,kang'ma'zhen'bing'du'kang'ti'ce'ding
抗梅毒螺旋体抗体确认试验,kang'mei'du'luo'xuan'ti'kang'ti'que'ren'shi'yan
抗梅毒螺旋体抗体试验,kang'mei'du'luo'xuan'ti'kang'ti'shi'yan
抗脑垂体抗体,kang'nao'chui'ti'kang'ti
抗脑膜炎奈瑟菌抗体测定,kang'nao'mo'yan'nai'se'jun'kang'ti'ce'ding
抗脑组织抗体检测,kang'nao'zu'zhi'kang'ti'jian'ce
抗内皮细胞抗体检测,kang'nei'pi'xi'bao'kang'ti'jian'ce
抗内因子抗体检测,kang'nei'yin'zi'kang'ti'jian'ce
抗凝血酶原抗体,kang'ning'xue'mei'yuan'kang'ti
抗疟原虫抗体测定,kang'nue'yuan'chong'kang'ti'ce'ding
抗破伤风类毒素抗体测定,kang'po'shang'feng'lei'du'su'kang'ti'ce'ding
抗鞘磷脂抗体检测,kang'qiao'lin'zhi'kang'ti'jian'ce
抗禽型流感病毒抗体测定,kang'qin'xing'liu'gan'bing'du'kang'ti'ce'ding
抗青霉素抗体检测,kang'qing'mei'su'kang'ti'jian'ce
抗染色体抗体检测,kang'ran'se'ti'kang'ti'jian'ce
