阿城,a'cheng
双丰,shuang'feng
双子河,shuang'zi'he
水上公园,shui'shang'gong'yuan
绥化,sui'hua
她的妈妈是谁,ta'de'ma'ma'shi'shui
弹出来个,tan'chu'lai'ge
汤旺河,tang'wang'he
汤原,tang'yuan
桃山,tao'shan
提副科,ti'fu'ke
铁力,tie'li
铁力的,tie'li'de
铁力市,tie'li'shi
听累了,ting'lei'le
囤积居奇,tun'ji'ju'qi
万英华,wan'ying'hua
王云竹,wang'yun'zhu
卫视版,wei'shi'ban
我高级道,wo'gao'ji'dao
我去年夏季,wo'qu'nian'xia'ji
我玩你号,wo'wan'ni'hao
我喜欢动,wo'xi'huan'dong
我消音,wo'xiao'yin
我在伊春,wo'zai'yi'chun
五大连池,wu'da'lian'chi
屋里暖和,wu'li'nuan'huo
乌马河,wu'ma'he
乌马河区,wu'ma'he'qu
乌伊岭,wu'yi'ling
五营,wu'ying
五营区,wu'ying'qu
乌云镇,wu'yun'zhen
西林,xi'lin
西林区,xi'lin'qu
希望和你去,xi'wang'he'ni'qu
线车,xian'che
向阳区,xiang'yang'qu
向阳乡,xiang'yang'xiang
小孩学,xiao'hai'xue
筱恒,xiao'heng
小冷风,xiao'leng'feng
小兴安岭,xiao'xing'an'ling
新华报业网,xin'hua'bao'ye'wang
新浪微,xin'lang'wei
心里感觉好,xin'li'gan'jue'hao
新青,xin'qing
新青区,xin'qing'qu
新闻源吗,xin'wen'yuan'ma
徐凤星,xu'feng'xing
徐琦祥,xu'qi'xiang
逊克,xun'ke
养木耳,yang'mu'er
杨淇,yang'qi
羊蝎子锅,yang'xie'zi'guo
扬子晚报,yang'zi'wan'bao
扬子晚报网,yang'zi'wan'bao'wang
邀请大家,yao'qing'da'jia
也爱旅游,ye'ai'lv'you
伊春,yi'chun
伊春啊,yi'chun'a
伊春的,yi'chun'de
伊春了,yi'chun'le
伊春呢,yi'chun'ne
伊春区,yi'chun'qu
伊春人,yi'chun'ren
伊春山清水秀,yi'chun'shan'qing'shui'xiu
伊春市,yi'chun'shi
一会就上学了,yi'hui'jiu'shang'xue'le
一起看海,yi'qi'kan'hai
一样嗲,yi'yang'dia
营林,ying'lin
又差一点,you'cha'yi'dian
有的河流,you'de'he'liu
友好区,you'hao'qu
又黑又冷,you'hei'you'leng
有空床联系,you'kong'chuang'lian'xi
有空上,you'kong'shang
有事实论证,you'shi'shi'lun'zheng
有益处,you'yi'chu
有一伙,you'yi'huo
有作品,you'zuo'pin
郁郁不得志,yu'yu'bu'de'zhi
在佳木斯,zai'jia'mu'si
在嘉荫,zai'jia'yin
在南岔,zai'nan'cha
在铁力,zai'tie'li
在伊春,zai'yi'chun
在友好,zai'you'hao
咱两玩,zan'liang'wan
啧啧称奇,ze'ze'cheng'qi
贼合适,zei'he'shi
张贤亮,zhang'xian'liang
张一一,zhang'yi'yi
这边没还没下,zhe'bian'mei'hai'mei'xia
制片方,zhi'pian'fang
中广,zhong'guang
朱传宝,zhu'chuan'bao
作家班,zuo'jia'ban
