阿拔斯一世,a'ba'si'yi'shi
包括自耕农和地主,bao'kuo'zi'geng'nong'he'di'zhu
暴虐无道,bao'nue'wu'dao
包瑞德上校,bao'rui'de'shang'xiao
保守势力,bao'shou'shi'li
饱受灾荒之苦,bao'shou'zai'huang'zhi'ku
饱受战祸,bao'shou'zhan'huo
保送到,bao'song'dao
保卫了国土,bao'wei'le'guo'tu
包围南汉山城,bao'wei'nan'han'shan'cheng
包围在了,bao'wei'zai'le
包衣,bao'yi
保元之乱,bao'yuan'zhi'luan
褒中,bao'zhong
褒中一带,bao'zhong'yi'dai
被罢官,bei'ba'guan
被拜为,bei'bai'wei
倍倍尔,bei'bei'er
被北齐,bei'bei'qi
北边的长城,bei'bian'de'chang'cheng
被伯颜拒绝,bei'bo'yan'ju'jue
北部边境,bei'bu'bian'jing
北部代郡,bei'bu'dai'jun
北部戍边之责,bei'bu'shu'bian'zhi'ze
北部之戎,bei'bu'zhi'rong
北朝的,bei'chao'de
北撤,bei'che
被臣下,bei'chen'xia
被成都王颍大败,bei'cheng'du'wang'ying'da'bai
被称为,bei'cheng'wei
北出大漠,bei'chu'da'mo
被赐死,bei'ci'si
被从游牧民,bei'cong'you'mu'min
被大臣,bei'da'chen
北达黄河,bei'da'huang'he
北到长城一带,bei'dao'chang'cheng'yi'dai
北狄,bei'di
北抵汉中,bei'di'han'zhong
被东海王越毒死,bei'dong'hai'wang'yue'du'si
贝杜因人,bei'du'yin'ren
贝多芬,bei'duo'fen
孛儿只斤铁木真,bei'er'zhi'jin'tie'mu'zhen
北方白莲教首领,bei'fang'bai'lian'jiao'shou'ling
北方重新统一,bei'fang'chong'xin'tong'yi
北方的,bei'fang'de
北方多个少数民族,bei'fang'duo'ge'shao'shu'min'zu
北方强敌之手,bei'fang'qiang'di'zhi'shou
北方文化,bei'fang'wen'hua
北方战争,bei'fang'zhan'zheng
北方政权,bei'fang'zheng'quan
北方诸州,bei'fang'zhu'zhou
被废除,bei'fei'chu
北非战争,bei'fei'zhan'zheng
被封王,bei'feng'wang
被封为,bei'feng'wei
被封为太子,bei'feng'wei'tai'zi
被封为诸侯,bei'feng'wei'zhu'hou
北府,bei'fu
被俘,bei'fu
北府兵将,bei'fu'bing'jiang
北府旧人,bei'fu'jiu'ren
被公认为,bei'gong'ren'wei
北海王,bei'hai'wang
北海王慕容超,bei'hai'wang'mu'rong'chao
北汉,bei'han
北汉的,bei'han'de
北汉亡,bei'han'wang
被后世称之为,bei'hou'shi'cheng'zhi'wei
北接西伯利亚,bei'jie'xi'bo'li'ya
北接燕代,bei'jie'yan'dai
被晋所阻,bei'jin'suo'zu
背晋向楚,bei'jin'xiang'chu
北京出版社,bei'jing'chu'ban'she
北京建立了,bei'jing'jian'li'le
背井离乡,bei'jing'li'xiang
北京西部和西北部,bei'jing'xi'bu'he'xi'bei'bu
杯酒释兵权,bei'jiu'shi'bing'quan
北据河为塞,bei'ju'he'wei'sai
被开垦为,bei'kai'ken'wei
被看作,bei'kan'zuo
被苛扣口粮,bei'ke'kou'kou'liang
被扣留,bei'kou'liu
贝拉库恩,bei'la'ku'en
北来侨人,bei'lai'qiao'ren
被历史学家,bei'li'shi'xue'jia
北凉,bei'liang
北邻,bei'lin
被掳掠的汉族女子,bei'lu'lue'de'han'zu'nv'zi
被乱兵所杀,bei'luan'bing'suo'sha
被乱箭射死,bei'luan'jian'she'si
北灭,bei'mie
被灭,bei'mie
被慕容鲜卑击败,bei'mu'rong'xian'bei'ji'bai
被迫,bei'po
被迫撤退,bei'po'che'tui
被迫将放逐于静江,bei'po'jiang'fang'zhu'yu'jing'jiang
被迫投降,bei'po'tou'xiang
被迫引众北还,bei'po'yin'zhong'bei'hai
北齐是,bei'qi'shi
被其子,bei'qi'zi
被驱逐,bei'qu'zhu
被冉闵收留,bei'ran'min'shou'liu
被任命为,bei'ren'ming'wei
被任为,bei'ren'wei
被认为,bei'ren'wei
被沙俄侵占,bei'sha'e'qin'zhan
被杀死,bei'sha'si
北上进攻邺城荡阴一战,bei'shang'jin'gong'ye'cheng'dang'yin'yi'zhan
北上灭亡的好机会和有利条件,bei'shang'mie'wang'de'hao'ji'hui'he'you'li'tiao'jian
北上与窝阔台会合,bei'shang'yu'wo'kuo'tai'hui'he
卑身事贤,bei'shen'shi'xian
北宋的统治,bei'song'de'tong'zhi
北宋官吏,bei'song'guan'li
北宋军队,bei'song'jun'dui
北宋前期王小波,bei'song'qian'qi'wang'xiao'bo
北宋王朝,bei'song'wang'chao
北宋与辽长期的战争,bei'song'yu'liao'chang'qi'de'zhan'zheng
北宋与南宋,bei'song'yu'nan'song
被他杀死的,bei'ta'sha'si'de
被统称为,bei'tong'cheng'wei
被完全消灭,bei'wan'quan'xiao'mie
北魏,bei'wei
北魏初期,bei'wei'chu'qi
被围的中军,bei'wei'de'zhong'jun
北魏东魏西魏北齐北周,bei'wei'dong'wei'xi'wei'bei'qi'bei'zhou
北魏立国,bei'wei'li'guo
北魏前期,bei'wei'qian'qi
北魏时候,bei'wei'shi'hou
北魏统一北方的,bei'wei'tong'yi'bei'fang'de
北魏为界,bei'wei'wei'jie
北魏陷入,bei'wei'xian'ru
北魏孝武帝末年,bei'wei'xiao'wu'di'mo'nian
北魏已,bei'wei'yi
北魏政权,bei'wei'zheng'quan
被吴国,bei'wu'guo
北匈奴,bei'xiong'nu
被雪风撕扯,bei'xue'feng'si'che
北燕,bei'yan
北洋大臣,bei'yang'da'chen
北洋海军,bei'yang'hai'jun
被疑忌的,bei'yi'ji'de
北以秦岭,bei'yi'qin'ling
北迎出镇朔漠的怀宁王,bei'ying'chu'zhen'shuo'mo'de'huai'ning'wang
北御辽国,bei'yu'liao'guo
被宰杀烹食,bei'zai'sha'peng'shi
被张方烧死,bei'zhang'fang'shao'si
被赵国,bei'zhao'guo
北至克鲁伦河,bei'zhi'ke'lu'lun'he
北至漠北和外兴安岭,bei'zhi'mo'bei'he'wai'xing'an'ling
贝冢,bei'zhong
被中国人所知,bei'zhong'guo'ren'suo'zhi
北周,bei'zhou
北周灭亡,bei'zhou'mie'wang
北周是,bei'zhou'shi
北周外戚,bei'zhou'wai'qi
被逐渐汉化,bei'zhu'jian'han'hua
被主人放免後,bei'zhu'ren'fang'mian'hou
被组织得,bei'zu'zhi'de
被族诛的,bei'zu'zhu'de
本草纲目,ben'cao'gang'mu
本地的,ben'di'de
本来叫,ben'lai'jiao
本能寺之变,ben'neng'si'zhi'bian
本尼迪克特,ben'ni'di'ke'te
本是,ben'shi
本始元年,ben'shi'yuan'nian
彼此欺诈并吞,bi'ci'qi'zha'bing'tun
彼得大帝,bi'de'da'di
彼得格勒十月武装起义,bi'de'ge'le'shi'yue'wu'zhuang'qi'yi
闭关自守,bi'guan'zi'shou
比较安定,bi'jiao'an'ding
比较不显眼,bi'jiao'bu'xian'yan
比较巩固的,bi'jiao'gong'gu'de
比较近,bi'jiao'jin
比较强大,bi'jiao'qiang'da
比较完备,bi'jiao'wan'bei
避开楚军,bi'kai'chu'jun
比欧洲同类建筑,bi'ou'zhou'tong'lei'jian'zhu
必然趋势,bi'ran'qu'shi
俾斯麦,bi'si'mai
必欣于敌去,bi'xin'yu'di'qu
必须取得,bi'xu'qu'de
必要的,bi'yao'de
毕业以后,bi'ye'yi'hou
鼻翼宽,bi'yi'kuan
庇荫佃客,bi'yin'dian'ke
庇廕亲族,bi'yin'qin'zu
碧玉年华,bi'yu'nian'hua
笔者在,bi'zhe'zai
币制,bi'zhi
变钞,bian'chao
变成了,bian'cheng'le
编成一本书,bian'cheng'yi'ben'shu
变得更为强大,bian'de'geng'wei'qiang'da
变动事件,bian'dong'shi'jian
变法的核心,bian'fa'de'he'xin
变法鼓励,bian'fa'gu'li
变法运动,bian'fa'yun'dong
编户齐民,bian'hu'qi'min
汴滑,bian'hua
便集中火力,bian'ji'zhong'huo'li
便将,bian'jiang
边将,bian'jiang
汴京城中粮尽援绝,bian'jing'cheng'zhong'liang'jin'yuan'jue
边境地区,bian'jing'di'qu
便开始了,bian'kai'shi'le
变了农业,bian'le'nong'ye
便利了,bian'li'le
编年史,bian'nian'shi
编年史上,bian'nian'shi'shang
编年体,bian'nian'ti
编年体史书,bian'nian'ti'shi'shu
便前往临幸,bian'qian'wang'lin'xing
边让,bian'rang
编入郡县为,bian'ru'jun'xian'wei
边生产,bian'sheng'chan
鞭尸三百,bian'shi'san'bai
变水患为水利,bian'shui'huan'wei'shui'li
便提出,bian'ti'chu
编为一庄,bian'wei'yi'zhuang
便向西吞并,bian'xiang'xi'tun'bing
边销售,bian'xiao'shou
便以,bian'yi
便有万人规模,bian'you'wan'ren'gui'mo
汴塬一带,bian'yuan'yi'dai
便在住处前,bian'zai'zhu'chu'qian
编制户口,bian'zhi'hu'kou
便只能是,bian'zhi'neng'shi
汴州,bian'zhou
便自己,bian'zi'ji
编纂了几部,bian'zuan'le'ji'bu
编纂史书,bian'zuan'shi'shu
表示怀疑,biao'shi'huai'yi
表示允许,biao'shi'yun'xu
标准的,biao'zhun'de
并把持,bing'ba'chi
并不断骚扰,bing'bu'duan'sao'rao
兵不过万,bing'bu'guo'wan
并不是唯才是举,bing'bu'shi'wei'cai'shi'ju
并不是这样,bing'bu'shi'zhe'yang
并采纳,bing'cai'na
并曾在今东北地区,bing'ceng'zai'jin'dong'bei'di'qu
并创立,bing'chuang'li
并赐扶苏死,bing'ci'fu'su'si
并大量印制,bing'da'liang'yin'zhi
并定都北京,bing'ding'du'bei'jing
并多次带兵,bing'duo'ci'dai'bing
兵二十三万,bing'er'shi'san'wan
并焚毁书籍,bing'fen'hui'shu'ji
兵分两路,bing'fen'liang'lu
兵分两路南侵,bing'fen'liang'lu'nan'qin
兵符,bing'fu
并俘杀太尉,bing'fu'sha'tai'wei
并攻下周围一些军事要地,bing'gong'xia'zhou'wei'yi'xie'jun'shi'yao'di
并记录成卷,bing'ji'lu'cheng'juan
兵家,bing'jia
并将其,bing'jiang'qi
并将王子,bing'jiang'wang'zi
冰井台,bing'jing'tai
并据以征收,bing'ju'yi'zheng'shou
兵力悬殊,bing'li'xuan'shu
并利用战国,bing'li'yong'zhan'guo
兵临长江而还,bing'lin'chang'jiang'er'hai
并没有放弃,bing'mei'you'fang'qi
并面临蒙古,bing'mian'lin'meng'gu
兵强马壮,bing'qiang'ma'zhuang
并且由于,bing'qie'you'yu
并且正在,bing'qie'zheng'zai
并求扫平河朔以赎罪,bing'qiu'sao'ping'he'shuo'yi'shu'zui
并娶郭子兴养女为妻,bing'qu'guo'zi'xing'yang'nv'wei'qi
并任用,bing'ren'yong
并赏赐他,bing'shang'ci'ta
并生有,bing'sheng'you
并使其,bing'shi'qi
兵十万余,bing'shi'wan'yu
兵士又大半,bing'shi'you'da'ban
并送给吴王,bing'song'gei'wu'wang
并未,bing'wei
并委以官职,bing'wei'yi'guan'zhi
并无血缘关系,bing'wu'xue'yuan'guan'xi
并先后,bing'xian'hou
并先后建立了,bing'xian'hou'jian'li'le
并胁迫,bing'xie'po
并宣布待长兄和世归自北边将立即让位,bing'xuan'bu'dai'zhang'xiong'he'shi'gui'zi'bei'bian'jiang'li'ji'rang'wei
并以,bing'yi
兵役和各种劳役,bing'yi'he'ge'zhong'lao'yi
并一一处死,bing'yi'yi'chu'si
并阴山,bing'yin'shan
并迎接,bing'ying'jie
并迎立太子,bing'ying'li'tai'zi
并有,bing'you
并于,bing'yu
并与俄国签订,bing'yu'e'guo'qian'ding
并与幼子,bing'yu'you'zi
兵源,bing'yuan
并召,bing'zhao
并徵发良人,bing'zheng'fa'liang'ren
兵种已有步,bing'zhong'yi'you'bu
并州刺史,bing'zhou'ci'shi
并州牧,bing'zhou'mu
并作过,bing'zuo'guo
波茨坦会议,bo'ci'tan'hui'yi
伯恩施坦,bo'en'shi'tan
博尔济吉特氏,bo'er'ji'ji'te'shi
伯尔尼国际,bo'er'ni'guo'ji
渤海国,bo'hai'guo
柏拉图,bo'la'tu
波兰,bo'lan
伯利克里,bo'li'ke'li
伯里克利,bo'li'ke'li
玻利瓦尔,bo'li'wa'er
剥脸皮和,bo'lian'pi'he
柏林战役,bo'lin'zhan'yi
伯罗奔尼撒,bo'luo'ben'ni'sa
伯罗奔尼撒同盟,bo'luo'ben'ni'sa'tong'meng
伯罗奔尼撒战争,bo'luo'ben'ni'sa'zhan'zheng
波旁王朝,bo'pang'wang'chao
伯嚭,bo'pi
博涉书史,bo'she'shu'shi
波士顿倾茶事件,bo'shi'dun'qing'cha'shi'jian
波斯帝国的兴起,bo'si'di'guo'de'xing'qi
波斯鱼鳞阵,bo'si'yu'lin'zhen
波斯之地,bo'si'zhi'di
博学鸿词科,bo'xue'hong'ci'ke
伯颜,bo'yan
伯颜独秉国政,bo'yan'du'bing'guo'zheng
伯颜继废止科举之后,bo'yan'ji'fei'zhi'ke'ju'zhi'hou
伯颜侄,bo'yan'zhi
伯阳,bo'yang
伯益,bo'yi
波兹南事件,bo'zi'nan'shi'jian
不曾,bu'ceng
不超过十五户,bu'chao'guo'shi'wu'hu
不臣,bu'chen
补充兵源,bu'chong'bing'yuan
不纯,bu'chun
不但不,bu'dan'bu
不但不联合,bu'dan'bu'lian'he
不但没有受到,bu'dan'mei'you'shou'dao
不得保其,bu'de'bao'qi
不得不,bu'de'bu
不得不度外用人,bu'de'bu'du'wai'yong'ren
不得不将其,bu'de'bu'jiang'qi
不得不于,bu'de'bu'yu
不断地,bu'duan'de
不断反抗,bu'duan'fan'kang
不断改进,bu'duan'gai'jin
不断进击,bu'duan'jin'ji
不断向,bu'duan'xiang
布尔什维克,bu'er'shi'wei'ke
捕法,bu'fa
不乏像,bu'fa'xiang
部分守旧贵族,bu'fen'shou'jiu'gui'zu
部分亦将,bu'fen'yi'jiang
不复存在,bu'fu'cun'zai
不负他白起,bu'fu'ta'bai'qi
不敢去救,bu'gan'qu'jiu
不甘受将相所制,bu'gan'shou'jiang'xiang'suo'zhi
补给供应,bu'gei'gong'ying
不更,bu'geng
不过是赵国,bu'guo'shi'zhao'guo
布哈林,bu'ha'lin
不好过,bu'hao'guo
不和的,bu'he'de
不惑之年,bu'huo'zhi'nian
不仅敢于,bu'jin'gan'yu
不经,bu'jing
不久就分崩离析了,bu'jiu'jiu'fen'beng'li'xi'le
不久又,bu'jiu'you
不可胜数,bu'ke'sheng'shu
不肯就范,bu'ken'jiu'fan
不理朝政,bu'li'chao'zheng
不利后,bu'li'hou
不利局势,bu'li'ju'shi
不立太子,bu'li'tai'zi
不理政事,bu'li'zheng'shi
布列斯特和约,bu'lie'si'te'he'yue
卜鲁罕,bu'lu'han
卜鲁罕与,bu'lu'han'yu
布鲁诺,bu'lu'nuo
部落名,bu'luo'ming
步履蹒跚地,bu'lv'pan'shan'di
部门发展起来,bu'men'fa'zhan'qi'lai
不能不说,bu'neng'bu'shuo
不能生育,bu'neng'sheng'yu
布匿战争,bu'ni'zhan'zheng
不平等条约,bu'ping'deng'tiao'yue
步骑,bu'qi
不仁不义,bu'ren'bu'yi
步入官僚行列,bu'ru'guan'liao'hang'lie
不上朝,bu'shang'chao
不寿,bu'shou
不受君命,bu'shou'jun'ming
不为,bu'wei
不惜以自己,bu'xi'yi'zi'ji
部下的,bu'xia'de
不下数万人,bu'xia'shu'wan'ren
不降,bu'xiang
不一定管,bu'yi'ding'guan
不宜于此营建,bu'yi'yu'ci'ying'jian
不愿受胡族统治,bu'yuan'shou'hu'zu'tong'zhi
不再成为,bu'zai'cheng'wei
不至于败亡,bu'zhi'yu'bai'wang
不知自忌,bu'zhi'zi'ji
部族势力强大,bu'zu'shi'li'qiang'da
逋租宿债,bu'zu'su'zhai
蔡哀侯,cai'ai'hou
裁罢冗职,cai'ba'rong'zhi
蔡伯荒,cai'bo'huang
裁撤政府,cai'che'zheng'fu
蔡成侯,cai'cheng'hou
蔡戴侯,cai'dai'hou
蔡悼侯,cai'dao'hou
才得以,cai'de'yi
蔡共侯,cai'gong'hou
蔡宫侯,cai'gong'hou
蔡桓侯,cai'huan'hou
裁减冗官,cai'jian'rong'guan
蔡景侯,cai'jing'hou
才开始改变,cai'kai'shi'gai'bian
采矿业,cai'kuang'ye
财力和人力,cai'li'he'ren'li
蔡厉侯,cai'li'hou
蔡灵侯,cai'ling'hou
蔡伦,cai'lun
蔡穆侯,cai'mu'hou
蔡平侯,cai'ping'hou
采取了,cai'qu'le
采取奴隶制的,cai'qu'nu'li'zhi'de
采取威逼政策,cai'qu'wei'bi'zheng'ce
才设将军,cai'she'jiang'jun
蔡叔度,cai'shu'du
蔡叔度姬度,cai'shu'du'ji'du
裁汰冗员,cai'tai'rong'yuan
蔡特金,cai'te'jin
菜田,cai'tian
才完成其,cai'wan'cheng'qi
蔡文侯,cai'wen'hou
蔡武侯,cai'wu'hou
蔡僖侯,cai'xi'hou
蔡徐郓曹齐濮,cai'xu'yun'cao'qi'pu
蔡宣侯,cai'xuan'hou
采邑,cai'yi
蔡夷侯,cai'yi'hou
才有一个,cai'you'yi'ge
蔡元培,cai'yuan'pei
才在中国,cai'zai'zhong'guo
蔡昭侯,cai'zhao'hou
财政亏空,cai'zheng'kui'kong
蔡仲,cai'zhong
蔡仲姬胡,cai'zhong'ji'hu
蔡庄侯,cai'zhuang'hou
残暴的隋炀帝,can'bao'de'sui'yang'di
残暴荒,can'bao'huang
残害杀死,can'hai'sha'si
参加了红巾军,can'jia'le'hong'jin'jun
参加内战,can'jia'nei'zhan
参看,can'kan
残破不堪,can'po'bu'kan
残破局面,can'po'ju'mian
残忍地,can'ren'de
灿如星汉,can'ru'xing'han
惨无人道的,can'wu'ren'dao'de
参与政治,can'yu'zheng'zhi
仓粟,cang'su
曹参,cao'can
曹操,cao'cao
曹操北归以后用兵于,cao'cao'bei'gui'yi'hou'yong'bing'yu
曹操不但,cao'cao'bu'dan
曹操的,cao'cao'de
曹操得邺城后,cao'cao'de'ye'cheng'hou
曹操进驻冀州后,cao'cao'jin'zhu'ji'zhou'hou
曹操命令,cao'cao'ming'ling
曹操杀戮,cao'cao'sha'lu
曹操是,cao'cao'shi
曹操死,cao'cao'si
曹操逃至,cao'cao'tao'zhi
曹操为了,cao'cao'wei'le
曹操以弱胜强,cao'cao'yi'ruo'sheng'qiang
曹操由于,cao'cao'you'yu
曹操与袁绍,cao'cao'yu'yuan'shao
曹操占据兖豫二州,cao'cao'zhan'ju'yan'yu'er'zhou
曹成公,cao'cheng'gong
曹成公姬负刍,cao'cheng'gong'ji'fu'chu
曹戴伯,cao'dai'bo
曹戴伯姬苏,cao'dai'bo'ji'su
曹悼公,cao'dao'gong
曹悼公姬午,cao'dao'gong'ji'wu
曹芳,cao'fang
