安全带,an'quan'dai
常微分方程组,chang'wei'fen'fang'cheng'zu
超高,chao'gao
超高的,chao'gao'de
超高帧,chao'gao'zhen
超静定,chao'jing'ding
超静定超静定的,chao'jing'ding'chao'jing'ding'de
超静定的,chao'jing'ding'de
超静定结构,chao'jing'ding'jie'gou
超快硬水泥,chao'kuai'ying'shui'ni
超障净空高度,chao'zhang'jing'kong'gao'du
车道,che'dao
车道宽度车道宽度,che'dao'kuan'du'che'dao'kuan'du
车顶板,che'ding'ban
车队,che'dui
车间净距,che'jian'jing'ju
车辆荷载,che'liang'he'zai
车辆荷载车辆载荷整车,che'liang'he'zai'che'liang'zai'he'zheng'che
车流量,che'liu'liang
沉船漂浮物,chen'chuan'piao'fu'wu
沉淀,chen'dian
沉管灌注桩,chen'guan'guan'zhu'zhuang
沉降,chen'jiang
沉降缝,chen'jiang'feng
沉降灰,chen'jiang'hui
沉井基础,chen'jing'ji'chu
沉井基础工事井筒工法,chen'jing'ji'chu'gong'shi'jing'tong'gong'fa
沉箱基础,chen'xiang'ji'chu
承保电机工程局,cheng'bao'dian'ji'gong'cheng'ju
城堡主塔,cheng'bao'zhu'ta
成反比例,cheng'fan'bi'li
城市道路网,cheng'shi'dao'lu'wang
城市电网网架结构,cheng'shi'dian'wang'wang'jia'jie'gou
撑式桥台墙,cheng'shi'qiao'tai'qiang
承台,cheng'tai
承台结构承台结构,cheng'tai'jie'gou'cheng'tai'jie'gou
承压板,cheng'ya'ban
承压承压,cheng'ya'cheng'ya
承压缝,cheng'ya'feng
承重构件支承构件,cheng'zhong'gou'jian'zhi'cheng'gou'jian
承重支承构件,cheng'zhong'zhi'cheng'gou'jian
持久状况持久状况,chi'jiu'zhuang'kuang'chi'jiu'zhuang'kuang
重叠,chong'die
冲击力,chong'ji'li
冲击韧性,chong'ji'ren'xing
冲击韧性值,chong'ji'ren'xing'zhi
重建,chong'jian
重现期,chong'xian'qi
初步尺寸,chu'bu'chi'cun
初步设计,chu'bu'she'ji
初颤振,chu'chan'zhen
初始屈服面,chu'shi'qu'fu'mian
初始水化热,chu'shi'shui'hua're
初始应力,chu'shi'ying'li
初始应力场,chu'shi'ying'li'chang
初始应力固有应力,chu'shi'ying'li'gu'you'ying'li
船舶结构力学,chuan'bo'jie'gou'li'xue
船体中性面,chuan'ti'zhong'xing'mian
创建三角形单元,chuang'jian'san'jiao'xing'dan'yuan
锤击贯入仪,chui'ji'guan'ru'yi
垂直,chui'zhi
纯剪切破坏,chun'jian'qie'po'huai
次最优化,ci'zui'you'hua
簇变形,cu'bian'xing
促水化作用,cu'shui'hua'zuo'yong
脆性,cui'xing
脆性材料,cui'xing'cai'liao
脆性材料抗拉强度测试仪,cui'xing'cai'liao'kang'la'qiang'du'ce'shi'yi
脆性破坏,cui'xing'po'huai
脆性破坏脆性断裂,cui'xing'po'huai'cui'xing'duan'lie
存储数据库,cun'chu'shu'ju'ku
大地测量学,da'di'ce'liang'xue
大地测量学的,da'di'ce'liang'xue'de
大跨度大跨度,da'kua'du'da'kua'du
大跨度低音,da'kua'du'di'yin
大跨度温室,da'kua'du'wen'shi
大理石,da'li'shi
大理石殿,da'li'shi'dian
大卵石,da'luan'shi
大挠度,da'nao'du
大型泥石流,da'xing'ni'shi'liu
代表值,dai'biao'zhi
代用锚石锚,dai'yong'mao'shi'mao
单道岔,dan'dao'cha
单调的,dan'diao'de
单墩单墩,dan'dun'dan'dun
单墩尾水管,dan'dun'wei'shui'guan
单墩肘形尾水管,dan'dun'zhou'xing'wei'shui'guan
单排板桩围堰,dan'pai'ban'zhuang'wei'yan
单一粒度骨料,dan'yi'li'du'gu'liao
单元,dan'yuan
单元刚度矩阵,dan'yuan'gang'du'ju'zhen
单元格,dan'yuan'ge
单元应变矩阵,dan'yuan'ying'bian'ju'zhen
挡土墙,dang'tu'qiang
道岔,dao'cha
道岔锁,dao'cha'suo
导航,dao'hang
道路分隔栏道路分隔栏,dao'lu'fen'ge'lan'dao'lu'fen'ge'lan
道路工程,dao'lu'gong'cheng
道路工程闪灯道路工程闪灯,dao'lu'gong'cheng'shan'deng'dao'lu'gong'cheng'shan'deng
道路工程师,dao'lu'gong'cheng'shi
道路工程学,dao'lu'gong'cheng'xue
道路基层,dao'lu'ji'ceng
道路交界处道路交界处,dao'lu'jiao'jie'chu'dao'lu'jiao'jie'chu
道路面层,dao'lu'mian'ceng
道路桥道路桥,dao'lu'qiao'dao'lu'qiao
道路容车量,dao'lu'rong'che'liang
道路网,dao'lu'wang
道路中央分隔栏,dao'lu'zhong'yang'fen'ge'lan
等参单元等参数单元等参元,deng'can'dan'yuan'deng'can'shu'dan'yuan'deng'can'yuan
等高线,deng'gao'xian
等截面粱,deng'jie'mian'liang
等效负载等效荷载等值负载,deng'xiao'fu'zai'deng'xiao'he'zai'deng'zhi'fu'zai
等效荷载,deng'xiao'he'zai
等效荷载原理,deng'xiao'he'zai'yuan'li
等效节点力,deng'xiao'jie'dian'li
等效均布荷载,deng'xiao'jun'bu'he'zai
等效应力综合应力,deng'xiao'ying'li'zong'he'ying'li
等压线,deng'ya'xian
等压线的,deng'ya'xian'de
等压线图,deng'ya'xian'tu
底板,di'ban
地层,di'ceng
地磁水平分力,di'ci'shui'ping'fen'li
低地乡郊地区,di'di'xiang'jiao'di'qu
底摩擦系数,di'mo'ca'xi'shu
低水位,di'shui'wei
地形图,di'xing'tu
地域,di'yu
地域圏,di'yu'juan
地域论,di'yu'lun
地震,di'zhen
地震活动,di'zhen'huo'dong
地震活动图,di'zhen'huo'dong'tu
地震活动性,di'zhen'huo'dong'xing
地震系数,di'zhen'xi'shu
地震系数法,di'zhen'xi'shu'fa
地震仪,di'zhen'yi
地震作用标准值,di'zhen'zuo'yong'biao'zhun'zhi
地质学,di'zhi'xue
地质学家,di'zhi'xue'jia
低桩承台,di'zhuang'cheng'tai
低桩承台基础,di'zhuang'cheng'tai'ji'chu
底座,di'zuo
底座横隔板,di'zuo'heng'ge'ban
电磁龙门吊,dian'ci'long'men'diao
电动力作用,dian'dong'li'zuo'yong
点焊接,dian'han'jie
电破坏强度,dian'po'huai'qiang'du
电刷位移角,dian'shua'wei'yi'jiao
电阻温度计,dian'zu'wen'du'ji
吊桁架,diao'heng'jia
吊机起重塔,diao'ji'qi'zhong'ta
吊机塔中柱主塔,diao'ji'ta'zhong'zhu'zhu'ta
吊桥,diao'qiao
吊装,diao'zhuang
顶板,ding'ban
顶峰,ding'feng
定量分析,ding'liang'fen'xi
顶推驳运法,ding'tui'bo'yun'fa
顶推法顶推法,ding'tui'fa'ding'tui'fa
动刚度比,dong'gang'du'bi
动剪切模量,dong'jian'qie'mo'liang
动剪切强度,dong'jian'qie'qiang'du
动力系数,dong'li'xi'shu
动力学,dong'li'xue
动力作用光动力作用,dong'li'zuo'yong'guang'dong'li'zuo'yong
冻融周期,dong'rong'zhou'qi
动态的,dong'tai'de
动态应力应变关系,dong'tai'ying'li'ying'bian'guan'xi
独塔斜拉桥独塔斜拉桥,du'ta'xie'la'qiao'du'ta'xie'la'qiao
镀锌钢绞线,du'xin'gang'jiao'xian
端部承载的工字钢桩,duan'bu'cheng'zai'de'gong'zi'gang'zhuang
短加劲肋,duan'jia'jin'lei
断裂,duan'lie
断裂力学,duan'lie'li'xue
端头拼接板,duan'tou'pin'jie'ban
短暂状况短暂状况,duan'zan'zhuang'kuang'duan'zan'zhuang'kuang
对称的,dui'chen'de
墩顶龙骨墩顶木,dun'ding'long'gu'dun'ding'mu
墩盖梁,dun'gai'liang
墩帽,dun'mao
墩身,dun'shen
墩台墩台,dun'tai'dun'tai
墩台石,dun'tai'shi
多边图非常多艺术设计多边图,duo'bian'tu'fei'chang'duo'yi'shu'she'ji'duo'bian'tu
多边形,duo'bian'xing
多边形多角形多面棱体,duo'bian'xing'duo'jiao'xing'duo'mian'leng'ti
多层,duo'ceng
多层的,duo'ceng'de
多层式,duo'ceng'shi
多车道道路,duo'che'dao'dao'lu
多孔道路面层,duo'kong'dao'lu'mian'ceng
多孔梁多孔箱形梁,duo'kong'liang'duo'kong'xiang'xing'liang
多跨连续梁,duo'kua'lian'xu'liang
多用途,duo'yong'tu
多用途船,duo'yong'tu'chuan
多用途房,duo'yong'tu'fang
多柱式,duo'zhu'shi
多柱式建筑,duo'zhu'shi'jian'zhu
多柱式液压计,duo'zhu'shi'ye'ya'ji
二级公路,er'ji'gong'lu
筏式地基筏式地基,fa'shi'di'ji'fa'shi'di'ji
法向集中荷载,fa'xiang'ji'zhong'he'zai
反比例,fan'bi'li
反比例量,fan'bi'li'liang
反对称,fan'dui'chen
反对称化,fan'dui'chen'hua
反对称态,fan'dui'chen'tai
反共振频率,fan'gong'zhen'pin'lv
反力影响线,fan'li'ying'xiang'xian
反铺设,fan'pu'she
反射波,fan'she'bo
反射波场,fan'she'bo'chang
反射波至,fan'she'bo'zhi
反射器,fan'she'qi
反弯点,fan'wan'dian
范围领域球球体,fan'wei'ling'yu'qiu'qiu'ti
翻新,fan'xin
反有限元分析,fan'you'xian'yuan'fen'xi
放射性,fang'she'xing
防水,fang'shui
方向余弦,fang'xiang'yu'xian
非均布应力,fei'jun'bu'ying'li
非平衡条件,fei'ping'heng'tiao'jian
非系统误差,fei'xi'tong'wu'cha
非线性,fei'xian'xing
非线性随机振动,fei'xian'xing'sui'ji'zhen'dong
非线性振动,fei'xian'xing'zhen'dong
非线性振动理论,fei'xian'xing'zhen'dong'li'lun
分包工程合约分包工程合约,fen'bao'gong'cheng'he'yue'fen'bao'gong'cheng'he'yue
分层道路交界处,fen'ceng'dao'lu'jiao'jie'chu
分段合拢,fen'duan'he'long
分解几何矩阵,fen'jie'ji'he'ju'zhen
分析解解析解,fen'xi'jie'jie'xi'jie
分项系数分项系数,fen'xiang'xi'shu'fen'xiang'xi'shu
风的横向移动,feng'de'heng'xiang'yi'dong
风洞试验,feng'dong'shi'yan
风洞试验室,feng'dong'shi'yan'shi
风荷载,feng'he'zai
风荷载标准值,feng'he'zai'biao'zhun'zhi
风荷载体型系数,feng'he'zai'ti'xing'xi'shu
风阻力系数,feng'zu'li'xi'shu
腹板,fu'ban
复合应力,fu'he'ying'li
复合应力蠕变,fu'he'ying'li'ru'bian
复合应力试验,fu'he'ying'li'shi'yan
浮桥,fu'qiao
辐射矩阵,fu'she'ju'zhen
辐射密度矩阵,fu'she'mi'du'ju'zhen
浮式沉井基础,fu'shi'chen'jing'ji'chu
腐蚀的,fu'shi'de
附属品,fu'shu'pin
附属设备,fu'shu'she'bei
附属设备市场,fu'shu'she'bei'shi'chang
负温度梯度,fu'wen'du'ti'du
辅泄水管,fu'xie'shui'guan
氟致冷剂,fu'zhi'leng'ji
辅助道路网,fu'zhu'dao'lu'wang
辅助设备,fu'zhu'she'bei
盖梁,gai'liang
概率断裂力学,gai'lv'duan'lie'li'xue
概率分布,gai'lv'fen'bu
杆系,gan'xi
杆系参数,gan'xi'can'shu
杆系结构,gan'xi'jie'gou
钢材,gang'cai
钢材强度标准值,gang'cai'qiang'du'biao'zhun'zhi
刚度,gang'du
刚度比,gang'du'bi
刚度比劲度比,gang'du'bi'jin'du'bi
刚度矩阵,gang'du'ju'zhen
刚度系数,gang'du'xi'shu
刚构刚性构架,gang'gou'gang'xing'gou'jia
刚构桥,gang'gou'qiao
钢管,gang'guan
钢管混凝土结构,gang'guan'hun'ning'tu'jie'gou
钢管空间构架,gang'guan'kong'jian'gou'jia
钢桁架桥,gang'heng'jia'qiao
刚架,gang'jia
刚架梁,gang'jia'liang
钢绞线,gang'jiao'xian
钢绞线芯,gang'jiao'xian'xin
钢结构,gang'jie'gou
钢结构设计,gang'jie'gou'she'ji
钢结构设计规范,gang'jie'gou'she'ji'gui'fan
钢筋,gang'jin
钢筋定位物钢筋定位物,gang'jin'ding'wei'wu'gang'jin'ding'wei'wu
钢筋混凝土的主钢筋,gang'jin'hun'ning'tu'de'zhu'gang'jin
钢筋混凝土封盖钢筋混凝土封盖,gang'jin'hun'ning'tu'feng'gai'gang'jin'hun'ning'tu'feng'gai
钢筋混凝土结构,gang'jin'hun'ning'tu'jie'gou
钢筋剪切机,gang'jin'jian'qie'ji
钢筋锚具,gang'jin'mao'ju
钢筋强度标准值,gang'jin'qiang'du'biao'zhun'zhi
钢筋条,gang'jin'tiao
刚强度,gang'qiang'du
钢桥,gang'qiao
钢桥索,gang'qiao'suo
钢丝绳,gang'si'sheng
钢围堰,gang'wei'yan
钢斜拉桥,gang'xie'la'qiao
刚性构架,gang'xing'gou'jia
刚性接缝刚性接缝,gang'xing'jie'feng'gang'xing'jie'feng
刚性系数,gang'xing'xi'shu
刚性系数模数,gang'xing'xi'shu'mo'shu
高程,gao'cheng
高程导线,gao'cheng'dao'xian
高程控制点,gao'cheng'kong'zhi'dian
高程中误差,gao'cheng'zhong'wu'cha
高茨玛特大桥,gao'ci'ma'te'da'qiao
高等钢筋混凝土结构,gao'deng'gang'jin'hun'ning'tu'jie'gou
高等工程力学,gao'deng'gong'cheng'li'xue
高等结构动力学,gao'deng'jie'gou'dong'li'xue
高等土力学,gao'deng'tu'li'xue
高等岩石力学,gao'deng'yan'shi'li'xue
高地乡郊地区,gao'di'xiang'jiao'di'qu
高墩,gao'dun
高和易性,gao'he'yi'xing
高级公路,gao'ji'gong'lu
高级快硬水泥,gao'ji'kuai'ying'shui'ni
高架桥,gao'jia'qiao
高架桥高架桥,gao'jia'qiao'gao'jia'qiao
高架桥面,gao'jia'qiao'mian
高架桥桥墩高架桥桥墩,gao'jia'qiao'qiao'dun'gao'jia'qiao'qiao'dun
高可靠度,gao'ke'kao'du
高跨比矢跨比,gao'kua'bi'shi'kua'bi
高水位,gao'shui'wei
高桩承台,gao'zhuang'cheng'tai
高自由度,gao'zi'you'du
高最大应力,gao'zui'da'ying'li
隔板横隔墙,ge'ban'heng'ge'qiang
格里菲斯脆性破坏准则,ge'li'fei'si'cui'xing'po'huai'zhun'ze
割线刚度矩阵,ge'xian'gang'du'ju'zhen
更新,geng'xin
共参考点,gong'can'kao'dian
工厂总体设计图,gong'chang'zong'ti'she'ji'tu
工程机械,gong'cheng'ji'xie
工程机械厂,gong'cheng'ji'xie'chang
工程机械图,gong'cheng'ji'xie'tu
工程建设,gong'cheng'jian'she
工程建设标准,gong'cheng'jian'she'biao'zhun
工程建筑工程建筑,gong'cheng'jian'zhu'gong'cheng'jian'zhu
工程建筑物,gong'cheng'jian'zhu'wu
工程局工程局,gong'cheng'ju'gong'cheng'ju
工程力学,gong'cheng'li'xue
工程力学类,gong'cheng'li'xue'lei
拱顶,gong'ding
拱顶石,gong'ding'shi
拱端托拱墩拱脚起拱点,gong'duan'tuo'gong'dun'gong'jiao'qi'gong'dian
拱腹,gong'fu
拱腹线,gong'fu'xian
公共工程局,gong'gong'gong'cheng'ju
拱涵,gong'han
拱脚,gong'jiao
拱铰拱脚铰,gong'jiao'gong'jiao'jiao
拱脚铰,gong'jiao'jiao
公路车辆荷载标准,gong'lu'che'liang'he'zai'biao'zhun
公路等级公路等级,gong'lu'deng'ji'gong'lu'deng'ji
公路桥涵公路施工手册桥涵,gong'lu'qiao'han'gong'lu'shi'gong'shou'ce'qiao'han
拱桥,gong'qiao
公式,gong'shi
拱矢拱的高跨比,gong'shi'gong'de'gao'kua'bi
汞压力计,gong'ya'li'ji
公寓,gong'yu
共振频率,gong'zhen'pin'lv
共振频率计,gong'zhen'pin'lv'ji
工字钢桩工字钢桩,gong'zi'gang'zhuang'gong'zi'gang'zhuang
工作机理,gong'zuo'ji'li
工作扭转角,gong'zuo'niu'zhuan'jiao
工作平面,gong'zuo'ping'mian
骨板骨单元,gu'ban'gu'dan'yuan
骨测量学,gu'ce'liang'xue
固定,gu'ding
固定的,gu'ding'de
固定夹,gu'ding'jia
固定简支梁,gu'ding'jian'zhi'liang
古河槽,gu'he'cao
箍筋,gu'jin
箍筋柱,gu'jin'zhu
骨料,gu'liao
骨料分级骨料级配,gu'liao'fen'ji'gu'liao'ji'pei
骨料级配,gu'liao'ji'pei
骨料粒度骨料粒度,gu'liao'li'du'gu'liao'li'du
谷式应力图,gu'shi'ying'li'tu
古水文学,gu'shui'wen'xue
固体力学,gu'ti'li'xue
固体力学基础,gu'ti'li'xue'ji'chu
古栈道,gu'zhan'dao
管道,guan'dao
官方认可标准,guan'fang'ren'ke'biao'zhun
管涵,guan'han
管摩擦系数,guan'mo'ca'xi'shu
贯入仪,guan'ru'yi
惯性矩,guan'xing'ju
管支座,guan'zhi'zuo
灌注混凝土基础灌注混凝土基础,guan'zhu'hun'ning'tu'ji'chu'guan'zhu'hun'ning'tu'ji'chu
灌注桩,guan'zhu'zhuang
管状沉箱基础,guan'zhuang'chen'xiang'ji'chu
管子推顶法,guan'zi'tui'ding'fa
光参考点,guang'can'kao'dian
光反射器,guang'fan'she'qi
光强度,guang'qiang'du
广义节点力,guang'yi'jie'dian'li
轨道,gui'dao
轨道车,gui'dao'che
规范,gui'fan
锅炉附属设备,guo'lu'fu'shu'she'bei
锅炉钢结构设计,guo'lu'gang'jie'gou'she'ji
过应变时效,guo'ying'bian'shi'xiao
海峡,hai'xia
海峡船,hai'xia'chuan
海洋结构动力学,hai'yang'jie'gou'dong'li'xue
涵洞,han'dong
焊接,han'jie
焊接工,han'jie'gong
焊接技术,han'jie'ji'shu
焊接技术展,han'jie'ji'shu'zhan
焊接收缩量,han'jie'shou'suo'liang
含水量,han'shui'liang
夯实回填土,hang'shi'hui'tian'tu
航线徐变,hang'xian'xu'bian
河岸,he'an
河岸林,he'an'lin
河岸侵蚀,he'an'qin'shi
河岸侵蚀堤岸冲刷,he'an'qin'shi'di'an'chong'shua
河岸侵蚀河岸侵食,he'an'qin'shi'he'an'qin'shi
河岸权,he'an'quan
合板梁,he'ban'liang
河槽,he'cao
河槽线,he'cao'xian
合成地震系数,he'cheng'di'zhen'xi'shu
合成橡胶垫圈,he'cheng'xiang'jiao'dian'quan
河床,he'chuang
河床桥墩河墩,he'chuang'qiao'dun'he'dun
河道,he'dao
河道导流墙河道导流墙,he'dao'dao'liu'qiang'he'dao'dao'liu'qiang
核地质学,he'di'zhi'xue
河墩,he'dun
合金钢筋条,he'jin'gang'jin'tiao
合金结构钢,he'jin'jie'gou'gang
合力,he'li
合拢,he'long
合拢器,he'long'qi
河滩,he'tan
河滩地,he'tan'di
河滩区,he'tan'qu
和易性,he'yi'xing
和易性恢复,he'yi'xing'hui'fu
荷载,he'zai
荷载谱桥梁荷载谱,he'zai'pu'qiao'liang'he'zai'pu
荷载强度,he'zai'qiang'du
荷载设计值,he'zai'she'ji'zhi
荷载系数,he'zai'xi'shu
荷载系数法,he'zai'xi'shu'fa
荷载支承结构荷载支承结构,he'zai'zhi'cheng'jie'gou'he'zai'zhi'cheng'jie'gou
荷重挠度曲线,he'zhong'nao'du'qu'xian
横隔板,heng'ge'ban
桁架,heng'jia
桁架桥,heng'jia'qiao
横梁,heng'liang
横坡,heng'po
横向剪切模量,heng'xiang'jian'qie'mo'liang
横向力,heng'xiang'li
横向水平分力,heng'xiang'shui'ping'fen'li
横向限动块横向限动块,heng'xiang'xian'dong'kuai'heng'xiang'xian'dong'kuai
横向移动,heng'xiang'yi'dong
横向移动探针,heng'xiang'yi'dong'tan'zhen
恒载,heng'zai
恒载试验,heng'zai'shi'yan
宏宏观巨大的宏指令,hong'hong'guan'ju'da'de'hong'zhi'ling
宏巨,hong'ju
洪水重现期,hong'shui'chong'xian'qi
洪水流量,hong'shui'liu'liang
洪水流量预报,hong'shui'liu'liang'yu'bao
后处理器后处理器,hou'chu'li'qi'hou'chu'li'qi
后继屈服面,hou'ji'qu'fu'mian
后置处理器,hou'zhi'chu'li'qi
护坡,hu'po
护坡工程护坡工程,hu'po'gong'cheng'hu'po'gong'cheng
护坡工程山腹工,hu'po'gong'cheng'shan'fu'gong
互作用效应,hu'zuo'yong'xiao'ying
滑动力,hua'dong'li
滑动力的抗力,hua'dong'li'de'kang'li
划分网格,hua'fen'wang'ge
滑跑动力控制组件,hua'pao'dong'li'kong'zhi'zu'jian
滑坡泥石流,hua'po'ni'shi'liu
画图重新画图,hua'tu'chong'xin'hua'tu
恢复数据库,hui'fu'shu'ju'ku
回弹,hui'tan
回弹性,hui'tan'xing
回弹仪,hui'tan'yi
回填土夯实,hui'tian'tu'hang'shi
绘制剪力和弯矩图的图解法,hui'zhi'jian'li'he'wan'ju'tu'de'tu'jie'fa
回转半径,hui'zhuan'ban'jing
混合骨料级配,hun'he'gu'liao'ji'pei
混合料,hun'he'liao
混凝土板,hun'ning'tu'ban
混凝土板桩,hun'ning'tu'ban'zhuang
混凝土剥落,hun'ning'tu'bo'luo
混凝土剥落修葺工程,hun'ning'tu'bo'luo'xiu'qi'gong'cheng
混凝土厂房混凝土厂房,hun'ning'tu'chang'fang'hun'ning'tu'chang'fang
混凝土混合料离析,hun'ning'tu'hun'he'liao'li'xi
混凝土离析,hun'ning'tu'li'xi
火车轮渡,huo'che'lun'du
火车站,huo'che'zhan
活动便桥,huo'dong'bian'qiao
火山灰,huo'shan'hui
火山灰水泥,huo'shan'hui'shui'ni
活载活载,huo'zai'huo'zai
基本风速基本风速,ji'ben'feng'su'ji'ben'feng'su
基本建设项目施工图设计,ji'ben'jian'she'xiang'mu'shi'gong'tu'she'ji
基本自振周期,ji'ben'zi'zhen'zhou'qi
基础,ji'chu
基础的,ji'chu'de
基础工程,ji'chu'gong'cheng
基础工程学,ji'chu'gong'cheng'xue
基础下部结构,ji'chu'xia'bu'jie'gou
基础自振频率,ji'chu'zi'zhen'pin'lv
极大值原理最大值原理,ji'da'zhi'yuan'li'zui'da'zhi'yuan'li
极惯性矩,ji'guan'xing'ju
几何矩阵,ji'he'ju'zhen
几何描述矩阵,ji'he'miao'shu'ju'zhen
几何特征,ji'he'te'zheng
集料,ji'liao
机身应力图,ji'shen'ying'li'tu
技术标准,ji'shu'biao'zhun
技术设计,ji'shu'she'ji
技术设计图,ji'shu'she'ji'tu
技术设计员,ji'shu'she'ji'yuan
计算机辅助教育,ji'suan'ji'fu'zhu'jiao'yu
计算机圆锥体,ji'suan'ji'yuan'zhui'ti
计算跨径计算跨径,ji'suan'kua'jing'ji'suan'kua'jing
计算图式,ji'suan'tu'shi
即无铰拱刚拱,ji'wu'jiao'gong'gang'gong
即无铰拱固端拱,ji'wu'jiao'gong'gu'duan'gong
极限荷载,ji'xian'he'zai
极限荷载设计,ji'xian'he'zai'she'ji
极限抗拉强度,ji'xian'kang'la'qiang'du
极限抗拉强度极限拉力,ji'xian'kang'la'qiang'du'ji'xian'la'li
极限抗拉应力,ji'xian'kang'la'ying'li
极限状态,ji'xian'zhuang'tai
极限状态设计,ji'xian'zhuang'tai'she'ji
积有限元法,ji'you'xian'yuan'fa
集中荷载,ji'zhong'he'zai
集总质量矩阵,ji'zong'zhi'liang'ju'zhen
假参考轴,jia'can'kao'zhou
加固工程加固工程,jia'gu'gong'cheng'jia'gu'gong'cheng
加劲肋,jia'jin'lei
加劲梁,jia'jin'liang
加劲梁节点,jia'jin'liang'jie'dian
加劲悬索桥,jia'jin'xuan'suo'qiao
夹具,jia'ju
加速,jia'su
加载面,jia'zai'mian
假阻力系数,jia'zu'li'xi'shu
检查结果,jian'cha'jie'guo
间距,jian'ju
剪力,jian'li
剪力钉,jian'li'ding
剪力和弯矩图,jian'li'he'wan'ju'tu
剪力墙,jian'li'qiang
剪力墙结构,jian'li'qiang'jie'gou
剪力图,jian'li'tu
建模,jian'mo
建模期,jian'mo'qi
建模系统建模造型修改工具栏,jian'mo'xi'tong'jian'mo'zao'xing'xiu'gai'gong'ju'lan
剪切钢筋剪切钢筋,jian'qie'gang'jin'jian'qie'gang'jin
剪切模量,jian'qie'mo'liang
剪切破坏,jian'qie'po'huai
剪切强度,jian'qie'qiang'du
减速,jian'su
硷性的,jian'xing'de
碱性的,jian'xing'de
剪应变,jian'ying'bian
剪应变计,jian'ying'bian'ji
剪应变能,jian'ying'bian'neng
剪应力,jian'ying'li
剪应力线,jian'ying'li'xian
简支结构,jian'zhi'jie'gou
