阿鼻地獄也叫無間地獄,a'bi'di'yu'ye'jiao'mo'jian'di'yu
教他的弟子們修止觀,jiao'ta'de'di'zi'men'xiu'zhi'guan
叫小千世界,jiao'xiao'qian'shi'jie
叫中千世界,jiao'zhong'qian'shi'jie
皆得神通自在,jie'de'shen'tong'zi'zai
皆具紫磨眞金色身,jie'ju'zi'mo'zhen'jin'se'shen
介紹給眾生的機緣,jie'shao'gei'zhong'sheng'de'ji'yuan
盡全部的力量,jin'quan'bu'de'li'liang
淨而不染,jing'er'bu'ran
精勤求索恭慎保持,jing'qin'qiu'suo'gong'shen'bao'chi
就是三時繫念,jiu'shi'san'shi'xi'nian
就像一棵大樹,jiu'xiang'yi'ke'da'shu
久遠劫以來,jiu'yuan'jie'yi'lai
具足什麼,ju'zu'shen'mo
決定往生,jue'ding'wang'sheng
覺而不迷,jue'er'bu'mi
開山祖師到,kai'shan'zu'shi'dao
肯定要墮阿鼻地獄,ken'ding'yao'hui'a'bi'di'yu
口念彌陀心散亂,kou'nian'mi'tuo'xin'san'luan
會借假修眞,kuai'jie'jia'xiu'zhen
會用的頭頭是道,kuai'yong'de'tou'tou'shi'dao
快樂無極,kuai'yue'mo'ji
快樂智慧,kuai'yue'zhi'hui
禮敬諸佛稱讚如來,li'jing'zhu'fo'cheng'zan'ru'lai
裡面說得很清楚,li'mian'shuo'de'hen'qing'chu
裡面所說的,li'mian'suo'shuo'de
裡面做野狐貍,li'mian'zuo'ye'hu'li
利益眾生,li'yi'zhong'sheng
了凡四訓,liao'fan'si'xun
六道輪回的凡夫,liu'dao'lun'hui'de'fan'fu
盲修瞎練,mang'xiu'xia'lian
密在哪呢,mi'zai'na'ne
密在汝邊,mi'zai'ru'bian
明白宇宙人生的,ming'bai'yu'zhou'ren'sheng'de
明鏡亦非臺,ming'jing'yi'fei'tai
明心見性的眞實功夫,ming'xin'xian'xing'de'zhen'shi'gong'fu
明心見性了,ming'xin'xian'xing'le
無二無別,mo'er'mo'bie
末法時期億億人修行,mo'fa'shi'qi'yi'yi'ren'xiu'xing
摩訶般若波羅密,mo'he'bo're'bo'luo'mi
摩訶薩它的含義是大,mo'he'sa'ta'de'han'yi'shi'da
無極之體,mo'ji'zhi'ti
無量的,mo'liang'de
無量的稱心如意,mo'liang'de'cheng'xin'ru'yi
無量的福報,mo'liang'de'fu'bao
無量的善好,mo'liang'de'shan'hao
無量清淨平等覺,mo'liang'qing'jing'ping'deng'jue
無量壽經,mo'liang'shou'jing
無量壽經講解的,mo'liang'shou'jing'jiang'jie'de
無所不曉無所不能,mo'suo'bu'xiao'mo'suo'bu'neng
無所不知,mo'suo'bu'zhi
那個量束縛著,na'ge'liang'shu'fu'zhu
那個資格證書一樣,na'ge'zi'ge'zheng'shu'yi'yang
那戒律二百五十條男眾,na'jie'lv'er'bai'wu'shi'tiao'nan'zhong
那你錯了,na'ni'cuo'le
那是規矩啊,na'shi'gui'ju'a
那五百大長者,na'wu'bai'da'chang'zhe
那自性裡面,na'zi'xing'li'mian
內獨駛急,nei'du'shi'ji
能幫助眾生,neng'bang'zhu'zhong'sheng
你把心定在,ni'ba'xin'ding'zai
你不失時機地,ni'bu'shi'shi'ji'di
你不受持佛經,ni'bu'shou'chi'fo'jing
你得到的都是,ni'de'dao'de'dou'shi
你就沒有回歸自性,ni'jiu'mo'you'hui'gui'zi'xing
你看講地藏經,ni'kan'jiang'di'zang'jing
你去介紹,ni'qu'jie'shao
你有資格,ni'you'zi'ge
你只要眞學眞修眞幹,ni'zhi'yao'zhen'xue'zhen'xiu'zhen'gan
念佛法門根本不懂,nian'fo'fa'men'gen'ben'bu'dong
念佛是人生最高的境界,nian'fo'shi'ren'sheng'zui'gao'de'jing'jie
涅槃妙心,nie'pan'miao'xin
破迷開悟的機會,po'mi'kai'wu'de'ji'kuai
普皆迴向,pu'jie'hui'xiang
菩薩戒,pu'sa'jie
菩薩摩訶薩,pu'sa'mo'he'sa
菩薩見此光,pu'sa'xian'ci'guang
菩提本無樹,pu'ti'ben'mo'shu
普賢菩薩十大願王,pu'xian'pu'sa'shi'da'yuan'wang
七處征心,qi'chu'zheng'xin
請佛住世,qing'fo'zhu'shi
清虛之身,qing'xu'zhi'shen
求生兜率內院,qiu'sheng'dou'lv'nei'yuan
去利益眾生,qu'li'yi'zhong'sheng
讓給別人悟,rang'gei'bie'ren'wu
繞于別人行,rao'yu'bie'ren'xing
認為看不著摸不到,ren'wei'kan'bu'zhu'mo'bu'dao
容容虛空,rong'rong'xu'kong
汝自當知汝應自攝,ru'zi'dang'zhi'ru'ying'zi'she
汝自思惟,ru'zi'si'wei
三百四十八條女眾,san'bai'si'shi'ba'tiao'nv'zhong
三大阿僧祇劫,san'da'a'seng'qi'jie
三根普被,san'gen'pu'bei
三十二種大丈夫相,san'shi'er'zhong'da'zhang'fu'xiang
三十個階位登地,san'shi'ge'jie'wei'deng'di
三藏十二部,san'zang'shi'er'bu
上宣佛法,shang'xuan'fo'fa
舍識用智用智慧,she'shi'yong'zhi'yong'zhi'hui
誰啊雲谷禪師,shei'a'yun'gu'chan'shi
什麼哥德巴赫猜想,shen'mo'ge'de'ba'he'cai'xiang
什麼是觀,shen'mo'shi'guan
身是菩提樹,shen'shi'pu'ti'shu
神通,shen'tong
神足通,shen'zu'tong
昇灌頂階,sheng'guan'ding'jie
適得其中,shi'de'qi'zhong
十番顯見,shi'fan'xian'xian
十方三世一切佛,shi'fang'san'shi'yi'qie'fo
是個孝女,shi'ge'xiao'nv
十行十回向,shi'hang'shi'hui'xiang
實際上說的就是足赤,shi'ji'shang'shuo'de'jiu'shi'zu'chi
釋迦牟尼佛,shi'jia'mou'ni'fo
世間那富貴如五更春夢啊,shi'jian'na'fu'gui'ru'wu'geng'chun'meng'a
時時勤拂試,shi'shi'qin'fu'shi
是十萬光年,shi'shi'wan'guang'nian
事實眞相,shi'shi'zhen'xiang
是四十八大願的,shi'si'shi'ba'da'yuan'de
實相無相,shi'xiang'mo'xiang
十信十回向,shi'xin'shi'hui'xiang
十信十住,shi'xin'shi'zhu
是一個三千大千世界,shi'yi'ge'san'qian'da'qian'shi'jie
實語者如語者,shi'yu'zhe'ru'yu'zhe
十住十行十回向,shi'zhu'shi'hang'shi'hui'xiang
是自性的流露,shi'zi'xing'de'liu'lu
世尊拈花,shi'zun'nian'hua
受持護持弘揚,shou'chi'hu'chi'hong'yang
授菩提記,shou'pu'ti'ji
說的那個阿闍世太子,shuo'de'na'ge'a'du'shi'tai'zi
四果羅漢對,si'guo'luo'han'dui
四弘誓願第一條就是,si'hong'shi'yuan'di'yi'tiao'jiu'shi
四十八大願,si'shi'ba'da'yuan
四土九品,si'tu'jiu'pin
四種清淨明誨,si'zhong'qing'jing'ming'hui
宿命通他心痛,su'ming'tong'ta'xin'tong
隨喜功德請轉法輪,sui'xi'gong'de'qing'zhuan'fa'lun
隨心則到,sui'xin'ze'dao
雖一世精進勤苦,sui'yi'shi'jing'jin'qin'ku
孫悟空一個,sun'wu'kong'yi'ge
所以叫做自性,suo'yi'jiao'zuo'zi'xing
所有佛的,suo'you'fo'de
所有佛度眾生的,suo'you'fo'du'zhong'sheng'de
所追求的想得到的,suo'zhui'qiu'de'xiang'de'dao'de
它不生不滅,ta'bu'sheng'bu'mie
它的直徑,ta'de'zhi'jing
他犯了五逆重罪他不信佛,ta'fan'le'wu'ni'zhong'zui'ta'bu'xin'fo
它是梵語,ta'shi'fan'yu
貪心做餓鬼,tan'xin'zuo'e'gui
倓虛老法師,tan'xu'lao'fa'shi
天耳通,tian'er'tong
天降禍猶可過,tian'jiang'huo'you'ke'guo
聽一生補處菩薩,ting'yi'sheng'bu'chu'pu'sa
同願同行,tong'yuan'tong'hang
外若遲緩,wai'ruo'chi'huan
萬萬萬萬兆大劫,wan'wan'wan'wan'zhao'da'jie
妄計假我,wang'ji'jia'wo
往生到極樂世界,wang'sheng'dao'ji'yue'shi'jie
為教菩薩,wei'jiao'pu'sa
為什麼婆羅門女,wei'shen'mo'po'luo'men'nv
微笑現金容嘛,wei'xiao'xian'jin'rong'ma
為諸庶類作不請之友,wei'zhu'shu'lei'zuo'bu'qing'zhi'you
我持五戒八戒,wo'chi'wu'jie'ba'jie
我們的眞如本性自性,wo'men'de'zhen'ru'ben'xing'zi'xing
我們搞六道輪回,wo'men'gao'liu'dao'lun'hui
我們生活,wo'men'sheng'huo
五百世在畜生道,wu'bai'shi'zai'chu'sheng'dao
勿使惹塵埃,wu'shi're'chen'ai
五欲六塵,wu'yu'liu'chen
下化眾生嘛,xia'hua'zhong'sheng'ma
現所知量,xian'suo'zhi'liang
想的說的做的,xiang'de'shuo'de'zuo'de
像胡白常黃,xiang'hu'bai'chang'huang
想去立即到了,xiang'qu'li'ji'dao'le
詳細的展開說明,xiang'xi'de'zhan'kai'shuo'ming
小千中千大千,xiao'qian'zhong'qian'da'qian
心如明鏡台,xin'ru'ming'jing'tai
信事信理,xin'shi'xin'li
心香一瓣足矣,xin'xiang'yi'ban'zu'yi
信因信果,xin'yin'xin'guo
信自信他,xin'zi'xin'ta
行不退念不退啊,xing'bu'tui'nian'bu'tui'a
形式上參加,xing'shi'shang'cen'jia
修到菩薩的第四十一級,xiu'dao'pu'sa'de'di'si'shi'yi'ji
修習功德滿足五劫,xiu'xi'gong'de'man'zu'wu'jie
修這三賢位啊,xiu'zhe'san'xian'wei'a
須臾間耳,xu'yu'jian'er
學佛是人生最高的享受,xue'fo'shi'ren'sheng'zui'gao'de'xiang'shou
要修一大阿僧祇劫,yao'xiu'yi'da'a'seng'qi'jie
也不是用那一種,ye'bu'shi'yong'na'yi'zhong
也叫一個佛剎佛國土,ye'jiao'yi'ge'fo'cha'fo'guo'tu
也就是十億個銀河系,ye'jiu'shi'shi'yi'ge'yin'he'xi
也就是位不退,ye'jiu'shi'wei'bu'tui
業力牽引著,ye'li'qian'yin'zhu
依法不依人,yi'fa'bu'yi'ren
以宏誓功德而自莊嚴,yi'hong'shi'gong'de'er'zi'zhuang'yan
依據依靠,yi'ju'yi'kao
依了義不依不了義,yi'le'yi'bu'yi'bu'liao'yi
一千個小世界,yi'qian'ge'xiao'shi'jie
一千萬萬萬萬,yi'qian'wan'wan'wan'wan
一切菩薩摩訶薩,yi'qie'pu'sa'mo'he'sa
一下子等於跨越了,yi'xia'zi'deng'yu'kua'yue'le
依義不依語,yi'yi'bu'yi'yu
依智不依識,yi'zhi'bu'yi'shi
一尊佛教化的區域,yi'zun'fo'jiao'hua'de'qu'yu
因果相續不空,yin'guo'xiang'xu'bu'kong
因果轉變不空,yin'guo'zhuan'bian'bu'kong
因為裡面有三個千,yin'wei'li'mian'you'san'ge'qian
應眾生心,ying'zhong'sheng'xin
永拔生死之本啊,yong'ba'sheng'si'zhi'ben'a
用純淨純善,yong'chun'jing'chun'shan
有幫助眾生,you'bang'zhu'zhong'sheng
有名的九旬說妙,you'ming'de'jiu'xun'shuo'miao
有生老病死,you'sheng'lao'bing'si
有生老病死的,you'sheng'lao'bing'si'de
有天眼通,you'tian'yan'tong
愚癡做畜生,yu'chi'zuo'chu'sheng
與諸佛如來一模一樣,yu'zhu'fo'ru'lai'yi'mo'yi'yang
圓教初住的菩薩,yuan'jiao'chu'zhu'de'pu'sa
在哪成熟了,zai'na'cheng'shu'le
再一千個小千世界,zai'yi'qian'ge'xiao'qian'shi'jie
再一千個中千世界,zai'yi'qian'ge'zhong'qian'shi'jie
造謠誹謗打擊陷害,zao'yao'fei'bang'da'ji'xian'hai
怎麼給菩薩們授記,zen'mo'gei'pu'sa'men'shou'ji
這才是深深地懺悔,zhe'cai'shi'shen'shen'de'chan'hui
這個人非愚即狂,zhe'ge'ren'fei'yu'ji'kuang
這個單位世界,zhe'ge'shan'wei'shi'jie
這個喜馬拉雅山,zhe'ge'xi'ma'la'ya'shan
這個小世界,zhe'ge'xiao'shi'jie
這個銀河系,zhe'ge'yin'he'xi
這就是,zhe'jiu'shi
這理論依據事實依據,zhe'li'lun'yi'ju'shi'shi'yi'ju
這名聞利養,zhe'ming'wen'li'yang
這三賢位十住,zhe'san'xian'wei'shi'zhu
這是二力法門,zhe'shi'er'li'fa'men
這是歷史上,zhe'shi'li'shi'shang
這一生還搞六道輪回,zhe'yi'sheng'huan'gao'liu'dao'lun'hui
這政府發的,zhe'zheng'fu'fa'de
眞如本性是自己的,zhen'ru'ben'xing'shi'zi'ji'de
眞如本性自性之中,zhen'ru'ben'xing'zi'xing'zhi'zhong
眞正圓證三不退,zhen'zheng'yuan'zheng'san'bu'tui
正而不邪,zheng'er'bu'xie
正法眼藏,zheng'fa'yan'cang
智慧慈悲德能,zhi'hui'ci'bei'de'neng
智慧德能去,zhi'hui'de'neng'qu
止住妄念,zhi'zhu'wang'nian
中表相應,zhong'biao'xiang'ying
眾生無邊誓願度,zhong'sheng'mo'bian'shi'yuan'du
住到了正定之聚,zhu'dao'le'zheng'ding'zhi'ju
轉成和,zhuan'cheng'he
專門和釋迦牟尼佛作對,zhuan'men'he'shi'jia'mou'ni'fo'zuo'dui
自己的身體,zi'ji'de'shen'ti
紫磨眞金,zi'mo'zhen'jin
紫磨眞金色身,zi'mo'zhen'jin'se'shen
自然嚴整,zi'ran'yan'zheng
自性就是佛經,zi'xing'jiu'shi'fo'jing
自性看得著摸得到,zi'xing'kan'de'zhu'mo'de'dao
自性裡面的,zi'xing'li'mian'di
自性有的人,zi'xing'you'de'ren
自作孽不可活,zi'zuo'nie'bu'ke'huo
作阿闍黎,zuo'a'du'li
做到了分別亦非意,zuo'dao'le'fen'bie'yi'fei'yi
做事聽誰的指揮,zuo'shi'ting'shei'de'zhi'hui
做眾生的軌範師,zuo'zhong'sheng'de'gui'fan'shi
