爱因斯坦,ai'yin'si'tan
独立自主,du'li'zi'zhu
对保守思想的彻底克服,dui'bao'shou'si'xiang'de'che'di'ke'fu
对客观规律的正确反映,dui'ke'guan'gui'lv'de'zheng'que'fan'ying
对立统一的观点,dui'li'tong'yi'de'guan'dian
对立统一规律,dui'li'tong'yi'gui'lv
对人类历史发展问题的不同回答,dui'ren'lei'li'shi'fa'zhan'wen'ti'de'bu'tong'hui'da
对人是否有利,dui'ren'shi'fou'you'li
对世界可知性问题的不同回答,dui'shi'jie'ke'zhi'xing'wen'ti'de'bu'tong'hui'da
对事物既要肯定又要否定,dui'shi'wu'ji'yao'ken'ding'you'yao'fou'ding
对象性,dui'xiang'xing
对意识的本质问题的不同回答,dui'yi'shi'de'ben'zhi'wen'ti'de'bu'tong'hui'da
恩格斯,en'ge'si
发达资本主义国家,fa'da'zi'ben'zhu'yi'guo'jia
法官审理案件,fa'guan'shen'li'an'jian
法国共产党,fa'guo'gong'chan'dang
发挥主观能动性,fa'hui'zhu'guan'neng'dong'xing
发挥主观能动性的表现,fa'hui'zhu'guan'neng'dong'xing'de'biao'xian
发展,fa'zhan
发展的学说,fa'zhan'de'xue'shuo
发展是一个扬弃的过程,fa'zhan'shi'yi'ge'yang'qi'de'guo'cheng
发展中国家,fa'zhan'zhong'guo'jia
反杜林论,fan'du'lin'lun
反对本本主义,fan'dui'ben'ben'zhu'yi
反对党八股,fan'dui'dang'ba'gu
反对一切形式的二元论,fan'dui'yi'qie'xing'shi'de'er'yuan'lun
反复性,fan'fu'xing
反映和被反映的现象之间的联系,fan'ying'he'bei'fan'ying'de'xian'xiang'zhi'jian'de'lian'xi
反映论与先验论的对立,fan'ying'lun'yu'xian'yan'lun'de'dui'li
分配关系,fen'pei'guan'xi
分析实际情况,fen'xi'shi'ji'qing'kuang
分析与综合,fen'xi'yu'zong'he
丰富了物质和意识相互关系内容,feng'fu'le'wu'zhi'he'yi'shi'xiang'hu'guan'xi'nei'rong
否定之否定规律,fou'ding'zhi'fou'ding'gui'lv
否认静止的存在,fou'ren'jing'zhi'de'cun'zai
否认联系的形而上学观点,fou'ren'lian'xi'de'xing'er'shang'xue'guan'dian
否认运动的存在,fou'ren'yun'dong'de'cun'zai
否认真理的客观性,fou'ren'zhen'li'de'ke'guan'xing
否认真理具有客观标准,fou'ren'zhen'li'ju'you'ke'guan'biao'zhun
改变了人类意识活动的规律性,gai'bian'le'ren'lei'yi'shi'huo'dong'de'gui'lv'xing
改革,gai'ge
改良的资本主义,gai'liang'de'zi'ben'zhu'yi
该社会的各种生产关系,gai'she'hui'de'ge'zhong'sheng'chan'guan'xi
改造和被改造的关系,gai'zao'he'bei'gai'zao'de'guan'xi
改造人类社会,gai'zao'ren'lei'she'hui
改造人生观,gai'zao'ren'sheng'guan
改造自然界,gai'zao'zi'ran'jie
感性认识高于理性认识,gan'xing'ren'shi'gao'yu'li'xing'ren'shi
感性认识和理性认识的关系,gan'xing'ren'shi'he'li'xing'ren'shi'de'guan'xi
割裂历史与逻辑统一的观点,ge'lie'li'shi'yu'luo'ji'tong'yi'de'guan'dian
革命,ge'ming
革命性,ge'ming'xing
革命运动是革命理论的派生物,ge'ming'yun'dong'shi'ge'ming'li'lun'de'pai'sheng'wu
个人对将来职业的向往与追求,ge'ren'dui'jiang'lai'zhi'ye'de'xiang'wang'yu'zhui'qiu
个人对美好生活的向往与追求,ge'ren'dui'mei'hao'sheng'huo'de'xiang'wang'yu'zhui'qiu
共产党的成立,gong'chan'dang'de'cheng'li
共产党领导,gong'chan'dang'ling'dao
共产党宣言,gong'chan'dang'xuan'yan
共产主义者同盟,gong'chan'zhu'yi'zhe'tong'meng
工具的制造与使用,gong'ju'de'zhi'zao'yu'shi'yong
工人阶级的斗争,gong'ren'jie'ji'de'dou'zheng
工人阶级登上历史舞台,gong'ren'jie'ji'deng'shang'li'shi'wu'tai
工人劳动力的价值或价格,gong'ren'lao'dong'li'de'jia'zhi'huo'jia'ge
工人起义,gong'ren'qi'yi
工人全部劳动的报酬,gong'ren'quan'bu'lao'dong'de'bao'chou
工人所创造的剩余价值的一部分,gong'ren'suo'chuang'zao'de'sheng'yu'jia'zhi'de'yi'bu'fen
共性和个性关系原理,gong'xing'he'ge'xing'guan'xi'yuan'li
工业革命,gong'ye'ge'ming
购买软件的货币,gou'mai'ruan'jian'de'huo'bi
固定资本和流动资本的比例关系,gu'ding'zi'ben'he'liu'dong'zi'ben'de'bi'li'guan'xi
股份制形式,gu'fen'zhi'xing'shi
顾客购买斤苹果一周后付款元,gu'ke'gou'mai'jin'ping'guo'yi'zhou'hou'fu'kuan'yuan
顾客用元钱购买了斤苹果,gu'ke'yong'yuan'qian'gou'mai'le'jin'ping'guo
孤立的观点,gu'li'de'guan'dian
管理者和生产者的不同地位,guan'li'zhe'he'sheng'chan'zhe'de'bu'tong'di'wei
观念的作用是不能够忽略的,guan'nian'de'zuo'yong'shi'bu'neng'gou'hu'lue'de
观念上的货币,guan'nian'shang'de'huo'bi
关于领导方法的若干问题,guan'yu'ling'dao'fang'fa'de'ruo'gan'wen'ti
关于人的本质问题,guan'yu'ren'de'ben'zhi'wen'ti
广大人民的意志,guang'da'ren'min'de'yi'zhi
诡辩论的观点,gui'bian'lun'de'guan'dian
规律,gui'lv
规律的能动作用,gui'lv'de'neng'dong'zuo'yong
规律的平等性,gui'lv'de'ping'deng'xing
规律是可以认识的,gui'lv'shi'ke'yi'ren'shi'de
归纳与演绎,gui'na'yu'yan'yi
国际贸易迅速发展,guo'ji'mao'yi'xun'su'fa'zhan
国家的实质是少数服从多数,guo'jia'de'shi'zhi'shi'shao'shu'fu'cong'duo'shu
国家与革命,guo'jia'yu'ge'ming
国家政权,guo'jia'zheng'quan
国家政权的性质,guo'jia'zheng'quan'de'xing'zhi
国体和政体,guo'ti'he'zheng'ti
黑格尔法哲学批判,hei'ge'er'fa'zhe'xue'pi'pan
忽视可能性的表现,hu'shi'ke'neng'xing'de'biao'xian
怀疑论的观点,huai'yi'lun'de'guan'dian
货币的出现,huo'bi'de'chu'xian
货币流通规律,huo'bi'liu'tong'gui'lv
货币与资本的矛盾,huo'bi'yu'zi'ben'de'mao'dun
既非物质也非意识,ji'fei'wu'zhi'ye'fei'yi'shi
基金市场迅速成长,ji'jin'shi'chang'xun'su'cheng'zhang
既克服又保留,ji'ke'fu'you'bao'liu
机器大工业生产的发展,ji'qi'da'gong'ye'sheng'chan'de'fa'zhan
既是必然的又是偶然的,ji'shi'bi'ran'de'you'shi'ou'ran'de
集体智慧的充分发挥,ji'ti'zhi'hui'de'chong'fen'fa'hui
机械决定论的观点,ji'xie'jue'ding'lun'de'guan'dian
机械唯物主义,ji'xie'wei'wu'zhu'yi
价格围绕商品价值自发波动,jia'ge'wei'rao'shang'pin'jia'zhi'zi'fa'bo'dong
价格围绕生产成本自发波动,jia'ge'wei'rao'sheng'chan'cheng'ben'zi'fa'bo'dong
家庭关系,jia'ting'guan'xi
价值观,jia'zhi'guan
坚持了唯物主义可知论,jian'chi'le'wei'wu'zhu'yi'ke'zhi'lun
坚持马克思的各种理论,jian'chi'ma'ke'si'de'ge'zhong'li'lun
坚持马克思的经典原著,jian'chi'ma'ke'si'de'jing'dian'yuan'zhu
坚持马克思的科学方法,jian'chi'ma'ke'si'de'ke'xue'fang'fa
坚持适度原则,jian'chi'shi'du'yuan'ze
坚持物质第一性意识第二性,jian'chi'wu'zhi'di'yi'xing'yi'shi'di'er'xing
坚持一切从实际出发,jian'chi'yi'qie'cong'shi'ji'chu'fa
坚持真理,jian'chi'zhen'li
间接性抽象性,jian'jie'xing'chou'xiang'xing
间接性和抽象性,jian'jie'xing'he'chou'xiang'xing
建立和完善生产资料公有制,jian'li'he'wan'shan'sheng'chan'zi'liao'gong'you'zhi
建设高度的社会主义民主,jian'she'gao'du'de'she'hui'zhu'yi'min'zhu
建设中国特色社会主义共同理想,jian'she'zhong'guo'te'se'she'hui'zhu'yi'gong'tong'li'xiang
降低工人的工资而获得,jiang'di'gong'ren'de'gong'zi'er'huo'de
教条主义,jiao'tiao'zhu'yi
结成社会关系,jie'cheng'she'hui'guan'xi
杰出人物,jie'chu'ren'wu
杰出英雄的选择性,jie'chu'ying'xiong'de'xuan'ze'xing
解放和发展生产力,jie'fang'he'fa'zhan'sheng'chan'li
解放黑人奴隶宣言,jie'fang'hei'ren'nu'li'xuan'yan
解放生产力发展生产力,jie'fang'sheng'chan'li'fa'zhan'sheng'chan'li
解放思想,jie'fang'si'xiang
结构和功能,jie'gou'he'gong'neng
阶级斗争,jie'ji'dou'zheng
阶级斗争的发展史,jie'ji'dou'zheng'de'fa'zhan'shi
阶级斗争理论,jie'ji'dou'zheng'li'lun
阶级矛盾不可调和的产物,jie'ji'mao'dun'bu'ke'tiao'he'de'chan'wu
阶级属性,jie'ji'shu'xing
揭示了事物普遍联系的根本内容,jie'shi'le'shi'wu'pu'bian'lian'xi'de'gen'ben'nei'rong
揭示了事物永恒发展的动力,jie'shi'le'shi'wu'yong'heng'fa'zhan'de'dong'li
金融资本,jin'rong'zi'ben
经济关系,jing'ji'guan'xi
经济和政治的统一,jing'ji'he'zheng'zhi'de'tong'yi
经济条件,jing'ji'tiao'jian
精神生产,jing'shen'sheng'chan
精神是运动的主体,jing'shen'shi'yun'dong'de'zhu'ti
精神运动是物质运动的一种形式,jing'shen'yun'dong'shi'wu'zhi'yun'dong'de'yi'zhong'xing'shi
经验论和唯理论,jing'yan'lun'he'wei'li'lun
经验论与唯理论的对立,jing'yan'lun'yu'wei'li'lun'de'dui'li
竞争规律,jing'zheng'gui'lv
静中有动动中有静,jing'zhong'you'dong'dong'zhong'you'jing
旧唯物主义的观点,jiu'wei'wu'zhu'yi'de'guan'dian
旧唯物主义是机械唯物主义,jiu'wei'wu'zhu'yi'shi'ji'xie'wei'wu'zhu'yi
具体劳动和抽象劳动,ju'ti'lao'dong'he'chou'xiang'lao'dong
具体劳动与抽象劳动的矛盾,ju'ti'lao'dong'yu'chou'xiang'lao'dong'de'mao'dun
具体劳动与抽象劳动之间的对立,ju'ti'lao'dong'yu'chou'xiang'lao'dong'zhi'jian'de'dui'li
具体问题具体分析,ju'ti'wen'ti'ju'ti'fen'xi
具体性,ju'ti'xing
具体性和历史性,ju'ti'xing'he'li'shi'xing
具有先进思想,ju'you'xian'jin'si'xiang
决定社会的性质,jue'ding'she'hui'de'xing'zhi
决定社会形态的更替,jue'ding'she'hui'xing'tai'de'geng'ti
决定生产力性质的因素,jue'ding'sheng'chan'li'xing'zhi'de'yin'su
决定着社会变革力度,jue'ding'zhe'she'hui'bian'ge'li'du
绝对性,jue'dui'xing
绝对主义,jue'dui'zhu'yi
康德和费尔巴哈,kang'de'he'fei'er'ba'ha
康德和黑格尔,kang'de'he'hei'ge'er
考生答案,kao'sheng'da'an
考生得分分评语,kao'sheng'de'fen'fen'ping'yu
可变资本与不变资本之比,ke'bian'zi'ben'yu'bu'bian'zi'ben'zhi'bi
可感知性,ke'gan'zhi'xing
客观规律性,ke'guan'gui'lv'xing
客观普遍性,ke'guan'pu'bian'xing
客观实在性,ke'guan'shi'zai'xing
客观唯心主义的观点,ke'guan'wei'xin'zhu'yi'de'guan'dian
客观物质世界,ke'guan'wu'zhi'shi'jie
客观性,ke'guan'xing
客观性和实在性,ke'guan'xing'he'shi'zai'xing
客观真理的两种不同属性,ke'guan'zhen'li'de'liang'zhong'bu'tong'shu'xing
科技的进步,ke'ji'de'jin'bu
可利用性,ke'li'yong'xing
科学,ke'xue
科学的和革命的,ke'xue'de'he'ge'ming'de
科学的实践观,ke'xue'de'shi'jian'guan
科学技术,ke'xue'ji'shu
科学技术是第一生产力,ke'xue'ji'shu'shi'di'yi'sheng'chan'li
科学家进行化学实验,ke'xue'jia'jin'xing'hua'xue'shi'yan
科学精神,ke'xue'jing'shen
科学理论对实践有指导作用,ke'xue'li'lun'dui'shi'jian'you'zhi'dao'zuo'yong
科学社会主义,ke'xue'she'hui'zhu'yi
科学社会主义和资本论,ke'xue'she'hui'zhu'yi'he'zi'ben'lun
科学社会主义理论的传播,ke'xue'she'hui'zhu'yi'li'lun'de'chuan'bo
科学实验,ke'xue'shi'yan
科学唯物主义和资本论,ke'xue'wei'wu'zhu'yi'he'zi'ben'lun
科学文化水平,ke'xue'wen'hua'shui'ping
科学性,ke'xue'xing
科学性与阶级性的统一,ke'xue'xing'yu'jie'ji'xing'de'tong'yi
可以独立并存的两种真理,ke'yi'du'li'bing'cun'de'liang'zhong'zhen'li
可知论的观点,ke'zhi'lun'de'guan'dian
可知论与不可知论的对立,ke'zhi'lun'yu'bu'ke'zhi'lun'de'dui'li
可知性,ke'zhi'xing
肯定中包含着否定的因素,ken'ding'zhong'bao'han'zhe'fou'ding'de'yin'su
空想平均共产主义,kong'xiang'ping'jun'gong'chan'zhu'yi
夸大了人本性的作用,kua'da'le'ren'ben'xing'de'zuo'yong
夸大了意识的能动作用,kua'da'le'yi'shi'de'neng'dong'zuo'yong
跨国公司成为世界经济的主体,kua'guo'gong'si'cheng'wei'shi'jie'jing'ji'de'zhu'ti
扩大生产规模来增强竞争能力,kuo'da'sheng'chan'gui'mo'lai'zeng'qiang'jing'zheng'neng'li
劳动,lao'dong
劳动创造使用价值土地形成价值,lao'dong'chuang'zao'shi'yong'jia'zhi'tu'di'xing'cheng'jia'zhi
劳动对象,lao'dong'dui'xiang
劳动二重性学说,lao'dong'er'chong'xing'xue'shuo
劳动和劳动力,lao'dong'he'lao'dong'li
劳动价值论,lao'dong'jia'zhi'lun
劳动价值论和剩余价值学说,lao'dong'jia'zhi'lun'he'sheng'yu'jia'zhi'xue'shuo
劳动力成为商品,lao'dong'li'cheng'wei'shang'pin
劳动力商品理论,lao'dong'li'shang'pin'li'lun
劳动群众的思想,lao'dong'qun'zhong'de'si'xiang
劳动者,lao'dong'zhe
劳资双方既对立又统一,lao'zi'shuang'fang'ji'dui'li'you'tong'yi
劳资双方既排斥又依靠,lao'zi'shuang'fang'ji'pai'chi'you'yi'kao
理论对实践起决定作用,li'lun'dui'shi'jian'qi'jue'ding'zuo'yong
理论付诸实践,li'lun'fu'zhu'shi'jian
理论基础,li'lun'ji'chu
理论联系实际,li'lun'lian'xi'shi'ji
理论是革命工作的出发点,li'lun'shi'ge'ming'gong'zuo'de'chu'fa'dian
理论形式,li'lun'xing'shi
历史人物的创造是随意的事,li'shi'ren'wu'de'chuang'zao'shi'sui'yi'de'shi
历史唯心论的观点,li'shi'wei'xin'lun'de'guan'dian
历史循环论的观点,li'shi'xun'huan'lun'de'guan'dian
历史与逻辑相统一的观点,li'shi'yu'luo'ji'xiang'tong'yi'de'guan'dian
利用规律,li'yong'gui'lv
联系和发展的观点,lian'xi'he'fa'zhan'de'guan'dian
量变必然引起质变,liang'bian'bi'ran'yin'qi'zhi'bian
两点论的观点,liang'dian'lun'de'guan'dian
两点论和重点论关系原理,liang'dian'lun'he'zhong'dian'lun'guan'xi'yuan'li
列宁,lie'ning
领导和组织社会主义建设,ling'dao'he'zu'zhi'she'hui'zhu'yi'jian'she
领袖的选择性,ling'xiu'de'xuan'ze'xing
流通手段,liu'tong'shou'duan
逻辑性综合性,luo'ji'xing'zong'he'xing
逻辑与历史,luo'ji'yu'li'shi
马克思,ma'ke'si
马克思主义和列宁主义,ma'ke'si'zhu'yi'he'lie'ning'zhu'yi
马克思主义哲学,ma'ke'si'zhu'yi'zhe'xue
马克思主义政治经济学,ma'ke'si'zhu'yi'zheng'zhi'jing'ji'xue
满足客体的需要,man'zu'ke'ti'de'xu'yao
满足社会需求,man'zu'she'hui'xu'qiu
矛盾,mao'dun
矛盾的斗争性,mao'dun'de'dou'zheng'xing
矛盾的普遍性和特殊性,mao'dun'de'pu'bian'xing'he'te'shu'xing
矛盾的普遍性和特殊性的关系,mao'dun'de'pu'bian'xing'he'te'shu'xing'de'guan'xi
矛盾的特殊性,mao'dun'de'te'shu'xing
矛盾的同一性,mao'dun'de'tong'yi'xing
矛盾的同一性和斗争性,mao'dun'de'tong'yi'xing'he'dou'zheng'xing
矛盾的学说,mao'dun'de'xue'shuo
矛盾的主要方面,mao'dun'de'zhu'yao'fang'mian
矛盾分析法,mao'dun'fen'xi'fa
矛盾双方的融洽促使事物发展,mao'dun'shuang'fang'de'rong'qia'cu'shi'shi'wu'fa'zhan
矛盾双方既对立又统一,mao'dun'shuang'fang'ji'dui'li'you'tong'yi
矛盾同一性和斗争性的关系,mao'dun'tong'yi'xing'he'dou'zheng'xing'de'guan'xi
矛盾统一性和斗争性的关系,mao'dun'tong'yi'xing'he'dou'zheng'xing'de'guan'xi
矛盾主要方面和次要方面的关系,mao'dun'zhu'yao'fang'mian'he'ci'yao'fang'mian'de'guan'xi
毛泽东,mao'ze'dong
毛泽东思想,mao'ze'dong'si'xiang
没有客观依据,mei'you'ke'guan'yi'ju
没有人类就没有自然界,mei'you'ren'lei'jiu'mei'you'zi'ran'jie
民主集中制,min'zhu'ji'zhong'zhi
民主是国体不是政体,min'zhu'shi'guo'ti'bu'shi'zheng'ti
民主是手段不是目的,min'zhu'shi'shou'duan'bu'shi'mu'di
募写性,mu'xie'xing
哪个阶级对政权实行领导,na'ge'jie'ji'dui'zheng'quan'shi'xing'ling'dao
脑力劳动者的集体智慧,nao'li'lao'dong'zhe'de'ji'ti'zhi'hui
能保存劳动力自身的价值,neng'bao'cun'lao'dong'li'zi'shen'de'jia'zhi
能创造出比自身价值更大的价值,neng'chuang'zao'chu'bi'zi'shen'jia'zhi'geng'da'de'jia'zhi
能动目的性,neng'dong'mu'di'xing
能动性,neng'dong'xing
牛顿,niu'dun
农民暴动,nong'min'bao'dong
农民播种小麦,nong'min'bo'zhong'xiao'mai
农民起义,nong'min'qi'yi
农业资本,nong'ye'zi'ben
欧洲革命及民主国家的建立,ou'zhou'ge'ming'ji'min'zhu'guo'jia'de'jian'li
批判教条主义和本本主义,pi'pan'jiao'tiao'zhu'yi'he'ben'ben'zhu'yi
片面强调逻辑重要性的观点,pian'mian'qiang'diao'luo'ji'zhong'yao'xing'de'guan'dian
普遍和特殊的关系,pu'bian'he'te'shu'de'guan'xi
前进性和曲折性相统一的规律,qian'jin'xing'he'qu'zhe'xing'xiang'tong'yi'de'gui'lv
强调真理具有客观标准,qiang'diao'zhen'li'ju'you'ke'guan'biao'zhun
全部哲学的基本问题,quan'bu'zhe'xue'de'ji'ben'wen'ti
全面考虑事物属性的多样性,quan'mian'kao'lv'shi'wu'shu'xing'de'duo'yang'xing
全面性,quan'mian'xing
群众的行动都是合理的,qun'zhong'de'xing'dong'dou'shi'he'li'de
群众的意见都是正确的,qun'zhong'de'yi'jian'dou'shi'zheng'que'de
群众是社会实践的主体,qun'zhong'shi'she'hui'shi'jian'de'zhu'ti
人不仅有理性还有非理性,ren'bu'jin'you'li'xing'hai'you'fei'li'xing
人不仅有生理机能还有心理活动,ren'bu'jin'you'sheng'li'ji'neng'hai'you'xin'li'huo'dong
人不仅有直觉还有想象,ren'bu'jin'you'zhi'jue'hai'you'xiang'xiang
人的本质时有时无,ren'de'ben'zhi'shi'you'shi'wu
人的个体差异性,ren'de'ge'ti'cha'yi'xing
人的劳动过程的特殊性,ren'de'lao'dong'guo'cheng'de'te'shu'xing
人的认识具有主观能动性,ren'de'ren'shi'ju'you'zhu'guan'neng'dong'xing
人的社会意识具有历史继承性,ren'de'she'hui'yi'shi'ju'you'li'shi'ji'cheng'xing
人的实践活动,ren'de'shi'jian'huo'dong
人的头脑可以自动产生意识,ren'de'tou'nao'ke'yi'zi'dong'chan'sheng'yi'shi
人的需要,ren'de'xu'yao
人的意识,ren'de'yi'shi
人的意识的创造物,ren'de'yi'shi'de'chuang'zao'wu
人的意识的个体差异性,ren'de'yi'shi'de'ge'ti'cha'yi'xing
人的意识的能动性,ren'de'yi'shi'de'neng'dong'xing
人的意识的能动作用,ren'de'yi'shi'de'neng'dong'zuo'yong
人的自觉意识活动,ren'de'zi'jue'yi'shi'huo'dong
人具有认识自然的能力,ren'ju'you'ren'shi'zi'ran'de'neng'li
人口因素,ren'kou'yin'su
人类,ren'lei
人类一切活动都是认识活动,ren'lei'yi'qie'huo'dong'dou'shi'ren'shi'huo'dong
人类与自然物所共有的属性,ren'lei'yu'zi'ran'wu'suo'gong'you'de'shu'xing
人们的生活水平,ren'men'de'sheng'huo'shui'ping
人们订立契约的结果,ren'men'ding'li'qi'yue'de'jie'guo
人们对人生目的意义的根本观点,ren'men'dui'ren'sheng'mu'di'yi'yi'de'gen'ben'guan'dian
人们对自然界的总的看法,ren'men'dui'zi'ran'jie'de'zong'de'kan'fa
人们改造社会的过程,ren'men'gai'zao'she'hui'de'guo'cheng
人们改造自然的过程,ren'men'gai'zao'zi'ran'de'guo'cheng
人们头脑中的传统观念,ren'men'tou'nao'zhong'de'chuan'tong'guan'nian
人们在生产中的地位,ren'men'zai'sheng'chan'zhong'de'di'wei
人们自发形成的世界观,ren'men'zi'fa'xing'cheng'de'shi'jie'guan
人民当家作主,ren'min'dang'jia'zuo'zhu
人民群众,ren'min'qun'zhong
人民群众的社会实践,ren'min'qun'zhong'de'she'hui'shi'jian
人民群众的选择性,ren'min'qun'zhong'de'xuan'ze'xing
人民群众具有先进的思想,ren'min'qun'zhong'ju'you'xian'jin'de'si'xiang
人民群众是历史的创造者原理,ren'min'qun'zhong'shi'li'shi'de'chuang'zao'zhe'yuan'li
人民群众是社会生产力的主体,ren'min'qun'zhong'shi'she'hui'sheng'chan'li'de'zhu'ti
人民群众通晓历史的发展规律,ren'min'qun'zhong'tong'xiao'li'shi'de'fa'zhan'gui'lv
人脑是人与动物的根本区别,ren'nao'shi'ren'yu'dong'wu'de'gen'ben'qu'bie
人脑是意识的源泉,ren'nao'shi'yi'shi'de'yuan'quan
认识,ren'shi
认识的客体,ren'shi'de'ke'ti
认识的源和流的关系,ren'shi'de'yuan'he'liu'de'guan'xi
认识对实践具有能动作用,ren'shi'dui'shi'jian'ju'you'neng'dong'zuo'yong
人是符号动物,ren'shi'fu'hao'dong'wu
认识和把握客观规律,ren'shi'he'ba'wo'ke'guan'gui'lv
认识和被认识的关系,ren'shi'he'bei'ren'shi'de'guan'xi
人是社会历史的主体,ren'shi'she'hui'li'shi'de'zhu'ti
认识是不断发展的,ren'shi'shi'bu'duan'fa'zhan'de
认识是客体对主体的能动反应,ren'shi'shi'ke'ti'dui'zhu'ti'de'neng'dong'fan'ying
认识是人类纯粹的主观构造过程,ren'shi'shi'ren'lei'chun'cui'de'zhu'guan'gou'zao'guo'cheng
认识事物的客观性,ren'shi'shi'wu'de'ke'guan'xing
认识是主体对客体的直观反映,ren'shi'shi'zhu'ti'dui'ke'ti'de'zhi'guan'fan'ying
人天生是政治动物,ren'tian'sheng'shi'zheng'zhi'dong'wu
任意性,ren'yi'xing
人与自然界的关系问题,ren'yu'zi'ran'jie'de'guan'xi'wen'ti
人造物质可以脱离物质而存在,ren'zao'wu'zhi'ke'yi'tuo'li'wu'zhi'er'cun'zai
软件的有用性,ruan'jian'de'you'yong'xing
商品的等价物,shang'pin'de'deng'jia'wu
商品价值的一般等价物,shang'pin'jia'zhi'de'yi'ban'deng'jia'wu
商品交换的实现,shang'pin'jiao'huan'de'shi'xian
商品是使用价值和价值的统一,shang'pin'shi'shi'yong'jia'zhi'he'jia'zhi'de'tong'yi
商品使用价值的大小决定的,shang'pin'shi'yong'jia'zhi'de'da'xiao'jue'ding'de
