爱社会上一切人,ai'she'hui'shang'yi'qie'ren
法律与,fa'lv'yu
发明家,fa'ming'jia
发生争执,fa'sheng'zheng'zhi
发书,fa'shu
法治,fa'zhi
法治为,fa'zhi'wei
樊迟问仁,fan'chi'wen'ren
反对剥削,fan'dui'bo'xue
反对礼制,fan'dui'li'zhi
方面做出,fang'mian'zuo'chu
非不欲兔,fei'bu'yu'tu
废黜百家,fei'chu'bai'jia
非概念所能阐释,fei'gai'nian'suo'neng'chan'shi
非攻,fei'gong
非乐,fei'le
非命,fei'ming
分出来的,fen'chu'lai'de
分定不可争也,fen'ding'bu'ke'zheng'ye
分化为,fen'hua'wei
奋勇作战,fen'yong'zuo'zhan
讽刺为,feng'ci'wei
封建社会,feng'jian'she'hui
风俗习惯,feng'su'xi'guan
否定了,fou'ding'le
否认了道的,fou'ren'le'dao'de
否则就是,fou'ze'jiu'shi
复古倒退也不能,fu'gu'dao'tui'ye'bu'neng
复古思想,fu'gu'si'xiang
富国强兵,fu'guo'jiang'bing
赴火蹈刃,fu'huo'dao'ren
夫圣人之治国,fu'sheng'ren'zhi'zhi'guo
付诸实现,fu'zhu'shi'xian
夫子风采,fu'zi'feng'cai
盖出于清庙之守,gai'chu'yu'qing'miao'zhi'shou
盖墨翟宋之大夫,gai'mo'di'song'zhi'da'fu
该派思想,gai'pai'si'xiang
改造为,gai'zao'wei
感到恐惧,gan'dao'kong'ju
赶千里路,gan'qian'li'lu
告子,gao'zi
各具其德,ge'ju'qi'de
个人关系,ge'ren'guan'xi
个人接触,ge'ren'jie'chu
个性气质,ge'xing'qi'zhi
根本没有系词,gen'ben'mei'you'xi'ci
更进一步发展了,geng'jin'yi'bu'fa'zhan'le
更为,geng'wei
更早的发明了云梯等等这位墨子,geng'zao'de'fa'ming'liao'yun'ti'deng'deng'zhe'wei'mo'zi
更值得我们提倡,geng'zhi'de'wo'men'ti'chang
巩固自己学说而提出世上有鬼,gong'gu'zi'ji'xue'shuo'er'ti'chu'shi'shang'you'gui
功利主义,gong'li'zhu'yi
公平的,gong'ping'de
公输盘,gong'shu'pan
公孙龙子,gong'sun'long'zi
共同基本核心思想,gong'tong'ji'ben'he'xin'si'xiang
苟可以,gou'ke'yi
苟可以利民,gou'ke'yi'li'min
苟以取强而已矣,gou'yi'qu'qiang'er'yi'yi
故不务德而务法,gu'bu'wu'de'er'wu'fa
古代汉语,gu'dai'han'yu
古代民主思想,gu'dai'min'zhu'si'xiang
故道大,gu'dao'da
古汉语学界,gu'han'yu'xue'jie
故民可治也,gu'min'ke'zhi'ye
固守传统,gu'shou'chuan'tong
古希腊学者,gu'xi'la'xue'zhe
刮目相看,gua'mu'xiang'kan
管理庙,guan'li'miao
官无常贵,guan'wu'chang'gui
关系等,guan'xi'deng
关于墨家学说的,guan'yu'mo'jia'xue'shuo'de
关于墨子的,guan'yu'mo'zi'de
管子,guan'zi
光线通过针孔能形成倒像,guang'xian'tong'guo'zhen'kong'neng'xing'cheng'dao'xiang
光沿直线前进,guang'yan'zhi'xian'qian'jin
鬼谷子,gui'gu'zi
归纳为,gui'na'wei
规章制度,gui'zhang'zhi'du
贵族垄断,gui'zu'long'duan
贵族特权,gui'zu'te'quan
过而不顾,guo'er'bu'gu
国家政权,guo'jia'zheng'quan
还比当时的巧手,hai'bi'dang'shi'de'qiao'shou
还教人敬事鬼神进而形成了,hai'jiao'ren'jing'shi'gui'shen'jin'er'xing'cheng'le
还是十分赞扬的,hai'shi'shi'fen'zan'yang'de
还是说明状态,hai'shi'shuo'ming'zhuang'tai
还是为了,hai'shi'wei'le
还是一位,hai'shi'yi'wei
汉朝,han'chao
汉初文景之治,han'chu'wen'jing'zhi'zhi
汉代,han'dai
韩非,han'fei
韩非则,han'fei'ze
韩非子,han'fei'zi
韩非子认为,han'fei'zi'ren'wei
涵盖了,han'gai'le
汉书,han'shu
韩魏赵,han'wei'zhao
汉语的,han'yu'de
寒者得衣,han'zhe'de'yi
好利恶害,hao'li'e'hai
好学而博,hao'xue'er'bo
和儒家,he'ru'jia
核心的,he'xin'de
和杨朱的,he'yang'zhu'de
和制度,he'zhi'du
很多的人去追,hen'duo'de'ren'qu'zhui
狠狠批判,hen'hen'pi'pan
很少有人问津,hen'shao'you'ren'wen'jin
后来的,hou'lai'de
后来建立的,hou'lai'jian'li'de
互利互助的精神,hu'li'hu'zhu'de'jing'shen
化性起伪,hua'xing'qi'wei
淮南子,huai'nan'zi
恍惚无为,huang'hu'wu'wei
黄老学派,huang'lao'xue'pai
汇编成,hui'bian'cheng
毁弃诗书,hui'qi'shi'shu
诲人不倦,hui'ren'bu'juan
会以为是,hui'yi'wei'shi
惠子,hui'zi
混沌的,hun'dun'de
火德,huo'de
获其实,huo'qi'shi
或其他,huo'qi'ta
或曰并孔子时,huo'yue'bing'kong'zi'shi
或曰在其后,huo'yue'zai'qi'hou
基本道德观念,ji'ben'dao'de'guan'nian
基本的,ji'ben'de
基本观念的,ji'ben'guan'nian'de
基本内涵,ji'ben'nei'han
及蔽者为之,ji'bi'zhe'wei'zhi
既不能,ji'bu'neng
继承了,ji'cheng'le
即鼓励人们,ji'gu'li'ren'men
极杰出的优秀人才,ji'jie'chu'de'you'xiu'ren'cai
激励士兵,ji'li'shi'bing
及其后学,ji'qi'hou'xue
诘屈聱牙,ji'qu'ao'ya
极权主义,ji'quan'zhu'yi
既是道,ji'shi'dao
集市上的,ji'shi'shang'de
祭祀礼仪,ji'si'li'yi
己所不欲,ji'suo'bu'yu
己所欲,ji'suo'yu
积兔于市,ji'tu'yu'shi
寂兮寥兮,ji'xi'liao'xi
集以大成,ji'yi'da'cheng
给予很高,ji'yu'hen'gao
记载了墨子,ji'zai'le'mo'zi
饥者得食,ji'zhe'de'shi
即制止天下动乱,ji'zhi'zhi'tian'xia'dong'luan
极重要的位置墨子本人,ji'zhong'yao'de'wei'zhi'mo'zi'ben'ren
加强统治,jia'qiang'tong'zhi
加强自我修身,jia'qiang'zi'wo'xiu'shen
价值取向,jia'zhi'qu'xiang
兼爱,jian'ai
兼并战争,jian'bing'zhan'zheng
见俭之利,jian'jian'zhi'li
简略介绍如下,jian'lue'jie'shao'ru'xia
兼相爱,jian'xiang'ai
将该派的著作,jiang'gai'pai'de'zhu'zuo
奖励耕战,jiang'li'geng'zhan
将求之不得也,jiang'qiu'zhi'bu'de'ye
僵硬界限,jiang'ying'jie'xian
结出硕果,jie'chu'shuo'guo
皆帝王之具也,jie'di'wang'zhi'ju'ye
结合的,jie'he'de
阶级界线,jie'ji'jie'xian
阶级矛盾,jie'ji'mao'dun
阶级社会,jie'ji'she'hui
皆可使,jie'ke'shi
节用,jie'yong
节葬,jie'zang
金德,jin'de
进德修业,jin'de'xiu'ye
尽管它,jin'guan'ta
今山东省,jin'shan'dong'sheng
今天的许多人,jin'tian'de'xu'duo'ren
今天下之士,jin'tian'xia'zhi'shi
尽心上,jin'xin'shang
进行论证,jin'xing'lun'zheng
经邦济世,jing'bang'ji'shi
经济和,jing'ji'he
境内不什数,jing'nei'bu'shen'shu
精神财富,jing'shen'cai'fu
静态描写,jing'tai'miao'xie
就必然有其,jiu'bi'ran'you'qi
就不会像,jiu'bu'hui'xiang
就利避害,jiu'li'bi'hai
就是从此出发,jiu'shi'cong'ci'chu'fa
就是明证,jiu'shi'ming'zheng
就是说,jiu'shi'shuo
就说过,jiu'shuo'guo
就未免,jiu'wei'mian
就要用,jiu'yao'yong
就知道了,jiu'zhi'dao'le
九州划分,jiu'zhou'hua'fen
据说他,ju'shuo'ta
据说他的传人,ju'shuo'ta'de'chuan'ren
聚徒讲学,ju'tu'jiang'xue
具有了,ju'you'le
具有一定的人民性,ju'you'yi'ding'de'ren'min'xing
居于鲁国,ju'yu'lu'guo
捐礼让而贵战争,juan'li'rang'er'gui'zhan'zheng
决裂,jue'lie
君臣上下六亲之施,jun'chen'shang'xia'liu'qin'zhi'shi
君人南面之术,jun'ren'nan'mian'zhi'shu
军事思想,jun'shi'si'xiang
君主如何,jun'zhu'ru'he
君子学道则爱人,jun'zi'xue'dao'ze'ai'ren
君子之书,jun'zi'zhi'shu
开辟了一条,kai'pi'le'yi'tiao
克己复礼为仁,ke'ji'fu'li'wei'ren
可见墨子,ke'jian'mo'zi
可见书籍,ke'jian'shu'ji
可惜的是,ke'xi'de'shi
科学发展观,ke'xue'fa'zhan'guan
科学价值,ke'xue'jia'zhi
科学思想,ke'xue'si'xiang
可以为天下母,ke'yi'wei'tian'xia'mu
孔门弟子,kong'men'di'zi
孔子,kong'zi
孔子思想,kong'zi'si'xiang
夸大法律,kua'da'fa'lv
赖其力者生不赖其力者不生,lai'qi'li'zhe'sheng'bu'lai'qi'li'zhe'bu'sheng
来诱导,lai'you'dao
来治理国家,lai'zhi'li'guo'jia
来追问,lai'zhui'wen
来自韩国,lai'zi'han'guo
劳者得息,lao'zhe'de'xi
老子,lao'zi
老子并不满足于,lao'zi'bing'bu'man'zu'yu
老子阐释,lao'zi'chan'shi
老子从,lao'zi'cong
老子的,lao'zi'de
老子所说的,lao'zi'suo'shuo'de
老子指出,lao'zi'zhi'chu
了贡献,le'gong'xian
历代君王的,li'dai'jun'wang'de
礼和刑,li'he'xing
理论和方法,li'lun'he'fang'fa
理论依据,li'lun'yi'ju
历史的发展,li'shi'de'fa'zhan
历史观,li'shi'guan
历史文献的阅读,li'shi'wen'xian'de'yue'du
理想的社会关系,li'xiang'de'she'hui'guan'xi
理想国,li'xiang'guo
力学提出了力和重量的关系,li'xue'ti'chu'le'li'he'zhong'liang'de'guan'xi
利益的,li'yi'de
利益荣誉,li'yi'rong'yu
利益在,li'yi'zai
里有系词,li'you'xi'ci
立战功,li'zhan'gong
力争成为贤者,li'zheng'cheng'wei'xian'zhe
立政以仁,li'zheng'yi'ren
礼制,li'zhi
立志救民于水火中的,li'zhi'jiu'min'yu'shui'huo'zhong'de
梁启超,liang'qi'chao
列子,lie'zi
另立新说,ling'li'xin'shuo
六家,liu'jia
鲁国人,lu'guo'ren
陆贾,lu'jia
论衡,lun'heng
伦理道德,lun'li'dao'de
吕不韦,lv'bu'wei
满足欲望,man'zu'yu'wang
茅屋采椽,mao'wu'cai'chuan
没有什么,mei'you'shen'me
孟子,meng'zi
孟子的,meng'zi'de
孟子对他这种,meng'zi'dui'ta'zhe'zhong
迷信法律的作用,mi'xin'fa'lv'de'zuo'yong
勉勉强强的名字,mian'mian'qiang'qiang'de'ming'zi
灭六国,mie'liu'guo
民无终贱,min'wu'zhong'jian
名词化了,ming'ci'hua'le
明鬼,ming'gui
名家,ming'jia
名实问题,ming'shi'wen'ti
名翟,ming'zhai
墨辩,mo'bian
墨翟,mo'di
摩顶放踵利天下为之,mo'ding'fang'zhong'li'tian'xia'wei'zhi
墨家,mo'jia
墨家便已有对光学,mo'jia'bian'yi'you'dui'guang'xue
墨家的,mo'jia'de
墨家的这一,mo'jia'de'zhe'yi
墨家后学,mo'jia'hou'xue
墨家理想人格,mo'jia'li'xiang'ren'ge
墨家理想人格的,mo'jia'li'xiang'ren'ge'de
墨家思想,mo'jia'si'xiang
墨家学派,mo'jia'xue'pai
墨家学派的创始人,mo'jia'xue'pai'de'chuang'shi'ren
墨家学说,mo'jia'xue'shuo
墨家者流,mo'jia'zhe'liu
墨家之名,mo'jia'zhi'ming
墨经,mo'jing
墨学是,mo'xue'shi
墨学研究者,mo'xue'yan'jiu'zhe
墨学由,mo'xue'you
墨学在,mo'xue'zai
墨学专家,mo'xue'zhuan'jia
墨子,mo'zi
墨子并对,mo'zi'bing'dui
墨子曾,mo'zi'ceng
墨子的,mo'zi'de
墨子的手工很巧,mo'zi'de'shou'gong'hen'qiao
墨子兼爱,mo'zi'jian'ai
墨子南游,mo'zi'nan'you
墨子其人,mo'zi'qi'ren
墨子认为,mo'zi'ren'wei
墨子提倡,mo'zi'ti'chang
墨子学儒者之业,mo'zi'xue'ru'zhe'zhi'ye
墨子言功利,mo'zi'yan'gong'li
墨子言行的,mo'zi'yan'xing'de
墨子真天下之好也,mo'zi'zhen'tian'xia'zhi'hao'ye
墨子之门多勇士,mo'zi'zhi'men'duo'yong'shi
木德,mu'de
木石镇,mu'shi'zhen
那么多的兔子,na'me'duo'de'tu'zi
那样提出问题,na'yang'ti'chu'wen'ti
乃一种,nai'yi'zhong
乃至诸子百家,nai'zhi'zhu'zi'bai'jia
讷近仁,ne'jin'ren
内容核心,nei'rong'he'xin
能承受六百斤重,neng'cheng'shou'liu'bai'jin'zhong
能在天上飞一天,neng'zai'tian'shang'fei'yi'tian
逆流而航行,ni'liu'er'hang'xing
农家,nong'jia
奴隶制社会,nu'li'zhi'she'hui
排斥掉,pai'chi'diao
派生出来的,pai'sheng'chu'lai'de
批判和改造,pi'pan'he'gai'zao
平等互爱,ping'deng'hu'ai
颇便且当,po'bian'qie'dang
朴实无华,pu'shi'wu'hua
朴素唯物主义,pu'su'wei'wu'zhu'yi
普通百姓,pu'tong'bai'xing
其烦琐的,qi'fan'suo'de
弃仁义而用诈谲,qi'ren'yi'er'yong'zha'jue
七十年前,qi'shi'nian'qian
其书,qi'shu
其中不少具有,qi'zhong'bu'shao'ju'you
其中法家之一,qi'zhong'fa'jia'zhi'yi
恰恰相当于古希腊,qia'qia'xiang'dang'yu'gu'xi'la
前往学习,qian'wang'xue'xi
浅显的比喻,qian'xian'de'bi'yu
强调用,qiang'diao'yong
强国,qiang'guo
强为之名曰大,qiang'wei'zhi'ming'yue'da
秦朝的集权体制,qin'chao'de'ji'quan'ti'zhi
秦国军队,qin'guo'jun'dui
清静无为,qing'jing'wu'wei
轻罪实行重罚,qing'zui'shi'xing'zhong'fa
球面镜,qiu'mian'jing
权力与威势,quan'li'yu'wei'shi
却看也不看,que'kan'ye'bu'kan
确是,que'shi
仁爱思想,ren'ai'si'xiang
仁爱之说,ren'ai'zhi'shuo
人的本性,ren'de'ben'xing
人法地,ren'fa'di
人民去做,ren'min'qu'zuo
人生有好恶,ren'sheng'you'hao'e
人世,ren'shi
人为的,ren'wei'de
任侠,ren'xia
人性本恶,ren'xing'ben'e
人性的,ren'xing'de
仁义学说,ren'yi'xue'shuo
人与人的关系,ren'yu'ren'de'guan'xi
仁者其言也讱,ren'zhe'qi'yan'ye'ren
认真解读,ren'zhen'jie'du
仁政,ren'zheng
日夜兼程,ri'ye'jian'cheng
儒表法里,ru'biao'fa'li
儒法并用,ru'fa'bing'yong
如果立下,ru'guo'li'xia
如极力,ru'ji'li
儒家,ru'jia
儒家的,ru'jia'de
儒家经典,ru'jia'jing'dian
儒家思想,ru'jia'si'xiang
儒家学说进行了,ru'jia'xue'shuo'jin'xing'le
如鉴借墨家的,ru'jian'jie'mo'jia'de
儒墨也,ru'mo'ye
如秦,ru'qin
如商鞅,ru'shang'yang
三个学派,san'ge'xue'pai
三国,san'guo
善守御为节用,shan'shou'yu'wei'jie'yong
商君列传,shang'jun'lie'zhuan
尚同,shang'tong
尚贤,shang'xian
尚贤任人唯贤,shang'xian'ren'ren'wei'xian
尚贤尚同,shang'xian'shang'tong
商鞅,shang'yang
商鞅的主张时移而治不易者乱,shang'yang'de'zhu'zhang'shi'yi'er'zhi'bu'yi'zhe'luan
商鞅明确地提出了,shang'yang'ming'que'de'ti'chu'le
社会变革,she'hui'bian'ge
社会发展,she'hui'fa'zhan
社会各阶层,she'hui'ge'jie'ceng
社会关系,she'hui'guan'xi
社会活动家,she'hui'huo'dong'jia
社会金字塔,she'hui'jin'zi'ta
社会经济,she'hui'jing'ji
社会脉络,she'hui'mai'luo
社会条件,she'hui'tiao'jian
社会政治秩序,she'hui'zheng'zhi'zhi'xu
社会秩序,she'hui'zhi'xu
申不害,shen'bu'hai
慎到,shen'dao
慎到就,shen'dao'jiu
神秘主义,shen'mi'zhu'yi
甚施与人,shen'shi'yu'ren
慎子,shen'zi
生存的环境道则,sheng'cun'de'huan'jing'dao'ze
生平身世,sheng'ping'shen'shi
圣人,sheng'ren
盛衰兴替,sheng'shuai'xing'ti
圣王,sheng'wang
世称墨子,shi'cheng'mo'zi
是从儒家,shi'cong'ru'jia
时代要求,shi'dai'yao'qiu
是对孔子,shi'dui'kong'zi
史记,shi'ji
十家,shi'jia
史角,shi'jiao
世界规律,shi'jie'gui'lv
使近代人,shi'jin'dai'ren
是墨家学派的,shi'mo'jia'xue'pai'de
是人所,shi'ren'suo
恃人之为吾善也,shi'ren'zhi'wei'wu'shan'ye
使他洞察,shi'ta'dong'cha
是为政之本,shi'wei'zheng'zhi'ben
世袭贵族,shi'xi'gui'zu
世袭特权,shi'xi'te'quan
十项,shi'xiang
是向前发展的,shi'xiang'qian'fa'zhan'de
是效法,shi'xiao'fa
是以非命,shi'yi'fei'ming
是一个,shi'yi'ge
是以贵俭,shi'yi'gui'jian
是以兼爱,shi'yi'jian'ai
是以上同,shi'yi'shang'tong
是以上贤,shi'yi'shang'xian
是以右鬼,shi'yi'you'gui
是因为,shi'yin'wei
逝曰远,shi'yue'yuan
世之显学,shi'zhi'xian'xue
士志于道,shi'zhi'yu'dao
是中国思想史上,shi'zhong'guo'si'xiang'shi'shang
守雌守柔,shou'ci'shou'rou
首句无论是,shou'ju'wu'lun'shi
受孔子之术,shou'kong'zi'zhi'shu
授予官职,shou'yu'guan'zhi
守株待兔,shou'zhu'dai'tu
恕道,shu'dao
庶人不议,shu'ren'bu'yi
数十,shu'shi
殊死竞争,shu'si'jing'zheng
数学,shu'xue
书中也,shu'zhong'ye
率直鲁莽,shuai'zhi'lu'mang
水德,shui'de
顺其自然,shun'qi'zi'ran
顺四时而行,shun'si'shi'er'xing
说明了,shuo'ming'le
说主张,shuo'zhu'zhang
死不旋踵,si'bu'xuan'zhong
四大派,si'da'pai
司马谈,si'ma'tan
司马中,si'ma'zhong
思孟学派,si'meng'xue'pai
私人藏储,si'ren'cang'chu
私人藏书,si'ren'cang'shu
思务,si'wu
思想鉴借,si'xiang'jian'jie
思想派别,si'xiang'pai'bie
思想史上,si'xiang'shi'shang
思想体系的,si'xiang'ti'xi'de
思想学派,si'xiang'xue'pai
思想渊源,si'xiang'yuan'yuan
私学,si'xue
私有和,si'you'he
宋朝宰相,song'chao'zai'xiang
宋国人,song'guo'ren
宋尹学派,song'yin'xue'pai
苏秦,su'qin
虽枯槁不舍也才士也夫,sui'ku'gao'bu'she'ye'cai'shi'ye'fu
随着语法的发展,sui'zhe'yu'fa'de'fa'zhan
孙膑,sun'bin
孙武,sun'wu
所具有的,suo'ju'you'de
所决定的,suo'jue'ding'de
所吸收,suo'xi'shou
所以后世,suo'yi'hou'shi
所以商鞅,suo'yi'shang'yang
他把守旧的儒家,ta'ba'shou'jiu'de'ru'jia
它的运行,ta'de'yun'xing
他们还要,ta'men'hai'yao
他们认为,ta'men'ren'wei
他们认为历史,ta'men'ren'wei'li'shi
他们以,ta'men'yi
他们在,ta'men'zai
它是不可命名的,ta'shi'bu'ke'ming'ming'de
它是绝对,ta'shi'jue'dui
它是天下万物,ta'shi'tian'xia'wan'wu
他说的利,ta'shuo'de'li
它要求人们,ta'yao'qiu'ren'men
他又提出,ta'you'ti'chu
他作为,ta'zuo'wei
泰族训,tai'zu'xun
滕州市,teng'zhou'shi
提供了,ti'gong'le
天道,tian'dao
天法道,tian'fa'dao
天命,tian'ming
田骈,tian'pian
天然传承的,tian'ran'chuan'cheng'de
天实际上,tian'shi'ji'shang
天下兴亡,tian'xia'xing'wang
天下有义则治,tian'xia'you'yi'ze'zhi
天志,tian'zhi
天子来,tian'zi'lai
统一六国,tong'yi'liu'guo
统一天下,tong'yi'tian'xia
统一于道,tong'yi'yu'dao
统一中国,tong'yi'zhong'guo
突出了,tu'chu'le
土德,tu'de
推兼爱之意,tui'jian'ai'zhi'yi
王朝的更替,wang'chao'de'geng'ti
王充的,wang'chong'de
王居一焉,wang'ju'yi'yan
王力先生,wang'li'xian'sheng
王亦大,wang'yi'da
违背法律,wei'bei'fa'lv
未得到重视,wei'de'dao'zhong'shi
魏国,wei'guo
为首的,wei'shou'de
