阿尔巴尼亚,a'er'ba'ni'ya
荷属安的列斯,he'shu'an'de'lie'si
洪都拉斯,hong'dou'la'si
吉布提,ji'bu'ti
吉尔吉斯坦,ji'er'ji'si'tan
几内亚,ji'nei'ya
加纳,jia'na
加拿大,jia'na'da
加蓬,jia'peng
柬埔寨,jian'pu'zhai
捷克,jie'ke
津巴布韦,jin'ba'bu'wei
喀麦隆,ka'mai'long
卡塔尔,ka'ta'er
开曼群岛,kai'man'qun'dao
科特迪瓦,ke'te'di'wa
科威特,ke'wei'te
肯尼亚,ken'ni'ya
库克群岛,ku'ke'qun'dao
拉脱维亚,la'tuo'wei'ya
莱索托,lai'suo'tuo
老挝,lao'wo
黎巴嫩,li'ba'nen
利比里亚,li'bi'li'ya
利比亚,li'bi'ya
立陶宛,li'tao'wan
列支敦士登,lie'zhi'dun'shi'deng
留尼旺,liu'ni'wang
卢森堡,lu'sen'bao
罗马尼亚,luo'ma'ni'ya
马达加斯加,ma'da'jia'si'jia
马尔代夫,ma'er'dai'fu
马耳他,ma'er'ta
马拉维,ma'la'wei
马来西亚,ma'lai'xi'ya
马里,ma'li
马里亚那群岛,ma'li'ya'na'qun'dao
马提尼克,ma'ti'ni'ke
毛里求斯,mao'li'qiu'si
美国,mei'guo
蒙古,meng'gu
孟加拉国,meng'jia'la'guo
蒙特塞拉特岛,meng'te'sai'la'te'dao
缅甸,mian'dian
摩尔多瓦,mo'er'duo'wa
摩洛哥,mo'luo'ge
摩纳哥,mo'na'ge
莫桑比克,mo'sang'bi'ke
墨西哥,mo'xi'ge
纳米比亚,na'mi'bi'ya
南非,nan'fei
南斯拉夫,nan'si'la'fu
瑙鲁,nao'lu
尼泊尔,ni'bo'er
尼加拉瓜,ni'jia'la'gua
尼日尔,ni'ri'er
尼日利亚,ni'ri'li'ya
挪威,nuo'wei
葡萄牙,pu'tao'ya
日本,ri'ben
瑞典,rui'dian
瑞士,rui'shi
萨尔瓦多,sa'er'wa'duo
塞拉利昂,sai'la'li'ang
塞内加尔,sai'nei'jia'er
塞浦路斯,sai'pu'lu'si
塞舌尔,sai'she'er
沙特阿拉伯,sha'te'a'la'bo
圣多美和普林西比,sheng'duo'mei'he'pu'lin'xi'bi
圣卢西亚,sheng'lu'xi'ya
圣马力诺,sheng'ma'li'nuo
圣文森特,sheng'wen'sen'te
圣文森特岛,sheng'wen'sen'te'dao
斯里兰卡,si'li'lan'ka
斯洛伐克,si'luo'fa'ke
斯洛文尼亚,si'luo'wen'ni'ya
斯威士兰,si'wei'shi'lan
苏丹,su'dan
苏里南,su'li'nan
所罗门群岛,suo'luo'men'qun'dao
索马里,suo'ma'li
塔吉克斯坦,ta'ji'ke'si'tan
泰国,tai'guo
台湾省,tai'wan'sheng
坦桑尼亚,tan'sang'ni'ya
汤加,tang'jia
特立尼达和多巴哥,te'li'ni'da'he'duo'ba'ge
土耳其,tu'er'qi
土库曼斯坦,tu'ku'man'si'tan
突尼斯,tu'ni'si
危地马拉,wei'di'ma'la
委内瑞拉,wei'nei'rui'la
文莱,wen'lai
乌兹别克斯坦,wu'ci'bie'ke'si'tan
乌干达,wu'gan'da
乌克兰,wu'ke'lan
乌拉圭,wu'la'gui
西班牙,xi'ban'ya
希腊,xi'la
西萨摩亚,xi'sa'mo'ya
香港,xiang'gang
新加坡,xin'jia'po
新西兰,xin'xi'lan
匈牙利,xiong'ya'li
叙利亚,xu'li'ya
牙买加,ya'mai'jia
亚美尼亚,ya'mei'ni'ya
也门,ye'men
意大利,yi'da'li
伊拉克,yi'la'ke
伊朗,yi'lang
以色列,yi'se'lie
印度,yin'du
印度尼西亚,yin'du'ni'xi'ya
英国,ying'guo
约旦,yue'dan
越南,yue'nan
赞比亚,zan'bi'ya
乍得,zha'de
扎伊尔,zha'yi'er
直布罗陀,zhi'bu'luo'tuo
智利,zhi'li
中非共和国,zhong'fei'gong'he'guo
中国,zhong'guo
