阿呆,a'dai
打开文件打开所在文件夹,da'kai'wen'jian'da'kai'suo'zai'wen'jian'jia
打埋伏,da'mai'fu
大名,da'ming
大事挖坟,da'shi'wa'fen
大图,da'tu
大学同学,da'xue'tong'xue
大嘴,da'zui
贷款,dai'kuan
呆着也没什么意思,dai'zhe'ye'mei'shen'me'yi'si
单红梅是谁,dan'hong'mei'shi'shui
但是好象是不能全报,dan'shi'hao'xiang'shi'bu'neng'quan'bao
但是后来跟他处了之后,dan'shi'hou'lai'gen'ta'chu'le'zhi'hou
但是你能穿嘛,dan'shi'ni'neng'chuan'ma
但是你在那里上班呢,dan'shi'ni'zai'na'li'shang'ban'ne
但是一直还没有作出决定来,dan'shi'yi'zhi'hai'mei'you'zuo'chu'jue'ding'lai
但是一直我都没有答应,dan'shi'yi'zhi'wo'dou'mei'you'da'ying
但是最终没有上去,dan'shi'zui'zhong'mei'you'shang'qu
当然了,dang'ran'le
当时心情不好,dang'shi'xin'qing'bu'hao
到底怎么了,dao'di'zen'me'le
到时候可以减少企业所得税,dao'shi'hou'ke'yi'jian'shao'qi'ye'suo'de'shui
倒是挺远的,dao'shi'ting'yuan'de
等会,deng'hui
等我,deng'wo
第三个图裂了,di'san'ge'tu'lie'le
第一次不是因为他,di'yi'ci'bu'shi'yin'wei'ta
第一次分手好像也是因为他,di'yi'ci'fen'shou'hao'xiang'ye'shi'yin'wei'ta
第一个,di'yi'ge
点多,dian'duo
电话给我,dian'hua'gei'wo
电话联系吧,dian'hua'lian'xi'ba
点击这个,dian'ji'zhe'ge
点击中间那个,dian'ji'zhong'jian'na'ge
点是早的,dian'shi'zao'de
冻得,dong'de
动物类的电影很好看,dong'wu'lei'de'dian'ying'hen'hao'kan
董晓锐,dong'xiao'rui
都结课了,dou'jie'ke'le
都考虑了一个月了,dou'kao'lv'le'yi'ge'yue'le
都没有人理我,dou'mei'you'ren'li'wo
都是贷款呢,dou'shi'dai'kuan'ne
都是黑的,dou'shi'hei'de
都是朋友,dou'shi'peng'you
都是小孩,dou'shi'xiao'hai
都是一帮小孩子,dou'shi'yi'bang'xiao'hai'zi
逗我玩呢啊,dou'wo'wan'ne'a
都想,dou'xiang
都已经点了啊,dou'yi'jing'dian'le'a
都一样,dou'yi'yang
都有谁了,dou'you'shui'le
对啊,dui'a
对不起,dui'bu'qi
对方中止了视频通话,dui'fang'zhong'zhi'le'shi'pin'tong'hua
对了,dui'le
对自己放纵了许多,dui'zi'ji'fang'zong'le'xu'duo
遁迹的爱情,dun'ji'de'ai'qing
多少钱吧先问,duo'shao'qian'ba'xian'wen
额不知道在哪额,e'bu'zhi'dao'zai'na'e
嗯嗯,en'en
恩恩,en'en
恩好了,en'hao'le
恩呢,en'ne
恩我把那个删了重下载了个,en'wo'ba'na'ge'shan'le'zhong'xia'zai'le'ge
恩有时间聊,en'you'shi'jian'liao
而且你还没有衣服换,er'qie'ni'hai'mei'you'yi'fu'huan
而且最近发生了一些事情,er'qie'zui'jin'fa'sheng'le'yi'xie'shi'qing
发贴子,fa'tie'zi
烦人,fan'ren
反正没人心疼,fan'zheng'mei'ren'xin'teng
反正难受,fan'zheng'nan'shou
反正我也没有人关心,fan'zheng'wo'ye'mei'you'ren'guan'xin
反正已经淋了就这样吧,fan'zheng'yi'jing'lin'le'jiu'zhe'yang'ba
放弃,fang'qi
房山工地呀,fang'shan'gong'di'ya
飞机快,fei'ji'kuai
冯国静,feng'guo'jing
疯了,feng'le
付东升,fu'dong'sheng
付豪,fu'hao
付杰,fu'jie
该怎么办,gai'zen'me'ban
感恩,gan'en
赶紧睡去吧,gan'jin'shui'qu'ba
干吗,gan'ma
干嘛,gan'ma
干啥呢,gan'sha'ne
干什么嗯,gan'shen'me'en
干什么呢,gan'shen'me'ne
干销售挣钱,gan'xiao'shou'zheng'qian
刚才不忙想聊会,gang'cai'bu'mang'xiang'liao'hui
刚刚不还是兴奋呢吗,gang'gang'bu'hai'shi'xing'fen'ne'ma
刚刚吃饭去了,gang'gang'chi'fan'qu'le
刚刚到公司,gang'gang'dao'gong'si
刚刚和同事讨论事来,gang'gang'he'tong'shi'tao'lun'shi'lai
刚刚网络不好,gang'gang'wang'luo'bu'hao
刚刚问完,gang'gang'wen'wan
高路,gao'lu
高文博,gao'wen'bo
高中同学他三叔开的车,gao'zhong'tong'xue'ta'san'shu'kai'de'che
给你放一张空卡里,gei'ni'fang'yi'zhang'kong'ka'li
给你介绍左右的你能接受么,gei'ni'jie'shao'zuo'you'de'ni'neng'jie'shou'me
给我打个电话,gei'wo'da'ge'dian'hua
工程,gong'cheng
恭喜啊,gong'xi'a
工资到账就买,gong'zi'dao'zhang'jiu'mai
工资卡开网银就是一个坑,gong'zi'ka'kai'wang'yin'jiu'shi'yi'ge'keng
估计你穿不上,gu'ji'ni'chuan'bu'shang
估计也是,gu'ji'ye'shi
国家戏剧院的,guo'jia'xi'ju'yuan'de
国静,guo'jing
过来看看我呗,guo'lai'kan'kan'wo'bei
过年就不过来,guo'nian'jiu'bu'guo'lai
郭瑞雪,guo'rui'xue
哈哈,ha'ha
哈哈忙去吧,ha'ha'mang'qu'ba
哈哈又听不懂,ha'ha'you'ting'bu'dong
哈喽,ha'lou
海淀清河呢,hai'dian'qing'he'ne
还好,hai'hao
还可以,hai'ke'yi
还老同学呢表情,hai'lao'tong'xue'ne'biao'qing
还没下班,hai'mei'xia'ban
还没有休息,hai'mei'you'xiu'xi
还是打电话太多了,hai'shi'da'dian'hua'tai'duo'le
还是教书,hai'shi'jiao'shu
还是浏览器问题,hai'shi'liu'lan'qi'wen'ti
还是说那时候太年轻了,hai'shi'shuo'na'shi'hou'tai'nian'qing'le
嗨想干挣钱的,hai'xiang'gan'zheng'qian'de
还要放到网上去,hai'yao'fang'dao'wang'shang'qu
还有密码,hai'you'mi'ma
还在吗,hai'zai'ma
好啊,hao'a
好吧,hao'ba
好吧我的报应来了,hao'ba'wo'de'bao'ying'lai'le
好吧我太咬文嚼字了,hao'ba'wo'tai'yao'wen'jiao'zi'le
好吧祝福你,hao'ba'zhu'fu'ni
好不了,hao'bu'liao
好的,hao'de
好的哈,hao'de'ha
好饿,hao'e
号回家不,hao'hui'jia'bu
好看,hao'kan
好看吗,hao'kan'ma
好了,hao'le
好了我走了,hao'le'wo'zou'le
好奇怪啊,hao'qi'guai'a
好像是以前在这边干过,hao'xiang'shi'yi'qian'zai'zhe'bian'gan'guo
好信你,hao'xin'ni
和的换成,he'de'huan'cheng
荷尔蒙的味道,he'er'meng'de'wei'dao
何国全,he'guo'quan
呵呵,he'he
呵呵还不睡啊明天不上班了啊,he'he'hai'bu'shui'a'ming'tian'bu'shang'ban'le'a
呵呵回来看看还没对象怎么结婚,he'he'hui'lai'kan'kan'hai'mei'dui'xiang'zen'me'jie'hun
呵呵明白,he'he'ming'bai
呵呵你在那里啊,he'he'ni'zai'na'li'a
呵呵让他郁闷去吧,he'he'rang'ta'yu'men'qu'ba
呵呵是啊,he'he'shi'a
和孙静一样啊,he'sun'jing'yi'yang'a
和我一眼啊,he'wo'yi'yan'a
嘿嘿,hei'hei
嘿嘿在,hei'hei'zai
黑色的,hei'se'de
很近啊,hen'jin'a
很严肃的事情呢,hen'yan'su'de'shi'qing'ne
后来被他给伤了,hou'lai'bei'ta'gei'shang'le
后来一年多再没有谈过朋友,hou'lai'yi'nian'duo'zai'mei'you'tan'guo'peng'you
后台由于一些原因就没有去,hou'tai'you'yu'yi'xie'yuan'yin'jiu'mei'you'qu
猴子,hou'zi
花多少钱买的,hua'duo'shao'qian'mai'de
花了多,hua'le'duo
黄丽萍,huang'li'ping
会不会他特意让你找的我呀,hui'bu'hui'ta'te'yi'rang'ni'zhao'de'wo'ya
回家,hui'jia
回家不,hui'jia'bu
回家了,hui'jia'le
回家么,hui'jia'me
回来看看,hui'lai'kan'kan
火车票都没有表情,huo'che'piao'dou'mei'you'biao'qing
火车票行吗,huo'che'piao'xing'ma
基本是关于小狗的,ji'ben'shi'guan'yu'xiao'gou'de
记得吃饭,ji'de'chi'fan
几号线,ji'hao'xian
急招蒹职,ji'zhao'jian'zhi
加班呢,jia'ban'ne
加个好友,jia'ge'hao'you
家里安排的,jia'li'an'pai'de
加你号的答案是什么啊,jia'ni'hao'de'da'an'shi'shen'me'a
加上我个了吧,jia'shang'wo'ge'le'ba
加我为好友我加不上你,jia'wo'wei'hao'you'wo'jia'bu'shang'ni
肩膀也疼,jian'bang'ye'teng
姜文博,jiang'wen'bo
姜雯薄,jiang'wen'bo
姜羽凡,jiang'yu'fan
进不了网页,jin'bu'liao'wang'ye
仅仅剩下回,jin'jin'sheng'xia'hui
今天本来就不舒服,jin'tian'ben'lai'jiu'bu'shu'fu
今天不是月了,jin'tian'bu'shi'yue'le
今天早上淋雨了,jin'tian'zao'shang'lin'yu'le
今天早上雨貌似很大的样子,jin'tian'zao'shang'yu'mao'si'hen'da'de'yang'zi
今天周六啊,jin'tian'zhou'liu'a
就好了,jiu'hao'le
就是被甩了不爽报复一下,jiu'shi'bei'shuai'le'bu'shuang'bao'fu'yi'xia
就是感觉说的很对啊,jiu'shi'gan'jue'shuo'de'hen'dui'a
就是上一次啊,jiu'shi'shang'yi'ci'a
就是问问,jiu'shi'wen'wen
就一个,jiu'yi'ge
就一个小小的本子而已,jiu'yi'ge'xiao'xiao'de'ben'zi'er'yi
就又开始愁了,jiu'you'kai'shi'chou'le
就这这个,jiu'zhe'zhe'ge
就知道你要退,jiu'zhi'dao'ni'yao'tui
菊花茶是说什么票,ju'hua'cha'shi'shuo'shen'me'piao
看到他们我就头疼,kan'dao'ta'men'wo'jiu'tou'teng
看的我都烦了,kan'de'wo'dou'fan'le
看会电视,kan'hui'dian'shi
看看,kan'kan
看看吧,kan'kan'ba
看了一个也就答应了,kan'le'yi'ge'ye'jiu'da'ying'le
看了一天小说了,kan'le'yi'tian'xiao'shuo'le
看上了,kan'shang'le
看他们,kan'ta'men
可别说是因为被我伤怕了,ke'bie'shuo'shi'yin'wei'bei'wo'shang'pa'le
客服小龙,ke'fu'xiao'long
可能认为我太小了吧,ke'neng'ren'wei'wo'tai'xiao'le'ba
可以,ke'yi
可以啊,ke'yi'a
空间密码,kong'jian'mi'ma
空卡,kong'ka
哭个屁,ku'ge'pi
快点啦,kuai'dian'la
会计证考下来了,kuai'ji'zheng'kao'xia'lai'le
快乐,kuai'le
快了,kuai'le
快去边去,kuai'qu'bian'qu
快下班了吧,kuai'xia'ban'le'ba
拉手拥抱可以接受,la'shou'yong'bao'ke'yi'jie'shou
来不来啊,lai'bu'lai'a
来了给你,lai'le'gei'ni
来玩啊,lai'wan'a
懒猫,lan'mao
老员工回归,lao'yuan'gong'hui'gui
累得要死,lei'de'yao'si
类似这个的,lei'si'zhe'ge'de
累特么死我得了,lei'te'me'si'wo'de'le
李成利,li'cheng'li
李贺伟,li'he'wei
李吉国,li'ji'guo
李家旭,li'jia'xu
李昆山,li'kun'shan
李淑雅,li'shu'ya
李亚凤,li'ya'feng
李艳洺新,li'yan'ming'xin
聊天的那个,liao'tian'de'na'ge
淋雨很难受的,lin'yu'hen'nan'shou'de
泠漠眼眸眼捔涙,ling'mo'yan'mou'yan'zhuo'lei
另一方面就是因为他,ling'yi'fang'mian'jiu'shi'yin'wei'ta
刘碧玉,liu'bi'yu
柳昌盛,liu'chang'sheng
刘春雨,liu'chun'yu
刘文会,liu'wen'hui
柳曦,liu'xi
柳雪芳,liu'xue'fang
刘洋,liu'yang
刘英杰,liu'ying'jie
卢旺,lu'wang
卢亚杰,lu'ya'jie
炉子不回去么,lu'zi'bu'hui'qu'me
落场,luo'chang
麻痹我英语不好,ma'bi'wo'ying'yu'bu'hao
马春龙,ma'chun'long
马上了,ma'shang'le
马上要下班了,ma'shang'yao'xia'ban'le
马秀梅,ma'xiu'mei
买点红花油擦擦吧,mai'dian'hong'hua'you'ca'ca'ba
漫步,man'bu
忙什么呢,mang'shen'me'ne
忙什么呢不是在加班吧,mang'shen'me'ne'bu'shi'zai'jia'ban'ba
忙着呢,mang'zhe'ne
没带雨伞啊,mei'dai'yu'san'a
没给过的,mei'gei'guo'de
没关系,mei'guan'xi
美丽俏佳人,mei'li'qiao'jia'ren
没你号了,mei'ni'hao'le
美女啊没有充值卡财付通行不,mei'nv'a'mei'you'chong'zhi'ka'cai'fu'tong'xing'bu
美女还没兴趣,mei'nv'hai'mei'xing'qu
美女再说我智商低没,mei'nv'zai'shuo'wo'zhi'shang'di'mei
没人他也不回去,mei'ren'ta'ye'bu'hui'qu
没什么,mei'shen'me
没什么打扰不打扰的,mei'shen'me'da'rao'bu'da'rao'de
没什么好结果,mei'shen'me'hao'jie'guo
没事,mei'shi
没时间去呢,mei'shi'jian'qu'ne
没事我就问问,mei'shi'wo'jiu'wen'wen
没用再卸载,mei'yong'zai'xie'zai
没有,mei'you
没有啊,mei'you'a
没有跟女朋友出去玩,mei'you'gen'nv'peng'you'chu'qu'wan
没有回来,mei'you'hui'lai
没有吗他看见你了,mei'you'ma'ta'kan'jian'ni'le
没有那么合适的,mei'you'na'me'he'shi'de
没有什么值当不值当的,mei'you'shen'me'zhi'dang'bu'zhi'dang'de
没有我在北京没认识几个人,mei'you'wo'zai'bei'jing'mei'ren'shi'ji'ge'ren
没有想过你,mei'you'xiang'guo'ni
没有呀,mei'you'ya
没有再说什么,mei'you'zai'shuo'shen'me
没有这个呀,mei'you'zhe'ge'ya
没有做这个,mei'you'zuo'zhe'ge
没怎么,mei'zen'me
美中上边,mei'zhong'shang'bian
密码忘记了,mi'ma'wang'ji'le
明天早上点芍药居,ming'tian'zao'shang'dian'shao'yao'ju
明天早上就差不多能好了,ming'tian'zao'shang'jiu'cha'bu'duo'neng'hao'le
明早回,ming'zao'hui
名字叫郭瑞雪,ming'zi'jiao'guo'rui'xue
缪艳玲,miu'yan'ling
沒哊,mo'you
穆英磊,mu'ying'lei
呐悲伤囬,na'bei'shang'hui
那次啊,na'ci'a
那段时间跟你在一起,na'duan'shi'jian'gen'ni'zai'yi'qi
那个不好用,na'ge'bu'hao'yong
那个店,na'ge'dian
那会更精神的,na'hui'geng'jing'shen'de
那就别进了,na'jiu'bie'jin'le
那就点击,na'jiu'dian'ji
那就去热敷一下,na'jiu'qu're'fu'yi'xia
那就去死,na'jiu'qu'si
那里啊,na'li'a
那里买的,na'li'mai'de
那么喜欢小狗啊,na'me'xi'huan'xiao'gou'a
那你给我介绍别人吧,na'ni'gei'wo'jie'shao'bie'ren'ba
那你还问我,na'ni'hai'wen'wo
那你就可以剩下钱了啊,na'ni'jiu'ke'yi'sheng'xia'qian'le'a
那你看看我怎么样啊,na'ni'kan'kan'wo'zen'me'yang'a
那你来吧,na'ni'lai'ba
那你们轻松了啊,na'ni'men'qing'song'le'a
那你现在是不是感觉她不喜欢你,na'ni'xian'zai'shi'bu'shi'gan'jue'ta'bu'xi'huan'ni
那你丫的费什么话,na'ni'ya'de'fei'shen'me'hua
那时候才认识的他,na'shi'hou'cai'ren'shi'de'ta
那算了,na'suan'le
那天把他气走了,na'tian'ba'ta'qi'zou'le
那天你走了,na'tian'ni'zou'le
那天我去洗浴中心了,na'tian'wo'qu'xi'yu'zhong'xin'le
那我安什么呀,na'wo'an'shen'me'ya
那我怎么看你写的车票,na'wo'zen'me'kan'ni'xie'de'che'piao
那些,na'xie
那这次不是找了一个嘛,na'zhe'ci'bu'shi'zhao'le'yi'ge'ma
男朋友怎么样了,nan'peng'you'zen'me'yang'le
难受着吧,nan'shou'zhe'ba
能报大概多少,neng'bao'da'gai'duo'shao
能打开网页吗,neng'da'kai'wang'ye'ma
能接受啊,neng'jie'shou'a
能远程一下不,neng'yuan'cheng'yi'xia'bu
你不废话吗,ni'bu'fei'hua'ma
你不是去找妹妹了吧,ni'bu'shi'qu'zhao'mei'mei'le'ba
你不知道我跟他以前的事情,ni'bu'zhi'dao'wo'gen'ta'yi'qian'de'shi'qing
你猜,ni'cai
你才到公司呀,ni'cai'dao'gong'si'ya
你出去淋雨去了,ni'chu'qu'lin'yu'qu'le
你懂了就行了,ni'dong'le'jiu'xing'le
你都要换工作了,ni'dou'yao'huan'gong'zuo'le
尼恩,ni'en
你干嘛呢,ni'gan'ma'ne
你给我弄吧,ni'gei'wo'nong'ba
你还是在以前的公司吗,ni'hai'shi'zai'yi'qian'de'gong'si'ma
你还挺会找人,ni'hai'ting'hui'zhao'ren
你后来跟她联系吗,ni'hou'lai'gen'ta'lian'xi'ma
你会不会聊天啊,ni'hui'bu'hui'liao'tian'a
你家里同意找比你大的女孩子吗,ni'jia'li'tong'yi'zhao'bi'ni'da'de'nv'hai'zi'ma
你今年吧,ni'jin'nian'ba
你今天不上课啊,ni'jin'tian'bu'shang'ke'a
你今天上班吗,ni'jin'tian'shang'ban'ma
你就不能买东西了,ni'jiu'bu'neng'mai'dong'xi'le
你联系不到了么,ni'lian'xi'bu'dao'le'me
你忙吗,ni'mang'ma
你忙什么呢,ni'mang'shen'me'ne
你们经常这样啊,ni'men'jing'chang'zhe'yang'a
你们那个项目快做完了没有啊,ni'men'na'ge'xiang'mu'kuai'zuo'wan'le'mei'you'a
你们怎么认识的啊,ni'men'zen'me'ren'shi'de'a
你那次是不是看见他了,ni'na'ci'shi'bu'shi'kan'jian'ta'le
你呢,ni'ne
你能收语音么,ni'neng'shou'yu'yin'me
你什么时候完事,ni'shen'me'shi'hou'wan'shi
你是,ni'shi
你是干什么的啊,ni'shi'gan'shen'me'de'a
你是我第一拥有过的女人,ni'shi'wo'di'yi'yong'you'guo'de'nv'ren
你谁啊,ni'shui'a
你说什么,ni'shuo'shen'me
你说实话好吗,ni'shuo'shi'hua'hao'ma
你玩吧,ni'wan'ba
你先闭群吧,ni'xian'bi'qun'ba
你现在干啥呢,ni'xian'zai'gan'sha'ne
你现在能办大专证吗,ni'xian'zai'neng'ban'da'zhuan'zheng'ma
你现在做什么工作啊,ni'xian'zai'zuo'shen'me'gong'zuo'a
你丫的一定不会心动的,ni'ya'de'yi'ding'bu'hui'xin'dong'de
你要给我介绍对象,ni'yao'gei'wo'jie'shao'dui'xiang
你要是恨我就恨我吧,ni'yao'shi'hen'wo'jiu'hen'wo'ba
你以前看过那个斑点狗吗,ni'yi'qian'kan'guo'na'ge'ban'dian'gou'ma
你以前也是这样对我的啊,ni'yi'qian'ye'shi'zhe'yang'dui'wo'de'a
你有没有意思,ni'you'mei'you'yi'si
你有你不就花了吗,ni'you'ni'bu'jiu'hua'le'ma
你在北京呢还是在平泉呢,ni'zai'bei'jing'ne'hai'shi'zai'ping'quan'ne
你在北京扎根了,ni'zai'bei'jing'zha'gen'le
你在那里呢,ni'zai'na'li'ne
你早就有了啊,ni'zao'jiu'you'le'a
你怎么那么聪明,ni'zen'me'na'me'cong'ming
你怎么说的呢,ni'zen'me'shuo'de'ne
你真想和我交往啊,ni'zhen'xiang'he'wo'jiao'wang'a
你知道吗,ni'zhi'dao'ma
你知道那种感觉吗,ni'zhi'dao'na'zhong'gan'jue'ma
你自己想方案吧,ni'zi'ji'xiang'fang'an'ba
你走了,ni'zou'le
你走了我们怎么活,ni'zou'le'wo'men'zen'me'huo
你最喜欢的人是谁啊,ni'zui'xi'huan'de'ren'shi'shui'a
你做什么,ni'zuo'shen'me
年后回来换,nian'hou'hui'lai'huan
年龄不是问题的啦,nian'ling'bu'shi'wen'ti'de'la
您的视频通话时长较短,nin'de'shi'pin'tong'hua'shi'chang'jiao'duan
您发送了一个窗口抖动,nin'fa'song'le'yi'ge'chuang'kou'dou'dong
您好,nin'hao
妞子就是让人泡的,niu'zi'jiu'shi'rang'ren'pao'de
妞子退群可,niu'zi'tui'qun'ke
女朋友在赤峰呢,nv'peng'you'zai'chi'feng'ne
泡得到泡不到就不一定咯,pao'de'dao'pao'bu'dao'jiu'bu'yi'ding'ge
配那个短裤应该可以,pei'na'ge'duan'ku'ying'gai'ke'yi
拼车回去,pin'che'hui'qu
其实不甘心又怎样呢,qi'shi'bu'gan'xin'you'zen'yang'ne
其实就是今天很高兴,qi'shi'jiu'shi'jin'tian'hen'gao'xing
其实那天我想过直接上去找你,qi'shi'na'tian'wo'xiang'guo'zhi'jie'shang'qu'zhao'ni
其实那天我也不好受,qi'shi'na'tian'wo'ye'bu'hao'shou
其实我的工资卡也开着网银呢,qi'shi'wo'de'gong'zi'ka'ye'kai'zhe'wang'yin'ne
其实我也想这么说,qi'shi'wo'ye'xiang'zhe'me'shuo
其实也有自己的原因,qi'shi'ye'you'zi'ji'de'yuan'yin
前两天手机丢了,qian'liang'tian'shou'ji'diu'le
浅笑低头,qian'xiao'di'tou
请教个问题,qing'jiao'ge'wen'ti
情侣关系有两个星期见一次面,qing'lv'guan'xi'you'liang'ge'xing'qi'jian'yi'ci'mian
请你吃饭,qing'ni'chi'fan
邱垒,qiu'lei
求你帮啥忙,qiu'ni'bang'sha'mang
糗友,qiu'you
去吧,qu'ba
去哪里看上啊,qu'na'li'kan'shang'a
去哪里玩来啊,qu'na'li'wan'lai'a
群里的,qun'li'de
然后就对女性没有信心了,ran'hou'jiu'dui'nv'xing'mei'you'xin'xin'le
让他说,rang'ta'shuo
让我怀疑你是不是有别人,rang'wo'huai'yi'ni'shi'bu'shi'you'bie'ren
让我看看,rang'wo'kan'kan
忍得住欺骗,ren'de'zhu'qi'pian
任贺军,ren'he'jun
人家比你大岁呢,ren'jia'bi'ni'da'sui'ne
认识的也没有咱们那边的了,ren'shi'de'ye'mei'you'zan'men'na'bian'de'le
人这一辈子,ren'zhe'yi'bei'zi
任志辉,ren'zhi'hui
如果不说的话,ru'guo'bu'shuo'de'hua
如果你上来了,ru'guo'ni'shang'lai'le
如果你要是想笑我就笑吧,ru'guo'ni'yao'shi'xiang'xiao'wo'jiu'xiao'ba
如梦飘雪,ru'meng'piao'xue
软件开发,ruan'jian'kai'fa
嗓子难受,sang'zi'nan'shou
傻逼,sha'bi
沙河,sha'he
山东,shan'dong
上班,shang'ban
上班呗,shang'ban'bei
上班没,shang'ban'mei
上班呢啊,shang'ban'ne'a
上车,shang'che
上次你给我打电话旁边听着来着,shang'ci'ni'gei'wo'da'dian'hua'pang'bian'ting'zhe'lai'zhe
上个星期还没有呢啊,shang'ge'xing'qi'hai'mei'you'ne'a
上个星期就有了啊,shang'ge'xing'qi'jiu'you'le'a
上海小田,shang'hai'xiao'tian
上火了,shang'huo'le
上课,shang'ke
上线回复电话,shang'xian'hui'fu'dian'hua
芍药居,shao'yao'ju
芍药居站,shao'yao'ju'zhan
什么,shen'me
什么都没有啊,shen'me'dou'mei'you'a
什么还好,shen'me'hai'hao
什么时候的事啊,shen'me'shi'hou'de'shi'a
什么为什么,shen'me'wei'shen'me
