爱恶欲,ai'wu'yu
人之初,ren'zhi'chu
日所躔,ri'suo'chan
日月星,ri'yue'xing
融四岁,rong'si'sui
如负薪,ru'fu'xin
如挂角,ru'gua'jiao
如六经,ru'liu'jing
如囊萤,ru'nang'ying
如映雪,ru'ying'xue
若广学,ruo'guang'xue
若亲目,ruo'qin'mu
若荀卿,ruo'xun'qing
三百载,san'bai'zai
三才者,san'cai'zhe
三党名,san'dang'ming
三纲者,san'gang'zhe
三光者,san'guang'zhe
三十五,san'shi'wu
三易详,san'yi'xiang
三字经,san'zi'jing
善辨言,shan'bian'yan
膻焦香,shan'jiao'xiang
山之名,shan'zhi'ming
上匡国,shang'kuang'guo
尚勤学,shang'qin'xue
尚游说,shang'you'shui
商有汤,shang'you'tang
身而子,shen'er'zi
神器毁,shen'qi'hui
身虽劳,shen'sui'lao
身已仕,shen'yi'shi
十八传,shi'ba'chuan
始春秋,shi'chun'qiu
十而百,shi'er'bai
十二支,shi'er'zhi
始发愤,shi'fa'fen
始夫妇,shi'fu'fu
十干者,shi'gan'zhe
始纪年,shi'ji'nian
史记一,shi'ji'yi
始兼并,shi'jian'bing
始可读,shi'ke'du
十六世,shi'liu'shi
识某文,shi'mou'wen
十七篇,shi'qi'pian
十三经,shi'san'jing
十十世,shi'shi'shi
史虽繁,shi'sui'fan
失统绪,shi'tong'xu
师项橐,shi'xiang'tuo
师之惰,shi'zhi'duo
始诛纣,shi'zhu'zhou
受明封,shou'ming'feng
首孝悌,shou'xiao'ti
受周祥,shou'zhou'xiang
述圣言,shu'sheng'yan
数十五,shu'shi'wu
书之奥,shu'zhi'ao
霜露改,shuang'lu'gai
水之纪,shui'zhi'ji
说仁义,shuo'ren'yi
四百年,si'bai'nian
四百载,si'bai'zai
四书通,si'shu'tong
嵩恒衡,song'heng'heng
宋齐继,song'qi'ji
宋周程,song'zhou'cheng
苏明允,su'ming'yun
酸苦甘,suan'ku'gan
遂东迁,sui'dong'qian
所当执,suo'dang'zhi
太祖兴,tai'zu'xing
汤伐夏,tang'fa'xia
唐高祖,tang'gao'zu
唐刘晏,tang'liu'yan
天地人,tian'di'ren
通古今,tong'gu'jin
统儒术,tong'ru'shu
头悬梁,tou'xuan'liang
王传者,wang'chuan'zhe
王迹息,wang'ji'xi
王莽篡,wang'mang'cuan
王纳坠,wang'na'zhui
为东汉,wei'dong'han
为二帝,wei'er'di
为南朝,wei'nan'chao
为人子,wei'ren'zi
为诗宗,wei'shi'zong
魏蜀吴,wei'shu'wu
帷书学,wei'shu'xue
为学者,wei'xue'zhe
帷一经,wei'yi'jing
温暖极,wen'nuan'ji
文中子,wen'zhong'zi
文作周,wen'zuo'zhou
我教子,wo'jiao'zi
我中华,wo'zhong'hua
五霸强,wu'ba'qiang
五伦者,wu'lun'zhe
勿违背,wu'wei'bei
五子者,wu'zi'zhe
习礼仪,xi'li'yi
昔孟母,xi'meng'mu
习儒业,xi'ru'ye
戏无益,xi'wu'yi
习相远,xi'xiang'yuan
夕於斯,xi'yu'si
昔仲尼,xi'zhong'ni
夏传子,xia'chuan'zi
下利民,xia'li'min
夏有禹,xia'you'yu
显父母,xian'fu'mu
先四史,xian'si'shi
先武兴,xian'wu'xing
先贤传,xian'xian'chuan
香九龄,xiang'jiu'ling
详训故,xiang'xun'gu
孝经熟,xiao'jing'shu
小学终,xiao'xue'zhong
孝于亲,xiao'yu'qin
削竹简,xiao'zhu'jian
谢道韫,xie'dao'yun
心而帷,xin'er'wei
性本善,xing'ben'shan
兴辽东,xing'liao'dong
性乃迁,xing'nai'qian
性相近,xing'xiang'jin
修文质,xiu'wen'zhi
婿妇翁,xu'fu'weng
须讲究,xu'jiang'jiu
序宗亲,xu'zong'qin
学不辍,xue'bu'chuo
学且勤,xue'qie'qin
养不教,yang'bu'jiao
扬名声,yang'ming'sheng
尧舜兴,yao'shun'xing
一而十,yi'er'shi
宜兼通,yi'jian'tong
仪礼者,yi'li'zhe
宜立志,yi'li'zhi
宜勉力,yi'mian'li
翼圣教,yi'sheng'jiao
易诗书,yi'shi'shu
宜调叶,yi'tiao'ye
一土宇,yi'tu'yu
宜先知,yi'xian'zhi
益以清,yi'yi'qing
宜早思,yi'zao'si
莹八岁,ying'ba'sui
应乎中,ying'hu'zhong
庸不易,yong'bu'yi
有伯叔,you'bo'shu
幼不学,you'bu'xue
有草木,you'cao'mu
有虫鱼,you'chong'yu
有典谟,you'dian'mo
右高原,you'gao'yuan
有公羊,you'gong'yang
有谷梁,you'gu'liang
有古文,you'gu'wen
有归藏,you'gui'cang
有国风,you'guo'feng
有国语,you'guo'yu
犹悔迟,you'hui'chi
游稷下,you'ji'xia
有舅甥,you'jiu'sheng
犹苦卓,you'ku'zhuo
有连山,you'lian'shan
有鸟兽,you'niao'shou
有誓命,you'shi'ming
幼习业,you'xi'ye
有训诰,you'xun'gao
有荀扬,you'xun'yang
有雅颂,you'ya'song
有义方,you'yi'fang
有周易,you'zhou'yi
有左氏,you'zuo'shi
寓褒贬,yu'bao'bian
玉不琢,yu'bu'zhuo
与高齐,yu'gao'qi
馀可求,yu'ke'qiu
御书数,yu'shu'shu
与丝竹,yu'si'zhu
宇文周,yu'wen'zhou
裕于后,yu'yu'hou
元灭之,yuan'mie'zhi
曰哀惧,yue'ai'ju
曰赤道,yue'chi'dao
曰春夏,yue'chun'xia
曰岱华,yue'dai'hua
约而精,yue'er'jing
曰工商,yue'gong'shang
曰淮济,yue'huai'ji
曰黄道,yue'huang'dao
曰江河,yue'jiang'he
曰南北,yue'nan'bei
曰平上,yue'ping'shang
曰秋冬,yue'qiu'dong
曰去入,yue'qu'ru
曰仁义,yue'ren'yi
曰士农,yue'shi'nong
曰水火,yue'shui'huo
曰西东,yue'xi'dong
曰喜怒,yue'xi'nu
运不穷,yun'bu'qiong
在东北,zai'dong'bei
在礼记,zai'li'ji
在上世,zai'shang'shi
载治乱,zai'zhi'luan
择邻处,ze'lin'chu
张朱陆,zhang'zhu'lu
赵宋兴,zhao'song'xing
赵中令,zhao'zhong'ling
振民风,zhen'min'feng
争汉鼎,zheng'han'ding
至曾玄,zhi'ceng'xuan
至崇祯,zhi'chong'zhen
至黄帝,zhi'huang'di
知某数,zhi'mou'shu
至世祖,zhi'shi'zu
至四书,zhi'si'shu
至孝平,zhi'xiao'ping
知兴衰,zhi'xing'shuai
至治平,zhi'zhi'ping
知终始,zhi'zhong'shi
至纣亡,zhi'zhou'wang
中不偏,zhong'bu'pian
众称异,zhong'cheng'yi
中庸者,zhong'yong'zhe
终於献,zhong'yu'xian
终战国,zhong'zhan'guo
周道衰,zhou'dao'shuai
周共和,zhou'gong'he
周礼者,zhou'li'zhe
周文武,zhou'wen'wu
周武王,zhou'wu'wang
箸六官,zhu'liu'guan
注疏备,zhu'shu'bei
壮致身,zhuang'zhi'shen
锥刺股,zhui'ci'gu
子不学,zi'bu'xue
自成入,zi'cheng'ru
子而孙,zi'er'sun
自勤苦,zi'qin'ku
子思笔,zi'si'bi
自羲农,zi'xi'nong
自修齐,zi'xiu'qi
子至亥,zi'zhi'hai
自子孙,zi'zi'sun
最长久,zui'chang'jiu
最精致,zui'jing'zhi
左大海,zuo'da'hai
作正字,zuo'zheng'zi
左传外,zuo'zhuan'wai
