爱而不能令,ai'er'bu'neng'ling
不得已也,bu'de'yi'ye
不得已则斗,bu'de'yi'ze'dou
不动如山,bu'dong'ru'shan
不服则难用,bu'fu'ze'nan'yong
不贵久,bu'gui'jiu
不过众人之所知,bu'guo'zhong'ren'zhi'suo'zhi
不合于利而上,bu'he'yu'li'er'shang
不合于利而止,bu'he'yu'li'er'zhi
不疾战则亡者,bu'ji'zhan'ze'wang'zhe
不竭如江海,bu'jie'ru'jiang'hai
不精之至也,bu'jing'zhi'zhi'ye
不可不察也,bu'ke'bu'cha'ye
不可从则上,bu'ke'cong'ze'shang
不可取于鬼神,bu'ke'qu'yu'gui'shen
不可胜尝也,bu'ke'sheng'chang'ye
不可胜观也,bu'ke'sheng'guan'ye
不可胜穷也,bu'ke'sheng'qiong'ye
不可胜听也,bu'ke'sheng'ting'ye
不可胜在己,bu'ke'sheng'zai'ji
不可胜者,bu'ke'sheng'zhe
不可先传,bu'ke'xian'chuan
不可先传也,bu'ke'xian'chuan'ye
不可象于事,bu'ke'xiang'yu'shi
不可验于度,bu'ke'yan'yu'du
不可以夺,bu'ke'yi'duo
不可以战者胜,bu'ke'yi'zhan'zhe'sheng
不可用也,bu'ke'yong'ye
不可知,bu'ke'zhi
不可知则敌所备者多,bu'ke'zhi'ze'di'suo'bei'zhe'duo
不利,bu'li
不令而信,bu'ling'er'xin
不能得地利,bu'neng'de'di'li
不能得地之利矣,bu'neng'de'di'zhi'li'yi
不能得人之用矣,bu'neng'de'ren'zhi'yong'yi
不能尽知用兵之利也,bu'neng'jin'zhi'yong'bing'zhi'li'ye
不能善其后,bu'neng'shan'qi'hou
不能善其后矣,bu'neng'shan'qi'hou'yi
不能使敌,bu'neng'shi'di
不能行军,bu'neng'xing'jun
不能豫交,bu'neng'yu'jiao
不能预交,bu'neng'yu'jiao
不求而得,bu'qiu'er'de
不仁之至也,bu'ren'zhi'zhi'ye
不若则能避之,bu'ruo'ze'neng'bi'zhi
不失敌之败也,bu'shi'di'zhi'bai'ye
不忒者,bu'te'zhe
不养天下之权,bu'yang'tian'xia'zhi'quan
不贻,bu'yi
不盈而从之,bu'ying'er'cong'zhi
不用乡导,bu'yong'xiang'dao
不用乡导者,bu'yong'xiang'dao'zhe
不约而亲,bu'yue'er'qin
不责于人,bu'ze'yu'ren
不战而屈人之兵,bu'zhan'er'qu'ren'zhi'bing
不知彼不知己,bu'zhi'bi'bu'zhi'ji
不知彼而知己,bu'zhi'bi'er'zhi'ji
不知此而用战者必败,bu'zhi'ci'er'yong'zhan'zhe'bi'bai
不知敌之不可击,bu'zhi'di'zhi'bu'ke'ji
不知敌之情者,bu'zhi'di'zhi'qing'zhe
不知军之不可以进,bu'zhi'jun'zhi'bu'ke'yi'jin
不知军之不可以退,bu'zhi'jun'zhi'bu'ke'yi'tui
不知三军之权,bu'zhi'san'jun'zhi'quan
不知三军之事,bu'zhi'san'jun'zhi'shi
不知山林,bu'zhi'shan'lin
不知山林险阻沮泽之形者,bu'zhi'shan'lin'xian'zu'ju'ze'zhi'xing'zhe
不知战日,bu'zhi'zhan'ri
不知战之地,bu'zhi'zhan'zhi'di
不知之者不胜,bu'zhi'zhi'zhe'bu'sheng
财竭则急于丘役,cai'jie'ze'ji'yu'qiu'yi
财则急于丘役,cai'ze'ji'yu'qiu'yi
常山之蛇也,chang'shan'zhi'she'ye
车甲之奉,che'jia'zhi'feng
车来也,che'lai'ye
车杂而乘之,che'za'er'cheng'zhi
车战,che'zhan
陈兵纵横,chen'bing'zong'heng
尘高而锐者,chen'gao'er'rui'zhe
陈也,chen'ye
城不拔者,cheng'bu'ba'zhe
成功出于众者,cheng'gong'chu'yu'zhong'zhe
乘其弊而起,cheng'qi'bi'er'qi
乘人之不及,cheng'ren'zhi'bu'ji
称生胜,cheng'sheng'sheng
称胜者之战民也,cheng'sheng'zhe'zhi'zhan'min'ye
城有所不攻,cheng'you'suo'bu'gong
城之所欲攻,cheng'zhi'suo'yu'gong
驰车千驷,chi'che'qian'si
驰者,chi'zhe
冲其虚也,chong'qi'xu'ye
出而不胜,chu'er'bu'sheng
出而胜之,chu'er'sheng'zhi
出其不意,chu'qi'bu'yi
出其所必趋,chu'qi'suo'bi'qu
出征千里,chu'zheng'qian'li
此安国全军之道也,ci'an'guo'quan'jun'zhi'dao'ye
辞卑而备,ci'bei'er'bei
此兵家之胜,ci'bing'jia'zhi'sheng
此兵之利,ci'bing'zhi'li
此兵之要,ci'bing'zhi'yao
此处斥泽之军也,ci'chu'chi'ze'zhi'jun'ye
此处平陆之军也,ci'chu'ping'lu'zhi'jun'ye
此处山之军也,ci'chu'shan'zhi'jun'ye
此处水上之军也,ci'chu'shui'shang'zhi'jun'ye
此伏奸之所处也,ci'fu'jian'zhi'suo'chu'ye
此攻之灾也,ci'gong'zhi'zai'ye
此军争之法也,ci'jun'zheng'zhi'fa'ye
此谋攻之法,ci'mou'gong'zhi'fa
此谋攻之法也,ci'mou'gong'zhi'fa'ye
辞强而进驱者,ci'qiang'er'jin'qu'zhe
此谓将军之事也,ci'wei'jiang'jun'zhi'shi'ye
此五者,ci'wu'zhe
此用兵之法也,ci'yong'bing'zhi'fa'ye
此用众之法也,ci'yong'zhong'zhi'fa'ye
此治变者也,ci'zhi'bian'zhe'ye
此治力者也,ci'zhi'li'zhe'ye
此治气者也,ci'zhi'qi'zhe'ye
此治心者也,ci'zhi'xin'zhe'ye
此知迂直之计者也,ci'zhi'yu'zhi'zhi'ji'zhe'ye
存亡之道,cun'wang'zhi'dao
大敌之擒也,da'di'zhi'qin'ye
大吏怒而不服,da'li'nu'er'bu'fu
待而勿攻,dai'er'wu'gong
带甲十万,dai'jia'shi'wan
待其定也,dai'qi'ding'ye
怠于道路,dai'yu'dao'lu
待之若何,dai'zhi'ruo'he
待之若何曰先夺其所爱则听矣,dai'zhi'ruo'he'yue'xian'duo'qi'suo'ai'ze'ting'yi
当其同舟而济而遇风,dang'qi'tong'zhou'er'ji'er'yu'feng
当吾二十石,dang'wu'er'shi'dan
当吾二十钟,dang'wu'er'shi'zhong
导而舍之,dao'er'she'zhi
道者,dao'zhe
得车十乘以上,de'che'shi'cheng'yi'shang
得算多也,de'suan'duo'ye
得算少也,de'suan'shao'ye
敌背之,di'bei'zhi
敌必从之,di'bi'cong'zhi
敌必取之,di'bi'qu'zhi
敌不得与我战者,di'bu'de'yu'wo'zhan'zhe
敌不及拒,di'bu'ji'ju
敌不知其所攻,di'bu'zhi'qi'suo'gong
敌不知其所守,di'bu'zhi'qi'suo'shou
敌分为十,di'fen'wei'shi
敌间之来间我者,di'jian'zhi'lai'jian'wo'zhe
敌近而静者,di'jin'er'jing'zhe
敌近之,di'jin'zhi
敌人开阖,di'ren'kai'he
敌人开户,di'ren'kai'hu
敌若有备,di'ruo'you'bei
地生度,di'sheng'du
敌虽高垒深沟,di'sui'gao'lei'shen'gou
敌虽利我,di'sui'li'wo
敌虽众,di'sui'zhong
敌所备者多,di'suo'bei'zhe'duo
敌无备,di'wu'bei
地形第十,di'xing'di'shi
地有所不争,di'you'suo'bu'zheng
敌则能战之,di'ze'neng'zhan'zhi
地者,di'zhe
地之道也,di'zhi'dao'ye
敌之可胜,di'zhi'ke'sheng
地之理也,di'zhi'li'ye
地之助也,di'zhi'zhu'ye
动而不迷,dong'er'bu'mi
动如雷震,dong'ru'lei'zhen
动于九天之上,dong'yu'jiu'tian'zhi'shang
斗乱而不可乱,dou'luan'er'bu'ke'luan
斗众如斗寡,dou'zhong'ru'dou'gua
度生量,du'sheng'liang
钝兵挫锐,dun'bing'cuo'rui
多算胜少算,duo'suan'sheng'shao'suan
而爱爵禄百金,er'ai'jue'lu'bai'jin
饵兵勿食,er'bing'wu'shi
而不可为,er'bu'ke'wei
而不失敌之败也,er'bu'shi'di'zhi'bai'ye
而不畏危,er'bu'wei'wei
而不危也,er'bu'wei'ye
而不知地形之不可以战,er'bu'zhi'di'xing'zhi'bu'ke'yi'zhan
而不知敌之不可击,er'bu'zhi'di'zhi'bu'ke'ji
而不致于人,er'bu'zhi'yu'ren
而城不拔者,er'cheng'bu'ba'zhe
而发其机,er'fa'qi'ji
而非攻也,er'fei'gong'ye
而非久也,er'fei'jiu'ye
而非战也,er'fei'zhan'ye
而更其旌旗,er'geng'qi'jing'qi
而国利者,er'guo'li'zhe
而况于无算乎,er'kuang'yu'wu'suan'hu
而况远者数十里,er'kuang'yuan'zhe'shu'shi'li
而利可全,er'li'ke'quan
而利于主,er'li'yu'zhu
而索其情,er'suo'qi'qing
而天下曰善,er'tian'xia'yue'shan
而同三军之任,er'tong'san'jun'zhi'ren
而同三军之政,er'tong'san'jun'zhi'zheng
而谓之进,er'wei'zhi'jin
而谓之退,er'wei'zhi'tui
而蚁附之,er'yi'fu'zhi
而应形于无穷,er'ying'xing'yu'wu'qiong
而诱之以利,er'you'zhi'yi'li
二曰火积,er'yue'huo'ji
二曰量,er'yue'liang
二曰天,er'yue'tian
伐大国,fa'da'guo
发火有时,fa'huo'you'shi
法令孰行,fa'ling'shu'xing
法者,fa'zhe
反报也,fan'bao'ye
凡处军相敌,fan'chu'jun'xiang'di
凡此六者,fan'ci'liu'zhe
凡此四军之利,fan'ci'si'jun'zhi'li
凡此四宿者,fan'ci'si'su'zhe
凡此五者,fan'ci'wu'zhe
泛地吾将进其途,fan'di'wu'jiang'jin'qi'tu
凡地有,fan'di'you
泛地则行,fan'di'ze'xing
凡火攻,fan'huo'gong
凡火攻有五,fan'huo'gong'you'wu
反间,fan'jian
反间者,fan'jian'zhe
凡军必知五火之变,fan'jun'bi'zhi'wu'huo'zhi'bian
凡军好高而恶下,fan'jun'hao'gao'er'wu'xia
凡军之所欲击,fan'jun'zhi'suo'yu'ji
凡难行之道者,fan'nan'xing'zhi'dao'zhe
犯三军之众,fan'san'jun'zhi'zhong
凡为客之道,fan'wei'ke'zhi'dao
凡先处战地而待敌者佚,fan'xian'chu'zhan'di'er'dai'di'zhe'yi
凡兴师十万,fan'xing'shi'shi'wan
凡用兵之法,fan'yong'bing'zhi'fa
凡战者,fan'zhan'zhe
犯之以害,fan'zhi'yi'hai
犯之以事,fan'zhi'yi'shi
凡治众如治寡,fan'zhi'zhong'ru'zhi'gua
方则止,fang'ze'zhi
非霸王之兵也,fei'ba'wang'zhi'bing'ye
非得不用,fei'dei'bu'yong
非恶货也,fei'e'huo'ye
非恶寿也,fei'e'shou'ye
非攻也,fei'gong'ye
非久,fei'jiu
非利不动,fei'li'bu'dong
费留,fei'liu
非民之将也,fei'min'zhi'jiang'ye
非仁义不能使间,fei'ren'yi'bu'neng'shi'jian
非善之善者也,fei'shan'zhi'shan'zhe'ye
非圣贤不能用间,fei'sheng'xian'bu'neng'yong'jian
非天地之灾,fei'tian'di'zhi'zai
非王之佐也,fei'wang'zhi'zuo'ye
非危不战,fei'wei'bu'zhan
非微妙不能得间之实,fei'wei'miao'bu'neng'de'jian'zhi'shi
非战也,fei'zhan'ye
纷纷纭纭,fen'fen'yun'yun
分数是也,fen'shu'shi'ye
忿速可侮,fen'su'ke'wu
风起之日也,feng'qi'zhi'ri'ye
夫霸王之兵,fu'ba'wang'zhi'bing
夫兵久,fu'bing'jiu
夫兵形象水,fu'bing'xing'xiang'shui
夫地形者,fu'di'xing'zhe
夫钝兵挫锐,fu'dun'bing'cuo'rui
夫将者,fu'jiang'zhe
夫金鼓,fu'jin'gu
覆军杀将,fu'jun'sha'jiang
夫势均,fu'shi'jun
夫惟无虑而易敌者,fu'wei'wu'lv'er'yi'di'zhe
夫未战而庙算不胜者,fu'wei'zhan'er'miao'suan'bu'sheng'zhe
夫未战而庙算胜者,fu'wei'zhan'er'miao'suan'sheng'zhe
夫吴人与越人相恶也,fu'wu'ren'yu'yue'ren'xiang'e'ye
辅隙则国必弱,fu'xi'ze'guo'bi'ruo
伏也,fu'ye
覆也,fu'ye
夫用兵之法,fu'yong'bing'zhi'fa
夫战胜攻取而不惰其功者凶,fu'zhan'sheng'gong'qu'er'bu'duo'qi'gong'zhe'xiong
夫众陷于害,fu'zhong'xian'yu'hai
辅周则国必强,fu'zhou'ze'guo'bi'qiang
敢问兵可使如率然乎,gan'wen'bing'ke'shi'ru'shuai'ran'hu
敢问敌众而整将来,gan'wen'di'zhong'er'zheng'jiang'lai
刚柔皆得,gang'rou'jie'de
高陵勿向,gao'ling'wu'xiang
革车千乘,ge'che'qian'sheng
革其谋,ge'qi'mou
更其旌旗,geng'qi'jing'qi
攻城则力屈,gong'cheng'ze'li'qu
攻城之法,gong'cheng'zhi'fa
攻而必取者,gong'er'bi'qu'zhe
公家之费,gong'jia'zhi'fei
公家之奉,gong'jia'zhi'feng
攻其所必救也,gong'qi'suo'bi'jiu'ye
攻其所不戒也,gong'qi'suo'bu'jie'ye
攻其所不守也,gong'qi'suo'bu'shou'ye
攻其无备,gong'qi'wu'bei
攻也,gong'ye
攻则有余,gong'ze'you'yu
攻之灾也,gong'zhi'zai'ye
故备前则后寡,gu'bei'qian'ze'hou'gua
故兵不顿,gu'bing'bu'dun
故兵贵胜,gu'bing'gui'sheng
故兵闻拙速,gu'bing'wen'zhuo'su
故兵无常势,gu'bing'wu'chang'shi
故兵以诈立,gu'bing'yi'zha'li
故兵之情,gu'bing'zhi'qing
故不尽知用兵之害者,gu'bu'jin'zhi'yong'bing'zhi'hai'zhe
故不知诸侯之谋者,gu'bu'zhi'zhu'hou'zhi'mou'zhe
故策之而知得失之计,gu'ce'zhi'er'zhi'de'shi'zhi'ji
故敌,gu'di
故反间不可不厚也,gu'fan'jian'bu'ke'bu'hou'ye
故反间可得而用也,gu'fan'jian'ke'de'er'yong'ye
故合之以文,gu'he'zhi'yi'wen
故将通于九变之利者,gu'jiang'tong'yu'jiu'bian'zhi'li'zhe
故将有五危,gu'jiang'you'wu'wei
故进不求名,gu'jin'bu'qiu'ming
故经之以,gu'jing'zhi'yi
故举秋毫不为多力,gu'ju'qiu'hao'bu'wei'duo'li
故军食可足也,gu'jun'shi'ke'zu'ye
故君之所以患,gu'jun'zhi'suo'yi'huan
故可以与之赴深溪,gu'ke'yi'yu'zhi'fu'shen'xi
故可与之俱死,gu'ke'yu'zhi'ju'si
故令之以文,gu'ling'zhi'yi'wen
故明君贤将,gu'ming'jun'xian'jiang
故明君贤将所以动而胜人,gu'ming'jun'xian'jiang'suo'yi'dong'er'sheng'ren
故明主慎之,gu'ming'zhu'shen'zhi
故能而示之不能,gu'neng'er'shi'zhi'bu'neng
故能为敌之司命,gu'neng'wei'di'zhi'si'ming
故能为胜败之政,gu'neng'wei'sheng'bai'zhi'zheng
故能择人而任势,gu'neng'ze'ren'er'ren'shi
故能自保而全胜也,gu'neng'zi'bao'er'quan'sheng'ye
故其疾如风,gu'qi'ji'ru'feng
故其战胜不复,gu'qi'zhan'sheng'bu'fu
故其战胜不忒,gu'qi'zhan'sheng'bu'te
故三军之事,gu'san'jun'zhi'shi
故杀敌者,gu'sha'di'zhe
故善出奇者,gu'shan'chu'qi'zhe
故善动敌者,gu'shan'dong'di'zhe
故善攻者,gu'shan'gong'zhe
故善求之于势,gu'shan'qiu'zhi'yu'shi
故善用兵者,gu'shan'yong'bing'zhe
故善战人之势,gu'shan'zhan'ren'zhi'shi
故善战者,gu'shan'zhan'zhe
故善战者之胜也,gu'shan'zhan'zhe'zhi'sheng'ye
故上兵伐谋,gu'shang'bing'fa'mou
故胜兵若以镒称铢,gu'sheng'bing'ruo'yi'yi'cheng'zhu
故生间可使如期,gu'sheng'jian'ke'shi'ru'qi
故死间为诳事,gu'si'jian'wei'kuang'shi
故为兵之事,gu'wei'bing'zhi'shi
故为之金鼓,gu'wei'zhi'jin'gu
故为之旌旗,gu'wei'zhi'jing'qi
故我欲战,gu'wo'yu'zhan
故五行无常胜,gu'wu'xing'wu'chang'sheng
故乡间,gu'xiang'jian
故小敌之坚,gu'xiao'di'zhi'jian
故校之以计,gu'xiao'zhi'yi'ji
故形兵之极,gu'xing'bing'zhi'ji
故形人而我无形,gu'xing'ren'er'wo'wu'xing
故夜战多金鼓,gu'ye'zhan'duo'jin'gu
故以火佐攻者明,gu'yi'huo'zuo'gong'zhe'ming
故用兵之法,gu'yong'bing'zhi'fa
故用间有五,gu'yong'jian'you'wu
故迂其途,gu'yu'qi'tu
故曰,gu'yue
故曰明主虑之,gu'yue'ming'zhu'lv'zhi
故曰胜可知,gu'yue'sheng'ke'zhi
故曰知彼知己,gu'yue'zhi'bi'zhi'ji
故战道必胜,gu'zhan'dao'bi'sheng
故知兵者,gu'zhi'bing'zhe
故知兵之将,gu'zhi'bing'zhi'jiang
故智将务,gu'zhi'jiang'wu
古之善用兵者,gu'zhi'shan'yong'bing'zhe
故知胜有五,gu'zhi'sheng'you'wu
古之所谓,gu'zhi'suo'wei
故知战之地,gu'zhi'zhan'zhi'di
挂形者,gua'xing'zhe
寡者,gua'zhe
挂者,gua'zhe
乖其所之也,guai'qi'suo'zhi'ye
广狭,guang'xia
诡道也,gui'dao'ye
贵贱不相救,gui'jian'bu'xiang'jiu
贵卖,gui'mai
归师勿遏,gui'shi'wu'e
贵阳而贱阴,gui'yang'er'jian'yin
国家安危之主也,guo'jia'an'wei'zhi'zhu'ye
国用不足,guo'yong'bu'zu
过则从,guo'ze'cong
国之宝也,guo'zhi'bao'ye
国之大事,guo'zhi'da'shi
国之辅也,guo'zhi'fu'ye
国之贫于师者远输,guo'zhi'pin'yu'shi'zhe'yuan'shu
害之也,hai'zhi'ye
好高而恶下,hao'gao'er'wu'xia
合军聚合,he'jun'ju'he
合军聚众,he'jun'ju'zhong
合于利而动,he'yu'li'er'dong
合之以文,he'zhi'yi'wen
后不能救前,hou'bu'neng'jiu'qian
后处战地而趋战者劳,hou'chu'zhan'di'er'qu'zhan'zhe'lao
厚而不能使,hou'er'bu'neng'shi
后人发,hou'ren'fa
后如脱兔,hou'ru'tuo'tu
候之而知动静之,hou'zhi'er'zhi'dong'jing'zhi
黄帝之所以胜四帝也,huang'di'zhi'suo'yi'sheng'si'di'ye
潢井,huang'jing
毁人之国,hui'ren'zhi'guo
浑浑沌沌,hun'hun'dun'dun
火发而其兵静者,huo'fa'er'qi'bing'jing'zhe
火发上风,huo'fa'shang'feng
火发于内,huo'fa'yu'nei
火攻第十二,huo'gong'di'shi'er
火可发于外,huo'ke'fa'yu'wai
货也,huo'ye
惑矣,huo'yi
箕壁翼轸,ji'bi'yi'zhen
戟楯蔽橹,ji'dun'bi'lu
戟盾矛橹,ji'dun'mao'lu
汲而先饮者,ji'er'xian'yin'zhe
既惑且疑,ji'huo'qie'yi
计利以听,ji'li'yi'ting
击其惰归,ji'qi'duo'gui
极其火力,ji'qi'huo'li
击其首则尾至,ji'qi'shou'ze'wei'zhi
击其尾则首至,ji'qi'wei'ze'shou'zhi
击其中则首尾俱至,ji'qi'zhong'ze'shou'wei'ju'zhi
激水之疾,ji'shui'zhi'ji
计险隘远近,ji'xian'ai'yuan'jin
饥也,ji'ye
疾战则存,ji'zhan'ze'cun
葭苇,jia'wei
葭苇山林蘙荟者,jia'wei'shan'lin'yi'hui'zhe
甲胄矢弓,jia'zhou'shi'gong
蒹葭,jian'jia
蒹葭小林蘙荟者,jian'jia'xiao'lin'yi'hui'zhe
见利而不进者,jian'li'er'bu'jin'zhe
践墨随敌,jian'mo'sui'di
见日月不为明目,jian'ri'yue'bu'wei'ming'mu
见胜,jian'sheng
间事未而先闻者,jian'shi'wei'er'xian'wen'zhe
间与所告者兼死,jian'yu'suo'gao'zhe'jian'si
将不可以愠而攻战,jiang'bu'ke'yi'yun'er'gong'zhan
将不能料敌,jiang'bu'neng'liao'di
将不胜其忿,jiang'bu'sheng'qi'fen
将不听吾计,jiang'bu'ting'wu'ji
将不通九变之利,jiang'bu'tong'jiu'bian'zhi'li
将不知其能,jiang'bu'zhi'qi'neng
将不重也,jiang'bu'zhong'ye
将军可夺心,jiang'jun'ke'duo'xin
将军之事,jiang'jun'zhi'shi
将莫不闻,jiang'mo'bu'wen
将能而君不御,jiang'neng'er'jun'bu'yu
将能而君不御者胜,jiang'neng'er'jun'bu'yu'zhe'sheng
将弱不严,jiang'ruo'bu'yan
将受命于君,jiang'shou'ming'yu'jun
将孰有能,jiang'shu'you'neng
将听吾计,jiang'ting'wu'ji
将者,jiang'zhe
将之过也,jiang'zhi'guo'ye
将之至任,jiang'zhi'zhi'ren
教道不明,jiao'dao'bu'ming
交地吾将固其结,jiao'di'wu'jiang'gu'qi'jie
交地吾将谨其守,jiao'di'wu'jiang'jin'qi'shou
交地则无绝,jiao'di'ze'wu'jue
交和而舍,jiao'he'er'she
胶漆之材,jiao'qi'zhi'cai
角之而知有余不足之处,jiao'zhi'er'zhi'you'yu'bu'zu'zhi'chu
节如发机,jie'ru'fa'ji
节也,jie'ye
进不求名,jin'bu'qiu'ming
进而不可御者,jin'er'bu'ke'yu'zhe
近而示之远,jin'er'shi'zhi'yuan
近师者贵卖,jin'shi'zhe'gui'mai
禁祥去疑,jin'xiang'qu'yi
谨养而勿劳,jin'yang'er'wu'lao
进也,jin'ye
近者数里乎,jin'zhe'shu'li'hu
劲者先,jin'zhe'xian
旌旗动者,jing'qi'dong'zhe
旌旗者,jing'qi'zhe
静以幽,jing'yi'you
窘也,jiong'ye
久暴师,jiu'bao'shi
九变,jiu'bian
九变第八,jiu'bian'di'ba
九地,jiu'di
九地第十一,jiu'di'di'shi'yi
九地之变,jiu'di'zhi'bian
久而不合,jiu'er'bu'he
久则钝兵挫锐,jiu'ze'dun'bing'cuo'rui
举而不穷,ju'er'bu'qiong
举军而争利,ju'jun'er'zheng'li
具器械,ju'qi'xie
举秋毫不为多力,ju'qiu'hao'bu'wei'duo'li
聚三军之众,ju'san'jun'zhi'zhong
距堙,ju'yin
距闉,ju'yin
沮泽,ju'ze
倦也,juan'ye
绝斥泽,jue'chi'ze
绝地无留,jue'di'wu'liu
绝地也,jue'di'ye
绝涧,jue'jian
绝山依谷,jue'shan'yi'gu
绝水必远水,jue'shui'bi'yuan'shui
君命有所不受,jun'ming'you'suo'bu'shou
军旁有险阻潢井,jun'pang'you'xian'zu'huang'jing
军旁有险阻潢井葭苇,jun'pang'you'xian'zu'huang'jing'jia'wei
军旁有险阻潢井蒹葭,jun'pang'you'xian'zu'huang'jing'jian'jia
军扰者,jun'rao'zhe
军食可足,jun'shi'ke'zu
军无百疾,jun'wu'bai'ji
军无粮也,jun'wu'liang'ye
军无悬缶,jun'wu'xuan'fou
军无悬缻,jun'wu'xuan'fou
军无辎重则亡,jun'wu'zi'zhong'ze'wang
军形第四,jun'xing'di'si
军有所不击,jun'you'suo'bu'ji
军争,jun'zheng
军争第七,jun'zheng'di'qi
军争为利,jun'zheng'wei'li
军争为危,jun'zheng'wei'wei
军政曰,jun'zheng'yue
军争之难者,jun'zheng'zhi'nan'zhe
可从而从之,ke'cong'er'cong'zhi
客绝水而来,ke'jue'shui'er'lai
可胜在敌,ke'sheng'zai'di
可胜者,ke'sheng'zhe
可使必受敌而,ke'shi'bi'shou'di'er
可使告敌,ke'shi'gao'di
可使无斗,ke'shi'wu'dou
渴也,ke'ye
可以往,ke'yi'wang
可与之生,ke'yu'zhi'sheng
可与之死,ke'yu'zhi'si
恐也,kong'ye
困也,kun'ye
廓地分利,kuo'di'fen'li
来委谢者,lai'wei'xie'zhe
来也,lai'ye
劳也,lao'ye
利而诱之,li'er'you'zhi
利可全,li'ke'quan
利粮道,li'liang'dao
栗马肉食,li'ma'rou'shi
栗马肉食者,li'ma'rou'shi'zhe
吏怒者,li'nu'zhe
吏强卒弱,li'qiang'zu'ruo
力屈中原,li'qu'zhong'yuan
利也,li'ye
立于不败之地,li'yu'bu'bai'zhi'di
厉于廊庙之上,li'yu'lang'miao'zhi'shang
利之也,li'zhi'ye
吏卒无常,li'zu'wu'chang
廉洁可辱,lian'jie'ke'ru
粮不三载,liang'bu'san'zai
良将惰之,liang'jiang'duo'zhi
良将警之,liang'jiang'jing'zhi
量生数,liang'sheng'shu
料敌,liao'di
料敌取人而已,liao'di'qu'ren'er'yi
料敌制胜,liao'di'zhi'sheng
令半渡而击之利,ling'ban'du'er'ji'zhi'li
令敌半出而击之利,ling'di'ban'chu'er'ji'zhi'li
令发之日,ling'fa'zhi'ri
令民于上同意,ling'min'yu'shang'tong'yi
令素不行以教其民,ling'su'bu'xing'yi'jiao'qi'min
令素行以教其民,ling'su'xing'yi'jiao'qi'min
令素行者,ling'su'xing'zhe
