阿缟之衣,a'gao'zhi'yi
公问其故,gong'wen'qi'gu
公与之乘,gong'yu'zhi'cheng
公曰,gong'yue
故不敢为辞说,gu'bu'gan'wei'ci'shuo
故察能而授官者,gu'cha'neng'er'shou'guan'zhe
故沉子胥而弗悔,gu'chen'zi'xu'er'fu'hui
故称于后世,gu'cheng'yu'hou'shi
故鼎反乎历室,gu'ding'fan'hu'li'shi
故遁逃奔赵,gu'dun'tao'ben'zhao
顾反命,gu'fan'ming
故敢以书报,gu'gan'yi'shu'bao
故敢以书对,gu'gan'yi'shu'dui
故假节于魏王,gu'jia'jie'yu'wei'wang
故克之,gu'ke'zhi
故裂地而封之,gu'lie'di'er'feng'zhi
故能成其大,gu'neng'cheng'qi'da
故能就其深,gu'neng'jiu'qi'shen
故能明其德,gu'neng'ming'qi'de
骨肉之亲也,gu'rou'zhi'qin'ye
故入江而不改,gu'ru'jiang'er'bu'gai
故受命而不辞,gu'shou'ming'er'bu'ci
故受命而弗辞,gu'shou'ming'er'fu'ci
故吴王夫差不悟先论之可以立功,gu'wu'wang'fu'chai'bu'wu'xian'lun'zhi'ke'yi'li'gong
故以为其爱不若燕后,gu'yi'wei'qi'ai'bu'ruo'yan'hou
故愿望见太后,gu'yuan'wang'jian'tai'hou
故召将军,gu'zhao'jiang'jun
古之君子交绝不出恶声,gu'zhi'jun'zi'jiao'jue'bu'chu'e'sheng
故著于春秋,gu'zhu'yu'chun'qiu
故逐之,gu'zhu'zhi
寡人岂敢一日而忘将军之功哉,gua'ren'qi'gan'yi'ri'er'wang'jiang'jun'zhi'gong'zai
寡人新即位,gua'ren'xin'ji'wei
寡人之使骑劫代将军,gua'ren'zhi'shi'qi'jie'dai'jiang'jun
鬼神降福,gui'shen'jiang'fu
刿曰,gui'yue
国大者人众,guo'da'zhe'ren'zhong
国以富强,guo'yi'fu'qiang
裹足不入秦,guo'zu'bu'ru'qin
河北之地,he'bei'zhi'di
河海不择细流,he'hai'bu'ze'xi'liu
何也,he'ye
何以战,he'yi'zhan
和于身,he'yu'shen
淮北,huai'bei
惠王即位,hui'wang'ji'wei
惠王用张仪之计,hui'wang'yong'zhang'yi'zhi'ji
会先王弃群臣,hui'xian'wang'qi'qun'chen
获楚魏之师,huo'chu'wei'zhi'shi
货殖列传序,huo'zhi'lie'zhuan'xu
既克,ji'ke
蓟丘之植,ji'qiu'zhi'zhi
济上之军奉令击齐,ji'shang'zhi'jun'feng'ling'ji'qi
祭祀必祝之,ji'si'bi'zhu'zhi
及至弃群臣之日,ji'zhi'qi'qun'chen'zhi'ri
佳冶窈窕,jia'ye'yao'tiao
建翠凤之旗,jian'cui'feng'zhi'qi
将军过听,jiang'jun'guo'ting
将军为燕破齐,jiang'jun'wei'yan'po'qi
将军自为计则可矣,jiang'jun'zi'wei'ji'ze'ke'yi
江南金锡不为用,jiang'nan'jin'xi'bu'wei'yong
皆可以教于后世,jie'ke'yi'jiao'yu'hou'shi
借寇兵而赍盗粮,jie'kou'bing'er'ji'dao'liang
皆以客之功,jie'yi'ke'zhi'gong
今媪尊长安君之位,jin'ao'zun'chang'an'jun'zhi'wei
今陛下致昆山之玉,jin'bi'xia'zhi'kun'shan'zhi'yu
尽郡县之以属燕,jin'jun'xian'zhi'yi'shu'yan
尽力,jin'li
今乃弃黔首以资敌国,jin'nai'qi'qian'shou'yi'zi'di'guo
今弃击瓮叩缶而就郑卫,jin'qi'ji'weng'kou'fou'er'jiu'zheng'wei
今取人则不然,jin'qu'ren'ze'bu'ran
今三世以前,jin'san'shi'yi'qian
尽收入燕,jin'shou'ru'yan
今王使使者数之罪,jin'wang'shi'shi'zhe'shu'zhi'zui
锦绣之饰不进于前,jin'xiu'zhi'shi'bu'jin'yu'qian
仅以身免,jin'yi'shen'mian
今逐客以资敌国,jin'zhu'ke'yi'zi'di'guo
敬诺,jing'nuo
举地千里,ju'di'qian'li
具符节,ju'fu'jie
举天下而图之,ju'tian'xia'er'tu'zhi
惧有伏焉,ju'you'fu'yan
惧赵用乐毅乘燕之弊以伐燕,ju'zhao'yong'yue'yi'cheng'yan'zhi'bi'yi'fa'yan
君过矣,jun'guo'yi
可宝者多,ke'bao'zhe'duo
客何负于秦哉,ke'he'fu'yu'qin'zai
可矣,ke'yi
可以幸无罪矣,ke'yi'xing'wu'zui'yi
可以一战,ke'yi'yi'zhan
恐抵斧质之罪,kong'di'fu'zhi'zhi'zui
恐侍御者之亲左右之说,kong'shi'yu'zhe'zhi'qin'zuo'you'zhi'shuo
快意当前,kuai'yi'dang'qian
来邳豹公孙支于晋,lai'pi'bao'gong'sun'zhi'yu'jin
老臣病足,lao'chen'bing'zu
老臣贱息舒祺,lao'chen'jian'xi'shu'qi
老臣今者殊不欲食,lao'chen'jin'zhe'shu'bu'yu'shi
老臣窃以为,lao'chen'qie'yi'wei
老臣以媪为长安君计短也,lao'chen'yi'ao'wei'chang'an'jun'ji'duan'ye
老妇必唾其面,lao'fu'bi'tuo'qi'mian
老妇不能,lao'fu'bu'neng
老妇不闻也,lao'fu'bu'wen'ye
老妇恃辇而行,lao'fu'shi'nian'er'xing
离毁辱之非,li'hui'ru'zhi'fei
立名之士,li'ming'zhi'shi
临不测之罪,lin'bu'ce'zhi'zui
论行而结交者,lun'xing'er'jie'jiao'zhe
论战,lun'zhan
没死以闻,mei'si'yi'wen
民无异国,min'wu'yi'guo
民以殷盛,min'yi'yin'sheng
名成而不毁,ming'cheng'er'bu'hui
莫径于结赵矣,mo'jing'yu'jie'zhao'yi
乃入见,nai'ru'jian
乃自强步,nai'zi'qiang'bu
难测也,nan'ce'ye
南取汉中,nan'qu'han'zhong
南使臣于赵,nan'shi'chen'yu'zhao
内自虚而外树怨于诸侯,nei'zi'xu'er'wai'shu'yuan'yu'zhu'hou
能当者处之,neng'dang'zhe'chu'zhi
念悲其远也,nian'bei'qi'yuan'ye
年几何矣,nian'ji'he'yi
齐兵乃出,qi'bing'nai'chu
起兵随而攻齐,qi'bing'sui'er'gong'qi
岂非计久长,qi'fei'ji'jiu'chang
其继有在者乎,qi'ji'you'zai'zhe'hu
齐可大破,qi'ke'da'po
齐器设于宁台,qi'qi'she'yu'ning'tai
齐人三鼓,qi'ren'san'gu
岂人主之子孙则必不善哉,qi'ren'zhu'zhi'zi'sun'ze'bi'bu'shan'zai
齐师败绩,qi'shi'bai'ji
齐师伐我,qi'shi'fa'wo
齐田单诈骑劫,qi'tian'dan'zha'qi'jie
齐王逃遁走莒,qi'wang'tao'dun'zou'ju
其乡人曰,qi'xiang'ren'yue
齐曰,qi'yue
强公室,qiang'gong'shi
窃爱怜之,qie'ai'lian'zhi
且谢之曰,qie'xie'zhi'yue
且休计事,qie'xiu'ji'shi
窃以为过矣,qie'yi'wei'guo'yi
且又,qie'you
窃自恕,qie'zi'shu
秦不生一焉,qin'bu'sheng'yi'yan
秦急攻之,qin'ji'gong'zhi
轻卒锐兵,qing'zu'rui'bing
求国无危,qiu'guo'wu'wei
却宾客以业诸侯,que'bin'ke'yi'ye'zhu'hou
然则是所重者在乎色乐珠玉,ran'ze'shi'suo'zhong'zhe'zai'hu'se'le'zhu'yu
人主之子也,ren'zhu'zhi'zi'ye
日三四里,ri'san'si'li
日食饮得无衰乎,ri'shi'yin'de'wu'shuai'hu
肉食者鄙未能远谋,rou'shi'zhe'bi'wei'neng'yuan'mou
肉食者谋之又何间焉,rou'shi'zhe'mou'zhi'you'he'jian'yan
入而徐趋,ru'er'xu'qu
若是者何也,ruo'shi'zhe'he'ye
若先王之报怨雪耻,ruo'xian'wang'zhi'bao'yuan'xue'chi
三城未下,san'cheng'wei'xia
桑间,sang'jian
善始者不必善终,shan'shi'zhe'bu'bi'shan'zhong
善作者不必善成,shan'zuo'zhe'bu'bi'shan'cheng
少益耆食,shao'yi'qi'shi
韶虞武象,shao'yu'wu'xiang
甚于妇人,shen'yu'fu'ren
士不产于秦,shi'bu'chan'yu'qin
适观而已矣,shi'guan'er'yi'yi
施及萌隶,shi'ji'meng'li
十年春,shi'nian'chun
使秦成帝业,shi'qin'cheng'di'ye
是使国无富利之实,shi'shi'guo'wu'fu'li'zhi'shi
使天下之士退而不敢西向,shi'tian'xia'zhi'shi'tui'er'bu'gan'xi'xiang
十五岁矣,shi'wu'sui'yi
是以地无四方,shi'yi'di'wu'si'fang
是以泰山不让土壤,shi'yi'tai'shan'bu'rang'tu'rang
使之得比乎小国诸侯,shi'zhi'de'bi'hu'xiao'guo'zhu'hou
使之西面事秦,shi'zhi'xi'mian'shi'qin
恃粥耳,shi'zhou'er
收八百岁之蓄积,shou'ba'bai'sui'zhi'xu'ji
树灵鼍之鼓,shu'ling'tuo'zhi'gu
疏士而不用,shu'shi'er'bu'yong
顺庶孽者,shun'shu'nie'zhe
说耳目者,shuo'er'mu'zhe
四国攻之,si'guo'gong'zhi
四时充美,si'shi'chong'mei
宋地,song'di
遂霸西戎,sui'ba'xi'rong
遂捐燕而归赵,sui'juan'yan'er'gui'zhao
遂散六国之众,sui'san'liu'guo'zhi'zhong
虽少,sui'shao
随先王举而有之于济上,sui'xian'wang'ju'er'you'zhi'yu'ji'shang
遂逐齐师,sui'zhu'qi'shi
损民以益雠,sun'min'yi'yi'chou
所以能循法令,suo'yi'neng'xun'fa'ling
所以饰后宫,suo'yi'shi'hou'gong
太后不肯,tai'hou'bu'ken
太后明谓左右,tai'hou'ming'wei'zuo'you
太后盛气而揖之,tai'hou'sheng'qi'er'yi'zhi
太后笑曰,tai'hou'xiao'yue
太后曰,tai'hou'yue
太后之色少解,tai'hou'zhi'se'shao'jie
太史公牛马走司马迁,tai'shi'gong'niu'ma'zou'si'ma'qian
天下莫不振动,tian'xia'mo'bu'zhen'dong
退弹筝而取昭虞,tui'tan'zheng'er'qu'zhao'yu
望其旗靡,wang'qi'qi'mi
王若欲伐之,wang'ruo'yu'fa'zhi
王者不却众庶,wang'zhe'bu'que'zhong'shu
望诸君乃使人献书报燕王曰,wang'zhu'jun'nai'shi'ren'xian'shu'bao'yan'wang'yue
微独赵,wei'du'zhao
为将军久暴露于外,wei'jiang'jun'jiu'bao'lu'yu'wai
唯君之留意焉,wei'jun'zhi'liu'yi'yan
未可,wei'ke
为客者逐,wei'ke'zhe'zhu
为燕昭王合五国之兵而攻齐,wei'yan'zhao'wang'he'wu'guo'zhi'bing'er'gong'qi
为之泣,wei'zhi'qi
位尊而无功,wei'zun'er'wu'gong
我有积怨深怒于齐,wo'you'ji'yuan'shen'nu'yu'qi
无劳之奉,wu'lao'zhi'feng
吾视其辙乱,wu'shi'qi'zhe'luan
吴王远迹至于郢,wu'wang'yuan'ji'zhi'yu'ying
无有,wu'you
伍子胥说听乎阖闾,wu'zi'xu'shuo'ting'hu'he'lv
西并巴,xi'bing'ba
昔穆公求士,xi'mu'gong'qiu'shi
西取由余于戎,xi'qu'you'yu'yu'rong
牺牲玉帛弗敢加也必以信,xi'sheng'yu'bo'fu'gan'jia'ye'bi'yi'xin
西蜀丹青不为采,xi'shu'dan'qing'bu'wei'cai
犀象之器,xi'xiang'zhi'qi
习于战攻,xi'yu'zhan'gong
昔者,xi'zhe
下七十馀城,xia'qi'shi'yu'cheng
下视其辙,xia'shi'qi'zhe
贤圣之君不以禄私其亲,xian'sheng'zhi'jun'bu'yi'lu'si'qi'qin
先王过举,xian'wang'guo'ju
先王举国而委将军,xian'wang'ju'guo'er'wei'jiang'jun
先王命之曰,xian'wang'ming'zhi'yue
先王以为顺于其志,xian'wang'yi'wei'shun'yu'qi'zhi
先王曰善,xian'wang'yue'shan
先王之举错,xian'wang'zhi'ju'cuo
先王之灵,xian'wang'zhi'ling
闲于甲兵,xian'yu'jia'bing
向使四君却客而不内,xiang'shi'si'jun'que'ke'er'bu'nei
小大之狱虽不能察必以情,xiao'da'zhi'yu'sui'bu'neng'cha'bi'yi'qing
孝公用商鞅之法,xiao'gong'yong'shang'yang'zhi'fa
小惠未徧民弗从也,xiao'hui'wei'bian'min'fu'cong'ye
小信未孚神弗福也,xiao'xin'wei'fu'shen'fu'fu'ye
燕王悔,yan'wang'hui
燕王乃使人让乐毅,yan'wang'nai'shi'ren'rang'yue'yi
亦哀之矣,yi'ai'zhi'yi
以臣为不顿命,yi'chen'wei'bu'dun'ming
移风易俗,yi'feng'yi'su
一鼓作气再而衰三而竭,yi'gu'zuo'qi'zai'er'shuai'san'er'jie
异国之乐也,yi'guo'zhi'le'ye
遗令诏后嗣之馀义,yi'ling'zhao'hou'si'zhi'yu'yi
以明先王之迹者,yi'ming'xian'wang'zhi'ji'zhe
以伤先王之明,yi'shang'xian'wang'zhi'ming
衣食所安弗敢专也必以分人,yi'shi'suo'an'fu'gan'zhuan'ye'bi'yi'fen'ren
已守金玉之重也,yi'shou'jin'yu'zhi'zhong'ye
以顺左右之心,yi'shun'zuo'you'zhi'xin
以天之道,yi'tian'zhi'dao
夷万乘之强国,yi'wan'sheng'zhi'qiang'guo
以卫王宫,yi'wei'wang'gong
已行,yi'xing
以幸为利者,yi'xing'wei'li'zhe
以与寡人有隙,yi'yu'gua'ren'you'xi
疑乐毅,yi'yue'yi
义之所不敢出也,yi'zhi'suo'bu'gan'chu'ye
迎蹇叔于宋,ying'jian'shu'yu'song
用齐人反间,yong'qi'ren'fan'jian
犹不能恃无功之尊,you'bu'neng'shi'wu'gong'zhi'zun
由此观之,you'ci'guan'zhi
有复言令长安君为质者,you'fu'yan'ling'chang'an'jun'wei'zhi'zhe
有高世之心,you'gao'shi'zhi'xin
有随和之宝,you'sui'he'zhi'bao
有子孙相继为王也哉,you'zi'sun'xiang'ji'wei'wang'ye'zai
于是为长安君约车百乘,yu'shi'wei'chang'an'jun'yue'che'bai'sheng
娱心意,yu'xin'yi
愿及未填沟壑而托之,yuan'ji'wei'tian'gou'he'er'tuo'zhi
愿令得补黑衣之数,yuan'ling'de'bu'hei'yi'zhi'shu
远者及其子孙,yuan'zhe'ji'qi'zi'sun
乐毅奔赵,yue'yi'ben'zhao
再拜言,zai'bai'yan
蚤知之士,zao'zhi'zhi'shi
则必举天下而图之,ze'bi'ju'tian'xia'er'tu'zhi
则是宛珠之簪,ze'shi'wan'zhu'zhi'zan
则是夜光之璧,ze'shi'ye'guang'zhi'bi
战于长勺,zhan'yu'chang'shao
战则请从,zhan'ze'qing'cong
丈夫亦爱怜其少子乎,zhang'fu'yi'ai'lian'qi'shao'zi'hu
赵封以为望诸君,zhao'feng'yi'wei'wang'zhu'jun
赵女不立于侧也,zhao'nv'bu'li'yu'ce'ye
赵若许约,zhao'ruo'xu'yue
赵氏求救于齐,zhao'shi'qiu'jiu'yu'qi
赵太后新用事,zhao'tai'hou'xin'yong'shi
昭王得范雎,zhao'wang'de'fan'ju
赵王之子孙侯者,zhao'wang'zhi'zi'sun'hou'zhe
者也,zhe'ye
真秦之声也,zhen'qin'zhi'sheng'ye
郑卫,zheng'wei
郑卫之女不充后宫,zheng'wei'zhi'nv'bu'chong'hou'gong
至而自谢,zhi'er'zi'xie
至今治强,zhi'jin'zhi'qiang
制鄢,zhi'yan
质于齐,zhi'yu'qi
植于汶篁,zhi'yu'wen'huang
至于赵之为赵,zhi'yu'zhao'zhi'wei'zhao
执政任事之臣,zhi'zheng'ren'shi'zhi'chen
制诸侯之术也,zhi'zhu'hou'zhi'shu'ye
忠臣之去也不洁其名,zhong'chen'zhi'qu'ye'bu'jie'qi'ming
忠之属也,zhong'zhi'shu'ye
诸侯亲服,zhu'hou'qin'fu
诸侯有在者乎,zhu'hou'you'zai'zhe'hu
逐华阳,zhu'hua'yang
珠玉财宝,zhu'yu'cai'bao
祝曰,zhu'yue
擢之乎宾客之中,zhuo'zhi'hu'bin'ke'zhi'zhong
自负以不肖之罪,zi'fu'yi'bu'xiao'zhi'zui
恣君之所使之,zi'jun'zhi'suo'shi'zhi
自五伯以来,zi'wu'bo'yi'lai
子胥不蚤见主之不同量,zi'xu'bu'zao'jian'zhu'zhi'bu'tong'liang
自以为奉令承教,zi'yi'wei'feng'ling'cheng'jiao
子义闻之曰,zi'yi'wen'zhi'yue
卒败燕军,zu'bai'yan'jun
最少,zui'shao
左师触龙言愿见太后,zuo'shi'chu'long'yan'yuan'jian'tai'hou
左师公曰,zuo'shi'gong'yue
左右误寡人,zuo'you'wu'gua'ren
