半封建半殖民地经济,ban'feng'jian'ban'zhi'min'di'jing'ji
生产方式,sheng'chan'fang'shi
生产关系,sheng'chan'guan'xi
生产关系一定要适合生产力性质的规律,sheng'chan'guan'xi'yi'ding'yao'shi'he'sheng'chan'li'xing'zhi'de'gui'lv
生产劳动,sheng'chan'lao'dong
生产力,sheng'chan'li
生产力标准,sheng'chan'li'biao'zhun
生产资料生产优先增长规律,sheng'chan'zi'liao'sheng'chan'you'xian'zeng'zhang'gui'lv
示范效应,shi'fan'xiao'ying
时间节约原则,shi'jian'jie'yue'yuan'ze
使用价值,shi'yong'jia'zhi
熟练劳动,shu'lian'lao'dong
私人劳动,si'ren'lao'dong
特有经济规律,te'you'jing'ji'gui'lv
托拉斯,tuo'la'si
外生变量,wai'sheng'bian'liang
完全竞争,wan'quan'jing'zheng
完全垄断,wan'quan'long'duan
微观经济,wei'guan'jing'ji
物物交换,wu'wu'jiao'huan
物质技术基础,wu'zhi'ji'shu'ji'chu
物质利益原则,wu'zhi'li'yi'yuan'ze
吸纳机制,xi'na'ji'zhi
现代化,xian'dai'hua
相对价值形态,xiang'dui'jia'zhi'xing'tai
效用,xiao'yong
协作,xie'zuo
辛迪加,xin'di'jia
新价值,xin'jia'zhi
序数效用,xu'shu'xiao'yong
有计划按比例发展规律,you'ji'hua'an'bi'li'fa'zhan'gui'lv
有计划商品经济,you'ji'hua'shang'pin'jing'ji
中观经济,zhong'guan'jing'ji
资本,zi'ben
资本产出比率,zi'ben'chan'chu'bi'lv
资本劳动比率,zi'ben'lao'dong'bi'lv
资本原始积累,zi'ben'yuan'shi'ji'lei
资本主义基本矛盾,zi'ben'zhu'yi'ji'ben'mao'dun
资本主义人口规律,zi'ben'zhu'yi'ren'kou'gui'lv
资金,zi'jin
自然经济,zi'ran'jing'ji
自由竞争,zi'you'jing'zheng
自由资本主义,zi'you'zi'ben'zhu'yi
总供给,zong'gong'ji
总需求,zong'xu'qiu
总需求与总供给平衡法,zong'xu'qiu'yu'zong'gong'ji'ping'heng'fa
总注入与总漏出平衡法,zong'zhu'ru'yu'zong'lou'chu'ping'heng'fa
最大利润原则,zui'da'li'run'yuan'ze
