阿伐他汀,a'fa'ta'ting
华法林苄酮香豆素钠,hua'fa'lin'bian'tong'xiang'dou'su'na
化痰药,hua'tan'yao
环苯扎珠,huan'ben'zha'zhu
环丙沙星丙氟哌全复康,huan'bing'sha'xing'bing'fu'pai'quan'fu'kang
环磷酰氮芥,huan'lin'xian'dan'jie
换药,huan'yao
患者抓药,huan'zhe'zhua'yao
磺胺醋酰,huang'an'cu'xian
磺胺醋酰钠,huang'an'cu'xian'na
磺胺二甲嘧啶,huang'an'er'jia'mi'ding
磺胺类及呋喃类药,huang'an'lei'ji'fu'nan'lei'yao
磺胺嘧啶,huang'an'mi'ding
黄连素,huang'lian'su
黄体酮,huang'ti'tong
灰黄霉素,hui'huang'mei'su
吉非贝齐吉非洛齐,ji'fei'bei'qi'ji'fei'luo'qi
激素,ji'su
甲氨蝶呤,jia'an'die'ling
甲胺呋硫,jia'an'fu'liu
加巴喷丁,jia'ba'pen'ding
甲丙氨酯眠尔通,jia'bing'an'zhi'mian'er'tong
甲地孕酮,jia'di'yun'tong
甲磺丁脲甲糖宁,jia'huang'ding'niao'jia'tang'ning
甲基多巴,jia'ji'duo'ba
甲基睾丸素,jia'ji'gao'wan'su
甲基氢化泼尼松,jia'ji'qing'hua'po'ni'song
假麻黄碱右旋麻黄碱,jia'ma'huang'jian'you'xuan'ma'huang'jian
甲羟孕酮安宫黄体酮,jia'qiang'yun'tong'an'gong'huang'ti'tong
甲巯咪唑他巴唑,jia'qiu'mi'zuo'ta'ba'zuo
甲酰四氢叶酸钙甲叶钙,jia'xian'si'qing'ye'suan'gai'jia'ye'gai
甲氧萘丙酸,jia'yang'nai'bing'suan
甲氧乙心安美多心安,jia'yang'yi'xin'an'mei'duo'xin'an
甲状腺甲状腺剂,jia'zhuang'xian'jia'zhuang'xian'ji
甲紫紫药水,jia'zi'zi'yao'shui
煎药,jian'yao
降血钙素,jiang'xue'gai'su
降压灵,jiang'ya'ling
酵母片,jiao'mu'pian
结合型雌激素,jie'he'xing'ci'ji'su
解热镇痛药,jie're'zhen'tong'yao
金刚烷胺金刚胺,jin'gang'wan'an'jin'gang'an
精蛋白锌胰岛素长效,jing'dan'bai'xin'yi'dao'su'chang'xiao
静脉输液,jing'mai'shu'ye
枸橼酸铁胺柠檬酸铁胺,ju'yuan'suan'tie'an'ning'meng'suan'tie'an
枸橼酸西地那非,ju'yuan'suan'xi'di'na'fei
卡介苗,ka'jie'miao
卡立普多肌安宁,ka'li'pu'duo'ji'an'ning
卡那霉素,ka'na'mei'su
卡维地洛卡维洛尔,ka'wei'di'luo'ka'wei'luo'er
开博通卡托普利,kai'bo'tong'ka'tuo'pu'li
坎地沙坦,kan'di'sha'tan
抗癌药,kang'ai'yao
抗风湿灵氯灭酸,kang'feng'shi'ling'lv'mie'suan
抗高血压药,kang'gao'xue'ya'yao
抗过敏药,kang'guo'min'yao
抗结核药,kang'jie'he'yao
抗贫血药,kang'pin'xue'yao
抗生素,kang'sheng'su
抗真菌及抗病毒药,kang'zhen'jun'ji'kang'bing'du'yao
咳必清,ke'bi'qing
可待因甲基吗啡,ke'dai'yin'jia'ji'ma'fei
可的松,ke'di'song
克拉维酸钾棒酸钾,ke'la'wei'suan'jia'bang'suan'jia
克拉仙霉素甲基红霉素,ke'la'xian'mei'su'jia'ji'hong'mei'su
克罗米芬,ke'luo'mi'fen
克霉唑,ke'mei'zuo
克霉唑三苯甲咪唑,ke'mei'zuo'san'ben'jia'mi'zuo
咳平,ke'ping
口服避孕药,kou'fu'bi'yun'yao
喹硫平,kui'liu'ping
喹那普利,kui'na'pu'li
奎尼丁,kui'ni'ding
拉坦前列素,la'tan'qian'lie'su
赖诺普利苯丁酸赖脯酸,lai'nuo'pu'li'ben'ding'suan'lai'pu'suan
赖脯胰岛素,lai'pu'yi'dao'su
劳拉西泮氯羟去甲安定,lao'la'xi'pan'lv'qiang'qu'jia'an'ding
雷贝拉唑,lei'bei'la'zuo
雷洛昔芬,lei'luo'xi'fen
雷米普利,lei'mi'pu'li
雷尼替丁,lei'ni'ti'ding
利多卡因,li'duo'ka'yin
利福平,li'fu'ping
利眠宁,li'mian'ning
利哌利酮利哌酮,li'pai'li'tong'li'pai'tong
利塞膦酸盐二膦酸盐,li'sai'lin'suan'yan'er'lin'suan'yan
利血平,li'xue'ping
链霉素,lian'mei'su
良药,liang'yao
林格溶液复方氯化钠溶液,lin'ge'rong'ye'fu'fang'lv'hua'na'rong'ye
磷诺普利福辛普利,lin'nuo'pu'li'fu'xin'pu'li
磷酸可待因,lin'suan'ke'dai'yin
硫喷妥钠,liu'pen'tuo'na
硫酸镁,liu'suan'mei
硫酸亚铁硫酸低铁,liu'suan'ya'tie'liu'suan'di'tie
硫唑嘌呤,liu'zuo'piao'ling
卢戈尔液,lu'ge'er'ye
罗非考昔,luo'fei'kao'xi
螺旋内酯固醇安体舒通,luo'xuan'nei'zhi'gu'chun'an'ti'shu'tong
氯苯甲嗪美克洛嗪,lv'ben'jia'qin'mei'ke'luo'qin
氯吡格雷,lv'bi'ge'lei
氯丙嗪冬眠药,lv'bing'qin'dong'mian'yao
氯化钴,lv'hua'gu
氯化钾,lv'hua'jia
氯霉素,lv'mei'su
氯霉素滴眼液,lv'mei'su'di'yan'ye
氯霉素甘油滴耳液,lv'mei'su'gan'you'di'er'ye
氯沙坦,lv'sha'tan
氯硝西泮氯硝安定,lv'xiao'xi'pan'lv'xiao'an'ding
氯压定可乐宁,lv'ya'ding'ke'le'ning
氯已定洗必泰,lv'yi'ding'xi'bi'tai
氯乙烷,lv'yi'wan
麻黄素,ma'huang'su
麻黄素滴鼻液,ma'huang'su'di'bi'ye
马来酸罗格列酮,ma'lai'suan'luo'ge'lie'tong
麻醉药,ma'zui'yao
麦迪加霉素麦迪霉素,mai'di'jia'mei'su'mai'di'mei'su
美洛昔康,mei'luo'xi'kang
美他沙酮,mei'ta'sha'tong
美西律,mei'xi'lv
孟鲁司特,meng'lu'si'te
米尔塔扎平抗抑郁症,mi'er'ta'zha'ping'kang'yi'yu'zheng
灭滴灵甲硝唑,mie'di'ling'jia'xiao'zuo
莫米松,mo'mi'song
莫匹罗星,mo'pi'luo'xing
莫西沙星,mo'xi'sha'xing
南索拉唑兰索拉唑,nan'suo'la'zuo'lan'suo'la'zuo
脑复新,nao'fu'xin
内服药,nei'fu'yao
尼莫地平片,ni'mo'di'ping'pian
尿激酶,niao'ji'mei
浓氯化钠注射液,nong'lv'hua'na'zhu'she'ye
诺孕酯肟炔诺酯,nuo'yun'zhi'wo'que'nuo'zhi
帕伐他丁哌伐它停,pa'fa'ta'ding'pai'fa'ta'ting
哌醋甲酯利地林,pai'cu'jia'zhi'li'di'lin
派唑嗪,pai'zuo'qin
盘尼西林,pan'ni'xi'lin
泮托拉唑抗溃疡病药,pan'tuo'la'zuo'kang'kui'yang'bing'yao
配药,pei'yao
硼沙,peng'sha
硼酸酒精,peng'suan'jiu'jing
匹格列酮,pi'ge'lie'tong
破伤风抗霉素,po'shang'feng'kang'mei'su
扑尔敏,pu'er'min
扑尔敏氯苯吡胺,pu'er'min'lv'ben'bi'an
普鲁本近异丙嗪,pu'lu'ben'jin'yi'bing'qin
普鲁苯辛,pu'lu'ben'xin
普鲁卡因,pu'lu'ka'yin
普萘洛尔心得安,pu'nai'luo'er'xin'de'an
普萘洛尔心得安萘心安,pu'nai'luo'er'xin'de'an'nai'xin'an
扑热息痛对乙酰氨基酚,pu're'xi'tong'dui'yi'xian'an'ji'fen
葡萄糖溶液,pu'tao'tang'rong'ye
葡萄糖酸钙,pu'tao'tang'suan'gai
葡萄糖盐水,pu'tao'tang'yan'shui
强的松龙去氢氢化可的松,qiang'di'song'long'qu'qing'qing'hua'ke'di'song
强的松去氢可的松,qiang'di'song'qu'qing'ke'di'song
羟基安定羟基安定,qiang'ji'an'ding'qiang'ji'an'ding
庆大霉素,qing'da'mei'su
氢化可的松,qing'hua'ke'di'song
氢化可的松氢可的松,qing'hua'ke'di'song'qing'ke'di'song
氢氯噻嗪双氢克尿塞,qing'lv'sai'qin'shuang'qing'ke'niao'sai
轻泻药,qing'xie'yao
驱肠虫药,qu'chang'chong'yao
驱蛔灵,qu'hui'ling
屈螺酮,qu'luo'tong
曲蚂多祛痛反式胺苯环醇,qu'ma'duo'qu'tong'fan'shi'an'ben'huan'chun
去氢胆酸,qu'qing'dan'suan
去氢可的松强的松,qu'qing'ke'di'song'qiang'di'song
去氧皮质酮,qu'yang'pi'zhi'tong
曲唑酮三唑酮,qu'zuo'tong'san'zuo'tong
炔诺酮,que'nuo'tong
炔诺孕酮,que'nuo'yun'tong
溶菌酶,rong'jun'mei
绒毛膜促性腺激素绒膜激素,rong'mao'mo'cu'xing'xian'ji'su'rong'mo'ji'su
溶栓酶链激酶,rong'shuan'mei'lian'ji'mei
乳酶生,ru'mei'sheng
乳酸钠,ru'suan'na
塞来考昔,sai'lai'kao'xi
噻吗洛尔噻吗心安青眼露,sai'ma'luo'er'sai'ma'xin'an'qing'yan'lu
塞替哌,sai'ti'pai
沙丁胺醇,sha'ding'an'chun
沙美特罗,sha'mei'te'luo
上药膏,shang'yao'gao
舍曲林,she'qu'lin
生理盐水,sheng'li'yan'shui
生物制品,sheng'wu'zhi'pin
舒喘灵,shu'chuan'ling
舒马曲坦,shu'ma'qu'tan
双丙戊酸钠,shuang'bing'wu'suan'na
双咪哌胺醇潘生丁,shuang'mi'pai'an'chun'pan'sheng'ding
双氧水,shuang'yang'shui
松节油,song'jie'you
羧苄青霉素,suo'bian'qing'mei'su
索密痛,suo'mi'tong
碳酸氢钠,tan'suan'qing'na
坦索洛新,tan'suo'luo'xin
特拉唑嗪,te'la'zuo'qin
特效药,te'xiao'yao
酮康唑,tong'kang'zuo
头孢地尼,tou'bao'di'ni
头孢罗齐赛夫罗秀,tou'bao'luo'qi'sai'fu'luo'xiu
透明质酸酶,tou'ming'zhi'suan'mei
土霉素,tu'mei'su
退热药,tui're'yao
托吡酯,tuo'bi'zhi
妥布拉霉素,tuo'bu'la'mei'su
托特罗定,tuo'te'luo'ding
外用药,wai'yong'yao
胃蛋白酶,wei'dan'bai'mei
胃复康,wei'fu'kang
维拉帕米异搏定,wei'la'pa'mi'yi'bo'ding
维生素,wei'sheng'su
文拉法辛,wen'la'fa'xin
戊巴比妥,wu'ba'bi'tuo
西地兰,xi'di'lan
西酞普兰西他罗仑,xi'tai'pu'lan'xi'ta'luo'lun
西替立嗪抗过敏药,xi'ti'li'qin'kang'guo'min'yao
洗液,xi'ye
硝苯地平心痛定,xiao'ben'di'ping'xin'tong'ding
硝化甘油炸药,xiao'hua'gan'you'zha'yao
消化系统疾病用药,xiao'hua'xi'tong'ji'bing'yong'yao
硝普钠,xiao'pu'na
小苏打,xiao'su'da
硝酸甘油,xiao'suan'gan'you
硝酸异山梨酯消心痛,xiao'suan'yi'shan'li'zhi'xiao'xin'tong
硝酸银,xiao'suan'yin
缬沙坦,xie'sha'tan
新霉素,xin'mei'su
新霉素溶液,xin'mei'su'rong'ye
新诺明磺胺甲恶唑,xin'nuo'ming'huang'an'jia'e'zuo
心血管疾病用药,xin'xue'guan'ji'bing'yong'yao
胸腺素,xiong'xian'su
溴莫尼定,xiu'mo'ni'ding
眼耳鼻喉用药,yan'er'bi'hou'yong'yao
烟酸,yan'suan
烟酸尼克酸,yan'suan'ni'ke'suan
盐酸普鲁卡因胺,yan'suan'pu'lu'ka'yin'an
烟酰胺,yan'xian'an
洋地黄毒甙,yang'di'huang'du'dai
氧可酮,yang'ke'tong
氧烯洛尔心得平,yang'xi'luo'er'xin'de'ping
药材,yao'cai
药草,yao'cao
药粉,yao'fen
药膏,yao'gao
药片,yao'pian
药品,yao'pin
药瓶,yao'ping
药石,yao'shi
药水,yao'shui
药丸,yao'wan
药味药的味道或气味,yao'wei'yao'de'wei'dao'huo'qi'wei
药味中药方中的药,yao'wei'zhong'yao'fang'zhong'de'yao
药物,yao'wu
药物过敏,yao'wu'guo'min
药物学,yao'wu'xue
药物医治,yao'wu'yi'zhi
药物中毒,yao'wu'zhong'du
叶酸,ye'suan
液体石蜡,ye'ti'shi'la
乙胺丁醇,yi'an'ding'chun
依贝沙坦,yi'bei'sha'tan
异丙嗪非那根,yi'bing'qin'fei'na'gen
异丙肾上腺素,yi'bing'shen'shang'xian'su
异丙肾上腺素气雾剂,yi'bing'shen'shang'xian'su'qi'wu'ji
异丙托铵,yi'bing'tuo'an
异博定,yi'bo'ding
胰岛素,yi'dao'su
胰酶,yi'mei
乙醚,yi'mi
依那普利苯丁酯脯酸,yi'na'pu'li'ben'ding'zhi'pu'suan
乙羟基二降孕甾烯炔酮,yi'qiang'ji'er'jiang'yun'zai'xi'que'tong
乙炔雌二醇炔雌醇,yi'que'ci'er'chun'que'ci'chun
乙炔基,yi'que'ji
依他普仑,yi'ta'pu'lun
抑肽酶,yi'tai'mei
乙烯雌酚,yi'xi'ci'fen
乙酰对氨基酚扑热息痛,yi'xian'dui'an'ji'fen'pu're'xi'tong
异烟肼,yi'yan'jing
依泽替米贝,yi'ze'ti'mi'bei
吲哆美辛消炎痛,yin'duo'mei'xin'xiao'yan'tong
右旋糖酐铁,you'xuan'tang'gan'tie
预防药,yu'fang'yao
增效磺胺,zeng'xiao'huang'an
镇静安定药,zhen'jing'an'ding'yao
镇静药,zhen'jing'yao
镇咳解痉药,zhen'ke'jie'jing'yao
镇痛新,zhen'tong'xin
镇痛药,zhen'tong'yao
治疗代谢性疾病用药,zhi'liao'dai'xie'xing'ji'bing'yong'yao
制霉菌素,zhi'mei'jun'su
肿瘤化疗制剂及免疫系统用药,zhong'liu'hua'liao'zhi'ji'ji'mian'yi'xi'tong'yong'yao
棕色合剂复方干草合剂,zong'se'he'ji'fu'fang'gan'cao'he'ji
组织胺球蛋白,zu'zhi'an'qiu'dan'bai
唑吡坦佐尔吡啶,zuo'bi'tan'zuo'er'bi'ding
左旋甲状腺素,zuo'xuan'jia'zhuang'xian'su
左旋咪唑驱钩蛔,zuo'xuan'mi'zuo'qu'gou'hui
左旋四咪唑左咪唑,zuo'xuan'si'mi'zuo'zuo'mi'zuo
左氧氟沙星,zuo'yang'fu'sha'xing
