暗区,an'qu
中重度返流,zhong'zhong'du'fan'liu
中重度狭窄,zhong'zhong'du'xia'zhai
主动脉瓣,zhu'dong'mai'ban
主动脉瓣返流,zhu'dong'mai'ban'fan'liu
主干,zhu'gan
椎动脉,zhui'dong'mai
椎基底动脉,zhui'ji'di'dong'mai
子宫直肠窝,zi'gong'zhi'chang'wo
阻力指数,zu'li'zhi'shu
左肝管,zuo'gan'guan
左肝静脉,zuo'gan'jing'mai
左内叶,zuo'nei'ye
左上腹,zuo'shang'fu
左肾动脉,zuo'shen'dong'mai
左肾静脉,zuo'shen'jing'mai
左外叶,zuo'wai'ye
左下腹腔,zuo'xia'fu'qiang
左支,zuo'zhi
