八字针,ba'zi'zhen
锦上添花针,jin'shang'tian'hua'zhen
锦上织花针,jin'shang'zhi'hua'zhen
锦纹绣,jin'wen'xiu
锦绣,jin'xiu
精微绣,jing'wei'xiu
京绣,jing'xiu
刻鳞针,ke'lin'zhen
空心绣,kong'xin'xiu
扣圈子,kou'quan'zi
扣针绣,kou'zhen'xiu
捆针,kun'zhen
拉毛绣,la'mao'xiu
拉丝绣,la'si'xiu
拉锁子针,la'suo'zi'zhen
拉尾子针,la'wei'zi'zhen
勒针,le'zhen
勒针绣,le'zhen'xiu
帘绣,lian'xiu
龙凤虎纹绣,long'feng'hu'wen'xiu
露底,lou'di
露香园顾绣,lu'xiang'yuan'gu'xiu
露香园绣,lu'xiang'yuan'xiu
鲁绣,lu'xiu
乱针绣,luan'zhen'xiu
轮廓绣,lun'kuo'xiu
轮形针,lun'xing'zhen
落绷,luo'beng
螺线结针,luo'xian'jie'zhen
落针,luo'zhen
马鬃绣,ma'zong'xiu
毛巾绣,mao'jin'xiu
毛针,mao'zhen
扪针,men'zhen
秘针子,mi'zhen'zi
米字针,mi'zi'zhen
纳锦,na'jin
纳纱,na'sha
纳绣,na'xiu
南北朝仙鹤鹦鹉绣裙,nan'bei'chao'xian'he'ying'wu'xiu'qun
拈金,nian'jin
拗参针,niu'can'zhen
扭针绣,niu'zhen'xiu
女子绣工科,nv'zi'xiu'gong'ke
瓯绣,ou'xiu
排参针,pai'can'zhen
排绣,pai'xiu
盘金,pan'jin
鬅毛针,peng'mao'zhen
篷眼针,peng'yan'zhen
皮头,pi'tou
劈线,pi'xian
平金,ping'jin
平套,ping'tao
平绣,ping'xiu
平针,ping'zhen
破针,po'zhen
铺绒绣,pu'rong'xiu
铺针,pu'zhen
起老线,qi'lao'xian
起针,qi'zhen
齐针,qi'zhen
切针,qie'zhen
抋绒针,qin'rong'zhen
全三色,quan'san'se
犬牙绣,quan'ya'xiu
染绣,ran'xiu
绕针子,rao'zhen'zi
人字针,ren'zi'zhen
茸线,rong'xian
绒线,rong'xian
绒线绣,rong'xian'xiu
绒绣,rong'xiu
肉入针,rou'ru'zhen
洒插针,sa'cha'zhen
洒线绣,sa'xian'xiu
撒针绣,sa'zhen'xiu
三角网针,san'jiao'wang'zhen
三连花针,san'lian'hua'zhen
三列针,san'lie'zhen
散套,san'tao
陕西民间刺绣,shan'xi'min'jian'ci'xiu
上绷,shang'beng
上手,shang'shou
神丝绣被,shen'si'xiu'bei
渗针,shen'zhen
施毛针,shi'mao'zhen
实绣,shi'xiu
施针,shi'zhen
手绷,shou'beng
蜀绣,shu'xiu
舒针,shu'zhen
闩针绣,shuan'zhen'xiu
双面冚针,shuang'mian'kan'zhen
双面三异绣,shuang'mian'san'yi'xiu
双面绣,shuang'mian'xiu
双面异色绣,shuang'mian'yi'se'xiu
双线马针,shuang'xian'ma'zhen
水路,shui'lu
丝理,si'li
丝路,si'lu
丝缕,si'lv
撕针,si'zhen
宋人绣画,song'ren'xiu'hua
宋人之绣,song'ren'zhi'xiu
松索,song'suo
松针,song'zhen
松子针,song'zi'zhen
擞和针,sou'he'zhen
素五彩,su'wu'cai
苏绣,su'xiu
锁绣,suo'xiu
梭针绣,suo'zhen'xiu
填高绣,tian'gao'xiu
填锦,tian'jin
跳掺针,tiao'chan'zhen
挑花针,tiao'hua'zhen
贴绫,tie'ling
同立绣校,tong'li'xiu'xiao
凸绣,tu'xiu
挖参针,wa'can'zhen
网绣,wang'xiu
文绣,wen'xiu
温绣,wen'xiu
纹绣,wen'xiu
细绣,xi'xiu
下手,xia'shou
显五彩,xian'wu'cai
湘绣,xiang'xiu
小乱针,xiao'luan'zhen
斜纱绣,xie'sha'xiu
斜行针,xie'xing'zhen
斜一丝,xie'yi'si
行针,xing'zhen
绣绷,xiu'beng
绣地,xiu'di
绣法,xiu'fa
绣花,xiu'hua
绣画,xiu'hua
绣花线,xiu'hua'xian
绣料,xiu'liao
绣像,xiu'xiang
绣椅披,xiu'yi'pi
绣针,xiu'zhen
续针,xu'zhen
虚针绣,xu'zhen'xiu
续针绣,xu'zhen'xiu
旋针,xuan'zhen
旋针绣,xuan'zhen'xiu
压瓣,ya'ban
压象眼针法,ya'xiang'yan'zhen'fa
咬针绣,yao'zhen'xiu
夜光印花绣,ye'guang'yin'hua'xiu
野五彩,ye'wu'cai
一抹色,yi'mo'se
一绒,yi'rong
一丝,yi'si
一丝串,yi'si'chuan
一字针,yi'zi'zhen
隐针,yin'zhen
游针,you'zhen
鸳被,yuan'bei
鸳衾,yuan'qin
鸳鸯皱,yuan'yang'zhou
圆针,yuan'zhen
圆子针,yuan'zi'zhen
粤绣,yue'xiu
晕针绣,yun'zhen'xiu
扎针,zha'zhen
折布立体绣,zhe'bu'li'ti'xiu
针法,zhen'fa
针脚,zhen'jiao
针线绣,zhen'xian'xiu
针绣,zhen'xiu
正抢针,zheng'qiang'zhen
正则绣,zheng'ze'xiu
直参针,zhi'can'zhen
织锦针,zhi'jin'zhen
直针绣,zhi'zhen'xiu
竹节针,zhu'jie'zhen
蛛网绣,zhu'wang'xiu
珠绣,zhu'xiu
茱萸纹绣,zhu'yu'wen'xiu
珠针,zhu'zhen
竹织针,zhu'zhi'zhen
转针,zhuan'zhen
