阿兵哥,a'bing'ge
都没声音,dou'mei'sheng'yin
都有吃,dou'you'chi
都有带,dou'you'dai
都有到,dou'you'dao
都有开,dou'you'kai
都有来,dou'you'lai
都有去,dou'you'qu
都有送,dou'you'song
都有玩,dou'you'wan
都有在,dou'you'zai
都有做,dou'you'zuo
都在福州,dou'zai'fu'zhou
都在家里,dou'zai'jia'li
都这么迟,dou'zhe'me'chi
都这么迟了,dou'zhe'me'chi'le
读不进去,du'bu'jin'qu
读不下去,du'bu'xia'qu
度健身,du'jian'shen
读书读书,du'shu'du'shu
读书去,du'shu'qu
度尾,du'wei
杜园,du'yuan
肚子女人,du'zi'nv'ren
肚子五,du'zi'wu
段霸,duan'ba
短包,duan'bao
段草,duan'cao
段花,duan'hua
段会,duan'hui
段长,duan'zhang
对福州,dui'fu'zhou
对湖,dui'hu
对咯啊,dui'lo'a
多被窝,duo'bei'wo
多的是人,duo'de'shi'ren
多福,duo'fu
多还少补,duo'huan'shao'bu
躲家里,duo'jia'li
额哼,e'heng
饿死掉,e'si'diao
嗯吧,en'ba
嗯的啦,en'de'la
嗯嗯咯,en'en'ge
嗯啦嗯啦,en'la'en'la
嗯咯啊,en'lo'a
二八天,er'ba'tian
二附小,er'fu'xiao
二附中,er'fu'zhong
二类校,er'lei'xiao
发给我下,fa'gei'wo'xia
饭吃了吧,fan'chi'le'ba
饭吃了吗,fan'chi'le'ma
饭吃了没,fan'chi'le'mei
饭吃了没有,fan'chi'le'mei'you
饭吃没,fan'chi'mei
饭吃完,fan'chi'wan
番薯丸,fan'shu'wan
烦死掉,fan'si'diao
凡塔斯,fan'ta'si
番鸭,fan'ya
方格纸,fang'ge'zhi
放贱,fang'jian
放利息,fang'li'xi
防溺水,fang'ni'shui
费不费,fei'bu'fei
非常久,fei'chang'jiu
非常困,fei'chang'kun
非常痛,fei'chang'tong
肺科,fei'ke
肺科医院,fei'ke'yi'yuan
飞毛腿,fei'mao'tui
菲尼克斯,fei'ni'ke'si
粉干,fen'gan
凤城镇,feng'cheng'zhen
枫丹,feng'dan
凤蝶,feng'die
凤湖,feng'hu
凤湖新城,feng'hu'xin'cheng
凤凰池,feng'huang'chi
丰吉,feng'ji
枫亭,feng'ting
福安,fu'an
福安人,fu'an'ren
福安市,fu'an'shi
福大,fu'da
福大北门,fu'da'bei'men
福大的,fu'da'de
福大东门,fu'da'dong'men
福鼎,fu'ding
福鼎肉片,fu'ding'rou'pian
福鼎市,fu'ding'shi
福房网,fu'fang'wang
福飞路,fu'fei'lu
福飞南路,fu'fei'nan'lu
富贵世家,fu'gui'shi'jia
福建,fu'jian
福建啊,fu'jian'a
福建的,fu'jian'de
福建电信,fu'jian'dian'xin
福建福清,fu'jian'fu'qing
福建福州,fu'jian'fu'zhou
福建高考,fu'jian'gao'kao
福建工程,fu'jian'gong'cheng
福建工程学院,fu'jian'gong'cheng'xue'yuan
福建呢,fu'jian'ne
福建农林,fu'jian'nong'lin
福建农林大学,fu'jian'nong'lin'da'xue
福建区,fu'jian'qu
福建日报,fu'jian'ri'bao
福建省,fu'jian'sheng
福建省福州市,fu'jian'sheng'fu'zhou'shi
福建师大,fu'jian'shi'da
福建师大附中,fu'jian'shi'da'fu'zhong
福建师范,fu'jian'shi'fan
福建师范大学,fu'jian'shi'fan'da'xue
福建体彩,fu'jian'ti'cai
福建移动,fu'jian'yi'dong
福建医科,fu'jian'yi'ke
福建医科大学,fu'jian'yi'ke'da'xue
福建一区,fu'jian'yi'qu
福建这边,fu'jian'zhe'bian
福建中医药,fu'jian'zhong'yi'yao
福建中医药大学,fu'jian'zhong'yi'yao'da'xue
福马路,fu'ma'lu
福诺,fu'nuo
福平,fu'ping
福清,fu'qing
福清啊,fu'qing'a
福清吧,fu'qing'ba
福清的,fu'qing'de
福清哥,fu'qing'ge
福清话,fu'qing'hua
福清了,fu'qing'le
福清吗,fu'qing'ma
福清那,fu'qing'na
福清人,fu'qing'ren
福清市,fu'qing'shi
福清医院,fu'qing'yi'yuan
福三中,fu'san'zhong
阜山,fu'shan
福师大,fu'shi'da
福四中,fu'si'zhong
福湾路,fu'wan'lu
福新,fu'xin
福新东路,fu'xin'dong'lu
福新路,fu'xin'lu
福新路口,fu'xin'lu'kou
福新中路,fu'xin'zhong'lu
福耀,fu'yao
附一,fu'yi
福医大,fu'yi'da
福屿天桥,fu'yu'tian'qiao
福职,fu'zhi
福州,fu'zhou
福州啊,fu'zhou'a
福州吧,fu'zhou'ba
福州八中,fu'zhou'ba'zhong
福州办,fu'zhou'ban
福州北,fu'zhou'bei
福州本地,fu'zhou'ben'di
福州不,fu'zhou'bu
福州菜,fu'zhou'cai
福州大饭店,fu'zhou'da'fan'dian
福州大学,fu'zhou'da'xue
福州大学城,fu'zhou'da'xue'cheng
福州到,fu'zhou'dao
福州的,fu'zhou'de
福州的话,fu'zhou'de'hua
福州地图,fu'zhou'di'tu
福州分行,fu'zhou'fen'hang
福州干嘛,fu'zhou'gan'ma
福州咯,fu'zhou'ge
福州公交,fu'zhou'gong'jiao
福州工作,fu'zhou'gong'zuo
福州还是,fu'zhou'hai'shi
福州好,fu'zhou'hao
福州好热,fu'zhou'hao're
福州话,fu'zhou'hua
福州回来,fu'zhou'hui'lai
福州火车站,fu'zhou'huo'che'zhan
福州机场,fu'zhou'ji'chang
福州今天,fu'zhou'jin'tian
福州就,fu'zhou'jiu
福州局,fu'zhou'ju
福州看,fu'zhou'kan
福州啦,fu'zhou'la
福州来,fu'zhou'lai
福州了,fu'zhou'le
福州了吧,fu'zhou'le'ba
福州了吗,fu'zhou'le'ma
福州吗,fu'zhou'ma
福州麻将,fu'zhou'ma'jiang
福州买,fu'zhou'mai
福州么,fu'zhou'me
福州没,fu'zhou'mei
福州没有,fu'zhou'mei'you
福州那,fu'zhou'na
福州哪里,fu'zhou'na'li
福州南,fu'zhou'nan
福州南站,fu'zhou'nan'zhan
福州呢,fu'zhou'ne
福州女,fu'zhou'nv
福州哦,fu'zhou'o
福州去,fu'zhou'qu
福州热,fu'zhou're
福州人,fu'zhou'ren
福州人民,fu'zhou'ren'min
福州三中,fu'zhou'san'zhong
福州上班,fu'zhou'shang'ban
福州市,fu'zhou'shi
福州市区,fu'zhou'shi'qu
福州四中,fu'zhou'si'zhong
福州天气,fu'zhou'tian'qi
福州玩,fu'zhou'wan
福州万达,fu'zhou'wan'da
福州下雨了,fu'zhou'xia'yu'le
福州现在,fu'zhou'xian'zai
福州呀,fu'zhou'ya
福州要,fu'zhou'yao
福州也,fu'zhou'ye
福州也是,fu'zhou'ye'shi
福州也有,fu'zhou'ye'you
福州一中,fu'zhou'yi'zhong
福州有,fu'zhou'you
福州站,fu'zhou'zhan
福州这,fu'zhou'zhe
福州这边,fu'zhou'zhe'bian
盖过去,gai'guo'qu
改考卷,gai'kao'juan
盖山,gai'shan
盖山镇,gai'shan'zhen
感嚼,gan'jiao
赶紧去睡,gan'jin'qu'shui
干嘛不敢,gan'ma'bu'gan
干嘛不好,gan'ma'bu'hao
干嘛不可能,gan'ma'bu'ke'neng
干嘛不可以,gan'ma'bu'ke'yi
干嘛不能,gan'ma'bu'neng
干嘛不去吃,gan'ma'bu'qu'chi
干嘛不行,gan'ma'bu'xing
干嘛不知道,gan'ma'bu'zhi'dao
干嘛咯,gan'ma'ge
干嘛会,gan'ma'hui
干嘛了咯,gan'ma'le'ge
干嘛喽,gan'ma'lou
干嘛噜,gan'ma'lu
干嘛没有,gan'ma'mei'you
干嘛睡不着,gan'ma'shui'bu'zhao
干嘛一直,gan'ma'yi'zhi
甘蔗,gan'zhe
甘蔗镇,gan'zhe'zhen
刚到福州,gang'dao'fu'zhou
港头,gang'tou
高二年,gao'er'nian
高峰桥,gao'feng'qiao
高盖山,gao'gai'shan
高功率,gao'gong'lv
高湖,gao'hu
高湖村,gao'hu'cun
搞酒,gao'jiu
搞七搞八,gao'qi'gao'ba
高三年,gao'san'nian
高山,gao'shan
高山镇,gao'shan'zhen
搞死掉,gao'si'diao
高一年,gao'yi'nian
高宅,gao'zhai
高招办,gao'zhao'ban
高职单招,gao'zhi'dan'zhao
隔壁店,ge'bi'dian
歌手赛,ge'shou'sai
咯呀,ge'ya
格致中学,ge'zhi'zhong'xue
给你死,gei'ni'si
跟狗一样,gen'gou'yi'yang
跟什么一样,gen'shen'me'yi'yang
更迟,geng'chi
更好睡,geng'hao'shui
更衣间,geng'yi'jian
公交总站,gong'jiao'zong'zhan
公立校,gong'li'xiao
拱趴,gong'pa
公务员局,gong'wu'yuan'ju
工业路,gong'ye'lu
工院,gong'yuan
公园道,gong'yuan'dao
狗母,gou'mu
鼓东,gu'dong
鼓东路,gu'dong'lu
鼓二小,gu'er'xiao
古槐,gu'huai
古街,gu'jie
鼓楼,gu'lou
鼓楼区,gu'lou'qu
鼓屏路,gu'ping'lu
古三座,gu'san'zuo
鼓山,gu'shan
鼓山大桥,gu'shan'da'qiao
鼓山苑,gu'shan'yuan
鼓山镇,gu'shan'zhen
古田,gu'tian
古田路,gu'tian'lu
古田县,gu'tian'xian
鼓西路,gu'xi'lu
鼓一小,gu'yi'xiao
姑丈,gu'zhang
呱呱通,gua'gua'tong
挂瓶,gua'ping
刮台风,gua'tai'feng
刮台风了,gua'tai'feng'le
挂完瓶,gua'wan'ping
拐过去,guai'guo'qu
拐去,guai'qu
冠超市,guan'chao'shi
冠发,guan'fa
冠捷,guan'jie
管他去死,guan'ta'qu'si
管头,guan'tou
冠亚广场,guan'ya'guang'chang
光饼,guang'bing
广达,guang'da
广达路,guang'da'lu
光禄坊,guang'lu'fang
光明港,guang'ming'gang
光明桥,guang'ming'qiao
光荣路,guang'rong'lu
贵安,gui'an
贵安水世界,gui'an'shui'shi'jie
贵安新天地,gui'an'xin'tian'di
桂湖,gui'hu
桂山,gui'shan
桂香街,gui'xiang'jie
滚趴,gun'pa
滚去死,gun'qu'si
锅边,guo'bian
锅边糊,guo'bian'hu
郭厝里,guo'cuo'li
国惠,guo'hui
国货路,guo'huo'lu
过去看下,guo'qu'kan'xia
过去下,guo'qu'xia
国医堂,guo'yi'tang
郭宅,guo'zhai
还不去睡,hai'bu'qu'shui
还不去睡觉,hai'bu'qu'shui'jiao
还不如睡,hai'bu'ru'shui
还不如睡觉,hai'bu'ru'shui'jiao
还不死去,hai'bu'si'qu
海都报,hai'dou'bao
海都网,hai'du'wang
海交会,hai'jiao'hui
海口镇,hai'kou'zhen
海蛎饼,hai'li'bing
还没去睡,hai'mei'qu'shui
还没这么快,hai'mei'zhe'me'kuai
还拿去,hai'na'qu
海坛,hai'tan
海坛名街,hai'tan'ming'jie
海西,hai'xi
海西提,hai'xi'ti
海峡,hai'xia
海峡都市报,hai'xia'du'shi'bao
海峡号,hai'xia'hao
海峡会展,hai'xia'hui'zhan
海峡人才,hai'xia'ren'cai
海峡人才网,hai'xia'ren'cai'wang
海鲜吧,hai'xian'ba
还有去,hai'you'qu
还在福州,hai'zai'fu'zhou
海蜇皮,hai'zhe'pi
汉堡店,han'bao'dian
涵江,han'jiang
涵江区,han'jiang'qu
翰英,han'ying
好不好咯,hao'bu'hao'ge
好不清楚,hao'bu'qing'chu
好迟了,hao'chi'le
好多了没,hao'duo'le'mei
好多了那,hao'duo'le'na
好好读,hao'hao'du
好好念,hao'hao'nian
好好念书,hao'hao'nian'shu
好经常,hao'jing'chang
好困了,hao'kun'le
好咯哇,hao'lo'wa
浩沙,hao'sha
好舍友,hao'she'you
好事达,hao'shi'da
好说啦,hao'shuo'la
鹤安,he'an
鹤林新城,he'lin'xin'cheng
和算了,he'suan'le
和味道,he'wei'dao
河下街,he'xia'jie
和源居,he'yuan'ju
黑弟,hei'di
黑摸摸,hei'mo'mo
嘿呛,hei'qiang
黑鱼煲,hei'yu'bao
很冰,hen'bing
很不清楚,hen'bu'qing'chu
很迟,hen'chi
很迟了,hen'chi'le
很迟睡,hen'chi'shui
很好穿,hen'hao'chuan
很好睡,hen'hao'shui
很火啊,hen'huo'a
很挤,hen'ji
很经常,hen'jing'chang
很困啊,hen'kun'a
很趴,hen'pa
很衰,hen'shuai
很有的,hen'you'de
哼咯,heng'ge
横江渡,heng'jiang'du
恒力城,heng'li'cheng
红豆杉,hong'dou'shan
红菇,hong'gu
红馆,hong'guan
红海园,hong'hai'yuan
红江路,hong'jiang'lu
红郡,hong'jun
洪宽,hong'kuan
洪濑鸡爪,hong'lai'ji'zhua
宏利大厦,hong'li'da'sha
宏路,hong'lu
哄趴,hong'pa
洪山桥,hong'shan'qiao
洪山桥头,hong'shan'qiao'tou
洪山镇,hong'shan'zhen
鸿尾,hong'wei
红星苑,hong'xing'yuan
后板,hou'ban
后城,hou'cheng
后港,hou'gang
后埔街,hou'pu'jie
后山顶,hou'shan'ding
湖东路,hu'dong'lu
胡瓜,hu'gua
葫芦阵,hu'lu'zhen
湖南镇,hu'nan'zhen
湖前,hu'qian
湖亭,hu'ting
湖头街,hu'tou'jie
化工路,hua'gong'lu
话剧院,hua'ju'yuan
华莱士,hua'lai'shi
华林,hua'lin
华林路,hua'lin'lu
华林四桥,hua'lin'si'qiao
划龙舟,hua'long'zhou
花鸟市场,hua'niao'shi'chang
划片,hua'pian
华侨中学,hua'qiao'zhong'xue
花生牛奶,hua'sheng'niu'nai
花生汤,hua'sheng'tang
华祥苑,hua'xiang'yuan
华映,hua'ying
坏喜鹊,huai'xi'que
欢乐无限,huan'le'wu'xian
环球广场,huan'qiu'guang'chang
宦溪,huan'xi
换下衣服,huan'xia'yi'fu
黄导,huang'dao
皇帝洞,huang'di'dong
黄锋,huang'feng
黄瓜鱼,huang'gua'yu
黄航,huang'hang
黄鹤楼,huang'he'lou
煌煌,huang'huang
黄锦,huang'jin
黄如论,huang'ru'lun
煌上煌,huang'shang'huang
惠安女,hui'an'nv
惠安县,hui'an'xian
会饱,hui'bao
会被我妈,hui'bei'wo'ma
会不会累,hui'bu'hui'lei
回长乐,hui'chang'le
会迟,hui'chi
会迟点,hui'chi'dian
汇创,hui'chuang
汇达,hui'da
汇达广场,hui'da'guang'chang
会到,hui'dao
会抖,hui'dou
汇多利,hui'duo'li
惠尔康,hui'er'kang
回福清,hui'fu'qing
回福州,hui'fu'zhou
回福州了,hui'fu'zhou'le
惠好,hui'hao
会急,hui'ji
回家下,hui'jia'xia
会进去,hui'jin'qu
会肯,hui'ken
回来福州,hui'lai'fu'zhou
回来下,hui'lai'xia
回连江,hui'lian'jiang
回龙岩,hui'long'yan
灰炉头,hui'lu'tou
回罗源,hui'luo'yuan
回南平,hui'nan'ping
回宁德,hui'ning'de
惠平,hui'ping
回平潭,hui'ping'tan
回莆田,hui'pu'tian
会钱,hui'qian
灰墙,hui'qiang
回泉州,hui'quan'zhou
回三明,hui'san'ming
会头,hui'tou
回我下,hui'wo'xia
回厦门,hui'xia'men
会远,hui'yuan
火车南站,huo'che'nan'zhan
火很大,huo'hen'da
火山岛,huo'shan'dao
火山灰,huo'shan'hui
霍童,huo'tong
活页,huo'ye
寄车,ji'che
几点上来,ji'dian'shang'lai
寄读,ji'du
寄读生,ji'du'sheng
祭酒岭,ji'jiu'ling
积库,ji'ku
吉诺,ji'nuo
鸡排风云,ji'pai'feng'yun
集钱,ji'qian
寄上来,ji'shang'lai
寄上去,ji'shang'qu
寄宿生,ji'su'sheng
几通,ji'tong
叽歪叽歪,ji'wai'ji'wai
寄下来,ji'xia'lai
寄下去,ji'xia'qu
加氨,jia'an
家福,jia'fu
嘉庚,jia'geng
驾管所,jia'guan'suo
佳客来,jia'ke'lai
嘉陵传奇,jia'ling'chuan'qi
家天下,jia'tian'xia
家园网,jia'yuan'wang
加州城,jia'zhou'cheng
建瓯,jian'ou
建瓯市,jian'ou'shi
建新镇,jian'xin'zhen
建阳,jian'yang
建阳市,jian'yang'shi
江滨,jiang'bin
江滨公园,jiang'bin'gong'yuan
江厝路,jiang'cuo'lu
匠和风,jiang'he'feng
江镜镇,jiang'jing'zhen
将军山,jiang'jun'shan
江南名城,jiang'nan'ming'cheng
江南水都,jiang'nan'shui'du
讲趴,jiang'pa
江夏学院,jiang'xia'xue'yuan
江阴镇,jiang'yin'zhen
脚按,jiao'an
叫餐,jiao'can
叫餐了,jiao'can'le
蕉城区,jiao'cheng'qu
交通路,jiao'tong'lu
教院,jiao'yuan
教院附中,jiao'yuan'fu'zhong
解放大桥,jie'fang'da'qiao
街心公园,jie'xin'gong'yuan
解押,jie'ya
晋安,jin'an
晋安河,jin'an'he
晋安区,jin'an'qu
晋安区委,jin'an'qu'wei
金包银,jin'bao'yin
进城路,jin'cheng'lu
金峰,jin'feng
金峰镇,jin'feng'zhen
金刚板,jin'gang'ban
金刚退,jin'gang'tui
金晖新村,jin'hui'xin'cun
金鸡山,jin'ji'shan
金桔路,jin'ju'lu
进客,jin'ke
进来下,jin'lai'xia
金牛山,jin'niu'shan
金融街,jin'rong'jie
金山,jin'shan
金山碧水,jin'shan'bi'shui
金山大道,jin'shan'da'dao
金山大桥,jin'shan'da'qiao
金山了,jin'shan'le
金山万达,jin'shan'wan'da
金山学院,jin'shan'xue'yuan
津泰,jin'tai
津泰路,jin'tai'lu
今天福州,jin'tian'fu'zhou
今天有没,jin'tian'you'mei
今晚没去,jin'wan'mei'qu
今晚要不要,jin'wan'yao'bu'yao
今晚有没,jin'wan'you'mei
今晚有没有,jin'wan'you'mei'you
锦霞,jin'xia
金线莲,jin'xian'lian
金祥路,jin'xiang'lu
金象湾,jin'xiang'wan
进修校,jin'xiu'xiao
井大路,jing'da'lu
鲸奇水乐园,jing'qi'shui'le'yuan
荆溪,jing'xi
荆溪镇,jing'xi'zhen
井源居,jing'yuan'ju
九大,jiu'da
就福州,jiu'fu'zhou
就还好了,jiu'hai'hao'le
就会到了,jiu'hui'dao'le
九节虾,jiu'jie'xia
九龙城,jiu'long'cheng
就那样咯,jiu'na'yang'ge
就那样啦,jiu'na'yang'la
就去睡了,jiu'qu'shui'le
九色鹿,jiu'se'lu
旧师大,jiu'shi'da
就是说咯,jiu'shi'shuo'ge
旧校区,jiu'xiao'qu
就有去,jiu'you'qu
就在福州,jiu'zai'fu'zhou
聚春园,ju'chun'yuan
聚会点,ju'hui'dian
聚烤庄,ju'kao'zhuang
巨傻,ju'sha
桔园,ju'yuan
橘园洲,ju'yuan'zhou
君临闽江,jun'lin'min'jiang
君临天华,jun'lin'tian'hua
卡拉车,ka'la'che
卡拉恰,ka'la'qia
卡乐星,ka'le'xing
卡路,ka'lu
开不起来了,kai'bu'qi'lai'le
开卷考,kai'juan'kao
凯斯顿,kai'si'dun
开心牧场,kai'xin'mu'chang
开元寺,kai'yuan'si
