阿基米德蜗杆,a'ji'mi'de'wo'gan
传动带,chuan'dong'dai
传动角,chuan'dong'jiao
传动链,chuan'dong'lian
串级调速,chuan'ji'tiao'su
串联式组合,chuan'lian'shi'zu'he
串联式组合机构,chuan'lian'shi'zu'he'ji'gou
垂直载荷,chui'zhi'zai'he
唇形橡胶密封,chun'xing'xiang'jiao'mi'feng
磁流体轴承,ci'liu'ti'zhou'cheng
从动带轮,cong'dong'dai'lun
从动件,cong'dong'jian
从动件平底宽度,cong'dong'jian'ping'di'kuan'du
从动件停歇,cong'dong'jian'ting'xie
从动件运动规律,cong'dong'jian'yun'dong'gui'lv
从动轮,cong'dong'lun
从动锥齿轮,cong'dong'zhui'chi'lun
粗车图,cu'che'tu
粗点画线,cu'dian'hua'xian
粗珩磨内孔,cu'heng'mo'nei'kong
粗加工,cu'jia'gong
粗镗内孔,cu'tang'nei'kong
粗虚线,cu'xu'xian
粗牙螺纹,cu'ya'luo'wen
淬火,cui'huo
淬火冷却,cui'huo'leng'que
脆性材料,cui'xing'cai'liao
大齿轮,da'chi'lun
大径,da'jing
带传动,dai'chuan'dong
带式制动器,dai'shi'zhi'dong'qi
单列轴承,dan'lie'zhou'cheng
单万向联轴节,dan'wan'xiang'lian'zhou'jie
单向阀,dan'xiang'fa
单向推力轴承,dan'xiang'tui'li'zhou'cheng
挡板,dang'ban
当量齿轮,dang'liang'chi'lun
当量齿数,dang'liang'chi'shu
当量摩擦系数,dang'liang'mo'ca'xi'shu
当量载荷,dang'liang'zai'he
导程,dao'cheng
导程角,dao'cheng'jiao
导轨,dao'gui
刀尖,dao'jian
倒角,dao'jiao
刀具,dao'ju
倒轮齿,dao'lun'chi
等份圆周,deng'fen'yuan'zhou
等加等减速运动规律,deng'jia'deng'jian'su'yun'dong'gui'lv
等径凸轮,deng'jing'tu'lun
等宽凸轮,deng'kuan'tu'lun
等速运动规律,deng'su'yun'dong'gui'lv
等效动力学模型,deng'xiao'dong'li'xue'mo'xing
等效构件,deng'xiao'gou'jian
等效力,deng'xiao'li
等效力矩,deng'xiao'li'ju
等效量,deng'xiao'liang
等效质量,deng'xiao'zhi'liang
等效转动惯量,deng'xiao'zhuan'dong'guan'liang
低副,di'fu
电动机,dian'dong'ji
点焊缝,dian'han'feng
电化学腐蚀,dian'hua'xue'fu'shi
电火花加工,dian'huo'hua'jia'gong
电火花线切割加工,dian'huo'hua'xian'qie'ge'jia'gong
垫片,dian'pian
垫片密封,dian'pian'mi'feng
垫圈,dian'quan
碟形弹簧,die'xing'tan'huang
顶升拆卸,ding'sheng'chai'xie
定位尺寸,ding'wei'chi'cun
定位位置公差,ding'wei'wei'zhi'gong'cha
顶隙,ding'xi
定向位置公差,ding'xiang'wei'zhi'gong'cha
定形尺寸,ding'xing'chi'cun
定轴轮系,ding'zhou'lun'xi
东风井,dong'feng'jing
动力润滑,dong'li'run'hua
动力学,dong'li'xue
动密封,dong'mi'feng
动能,dong'neng
动平衡机,dong'ping'heng'ji
动态分析设计,dong'tai'fen'xi'she'ji
动压力,dong'ya'li
动载荷,dong'zai'he
杜景森,du'jing'sen
断裂,duan'lie
端面参数,duan'mian'can'shu
端面齿距,duan'mian'chi'ju
端面重合度,duan'mian'chong'he'du
端面模数,duan'mian'mo'shu
端面压力角,duan'mian'ya'li'jiao
短中心线,duan'zhong'xin'xian
对称循环应力,dui'chen'xun'huan'ying'li
对称中心线,dui'chen'zhong'xin'xian
对心滚子从动件,dui'xin'gun'zi'cong'dong'jian
对心曲柄滑块机构,dui'xin'qu'bing'hua'kuai'ji'gou
对心移动从动件,dui'xin'yi'dong'cong'dong'jian
对心直动从动件,dui'xin'zhi'dong'cong'dong'jian
对中符号,dui'zhong'fu'hao
多列轴承,duo'lie'zhou'cheng
惰轮,duo'lun
多项式运动规律,duo'xiang'shi'yun'dong'gui'lv
多楔带,duo'xie'dai
多质量转子,duo'zhi'liang'zhuan'zi
额定寿命,e'ding'shou'ming
二号图纸,er'hao'tu'zhi
法面,fa'mian
法面参数,fa'mian'can'shu
法面齿距,fa'mian'chi'ju
法面模数,fa'mian'mo'shu
法面压力角,fa'mian'ya'li'jiao
发生面,fa'sheng'mian
发生线,fa'sheng'xian
法向齿距,fa'xiang'chi'ju
法向齿廓,fa'xiang'chi'kuo
法向直廓蜗杆,fa'xiang'zhi'kuo'wo'gan
范成法,fan'cheng'fa
反馈式组合,fan'kui'shi'zu'he
反向运动学,fan'xiang'yun'dong'xue
反转法,fan'zhuan'fa
放大比例,fang'da'bi'li
方箱法,fang'xiang'fa
方向符号,fang'xiang'fu'hao
仿形法,fang'xing'fa
防振装置,fang'zhen'zhuang'zhi
非标准齿轮,fei'biao'zhun'chi'lun
非接触式密封,fei'jie'chu'shi'mi'feng
飞轮矩,fei'lun'ju
非圆齿轮,fei'yuan'chi'lun
非周期性速度波动,fei'zhou'qi'xing'su'du'bo'dong
非主要尺寸,fei'zhu'yao'chi'cun
分度圆,fen'du'yuan
分度圆线,fen'du'yuan'xian
分度圆直径,fen'du'yuan'zhi'jing
分度圆柱导程角,fen'du'yuan'zhu'dao'cheng'jiao
分度圆柱螺旋角,fen'du'yuan'zhu'luo'xuan'jiao
分度圆锥,fen'du'yuan'zhui
粉末合金,fen'mo'he'jin
分析力学,fen'xi'li'xue
封闭差动轮系,feng'bi'cha'dong'lun'xi
缝焊缝,feng'han'feng
复合铰链,fu'he'jiao'lian
复合轮系,fu'he'lun'xi
复合平带,fu'he'ping'dai
复合式组合,fu'he'shi'zu'he
幅面尺寸,fu'mian'chi'cun
幅面代号,fu'mian'dai'hao
附墙附墙框,fu'qiang'fu'qiang'kuang
腐蚀,fu'shi
复式螺旋机构,fu'shi'luo'xuan'ji'gou
副斜井,fu'xie'jing
复杂机构,fu'za'ji'gou
杆组,gan'zu
刚度,gang'du
刚度准则,gang'du'zhun'ze
刚轮,gang'lun
钢丝软轴,gang'si'ruan'zhou
刚体导引机构,gang'ti'dao'yin'ji'gou
刚性冲击,gang'xing'chong'ji
刚性联轴器,gang'xing'lian'zhou'qi
刚性轴承,gang'xing'zhou'cheng
刚性转子,gang'xing'zhuan'zi
高度系列,gao'du'xi'lie
高副,gao'fu
高速带,gao'su'dai
格拉晓夫定理,ge'la'xiao'fu'ding'li
根部半径,gen'bu'ban'jing
根切,gen'qie
根锥角,gen'zhui'jiao
工步,gong'bu
公差,gong'cha
公差带,gong'cha'dai
公差等级,gong'chai'deng'ji
工程技术人员,gong'cheng'ji'shu'ren'yuan
公称应力,gong'cheng'ying'li
公称直径,gong'cheng'zhi'jing
共轭齿廓,gong'e'chi'kuo
共轭凸轮,gong'e'tu'lun
公法线,gong'fa'xian
公共约束,gong'gong'yue'shu
工件,gong'jian
工件厚度,gong'jian'hou'du
工况系数,gong'kuang'xi'shu
功率,gong'lv
功能分析设计,gong'neng'fen'xi'she'ji
攻丝,gong'si
工业造型设计,gong'ye'zao'xing'she'ji
公制齿轮,gong'zhi'chi'lun
工作机构,gong'zuo'ji'gou
工作循环图,gong'zuo'xun'huan'tu
工作载荷,gong'zuo'zai'he
工作阻力,gong'zuo'zu'li
工作阻力矩,gong'zuo'zu'li'ju
构件,gou'jian
钩头楔键,gou'tou'xie'jian
固定构件,gu'ding'gou'jian
鼓风机,gu'feng'ji
固态相变,gu'tai'xiang'bian
关节型操作器,guan'jie'xing'cao'zuo'qi
冠轮,guan'lun
惯性力部分平衡,guan'xing'li'bu'fen'ping'heng
惯性力矩,guan'xing'li'ju
惯性力平衡,guan'xing'li'ping'heng
惯性力完全平衡,guan'xing'li'wan'quan'ping'heng
惯性主矩,guan'xing'zhu'ju
惯性主失,guan'xing'zhu'shi
广义机构,guang'yi'ji'gou
广义坐标,guang'yi'zuo'biao
轨迹发生器,gui'ji'fa'sheng'qi
轨迹生成,gui'ji'sheng'cheng
滚齿,gun'chi
滚道,gun'dao
滚动体,gun'dong'ti
滚动轴承,gun'dong'zhou'cheng
滚动轴承代号,gun'dong'zhou'cheng'dai'hao
滚针,gun'zhen
滚针轴承,gun'zhen'zhou'cheng
滚子,gun'zi
滚子半径,gun'zi'ban'jing
滚子从动件,gun'zi'cong'dong'jian
滚子链,gun'zi'lian
滚子链联轴,gun'zi'lian'lian'zhou
滚子轴承,gun'zi'zhou'cheng
过渡节,guo'du'jie
过渡配合,guo'du'pei'he
过渡线,guo'du'xian
过盈配合,guo'ying'pei'he
焊缝段数,han'feng'duan'shu
焊缝有效厚度,han'feng'you'xiao'hou'du
焊角尺寸,han'jiao'chi'cun
焊接图,han'jie'tu
函数生成,han'shu'sheng'cheng
巷道失修率,hang'dao'shi'xiu'lv
耗油量系数,hao'you'liang'xi'shu
合成进给运动,he'cheng'jin'gei'yun'dong
合成切削运动,he'cheng'qie'xiao'yun'dong
合成切削运动方向,he'cheng'qie'xiao'yun'dong'fang'xiang
合成弯矩,he'cheng'wan'ju
赫兹公式,he'zi'gong'shi
桁架,heng'jia
后角,hou'jiao
互换性齿轮,hu'huan'xing'chi'lun
滑动率,hua'dong'lv
滑动轴承,hua'dong'zhou'cheng
花键,hua'jian
滑键,hua'jian
滑块,hua'kuai
换面法,huan'mian'fa
环面蜗杆,huan'mian'wo'gan
换向阀,huan'xiang'fa
环形弹簧,huan'xing'tan'huang
回程,hui'cheng
回风巷道,hui'feng'hang'dao
回风上山,hui'feng'shang'shan
回风隅角,hui'feng'yu'jiao
回火,hui'huo
回转机构,hui'zhuan'ji'gou
回转体平衡,hui'zhuan'ti'ping'heng
回转支承,hui'zhuan'zhi'cheng
混合轮系,hun'he'lun'xi
基本尺寸,ji'ben'chi'cun
基本额定寿命,ji'ben'e'ding'shou'ming
基本偏差,ji'ben'pian'cha
基础机构,ji'chu'ji'gou
基础节,ji'chu'jie
机床夹具,ji'chuang'jia'ju
机电科,ji'dian'ke
机电一体化,ji'dian'yi'ti'hua
机电一体化系统设计,ji'dian'yi'ti'hua'xi'tong'she'ji
机构,ji'gou
机构分析,ji'gou'fen'xi
机构平衡,ji'gou'ping'heng
机构学,ji'gou'xue
机构运动简图,ji'gou'yun'dong'jian'tu
机构运动设计,ji'gou'yun'dong'she'ji
机构综合,ji'gou'zong'he
机构组成,ji'gou'zu'cheng
急回机构,ji'hui'ji'gou
急回特性,ji'hui'te'xing
急回系数,ji'hui'xi'shu
急回运动,ji'hui'yun'dong
机架,ji'jia
机架变换,ji'jia'bian'huan
棘轮,ji'lun
棘轮机构,ji'lun'ji'gou
机器,ji'qi
机器人操作器,ji'qi'ren'cao'zuo'qi
技术过程,ji'shu'guo'cheng
技术经济评价,ji'shu'jing'ji'ping'jia
技术系统,ji'shu'xi'tong
计算弯矩,ji'suan'wan'ju
极位夹角,ji'wei'jia'jiao
极限,ji'xian
极限尺寸,ji'xian'chi'cun
极限偏差,ji'xian'pian'cha
机械,ji'xie
机械创新设计,ji'xie'chuang'xin'she'ji
机械的现代设计,ji'xie'de'xian'dai'she'ji
机械动力分析,ji'xie'dong'li'fen'xi
机械动力设计,ji'xie'dong'li'she'ji
机械动力学,ji'xie'dong'li'xue
机械加工精度,ji'xie'jia'gong'jing'du
机械加工余量,ji'xie'jia'gong'yu'liang
机械零件,ji'xie'ling'jian
机械能守恒,ji'xie'neng'shou'heng
机械调速,ji'xie'tiao'su
机械无级变速,ji'xie'wu'ji'bian'su
机械系统,ji'xie'xi'tong
机械系统设计,ji'xie'xi'tong'she'ji
机械运转不均匀系数,ji'xie'yun'zhuan'bu'jun'yun'xi'shu
机械制图,ji'xie'zhi'tu
基于实例设计,ji'yu'shi'li'she'ji
基圆,ji'yuan
基圆齿距,ji'yuan'chi'ju
基圆压,ji'yuan'ya
基圆柱,ji'yuan'zhu
基圆锥,ji'yuan'zhui
棘爪,ji'zhua
加速度分析,jia'su'du'fen'xi
加速度曲线,jia'su'du'qu'xian
键槽,jian'cao
尖底从动件,jian'di'cong'dong'jian
监督单位,jian'du'dan'wei
渐开线,jian'kai'xian
渐开线齿廓,jian'kai'xian'chi'kuo
渐开线齿轮,jian'kai'xian'chi'lun
渐开线发生线,jian'kai'xian'fa'sheng'xian
渐开线方程,jian'kai'xian'fang'cheng
渐开线花键,jian'kai'xian'hua'jian
渐开线蜗杆,jian'kai'xian'wo'gan
渐开线压力角,jian'kai'xian'ya'li'jiao
减摩性,jian'mo'xing
减速比,jian'su'bi
减速器,jian'su'qi
间隙,jian'xi
间隙配合,jian'xi'pei'he
间歇运动机构,jian'xie'yun'dong'ji'gou
减压阀,jian'ya'fa
交叉带传动,jiao'cha'dai'chuan'dong
交错轴斜齿轮,jiao'cuo'zhou'xie'chi'lun
绞刀,jiao'dao
角接触推力轴承,jiao'jie'chu'tui'li'zhou'cheng
角接触向心轴承,jiao'jie'chu'xiang'xin'zhou'cheng
角接触轴承,jiao'jie'chu'zhou'cheng
绞孔,jiao'kong
校正平面,jiao'zheng'ping'mian
接触印痕,jie'chu'yin'hen
节点,jie'dian
结合剂,jie'he'ji
截交线,jie'jiao'xian
节距,jie'ju
节流阀,jie'liu'fa
截面,jie'mian
阶梯轴,jie'ti'zhou
解析设计,jie'xi'she'ji
节线,jie'xian
节圆,jie'yuan
节圆齿厚,jie'yuan'chi'hou
节圆直径,jie'yuan'zhi'jing
节圆锥,jie'yuan'zhui
节圆锥角,jie'yuan'zhui'jiao
节锥顶点距,jie'zhui'ding'dian'ju
节锥角,jie'zhui'jiao
紧边,jin'bian
进给方向,jin'gei'fang'xiang
进给运动,jin'gei'yun'dong
紧固件,jin'gu'jian
金属工艺学,jin'shu'gong'yi'xue
金属切削,jin'shu'qie'xiao
精车图,jing'che'tu
精车外圆,jing'che'wai'yuan
精加工,jing'jia'gong
井架提升机,jing'jia'ti'sheng'ji
径节,jing'jie
静力学,jing'li'xue
静密封,jing'mi'feng
精镗内孔,jing'tang'nei'kong
径向当量静载荷,jing'xiang'dang'liang'jing'zai'he
径向基本额定静载荷,jing'xiang'ji'ben'e'ding'jing'zai'he
径向间隙,jing'xiang'jian'xi
径向接触轴承,jing'xiang'jie'chu'zhou'cheng
径向平面,jing'xiang'ping'mian
径向游隙,jing'xiang'you'xi
径向载荷,jing'xiang'zai'he
径向载荷系数,jing'xiang'zai'he'xi'shu
静载荷,jing'zai'he
局部视图,ju'bu'shi'tu
局部自由度,ju'bu'zi'you'du
锯齿形螺纹,ju'chi'xing'luo'wen
矩形螺纹,ju'xing'luo'wen
矩形牙嵌式离合器,ju'xing'ya'qian'shi'li'he'qi
绝对尺寸系数,jue'dui'chi'cun'xi'shu
掘进二队,jue'jin'er'dui
掘进一队,jue'jin'yi'dui
均衡装置,jun'heng'zhuang'zhi
卡盘,ka'pan
开槽沉头螺钉,kai'cao'chen'tou'luo'ding
开槽圆柱头螺钉,kai'cao'yuan'zhu'tou'luo'ding
开槽锥端紧定螺钉,kai'cao'zhui'duan'jin'ding'luo'ding
开口传动,kai'kou'chuan'dong
开口销,kai'kou'xiao
开链机构,kai'lian'ji'gou
开式链,kai'shi'lian
可编程序逻辑控制器,ke'bian'cheng'xu'luo'ji'kong'zhi'qi
可见棱边线,ke'jian'leng'bian'xian
可见轮廓线,ke'jian'lun'kuo'xian
可靠性,ke'kao'xing
可靠性设计,ke'kao'xing'she'ji
孔加工,kong'jia'gong
空间机构,kong'jian'ji'gou
空间连杆机构,kong'jian'lian'gan'ji'gou
空间凸轮机构,kong'jian'tu'lun'ji'gou
空间运动副,kong'jian'yun'dong'fu
空间运动链,kong'jian'yun'dong'lian
空气弹簧,kong'qi'tan'huang
孔系分布中心线,kong'xi'fen'bu'zhong'xin'xian
跨棒距,kua'bang'ju
宽度系列,kuan'du'xi'lie
矿井避灾路线图,kuang'jing'bi'zai'lu'xian'tu
矿井通风系统图,kuang'jing'tong'feng'xi'tong'tu
矿井瓦斯,kuang'jing'wa'si
拉床,la'chuang
拉孔,la'kong
拉伸,la'shen
冷加工,leng'jia'gong
冷作硬化,leng'zuo'ying'hua
力多边形,li'duo'bian'xing
力封闭型凸轮机构,li'feng'bi'xing'tu'lun'ji'gou
离合器,li'he'qi
力角,li'jiao
力矩,li'ju
力矩接触器,li'ju'jie'chu'qi
理论廓线,li'lun'kuo'xian
理论啮合线,li'lun'nie'he'xian
理论外径,li'lun'wai'jing
理论装配据,li'lun'zhuang'pei'ju
力偶,li'ou
力偶矩,li'ou'ju
力平衡,li'ping'heng
离心力,li'xin'li
离心密封,li'xin'mi'feng
链传动装置,lian'chuan'dong'zhuang'zhi
连杆,lian'gan
连杆机构,lian'gan'ji'gou
连杆曲线,lian'gan'qu'xian
联结,lian'jie
连接线段,lian'jie'xian'duan
链轮,lian'lun
连心线,lian'xin'xian
联轴器,lian'zhou'qi
两维凸轮,liang'wei'tu'lun
临界转速,lin'jie'zhuan'su
零号图纸,ling'hao'tu'zhi
零件图,ling'jian'tu
零线,ling'xian
六杆机构,liu'gan'ji'gou
六角头螺栓,liu'jiao'tou'luo'shuan
流体动力学,liu'ti'dong'li'xue
流体力学,liu'ti'li'xue
龙门刨削,long'men'bao'xue
逯长岭,lu'chang'ling
螺钉,luo'ding
螺杆,luo'gan
螺距,luo'ju
螺母,luo'mu
螺栓,luo'shuan
螺纹,luo'wen
螺纹导程,luo'wen'dao'cheng
螺纹加工,luo'wen'jia'gong
螺纹效率,luo'wen'xiao'lv
螺纹牙底线,luo'wen'ya'di'xian
螺纹牙顶线,luo'wen'ya'ding'xian
螺旋传动,luo'xuan'chuan'dong
螺旋副,luo'xuan'fu
螺旋机构,luo'xuan'ji'gou
螺旋角,luo'xuan'jiao
螺旋密封,luo'xuan'mi'feng
螺旋线,luo'xuan'xian
螺旋锥齿轮,luo'xuan'zhui'chi'lun
马耳他机构,ma'er'ta'ji'gou
马耳他十字,ma'er'ta'shi'zi
脉动无级变速,mai'dong'wu'ji'bian'su
脉动循环应力,mai'dong'xun'huan'ying'li
脉动载荷,mai'dong'zai'he
铆钉,mao'ding
毛坯图,mao'pi'tu
密封,mi'feng
密封带,mi'feng'dai
密封元件,mi'feng'yuan'jian
迷宫密封,mi'gong'mi'feng
面对面安装,mian'dui'mian'an'zhuang
面轮廓度,mian'lun'kuo'du
面锥顶点距,mian'zhui'ding'dian'ju
面锥距,mian'zhui'ju
明细栏,ming'xi'lan
名义应力,ming'yi'ying'li
摩擦,mo'ca
摩擦角,mo'ca'jiao
摩擦力,mo'ca'li
摩擦力矩,mo'ca'li'ju
摩擦系数,mo'ca'xi'shu
摩擦学设计,mo'ca'xue'she'ji
摩擦圆,mo'ca'yuan
磨床,mo'chuang
末端执行器,mo'duan'zhi'xing'qi
模幅箱,mo'fu'xiang
模糊评价,mo'hu'ping'jia
模块式传动系统,mo'kuai'shi'chuan'dong'xi'tong
磨粒,mo'li
模数,mo'shu
磨损,mo'sun
耐磨性,nai'mo'xing
耐用度,nai'yong'du
挠性机构,nao'xing'ji'gou
挠性转子,nao'xing'zhuan'zi
内齿轮,nei'chi'lun
内齿圈,nei'chi'quan
内力,nei'li
内螺纹,nei'luo'wen
内圆磨削,nei'yuan'mo'xue
能量指示图,neng'liang'zhi'shi'tu
啮出,nie'chu
啮合,nie'he
啮合点,nie'he'dian
啮合角,nie'he'jiao
啮合线,nie'he'xian
啮合线长度,nie'he'xian'chang'du
啮入,nie'ru
扭簧,niu'huang
扭矩,niu'ju
扭力,niu'li
盘形凸轮,pan'xing'tu'lun
盘形转子,pan'xing'zhuan'zi
抛物线运动,pao'wu'xian'yun'dong
疲劳点蚀,pi'lao'dian'shi
疲劳极限,pi'lao'ji'xian
疲劳强度,pi'lao'qiang'du
偏距圆,pian'ju'yuan
偏心距,pian'xin'ju
偏心率,pian'xin'lv
偏心质量,pian'xin'zhi'liang
偏置滚子从动件,pian'zhi'gun'zi'cong'dong'jian
偏置尖底从动件,pian'zhi'jian'di'cong'dong'jian
偏置距,pian'zhi'ju
偏置曲柄滑块机构,pian'zhi'qu'bing'hua'kuai'ji'gou
偏置式,pian'zhi'shi
平带,ping'dai
平带传动,ping'dai'chuan'dong
平刀,ping'dao
平底从动件,ping'di'cong'dong'jian
平底刀,ping'di'dao
平底宽度,ping'di'kuan'du
平衡,ping'heng
平衡品质,ping'heng'pin'zhi
平衡平面,ping'heng'ping'mian
平衡质量,ping'heng'zhi'liang
平衡转速,ping'heng'zhuan'su
评价与决策,ping'jia'yu'jue'ce
平均压力角,ping'jun'ya'li'jiao
平均应力,ping'jun'ying'li
平均中径,ping'jun'zhong'jing
平面,ping'mian
平面副,ping'mian'fu
平面机构,ping'mian'ji'gou
平面连杆机构,ping'mian'lian'gan'ji'gou
平面磨削,ping'mian'mo'xue
平面凸轮机构,ping'mian'tu'lun'ji'gou
平面运动副,ping'mian'yun'dong'fu
平面轴斜齿轮,ping'mian'zhou'xie'chi'lun
平行两直线,ping'xing'liang'zhi'xian
平行投影法,ping'xing'tou'ying'fa
坡口面角度,po'kou'mian'jiao'du
坡口深度,po'kou'shen'du
剖切线,pou'qie'xian
剖视图,pou'shi'tu
普通平键,pu'tong'ping'jian
气动机构,qi'dong'ji'gou
气动夹紧,qi'dong'jia'jin
起动阶段,qi'dong'jie'duan
启动力矩,qi'dong'li'ju
起模斜度,qi'mo'xie'du
起升机构,qi'sheng'ji'gou
起始啮合点,qi'shi'nie'he'dian
起始圆直径,qi'shi'yuan'zhi'jing
其他常用机构,qi'ta'chang'yong'ji'gou
气体轴承,qi'ti'zhou'cheng
奇异位置,qi'yi'wei'zhi
起重量,qi'zhong'liang
铅垂面,qian'chui'mian
前刀面,qian'dao'mian
千分尺,qian'fen'chi
钳工,qian'gong
前角,qian'jiao
嵌入键,qian'ru'jian
切齿深度,qie'chi'shen'du
切线,qie'xian
切削深度,qie'xiao'shen'du
球刀,qiu'dao
球面副,qiu'mian'fu
球面滚子,qiu'mian'gun'zi
球面渐开线,qiu'mian'jian'kai'xian
球销副,qiu'xiao'fu
球轴承,qiu'zhou'cheng
球坐标操作器,qiu'zuo'biao'cao'zuo'qi
曲柄,qu'bing
曲柄存在条件,qu'bing'cun'zai'tiao'jian
曲柄导杆机构,qu'bing'dao'gan'ji'gou
曲柄滑块机构,qu'bing'hua'kuai'ji'gou
曲柄摇杆机构,qu'bing'yao'gan'ji'gou
曲齿锥齿轮,qu'chi'zhui'chi'lun
驱动力,qu'dong'li
驱动力矩,qu'dong'li'ju
曲率,qu'lv
曲面从动件,qu'mian'cong'dong'jian
曲线拼接,qu'xian'pin'jie
全齿高,quan'chi'gao
全剖视图,quan'pou'shi'tu
全跳动,quan'tiao'dong
热处理,re'chu'li
热加工,re'jia'gong
人字齿轮,ren'zi'chi'lun
熔核直径,rong'he'zhi'jing
冗余自由度,rong'yu'zi'you'du
柔轮,rou'lun
柔性冲击,rou'xing'chong'ji
柔性自动化,rou'xing'zi'dong'hua
润滑,run'hua
润滑剂,run'hua'ji
润滑装置,run'hua'zhuang'zhi
三号图纸,san'hao'tu'zhi
三角形花键,san'jiao'xing'hua'jian
三角形螺纹,san'jiao'xing'luo'wen
三维凸轮,san'wei'tu'lun
