把老子奉为,ba'lao'zi'feng'wei
为老子所作,wei'lao'zi'suo'zuo
为民作主,wei'min'zuo'zhu
为首的,wei'shou'de
文化的发展,wen'hua'de'fa'zhan
问礼,wen'li
我们认真研究,wo'men'ren'zhen'yan'jiu
无名天地之始,wu'ming'tian'di'zhi'shi
五千余言,wu'qian'yu'yan
无先后之分,wu'xian'hou'zhi'fen
无学,wu'xue
无射钟,wu'yi'zhong
下可以警示来者,xia'ke'yi'jing'shi'lai'zhe
先汉史料的,xian'han'shi'liao'de
写的文章,xie'de'wen'zhang
姓李名耳,xing'li'ming'er
宣市哲人之令德,xuan'shi'zhe'ren'zhi'ling'de
玄之又玄,xuan'zhi'you'xuan
掩盖了,yan'gai'le
野蛮残杀,ye'man'can'sha
也因为钟上的律文,ye'yin'wei'zhong'shang'de'lv'wen
一场以,yi'chang'yi
一次重大的历史事件,yi'ci'zhong'da'de'li'shi'shi'jian
以及老子的其人,yi'ji'lao'zi'de'qi'ren
以其上求生之厚,yi'qi'shang'qiu'sheng'zhi'hou
以其上食税之多,yi'qi'shang'shi'shui'zhi'duo
一切事物,yi'qie'shi'wu
一生二,yi'sheng'er
一书是否,yi'shu'shi'fou
一书也称,yi'shu'ye'cheng
一说即老聃,yi'shuo'ji'lao'dan
一说老子即,yi'shuo'lao'zi'ji
一下老子,yi'xia'lao'zi
一种慰藉,yi'zhong'wei'jie
一桩最大,yi'zhuang'zui'da
引发了,yin'fa'le
隐居到边关,yin'ju'dao'bian'guan
因为这一年,yin'wei'zhe'yi'nian
用汉武帝下属司马迁,yong'han'wu'di'xia'shu'si'ma'qian
有过慝之度,you'guo'te'zhi'du
有狂悖之言,you'kuang'bei'zhi'yan
有名万物之母,you'ming'wan'wu'zhi'mu
有生于无,you'sheng'yu'wu
有无相生,you'wu'xiang'sheng
有眩惑之明,you'xuan'huo'zhi'ming
又以为,you'yi'wei
有意义的,you'yi'yi'de
由于公元前,you'yu'gong'yuan'qian
在边关,zai'bian'guan
在改革开放的今天,zai'gai'ge'kai'fang'de'jin'tian
在先的差别,zai'xian'de'cha'bie
造成了帛书抄本,zao'cheng'le'bo'shu'chao'ben
战国纷争,zhan'guo'fen'zheng
战国时期的,zhan'guo'shi'qi'de
这个历史奇迹,zhe'ge'li'shi'qi'ji
这在先秦的,zhe'zai'xian'qin'de
政变是,zheng'bian'shi
正反两面,zheng'fan'liang'mian
正复为奇,zheng'fu'wei'qi
正因为以上的原因,zheng'yin'wei'yi'shang'de'yuan'yin
至今仍无法确定,zhi'jin'reng'wu'fa'que'ding
至少在战国中前期,zhi'shao'zai'zhan'guo'zhong'qian'qi
之统一,zhi'tong'yi
职于周景王时,zhi'yu'zhou'jing'wang'shi
中的普通,zhong'de'pu'tong
中国的神,zhong'guo'de'shen
中国人的,zhong'guo'ren'de
中国这头雄狮,zhong'guo'zhe'tou'xiong'shi
中华的,zhong'hua'de
中记载,zhong'ji'zai
众妙之门,zhong'miao'zhi'men
重要工作,zhong'yao'gong'zuo
周朝变法的纲领,zhou'chao'bian'fa'de'gang'ling
周朝不学周礼,zhou'chao'bu'xue'zhou'li
周朝春秋末期所谓的,zhou'chao'chun'qiu'mo'qi'suo'wei'de
周朝将亡,zhou'chao'jiang'wang
周朝理想,zhou'chao'li'xiang
周朝末期,zhou'chao'mo'qi
周王室的,zhou'wang'shi'de
周行而不殆,zhou'xing'er'bu'dai
主笔周朝变法纲领,zhu'bi'zhou'chao'bian'fa'gang'ling
诸多古籍,zhu'duo'gu'ji
铸无射,zhu'wu'yi
字伯阳,zi'bo'yang
最初老子书称为,zui'chu'lao'zi'shu'cheng'wei
作出了重要贡献,zuo'chu'le'zhong'yao'gong'xian
做过周朝,zuo'guo'zhou'chao
