鹌鹑蛋,an'chun'dan
冬瓜糖,dong'gua'tang
冻鸡翅尖,dong'ji'chi'jian
冻沙松尖,dong'sha'song'jian
冬笋,dong'sun
冬枣,dong'zao
豆瓣酱,dou'ban'jiang
豆瓣酱桶,dou'ban'jiang'tong
豆豉鲮鱼听,dou'chi'ling'yu'ting
豆腐,dou'fu
豆腐菜,dou'fu'cai
豆腐干,dou'fu'gan
豆腐皮,dou'fu'pi
豆腐皮鲜,dou'fu'pi'xian
豆腐丝,dou'fu'si
豆尖,dou'jian
豆浆袋,dou'jiang'dai
豆芽,dou'ya
豆芽菜黄绿,dou'ya'cai'huang'lv
豆芽去头尾,dou'ya'qu'tou'wei
独蒜米,du'suan'mi
多味香辣酱桶装,duo'wei'xiang'la'jiang'tong'zhuang
鹅肠,e'chang
鹅翅,e'chi
鹅掌,e'zhang
儿菜,er'cai
饵丝,er'si
法香,fa'xiang
番茄,fan'qie
番西,fan'xi
番杏,fan'xing
肺菜,fei'cai
肥肠,fei'chang
肥肉,fei'rou
粉葛,fen'ge
粉丝,fen'si
风车生粉袋,feng'che'sheng'fen'dai
蜂蜜瓶,feng'mi'ping
丰水梨,feng'shui'li
风味豆豉,feng'wei'dou'chi
蜂窝肚,feng'wo'du
腐乳瓶,fu'ru'ping
斧头食粉袋,fu'tou'shi'fen'dai
腐竹,fu'zhu
盖菜,gai'cai
干巴,gan'ba
干巴菌拌韭菜花,gan'ba'jun'ban'jiu'cai'hua
甘草粉,gan'cao'fen
干茶树菇,gan'cha'shu'gu
干葱头,gan'cong'tou
干大葱,gan'da'cong
干豆,gan'dou
干豆腐,gan'dou'fu
干豆腐皮,gan'dou'fu'pi
干海带,gan'hai'dai
干猴头菇,gan'hou'tou'gu
干黄豆,gan'huang'dou
干黄花菜,gan'huang'hua'cai
干鸡油菌,gan'ji'you'jun
干辣椒,gan'la'jiao
干辣子段,gan'la'zi'duan
干面条,gan'mian'tiao
干木耳,gan'mu'er
干牛肝菌,gan'niu'gan'jun
干秋白辣椒,gan'qiu'bai'la'jiao
干沙姜,gan'sha'jiang
干香菇,gan'xiang'gu
干银耳,gan'yin'er
高达椰酱听,gao'da'ye'jiang'ting
蛤蚧,ge'jie
贡橘,gong'ju
枸杞叶,gou'qi'ye
枸杞子,gou'qi'zi
古越龙山花雕酒瓶,gu'yue'long'shan'hua'diao'jiu'ping
广菜心,guang'cai'xin
广东黑宗鹅,guang'dong'hei'zong'e
广东节瓜,guang'dong'jie'gua
广东腊肉,guang'dong'la'rou
广东凉瓜,guang'dong'liang'gua
广东米酒瓶,guang'dong'mi'jiu'ping
广东南姜,guang'dong'nan'jiang
广东丝瓜,guang'dong'si'gua
广东小唐菜,guang'dong'xiao'tang'cai
广东盐焗香料包,guang'dong'yan'ju'xiang'liao'bao
广合腐乳瓶,guang'he'fu'ru'ping
广芥兰,guang'jie'lan
广味香肠,guang'wei'xiang'chang
广西三黄鸡,guang'xi'san'huang'ji
广祥泰老抽瓶,guang'xiang'tai'lao'chou'ping
光鸭,guang'ya
桂林辣椒酱瓶,gui'lin'la'jiao'jiang'ping
桂圆肉,gui'yuan'rou
国产车厘子,guo'chan'che'li'zi
国产红提,guo'chan'hong'ti
国产芒果,guo'chan'mang'guo
国产猕猴桃,guo'chan'mi'hou'tao
国产青提,guo'chan'qing'ti
国泰牌鸡精袋,guo'tai'pai'ji'jing'dai
哈密瓜,ha'mi'gua
海白菜,hai'bai'cai
海菜,hai'cai
海带块,hai'dai'kuai
海带丝,hai'dai'si
海马,hai'ma
海参皮,hai'shen'pi
海天草菇老抽升,hai'tian'cao'gu'lao'chou'sheng
海天金标生抽瓶,hai'tian'jin'biao'sheng'chou'ping
海天金标生抽升,hai'tian'jin'biao'sheng'chou'sheng
海蜇皮,hai'zhe'pi
海蜇丝,hai'zhe'si
韩国幼砂糖,han'guo'you'sha'tang
好肥肉,hao'fei'rou
豪吉鸡精包,hao'ji'ji'jing'bao
好磨肉,hao'mo'rou
河粉包,he'fen'bao
荷兰豆,he'lan'dou
核桃花,he'tao'hua
核桃仁,he'tao'ren
核桃仁包,he'tao'ren'bao
黑大头,hei'da'tou
黑豆腐干,hei'dou'fu'gan
黒椒碎甄想记瓶,hei'jiao'sui'zhen'xiang'ji'ping
黑鲢鱼,hei'lian'yu
黑美人西瓜,hei'mei'ren'xi'gua
黑木耳最好,hei'mu'er'zui'hao
红彩椒,hong'cai'jiao
红菜苔,hong'cai'tai
红车厘子瓶,hong'che'li'zi'ping
红葱头,hong'cong'tou
红豆,hong'dou
红豆米,hong'dou'mi
红豆沙,hong'dou'sha
红饭豆,hong'fan'dou
红旱菜,hong'han'cai
红花生米,hong'hua'sheng'mi
红尖椒,hong'jian'jiao
红莲蓉,hong'lian'rong
红玫瑰,hong'mei'gui
红皮萝卜,hong'pi'luo'bo
红皮青蒜,hong'pi'qing'suan
红曲米,hong'qu'mi
红山药,hong'shan'yao
红参须,hong'shen'xu
红薯,hong'shu
红糖,hong'tang
红糖散,hong'tang'san
红提,hong'ti
红细尖椒,hong'xi'jian'jiao
红小番茄,hong'xiao'fan'qie
红小米菜,hong'xiao'mi'cai
红小米辣,hong'xiao'mi'la
红小蔷薇把,hong'xiao'qiang'wei'ba
红洋葱,hong'yang'cong
红枣,hong'zao
红皱皮椒,hong'zhou'pi'jiao
红皱青椒,hong'zhou'qing'jiao
后腿肉,hou'tui'rou
后腿肉磨,hou'tui'rou'mo
后腿肉片,hou'tui'rou'pian
后腿瘦肉,hou'tui'shou'rou
后肘,hou'zhou
胡椒粉,hu'jiao'fen
胡椒粉包,hu'jiao'fen'bao
胡辣椒粉,hu'la'jiao'fen
胡芦瓜,hu'lu'gua
葫芦瓜,hu'lu'gua
胡萝卜,hu'luo'bo
虎掌菌,hu'zhang'jun
花边生菜,hua'bian'sheng'cai
花边生菜唐生菜,hua'bian'sheng'cai'tang'sheng'cai
花垫纸包,hua'dian'zhi'bao
花椒,hua'jiao
花椒叶,hua'jiao'ye
花鲢鱼头,hua'lian'yu'tou
花皮西瓜,hua'pi'xi'gua
花旗参,hua'qi'shen
花生,hua'sheng
华曦牌白皮鸡蛋,hua'xi'pai'bai'pi'ji'dan
华曦牌黄皮鸡蛋,hua'xi'pai'huang'pi'ji'dan
黄彩椒,huang'cai'jiao
皇帝贡橘,huang'di'gong'ju
皇帝蕉,huang'di'jiao
黄豆,huang'dou
黄豆腐,huang'dou'fu
黄豆腐干,huang'dou'fu'gan
黄豆调和油,huang'dou'tiao'he'you
黄豆芽,huang'dou'ya
黄瓜,huang'gua
黄喉,huang'hou
黄姜,huang'jiang
黄金大饼,huang'jin'da'bing
黄金梨,huang'jin'li
黄柠檬,huang'ning'meng
黄杞子,huang'qi'zi
黄秋葵,huang'qiu'kui
黄香瓜,huang'xiang'gua
黄小番茄,huang'xiao'fan'qie
黄心洋芋,huang'xin'yang'yu
灰蛋,hui'dan
灰蛋个,hui'dan'ge
灰挑菜,hui'tiao'cai
茴香,hui'xiang
茴香尖,hui'xiang'jian
火锅面件,huo'guo'mian'jian
火鸡,huo'ji
火碱,huo'jian
火龙果,huo'long'guo
霍香,huo'xiang
荠菜,ji'cai
鸡蛋,ji'dan
鸡骨架件,ji'gu'jia'jian
鸡脚,ji'jiao
鸡脚仔,ji'jiao'zai
鸡精袋,ji'jing'dai
鸡脯肉,ji'pu'rou
脊肉,ji'rou
鸡肉精膏瓶,ji'rou'jing'gao'ping
鸡腿,ji'tui
鸡腿菇,ji'tui'gu
鸡腿件,ji'tui'jian
鸡小腿,ji'xiao'tui
鸡血,ji'xue
鸡油,ji'you
鸡油菌,ji'you'jun
鲫鱼,ji'yu
鸡胗,ji'zhen
荚豆,jia'dou
家乐辣鲜露瓶,jia'le'la'xian'lu'ping
家乐栗粉包,jia'le'li'fen'bao
家乐浓缩鸡汁瓶,jia'le'nong'suo'ji'zhi'ping
家乐牌鲜露瓶,jia'le'pai'xian'lu'ping
家乐松肉粉包,jia'le'song'rou'fen'bao
家乐蒜香粉包,jia'le'suan'xiang'fen'bao
家兔,jia'tu
夹心饼干,jia'xin'bing'gan
甲鱼,jia'yu
甲鱼裙边,jia'yu'qun'bian
建淋弥渡腌菜袋,jian'lin'mi'du'yan'cai'dai
尖青椒,jian'qing'jiao
姜饼瓜,jiang'bing'gua
豇豆,jiang'dou
姜豆豉,jiang'dou'chi
姜丝碎泡椒,jiang'si'sui'pao'jiao
茭瓜,jiao'gua
芥饼,jie'bing
杰厨豆豉老干妈,jie'chu'dou'chi'lao'gan'ma
劲霸橙汁瓶,jin'ba'cheng'zhi'ping
劲霸鸡肉汁瓶,jin'ba'ji'rou'zhi'ping
劲霸柠檬汁瓶,jin'ba'ning'meng'zhi'ping
劲霸牛肉汁瓶,jin'ba'niu'rou'zhi'ping
金耳,jin'er
金刚豆,jin'gang'dou
金瓜,jin'gua
金花菜,jin'hua'cai
金华火腿,jin'hua'huo'tui
金花梨,jin'hua'li
金奖白兰地瓶,jin'jiang'bai'lan'di'ping
金芥,jin'jie
金桔,jin'ju
金橘,jin'ju
进口白味盐瓶,jin'kou'bai'wei'yan'ping
进口车厘子,jin'kou'che'li'zi
进口鹅掌件,jin'kou'e'zhang'jian
进口红蛇,jin'kou'hong'she
进口红提,jin'kou'hong'ti
进口鸡翅,jin'kou'ji'chi
进口猕猴桃,jin'kou'mi'hou'tao
进口木瓜,jin'kou'mu'gua
进口柠檬,jin'kou'ning'meng
进口青蛇,jin'kou'qing'she
进口青提,jin'kou'qing'ti
进口香蕉,jin'kou'xiang'jiao
金龙花生油桶,jin'long'hua'sheng'you'tong
金龙鱼调和油,jin'long'yu'tiao'he'you
金钱肚,jin'qian'du
金雀花,jin'que'hua
金象面粉袋,jin'xiang'mian'fen'dai
锦珍豆瓣酱桶,jin'zhen'dou'ban'jiang'tong
金针菇,jin'zhen'gu
金针菇包,jin'zhen'gu'bao
锦珍老抽瓶,jin'zhen'lao'chou'ping
锦珍老抽桶,jin'zhen'lao'chou'tong
金钻甜奶油瓶,jin'zuan'tian'nai'you'ping
京白菜,jing'bai'cai
净板油,jing'ban'you
净肠头,jing'chang'tou
净肠头去油,jing'chang'tou'qu'you
净大葱,jing'da'cong
净豆尖,jing'dou'jian
净后腿肉,jing'hou'tui'rou
荆芥,jing'jie
净瘦肉,jing'shou'rou
净笋头,jing'sun'tou
净西兰花,jing'xi'lan'hua
韭菜,jiu'cai
韭菜根,jiu'cai'gen
韭菜花干巴菌,jiu'cai'hua'gan'ba'jun
韭菜苔,jiu'cai'tai
韭黄,jiu'huang
九江双蒸酒瓶,jiu'jiang'shuang'zheng'jiu'ping
巨丰葡萄,ju'feng'pu'tao
菊花菜,ju'hua'cai
卷粉,juan'fen
卷毛韭菜,juan'mao'jiu'cai
卷毛韭黄,juan'mao'jiu'huang
厥根粉袋,jue'gen'fen'dai
卡夫奇妙酱瓶,ka'fu'qi'miao'jiang'ping
咖俐果,ka'li'guo
康乃馨把,kang'nai'xin'ba
康乃馨朵,kang'nai'xin'duo
烤紫菜袋,kao'zi'cai'dai
空心菜,kong'xin'cai
空心菜通菜,kong'xin'cai'tong'cai
口罩盒,kou'zhao'he
苦刺花,ku'ci'hua
苦瓜,ku'gua
苦凉菜,ku'liang'cai
苦子果,ku'zi'guo
奎叶把,kui'ye'ba
辣椒面,la'jiao'mian
拉皮,la'pi
辣子尖,la'zi'jian
兰花,lan'hua
兰花把,lan'hua'ba
兰花包,lan'hua'bao
老陈醋瓶,lao'chen'cu'ping
老抽瓶,lao'chou'ping
老豆腐,lao'dou'fu
老干妈水豆豉,lao'gan'ma'shui'dou'chi
老干妈水豆豉瓶,lao'gan'ma'shui'dou'chi'ping
老干妈油豆豉瓶,lao'gan'ma'you'dou'chi'ping
老姜,lao'jiang
老酱,lao'jiang
老母鸡,lao'mu'ji
老南瓜,lao'nan'gua
老婆饼,lao'po'bing
老生姜,lao'sheng'jiang
老土鸡,lao'tu'ji
老香芋,lao'xiang'yu
老鸭,lao'ya
荔蒿,li'hao
黎蒿,li'hao
黎红花椒油瓶,li'hong'hua'jiao'you'ping
里脊肉,li'ji'rou
李锦记财神耗油瓶,li'jin'ji'cai'shen'hao'you'ping
李锦记叉烧酱瓶,li'jin'ji'cha'shao'jiang'ping
李锦记豆瓣酱瓶,li'jin'ji'dou'ban'jiang'ping
李锦记海鲜酱瓶,li'jin'ji'hai'xian'jiang'ping
李锦记精选生抽桶,li'jin'ji'jing'xuan'sheng'chou'tong
李锦记旧庄耗油瓶,li'jin'ji'jiu'zhuang'hao'you'ping
李锦记排骨酱瓶,li'jin'ji'pai'gu'jiang'ping
李锦记蒜蓉酱瓶,li'jin'ji'suan'rong'jiang'ping
李锦记虾酱瓶,li'jin'ji'xia'jiang'ping
李锦记蒸鱼豉油瓶,li'jin'ji'zheng'yu'chi'you'ping
李锦记柱候酱瓶,li'jin'ji'zhu'hou'jiang'ping
李派林急汁瓶,li'pai'lin'ji'zhi'ping
荔浦芋头,li'pu'yu'tou
荔蒲芋头,li'pu'yu'tou
鲤鱼,li'yu
荔枝,li'zhi
莲花白,lian'hua'bai
莲藕,lian'ou
凉瓜,liang'gua
辽宁骨髓浸膏瓶,liao'ning'gu'sui'jin'gao'ping
灵芝,ling'zhi
榴莲,liu'lian
龙凤花卷袋,long'feng'hua'juan'dai
龙骨,long'gu
龙口粉丝袋,long'kou'fen'si'dai
龙眼,long'yan
龙眼菜,long'yan'cai
龙爪菜,long'zhua'cai
龙爪菜蕨菜,long'zhua'cai'jue'cai
卤豆腐干,lu'dou'fu'gan
鲁花花生油桶,lu'hua'hua'sheng'you'tong
芦荟,lu'hui
卤牛肉,lu'niu'rou
芦笋,lu'sun
罗拔鱼胶粉桶,luo'ba'yu'jiao'fen'tong
萝卜干,luo'bo'gan
罗非鱼,luo'fei'yu
罗汉果个,luo'han'guo'ge
罗汉笋包,luo'han'sun'bao
罗平黄姜,luo'ping'huang'jiang
绿车厘子瓶,lv'che'li'zi'ping
绿豆芽,lv'dou'ya
绿芹菜,lv'qin'cai
绿细尖椒,lv'xi'jian'jiao
绿小米菜,lv'xiao'mi'cai
绿小米辣,lv'xiao'mi'la
麻辣酱桶装,ma'la'jiang'tong'zhuang
麻辣萝卜干,ma'la'luo'bo'gan
马奶葡萄,ma'nai'pu'tao
马蹄,ma'ti
马蹄菜,ma'ti'cai
马蹄肉,ma'ti'rou
麦芽糖瓶,mai'ya'tang'ping
满天星把,man'tian'xing'ba
毛豆米,mao'dou'mi
毛芋头,mao'yu'tou
玫瑰花朵,mei'gui'hua'duo
美极鲜味汁瓶,mei'ji'xian'wei'zhi'ping
美玫面粉袋,mei'mei'mian'fen'dai
美人椒,mei'ren'jiao
蜜豆,mi'dou
蜜豆甜脆豆,mi'dou'tian'cui'dou
弥渡腌菜,mi'du'yan'cai
弥渡腌菜件,mi'du'yan'cai'jian
蜜桔,mi'ju
米线,mi'xian
蜜柚,mi'you
面包改良剂包,mian'bao'gai'liang'ji'bao
面包糠包,mian'bao'kang'bao
面包糖包,mian'bao'tang'bao
妙多咖喱膏瓶,miao'duo'ga'li'gao'ping
磨豉酱瓶,mo'chi'jiang'ping
磨后腿肉,mo'hou'tui'rou
茉莉花,mo'li'hua
磨前腿肉,mo'qian'tui'rou
墨茄子,mo'qie'zi
磨芋豆腐,mo'yu'dou'fu
魔芋豆腐,mo'yu'dou'fu
木耳菜,mu'er'cai
木瓜,mu'gua
木瓜件,mu'gua'jian
奶粉袋,nai'fen'dai
南北杏,nan'bei'xing
南瓜,nan'gua
南瓜饼,nan'gua'bing
南瓜饼件,nan'gua'bing'jian
南瓜尖,nan'gua'jian
南姜,nan'jiang
南京豆,nan'jing'dou
腩排,nan'pai
南乳瓶,nan'ru'ping
内脂豆腐盒,nei'zhi'dou'fu'he
内酯豆腐盒,nei'zhi'dou'fu'he
嫩豆腐,nen'dou'fu
嫩小苦菜,nen'xiao'ku'cai
泥藕,ni'ou
泥鳅大,ni'qiu'da
泥鳅小,ni'qiu'xiao
柠檬黄色素瓶,ning'meng'huang'se'su'ping
牛背筋,niu'bei'jin
牛饭盒,niu'fan'he
牛干巴,niu'gan'ba
牛建子,niu'jian'zi
牛霖,niu'lin
牛腩,niu'nan
牛皮菜,niu'pi'cai
牛肉,niu'rou
牛肉球,niu'rou'qiu
牛舌,niu'she
牛腿瓜,niu'tui'gua
牛腿肉,niu'tui'rou
牛尾汤瓶,niu'wei'tang'ping
牛心,niu'xin
牛油,niu'you
牛展,niu'zhan
糯米,nuo'mi
排骨,pai'gu
排骨肉,pai'gu'rou
潘泰甜辣鸡酱瓶,pan'tai'tian'la'ji'jiang'ping
攀枝花,pan'zhi'hua
攀枝花袋,pan'zhi'hua'dai
胖豆芽,pang'dou'ya
泡大蒜,pao'da'suan
泡大蒜件,pao'da'suan'jian
泡豆角,pao'dou'jiao
泡芙,pao'fu
泡高原红小米辣件,pao'gao'yuan'hong'xiao'mi'la'jian
泡高原绿小米辣件,pao'gao'yuan'lv'xiao'mi'la'jian
泡红椒,pao'hong'jiao
泡红小米辣,pao'hong'xiao'mi'la
泡姜,pao'jiang
泡豇豆,pao'jiang'dou
泡姜片,pao'jiang'pian
泡椒,pao'jiao
泡藠头,pao'jiao'tou
泡绿小米辣,pao'lv'xiao'mi'la
椪柑,peng'gan
捧瓜,peng'gua
皮蛋个,pi'dan'ge
枇杷,pi'pa
郫县豆瓣酱桶装,pi'xian'dou'ban'jiang'tong'zhuang
漂白水,piao'bai'shui
瓢瓜,piao'gua
飘香鸡只,piao'xiang'ji'zhi
苤兰,pie'lan
苤蓝,pie'lan
苹果,ping'guo
普宁豆酱瓶,pu'ning'dou'jiang'ping
葡萄干,pu'tao'gan
普通鹅掌件,pu'tong'e'zhang'jian
普通饵块个,pu'tong'er'kuai'ge
七甸老酱,qi'dian'lao'jiang
七甸卤腐小罐,qi'dian'lu'fu'xiao'guan
七甸卤腐小瓶件,qi'dian'lu'fu'xiao'ping'jian
七甸卤腐中罐,qi'dian'lu'fu'zhong'guan
七甸散装卤腐,qi'dian'san'zhuang'lu'fu
前腿肉,qian'tui'rou
前肘,qian'zhou
茄汁瓶,qie'zhi'ping
茄子,qie'zi
茄子榨,qie'zi'zha
茄子渣,qie'zi'zha
芹菜,qin'cai
青菜心,qing'cai'xin
青蚕豆米,qing'can'dou'mi
青葱,qing'cong
青豆角,qing'dou'jiao
青花菜,qing'hua'cai
青尖椒,qing'jian'jiao
青柠檬,qing'ning'meng
青蒜苗,qing'suan'miao
青蒜叶,qing'suan'ye
青笋,qing'sun
青笋尖,qing'sun'jian
青小米辣,qing'xiao'mi'la
青枣,qing'zao
去骨鸭掌皮包,qu'gu'ya'zhang'pi'bao
去壳蚕豆,qu'ke'can'dou
去皮包谷棒,qu'pi'bao'gu'bang
去皮荸荠,qu'pi'bi'qi
去皮后腿肉,qu'pi'hou'tui'rou
去皮姜,qu'pi'jiang
去皮茭瓜,qu'pi'jiao'gua
去皮老姜,qu'pi'lao'jiang
去皮毛芋头,qu'pi'mao'yu'tou
去皮南瓜,qu'pi'nan'gua
去皮前腿肉,qu'pi'qian'tui'rou
去皮青笋,qu'pi'qing'sun
去皮山药,qu'pi'shan'yao
去皮五花肉,qu'pi'wu'hua'rou
去皮洋芋,qu'pi'yang'yu
全支猪脚,quan'zhi'zhu'jiao
雀巢奶粉包,que'chao'nai'fen'bao
雀豆,que'dou
人工菌,ren'gong'jun
人参菜,ren'shen'cai
日本豆腐,ri'ben'dou'fu
日本豆腐件,ri'ben'dou'fu'jian
日本豆腐条,ri'ben'dou'fu'tiao
日本青介辣瓶,ri'ben'qing'jie'la'ping
日本盛清酒瓶,ri'ben'sheng'qing'jiu'ping
日本生鱼寿司酱油瓶,ri'ben'sheng'yu'shou'si'jiang'you'ping
日本小黄瓜,ri'ben'xiao'huang'gua
日落红色素瓶,ri'luo'hong'se'su'ping
肉鸡,rou'ji
乳饼,ru'bing
乳鸽只,ru'ge'zhi
乳扇,ru'shan
乳羊,ru'yang
软排骨,ruan'pai'gu
三花淡奶包,san'hua'dan'nai'bao
三黄鸡,san'huang'ji
三角牌日落红包,san'jiao'pai'ri'luo'hong'bao
三奈,san'nai
三头百合,san'tou'bai'he
三文治火腿块,san'wen'zhi'huo'tui'kuai
三文治火腿条,san'wen'zhi'huo'tui'tiao
三象牌糯米粉包,san'xiang'pai'nuo'mi'fen'bao
三象牌钻米粉包,san'xiang'pai'zuan'mi'fen'bao
散装白酒,san'zhuang'bai'jiu
散装卤腐,san'zhuang'lu'fu
散装鲜百合,san'zhuang'xian'bai'he
散装香辣酱,san'zhuang'xiang'la'jiang
散装腌菜,san'zhuang'yan'cai
散装榨菜丝件,san'zhuang'zha'cai'si'jian
色拉油,se'la'you
杀好草鱼,sha'hao'cao'yu
杀好鲫鱼,sha'hao'ji'yu
杀好鱿鱼,sha'hao'you'yu
沙姜,sha'jiang
沙姜粉包,sha'jiang'fen'bao
沙参,sha'shen
沙松尖,sha'song'jian
沙纸张,sha'zhi'zhang
山东冻鸭,shan'dong'dong'ya
山东黄姜,shan'dong'huang'jiang
扇骨,shan'gu
山西老陈醋瓶,shan'xi'lao'chen'cu'ping
山药,shan'yao
鳝鱼,shan'yu
山竹,shan'zhu
烧豆腐袋,shao'dou'fu'dai
苕粉,shao'fen
生菜,sheng'cai
生肠,sheng'chang
生姜,sheng'jiang
圣女果,sheng'nv'guo
