把他召回,ba'ta'zhao'hui
李牧列传,li'mu'lie'zhuan
李牧提出,li'mu'ti'chu
李牧佯败,li'mu'yang'bai
李牧也,li'mu'ye
李牧再次,li'mu'zai'ci
李牧则出奇兵,li'mu'ze'chu'qi'bing
两个阶段,liang'ge'jie'duan
另派将领,ling'pai'jiang'ling
掠无所得,lue'wu'suo'de
率大军,lv'da'jun
满山遍野地放牧,man'shan'bian'ye'di'fang'mu
每次入侵,mei'ci'ru'qin
每当匈奴兵来犯,mei'dang'xiong'nu'bing'lai'fan
每日宰杀数头牛,mei'ri'zai'sha'shu'tou'niu
每一个胜利,mei'yi'ge'sheng'li
没有多少损失,mei'you'duo'shao'sun'shi
乃敢奉令,nai'gan'feng'ling
年赵武灵王时期,nian'zhao'wu'ling'wang'shi'qi
派李牧,pai'li'mu
破东胡,po'dong'hu
其后十多年,qi'hou'shi'duo'nian
骑马射箭,qi'ma'she'jian
前一段是,qian'yi'duan'shi
全部组织起来,quan'bu'zu'zhi'qi'lai
确保了,que'bao'le
却认为李牧,que'ren'wei'li'mu
却因此保存,que'yin'ci'bao'cun
让人民,rang'ren'min
认为能干的人为官,ren'wei'neng'gan'de'ren'wei'guan
认为自己的,ren'wei'zi'ji'de
任用自己,ren'yong'zi'ji
仍按原来,reng'an'yuan'lai
日常开销,ri'chang'kai'xiao
日日受到犒赏,ri'ri'shou'dao'kao'shang
入侵赵地,ru'qin'zhao'di
生平活动,sheng'ping'huo'dong
使边境地区,shi'bian'jing'di'qu
士兵迅速,shi'bing'xun'su
士兵也,shi'bing'ye
使匈奴掳,shi'xiong'nu'lu
十余万人,shi'yu'wan'ren
使赵国,shi'zhao'guo
受封赵国,shou'feng'zhao'guo
戍边的将士,shu'bian'de'jiang'shi
税款掌握,shui'kuan'zhang'wo
损失伤亡惨重,sun'shi'shang'wang'can'zhong
所以匈奴,suo'yi'xiong'nu
他的措施是,ta'de'cuo'shi'shi
他都命令部队出战,ta'dou'ming'ling'bu'dui'chu'zhan
他根据实际情况,ta'gen'ju'shi'ji'qing'kuang
替代他,ti'dai'ta
挑选的兵车,tiao'xuan'de'bing'che
同时把收来,tong'shi'ba'shou'lai
退回营垒固守,tui'hui'ying'lei'gu'shou
王必用臣,wang'bi'yong'chen
往往受挫失利,wang'wang'shou'cuo'shi'li
为以后的伺机反击,wei'yi'hou'de'si'ji'fan'ji
武安君,wu'an'jun
无后顾之忧地,wu'hou'gu'zhi'you'di
物资上,wu'zi'shang
下令国中,xia'ling'guo'zhong
先是派遣小股兵力入侵,xian'shi'pai'qian'xiao'gu'bing'li'ru'qin
孝成王时期,xiao'cheng'wang'shi'qi
新任将领,xin'ren'jiang'ling
匈奴不敢,xiong'nu'bu'gan
匈奴的侵扰,xiong'nu'de'qin'rao
匈奴各部落,xiong'nu'ge'bu'luo
匈奴见此情景,xiong'nu'jian'ci'qing'jing
匈奴军,xiong'nu'jun
匈奴来犯一无所获,xiong'nu'lai'fan'yi'wu'suo'huo
匈奴骑兵,xiong'nu'qi'bing
匈奴入盗,xiong'nu'ru'dao
檐褴,yan'lan
雁门郡,yan'men'jun
严密的,yan'mi'de
严明法规,yan'ming'fa'gui
以抵御秦国为主,yi'di'yu'qin'guo'wei'zhu
一举歼灭,yi'ju'jian'mie
以两翼,yi'liang'yi
一千三百辆,yi'qian'san'bai'liang
一万三千匹,yi'wan'san'qian'pi
因此成为,yin'ci'cheng'wei
赢得士兵们的爱戴,ying'de'shi'bing'men'de'ai'dai
优待士兵,you'dai'shi'bing
有敢捕虏者斩,you'gan'bu'lu'zhe'zhan
又请李牧复出,you'qing'li'mu'fu'chu
有效地防备了,you'xiao'de'fang'bei'le
优秀射手十万人,you'xiu'she'shou'shi'wan'ren
由于李牧,you'yu'li'mu
于是赵王,yu'shi'zhao'wang
愿与匈奴决一死战,yuan'yu'xiong'nu'jue'yi'si'zhan
在朝中,zai'chao'zhong
在军事上,zai'jun'shi'shang
在赵国,zai'zhao'guo
在政治军事,zai'zheng'zhi'jun'shi
在自己的,zai'zi'ji'de
增设侦察人员,zeng'she'zhen'cha'ren'yuan
战国时期赵国,zhan'guo'shi'qi'zhao'guo
战国时期赵国人,zhan'guo'shi'qi'zhao'guo'ren
赵国北边稳固,zhao'guo'bei'bian'wen'gu
赵国北部边境,zhao'guo'bei'bu'bian'jing
赵国边境的安全,zhao'guo'bian'jing'de'an'quan
赵国军队,zhao'guo'jun'dui
赵国在公元前,zhao'guo'zai'gong'yuan'qian
赵奢,zhao'she
赵奢等人,zhao'she'deng'ren
赵王便,zhao'wang'bian
赵王答应了他,zhao'wang'da'ying'le'ta
赵王一再恳请,zhao'wang'yi'zai'ken'qing
赵王因此,zhao'wang'yin'ci
这是胆怯,zhe'shi'dan'qie
支持在内,zhi'chi'zai'nei
之后赵国的,zhi'hou'zhao'guo'de
重视警报系统,zhong'shi'jing'bao'xi'tong
终于激怒,zhong'yu'ji'nu
驻军公署,zhu'jun'gong'shu
准备经过,zhun'bei'jing'guo
自己有病,zi'ji'you'bing
最重要的将领,zui'zhong'yao'de'jiang'ling
