爱歌城,ai'ge'cheng
桂平市,gui'ping'shi
国大,guo'da
国际大酒店,guo'ji'da'jiu'dian
国际新城,guo'ji'xin'cheng
过来咧,guo'lai'lie
过来为,guo'lai'wei
好颠,hao'dian
豪港华庭,hao'gang'hua'ting
好久不做,hao'jiu'bu'zuo
好某,hao'mou
浩业,hao'ye
荷城,he'cheng
荷城路,he'cheng'lu
河池,he'chi
荷会,he'hui
荷香楼,he'xiang'lou
很颠,hen'dian
宏桂,hong'gui
湖畔人家,hu'pan'ren'jia
华隆,hua'long
黄副,huang'fu
黄皮,huang'pi
回到没有,hui'dao'mei'you
回贵港,hui'gui'gang
回桂平,hui'gui'ping
回来为,hui'lai'wei
回来先,hui'lai'xian
回柳州,hui'liu'zhou
回南宁,hui'nan'ning
回玉林,hui'yu'lin
几多点,ji'duo'dian
家儿,jia'er
加流量,jia'liu'liang
江口镇,jiang'kou'zhen
江南站,jiang'nan'zhan
江南中学,jiang'nan'zhong'xue
叫巨,jiao'ju
捷佳,jie'jia
金城江,jin'cheng'jiang
金港大道,jin'gang'da'dao
金翰宫,jin'han'gong
金田,jin'tian
金田镇,jin'tian'zhen
今晚夜,jin'wan'ye
金云阁,jin'yun'ge
就挨,jiu'ai
旧菜,jiu'cai
就得咯,jiu'dei'ge
酒嘿,jiu'hei
巨地,ju'di
巨队,ju'dui
巨讲,ju'jiang
聚龙城,ju'long'cheng
卷粉,juan'fen
绝毛,jue'mao
开电车,kai'dian'che
开摊,kai'tan
砍甘蔗,kan'gan'zhe
看过先,kan'guo'xian
看为,kan'wei
扣扣搜,kou'kou'sou
快巴,kuai'ba
快班,kuai'ban
快点为,kuai'dian'wei
快高快大,kuai'gao'kuai'da
快乐网,kuai'le'wang
来广西,lai'guang'xi
来贵港,lai'gui'gang
来某,lai'mou
来喂,lai'wei
琅东,lang'dong
琅东站,lang'dong'zhan
老戳,lao'chuo
老鸭山庄,lao'ya'shan'zhuang
老友粉,lao'you'fen
乐满地,le'man'di
累多,lei'duo
黎村,li'cun
漓江村,li'jiang'cun
丽晶会,li'jing'hui
漓泉,li'quan
联邦国际,lian'bang'guo'ji
临桂,lin'gui
领饭,ling'fan
六八村,liu'ba'cun
六陈,liu'chen
柳味,liu'wei
柳州的,liu'zhou'de
柳州了,liu'zhou'le
龙脉华庭,long'mai'hua'ting
楼外楼,lou'wai'lou
漏野,lou'ye
陆川,lu'chuan
路数,lu'shu
卵跌,luan'die
罗白,luo'bai
罗城,luo'cheng
螺蛳粉,luo'si'fen
绿草堂,lv'cao'tang
马草,ma'cao
马草江,ma'cao'jiang
麻洞,ma'dong
嘛咯,ma'ge
妈嘿,ma'hei
马皮,ma'pi
嘛知,ma'zhi
麦劲堡,mai'jin'bao
麦肯基,mai'ken'ji
忙通,mang'tong
猫儿山,mao'er'shan
么咯,me'ge
美博士,mei'bo'shi
没见有,mei'jian'you
美林街,mei'lin'jie
没去到,mei'qu'dao
美味基,mei'wei'ji
蒙公,meng'gong
蒙山,meng'shan
梦之岛,meng'zhi'dao
咪咪摸摸,mi'mi'mo'mo
棉村,mian'cun
明天先,ming'tian'xian
明夜,ming'ye
某办法,mou'ban'fa
某比,mou'bi
某车,mou'che
某出,mou'chu
某错,mou'cuo
某到,mou'dao
某得闲,mou'de'xian
某电,mou'dian
某叼,mou'diao
某多,mou'duo
某敢,mou'gan
某咯,mou'ge
某够,mou'gou
某过,mou'guo
某好,mou'hao
某好意思,mou'hao'yi'si
某会,mou'hui
某记得,mou'ji'de
某见,mou'jian
某讲,mou'jiang
某叫,mou'jiao
某可能,mou'ke'neng
某来,mou'lai
某理,mou'li
某落,mou'luo
某咩,mou'mie
某能,mou'neng
某你,mou'ni
某怕,mou'pa
某钱,mou'qian
某去,mou'qu
某上,mou'shang
某使,mou'shi
某同,mou'tong
某系,mou'xi
某先,mou'xian
某想,mou'xiang
某信,mou'xin
某要,mou'yao
某有,mou'you
某在,mou'zai
某知,mou'zhi
某知道,mou'zhi'dao
某准,mou'zhun
某做,mou'zuo
木菠萝,mu'bo'luo
木该,mu'gai
木格,mu'ge
木格镇,mu'ge'zhen
木根,mu'gen
木圭,mu'gui
木乐,mu'le
木松岭,mu'song'ling
木梓,mu'zi
那不好咯,na'bu'hao'lo
那不是咯,na'bu'shi'lo
那就的咯,na'jiu'de'ge
那么颠,na'me'dian
那么要紧,na'me'yao'jin
南百,nan'bai
难咯,nan'ge
南江,nan'jiang
南木,nan'mu
南宁啊,nan'ning'a
南宁百货,nan'ning'bai'huo
南宁的,nan'ning'de
南宁了,nan'ning'le
南山寺,nan'shan'si
南职,nan'zhi
呢咯,ne'ge
你颠,ni'dian
你队,ni'dui
你高地,ni'gao'di
你以为咯,ni'yi'wei'ge
你在边,ni'zai'bian
你在贵港,ni'zai'gui'gang
你在南宁,ni'zai'nan'ning
牛巴,niu'ba
牛嗨,niu'hai
牛嘿,niu'hei
农儿,nong'er
农非,nong'fei
弄通,nong'tong
女人婆,nv'ren'po
哦撇,o'pie
欧景蓝湾,ou'jing'lan'wan
怕某,pa'mou
趴台,pa'tai
爬西山,pa'xi'shan
配船,pei'chuan
屁咯,pi'ge
品螺香,pin'luo'xiang
平本,ping'ben
平龙,ping'long
平南,ping'nan
平南的,ping'nan'de
平南了,ping'nan'le
平南县,ping'nan'xian
平南镇,ping'nan'zhen
平天,ping'tian
平天山,ping'tian'shan
凭祥,ping'xiang
平中,ping'zhong
普罗旺斯,pu'luo'wang'si
铺面,pu'mian
期考,qi'kao
气排球,qi'pai'qiu
起睡,qi'shui
桥圩镇,qiao'xu'zhen
切插入,qie'cha'ru
覃高,qin'gao
覃塘,qin'tang
覃塘区,qin'tang'qu
青牛谷,qing'niu'gu
秋季期,qiu'ji'qi
去北海,qu'bei'hai
去吃粉,qu'chi'fen
去爹,qu'die
区公司,qu'gong'si
去贵港,qu'gui'gang
去桂平,qu'gui'ping
去柳州,qu'liu'zhou
去某,qu'mou
去南宁,qu'nan'ning
去为,qu'wei
去玉林,qu'yu'lin
热头,re'tou
容高,rong'gao
乳泉井,ru'quan'jing
三八,san'ba
三合市场,san'he'shi'chang
三农贸,san'nong'mao
三三八八,san'san'ba'ba
三月花,san'yue'hua
沙坡,sha'po
沙塘,sha'tang
山北,shan'bei
山老,shan'lao
山心,shan'xin
上贵港,shang'gui'gang
上教室,shang'jiao'shi
上南宁,shang'nan'ning
上平南,shang'ping'nan
上思,shang'si
上自修,shang'zi'xiu
社步,she'bu
圣湖,sheng'hu
盛世名门,sheng'shi'ming'men
师部路,shi'bu'lu
世纪花园,shi'ji'hua'yuan
世纪经典,shi'ji'jing'dian
石咀,shi'ju
石卡,shi'ka
石卡镇,shi'ka'zhen
石龙,shi'long
是某,shi'mou
石南,shi'nan
石牛,shi'niu
是为,shi'wei
石羊塘,shi'yang'tang
失踪不知道,shi'zong'bu'zhi'dao
受扣,shou'kou
数毛,shu'mao
说为,shuo'wei
私捞,si'lao
思旺,si'wang
酸粉,suan'fen
酸野,suan'ye
台泥,tai'ni
太子轩,tai'zi'xuan
探年,tan'nian
塘角鱼,tang'jiao'yu
天地一家,tian'di'yi'jia
田螺煲,tian'luo'bao
停学,ting'xue
驮卢,tuo'lu
瓦煲饭,wa'bao'fan
瓦窑,wa'yao
晚点先,wan'dian'xian
万家居,wan'jia'ju
晚上先,wan'shang'xian
往时,wang'shi
问钱,wen'qian
我吃粉,wo'chi'fen
我广西,wo'guang'xi
我撇,wo'pie
我去南宁,wo'qu'nan'ning
我在广西,wo'zai'guang'xi
我在贵港,wo'zai'gui'gang
我在南宁,wo'zai'nan'ning
我怎么懂,wo'zen'me'dong
我煮菜,wo'zhu'cai
无会,wu'hui
屋几,wu'ji
无聊多,wu'liao'duo
五尚砖,wu'shang'zhuan
物谁,wu'shui
无要,wu'yao
物野,wu'ye
无知道,wu'zhi'dao
洗得,xi'de
洗得了,xi'de'le
西江,xi'jiang
西江农场,xi'jiang'nong'chang
喜来轩,xi'lai'xuan
系某,xi'mou
西山,xi'shan
下次先,xia'ci'xian
下广东,xia'guang'dong
下火堂,xia'huo'tang
下来为,xia'lai'wei
下午先,xia'wu'xian
下自修,xia'zi'xiu
先吧,xian'ba
现代人家,xian'dai'ren'jia
小岑,xiao'cen
小江,xiao'jiang
小蒙,xiao'meng
小覃,xiao'qin
宵夜摊,xiao'ye'tan
幸福家园,xing'fu'jia'yuan
浔高,xun'gao
寻旺,xun'wang
鸭肉粉,ya'rou'fen
亚洲龙,ya'zhou'long
眼困了,yan'kun'le
样多,yang'duo
阳光都市,yang'guang'du'shi
要某,yao'mou
也挨,ye'ai
夜宴,ye'yan
姨母,yi'mu
一农贸,yi'nong'mao
又挨,you'ai
又讲,you'jiang
有空先,you'kong'xian
又某,you'mou
有歪歪,you'wai'wai
友谊关,you'yi'guan
玉高,yu'gao
玉林的,yu'lin'de
玉林了,yu'lin'le
玉林人,yu'lin'ren
玉州区,yu'zhou'qu
云表,yun'biao
在边,zai'bian
在边呢,zai'bian'ne
在爹,zai'die
在贵港,zai'gui'gang
在桂平,zai'gui'ping
在某,zai'mou
在南宁,zai'nan'ning
在平南,zai'ping'nan
在玉林,zai'yu'lin
樟木,zhang'mu
阵儿,zhen'er
镇隆,zhen'long
正说,zheng'shuo
整通,zheng'tong
值出,zhi'chu
之个,zhi'ge
重柜,zhong'gui
中央广场,zhong'yang'guang'chang
中银大厦,zhong'yin'da'sha
猪鞭,zhu'bian
猪场,zhu'chang
猪脚粉,zhu'jiao'fen
煮夜,zhu'ye
转屋,zhuan'wu
壮话,zhuang'hua
准备到,zhun'bei'dao
准备到了,zhun'bei'dao'le
总不见,zong'bu'jian
