阿拉伯胶,a'la'bo'jiao
必需氨基酸,bi'xu'an'ji'suan
必需脂肪酸,bi'xu'zhi'fang'suan
避孕药品,bi'yun'yao'pin
比重瓶,bi'zhong'ping
变色,bian'se
变色问题,bian'se'wen'ti
变态反应,bian'tai'fan'ying
变性,bian'xing
变形细胞溶解物,bian'xing'xi'bao'rong'jie'wu
苄泽,bian'ze
表材,biao'cai
表面给药,biao'mian'gei'yao
表面活性,biao'mian'huo'xing
表面活性剂,biao'mian'huo'xing'ji
表面吸附,biao'mian'xi'fu
表面张力,biao'mian'zhang'li
表膜壁壳,biao'mo'bi'ke
表皮,biao'pi
标示量,biao'shi'liang
表现溶解度,biao'xian'rong'jie'du
表心物,biao'xin'wu
标准,biao'zhun
标准比色液,biao'zhun'bi'se'ye
标准操作程序,biao'zhun'cao'zuo'cheng'xu
标准法典,biao'zhun'fa'dian
标准管理程序,biao'zhun'guan'li'cheng'xu
标准规格,biao'zhun'gui'ge
标准药物,biao'zhun'yao'wu
标准运作程序,biao'zhun'yun'zuo'cheng'xu
标准制剂,biao'zhun'zhi'ji
瘪头,bie'tou
病变皮肤,bing'bian'pi'fu
冰点降低法,bing'dian'jiang'di'fa
丙二醇,bing'er'chun
病理差异,bing'li'cha'yi
丙烯酸,bing'xi'suan
丙烯酸树酯,bing'xi'suan'shu'zhi
丙烯酸树脂类,bing'xi'suan'shu'zhi'lei
丙种射线,bing'zhong'she'xian
薄荷油,bo'he'you
剥离快转力实验,bo'li'kuai'zhuan'li'shi'yan
剥离实验,bo'li'shi'yan
泊洛沙姆,bo'luo'sha'mu
部颁标准,bu'ban'biao'zhun
不分剂量散剂,bu'fen'ji'liang'san'ji
不规则絮凝物,bu'gui'ze'xu'ning'wu
不挥发性,bu'hui'fa'xing
不经胃肠道给药,bu'jing'wei'chang'dao'gei'yao
不可流动液体,bu'ke'liu'dong'ye'ti
布朗运动,bu'lang'yun'dong
不连续相,bu'lian'xu'xiang
不良反应,bu'liang'fan'ying
不溶性多价皂,bu'rong'xing'duo'jia'zao
补体,bu'ti
补体系统,bu'ti'xi'tong
不完全抗原,bu'wan'quan'kang'yuan
材料学,cai'liao'xue
残存溶剂,can'cun'rong'ji
操作规程,cao'zuo'gui'cheng
测定法,ce'ding'fa
测定方法,ce'ding'fang'fa
测共熔点,ce'gong'rong'dian
层析法,ceng'xi'fa
搽剂,cha'ji
搽剂类,cha'ji'lei
差示热分析法,cha'shi're'fen'xi'fa
差示扫描显热法,cha'shi'sao'miao'xian're'fa
差向异构,cha'xiang'yi'gou
产品许可申请,chan'pin'xu'ke'shen'qing
产品质量,chan'pin'zhi'liang
长度基准,chang'du'ji'zhun
肠肝循环,chang'gan'xun'huan
常规试验法,chang'gui'shi'yan'fa
长期毒性实验,chang'qi'du'xing'shi'yan
长期试验,chang'qi'shi'yan
肠溶缓释胶囊,chang'rong'huan'shi'jiao'nang
肠溶缓释颗粒剂,chang'rong'huan'shi'ke'li'ji
肠溶缓释片,chang'rong'huan'shi'pian
肠溶胶囊,chang'rong'jiao'nang
肠溶胶囊剂,chang'rong'jiao'nang'ji
肠溶颗粒剂,chang'rong'ke'li'ji
肠溶控释胶囊,chang'rong'kong'shi'jiao'nang
肠溶控释片,chang'rong'kong'shi'pian
肠溶片,chang'rong'pian
肠溶衣,chang'rong'yi
肠溶衣片,chang'rong'yi'pian
长效制剂,chang'xiao'zhi'ji
长循环脂质体,chang'xun'huan'zhi'zhi'ti
常用基质,chang'yong'ji'zhi
常用术语,chang'yong'shu'yu
常用药物,chang'yong'yao'wu
常用制剂,chang'yong'zhi'ji
超临界流体,chao'lin'jie'liu'ti
超临界溶液,chao'lin'jie'rong'ye
超滤法,chao'lv'fa
超声波,chao'sheng'bo
超声波法,chao'sheng'bo'fa
超微束,chao'wei'shu
车际标准化组织,che'ji'biao'zhun'hua'zu'zhi
衬垫薄膜,chen'dian'bao'mo
沉淀问题,chen'dian'wen'ti
陈化,chen'hua
沉降法,chen'jiang'fa
沉降容积比,chen'jiang'rong'ji'bi
沉降速度,chen'jiang'su'du
沉降物,chen'jiang'wu
沉降物分散,chen'jiang'wu'fen'san
成核作用,cheng'he'zuo'yong
澄明度,cheng'ming'du
澄明度检查,cheng'ming'du'jian'cha
成膜材料,cheng'mo'cai'liao
成品,cheng'pin
成形性,cheng'xing'xing
斥力势能,chi'li'shi'neng
冲剂,chong'ji
冲击力,chong'ji'li
冲击强度,chong'ji'qiang'du
冲击式粉碎机,chong'ji'shi'fen'sui'ji
充填章,chong'tian'zhang
稠度,chou'du
稠度曲线,chou'du'qu'xian
稠厚液体,chou'hou'ye'ti
触变胶,chu'bian'jiao
触变流体,chu'bian'liu'ti
触变性,chu'bian'xing
础变性,chu'bian'xing
触变性流体,chu'bian'xing'liu'ti
处方,chu'fang
处方管理办法,chu'fang'guan'li'ban'fa
处方评估,chu'fang'ping'gu
处方评价,chu'fang'ping'jia
处方前工作,chu'fang'qian'gong'zuo
处方权,chu'fang'quan
处方审查,chu'fang'shen'cha
处方手册,chu'fang'shou'ce
处方药,chu'fang'yao
处方总金额,chu'fang'zong'jin'e
除菌滤过,chu'jun'lv'guo
传递体,chuan'di'ti
传递透过,chuan'di'tou'guo
传递系统,chuan'di'xi'tong
穿透促进剂,chuan'tou'cu'jin'ji
穿透能力,chuan'tou'neng'li
创新的品种,chuang'xin'de'pin'zhong
垂熔玻璃器,chui'rong'bo'li'qi
纯化,chun'hua
刺激性,ci'ji'xing
刺激性小,ci'ji'xing'xiao
磁性控释制剂,ci'xing'kong'shi'zhi'ji
磁性微球,ci'xing'wei'qiu
磁性药物制剂,ci'xing'yao'wu'zhi'ji
促进扩散,cu'jin'kuo'san
促渗滞留,cu'shen'zhi'liu
醋酸羟丙甲基纤维素琥珀酸酯,cu'suan'qiang'bing'jia'ji'xian'wei'su'hu'po'suan'zhi
醋酸羟丙甲纤维素琥珀酸酯,cu'suan'qiang'bing'jia'xian'wei'su'hu'po'suan'zhi
醋酸洗必泰,cu'suan'xi'bi'tai
醋酸纤维膜,cu'suan'xian'wei'mo
醋酸纤维素,cu'suan'xian'wei'su
醋酸纤维素苯三酸酯,cu'suan'xian'wei'su'ben'san'suan'zhi
醋酸纤维素丁酸酯,cu'suan'xian'wei'su'ding'suan'zhi
醋酸纤维素酞酸醋,cu'suan'xian'wei'su'tai'suan'cu
醋酸纤维素酞酸酯,cu'suan'xian'wei'su'tai'suan'zhi
醋酸盐,cu'suan'yan
醋酸乙酯,cu'suan'yi'zhi
萃取,cui'qu
脆碎度,cui'sui'du
存档用副本,cun'dang'yong'fu'ben
大肠杆菌,da'chang'gan'jun
大单室脂质体,da'dan'shi'zhi'zhi'ti
大豆留醇,da'dou'liu'chun
大豆甾醇,da'dou'zai'chun
大分子,da'fen'zi
打光,da'guang
带电性,dai'dian'xing
带负电,dai'fu'dian
代谢,dai'xie
代用品研究,dai'yong'pin'yan'jiu
带正电,dai'zheng'dian
蛋白质,dan'bai'zhi
蛋白质带负电,dan'bai'zhi'dai'fu'dian
蛋白质带正电,dan'bai'zhi'dai'zheng'dian
单层膜,dan'ceng'mo
单冲压片机,dan'chong'ya'pian'ji
单纯形优化法,dan'chun'xing'you'hua'fa
单方制剂,dan'fang'zhi'ji
单核巨噬细胞系统,dan'he'ju'shi'xi'bao'xi'tong
单剂量,dan'ji'liang
单剂量包装,dan'ji'liang'bao'zhuang
胆碱酯酶,dan'jian'zhi'mei
单克隆抗体,dan'ke'long'kang'ti
单凝聚法,dan'ning'ju'fa
单散剂,dan'san'ji
单糖浆,dan'tang'jiang
氮酮,dan'tong
单相分散系统,dan'xiang'fen'san'xi'tong
单硬脂酸甘油酯,dan'ying'zhi'suan'gan'you'zhi
当量,dang'liang
当量定律,dang'liang'ding'lv
当量浓度,dang'liang'nong'du
当量溶液,dang'liang'rong'ye
等电点,deng'dian'dian
等电点聚焦,deng'dian'dian'ju'jiao
等粉碎粒径,deng'fen'sui'li'jing
澄清溶液,deng'qing'rong'ye
等渗溶液,deng'shen'rong'ye
等张溶液,deng'zhang'rong'ye
滴鼻剂,di'bi'ji
滴定,di'ding
滴定曲线,di'ding'qu'xian
第二代制剂,di'er'dai'zhi'ji
第二法桨法,di'er'fa'jiang'fa
滴耳剂,di'er'ji
第二类精神药品,di'er'lei'jing'shen'yao'pin
地方标准,di'fang'biao'zhun
低分子,di'fen'zi
滴剂,di'ji
滴剂类,di'ji'lei
低聚糖,di'ju'tang
涤纶薄膜,di'lun'bao'mo
低密度脂蛋白,di'mi'du'zhi'dan'bai
低浓度,di'nong'du
低取代羟丙基纤维素,di'qu'dai'qiang'bing'ji'xian'wei'su
第三代制剂,di'san'dai'zhi'ji
第三法小杯法,di'san'fa'xiao'bei'fa
第四代制剂,di'si'dai'zhi'ji
滴丸剂,di'wan'ji
第五代制剂,di'wu'dai'zhi'ji
滴牙剂,di'ya'ji
滴眼剂,di'yan'ji
第一代制剂,di'yi'dai'zhi'ji
第一法转篮法,di'yi'fa'zhuan'lan'fa
第一扩散公式,di'yi'kuo'san'gong'shi
第一类精神药品,di'yi'lei'jing'shen'yao'pin
递质,di'zhi
滴制法,di'zhi'fa
递质介质,di'zhi'jie'zhi
电导法,dian'dao'fa
淀粉,dian'fen
淀粉浆,dian'fen'jiang
淀粉微球,dian'fen'wei'qiu
淀粉预胶化淀粉,dian'fen'yu'jiao'hua'dian'fen
电解,dian'jie
电解质,dian'jie'zhi
电解质类,dian'jie'zhi'lei
电渗析法,dian'shen'xi'fa
电泳,dian'yong
电泳法测定,dian'yong'fa'ce'ding
碘值,dian'zhi
电致孔法,dian'zhi'kong'fa
调研人员,diao'yan'ren'yuan
丁铎尔效应,ding'duo'er'xiao'ying
丁二酸二辛酯磺酸钠,ding'er'suan'er'xin'zhi'huang'suan'na
定方向等分径,ding'fang'xiang'deng'fen'jing
定方向接线径,ding'fang'xiang'jie'xian'jing
顶封,ding'feng
酊剂,ding'ji
定时钟,ding'shi'zhong
定位给药系统制剂,ding'wei'gei'yao'xi'tong'zhi'ji
定位浓集,ding'wei'nong'ji
定向排列,ding'xiang'pai'lie
定向药物制剂,ding'xiang'yao'wu'zhi'ji
冻干制品,dong'gan'zhi'pin
冻结方法,dong'jie'fang'fa
动力不稳定性,dong'li'bu'wen'ding'xing
动脉内注射,dong'mai'nei'zhu'she
动脉注射,dong'mai'zhu'she
动态漂洗,dong'tai'piao'xi
动物试验,dong'wu'shi'yan
豆油,dou'you
毒剧药,du'ju'yao
毒剧药散剂,du'ju'yao'san'ji
毒理学,du'li'xue
毒性,du'xing
毒性低,du'xing'di
毒性反应,du'xing'fan'ying
短期致癌实验,duan'qi'zhi'ai'shi'yan
对聚氧乙烯型,dui'ju'yang'yi'xi'xing
对流混合,dui'liu'hun'he
堆密度,dui'mi'du
对羟基苯甲酸酯类,dui'qiang'ji'ben'jia'suan'zhi'lei
对因治疗,dui'yin'zhi'liao
对映体,dui'ying'ti
对症治疗,dui'zheng'zhi'liao
多层片,duo'ceng'pian
多功能酶,duo'gong'neng'mei
多剂量包装,duo'ji'liang'bao'zhuang
多剂量给药,duo'ji'liang'gei'yao
多剂量贮库,duo'ji'liang'zhu'ku
多价金属离子,duo'jia'jin'shu'li'zi
多价金属皂,duo'jia'jin'shu'zao
多晶型,duo'jing'xing
多孔离心法,duo'kong'li'xin'fa
多室脂质体,duo'shi'zhi'zhi'ti
多肽,duo'tai
多糖,duo'tang
多相分散体系,duo'xiang'fen'san'ti'xi
多效蒸馏水器,duo'xiao'zheng'liu'shui'qi
惰性气体,duo'xing'qi'ti
儿茶酚胺,er'cha'fen'an
二重感染,er'chong'gan'ran
二级粒子,er'ji'li'zi
二甲基,er'jia'ji
二甲基硅油,er'jia'ji'gui'you
二甲基亚砜,er'jia'ji'ya'feng
二甲基乙酰胺,er'jia'ji'yi'xian'an
二甲醚,er'jia'mi
儿科处方,er'ke'chu'fang
二葡糖基环糊精,er'pu'tang'ji'huan'hu'jing
二叔丁对甲酚,er'shu'ding'dui'jia'fen
二叔丁基对甲酚,er'shu'ding'ji'dui'jia'fen
二相气雾剂气相,er'xiang'qi'wu'ji'qi'xiang
二氧化硅,er'yang'hua'gui
二硬脂酰磷脂酰胆碱,er'ying'zhi'xian'lin'zhi'xian'dan'jian
二硬脂酰磷脂酰乙醇胺,er'ying'zhi'xian'lin'zhi'xian'yi'chun'an
二油酰磷脂酰乙醇胺,er'you'xian'lin'zhi'xian'yi'chun'an
二棕榈酰磷脂酰胆碱,er'zong'lv'xian'lin'zhi'xian'dan'jian
法定处方,fa'ding'chu'fang
法定剂量单位,fa'ding'ji'liang'dan'wei
法定药典,fa'ding'yao'dian
法规,fa'gui
发酵,fa'jiao
发药交代,fa'yao'jiao'dai
范德华力,fan'de'hua'li
反渗透,fan'shen'tou
反渗透法,fan'shen'tou'fa
凡士林,fan'shi'lin
反向靶向,fan'xiang'ba'xiang
反相高效液相色潽法,fan'xiang'gao'xiao'ye'xiang'se'pu'fa
反絮凝,fan'xu'ning
反絮凝剂,fan'xu'ning'ji
反应级数,fan'ying'ji'shu
反应速度,fan'ying'su'du
反应速度常数,fan'ying'su'du'chang'shu
泛制丸,fan'zhi'wan
方案,fang'an
方程结晶增长,fang'cheng'jie'jing'zeng'zhang
方法学,fang'fa'xue
防腐,fang'fu
防腐剂,fang'fu'ji
防腐能力,fang'fu'neng'li
放射毒理学,fang'she'du'li'xue
放射性药品,fang'she'xing'yao'pin
放射性药物学,fang'she'xing'yao'wu'xue
放射药剂学,fang'she'yao'ji'xue
芳香挥发性药物,fang'xiang'hui'fa'xing'yao'wu
芳香水剂,fang'xiang'shui'ji
芳香物质,fang'xiang'wu'zhi
防粘纸,fang'zhan'zhi
芳族化合物,fang'zu'hua'he'wu
非必需氨基酸,fei'bi'xu'an'ji'suan
肺部给药系统,fei'bu'gei'yao'xi'tong
非处方药,fei'chu'fang'yao
非处方药品,fei'chu'fang'yao'pin
非电解质,fei'dian'jie'zhi
非结合水分,fei'jie'he'shui'fen
非均匀分散,fei'jun'yun'fen'san
非离子,fei'li'zi
非离子型,fei'li'zi'xing
非连续相,fei'lian'xu'xiang
非临床研究,fei'lin'chuang'yan'jiu
非零级过程,fei'ling'ji'guo'cheng
非牛顿流动,fei'niu'dun'liu'dong
非牛顿流体,fei'niu'dun'liu'ti
非去极化型,fei'qu'ji'hua'xing
非溶剂法,fei'rong'ji'fa
非溶剂化物,fei'rong'ji'hua'wu
非水溶剂,fei'shui'rong'ji
非水溶媒,fei'shui'rong'mei
沸腾干燥,fei'teng'gan'zao
非吸入粉雾剂,fei'xi'ru'fen'wu'ji
非吸入喷雾剂,fei'xi'ru'pen'wu'ji
非吸入气雾剂,fei'xi'ru'qi'wu'ji
肥皂类,fei'zao'lei
非专利名称,fei'zhuan'li'ming'cheng
分布,fen'bu
分层,fen'ceng
分光光度法,fen'guang'guang'du'fa
分剂量,fen'ji'liang
分剂量散剂,fen'ji'liang'san'ji
分离,fen'li
分配系数,fen'pei'xi'shu
分散,fen'san
分散法,fen'san'fa
分散剂,fen'san'ji
分散介质,fen'san'jie'zhi
分散片,fen'san'pian
分散体系,fen'san'ti'xi
分散相,fen'san'xiang
分散相内相,fen'san'xiang'nei'xiang
分散相质点,fen'san'xiang'zhi'dian
粉碎,fen'sui
粉碎表面积,fen'sui'biao'mian'ji
粉碎体积,fen'sui'ti'ji
粉体学,fen'ti'xue
粉雾剂,fen'wu'ji
粉衣层,fen'yi'ceng
粉针,fen'zhen
分子,fen'zi
分子病,fen'zi'bing
分子囊,fen'zi'nang
分子排阻色潽法,fen'zi'pai'zu'se'pu'fa
分子溶液,fen'zi'rong'ye
分子生物学,fen'zi'sheng'wu'xue
分子形式,fen'zi'xing'shi
分子药理学,fen'zi'yao'li'xue
分子状态,fen'zi'zhuang'tai
峰谷现象,feng'gu'xian'xiang
封口,feng'kou
封口不严,feng'kou'bu'yan
封口方法,feng'kou'fang'fa
蜂蜡,feng'la
峰浓度,feng'nong'du
峰时,feng'shi
复方碘溶液,fu'fang'dian'rong'ye
复方配伍,fu'fang'pei'wu
复方散剂,fu'fang'san'ji
复方研究,fu'fang'yan'jiu
复方制剂,fu'fang'zhi'ji
复合膜,fu'he'mo
复合乳剂,fu'he'ru'ji
复合制膜法,fu'he'zhi'mo'fa
辅基,fu'ji
附加剂,fu'jia'ji
氟里昂,fu'li'ang
氟利昂,fu'li'ang
辅料,fu'liao
氟氯烷类化合物,fu'lv'wan'lei'hua'he'wu
氟氯烷烓类,fu'lv'wan'wei'lei
辅酶,fu'mei
复凝聚法,fu'ning'ju'fa
复乳,fu'ru
赋形剂,fu'xing'ji
负责期限,fu'ze'qi'xian
辅助,fu'zhu
辅助成分,fu'zhu'cheng'fen
副主任药师,fu'zhu'ren'yao'shi
副作用,fu'zuo'yong
副作用小,fu'zuo'yong'xiao
甘醇酸淀粉钠,gan'chun'suan'dian'fen'na
干淀粉,gan'dian'fen
干法制粒,gan'fa'zhi'li
干粉吸入装置,gan'fen'xi'ru'zhuang'zhi
干混悬剂,gan'hun'xuan'ji
干胶,gan'jiao
干胶法,gan'jiao'fa
橄榄油,gan'lan'you
甘露醇,gan'lu'chun
干球温度,gan'qiu'wen'du
肝首过效应,gan'shou'guo'xiao'ying
感受器,gan'shou'qi
干糖浆剂,gan'tang'jiang'ji
甘油,gan'you
甘油剂,gan'you'ji
甘油醚,gan'you'mi
甘油明胶,gan'you'ming'jiao
甘油助溶,gan'you'zhu'rong
干燥处保存,gan'zao'chu'bao'cun
干燥法,gan'zao'fa
干燥剂,gan'zao'ji
干燥颗粒状制剂,gan'zao'ke'li'zhuang'zhi'ji
干燥灭菌,gan'zao'mie'jun
干燥粘合剂,gan'zao'nian'he'ji
干燥失重,gan'zao'shi'zhong
肛门静脉,gang'men'jing'mai
高分子,gao'fen'zi
高分子化合物,gao'fen'zi'hua'he'wu
高分子溶液,gao'fen'zi'rong'ye
高敏性,gao'min'xing
高浓度,gao'nong'du
高碳脂肪醇,gao'tan'zhi'fang'chun
高位静压,gao'wei'jing'ya
高温法,gao'wen'fa
高压灭菌,gao'ya'mie'jun
膏滋,gao'zi
隔离层,ge'li'ceng
个数基准,ge'shu'ji'zhun
个体差异性,ge'ti'cha'yi'xing
割圆,ge'yuan
给药部位,gei'yao'bu'wei
给药方案,gei'yao'fang'an
给药间隔,gei'yao'jian'ge
给药速度,gei'yao'su'du
给药途径,gei'yao'tu'jing
给药途径分类,gei'yao'tu'jing'fen'lei
给药系统,gei'yao'xi'tong
给药系统制剂,gei'yao'xi'tong'zhi'ji
共沉淀法,gong'chen'dian'fa
供给宝,gong'ji'bao
共价键,gong'jia'jian
共晶点,gong'jing'dian
公式过滤时液体的流动,gong'shi'guo'lv'shi'ye'ti'de'liu'dong
工业药剂学,gong'ye'yao'ji'xue
工艺,gong'yi
工艺技术,gong'yi'ji'shu
工艺流程,gong'yi'liu'cheng
构效关系,gou'xiao'guan'xi
古方研究,gu'fang'yan'jiu
骨架型,gu'jia'xing
骨蜡,gu'la
鼓泡,gu'pao
固体粉末类,gu'ti'fen'mo'lei
固体分散体,gu'ti'fen'san'ti
固体分散体系,gu'ti'fen'san'ti'xi
固体分散型,gu'ti'fen'san'xing
固体剂型,gu'ti'ji'xing
固体桥,gu'ti'qiao
固体药物,gu'ti'yao'wu
固体直接注射,gu'ti'zhi'jie'zhu'she
固体脂质,gu'ti'zhi'zhi
灌肠剂,guan'chang'ji
灌封,guan'feng
灌封室,guan'feng'shi
关节内注射,guan'jie'nei'zhu'she
管理规范,guan'li'gui'fan
管理条例,guan'li'tiao'li
灌液,guan'ye
管制药品管理,guan'zhi'yao'pin'guan'li
光化降解,guang'hua'jiang'jie
光量子,guang'liang'zi
广谱抗生素,guang'pu'kang'sheng'su
光学异构,guang'xue'yi'gou
规范,gui'fan
规格,gui'ge
规格标准,gui'ge'biao'zhun
桂皮油,gui'pi'you
硅酸铝,gui'suan'lv
硅酸镁铝,gui'suan'mei'lv
硅酸盐类,gui'suan'yan'lei
硅酮,gui'tong
硅油,gui'you
硅皂土,gui'zao'tu
滚球试验,gun'qiu'shi'yan
滚转,gun'zhuan
锅包衣法,guo'bao'yi'fa
国际非专药名称,guo'ji'fei'zhuan'yao'ming'cheng
国家基本药物目录,guo'jia'ji'ben'yao'wu'mu'lu
国家药品监督管理局,guo'jia'yao'pin'jian'du'guan'li'ju
果胶,guo'jiao
过滤,guo'lv
过敏毒素,guo'min'du'su
过敏反应,guo'min'fan'ying
过敏试验,guo'min'shi'yan
过筛,guo'shai
过氧化物,guo'yang'hua'wu
海绵剂,hai'mian'ji
海洋药物,hai'yang'yao'wu
海藻酸钠,hai'zao'suan'na
海藻酸盐,hai'zao'suan'yan
含钡玻璃,han'bei'bo'li
含醇量测定,han'chun'liang'ce'ding
含醇液体制剂,han'chun'ye'ti'zhi'ji
含低共熔组分散剂,han'di'gong'rong'zu'fen'san'ji
含锆玻璃,han'gao'bo'li
含浸膏散剂,han'jin'gao'san'ji
含量测定,han'liang'ce'ding
含量均匀度,han'liang'jun'yun'du
含片,han'pian
含潄剂,han'shu'ji
含糖量,han'tang'liang
含液体成分散剂,han'ye'ti'cheng'fen'san'ji
毫微粒,hao'wei'li
毫微囊,hao'wei'nang
合并用药,he'bing'yong'yao
合成,he'cheng
合成高分子,he'cheng'gao'fen'zi
合成色素,he'cheng'se'su
合成药,he'cheng'yao
合成药品,he'cheng'yao'pin
合成药物,he'cheng'yao'wu
核苷酸,he'gan'suan
合格质量标准,he'ge'zhi'liang'biao'zhun
合剂,he'ji
合理应用,he'li'ying'yong
合理用药,he'li'yong'yao
核糖核酸,he'tang'he'suan
合用,he'yong
痕量元素,hen'liang'yuan'su
红外,hong'wai
鲎试剂,hou'shi'ji
鲎试剂法,hou'shi'ji'fa
鲎试验法,hou'shi'yan'fa
糊化,hu'hua
糊剂,hu'ji
糊精,hu'jing
糊丸,hu'wan
花生油,hua'sheng'you
滑石粉,hua'shi'fen
化学,hua'xue
化学不稳定性,hua'xue'bu'wen'ding'xing
化学动力学,hua'xue'dong'li'xue
化学法,hua'xue'fa
化学反应法,hua'xue'fan'ying'fa
化学方法,hua'xue'fang'fa
化学分析,hua'xue'fen'xi
化学结构,hua'xue'jie'gou
化学结构测定,hua'xue'jie'gou'ce'ding
化学凝聚法,hua'xue'ning'ju'fa
化学试剂,hua'xue'shi'ji
化学稳定性,hua'xue'wen'ding'xing
化学物理学,hua'xue'wu'li'xue
化学消毒法,hua'xue'xiao'du'fa
化学性质,hua'xue'xing'zhi
化学药物治疗,hua'xue'yao'wu'zhi'liao
缓冲液,huan'chong'ye
环糊精,huan'hu'jing
环糊精包合物,huan'hu'jing'bao'he'wu
环境药理学,huan'jing'yao'li'xue
环境因素,huan'jing'yin'su
缓释混悬剂,huan'shi'hun'xuan'ji
缓释胶囊,huan'shi'jiao'nang
缓释胶囊剂,huan'shi'jiao'nang'ji
缓释颗粒剂,huan'shi'ke'li'ji
缓释控释制剂,huan'shi'kong'shi'zhi'ji
缓释膜剂,huan'shi'mo'ji
缓释片,huan'shi'pian
缓释贴剂,huan'shi'tie'ji
缓释小丸,huan'shi'xiao'wan
缓释制剂,huan'shi'zhi'ji
换算,huan'suan
磺酸化物,huang'suan'hua'wu
挥发油,hui'fa'you
回流法,hui'liu'fa
会议资料,hui'yi'zi'liao
混合,hun'he
混合法,hun'he'fa
混合膜,hun'he'mo
混悬滴剂,hun'xuan'di'ji
混悬剂,hun'xuan'ji
混悬凝胶剂,hun'xuan'ning'jiao'ji
混悬型,hun'xuan'xing
混悬性,hun'xuan'xing
混悬型喷雾剂,hun'xuan'xing'pen'wu'ji
混悬液,hun'xuan'ye
混悬液型,hun'xuan'ye'xing
火候,huo'hou
活螨,huo'man
火棉胶,huo'mian'jiao
活性药物组分,huo'xing'yao'wu'zu'fen
基本药物,ji'ben'yao'wu
棘层,ji'ceng
激光散射光潽,ji'guang'san'she'guang'pu
几何学,ji'he'xue
几何异构,ji'he'yi'gou
剂挥发法,ji'hui'fa'fa
激活剂,ji'huo'ji
激活作用,ji'huo'zuo'yong
剂量,ji'liang
肌肉注射,ji'rou'zhu'she
肌松药,ji'song'yao
激素,ji'su
激素原,ji'su'yuan
基团数,ji'tuan'shu
机械分散法,ji'xie'fen'san'fa
机械搅拌,ji'xie'jiao'ban
剂型,ji'xing
急性毒性实验,ji'xing'du'xing'shi'yan
剂型分类,ji'xing'fen'lei
剂型设计,ji'xing'she'ji
剂型因素,ji'xing'yin'su
基因,ji'yin
急诊处方,ji'zhen'chu'fang
基质,ji'zhi
基质的因素,ji'zhi'de'yin'su
基质吸附率,ji'zhi'xi'fu'lv
