爱即彼之集谛因,ai'ji'bi'zhi'ji'di'yin
放逸乃为死亡处,fang'yi'nai'wei'si'wang'chu
非但不息苦更增,fei'dan'bu'xi'ku'geng'zeng
非能改变恒河水,fei'neng'gai'bian'heng'he'shui
非如庄稼由地出,fei'ru'zhuang'jia'you'di'chu
非圣吝啬佛所说,fei'sheng'lin'se'fo'suo'shuo
非时节及自性生,fei'shi'jie'ji'zi'xing'sheng
非体自在非无因,fei'ti'zi'zai'fei'wu'yin
非天嗔恨天福故,fei'tian'chen'hen'tian'fu'gu
非为骄横体健朗,fei'wei'jiao'heng'ti'jian'lang
非我意境当平息,fei'wo'yi'jing'dang'ping'xi
粪等脏物亦不得,fen'deng'zang'wu'yi'bu'de
奉行十种善业道,feng'xing'shi'zhong'shan'ye'dao
佛说不放逸甘露,fo'shuo'bu'fang'yi'gan'lu
佛说如同木鳖果,fo'shuo'ru'tong'mu'bie'guo
佛说信心与持戒,fo'shuo'xin'xin'yu'chi'jie
佛说一切财产中,fo'shuo'yi'qie'cai'chan'zhong
佛说语言有三种,fo'shuo'yu'yan'you'san'zhong
佛陀妙法与僧众,fo'tuo'miao'fa'yu'seng'zhong
佛像纵然以木雕,fo'xiang'zong'ran'yi'mu'diao
复成无间狱火薪,fu'cheng'wu'jian'yu'huo'xin
复堕地狱遭碎断,fu'duo'di'yu'zao'sui'duan
复合黑绳极烧热,fu'he'hei'sheng'ji'shao're
复将为诸剑叶林,fu'jiang'wei'zhu'jian'ye'lin
缚轮回狱当断彼,fu'lun'hui'yu'dang'duan'bi
复沦煻煨尸粪泥,fu'lun'tang'wei'shi'fen'ni
腹如山丘饥所缠,fu'ru'shan'qiu'ji'suo'chan
父转成子母成妻,fu'zhuan'cheng'zi'mu'cheng'qi
感受极难忍受苦,gan'shou'ji'nan'ren'shou'ku
各功德资常忆念,ge'gong'de'zi'chang'yi'nian
各自分散之自性,ge'zi'fen'san'zhi'zi'xing
根源轮回当生厌,gen'yuan'lun'hui'dang'sheng'yan
耿耿于怀起冲突,geng'geng'yu'huai'qi'chong'tu
功德主田之事生,gong'de'zhu'tian'zhi'shi'sheng
供养彼等今名扬,gong'yang'bi'deng'jin'ming'yang
故当精勤行大善,gu'dang'jing'qin'xing'da'shan
故王修法具实义,gu'wang'xiu'fa'ju'shi'yi
灌注炽烧之铜汁,guan'zhu'chi'shao'zhi'tong'zhi
广果天之四天界,guang'guo'tian'zhi'si'tian'jie
过去每世所遗骨,guo'qu'mei'shi'suo'yi'gu
国王当做第一种,guo'wang'dang'zuo'di'yi'zhong
毫不生畏如金刚,hao'bu'sheng'wei'ru'jin'gang
毫无自由受人打,hao'wu'zi'you'shou'ren'da
何况真受异熟果,he'kuang'zhen'shou'yi'shu'guo
何者定慧兼有之,he'zhe'ding'hui'jian'you'zhi
何者具此二功德,he'zhe'ju'ci'er'gong'de
何者若能真见此,he'zhe'ruo'neng'zhen'jian'ci
何者昔日极放逸,he'zhe'xi'ri'ji'fang'yi
何者孝敬父母亲,he'zhe'xiao'jing'fu'mu'qin
恒常真实而修持,heng'chang'zhen'shi'er'xiu'chi
恒时动摇不稳固,heng'shi'dong'yao'bu'wen'gu
恒贪不具对治法,heng'tan'bu'ju'dui'zhi'fa
后不自主而投生,hou'bu'zi'zhu'er'tou'sheng
呼气吸气沉睡间,hu'qi'xi'qi'chen'shui'jian
花鬘枯萎不喜座,hua'man'ku'wei'bu'xi'zuo
坏生死证如来性,huai'sheng'si'zheng'ru'lai'xing
欢喜贤妙之维生,huan'xi'xian'miao'zhi'wei'sheng
昏睡贪欲及怀疑,hun'shui'tan'yu'ji'huai'yi
或入曼陀妙池沼,huo'ru'man'tuo'miao'chi'zhao
获生日月自身光,huo'sheng'ri'yue'zi'shen'guang
即便见闻地狱图,ji'bian'jian'wen'di'yu'tu
己发宏愿积大福,ji'fa'hong'yuan'ji'da'fu
寂静调柔无垢染,ji'jing'tiao'rou'wu'gou'ran
饥渴寒热疲畏惧,ji'ke'han're'pi'wei'ju
即身语意造恶业,ji'shen'yu'yi'zao'e'ye
及以种貌闻韶华,ji'yi'zhong'mao'wen'shao'hua
结缚有中此三者,jie'fu'you'zhong'ci'san'zhe
戒慧施生净大名,jie'hui'shi'sheng'jing'da'ming
戒如动静之大地,jie'ru'dong'jing'zhi'da'di
解脱依赖于自己,jie'tuo'yi'lai'yu'zi'ji
今暗后暗至最终,jin'an'hou'an'zhi'zui'zhong
今暗后明至圆满,jin'an'hou'ming'zhi'yuan'man
紧紧束缚之众生,jin'jin'shu'fu'zhi'zhong'sheng
尽力不染纤尘许,jin'li'bu'ran'xian'chen'xu
今明后暗至终点,jin'ming'hou'an'zhi'zhong'dian
今明后明至究竟,jin'ming'hou'ming'zhi'jiu'jing
今仍流转投异生,jin'reng'liu'zhuan'tou'yi'sheng
仅望一眼河亦干,jin'wang'yi'yan'he'yi'gan
尽息惑缠苦有情,jin'xi'huo'chan'ku'you'qing
精勤趋入涅槃果,jing'qin'qu'ru'nie'pan'guo
具足广闻戒定者,ju'zu'guang'wen'jie'ding'zhe
捆绑殴打各种苦,kun'bang'ou'da'ge'zhong'ku
懒惰依附恶劣友,lan'duo'yi'fu'e'lie'you
乐忧美言与恶语,le'you'mei'yan'yu'e'yu
了知取舍越惑河,le'zhi'qu'she'yue'huo'he
了知饮食如良药,le'zhi'yin'shi'ru'liang'yao
理当恒常勤修学,li'dang'heng'chang'qin'xiu'xue
理当修习世正见,li'dang'xiu'xi'shi'zheng'jian
利喙飞禽尖爪鸦,li'hui'fei'qin'jian'zhao'ya
离畏何需更繁述,li'wei'he'xu'geng'fan'shu
理应了知戒禁取,li'ying'le'zhi'jie'jin'qu
连续不断受痛苦,lian'xu'bu'duan'shou'tong'ku
另有碎成如细粉,ling'you'sui'cheng'ru'xi'fen
轮回海成蹄迹水,lun'hui'hai'cheng'ti'ji'shui
轮回无实如芭蕉,lun'hui'wu'shi'ru'ba'jiao
轮回自性即如此,lun'hui'zi'xing'ji'ru'ci
屡屡造罪之众生,lv'lv'zao'zui'zhi'zhong'sheng
屡生痛苦不可转,lv'sheng'tong'ku'bu'ke'zhuan
美丽乐园共嬉戏,mei'li'le'yuan'gong'xi'xi
每一众生所饮乳,mei'yi'zhong'sheng'suo'yin'ru
弥足珍贵最甚深,mi'zu'zhen'gui'zui'shen'shen
灭尽此等即解脱,mie'jin'ci'deng'ji'jie'tuo
灭尽三有堪乐王,mie'jin'san'you'kan'le'wang
乃夺善财之盗匪,nai'duo'shan'cai'zhi'dao'fei
乃为顶位之本体,nai'wei'ding'wei'zhi'ben'ti
乃由无明业爱生,nai'you'wu'ming'ye'ai'sheng
乃至恶业未穷尽,nai'zhi'e'ye'wei'qiong'jin
难忍之分亦不及,nan'ren'zhi'fen'yi'bu'ji
难陀指鬘见乐同,nan'tuo'zhi'man'jian'le'tong
内成熟外似未熟,nei'cheng'shu'wai'si'wei'shu
内外未熟内外熟,nei'wai'wei'shu'nei'wai'shu
能得即八圣道支,neng'de'ji'ba'sheng'dao'zhi
能得觉醒极稀奇,neng'de'jue'xing'ji'xi'qi
殴打击败夺吾财,ou'da'ji'bai'duo'wu'cai
旁生饿鬼地狱处,pang'sheng'e'gui'di'yu'chu
旁生生处亦遭杀,pang'sheng'sheng'chu'yi'zao'sha
旁生转人较此难,pang'sheng'zhuan'ren'jiao'ci'nan
皮饰遮掩亦不净,pi'shi'zhe'yan'yi'bu'jing
岂非较前更美妙,qi'fei'jiao'qian'geng'mei'miao
期间必定不离命,qi'jian'bi'ding'bu'li'ming
弃离趋寂诸善法,qi'li'qu'ji'zhu'shan'fa
其量不及为母数,qi'liang'bu'ji'wei'mu'shu
气息未灭存活时,qi'xi'wei'mie'cun'huo'shi
其中具惑如初者,qi'zhong'ju'huo'ru'chu'zhe
悭吝谄诳贪懈怠,qian'lin'chan'kuang'tan'xie'dai
前所未有汗汁流,qian'suo'wei'you'han'zhi'liu
切莫眼瞧他妻室,qie'mo'yan'qiao'ta'qi'shi
亲朋贫者为他世,qin'peng'pin'zhe'wei'ta'shi
清除肮脏呕吐物,qing'chu'ang'zang'ou'tu'wu
轻凌夫君如恶女,qing'ling'fu'jun'ru'e'nv
情投意合若挚友,qing'tou'yi'he'ruo'zhi'you
权势而骄视如敌,quan'shi'er'jiao'shi'ru'di
然离慧戒非受敬,ran'li'hui'jie'fei'shou'jing
然死降临头上时,ran'si'jiang'lin'tou'shang'shi
然无享用之能力,ran'wu'xiang'yong'zhi'neng'li
仁爱自己似慈母,ren'ai'zi'ji'si'ci'mu
人君汝心当厌离,ren'jun'ru'xin'dang'yan'li
人类天众妙龄者,ren'lei'tian'zhong'miao'ling'zhe
如肮脏器难填满,ru'ang'zang'qi'nan'tian'man
如此业即我所造,ru'ci'ye'ji'wo'suo'zao
汝当恭敬而谛听,ru'dang'gong'jing'er'di'ting
汝当如是而精勤,ru'dang'ru'shi'er'jing'qin
汝当调心世尊说,ru'dang'tiao'xin'shi'zun'shuo
汝戒未失无缺憾,ru'jie'wei'shi'wu'que'han
如来所示一捷径,ru'lai'suo'shi'yi'jie'jing
如来殷切而告言,ru'lai'yin'qie'er'gao'yan
如理施比丘梵志,ru'li'shi'bi'qiu'fan'zhi
如理作意而修习,ru'li'zuo'yi'er'xiu'xi
如麻风病虫蠕动,ru'ma'feng'bing'chong'ru'dong
汝莫令嗔有机乘,ru'mo'ling'chen'you'ji'cheng
如是当知微小罪,ru'shi'dang'zhi'wei'xiao'zui
如是反复思维者,ru'shi'fan'fu'si'wei'zhe
如是奉劝汝教言,ru'shi'feng'quan'ru'jiao'yan
如是剧苦极难耐,ru'shi'ju'ku'ji'nan'nai
如是思维高尚士,ru'shi'si'wei'gao'shang'shi
如是四种类型人,ru'shi'si'zhong'lei'xing'ren
如是我诗虽拙劣,ru'shi'wo'shi'sui'zhuo'lie
如是无常与无我,ru'shi'wu'chang'yu'wu'wo
如是无等忍苦行,ru'shi'wu'deng'ren'ku'xing
如是无量智慧度,ru'shi'wu'liang'zhi'hui'du
如是以此善福蕴,ru'shi'yi'ci'shan'fu'yun
如是一切痛苦中,ru'shi'yi'qie'tong'ku'zhong
如是一切诸饿鬼,ru'shi'yi'qie'zhu'e'gui
如是余四蕴皆空,ru'shi'yu'si'yun'jie'kong
如是知成罪恶后,ru'shi'zhi'cheng'zui'e'hou
汝为沙门婆罗门,ru'wei'sha'men'po'luo'men
汝行圆满能仁说,ru'xing'yuan'man'neng'ren'shuo
汝于无量生世中,ru'yu'wu'liang'sheng'shi'zhong
如月离云极绚丽,ru'yue'li'yun'ji'xuan'li
若持邪见纵行善,ruo'chi'xie'jian'zong'xing'shan
若睹亦随其年龄,ruo'du'yi'sui'qi'nian'ling
若具此等八斋戒,ruo'ju'ci'deng'ba'zhai'jie
若求善趣与解脱,ruo'qiu'shan'qu'yu'jie'tuo
若贪真观不净性,ruo'tan'zhen'guan'bu'jing'xing
弱小人身岂堪言,ruo'xiao'ren'shen'qi'kan'yan
萨迦耶见及怀疑,sa'jia'ye'jian'ji'huai'yi
三百短矛猛刺苦,san'bai'duan'mao'meng'ci'ku
丧失正念诸法亡,sang'shi'zheng'nian'zhu'fa'wang
色亦不依我而住,se'yi'bu'yi'wo'er'zhu
沙场胜敌此二者,sha'chang'sheng'di'ci'er'zhe
稍许集成圣梵音,shao'xu'ji'cheng'sheng'fan'yin
少欲之人非如是,shao'yu'zhi'ren'fei'ru'shi
设若善根毫无余,she'ruo'shan'gen'hao'wu'yu
舍身步入无滩河,she'shen'bu'ru'wu'tan'he
摄受数多苦难众,she'shou'shu'duo'ku'nan'zhong
身成小团被烹调,shen'cheng'xiao'tuan'bei'peng'tiao
身处随圣之境地,shen'chu'sui'sheng'zhi'jing'di
身际如灰干际坠,shen'ji'ru'hui'gan'ji'zhui
身色变得极丑陋,shen'se'bian'de'ji'chou'lou
身语意门当常依,shen'yu'yi'men'dang'chang'yi
伸展自手亦不见,shen'zhan'zi'shou'yi'bu'jian
胜过四大海洋水,sheng'guo'si'da'hai'yang'shui
生灭则令一切灭,sheng'mie'ze'ling'yi'qie'mie
生于何趣皆不妙,sheng'yu'he'qu'jie'bu'miao
圣者四谛恒精勤,sheng'zhe'si'di'heng'jing'qin
是故当依诸大德,shi'gu'dang'yi'zhu'da'de
是故流转轮回者,shi'gu'liu'zhuan'lun'hui'zhe
是故汝为增善法,shi'gu'ru'wei'zeng'shan'fa
是故应当常知足,shi'gu'ying'dang'chang'zhi'zu
世间怙主寿无量,shi'jian'hu'zhu'shou'wu'liang
世间人以其铁镣,shi'jian'ren'yi'qi'tie'liao
世间日亲所言说,shi'jian'ri'qin'suo'yan'shuo
施戒安忍精进禅,shi'jie'an'ren'jing'jin'chan
施戒天尊六随念,shi'jie'tian'zun'liu'sui'nian
师客父母王妃眷,shi'ke'fu'mu'wang'fei'juan
事实如此故为见,shi'shi'ru'ci'gu'wei'jian
施外无余胜亲友,shi'wai'wu'yu'sheng'qin'you
瘦骨嶙峋如干薪,shou'gu'lin'xun'ru'gan'xin
守护动摇之内心,shou'hu'dong'yao'zhi'nei'xin
寿量五千或万年,shou'liang'wu'qian'huo'wan'nian
寿命多害即无常,shou'ming'duo'hai'ji'wu'chang
数两盐转少水味,shu'liang'yan'zhuan'shao'shui'wei
树木不生诸果实,shu'mu'bu'sheng'zhu'guo'shi
殊胜戒律及慧定,shu'sheng'jie'lv'ji'hui'ding
睡时亦非徒无果,shui'shi'yi'fei'tu'wu'guo
谁以宝饰之金器,shui'yi'bao'shi'zhi'jin'qi
撕扯双手仰向天,si'che'shuang'shou'yang'xiang'tian
四颠倒见即祸根,si'dian'dao'jian'ji'huo'gen
死堕痛苦大于彼,si'duo'tong'ku'da'yu'bi
死后复至黑暗处,si'hou'fu'zhi'hei'an'chu
死与畏等剧苦蕴,si'yu'wei'deng'ju'ku'yun
四种禅定次第生,si'zhong'chan'ding'ci'di'sheng
虽得少许不净物,sui'de'shao'xu'bu'jing'wu
虽具智慧以趣障,sui'ju'zhi'hui'yi'qu'zhang
随力能修其一德,sui'li'neng'xiu'qi'yi'de
随顺自己如姊妹,sui'shun'zi'ji'ru'zi'mei
随喜诸善三门善,sui'xi'zhu'shan'san'men'shan
随行罗汉之戒律,sui'xing'luo'han'zhi'jie'lv
随足起伏极惬意,sui'zu'qi'fu'ji'qie'yi
损害盗夺与淫行,sun'hai'dao'duo'yu'yin'xing
所生极其难忍苦,suo'sheng'ji'qi'nan'ren'ku
所生痛苦如是多,suo'sheng'tong'ku'ru'shi'duo
所示一切之死兆,suo'shi'yi'qie'zhi'si'zhao
所谓十四无记法,suo'wei'shi'si'wu'ji'fa
所有一切安乐中,suo'you'yi'qie'an'le'zhong
他法少许亦无有,ta'fa'shao'xu'yi'wu'you
他人不能作助伴,ta'ren'bu'neng'zuo'zhu'ban
他世亦转善趣中,ta'shi'yi'zhuan'shan'qu'zhong
贪欲嗔恨增上慢,tan'yu'chen'hen'zeng'shang'man
天界死堕之五相,tian'jie'si'duo'zhi'wu'xiang
天界虽具大安乐,tian'jie'sui'ju'da'an'le
天境天人已出现,tian'jing'tian'ren'yi'chu'xian
天女金花艳彩容,tian'nv'jin'hua'yan'cai'rong
天人地狱饿鬼畜,tian'ren'di'yu'e'gui'chu
听从如仆敬若神,ting'cong'ru'pu'jing'ruo'shen
同熏难忍之苦味,tong'xun'nan'ren'zhi'ku'wei
投火飞蛾吞入口,tou'huo'fei'e'tun'ru'kou
头或衣上骤燃火,tou'huo'yi'shang'zhou'ran'huo
投生饿鬼堕地狱,tou'sheng'e'gui'duo'di'yu
土石之上绘图画,tu'shi'zhi'shang'hui'tu'hua
外似成熟内未熟,wai'si'cheng'shu'nei'wei'shu
万数黑蝇蜂触食,wan'shu'hei'ying'feng'chu'shi
王汝虽先已精通,wang'ru'sui'xian'yi'jing'tong
妄语贪酒非时餐,wang'yu'tan'jiu'fei'shi'can
为不转生当精进,wei'bu'zhuan'sheng'dang'jing'jin
微财不放如盗匪,wei'cai'bu'fang'ru'dao'fei
为得佛果普回向,wei'de'fo'guo'pu'hui'xiang
为得乐受皆依火,wei'de'le'shou'jie'yi'huo
未混未染当依之,wei'hun'wei'ran'dang'yi'zhi
为获寂灭当修此,wei'huo'ji'mie'dang'xiu'ci
为见胜义于诸法,wei'jian'sheng'yi'yu'zhu'fa
未来所饮更过彼,wei'lai'suo'yin'geng'guo'bi
为令堪德善妙者,wei'ling'kan'de'shan'miao'zhe
未抛舍财诸俗人,wei'pao'she'cai'zhu'su'ren
唯一当弃最末者,wei'yi'dang'qi'zui'mo'zhe
未忆念此之众生,wei'yi'nian'ci'zhi'zhong'sheng
唯一为使身生存,wei'yi'wei'shi'shen'sheng'cun
闻诸地狱无量苦,wen'zhu'di'yu'wu'liang'ku
我不具色非依存,wo'bu'ju'se'fei'yi'cun
我为此人相责骂,wo'wei'ci'ren'xiang'ze'ma
无常无我不清净,wu'chang'wu'wo'bu'qing'jing
舞蹈花鬘皆当断,wu'dao'hua'man'jie'dang'duan
无法摧毁大善根,wu'fa'cui'hui'da'shan'gen
无法遣除之暗处,wu'fa'qian'chu'zhi'an'chu
无法现见真实谛,wu'fa'xian'jian'zhen'shi'di
无间狱苦最难忍,wu'jian'yu'ku'zui'nan'ren
无论如何智者供,wu'lun'ru'he'zhi'zhe'gong
无明生行行生识,wu'ming'sheng'xing'xing'sheng'shi
无依无怙无存处,wu'yi'wu'hu'wu'cun'chu
无有禅定亦无慧,wu'you'chan'ding'yi'wu'hui
无有佛教于边地,wu'you'fo'jiao'yu'bian'di
无有穷尽无老死,wu'you'qiong'jin'wu'lao'si
无有少许确定性,wu'you'shao'xu'que'ding'xing
无有贪嗔而享用,wu'you'tan'chen'er'xiang'yong
无余比此更重要,wu'yu'bi'ci'geng'zhong'yao
五种善恶更为重,wu'zhong'shan'e'geng'wei'zhong
希福我依佛尊说,xi'fu'wo'yi'fo'zun'shuo
喜高广床与歌唱,xi'gao'guang'chuang'yu'ge'chang
喜乐生爱定寂灭,xi'le'sheng'ai'ding'ji'mie
昔随惑转之异生,xi'sui'huo'zhuan'zhi'yi'sheng
贤明君主勤度过,xian'ming'jun'zhu'qin'du'guo
现前圣法之彼等,xian'qian'sheng'fa'zhi'bi'deng
相互啖食极难忍,xiang'hu'dan'shi'ji'nan'ren
相互殴打从喉中,xiang'hu'ou'da'cong'hou'zhong
享用婀娜之天女,xiang'yong'e'nuo'zhi'tian'nv
心乃诸法之根本,xin'nai'zhu'fa'zhi'gen'ben
心喜轻安及等持,xin'xi'qing'an'ji'deng'chi
信心精进与正念,xin'xin'jing'jin'yu'zheng'nian
心中生起大痛苦,xin'zhong'sheng'qi'da'tong'ku
性如联敌刽子手,xing'ru'lian'di'gui'zi'shou
血肉骨皮而遭杀,xue'rou'gu'pi'er'zao'sha
亦不应造诸罪业,yi'bu'ying'zao'zhu'zui'ye
亦得梵天无量乐,yi'de'fan'tian'wu'liang'le
已睹真如佛法身,yi'du'zhen'ru'fo'fa'shen
以断欲行喜乐苦,yi'duan'yu'xing'xi'le'ku
亦非从天而降临,yi'fei'cong'tian'er'jiang'lin
依佛累世得寂灭,yi'fo'lei'shi'de'ji'mie
以戒定慧趣涅槃,yi'jie'ding'hui'qu'nie'pan
亦具难忍之苦果,yi'ju'nan'ren'zhi'ku'guo
依妙法说勿轻蔑,yi'miao'fa'shuo'wu'qing'mie
亦能生起怖畏心,yi'neng'sheng'qi'bu'wei'xin
忆念读诵或造形,yi'nian'du'song'huo'zao'xing
一切功德之根本,yi'qie'gong'de'zhi'gen'ben
一切龙王头数目,yi'qie'long'wang'tou'shu'mu
一切欲妙生祸殃,yi'qie'yu'miao'sheng'huo'yang
衣染污垢身体上,yi'ran'wu'gou'shen'ti'shang
一味获得种种苦,yi'wei'huo'de'zhong'zhong'ku
以业感招亦堕地,yi'ye'gan'zhao'yi'duo'di
亦应倾听彼过患,yi'ying'qing'ting'bi'guo'huan
依于殊胜之正士,yi'yu'shu'sheng'zhi'zheng'shi
依之非令心寂灭,yi'zhi'fei'ling'xin'ji'mie
依止真实善知识,yi'zhi'zhen'shi'shan'zhi'shi
饮酒夜晚入村落,yin'jiu'ye'wan'ru'cun'luo
应当精勤修四谛,ying'dang'jing'qin'xiu'si'di
拥有天人世间福,yong'you'tian'ren'shi'jian'fu
由爱生取彼生有,you'ai'sheng'qu'bi'sheng'you
有被炽燃铁戈刺,you'bei'chi'ran'tie'ge'ci
有被铁齿之猛犬,you'bei'tie'chi'zhi'meng'quan
有被压榨如芝麻,you'bei'ya'zha'ru'zhi'ma
由彼中生名与色,you'bi'zhong'sheng'ming'yu'se
有愧智慧圣七财,you'kui'zhi'hui'sheng'qi'cai
由名色中生六处,you'ming'se'zhong'sheng'liu'chu
有情无余化为尘,you'qing'wu'yu'hua'wei'chen
犹如地上临终者,you'ru'di'shang'lin'zhong'zhe
犹如阿弥陀佛尊,you'ru'e'mi'tuo'fo'zun
犹如蜂蜜鲜花粪,you'ru'feng'mi'xian'hua'fen
犹如猛兽毒刀刃,you'ru'meng'shou'du'dao'ren
犹如圣者观自在,you'ru'sheng'zhe'guan'zi'zai
犹如石灰依月光,you'ru'shi'hui'yi'yue'guang
犹如水泡为风吹,you'ru'shui'pao'wei'feng'chui
由天界中死堕者,you'tian'jie'zhong'si'duo'zhe
有为所造罪业索,you'wei'suo'zao'zui'ye'suo
有以各种昆虫类,you'yi'ge'zhong'kun'chong'lei
有以难忍利斧劈,you'yi'nan'ren'li'fu'pi
有益窍诀此义藏,you'yi'qiao'jue'ci'yi'cang
有因珍珠有因毛,you'yin'zhen'zhu'you'yin'mao
有于沸腾溶液中,you'yu'fei'teng'rong'ye'zhong
有于铁制巨锅中,you'yu'tie'zhi'ju'guo'zhong
有者口小如针眼,you'zhe'kou'xiao'ru'zhen'yan
有者劣种排脓血,you'zhe'lie'zhong'pai'nong'xue
有者裸体皮包骨,you'zhe'luo'ti'pi'bao'gu
有者所造诸罪业,you'zhe'suo'zao'zhu'zui'ye
有者夜晚口燃火,you'zhe'ye'wan'kou'ran'huo
有者以锯锯割之,you'zhe'yi'ju'ju'ge'zhi
有者置于火烬堆,you'zhe'zhi'yu'huo'jin'dui
于此等法莫思索,yu'ci'deng'fa'mo'si'suo
于此一日中感受,yu'ci'yi'ri'zhong'gan'shou
于大能仁之众教,yu'da'neng'ren'zhi'zhong'jiao
与龟相遇极难得,yu'gui'xiang'yu'ji'nan'de
于轮回中复成仆,yu'lun'hui'zhong'fu'cheng'pu
欲天界中大乐者,yu'tian'jie'zhong'da'le'zhe
与之相比更愚蠢,yu'zhi'xiang'bi'geng'yu'chun
与之相同具功德,yu'zhi'xiang'tong'ju'gong'de
于中夜具正念眠,yu'zhong'ye'ju'zheng'nian'mian
