啊出来,a'chu'lai
不是蛮好的,bu'shi'man'hao'de
不想烦,bu'xiang'fan
不像人,bu'xiang'ren
不要不要的,bu'yao'bu'yao'de
不要的吧,bu'yao'de'ba
不要多少,bu'yao'duo'shao
不要了哇,bu'yao'le'wa
不要了为,bu'yao'le'wei
不要哇,bu'yao'wa
不在无锡,bu'zai'wu'xi
不知道哇,bu'zhi'dao'wa
不知道为,bu'zhi'dao'wei
不止的,bu'zhi'de
擦老空,ca'lao'kong
擦麻将,ca'ma'jiang
擦屁,ca'pi
才不高兴,cai'bu'gao'xing
菜场,cai'chang
菜场上,cai'chang'shang
菜饭,cai'fan
才过人,cai'guo'ren
蔡嘉,cai'jia
采桃子,cai'tao'zi
采杨梅,cai'yang'mei
彩印厂,cai'yin'chang
惨过人,can'guo'ren
曹张新村,cao'zhang'xin'cun
茶东,cha'dong
茶壶,cha'hu
茶局巷,cha'ju'xiang
查套餐,cha'tao'can
查账单,cha'zhang'dan
拆迁房,chai'qian'fang
产监处,chan'jian'chu
厂车,chang'che
长广溪,chang'guang'xi
长江北路,chang'jiang'bei'lu
长江村,chang'jiang'cun
长江国际,chang'jiang'guo'ji
长江俱乐部,chang'jiang'ju'le'bu
长江绿岛,chang'jiang'lv'dao
长泾镇,chang'jing'zhen
厂里去,chang'li'qu
厂里人,chang'li'ren
常隆,chang'long
长庆路,chang'qing'lu
长山,chang'shan
长山大道,chang'shan'da'dao
长欣公寓,chang'xin'gong'yu
常州吧,chang'zhou'ba
常州北,chang'zhou'bei
常州的,chang'zhou'de
常州恐龙园,chang'zhou'kong'long'yuan
常州了,chang'zhou'le
常州呢,chang'zhou'ne
常州去,chang'zhou'qu
炒地皮,chao'di'pi
炒粉丝,chao'fen'si
超王记,chao'wang'ji
扯扯老空,che'che'lao'kong
扯老空,che'lao'kong
乘车了,cheng'che'le
乘的,cheng'de
乘风凉,cheng'feng'liang
乘公交,cheng'gong'jiao
成光,cheng'guang
成化,cheng'hua
澄江,cheng'jiang
澄江福地,cheng'jiang'fu'di
澄江街道,cheng'jiang'jie'dao
澄江镇,cheng'jiang'zhen
城南路,cheng'nan'lu
成校,cheng'xiao
澄杨路,cheng'yang'lu
吃巴掌,chi'ba'zhang
吃棒冰,chi'bang'bing
痴比,chi'bi
吃不掉了,chi'bu'diao'le
吃不消你,chi'bu'xiao'ni
吃吃吧,chi'chi'ba
吃吃饱,chi'chi'bao
吃吃的,chi'chi'de
吃吃了,chi'chi'le
吃吃玩玩,chi'chi'wan'wan
吃的掉,chi'de'diao
吃的屎,chi'de'shi
吃的哇,chi'de'wa
吃的住,chi'de'zhu
吃饭了哇,chi'fan'le'wa
吃非,chi'fei
吃非消,chi'fei'xiao
吃否消,chi'fou'xiao
吃个屎,chi'ge'shi
吃官司,chi'guan'si
痴鬼,chi'gui
吃过晚饭,chi'guo'wan'fan
吃好咧,chi'hao'lie
吃好晚饭,chi'hao'wan'fan
吃馄饨,chi'hun'tun
吃记得,chi'ji'de
吃老酒,chi'lao'jiu
吃了晚饭,chi'le'wan'fan
吃了为,chi'le'wei
吃力到,chi'li'dao
吃力的,chi'li'de
吃力个,chi'li'ge
吃力了,chi'li'le
吃泡饭,chi'pao'fan
痴婆子,chi'po'zi
吃生活,chi'sheng'huo
吃晚饭,chi'wan'fan
吃晚饭啊,chi'wan'fan'a
吃晚饭吧,chi'wan'fan'ba
吃晚饭的,chi'wan'fan'de
吃晚饭啦,chi'wan'fan'la
吃晚饭呢,chi'wan'fan'ne
吃为,chi'wei
痴笑,chi'xiao
吃夜饭,chi'ye'fan
吃夜宵的,chi'ye'xiao'de
崇安,chong'an
崇安区,chong'an'qu
崇安寺,chong'an'si
重播去,chong'bo'qu
重播是,chong'bo'shi
充场,chong'chang
重默,chong'mo
崇宁路,chong'ning'lu
臭水平,chou'shui'ping
抽乌龟,chou'wu'gui
出出头,chu'chu'tou
出点头,chu'dian'tou
出来了哇,chu'lai'le'wa
触霉头,chu'mei'tou
出头点,chu'tou'dian
初中里,chu'zhong'li
穿穿的,chuan'chuan'de
川金楼,chuan'jin'lou
穿裙,chuan'qun
川渝楼,chuan'yu'lou
春潮,chun'chao
春潮花园,chun'chao'hua'yuan
春合苑,chun'he'yuan
春江华庭,chun'jiang'hua'ting
春江花园,chun'jiang'hua'yuan
戳眼睛,chuo'yan'jing
次鬼,ci'gui
次婆子,ci'po'zi
从江阴,cong'jiang'yin
从无锡,cong'wu'xi
凑上来,cou'shang'lai
村上的,cun'shang'de
村上人,cun'shang'ren
大澄网,da'cheng'wang
大成巷,da'cheng'xiang
大池路,da'chi'lu
搭搭,da'da
打的车,da'de'che
打电话我的,da'dian'hua'wo'de
大丁佳苑,da'ding'jia'yuan
大东方,da'dong'fang
大东方百货,da'dong'fang'bai'huo
大队里,da'dui'li
打个电话我,da'ge'dian'hua'wo
大箕山,da'ji'shan
大觉寺,da'jue'si
大块头,da'kuai'tou
大麻麻,da'ma'ma
大年夜,da'nian'ye
大娘水饺,da'niang'shui'jiao
大娘子,da'niang'zi
大蒜子,da'suan'zi
大统华,da'tong'hua
大通路,da'tong'lu
大玩家,da'wan'jia
打我电话的,da'wo'dian'hua'de
大无锡,da'wu'xi
大洋百货,da'yang'bai'huo
大宜兴,da'yi'xing
带个我,dai'ge'wo
戴庄,dai'zhuang
荡马路,dang'ma'lu
当你个屁,dang'ni'ge'pi
当心我,dang'xin'wo
到不要,dao'bu'yao
到厂里了,dao'chang'li'le
到江阴,dao'jiang'yin
倒头光,dao'tou'guang
到无锡,dao'wu'xi
到无锡了,dao'wu'xi'le
稻香新村,dao'xiang'xin'cun
到宜兴,dao'yi'xing
的波,de'bo
的诺,de'nuo
德士基,de'shi'ji
的哇,de'wa
的为,de'wei
德秀宫,de'xiu'gong
等噶,deng'ga
等你空了,deng'ni'kong'le
等你哇,deng'ni'wa
等我空了,deng'wo'kong'le
等歇,deng'xie
底槽清,di'cao'qing
滴翠路,di'cui'lu
第六空间,di'liu'kong'jian
滴露桥,di'lu'qiao
第一岗,di'yi'gang
第一国际,di'yi'guo'ji
第一看点,di'yi'kan'dian
电池片,dian'chi'pian
点穿,dian'chuan
垫垫饥,dian'dian'ji
电话我的,dian'hua'wo'de
点了哇,dian'le'wa
店面房,dian'mian'fang
点神光,dian'shen'guang
电子考,dian'zi'kao
定定心心,ding'ding'xin'xin
丁山,ding'shan
丁山的,ding'shan'de
丁山了,ding'shan'le
丁山人,ding'shan'ren
丁蜀镇,ding'shu'zhen
丁香花园,ding'xiang'hua'yuan
定心点,ding'xin'dian
定心了,ding'xin'le
丁职中,ding'zhi'zhong
东北塘,dong'bei'tang
懂得哇,dong'de'wa
东港镇,dong'gang'zhen
东顾巷,dong'gu'xiang
东湖塘,dong'hu'tang
东绛,dong'jiang
懂了哇,dong'le'wa
懂了呀,dong'le'ya
东林,dong'lin
东林书院,dong'lin'shu'yuan
东林中学,dong'lin'zhong'xue
东亭,dong'ting
东亭镇,dong'ting'zhen
都山,dou'shan
都在无锡,dou'zai'wu'xi
赌钱的,du'qian'de
赌钱了,du'qian'le
短寿命,duan'shou'ming
短信呼,duan'xin'hu
对的哇,dui'de'wa
对的为,dui'de'wei
对非,dui'fei
对个,dui'ge
对口单招,dui'kou'dan'zhao
对诺,dui'nuo
对为,dui'wei
炖鸡蛋,dun'ji'dan
多到死,duo'dao'si
多的哇,duo'de'wa
多的呀,duo'de'ya
多点啦,duo'dian'la
鹅鼻嘴,e'bi'zui
鹅湖,e'hu
鹅湖镇,e'hu'zhen
嗯为,en'wei
二泉,er'quan
二泉花园,er'quan'hua'yuan
二泉路,er'quan'lu
二泉网,er'quan'wang
发逼疯,fa'bi'feng
发痴,fa'chi
发痴的,fa'chi'de
发痴了,fa'chi'le
法尔胜,fa'er'sheng
发发痴,fa'fa'chi
发毛病,fa'mao'bing
发消息我,fa'xiao'xi'wo
烦不清,fan'bu'qing
烦到死,fan'dao'si
饭店网,fan'dian'wang
饭米粒,fan'mi'li
纺城,fang'cheng
纺城大道,fang'cheng'da'dao
放你个,fang'ni'ge
放你个屁,fang'ni'ge'pi
坊前,fang'qian
放晚学,fang'wan'xue
非吃,fei'chi
非得了,fei'dei'le
非懂,fei'dong
非对,fei'dui
非高兴,fei'gao'xing
非好,fei'hao
非会,fei'hui
非然,fei'ran
非晓着,fei'xiao'zhe
非准,fei'zhun
粉粉碎,fen'fen'sui
凤宾,feng'bin
风光里,feng'guang'li
风雷新村,feng'lei'xin'cun
凤翔路,feng'xiang'lu
佛好,fo'hao
佛会,fo'hui
佛晓得,fo'xiao'de
佛要,fo'yao
否吃,fou'chi
否得,fou'de
否得过,fou'de'guo
否得了,fou'de'le
否对,fou'dui
否敢,fou'gan
否高兴,fou'gao'xing
否好,fou'hao
否好意思,fou'hao'yi'si
否会,fou'hui
否可以,fou'ke'yi
否肯,fou'ken
否来事,fou'lai'shi
否然,fou'ran
否说,fou'shuo
否晓得,fou'xiao'de
否要,fou'yao
富城湾,fu'cheng'wan
福满楼,fu'man'lou
福摩,fu'mo
福群,fu'qun
芙蓉大道,fu'rong'da'dao
咖喱盒子,ga'li'he'zi
噶姘头,ga'pin'tou
噶平头,ga'ping'tou
噶屎,ga'shi
盖盖好,gai'gai'hao
该钱,gai'qian
干锅牛蛙,gan'guo'niu'wa
干嘛怕,gan'ma'pa
干嘛撒,gan'ma'sa
干嘛哇,gan'ma'wa
钢材城,gang'cai'cheng
刚吃好晚饭,gang'chi'hao'wan'fan
刚吃完晚饭,gang'chi'wan'wan'fan
刚到无锡,gang'dao'wu'xi
杠个,gang'ge
杠开,gang'kai
杠头,gang'tou
港下,gang'xia
钢业,gang'ye
高塍镇,gao'cheng'zhen
高浪嘉园,gao'lang'jia'yuan
高浪路,gao'lang'lu
搞骚,gao'sao
高巷口,gao'xiang'kou
高巷路,gao'xiang'lu
高兴的话,gao'xing'de'hua
高兴去,gao'xing'qu
高中里,gao'zhong'li
各归各,ge'gui'ge
哥伦布,ge'lun'bu
哥伦布广场,ge'lun'bu'guang'chang
个么,ge'me
个么好吧,ge'me'hao'ba
个么你,ge'me'ni
歌纳诗,ge'na'shi
个为,ge'wei
给点你,gei'dian'ni
给点我,gei'dian'wo
给我看看呢,gei'wo'kan'kan'ne
跟你烦,gen'ni'fan
跟我烦,gen'wo'fan
公巴巴,gong'ba'ba
贡湖大道,gong'hu'da'dao
公交三场,gong'jiao'san'chang
公修课,gong'xiu'ke
公益路,gong'yi'lu
工艺师,gong'yi'shi
够了哇,gou'le'wa
狗日个,gou'ri'ge
狗十个,gou'shi'ge
顾洁,gu'jie
顾老板,gu'lao'ban
古罗马,gu'luo'ma
顾强,gu'qiang
顾山,gu'shan
顾山镇,gu'shan'zhen
骨头煲,gu'tou'bao
姑息,gu'xi
古运河,gu'yun'he
挂个水,gua'ge'shui
挂好水,gua'hao'shui
挂了水,gua'le'shui
刮骚,gua'sao
挂水,gua'shui
挂水的,gua'shui'de
挂水了,gua'shui'le
挂水呢,gua'shui'ne
挂水去,gua'shui'qu
挂完水,gua'wan'shui
乖个,guai'ge
观邸,guan'di
官林,guan'lin
官林镇,guan'lin'zhen
观山路,guan'shan'lu
观山名筑,guan'shan'ming'zhu
观天下,guan'tian'xia
贯庄,guan'zhuang
光车,guang'che
光复门,guang'fu'men
广吉,guang'ji
广南里,guang'nan'li
广南路,guang'nan'lu
广瑞路,guang'rui'lu
广石,guang'shi
广石家园,guang'shi'jia'yuan
广石路,guang'shi'lu
光头鸡,guang'tou'ji
光头里,guang'tou'li
广益,guang'yi
广益佳苑,guang'yi'jia'yuan
广益路,guang'yi'lu
广益星苑,guang'yi'xing'yuan
氿滨,gui'bin
轨道办,gui'dao'ban
归东西,gui'dong'xi
归好,gui'hao
贵接,gui'jie
归径,gui'jing
鬼头鬼脑,gui'tou'gui'nao
桂源铺,gui'yuan'pu
过会来,guo'hui'lai
过会找你,guo'hui'zhao'ni
国际饭店,guo'ji'fan'dian
国家软件园,guo'jia'ruan'jian'yuan
国联证券,guo'lian'zheng'quan
哈七搭八,ha'qi'da'ba
哈哟,ha'yo
哈哟喂,ha'yo'wei
还好的呀,hai'hao'de'ya
还好了哇,hai'hao'le'wa
还好了为,hai'hao'le'wei
还好了呀,hai'hao'le'ya
还好哇,hai'hao'wa
还好为,hai'hao'wei
海澜集团,hai'lan'ji'tuan
海澜之家,hai'lan'zhi'jia
海力士,hai'li'shi
海太,hai'tai
还要上班的,hai'yao'shang'ban'de
还在无锡,hai'zai'wu'xi
海中天,hai'zhong'tian
汉堡小子,han'bao'xiao'zi
汗哒哒滴,han'da'da'di
韩福园,han'fu'yuan
韩宫宴,han'gong'yan
汉购卡,han'gou'ka
喊喊你,han'han'ni
汉江路,han'jiang'lu
喊偶,han'ou
瀚宇博德,han'yu'bo'de
昊柏,hao'bai
好别想,hao'bie'xiang
好吃个,hao'chi'ge
好到死,hao'dao'si
好得家,hao'de'jia
好的哇,hao'de'wa
好的为,hao'de'wei
好饭菜,hao'fan'cai
好非,hao'fei
好非啦,hao'fei'la
好个,hao'ge
好个吧,hao'ge'ba
好个哇,hao'ge'wa
好过老,hao'guo'lao
好好里,hao'hao'li
好看老,hao'kan'lao
好看为,hao'kan'wei
豪客来,hao'ke'lai
好老非,hao'lao'fei
好老哇,hao'lao'wa
好老为,hao'lao'wei
好老小,hao'lao'xiao
好了哇,hao'le'wa
好了为,hao'le'wei
好咧哇,hao'lie'wa
好事体,hao'shi'ti
好说好话,hao'shuo'hao'hua
好晚饭,hao'wan'fan
豪味家,hao'wei'jia
好小菜,hao'xiao'cai
蚝庄,hao'zhuang
河北街,he'bei'jie
和调,he'diao
禾嘉,he'jia
荷兰岛,he'lan'dao
喝老酒,he'lao'jiu
河埒口,he'lie'kou
河锊口,he'lue'kou
和你烦,he'ni'fan
和桥,he'qiao
和桥镇,he'qiao'zhen
禾趣,he'qu
和我烦,he'wo'fan
和无锡,he'wu'xi
喝喜酒的,he'xi'jiu'de
黑里俏,hei'li'qiao
黑良心,hei'liang'xin
嘿为,hei'wei
横机,heng'ji
恒泽堂,heng'ze'tang
弘历皇朝,hong'li'huang'chao
红梅市场,hong'mei'shi'chang
红南京,hong'nan'jing
红钱,hong'qian
鸿桥路,hong'qiao'lu
虹桥医院,hong'qiao'yi'yuan
红沙湾,hong'sha'wan
鸿山,hong'shan
鸿山镇,hong'shan'zhen
鸿泰苑,hong'tai'yuan
红汤辣,hong'tang'la
红星桥,hong'xing'qiao
红星苑,hong'xing'yuan
鸿运大包,hong'yun'da'bao
鸿运苑,hong'yun'yuan
后然,hou'ran
吼山,hou'shan
后西溪,hou'xi'xi
后宅,hou'zhai
湖滨,hu'bin
湖滨饭店,hu'bin'fan'dian
湖滨街,hu'bin'jie
湖滨路,hu'bin'lu
湖滨商业街,hu'bin'shang'ye'jie
胡埭,hu'dai
胡埭镇,hu'dai'zhen
胡佳琪,hu'jia'qi
狐狸家,hu'li'jia
沪宁高速,hu'ning'gao'su
花半里,hua'ban'li
华地百货,hua'di'bai'huo
华东商贸城,hua'dong'shang'mao'cheng
华府庄园,hua'fu'zhuang'yuan
滑稽的,hua'ji'de
华莱坞,hua'lai'wu
华老板,hua'lao'ban
华老师,hua'lao'shi
花鸟园,hua'niao'yuan
华士,hua'shi
华士镇,hua'shi'zhen
花头,hua'tou
花头劲,hua'tou'jin
花头了,hua'tou'le
华西村,hua'xi'cun
花园豪生,hua'yuan'hao'sheng
华庄,hua'zhuang
华庄镇,hua'zhuang'zhen
槐古桥,huai'gu'qiao
环保城,huan'bao'cheng
环湖苑,huan'hu'yuan
环科园,huan'ke'yuan
欢乐城,huan'le'cheng
环南路,huan'nan'lu
环太湖,huan'tai'hu
蝗家,huang'jia
黄莉新,huang'li'xin
黄梅天,huang'mei'tian
黄南京,huang'nan'jing
黄泥头,huang'ni'tou
黄傻妞,huang'sha'niu
黄山湖,huang'shan'hu
璜塘,huang'tang
黄田港,huang'tian'gang
璜土,huang'tu
黄土塘,huang'tu'tang
璜土镇,huang'tu'zhen
惠畅里,hui'chang'li
惠峰,hui'feng
惠河路,hui'he'lu
惠华新村,hui'hua'xin'cun
回家了哇,hui'jia'le'wa
汇坚,hui'jian
回江阴,hui'jiang'yin
汇金广场,hui'jin'guang'chang
会肯,hui'ken
惠麓苑,hui'lu'yuan
惠钱,hui'qian
惠钱路,hui'qian'lu
惠泉,hui'quan
惠泉花园,hui'quan'hua'yuan
惠山,hui'shan
惠山大道,hui'shan'da'dao
惠山古镇,hui'shan'gu'zhen
惠山区,hui'shan'qu
惠山万达,hui'shan'wan'da
惠山站,hui'shan'zhan
惠山职教,hui'shan'zhi'jiao
回头货,hui'tou'huo
回无锡,hui'wu'xi
回无锡了,hui'wu'xi'le
回宜兴,hui'yi'xing
惠职,hui'zhi
昏掉,hun'diao
混混了,hun'hun'le
魂灵头,hun'ling'tou
馄饨店,hun'tun'dian
馄饨了,hun'tun'le
活别波,huo'bie'bo
火冒,huo'mao
活森,huo'sen
活杀鸡,huo'sha'ji
火死,huo'si
火死了,huo'si'le
火死我了,huo'si'wo'le
基本是的,ji'ben'shi'de
寄畅园,ji'chang'yuan
几大队,ji'da'dui
机电高职,ji'dian'gao'zhi
几号门,ji'hao'men
几几届,ji'ji'jie
吉麦隆,ji'mai'long
急呛,ji'qiang
吉庆苑,ji'qing'yuan
几时候,ji'shi'hou
鸡味圈,ji'wei'quan
吉祥桥,ji'xiang'qiao
机械件,ji'xie'jian
暨阳,ji'yang
暨阳湖,ji'yang'hu
暨阳路,ji'yang'lu
暨阳论坛,ji'yang'lun'tan
暨阳社区,ji'yang'she'qu
佳达,jia'da
佳福,jia'fu
假个,jia'ge
家和花园,jia'he'hua'yuan
家居港,jia'ju'gang
家开,jia'kai
家里哇,jia'li'wa
假日广场,jia'ri'guang'chang
嘉饰茂,jia'shi'mao
煎馄饨,jian'hun'tun
建筑路,jian'zhu'lu
江北人,jiang'bei'ren
江大,jiang'da
江大的,jiang'da'de
江海路,jiang'hai'lu
江海新村,jiang'hai'xin'cun
江南大学,jiang'nan'da'xue
江南坊,jiang'nan'fang
江南公社,jiang'nan'gong'she
江南花园,jiang'nan'hua'yuan
江南晚报,jiang'nan'wan'bao
江南影视,jiang'nan'ying'shi
江南中学,jiang'nan'zhong'xue
酱排骨,jiang'pai'gu
江苏电信,jiang'su'dian'xin
江苏江阴,jiang'su'jiang'yin
江苏教育,jiang'su'jiao'yu
江苏呢,jiang'su'ne
江苏身,jiang'su'shen
江苏省无锡市,jiang'su'sheng'wu'xi'shi
江苏体彩,jiang'su'ti'cai
江苏无锡,jiang'su'wu'xi
江苏信息,jiang'su'xin'xi
江苏一,jiang'su'yi
江苏移动,jiang'su'yi'dong
江苏宜兴,jiang'su'yi'xing
江苏银行,jiang'su'yin'hang
江溪,jiang'xi
江溪街道,jiang'xi'jie'dao
江阴,jiang'yin
江阴啊,jiang'yin'a
江阴吧,jiang'yin'ba
江阴大桥,jiang'yin'da'qiao
江阴的,jiang'yin'de
江阴店,jiang'yin'dian
江阴话,jiang'yin'hua
江阴了,jiang'yin'le
江阴吗,jiang'yin'ma
江阴呢,jiang'yin'ne
江阴去,jiang'yin'qu
江阴人,jiang'yin'ren
江阴市,jiang'yin'shi
江阴万达,jiang'yin'wan'da
江影,jiang'ying
江原,jiang'yuan
交管所,jiao'guan'suo
脚圈,jiao'quan
交完金,jiao'wan'jin
焦溪,jiao'xi
椒行天下,jiao'xing'tian'xia
戒吧,jie'ba
解放广场,jie'fang'guang'chang
街上去,jie'shang'qu
金城东路,jin'cheng'dong'lu
金城路,jin'cheng'lu
金城湾,jin'cheng'wan
近个,jin'ge
金河湾,jin'he'wan
金花菜,jin'hua'cai
金惠,jin'hui
进阶段,jin'jie'duan
金科,jin'ke
金匮里,jin'kui'li
金匮苑,jin'kui'yuan
锦乐宫,jin'le'gong
锦隆,jin'long
金马国际,jin'ma'guo'ji
今日星辰,jin'ri'xing'chen
今日星城,jin'ri'xing'cheng
金三峡,jin'san'xia
金色江南,jin'se'jiang'nan
金山北,jin'shan'bei
金石路,jin'shi'lu
金水桶,jin'shui'tong
金太湖,jin'tai'hu
今天发出,jin'tian'fa'chu
今天礼拜,jin'tian'li'bai
金锡苑,jin'xi'yuan
今呀,jin'ya
金玉良缘,jin'yu'liang'yuan
金域缇香,jin'yu'ti'xiang
景鸿苑,jing'hong'yuan
景丽苑,jing'li'yuan
经贸路,jing'mao'lu
荆溪,jing'xi
就奥,jiu'ao
酒吧街,jiu'ba'jie
韭菜饼,jiu'cai'bing
九大队,jiu'da'dui
就好了哇,jiu'hao'le'wa
就好了为,jiu'hao'le'wei
就好咧,jiu'hao'lie
九里河,jiu'li'he
九龙仓,jiu'long'cang
九龙湾,jiu'long'wan
就是的哇,jiu'shi'de'wa
就是诺,jiu'shi'nuo
就是哇,jiu'shi'wa
就是为,jiu'shi'wei
就无锡,jiu'wu'xi
就行了哇,jiu'xing'le'wa
就业证,jiu'ye'zheng
就在无锡,jiu'zai'wu'xi
聚丰园,ju'feng'yuan
具区路,ju'qu'lu
君来洲际,jun'lai'zhou'ji
君巫路,jun'wu'lu
卡特彼勒,ka'te'bi'le
凯宾斯基,kai'bin'si'ji
凯并斯基,kai'bing'si'ji
开厂的,kai'chang'de
开电动车,kai'dian'dong'che
凯发苑,kai'fa'yuan
开房间的,kai'fang'jian'de
凯富门,kai'fu'men
开开玩笑的,kai'kai'wan'xiao'de
开来开去,kai'lai'kai'qu
开了年,kai'le'nian
开闹钟,kai'nao'zhong
凯司令,kai'si'ling
凯头,kai'tou
开心的呢,kai'xin'de'ne
开心的哇,kai'xin'de'wa
开心的为,kai'xin'de'wei
开心老,kai'xin'lao
开心了哇,kai'xin'le'wa
开心了呀,kai'xin'le'ya
凯旋门,kai'xuan'men
开夜工,kai'ye'gong
看得出的,kan'de'chu'de
看的哇,kan'de'wa
看都不要看,kan'dou'bu'yao'kan
看看了哇,kan'kan'le'wa
看看呢,kan'kan'ne
看看哇,kan'kan'wa
看看为,kan'kan'wei
看了哇,kan'le'wa
看了为,kan'le'wei
看年轻,kan'nian'qing
康桥丽景,kang'qiao'li'jing
考考好,kao'kao'hao
烤鸭馆,kao'ya'guan
可爱到,ke'ai'dao
可的,ke'de
刻绘,ke'hui
柯兰公寓,ke'lan'gong'yu
可怜到,ke'lian'dao
客气头,ke'qi'tou
咳嗽药水,ke'sou'yao'shui
可以的哇,ke'yi'de'wa
可以的为,ke'yi'de'wei
可以个,ke'yi'ge
可以了哇,ke'yi'le'wa
课桌里,ke'zhuo'li
肯的,ken'de
肯定的哇,ken'ding'de'wa
恐怖到,kong'bu'dao
恐龙园,kong'long'yuan
空劝,kong'quan
空调里,kong'tiao'li
扣金,kou'jin
酷歌,ku'ge
跨塘桥,kua'tang'qiao
快的嘛,kuai'de'ma
快的呢,kuai'de'ne
快的哇,kuai'de'wa
快的呀,kuai'de'ya
快个,kuai'ge
快了哇,kuai'le'wa
狂大,kuang'da
狂多,kuang'duo
匡记,kuang'ji
亏你的,kui'ni'de
困否着,kun'fou'zhe
困高吧,kun'gao'ba
困高了,kun'gao'le
困高咧,kun'gao'lie
困好了,kun'hao'le
困好咧,kun'hao'lie
困觉,kun'jiao
困来的,kun'lai'de
困来了,kun'lai'le
喇叭腔,la'ba'qiang
