爱和谊保险公司,ai'he'yi'bao'xian'gong'si
调出统筹外,diao'chu'tong'chou'wai
调进统筹内,diao'jin'tong'chou'nei
鼎和财险,ding'he'cai'xian
定期生存保险,ding'qi'sheng'cun'bao'xian
定期寿险,ding'qi'shou'xian
定损,ding'sun
定值保险,ding'zhi'bao'xian
东方人寿保险股份有限公司,dong'fang'ren'shou'bao'xian'gu'fen'you'xian'gong'si
东京海上火灾保险株式会社,dong'jing'hai'shang'huo'zai'bao'xian'zhu'shi'hui'she
都邦保险,du'bang'bao'xian
都邦财产保险股份有限公司,du'bang'cai'chan'bao'xian'gu'fen'you'xian'gong'si
短期费率,duan'qi'fei'lv
短期健康保险,duan'qi'jian'kang'bao'xian
短期健康险,duan'qi'jian'kang'xian
对外贸易保险,dui'wai'mao'yi'bao'xian
趸缴,dun'jiao
额外费用,e'wai'fei'yong
法定退休年龄,fa'ding'tui'xiu'nian'ling
法定退休年限,fa'ding'tui'xiu'nian'xian
法国安盟保险公司,fa'guo'an'meng'bao'xian'gong'si
法律服务,fa'lv'fu'wu
房贷险,fang'dai'xian
防护措施失效评估,fang'hu'cuo'shi'shi'xiao'ping'gu
房屋贷款保证保险,fang'wu'dai'kuan'bao'zheng'bao'xian
方中保险公估,fang'zhong'bao'xian'gong'gu
飞机保险,fei'ji'bao'xian
费率,fei'lv
费率系数,fei'lv'xi'shu
分保比例,fen'bao'bi'li
分出保险,fen'chu'bao'xian
分入保险,fen'ru'bao'xian
分支机构,fen'zhi'ji'gou
丰泰保险有限公司,feng'tai'bao'xian'you'xian'gong'si
风险管理,feng'xian'guan'li
浮动费率,fu'dong'fei'lv
附加划痕险,fu'jia'hua'hen'xian
附加险,fu'jia'xian
服务点,fu'wu'dian
改办,gai'ban
改制事业单位,gai'zhi'shi'ye'dan'wei
高龄退休,gao'ling'tui'xiu
高龄退休人员,gao'ling'tui'xiu'ren'yuan
各类参保单位,ge'lei'can'bao'dan'wei
各类参保人员,ge'lei'can'bao'ren'yuan
个人保险代理人,ge'ren'bao'xian'dai'li'ren
个人部分,ge'ren'bu'fen
个人补缴,ge'ren'bu'jiao
个人补缴方式,ge'ren'bu'jiao'fang'shi
个人参保,ge'ren'can'bao
个人代理业务,ge'ren'dai'li'ye'wu
个人划转,ge'ren'hua'zhuan
个人划转部分,ge'ren'hua'zhuan'bu'fen
个人累计缴费年限,ge'ren'lei'ji'jiao'fei'nian'xian
个人欠缴社会保险费,ge'ren'qian'jiao'she'hui'bao'xian'fei
个人投保,ge'ren'tou'bao
个人养老保险,ge'ren'yang'lao'bao'xian
个人账户,ge'ren'zhang'hu
个人帐户,ge'ren'zhang'hu
个人账户储存额,ge'ren'zhang'hu'chu'cun'e
个人帐户封存,ge'ren'zhang'hu'feng'cun
个人账户养老金,ge'ren'zhang'hu'yang'lao'jin
个人帐户一次性支付,ge'ren'zhang'hu'yi'ci'xing'zhi'fu
个人帐户转移,ge'ren'zhang'hu'zhuan'yi
个体私营投保,ge'ti'si'ying'tou'bao
个体投保,ge'ti'tou'bao
工程保险,gong'cheng'bao'xian
公共管理和社会组织,gong'gong'guan'li'he'she'hui'zu'zhi
公共设施管理,gong'gong'she'shi'guan'li
公估公司,gong'gu'gong'si
工伤保险,gong'shang'bao'xian
工伤保险费,gong'shang'bao'xian'fei
工伤保险统筹基金,gong'shang'bao'xian'tong'chou'ji'jin
工伤保险制度,gong'shang'bao'xian'zhi'du
公司法,gong'si'fa
共同保险,gong'tong'bao'xian
共同海损,gong'tong'hai'sun
共同海损理算,gong'tong'hai'sun'li'suan
供销系统,gong'xiao'xi'tong
公众责任保险,gong'zhong'ze'ren'bao'xian
公众责任险,gong'zhong'ze'ren'xian
股份有限公司,gu'fen'you'xian'gong'si
雇主责任保险,gu'zhu'ze'ren'bao'xian
雇主责任险,gu'zhu'ze'ren'xian
挂靠人员,gua'kao'ren'yuan
挂靠退休人员,gua'kao'tui'xiu'ren'yuan
关键风险,guan'jian'feng'xian
光大永明人寿保险有限公司,guang'da'yong'ming'ren'shou'bao'xian'you'xian'gong'si
广电日生人寿保险有限公司,guang'dian'ri'sheng'ren'shou'bao'xian'you'xian'gong'si
过渡性养老金,guo'du'xing'yang'lao'jin
过渡养老金,guo'du'yang'lao'jin
过户,guo'hu
国家基本医疗保险标准,guo'jia'ji'ben'yi'liao'bao'xian'biao'zhun
国家及政府机关,guo'jia'ji'zheng'fu'ji'guan
过失责任,guo'shi'ze'ren
国寿财产,guo'shou'cai'chan
国泰财险,guo'tai'cai'xian
国务院保险监督管理机构,guo'wu'yuan'bao'xian'jian'du'guan'li'ji'gou
国营企业职工待业保险,guo'ying'qi'ye'zhi'gong'dai'ye'bao'xian
国有独资公司,guo'you'du'zi'gong'si
海尔纽约人寿保险有限公司,hai'er'niu'yue'ren'shou'bao'xian'you'xian'gong'si
海康人寿保险有限公司,hai'kang'ren'shou'bao'xian'you'xian'gong'si
海上保险,hai'shang'bao'xian
海上石油勘探开发保险,hai'shang'shi'you'kan'tan'kai'fa'bao'xian
海洋货物运输保险,hai'yang'huo'wu'yun'shu'bao'xian
海洋运输货物保险,hai'yang'yun'shu'huo'wu'bao'xian
韩国三星火灾海上保险有限公司,han'guo'san'xing'huo'zai'hai'shang'bao'xian'you'xian'gong'si
航空航天保险,hang'kong'hang'tian'bao'xian
航空意外险,hang'kong'yi'wai'xian
航意险,hang'yi'xian
核保,he'bao
核保人,he'bao'ren
核电站保险,he'dian'zhan'bao'xian
合伙企业,he'huo'qi'ye
核赔,he'pei
合同分保,he'tong'fen'bao
和约再保险,he'yue'zai'bao'xian
合众人寿,he'zhong'ren'shou
合众人寿保险股份有限公司,he'zhong'ren'shou'bao'xian'gu'fen'you'xian'gong'si
合作保险,he'zuo'bao'xian
恒安标准人寿保险有限公司,heng'an'biao'zhun'ren'shou'bao'xian'you'xian'gong'si
恒康天安人寿保险有限公司,heng'kang'tian'an'ren'shou'bao'xian'you'xian'gong'si
恒泰人寿,heng'tai'ren'shou
红利制度,hong'li'zhi'du
互碰赔偿处理规则,hu'peng'pei'chang'chu'li'gui'ze
华安保险,hua'an'bao'xian
华安财产,hua'an'cai'chan
华安财产保险股份有限公司,hua'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
划痕险,hua'hen'xian
华泰财产,hua'tai'cai'chan
华泰财产保险公司,hua'tai'cai'chan'bao'xian'gong'si
华泰财产保险股份有限公司,hua'tai'cai'chan'bao'xian'gu'fen'you'xian'gong'si
华泰资产管理有限公司,hua'tai'zi'chan'guan'li'you'xian'gong'si
华夏人寿保险股份有限公司,hua'xia'ren'shou'bao'xian'gu'fen'you'xian'gong'si
缓缴,huan'jiao
缓缴期间,huan'jiao'qi'jian
缓缴期满,huan'jiao'qi'man
皇家太阳联合保险公司,huang'jia'tai'yang'lian'he'bao'xian'gong'si
汇丰人寿,hui'feng'ren'shou
婚嫁金保险,hun'jia'jin'bao'xian
货物运输保险,huo'wu'yun'shu'bao'xian
货运险,huo'yun'xian
火灾保险,huo'zai'bao'xian
火灾公众责任险,huo'zai'gong'zhong'ze'ren'xian
基本建设保险,ji'ben'jian'she'bao'xian
基本养老金,ji'ben'yang'lao'jin
疾病保险,ji'bing'bao'xian
疾病防控活动,ji'bing'fang'kong'huo'dong
基础养老金,ji'chu'yang'lao'jin
机动车交通事故责任强制保险,ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian
机动车交通责任强制保险条例,ji'dong'che'jiao'tong'ze'ren'qiang'zhi'bao'xian'tiao'li
机动车辆保险,ji'dong'che'liang'bao'xian
机动车辆保险条款,ji'dong'che'liang'bao'xian'tiao'kuan
计发办法,ji'fa'ban'fa
计发月数,ji'fa'yue'shu
给付保险金,ji'fu'bao'xian'jin
机器损坏保险,ji'qi'sun'huai'bao'xian
技术密集,ji'shu'mi'ji
计算机服务,ji'suan'ji'fu'wu
机损险,ji'sun'xian
集体参保,ji'ti'can'bao
集体企业投保,ji'ti'qi'ye'tou'bao
集体投保,ji'ti'tou'bao
集装箱专用运输车,ji'zhuang'xiang'zhuan'yong'yun'shu'che
家财险,jia'cai'xian
嘉禾人寿保险股份有限公司,jia'he'ren'shou'bao'xian'gu'fen'you'xian'gong'si
家庭财产保险,jia'ting'cai'chan'bao'xian
家用机动车险,jia'yong'ji'dong'che'xian
驾员险,jia'yuan'xian
简单赔付率,jian'dan'pei'fu'lv
见费出单,jian'fei'chu'dan
建管局,jian'guan'ju
建管系统,jian'guan'xi'tong
间接损失,jian'jie'sun'shi
健康保险,jian'kang'bao'xian
健康险,jian'kang'xian
建老人员,jian'lao'ren'yuan
建老退休人员,jian'lao'tui'xiu'ren'yuan
建立个人账户,jian'li'ge'ren'zhang'hu
减数再保险,jian'shu'zai'bao'xian
兼业代理,jian'ye'dai'li
兼业代理业务,jian'ye'dai'li'ye'wu
简易处理,jian'yi'chu'li
简易人身保险,jian'yi'ren'shen'bao'xian
建筑工程保险,jian'zhu'gong'cheng'bao'xian
建筑工程一切险,jian'zhu'gong'cheng'yi'qie'xian
降低费率,jiang'di'fei'lv
缴费,jiao'fei
缴费比例,jiao'fei'bi'li
缴费工资指数年度,jiao'fei'gong'zi'zhi'shu'nian'du
缴费基数,jiao'fei'ji'shu
缴费年度,jiao'fei'nian'du
缴费年限,jiao'fei'nian'xian
铰链,jiao'lian
铰链调整,jiao'lian'tiao'zheng
交强险,jiao'qiang'xian
交强险版,jiao'qiang'xian'ban
交强险责任限额,jiao'qiang'xian'ze'ren'xian'e
交通工具意外伤害保险,jiao'tong'gong'ju'yi'wai'shang'hai'bao'xian
交通事故处理程序规定,jiao'tong'shi'gu'chu'li'cheng'xu'gui'ding
交通事故人员创伤临床诊疗指南,jiao'tong'shi'gu'ren'yuan'chuang'shang'lin'chuang'zhen'liao'zhi'nan
交通系统,jiao'tong'xi'tong
交通运输和邮政业,jiao'tong'yun'shu'he'you'zheng'ye
教育金,jiao'yu'jin
解除劳动关系,jie'chu'lao'dong'guan'xi
解除劳动关系险,jie'chu'lao'dong'guan'xi'xian
接管期限,jie'guan'qi'xian
接受人,jie'shou'ren
截止日期,jie'zhi'ri'qi
金保工程,jin'bao'gong'cheng
金保工程险,jin'bao'gong'cheng'xian
金融服务业,jin'rong'fu'wu'ye
金融业,jin'rong'ye
进入中心,jin'ru'zhong'xin
金盛人寿保险有限公司,jin'sheng'ren'shou'bao'xian'you'xian'gong'si
净保费,jing'bao'fei
净费率,jing'fei'lv
经纪费率,jing'ji'fei'lv
经纪机构,jing'ji'ji'gou
经纪业务,jing'ji'ye'wu
精算师,jing'suan'shi
经委系统,jing'wei'xi'tong
就低原则,jiu'di'yuan'ze
就高不就低,jiu'gao'bu'jiu'di
就高原则,jiu'gao'yuan'ze
救助费用,jiu'zhu'fei'yong
巨灾风险,ju'zai'feng'xian
绝对责任,jue'dui'ze'ren
均方差,jun'fang'cha
均衡纯保费,jun'heng'chun'bao'fei
客户代码,ke'hu'dai'ma
科隆再保险有限公司,ke'long'zai'bao'xian'you'xian'gong'si
科研技术服务业,ke'yan'ji'shu'fu'wu'ye
宽限期,kuan'xian'qi
昆仑健康保险股份有限公司,kun'lun'jian'kang'bao'xian'gu'fen'you'xian'gong'si
困难企业,kun'nan'qi'ye
扩大覆盖面,kuo'da'fu'gai'mian
扩覆,kuo'fu
扩覆人数,kuo'fu'ren'shu
扩覆任务,kuo'fu'ren'wu
扩面,kuo'mian
扩面人数,kuo'mian'ren'shu
扩面任务,kuo'mian'ren'wu
来料加工险,lai'liao'jia'gong'xian
劳动保障,lao'dong'bao'zhang
劳动保障服务点,lao'dong'bao'zhang'fu'wu'dian
劳工保险和雇主责任保险,lao'gong'bao'xian'he'gu'zhu'ze'ren'bao'xian
劳合社,lao'he'she
老龄化,lao'ling'hua
累计缴费年限,lei'ji'jiao'fei'nian'xian
利安人寿,li'an'ren'shou
利宝保险有限公司,li'bao'bao'xian'you'xian'gong'si
利宝互助,li'bao'hu'zhu
历年在岗职工社会平均工资,li'nian'zai'gang'zhi'gong'she'hui'ping'jun'gong'zi
历年制,li'nian'zhi
历年制赔付率,li'nian'zhi'pei'fu'lv
理赔,li'pei
理赔流程,li'pei'liu'cheng
理赔实务,li'pei'shi'wu
利润损失险,li'run'sun'shi'xian
理算,li'suan
离退休人员,li'tui'xiu'ren'yuan
离退休人员基本养老金,li'tui'xiu'ren'yuan'ji'ben'yang'lao'jin
离退休人员年检,li'tui'xiu'ren'yuan'nian'jian
离退休人员死亡,li'tui'xiu'ren'yuan'si'wang
离退休职工,li'tui'xiu'zhi'gong
离休干部年检,li'xiu'gan'bu'nian'jian
离休人员,li'xiu'ren'yuan
联邦上海,lian'bang'shang'hai
联合人寿保险,lian'he'ren'shou'bao'xian
联合收割机,lian'he'shou'ge'ji
联审,lian'shen
联泰大都会人寿保险有限公司,lian'tai'da'du'hui'ren'shou'bao'xian'you'xian'gong'si
连续计算,lian'xu'ji'suan
两次灾害,liang'ci'zai'hai
粮食系统,liang'shi'xi'tong
两险,liang'xian
临时分保,lin'shi'fen'bao
临时再保险,lin'shi'zai'bao'xian
林业系统,lin'ye'xi'tong
灵活就业人员,ling'huo'jiu'ye'ren'yuan
漏保,lou'bao
律师责任险,lv'shi'ze'ren'xian
旅行社责任险,lv'xing'she'ze'ren'xian
旅游意外伤害保险,lv'you'yi'wai'shang'hai'bao'xian
满期保费,man'qi'bao'fei
满期出险频度,man'qi'chu'xian'pin'du
满期赔付率,man'qi'pei'fu'lv
毛保费,mao'bao'fei
毛费率,mao'fei'lv
美国国际保险集团,mei'guo'guo'ji'bao'xian'ji'tuan
美国联邦保险公司上海分公司,mei'guo'lian'bang'bao'xian'gong'si'shang'hai'fen'gong'si
美国联邦保险股份有限公司,mei'guo'lian'bang'bao'xian'gu'fen'you'xian'gong'si
美国友邦保险有限公司,mei'guo'you'bang'bao'xian'you'xian'gong'si
煤矿雇主责任险,mei'kuang'gu'zhu'ze'ren'xian
美亚保险,mei'ya'bao'xian
美亚保险公司,mei'ya'bao'xian'gong'si
免赔限度,mian'pei'xian'du
目标客户,mu'biao'ke'hu
慕尼黑再保险公司,mu'ni'hei'zai'bao'xian'gong'si
南枫代理,nan'feng'dai'li
内部稽核,nei'bu'ji'he
内部转移,nei'bu'zhuan'yi
内退,nei'tui
内在缺陷,nei'zai'que'xian
能源保险,neng'yuan'bao'xian
逆向选择,ni'xiang'xuan'ze
年金保险,nian'jin'bao'xian
年金制度,nian'jin'zhi'du
年审,nian'shen
年终处理,nian'zhong'chu'li
年终过渡,nian'zhong'guo'du
农垦企业,nong'ken'qi'ye
农垦系统,nong'ken'xi'tong
农林水系统,nong'lin'shui'xi'tong
农业保险,nong'ye'bao'xian
农业系统,nong'ye'xi'tong
农业险,nong'ye'xian
赔偿处理,pei'chang'chu'li
赔付金额,pei'fu'jin'e
赔付率,pei'fu'lv
赔付时间,pei'fu'shi'jian
赔款支出,pei'kuan'zhi'chu
批单,pi'dan
批单保费,pi'dan'bao'fei
批单号,pi'dan'hao
批发和零售业,pi'fa'he'ling'shou'ye
批改保费,pi'gai'bao'fei
批改变化,pi'gai'bian'hua
批改原因,pi'gai'yuan'yin
批退比例,pi'tui'bi'li
偏差率,pian'cha'lv
骗赔,pian'pei
平安财产,ping'an'cai'chan
平安财产保险公司,ping'an'cai'chan'bao'xian'gong'si
平安财险,ping'an'cai'xian
平安寿险,ping'an'shou'xian
平安险,ping'an'xian
平安养老保险股份有限公司,ping'an'yang'lao'bao'xian'gu'fen'you'xian'gong'si
平衡运行,ping'heng'yun'xing
平均费率,ping'jun'fei'lv
平均余命,ping'jun'yu'ming
弃保,qi'bao
起保日期,qi'bao'ri'qi
起保时间,qi'bao'shi'jian
企财,qi'cai
企财险,qi'cai'xian
期初未决赔款,qi'chu'wei'jue'pei'kuan
期初未满期保费,qi'chu'wei'man'qi'bao'fei
期缴,qi'jiao
期末未决赔款,qi'mo'wei'jue'pei'kuan
期末未满期保费,qi'mo'wei'man'qi'bao'fei
企业补缴,qi'ye'bu'jiao
企业补缴方式,qi'ye'bu'jiao'fang'shi
企业财产保险,qi'ye'cai'chan'bao'xian
企业参保,qi'ye'can'bao
企业管理服务,qi'ye'guan'li'fu'wu
企业化管理,qi'ye'hua'guan'li
企业欠缴社会保险费,qi'ye'qian'jiao'she'hui'bao'xian'fei
企业投保,qi'ye'tou'bao
签单保费,qian'dan'bao'fei
签单日期,qian'dan'ri'qi
欠费,qian'fei
欠费期间,qian'fei'qi'jian
欠缴,qian'jiao
欠缴社保费,qian'jiao'she'bao'fei
欠缴社会保险费,qian'jiao'she'hui'bao'xian'fei
强制保险,qiang'zhi'bao'xian
渠道业务,qu'dao'ye'wu
全省统筹,quan'sheng'tong'chou
全市在岗职工月平均工资,quan'shi'zai'gang'zhi'gong'yue'ping'jun'gong'zi
确实保证保险,que'shi'bao'zheng'bao'xian
群众团体及社会团体,qun'zhong'tuan'ti'ji'she'hui'tuan'ti
人保,ren'bao
人保财险,ren'bao'cai'xian
人民政协和民主党派,ren'min'zheng'xie'he'min'zhu'dang'pai
人身保险,ren'shen'bao'xian
人身意外伤害保险,ren'shen'yi'wai'shang'hai'bao'xian
人寿保险,ren'shou'bao'xian
人寿保险精算师,ren'shou'bao'xian'jing'suan'shi
人寿保险责任准备金,ren'shou'bao'xian'ze'ren'zhun'bei'jin
人为因素风险评估,ren'wei'yin'su'feng'xian'ping'gu
日本财产,ri'ben'cai'chan
日本财产保险公司大连分公司,ri'ben'cai'chan'bao'xian'gong'si'da'lian'fen'gong'si
瑞福德健康保险股份有限公司,rui'fu'de'jian'kang'bao'xian'gu'fen'you'xian'gong'si
瑞士再保险公司,rui'shi'zai'bao'xian'gong'si
瑞泰人寿保险有限公司,rui'tai'ren'shou'bao'xian'you'xian'gong'si
若干年本人缴费工资指数,ruo'gan'nian'ben'ren'jiao'fei'gong'zi'zhi'shu
三井住友海上火灾保险公司,san'jing'zhu'you'hai'shang'huo'zai'bao'xian'gong'si
三者险,san'zhe'xian
三资企业投保,san'zi'qi'ye'tou'bao
丧抚费,sang'fu'fei
丧葬费,sang'zang'fei
缮制,shan'zhi
商业局,shang'ye'ju
商业三责附加险,shang'ye'san'ze'fu'jia'xian
商业三责险,shang'ye'san'ze'xian
商业系统,shang'ye'xi'tong
社保费,she'bao'fei
社保费率,she'bao'fei'lv
社保局,she'bao'ju
社保欠费,she'bao'qian'fei
社保业务,she'bao'ye'wu
社保政策,she'bao'zheng'ce
社会保险补贴,she'hui'bao'xian'bu'tie
社会保险待遇,she'hui'bao'xian'dai'yu
社会保险费,she'hui'bao'xian'fei
社会保险费率,she'hui'bao'xian'fei'lv
