爱登堡,ai'deng'bao
龚家堡,gong'jia'bao
公寓招待所,gong'yu'zhao'dai'suo
古城,gu'cheng
古城山,gu'cheng'shan
顾家庄,gu'jia'zhuang
孤山,gu'shan
孤山子,gu'shan'zi
乖乖狗,guai'guai'gou
棺材沟,guan'cai'gou
官乡,guan'xiang
关爷庙,guan'ye'miao
广家庄,guang'jia'zhuang
光明小学,guang'ming'xiao'xue
广逸龙庭,guang'yi'long'ting
锅底坑,guo'di'keng
郭家台,guo'jia'tai
郭家庄,guo'jia'zhuang
国酒茅台专卖店,guo'jiu'mao'tai'zhuan'mai'dian
郭新庄,guo'xin'zhuang
国医堂大药房,guo'yi'tang'da'yao'fang
哈哈泉,ha'ha'quan
哈乐酒吧,ha'le'jiu'ba
蛤蟆泉,ha'ma'quan
海尔专卖店,hai'er'zhuan'mai'dian
韩国烧烤城,han'guo'shao'kao'cheng
韩家庄,han'jia'zhuang
憨牛拉面,han'niu'la'mian
旱滩坡,han'tan'po
韩妆,han'zhuang
好孩子,hao'hai'zi
好朋友超市,hao'peng'you'chao'shi
河北,he'bei
河东堡,he'dong'bao
河东庄,he'dong'zhuang
何家坪,he'jia'ping
何家湾村,he'jia'wan'cun
何家湾小学,he'jia'wan'xiao'xue
贺家庄,he'jia'zhuang
何家庄,he'jia'zhuang
河口子,he'kou'zi
河滩村,he'tan'cun
河滩庄,he'tan'zhuang
河西堡村,he'xi'bu'cun
河西堡镇,he'xi'bu'zhen
何新庄,he'xin'zhuang
河沿子,he'yan'zi
河沿子村,he'yan'zi'cun
黑贝,hei'bei
黑沟,hei'gou
黑泉,hei'quan
黑沙窝,hei'sha'wo
黑石沟,hei'shi'gou
黑石咀,hei'shi'ju
黑石岭,hei'shi'ling
横沟,heng'gou
横梁山,heng'liang'shan
红豆专卖店,hong'dou'zhuan'mai'dian
红疙瘩,hong'ge'da
红光园艺场,hong'guang'yuan'yi'chang
宏济药店,hong'ji'yao'dian
红柳沟,hong'liu'gou
红庙墩村,hong'miao'dun'cun
红蜻蜓,hong'qing'ting
红泉,hong'quan
红圈子,hong'quan'zi
红沙沟,hong'sha'gou
红山,hong'shan
红山路口,hong'shan'lu'kou
红山窑乡,hong'shan'yao'xiang
红双喜大酒店,hong'shuang'xi'da'jiu'dian
洪水泉,hong'shui'quan
红土岗,hong'tu'gang
红星庄,hong'xing'zhuang
红崖,hong'ya
红崖山,hong'ya'shan
鸿运商行,hong'yun'shang'hang
后大寺,hou'da'si
侯家庄,hou'jia'zhuang
后庄子,hou'zhuang'zi
虎豹服饰,hu'bao'fu'shi
胡家庄,hu'jia'zhuang
虎头山,hu'tou'shan
胡庄子,hu'zhuang'zi
花草滩,hua'cao'tan
花大门,hua'da'men
华都宾馆,hua'du'bin'guan
华芳家园,hua'fang'jia'yuan
华联超市,hua'lian'chao'shi
华强体育,hua'qiang'ti'yu
华仁堂,hua'ren'tang
华源堂,hua'yuan'tang
黄河宾馆,huang'he'bin'guan
黄河招待所,huang'he'zhao'dai'suo
黄家泉,huang'jia'quan
黄家湾,huang'jia'wan
黄家学,huang'jia'xue
黄家庄,huang'jia'zhuang
黄坑,huang'keng
黄毛坡,huang'mao'po
黄土坡,huang'tu'po
黄新庄,huang'xin'zhuang
惠普电脑专卖店,hui'pu'dian'nao'zhuan'mai'dian
惠仁大药房,hui'ren'da'yao'fang
惠众超市,hui'zhong'chao'shi
火红超市,huo'hong'chao'shi
火烧沟,huo'shao'gou
吉安大药房,ji'an'da'yao'fang
机耕队,ji'geng'dui
机关农场,ji'guan'nong'chang
鸡冠子,ji'guan'zi
季家湾,ji'jia'wan
芨岭,ji'ling
吉隆超市,ji'long'chao'shi
济生堂大药房,ji'sheng'tang'da'yao'fang
济世堂大药房,ji'shi'tang'da'yao'fang
鸡心山,ji'xin'shan
夹道沟,jia'dao'gou
夹沟,jia'gou
夹沟村,jia'gou'cun
夹沟子,jia'gou'zi
夹河村,jia'he'cun
家乐福超市,jia'le'fu'chao'shi
夹滩,jia'tan
加油站,jia'you'zhan
剑南春专卖店,jian'nan'chun'zhuan'mai'dian
尖山沟,jian'shan'gou
碱水沟,jian'shui'gou
蒋家湾,jiang'jia'wan
蒋家庄,jiang'jia'zhuang
姜家庄,jiang'jia'zhuang
将军坟,jiang'jun'fen
江南春酒店,jiang'nan'chun'jiu'dian
教场山,jiao'chang'shan
焦化厂,jiao'hua'chang
焦家庄,jiao'jia'zhuang
焦家庄村,jiao'jia'zhuang'cun
焦家庄乡,jiao'jia'zhuang'xiang
窖水,jiao'shui
姐妹超市,jie'mei'chao'shi
杰西,jie'xi
劲霸男装,jin'ba'nan'zhuang
金昌宾馆,jin'chang'bin'guan
金昌电视台,jin'chang'dian'shi'tai
金昌饭店,jin'chang'fan'dian
金昌日报,jin'chang'ri'bao
金昌市,jin'chang'shi
金昌市第二中学,jin'chang'shi'di'er'zhong'xue
金昌市地税局,jin'chang'shi'di'shui'ju
金昌市第一中学,jin'chang'shi'di'yi'zhong'xue
金昌市公安局,jin'chang'shi'gong'an'ju
金昌市环保局,jin'chang'shi'huan'bao'ju
金昌市建设局,jin'chang'shi'jian'she'ju
金昌市教育局,jin'chang'shi'jiao'yu'ju
金昌市科技局,jin'chang'shi'ke'ji'ju
金昌市人大,jin'chang'shi'ren'da
金昌市人事局,jin'chang'shi'ren'shi'ju
金昌市水利局,jin'chang'shi'shui'li'ju
金昌市委,jin'chang'shi'wei
金昌市卫生局,jin'chang'shi'wei'sheng'ju
金昌市邮政局,jin'chang'shi'you'zheng'ju
金昌市政府,jin'chang'shi'zheng'fu
金昌站,jin'chang'zhan
金川宾馆,jin'chuan'bin'guan
金川电线电缆厂,jin'chuan'dian'xian'dian'lan'chang
金川公园,jin'chuan'gong'yuan
金川河,jin'chuan'he
金川区,jin'chuan'qu
金川峡水库,jin'chuan'xia'shui'ku
金鼎牛肉面,jin'ding'niu'rou'mian
锦都大酒店,jin'du'da'jiu'dian
金都家园,jin'du'jia'yuan
金都商厦,jin'du'shang'sha
金丰超市,jin'feng'chao'shi
金峰电器,jin'feng'dian'qi
金沟,jin'gou
金沟井,jin'gou'jing
金海大酒店,jin'hai'da'jiu'dian
金化宾馆,jin'hua'bin'guan
锦华超市,jin'hua'chao'shi
金化集团,jin'hua'ji'tuan
金汇商厦,jin'hui'shang'sha
金家庄,jin'jia'zhuang
金莱克,jin'lai'ke
金龙名烟名酒,jin'long'ming'yan'ming'jiu
金龙商场,jin'long'shang'chang
金龙通讯,jin'long'tong'xun
金泥集团,jin'ni'ji'tuan
金三角商厦,jin'san'jiao'shang'sha
金三角市场,jin'san'jiao'shi'chang
金盛华城,jin'sheng'hua'cheng
金玉堂珠宝,jin'yu'tang'zhu'bao
金苑宾馆,jin'yuan'bin'guan
金源小区,jin'yuan'xiao'qu
金庄,jin'zhuang
井儿沟,jing'er'gou
井沟,jing'gou
精华书店,jing'hua'shu'dian
靖远羊羔肉,jing'yuan'yang'gao'rou
九坝村,jiu'ba'cun
九队,jiu'dui
旧沟,jiu'gou
旧沟村,jiu'gou'cun
九龙超市,jiu'long'chao'shi
就业训练中心,jiu'ye'xun'lian'zhong'xin
开荒队,kai'huang'dui
凯悦大酒店,kai'yue'da'jiu'dian
康家庄,kang'jia'zhuang
克家庄,ke'jia'zhuang
柯家庄,ke'jia'zhuang
可立而,ke'li'er
柯庄,ke'zhuang
苦水井,ku'shui'jing
宽沟,kuan'gou
喇叭泉,la'ba'quan
喇嘛庄,la'ma'zhuang
来家庄,lai'jia'zhuang
廊桥宾馆,lang'qiao'bin'guan
老沟,lao'gou
老君庙,lao'jun'miao
老牛沟,lao'niu'gou
老人头,lao'ren'tou
老爷车,lao'ye'che
老庄,lao'zhuang
老庄子,lao'zhuang'zi
雷家庄,lei'jia'zhuang
雷士照明,lei'shi'zhao'ming
李郭庄,li'guo'zhuang
李家场,li'jia'chang
李家大庄,li'jia'da'zhuang
李家墩,li'jia'dun
李家沟,li'jia'gou
李家沙沟,li'jia'sha'gou
李家湾,li'jia'wan
李家下庄,li'jia'xia'zhuang
李家小庄,li'jia'xiao'zhuang
李家园子,li'jia'yuan'zi
李家庄,li'jia'zhuang
丽景苑,li'jing'yuan
利郎男装,li'lang'nan'zhuang
利源超市,li'yuan'chao'shi
连三圈,lian'san'quan
梁家庄,liang'jia'zhuang
梁上庄,liang'shang'zhuang
六坝乡,liu'ba'xiang
六沟,liu'gou
刘家馆子,liu'jia'guan'zi
刘家口,liu'jia'kou
刘家庙,liu'jia'miao
刘家下庄,liu'jia'xia'zhuang
刘家小庄,liu'jia'xiao'zhuang
刘家窑,liu'jia'yao
刘家庄,liu'jia'zhuang
刘家庄子,liu'jia'zhuang'zi
刘克庄,liu'ke'zhuang
溜溜山,liu'liu'shan
流泉村,liu'quan'cun
刘上庄,liu'shang'zhuang
柳湾,liu'wan
刘西庄,liu'xi'zhuang
刘新庄,liu'xin'zhuang
龙景村,long'jing'cun
龙景山,long'jing'shan
龙口,long'kou
龙口村,long'kou'cun
龙口山,long'kou'shan
龙门书城,long'men'shu'cheng
龙门学校,long'men'xue'xiao
龙泉公园,long'quan'gong'yuan
龙泉市场,long'quan'shi'chang
龙泉浴池,long'quan'yu'chi
龙山,long'shan
龙首花园,long'shou'hua'yuan
龙首矿,long'shou'kuang
龙首山,long'shou'shan
龙首山庄,long'shou'shan'zhuang
龙王庙,long'wang'miao
楼庄子村,lou'zhuang'zi'cun
芦草沟,lu'cao'gou
鹿沟,lu'gou
陆家庄,lu'jia'zhuang
卢家庄子,lu'jia'zhuang'zi
露泉,lu'quan
路天地,lu'tian'di
罗蒙,luo'meng
罗圈沟,luo'quan'gou
骆驼脖子,luo'tuo'bo'zi
骆驼峰,luo'tuo'feng
吕家沟,lv'jia'gou
吕家庄,lv'jia'zhuang
马鞍山,ma'an'shan
麻黄沟,ma'huang'gou
马家大山,ma'jia'da'shan
马家沟,ma'jia'gou
马家沟河,ma'jia'gou'he
马家坪,ma'jia'ping
马家坪村,ma'jia'ping'cun
马家湾,ma'jia'wan
马家崖村,ma'jia'ya'cun
马家庄,ma'jia'zhuang
马莲沟,ma'lian'gou
马莲井,ma'lian'jing
马路沟,ma'lu'gou
马王沟,ma'wang'gou
蚂蚁沟,ma'yi'gou
马营沟村,ma'ying'gou'cun
马营口,ma'ying'kou
满汉楼,man'han'lou
馒头山,man'tou'shan
毛卜喇,mao'bu'la
毛卜喇村,mao'bu'la'cun
毛纺织厂,mao'fang'zhi'chang
毛家场,mao'jia'chang
毛家台,mao'jia'tai
毛家庄,mao'jia'zhuang
毛家庄村,mao'jia'zhuang'cun
梅北,mei'bei
梅家寨,mei'jia'zhai
梦舒雅,meng'shu'ya
米家庄,mi'jia'zhuang
庙底下,miao'di'xia
庙墩,miao'dun
庙儿山,miao'er'shan
庙弯子,miao'wan'zi
庙湾子,miao'wan'zi
妙应堂大药房,miao'ying'tang'da'yao'fang
民康大药房,min'kang'da'yao'fang
民政宾馆,min'zheng'bin'guan
磨沟,mo'gou
莫家庄,mo'jia'zhuang
魔力狮,mo'li'shi
磨石沟,mo'shi'gou
木果果木,mu'guo'guo'mu
南坝乡,nan'ba'xiang
南岔,nan'cha
南岔沟,nan'cha'gou
南大山,nan'da'shan
南方茶庄,nan'fang'cha'zhuang
南沟,nan'gou
南古城,nan'gu'cheng
南家庄,nan'jia'zhuang
南刘家庄,nan'liu'jia'zhuang
南泥沟,nan'ni'gou
南山坡,nan'shan'po
南湾,nan'wan
南湾村,nan'wan'cun
南王家庄,nan'wang'jia'zhuang
南新庄,nan'xin'zhuang
南新庄子,nan'xin'zhuang'zi
南沿沟,nan'yan'gou
南阳沟,nan'yang'gou
南庄,nan'zhuang
南庄村,nan'zhuang'cun
南庄庄,nan'zhuang'zhuang
内衣世界,nei'yi'shi'jie
碾子沟,nian'zi'gou
娘娘坟,niang'niang'fen
镍都实业公司,nie'du'shi'ye'gong'si
宁远堡镇,ning'yuan'bao'zhen
牛角井,niu'jiao'jing
牛圈沟,niu'juan'gou
农产品批发市场,nong'chan'pin'pi'fa'shi'chang
农机厂,nong'ji'chang
农机学校,nong'ji'xue'xiao
农庄,nong'zhuang
潘家庄,pan'jia'zhuang
泡沫红茶坊,pao'mo'hong'cha'fang
盆地坑,pen'di'keng
皮带沟,pi'dai'gou
匹克运动,pi'ke'yun'dong
平顶,ping'ding
平顶山,ping'ding'shan
坪坡,ping'po
平头庄,ping'tou'zhuang
坡庄,po'zhuang
七坝村,qi'ba'cun
七个井,qi'ge'jing
齐家庄,qi'jia'zhuang
祁家庄,qi'jia'zhuang
七九六矿,qi'jiu'liu'kuang
七里半,qi'li'ban
启明星幼儿园,qi'ming'xing'you'er'yuan
柒牌男装,qi'pai'nan'zhuang
七匹狼,qi'pi'lang
祁庄村,qi'zhuang'cun
前夹山,qian'jia'shan
前山,qian'shan
前滩,qian'tan
前庄子,qian'zhuang'zi
乔顿西服,qiao'dun'xi'fu
秦家东庄,qin'jia'dong'zhuang
青河林场,qing'he'lin'chang
青口子,qing'kou'zi
青梁,qing'liang
青沙沟,qing'sha'gou
清沙沟,qing'sha'gou
青山,qing'shan
青山坝,qing'shan'ba
青山口,qing'shan'kou
青石岗,qing'shi'gang
青蛙皇子,qing'wa'huang'zi
清香楼,qing'xiang'lou
求知书社,qiu'zhi'shu'she
屈家庄,qu'jia'zhuang
瞿家庄,qu'jia'zhuang
曲直空间,qu'zhi'kong'jian
泉沟,quan'gou
泉脑,quan'nao
仁和堂大药房,ren'he'tang'da'yao'fang
任家庄,ren'jia'zhuang
人民大药房,ren'min'da'yao'fang
人民文化广场,ren'min'wen'hua'guang'chang
人民庄,ren'min'zhuang
人民庄子,ren'min'zhuang'zi
人人餐厅,ren'ren'can'ting
荣达烟酒,rong'da'yan'jiu
溶解乙炔厂,rong'jie'yi'que'chang
荣澜,rong'lan
茹家庄,ru'jia'zhuang
三岔,san'cha
三叉路,san'cha'lu
三超电器,san'chao'dian'qi
三道岗,san'dao'gang
三道沟,san'dao'gou
三道湾,san'dao'wan
三分子,san'fen'zi
三个庄,san'ge'zhuang
三沟,san'gou
三沟村,san'gou'cun
三磨,san'mo
三盘磨,san'pan'mo
三条沟,san'tiao'gou
森马,sen'ma
沙坝头,sha'ba'tou
沙城子,sha'cheng'zi
沙沟,sha'gou
沙沟岔,sha'gou'cha
沙沟口,sha'gou'kou
沙沟庄,sha'gou'zhuang
沙河沟,sha'he'gou
沙尖子,sha'jian'zi
沙岭子,sha'ling'zi
沙窝,sha'wo
沙窝村,sha'wo'cun
珊尔丽雪,shan'er'li'xue
杉杉家纺,shan'shan'jia'fang
山上庄,shan'shang'zhuang
山头庄,shan'tou'zhuang
山湾村,shan'wan'cun
上岔,shang'cha
上大沟,shang'da'gou
上大口,shang'da'kou
上东庄,shang'dong'zhuang
上陡坡,shang'dou'po
上河湾,shang'he'wan
尚家沟,shang'jia'gou
尚家沟村,shang'jia'gou'cun
尚家庄,shang'jia'zhuang
上李家庄,shang'li'jia'zhuang
上龙口,shang'long'kou
商贸饭店,shang'mao'fan'dian
上圈,shang'quan
上滩,shang'tan
上窝铺,shang'wo'pu
上新庄,shang'xin'zhuang
上转转,shang'zhuan'zhuan
上庄子,shang'zhuang'zi
邵家庄,shao'jia'zhuang
邵家庄村,shao'jia'zhuang'cun
涉谷,she'gu
摄影大世界,she'ying'da'shi'jie
深沟,shen'gou
沈家庄,shen'jia'zhuang
胜利村,sheng'li'cun
胜利庄,sheng'li'zhuang
十八公里,shi'ba'gong'li
石碑沟,shi'bei'gou
石城沟,shi'cheng'gou
市第二医院,shi'di'er'yi'yuan
世纪家具城,shi'ji'jia'ju'cheng
石家沟,shi'jia'gou
市建大院,shi'jian'da'yuan
石咀子,shi'ju'zi
石门沟,shi'men'gou
石墙沟,shi'qiang'gou
时尚芭莎,shi'shang'ba'sha
石头沟,shi'tou'gou
石头湾,shi'tou'wan
试验站,shi'yan'zhan
石油公司,shi'you'gong'si
狮子山,shi'zi'shan
石子山,shi'zi'shan
蔬菜收购站,shu'cai'shou'gou'zhan
蜀香源,shu'xiang'yuan
双岔沟,shuang'cha'gou
双沟,shuang'gou
双桥村,shuang'qiao'cun
双桥庄,shuang'qiao'zhuang
双山子,shuang'shan'zi
双湾镇,shuang'wan'zhen
双星专卖,shuang'xing'zhuan'mai
双庄子,shuang'zhuang'zi
水芙蓉,shui'fu'rong
水沟,shui'gou
水管处,shui'guan'chu
水管台,shui'guan'tai
水库管理所,shui'ku'guan'li'suo
水泉子村,shui'quan'zi'cun
水源镇,shui'yuan'zhen
水云山,shui'yun'shan
四川饭店,si'chuan'fan'dian
四道沟,si'dao'gou
斯得雅,si'de'ya
寺儿沟,si'er'gou
斯尔丽,si'er'li
四方山,si'fang'shan
四沟,si'gou
四海龙,si'hai'long
寺门,si'men
寺门村,si'men'cun
寺滩,si'tan
宋家沟,song'jia'gou
宋家沟村,song'jia'gou'cun
宋家湖,song'jia'hu
宋家湾,song'jia'wan
宋家庄,song'jia'zhuang
松树庄,song'shu'zhuang
宋新庄,song'xin'zhuang
宋庄,song'zhuang
苏家墩,su'jia'dun
苏家庄,su'jia'zhuang
孙家墩,sun'jia'dun
孙家庄,sun'jia'zhuang
孙新庄,sun'xin'zhuang
索家庄,suo'jia'zhuang
塌墩,ta'dun
炭素厂,tan'su'chang
炭窑沟,tan'yao'gou
汤家沟,tang'jia'gou
唐家坡,tang'jia'po
唐家庄,tang'jia'zhuang
唐庄,tang'zhuang
特步,te'bu
腾家庄,teng'jia'zhuang
天成电器,tian'cheng'dian'qi
天禾种业,tian'he'zhong'ye
田家房,tian'jia'fang
田家庄,tian'jia'zhuang
天津灌汤包,tian'jin'guan'tang'bao
天桥子,tian'qiao'zi
天瑞花园,tian'rui'hua'yuan
天生炕,tian'sheng'kang
天天平价超市,tian'tian'ping'jia'chao'shi
铁路运输分公司,tie'lu'yun'shu'fen'gong'si
铁山咀,tie'shan'ju
童话摄影,tong'hua'she'ying
头坝村,tou'ba'cun
头道沟,tou'dao'gou
头墩,tou'dun
头沟,tou'gou
头沟村,tou'gou'cun
头磨,tou'mo
土沟,tu'gou
土沟村,tu'gou'cun
土沟子,tu'gou'zi
土馒头,tu'man'tou
土圈,tu'quan
团结干渠,tuan'jie'gan'qu
团庄村,tuan'zhuang'cun
歪沟,wai'gou
王家场,wang'jia'chang
王家大庄,wang'jia'da'zhuang
汪家墩,wang'jia'dun
王家墩,wang'jia'dun
王家坊,wang'jia'fang
王家沟,wang'jia'gou
王家圈,wang'jia'quan
王家湾,wang'jia'wan
王家崖,wang'jia'ya
王家园子,wang'jia'yuan'zi
汪家庄,wang'jia'zhuang
王家庄,wang'jia'zhuang
王南庄,wang'nan'zhuang
王前庄,wang'qian'zhuang
王新庄,wang'xin'zhuang
微波站,wei'bo'zhan
韦家庄,wei'jia'zhuang
魏家庄,wei'jia'zhuang
伟志,wei'zhi
文家庄,wen'jia'zhuang
温泉洗浴,wen'quan'xi'yu
文苑书店,wen'yuan'shu'dian
温州商贸城,wen'zhou'shang'mao'cheng
蚊子沟,wen'zi'gou
五坝村,wu'ba'cun
武当山,wu'dang'shan
五沟,wu'gou
吴家庄,wu'jia'zhuang
乌兰呼都格,wu'lan'hu'dou'ge
西北庄,xi'bei'zhuang
西部车城,xi'bu'che'cheng
西槽子,xi'cao'zi
西岔,xi'cha
喜芙浓,xi'fu'nong
西岗,xi'gang
西沟,xi'gou
西沟村,xi'gou'cun
西井,xi'jing
西梁山,xi'liang'shan
西岭子,xi'ling'zi
西流泉,xi'liu'quan
细木工板厂,xi'mu'gong'ban'chang
西坡,xi'po
西坡村,xi'po'cun
西山口,xi'shan'kou
西石门,xi'shi'men
西台子,xi'tai'zi
西滩,xi'tan
西湾村,xi'wan'cun
西校村,xi'xiao'cun
西新庄,xi'xin'zhuang
西庄,xi'zhuang
西庄子,xi'zhuang'zi
西庄子村,xi'zhuang'zi'cun
下北山,xia'bei'shan
下岔,xia'cha
下大田,xia'da'tian
下陡坡,xia'dou'po
下河湾,xia'he'wan
下湖,xia'hu
下李家庄,xia'li'jia'zhuang
下路口,xia'lu'kou
下排村,xia'pai'cun
下三坝,xia'san'ba
下四分村,xia'si'fen'cun
下滩,xia'tan
下汤村,xia'tang'cun
下汤沟,xia'tang'gou
下洼子,xia'wa'zi
下洼子村,xia'wa'zi'cun
下窝铺,xia'wo'pu
下新庄,xia'xin'zhuang
下寨子,xia'zhai'zi
下转转,xia'zhuan'zhuan
下庄,xia'zhuang
下庄子,xia'zhuang'zi
县公安局,xian'gong'an'ju
县医院,xian'yi'yuan
小坝村,xiao'ba'cun
小冰沟,xiao'bing'gou
小博士乐园,xiao'bo'shi'le'yuan
小长沟,xiao'chang'gou
小顶子,xiao'ding'zi
小二沟,xiao'er'gou
小干沟,xiao'gan'gou
小沟,xiao'gou
小黑沟,xiao'hei'gou
小湖子,xiao'hu'zi
肖家庄,xiao'jia'zhuang
小井子,xiao'jing'zi
