百步余长者立幼勿坐,bai'bu'yu'zhang'zhe'li'you'wu'zuo
入虚室如有人事勿忙,ru'xu'shi'ru'you'ren'shi'wu'mang
入则孝,ru'ze'xiao
丧三年常悲咽居处变,sang'san'nian'chang'bei'ye'ju'chu'bian
善相劝德皆建过不规,shan'xiang'quan'de'jie'jian'guo'bu'gui
上循分下称家对饮食,shang'xun'fen'xia'cheng'jia'dui'yin'shi
声要低低不闻却非宜,sheng'yao'di'di'bu'wen'que'fei'yi
事死者如事生,shi'si'zhe'ru'shi'sheng
视勿移事诸父如事父,shi'wu'yi'shi'zhu'fu'ru'shi'fu
事诸兄如事兄,shi'zhu'xiong'ru'shi'xiong
虽贵端慈而宽势服人,sui'gui'duan'ci'er'kuan'shi'fu'ren
虽有急卷束齐有缺坏,sui'you'ji'juan'shu'qi'you'que'huai
随札记就人问求确义,sui'zha'ji'jiu'ren'wen'qiu'que'yi
同是人类不齐流俗众,tong'shi'ren'lei'bu'qi'liu'su'zhong
望自大人所服非言大,wang'zi'da'ren'suo'fu'fei'yan'da
唯德学唯才艺不如人,wei'de'xue'wei'cai'yi'bu'ru'ren
惟其是勿佞巧奸巧语,wei'qi'shi'wu'ning'qiao'jian'qiao'yu
闻誉恐闻过欣直谅士,wen'yu'kong'wen'guo'xin'zhi'liang'shi
闻誉乐损友来益友却,wen'yu'le'sun'you'lai'yi'you'que
勿跛倚勿箕踞勿摇髀,wu'bo'yi'wu'ji'ju'wu'yao'bi
勿触棱执虚器如执盈,wu'chu'leng'zhi'xu'qi'ru'zhi'ying
勿拣择食适可勿过则,wu'jian'ze'shi'shi'ke'wu'guo'ze
勿轻传事非宜勿轻诺,wu'qing'chuan'shi'fei'yi'wu'qing'nuo
勿轻訾勿谄富勿骄贫,wu'qing'zi'wu'chan'fu'wu'jiao'pin
勿事搅人不安勿话扰,wu'shi'jiao'ren'bu'an'wu'hua'rao
勿私藏苟私藏亲心伤,wu'si'cang'gou'si'cang'qin'xin'shang
无限好德日进过日少,wu'xian'hao'de'ri'jin'guo'ri'shao
勿厌故勿喜新人不闲,wu'yan'gu'wu'xi'xin'ren'bu'xian
勿自弃圣与贤可驯致,wu'zi'qi'sheng'yu'xian'ke'xun'zhi
惜此时晨必盥兼漱口,xi'ci'shi'chen'bi'guan'jian'shu'kou
奚可焉话说多不如少,xi'ke'yan'hua'shuo'duo'bu'ru'shao
夏则凊晨则省昏则定,xia'ze'qing'chen'ze'sheng'hun'ze'ding
先问己己不欲即速已,xian'wen'ji'ji'bu'yu'ji'su'yi
孝何难亲憎我孝方贤,xiao'he'nan'qin'zeng'wo'xiao'fang'xian
孝在中财物轻怨何生,xiao'zai'zhong'cai'wu'qing'yuan'he'sheng
心不然理服人方无言,xin'bu'ran'li'fu'ren'fang'wu'yan
行勿懒父母教须敬听,xing'wu'lan'fu'mu'jiao'xu'jing'ting
兄道友弟道恭兄弟睦,xiong'dao'you'di'dao'gong'xiong'di'mu
言不讳色不媚能亲仁,yan'bu'hui'se'bu'mei'neng'qin'ren
言语忍忿自泯或饮食,yan'yu'ren'fen'zi'min'huo'yin'shi
药先尝昼夜侍不离床,yao'xian'chang'zhou'ye'shi'bu'li'chuang
业无变事虽小勿擅为,ye'wu'bian'shi'sui'xiao'wu'shan'wei
揖深圆拜恭敬勿践阈,yi'shen'yuan'bai'gong'jing'wu'jian'yu
用人物须明求倘不问,yong'ren'wu'xu'ming'qiu'tang'bu'wen
有定处读看毕还原处,you'ding'chu'du'kan'bi'huan'yuan'chu
有三到心眼口信皆要,you'san'dao'xin'yan'kou'xin'jie'yao
有心非名为恶过能改,you'xin'fei'ming'wei'e'guo'neng'gai
有余力则学文,you'yu'li'ze'xue'wen
余力学文,yu'li'xue'wen
与宜多取宜少将加人,yu'yi'duo'qu'yi'shao'jiang'jia'ren
长者坐命乃坐尊长前,zhang'zhe'zuo'ming'nai'zuo'zun'zhang'qian
置冠服有定位勿乱顿,zhi'guan'fu'you'ding'wei'wu'luan'dun
致污秽衣贵洁不贵华,zhi'wu'hui'yi'gui'jie'bu'gui'hua
重且舒勿急疾勿模糊,zhong'qie'shu'wu'ji'ji'wu'mo'hu
字不敬心先病列典籍,zi'bu'jing'xin'xian'bing'lie'dian'ji
纵去远以渐跻见人恶,zong'qu'yuan'yi'jian'ji'jian'ren'e
总叙,zong'xu
最为丑步从容立端正,zui'wei'chou'bu'cong'rong'li'duan'zheng
