安定王室,an'ding'wang'shi
到晋国求救,dao'jin'guo'qiu'jiu
到了,dao'le
到战国初年,dao'zhan'guo'chu'nian
到战国时代,dao'zhan'guo'shi'dai
的被打破,de'bei'da'po
的变化,de'bian'hua
的出土,de'chu'tu
的大小轻重,de'da'xiao'qing'zhong
的得名,de'de'ming
的地位,de'di'wei
的鼎,de'ding
的动摇,de'dong'yao
的发展,de'fa'zhan
的分界点,de'fen'jie'dian
的锋芒,de'feng'mang
的附庸,de'fu'yong
的规模很大,de'gui'mo'hen'da
的国政,de'guo'zheng
的建议,de'jian'yi
的境地,de'jing'di
的历史,de'li'shi
的历史条件,de'li'shi'tiao'jian
的历史转型,de'li'shi'zhuan'xing
的联军,de'lian'jun
的流通,de'liu'tong
的某种改变,de'mou'zhong'gai'bian
的人很少,de'ren'hen'shao
的生产积极性,de'sheng'chan'ji'ji'xing
的时候,de'shi'hou
的史事,de'shi'shi
的使者询问,de'shi'zhe'xun'wen
的手上,de'shou'shang
的丝织品,de'si'zhi'pin
的态势,de'tai'shi
的通称,de'tong'cheng
的统一,de'tong'yi
的外祖父,de'wai'zu'fu
的威望下降,de'wei'wang'xia'jiang
的吴,de'wu
的虚名罢了,de'xu'ming'ba'le
的厌倦,de'yan'juan
的征收,de'zheng'shou
的政治革命,de'zheng'zhi'ge'ming
的制度,de'zhi'du
的诸侯国,de'zhu'hou'guo
的著名战例,de'zhu'ming'zhan'li
等国,deng'guo
等社会,deng'she'hui
等新工艺,deng'xin'gong'yi
地处江浙的,di'chu'jiang'zhe'de
第二位霸主,di'er'wei'ba'zhu
地税,di'shui
地位相近,di'wei'xiang'jin
第一个霸主,di'yi'ge'ba'zhu
狄族,di'zu
狄族的进攻,di'zu'de'jin'gong
典籍文化,dian'ji'wen'hua
雕镂纹饰,diao'lou'wen'shi
订立了,ding'li'le
订立盟约,ding'li'meng'yue
动乱,dong'luan
东周的,dong'zhou'de
东周立国起,dong'zhou'li'guo'qi
都告失败,dou'gao'shi'bai
都落到,dou'luo'dao
都没有,dou'mei'you
都城商丘,du'cheng'shang'qiu
渡河后,du'he'hou
渡河时,du'he'shi
渡河时攻击,du'he'shi'gong'ji
多年间,duo'nian'jian
夺取了政权,duo'qu'le'zheng'quan
夺权的努力,duo'quan'de'nu'li
夺权了,duo'quan'le
二百九十,er'bai'jiu'shi
二百四十二,er'bai'si'shi'er
而得名,er'de'ming
而晋国,er'jin'guo
而且打败了,er'qie'da'bai'le
二卿,er'qing
二十六年,er'shi'liu'nian
二十年,er'shi'nian
二十一年,er'shi'yi'nian
而吴,er'wu
而向,er'xiang
而在,er'zai
发兵进攻,fa'bing'jin'gong
发挥出,fa'hui'chu
发明了,fa'ming'le
发起攻击,fa'qi'gong'ji
发生着影响,fa'sheng'zhe'ying'xiang
法事,fa'shi
发展不均,fa'zhan'bu'jun
发展到,fa'zhan'dao
发展经济,fa'zhan'jing'ji
发展生产,fa'zhan'sheng'chan
泛指历史,fan'zhi'li'shi
方方面面,fang'fang'mian'mian
方可,fang'ke
纷纷起来,fen'fen'qi'lai
分掌民事,fen'zhang'min'shi
分置县,fen'zhi'xian
封建制,feng'jian'zhi
烽烟四起,feng'yan'si'qi
夫差,fu'cha
服从他,fu'cong'ta
赋税制度,fu'shui'zhi'du
改革内政,gai'ge'nei'zheng
甘洒热血写春秋,gan'sa're'xue'xie'chun'qiu
高涨,gao'zhang
各国内部,ge'guo'nei'bu
各国税制不一,ge'guo'shui'zhi'bu'yi
各国之间,ge'guo'zhi'jian
个体生产和经营者,ge'ti'sheng'chan'he'jing'ying'zhe
各小国纷纷,ge'xiao'guo'fen'fen
各诸侯国,ge'zhu'hou'guo
给人民带来,gei'ren'min'dai'lai
更加衰微,geng'jia'shuai'wei
更为强大,geng'wei'qiang'da
耕作技术,geng'zuo'ji'shu
攻伐,gong'fa
公侯,gong'hou
攻入京师,gong'ru'jing'shi
工事,gong'shi
公输般,gong'shu'ban
公元前六八五年,gong'yuan'qian'liu'ba'wu'nian
公元前六三二年四月,gong'yuan'qian'liu'san'er'nian'si'yue
公元前六三三年,gong'yuan'qian'liu'san'san'nian
公元前六五一年,gong'yuan'qian'liu'wu'yi'nian
公元前四八二年,gong'yuan'qian'si'ba'er'nian
公元前四九四年,gong'yuan'qian'si'jiu'si'nian
公元前五九八年,gong'yuan'qian'wu'jiu'ba'nian
攻赵氏,gong'zhao'shi
勾践,gou'jian
勾践北上,gou'jian'bei'shang
勾践求和,gou'jian'qiu'he
勾践于,gou'jian'yu
故不用,gu'bu'yong
古代军队,gu'dai'jun'dui
古代史书,gu'dai'shi'shu
孤立了楚国,gu'li'le'chu'guo
瓜分智地,gua'fen'zhi'di
官名,guan'ming
归向于楚,gui'xiang'yu'chu
过渡到,guo'du'dao
国家根据,guo'jia'gen'ju
国君之下,guo'jun'zhi'xia
国力,guo'li
国力强盛,guo'li'qiang'sheng
还互相,hai'hu'xiang
害死幽王,hai'si'you'wang
还依然保留外,hai'yi'ran'bao'liu'wai
还掌握了,hai'zhang'wo'le
函谷关,han'gu'guan
韩赵魏,han'zhao'wei
镐京之东,hao'jing'zhi'dong
和按人头征收,he'an'ren'tou'zheng'shou
合而为一,he'er'wei'yi
合金技术之巧,he'jin'ji'shu'zhi'qiao
和军事组织,he'jun'shi'zu'zhi
阖闾,he'lv
和牛耕的推广,he'niu'geng'de'tui'guang
和农具,he'nong'ju
合为一体,he'wei'yi'ti
和燕国,he'yan'guo
和中原,he'zhong'yuan
和诸侯会盟,he'zhu'hou'hui'meng
和铸钱,he'zhu'qian
黑红两色弓箭,hei'hong'liang'se'gong'jian
很方便,hen'fang'bian
泓水,hong'shui
侯伯,hou'bo
后撤到,hou'che'dao
后发制人,hou'fa'zhi'ren
侯马大批,hou'ma'da'pi
后赵氏游说,hou'zhao'shi'you'shui
户口登记制,hu'kou'deng'ji'zhi
护送下,hu'song'xia
互相攻伐,hu'xiang'gong'fa
互相战争,hu'xiang'zhan'zheng
花纹之铸造,hua'wen'zhi'zhu'zao
华夏各国中,hua'xia'ge'guo'zhong
黄池,huang'chi
回国即位,hui'guo'ji'wei
会合齐,hui'he'qi
回晋,hui'jin
贿赂吴臣,hui'lu'wu'chen
会盟霸主,hui'meng'ba'zhu
会盟于徐,hui'meng'yu'xu
会盟诸侯,hui'meng'zhu'hou
会战于邲,hui'zhan'yu'bi
或敌国,huo'di'guo
或将,huo'jiang
或聚,huo'ju
获胜收场,huo'sheng'shou'chang
继承晋国,ji'cheng'jin'guo
极大地提高了,ji'da'de'ti'gao'le
极个别旧式的,ji'ge'bie'jiu'shi'de
几个小国之后,ji'ge'xiao'guo'zhi'hou
急剧变化,ji'ju'bian'hua
激烈的斗争,ji'lie'de'dou'zheng
祭天地,ji'tian'di
籍田制,ji'tian'zhi
即为,ji'wei
即位的,ji'wei'de
即位的时候,ji'wei'de'shi'hou
记载的,ji'zai'de
记载自公元前,ji'zai'zi'gong'yuan'qian
集中兵力,ji'zhong'bing'li
加强武备,jia'qiang'wu'bei
加以,jia'yi
加以整理,jia'yi'zheng'li
简称春秋,jian'cheng'chun'qiu
简公,jian'gong
渐渐衰落,jian'jian'shuai'luo
渐趋普遍起来,jian'qu'pu'bian'qi'lai
箭矢,jian'shi
建议宋襄公,jian'yi'song'xiang'gong
将国都,jiang'guo'du
将基层,jiang'ji'ceng
将矛头,jiang'mao'tou
绛曲沃两地,jiang'qu'wo'liang'di
匠师之祖的,jiang'shi'zhi'zu'de
姜姓,jiang'xing
较大的几个,jiao'da'de'ji'ge
较多地使用,jiao'duo'di'shi'yong
交替时,jiao'ti'shi
交战于,jiao'zhan'yu
叫做春秋五霸,jiao'zuo'chun'qiu'wu'ba
结果这些人渐渐,jie'guo'zhe'xie'ren'jian'jian
接近尾声时,jie'jin'wei'sheng'shi
皆世所罕见,jie'shi'suo'han'jian
接受越国求和,jie'shou'yue'guo'qiu'he
接着称霸的,jie'zhe'cheng'ba'de
接着又打败,jie'zhe'you'da'bai
进兵围宋,jin'bing'wei'song
晋楚大战,jin'chu'da'zhan
晋楚两大国,jin'chu'liang'da'guo
晋楚两国,jin'chu'liang'guo
晋楚两军,jin'chu'liang'jun
晋等,jin'deng
进攻越国,jin'gong'yue'guo
进攻中原,jin'gong'zhong'yuan
晋国称霸,jin'guo'cheng'ba
晋国的强盛,jin'guo'de'qiang'sheng
晋国贵族,jin'guo'gui'zu
晋国国政,jin'guo'guo'zheng
晋国是,jin'guo'shi
今河南,jin'he'nan
今河南封丘附近,jin'he'nan'feng'qiu'fu'jin
今河南广武,jin'he'nan'guang'wu
今河南考城,jin'he'nan'kao'cheng
今河南洛阳,jin'he'nan'luo'yang
今河南商丘县南,jin'he'nan'shang'qiu'xian'nan
今河南武陟东南,jin'he'nan'wu'zhi'dong'nan
今河南郑州,jin'he'nan'zheng'zhou
仅据鲁史,jin'ju'lu'shi
晋军,jin'jun
晋人,jin'ren
今山东省憋县,jin'shan'dong'sheng'bie'xian
今山东膝县,jin'shan'dong'xi'xian
金属货币,jin'shu'huo'bi
晋同曹,jin'tong'cao
晋文公,jin'wen'gong
晋文公采纳了,jin'wen'gong'cai'na'le
晋文公成了,jin'wen'gong'cheng'le
晋文公死后,jin'wen'gong'si'hou
晋文公为了,jin'wen'gong'wei'le
晋献公,jin'xian'gong
晋献公子,jin'xian'gong'zi
进行过改革,jin'xing'guo'gai'ge
晋幽公,jin'you'gong
仅余,jin'yu
今云南,jin'yun'nan
今浙江绍兴,jin'zhe'jiang'shao'xing
精耕细作,jing'geng'xi'zuo
经过几十年努力,jing'guo'ji'shi'nian'nu'li
经过连年兼并,jing'guo'lian'nian'jian'bing
经济发展,jing'ji'fa'zhan
经济上,jing'ji'shang
井田制崩溃,jing'tian'zhi'beng'kui
井田制度,jing'tian'zhi'du
竟向,jing'xiang
九合诸侯,jiu'he'zhu'hou
就生活,jiu'sheng'huo
九十里,jiu'shi'li
旧势力,jiu'shi'li
九十里就是,jiu'shi'li'jiu'shi
巨大的灾难,ju'da'de'zai'nan
聚居于,ju'ju'yu
拒绝建议,ju'jue'jian'yi
据鲁国史官,ju'lu'guo'shi'guan
据史书记载,ju'shi'shu'ji'zai
举行了,ju'xing'le
军赋,jun'fu
军事行动,jun'shi'xing'dong
君位,jun'wei
郡县之间没有,jun'xian'zhi'jian'mei'you
君主,jun'zhu
开垦荒地,kai'ken'huang'di
开始决战,kai'shi'jue'zhan
开始普及,kai'shi'pu'ji
开始在,kai'shi'zai
抗击夷狄,kang'ji'yi'di
可以说是,ke'yi'shuo'shi
会稽,kuai'ji
块炼铁,kuai'lian'tie
葵臣,kui'chen
礼坏乐崩,li'huai'yue'beng
离晋国,li'jin'guo
历史上,li'shi'shang
历史上把,li'shi'shang'ba
隶属关系,li'shu'guan'xi
理性人文文化,li'xing'ren'wen'wen'hua
礼乐征伐,li'yue'zheng'fa
立志报仇,li'zhi'bao'chou
联齐灭越,lian'qi'mie'yue
连续不断的战争,lian'xu'bu'duan'de'zhan'zheng
两次大规模战役,liang'ci'da'gui'mo'zhan'yi
良田,liang'tian
列阵混乱,lie'zhen'hun'luan
列阵完毕后,lie'zhen'wan'bi'hou
领兵抗拒,ling'bing'kang'ju
灵姑浮,ling'gu'fu
另一说,ling'yi'shuo
令尹,ling'yin
六十钱,liu'shi'qian
鲁哀公,lu'ai'gong
鲁班,lu'ban
鲁成公,lu'cheng'gong
鲁国,lu'guo
陆续实行改革,lu'xu'shi'xing'gai'ge
鲁宣公,lu'xuan'gong
鲁隐公,lu'yin'gong
洛邑,luo'yi
率兵击退,lv'bing'ji'tui
率兵救宋,lv'bing'jiu'song
率兵迎战,lv'bing'ying'zhan
屡见不鲜,lv'jian'bu'xian
马的数量增多,ma'de'shu'liang'zeng'duo
蛮夷之邦,man'yi'zhi'bang
美女西施,mei'nv'xi'shi
每石,mei'shi
盟国军队,meng'guo'jun'dui
盟会,meng'hui
弭兵会盟,mi'bing'hui'meng
灭了,mie'le
灭了吴国,mie'le'wu'guo
灭智氏,mie'zhi'shi
灭周自立,mie'zhou'zi'li
命令部队,ming'ling'bu'dui
名小白,ming'xiao'bai
南方的,nan'fang'de
南进伐越,nan'jin'fa'yue
内乱,nei'luan
内乱不止,nei'luan'bu'zhi
年共,nian'gong
年间,nian'jian
年就爆发了,nian'jiu'bao'fa'le
年这个时期,nian'zhe'ge'shi'qi
年至前,nian'zhi'qian
牛耕,niu'geng
牛耕技术,niu'geng'ji'shu
农业产量大增,nong'ye'chan'liang'da'zeng
农业生产力,nong'ye'sheng'chan'li
派出的军队,pai'chu'de'jun'dui
陪臣执国命,pei'chen'zhi'guo'ming
平王东迁,ping'wang'dong'qian
平王东迁以后,ping'wang'dong'qian'yi'hou
平息暴乱,ping'xi'bao'luan
破蔡伐楚,po'cai'fa'chu
迫使楚国,po'shi'chu'guo
迫使越国屈服,po'shi'yue'guo'qu'fu
普遍地,pu'bian'de
铺平了道路,pu'ping'le'dao'lu
其北方的,qi'bei'fang'de
其次各诸侯国,qi'ci'ge'zhu'hou'guo
齐国,qi'guo
齐国国君,qi'guo'guo'jun
齐国和,qi'guo'he
齐国衰落后,qi'guo'shuai'luo'hou
齐桓公,qi'huan'gong
齐桓公称霸,qi'huan'gong'cheng'ba
齐桓公带领,qi'huan'gong'dai'ling
齐桓公的,qi'huan'gong'de
齐桓公继位,qi'huan'gong'ji'wei
齐桓公建立了,qi'huan'gong'jian'li'le
齐桓公是,qi'huan'gong'shi
齐桓公死后,qi'huan'gong'si'hou
齐军,qi'jun
七年,qi'nian
七年实行,qi'nian'shi'xing
漆器等,qi'qi'deng
七七零年,qi'qi'ling'nian
其他边远国家,qi'ta'bian'yuan'guo'jia
其它国家,qi'ta'guo'jia
齐襄公,qi'xiang'gong
其兄,qi'xiong
其冶铸淬炼之精,qi'ye'zhu'cui'lian'zhi'jing
其长官,qi'zhang'guan
起着巨大的作用,qi'zhe'ju'da'de'zuo'yong
起之多,qi'zhi'duo
其中主持政务的,qi'zhong'zhu'chi'zheng'wu'de
嵌红铜,qian'hong'tong
前四七六年,qian'si'qi'liu'nian
迁至洛邑,qian'zhi'luo'yi
强大起来,qiang'da'qi'lai
秦国参战,qin'guo'can'zhan
秦国首先实行,qin'guo'shou'xian'shi'xing
秦国于,qin'guo'yu
秦穆公,qin'mu'gong
秦穆公和楚庄王,qin'mu'gong'he'chu'zhuang'wang
秦穆公谋求,qin'mu'gong'mou'qiu
秦穆公企图向东,qin'mu'gong'qi'tu'xiang'dong
秦全军覆没,qin'quan'jun'fu'mo
秦又曾称,qin'you'ceng'cheng
卿出征时,qing'chu'zheng'shi
卿大夫,qing'da'fu
请来周襄王,qing'lai'zhou'xiang'wang
青铜器,qing'tong'qi
青铜冶铸业和,qing'tong'ye'zhu'ye'he
卿之官职,qing'zhi'guan'zhi
趋向细致工整,qu'xiang'xi'zhi'gong'zheng
取信于民,qu'xin'yu'min
全部被歼,quan'bu'bei'jian
权力的,quan'li'de
犬戎入侵,quan'rong'ru'qin
确定赋税,que'ding'fu'shui
群雄纷争,qun'xiong'fen'zheng
然后就打起了,ran'hou'jiu'da'qi'le
人顾及,ren'gu'ji
人口税,ren'kou'shui
任用管仲,ren'yong'guan'zhong
仍与晋国保持,reng'yu'jin'guo'bao'chi
仍占优势,reng'zhan'you'shi
戎狄部族,rong'di'bu'zu
戎族,rong'zu
儒家经典之一,ru'jia'jing'dian'zhi'yi
如秦国,ru'qin'guo
锐利的工具,rui'li'de'gong'ju
若干小邑,ruo'gan'xiao'yi
三家分晋,san'jia'fen'jin
三家为侯国,san'jia'wei'hou'guo
三年,san'nian
三卿或六卿,san'qing'huo'liu'qing
三舍,san'she
上的,shang'de
赏给贵族,shang'gei'gui'zu
上卿,shang'qing
商丘,shang'qiu
商业的发展,shang'ye'de'fa'zhan
伤重而死,shang'zhong'er'si
射到了,she'dao'le
社会变革,she'hui'bian'ge
社会风雷激荡,she'hui'feng'lei'ji'dang
社会经济,she'hui'jing'ji
社稷者,she'ji'zhe
设县,she'xian
设盐铁官,she'yan'tie'guan
设诸卿,she'zhu'qing
申侯,shen'hou
申侯拥立平王,shen'hou'yong'li'ping'wang
甚至于,shen'zhi'yu
是不平衡的,shi'bu'ping'heng'de
史称,shi'cheng
史称东周,shi'cheng'dong'zhou
使大规模,shi'da'gui'mo
时代名,shi'dai'ming
十二年,shi'er'nian
弑父之嫌,shi'fu'zhi'xian
使国政大乱,shi'guo'zheng'da'luan
十几个小国,shi'ji'ge'xiao'guo
实际上和,shi'ji'shang'he
是晋文公,shi'jin'wen'gong
势均力敌,shi'jun'li'di
弑君三十六,shi'jun'san'shi'liu
弑君事件达,shi'jun'shi'jian'da
弑君现象,shi'jun'xian'xiang
势力减弱,shi'li'jian'ruo
势力南到,shi'li'nan'dao
势力强大,shi'li'qiang'da
实力威望不足,shi'li'wei'wang'bu'zu
势力逐渐强大,shi'li'zhu'jian'qiang'da
十年教训,shi'nian'jiao'xun
十年生聚,shi'nian'sheng'ju
使平王有,shi'ping'wang'you
使齐国,shi'qi'guo
十四年,shi'si'nian
尸体上,shi'ti'shang
试图再次,shi'tu'zai'ci
是为不仁不义,shi'wei'bu'ren'bu'yi
是为晋文公,shi'wei'jin'wen'gong
实物地税制度,shi'wu'di'shui'zhi'du
十五年,shi'wu'nian
实物税,shi'wu'shui
实现了中国,shi'xian'le'zhong'guo
实行初税亩,shi'xing'chu'shui'mu
是因孔子,shi'yin'kong'zi
使用货币,shi'yong'huo'bi
时有发生,shi'you'fa'sheng
是指齐桓公,shi'zhi'qi'huan'gong
是中国最早的,shi'zhong'guo'zui'zao'de
使周室,shi'zhou'shi
手工业,shou'gong'ye
手工业工具,shou'gong'ye'gong'ju
受齐国抑制,shou'qi'guo'yi'zhi
首先平王,shou'xian'ping'wang
庶长,shu'chang
率军,shuai'jun
率领楚,shuai'ling'chu
谁都无法,shui'dou'wu'fa
税和赋,shui'he'fu
水平很高,shui'ping'hen'gao
说明了周朝,shuo'ming'le'zhou'chao
说明周王,shuo'ming'zhou'wang
四百八十多起,si'bai'ba'shi'duo'qi
四百八十余次,si'bai'ba'shi'yu'ci
四百五十余次,si'bai'wu'shi'yu'ci
私家之田,si'jia'zhi'tian
司空,si'kong
司寇,si'kou
肆里,si'li
司马,si'ma
司马迁说,si'ma'qian'shuo
四十三年,si'shi'san'nian
私田,si'tian
私田增加,si'tian'zeng'jia
思想观念,si'xiang'guan'nian
思想文化,si'xiang'wen'hua
思想文化史上,si'xiang'wen'hua'shi'shang
宋楚两军,song'chu'liang'jun
宋楚之争,song'chu'zhi'zheng
宋大司马,song'da'si'ma
宋等,song'deng
宋等八国之师,song'deng'ba'guo'zhi'shi
宋国都城,song'guo'du'cheng
宋国派人,song'guo'pai'ren
宋军大败,song'jun'da'bai
宋襄公,song'xiang'gong
宋襄公称,song'xiang'gong'cheng
宋襄公十五年,song'xiang'gong'shi'wu'nian
宋襄公再次,song'xiang'gong'zai'ci
虽皆以,sui'jie'yi
随他回国,sui'ta'hui'guo
岁月和光阴,sui'yue'he'guang'yin
随之而出现的,sui'zhi'er'chu'xian'de
孙武,sun'wu
所编春秋,suo'bian'chun'qiu
所以社会改革,suo'yi'she'hui'gai'ge
他大会,ta'da'hui
它的功能,ta'de'gong'neng
他的威信,ta'de'wei'xin
他改革政治,ta'gai'ge'zheng'zhi
他有权,ta'you'quan
他在政治,ta'zai'zheng'zhi
讨伐郑国,tao'fa'zheng'guo
提供了,ti'gong'le
田地租税,tian'di'zu'shui
田税的开始,tian'shui'de'kai'shi
天下共主,tian'xia'gong'zhu
天子统帅诸侯,tian'zi'tong'shuai'zhu'hou
铁农具,tie'nong'ju
铁器的使用,tie'qi'de'shi'yong
铁器主要为,tie'qi'zhu'yao'wei
铁制农具,tie'zhi'nong'ju
停止北进,ting'zhi'bei'jin
统兵伐楚,tong'bing'fa'chu
通路,tong'lu
同时也,tong'shi'ye
同样的现象,tong'yang'de'xian'xiang
头会,tou'hui
土地关系,tu'di'guan'xi
土地面积,tu'di'mian'ji
土地所有者,tu'di'suo'you'zhe
退避三舍,tui'bi'san'she
吞并了一些,tun'bing'le'yi'xie
吞并了一些小国,tun'bing'le'yi'xie'xiao'guo
外镀之精良,wai'du'zhi'jing'liang
亡国五十二,wang'guo'wu'shi'er
王权的削弱,wang'quan'de'xue'ruo
王师,wang'shi
为大将,wei'da'jiang
卫的关系,wei'de'guan'xi
卫等,wei'deng
为父报仇,wei'fu'bao'chou
为夫差牵马,wei'fu'cha'qian'ma
为父兄报仇,wei'fu'xiong'bao'chou
围攻宋国,wei'gong'song'guo
卫国的,wei'guo'de
魏韩两家倒戈,wei'han'liang'jia'dao'ge
魏韩两氏出兵,wei'han'liang'shi'chu'bing
为晋所阻,wei'jin'suo'zu
围困越王,wei'kun'yue'wang
为了方便起见,wei'le'fang'bian'qi'jian
为名,wei'ming
为三军之将佐,wei'san'jun'zhi'jiang'zuo
为手工业,wei'shou'gong'ye
魏四家,wei'si'jia
为县,wei'xian
为相,wei'xiang
威信很高,wei'xin'hen'gao
为由拒绝,wei'you'ju'jue
问鼎,wen'ding
问鼎中原,wen'ding'zhong'yuan
卧薪尝胆,wo'xin'chang'dan
五霸,wu'ba
五霸是指,wu'ba'shi'zhi
五个儿子,wu'ge'er'zi
五个诸侯,wu'ge'zhu'hou
五公子夺位,wu'gong'zi'duo'wei
吴国,wu'guo
吴军攻进,wu'jun'gong'jin
吴军挥师,wu'jun'hui'shi
五十二个,wu'shi'er'ge
吴王夫差,wu'wang'fu'cha
吴王阖闾,wu'wang'he'lv
吴王阖闾和,wu'wang'he'lv'he
吴王拒绝了,wu'wang'ju'jue'le
吴王以伍子胥,wu'wang'yi'wu'zi'xu
吴越,wu'yue
吴越开始发展,wu'yue'kai'shi'fa'zhan
伍子胥,wu'zi'xu
西部的各国,xi'bu'de'ge'guo
西周东周,xi'zhou'dong'zhou
夏商周,xia'shang'zhou
现代的学者,xian'dai'de'xue'zhe
先后称霸的,xian'hou'cheng'ba'de
先后在各国,xian'hou'zai'ge'guo
先进技术,xian'jin'ji'shu
陷入重围,xian'ru'chong'wei
显示出,xian'shi'chu
先退让一步,xian'tui'rang'yi'bu
现在这些权力,xian'zai'zhe'xie'quan'li
向北扩张,xiang'bei'kuo'zhang
相传春秋初期,xiang'chuan'chun'qiu'chu'qi
相传由孔子,xiang'chuan'you'kong'zi
相当的程度时,xiang'dang'de'cheng'du'shi
相当于宰相,xiang'dang'yu'zai'xiang
向东的,xiang'dong'de
向东发展,xiang'dong'fa'zhan
