阿克里地树虫,a'ke'li'di'shu'chong
颠簸人鱼,dian'bo'ren'yu
鼎镬之舞,ding'huo'zhi'wu
钉尾龙兽,ding'wei'long'shou
钉尾幼雏,ding'wei'you'chu
动力基质,dong'li'ji'zhi
动力铠甲,dong'li'kai'jia
动力石雷区,dong'li'shi'lei'qu
毒契,du'qi
缎带蛇,duan'dai'she
断魂术,duan'hun'shu
遁世老妖,dun'shi'lao'yao
夺魂叛行,duo'hun'pan'xing
缍降斥候,duo'jiang'chi'hou
堕落者瓦拉司,duo'luo'zhe'wa'la'si
多元化的犒赏,duo'yuan'hua'de'kao'shang
恶者不息,e'zhe'bu'xi
伐木沙德兽,fa'mu'sha'de'shou
发泡堆肥,fa'pao'dui'fei
法术力钵,fa'shu'li'bo
法术力迷阵,fa'shu'li'mi'zhen
法与美之面具,fa'yu'mei'zhi'mian'ju
番怖里德,fan'bu'li'de
反挫,fan'cuo
凡尔西诺,fan'er'xi'nuo
凡尔西诺勾手,fan'er'xi'nuo'gou'shou
凡格蜥蜴,fan'ge'xi'yi
反击咒语,fan'ji'zhou'yu
反抗军,fan'kang'jun
反抗军告密者,fan'kang'jun'gao'mi'zhe
反色保护,fan'se'bao'hu
返响,fan'xiang
繁星罗盘,fan'xing'luo'pan
仿索蓝升浮艇,fang'suo'lan'sheng'fu'ting
仿索蓝士兵,fang'suo'lan'shi'bing
绯红侍僧,fei'hong'shi'seng
飞空旗舰掠夺者号,fei'kong'qi'jian'lue'duo'zhe'hao
飞鸟头纱,fei'niao'tou'sha
非瑞克西亚,fei'rui'ke'xi'ya
非瑞克西亚处理机,fei'rui'ke'xi'ya'chu'li'ji
非瑞克西亚斗技场,fei'rui'ke'xi'ya'dou'ji'chang
非瑞克西亚盾甲队,fei'rui'ke'xi'ya'dun'jia'dui
非瑞克西亚巨罡兽,fei'rui'ke'xi'ya'ju'gang'shou
非瑞克西亚巨像,fei'rui'ke'xi'ya'ju'xiang
非瑞克西亚绝灭兽,fei'rui'ke'xi'ya'jue'mie'shou
非瑞克西亚考掘怪,fei'rui'ke'xi'ya'kao'jue'guai
非瑞克西亚渗透者,fei'rui'ke'xi'ya'shen'tou'zhe
非瑞克西亚式暴行,fei'rui'ke'xi'ya'shi'bao'xing
非瑞克西亚血畜,fei'rui'ke'xi'ya'xue'chu
非瑞克西亚疫病王,fei'rui'ke'xi'ya'yi'bing'wang
非瑞克西亚游掠者,fei'rui'ke'xi'ya'you'lue'zhe
非瑞克西亚斩杀手,fei'rui'ke'xi'ya'zhan'sha'shou
非瑞克西亚战蝇,fei'rui'ke'xi'ya'zhan'ying
飞逝幻象,fei'shi'huan'xiang
飞行异能,fei'xing'yi'neng
焚魂,fen'hun
焚灭龙王达里迦,fen'mie'long'wang'da'li'jia
疯狗,feng'gou
腐臭战士,fu'chou'zhan'shi
腐化,fu'hua
腐化的尔泰,fu'hua'de'er'tai
伏击魔,fu'ji'mo
负极兽,fu'ji'shou
附禳垂饰,fu'rang'chui'shi
腐肉墙,fu'rou'qiang
腐生共棲,fu'sheng'gong'qi
腐生激长,fu'sheng'ji'chang
腐生蔓延,fu'sheng'man'yan
腐生群落,fu'sheng'qun'luo
伏特里亚催眠术士,fu'te'li'ya'cui'mian'shu'shi
符文,fu'wen
覆盐,fu'yan
腐沼残迹,fu'zhao'can'ji
腐沼嚎龙,fu'zhao'hao'long
腐沼见习生,fu'zhao'jian'xi'sheng
腐沼突击队,fu'zhao'tu'ji'dui
盖美拉,gai'mei'la
盖亚,gai'ya
盖亚空民,gai'ya'kong'min
盖亚之子,gai'ya'zhi'zi
港口巡检官,gang'kou'xun'jian'guan
高罕巨灵,gao'han'ju'ling
格立尔之抚,ge'li'er'zhi'fu
格里娜女皇,ge'li'na'nv'huang
革命家柯曼诺,ge'ming'jia'ke'man'nuo
根丛葛雷虢,gen'cong'ge'lei'guo
根潭突击兵,gen'tan'tu'ji'bing
共生共存,gong'sheng'gong'cun
钩棘兽,gou'ji'shou
古灵精怪,gu'ling'jing'guai
谷玛,gu'ma
鼓胀青蛙,gu'zhang'qing'wa
故作虔诚,gu'zuo'qian'cheng
剐肉兽,gua'rou'shou
棺木傀儡,guan'mu'kui'lei
观熊谷,guan'xiong'gu
鬼怪总督斯奎,gui'guai'zong'du'si'kui
鬼祟童妖,gui'sui'tong'yao
滚烫铜浆,gun'tang'tong'jiang
海岸鸿爪鸟,hai'an'hong'zhao'niao
海贝壳浮雕,hai'bei'ke'fu'diao
海猎者,hai'lie'zhe
骸龙,hai'long
海生史尼兽,hai'sheng'shi'ni'shou
悍然舍弃,han'ran'she'qi
合金魔像,he'jin'mo'xiang
赫岚巨灵,he'lan'ju'ling
河豚精粹,he'tun'jing'cui
黑暗祭礼,hei'an'ji'li
黑暗幼雏,hei'an'you'chu
黑榴石蛭,hei'liu'shi'zhi
黑檀树妖,hei'tan'shu'yao
横置,heng'zhi
横阻,heng'zu
红宝石蛭,hong'bao'shi'zhi
虹彩天使,hong'cai'tian'shi
虹光龙兽,hong'guang'long'shou
猴槛,hou'kan
虎钳人,hu'qian'ren
虎眼石浮雕,hu'yan'shi'fu'diao
弧状闪电,hu'zhuang'shan'dian
滑窜巨蛇,hua'cuan'ju'she
滑云,hua'yun
花之毯,hua'zhi'tan
换毛哈痞,huan'mao'ha'pi
幻梦鹩鸟,huan'meng'liao'niao
豢奴惊惧兽,huan'nu'jing'ju'shou
幻土,huan'tu
黄铜书记,huang'tong'shu'ji
煌炎迸散,huang'yan'beng'san
灰黑巨石,hui'hei'ju'shi
辉煌的赞美诗,hui'huang'de'zan'mei'shi
溃脓创伤,hui'nong'chuang'shang
回生龙王翠瓦,hui'sheng'long'wang'cui'wa
秽雨,hui'yu
昏暗阴魂,hun'an'yin'hun
魂魅怪,hun'mei'guai
魂魅山猫,hun'mei'shan'mao
火光幽灵,huo'guang'you'ling
火山地狱兽,huo'shan'di'yu'shou
火束,huo'shu
火焰蚁,huo'yan'yi
极黯时刻,ji'an'shi'ke
疾病带原体,ji'bing'dai'yuan'ti
急冲人鱼,ji'chong'ren'yu
极恶安魂曲,ji'e'an'hun'qu
基克斯,ji'ke'si
激流蟹,ji'liu'xie
寄生联结,ji'sheng'lian'jie
集体潜意识,ji'ti'qian'yi'shi
基图战嚎,ji'tu'zhan'hao
基图之火,ji'tu'zhi'huo
脊椎强殖,ji'zhui'qiang'zhi
剑齿尼索巴,jian'chi'ni'suo'ba
剑齿蚁,jian'chi'yi
贱民,jian'min
渐强撼动,jian'qiang'han'dong
尖声莫葛,jian'sheng'mo'ge
检视,jian'shi
将领华服,jiang'ling'hua'fu
角猎豹,jiao'lie'bao
结界,jie'jie
杰拉尔德,jie'la'er'de
杰拉尔德卡帕轩,jie'la'er'de'ka'pa'xuan
杰拉帕牛头怪,jie'la'pa'niu'tou'guai
烬火怪影,jin'huo'guai'ying
金鳞龙兽,jin'lin'long'shou
精华渗漏,jing'hua'shen'lou
净化之缄印,jing'hua'zhi'jian'yin
镜回击,jing'hui'ji
荊景院,jing'jing'yuan
惊惧兽,jing'ju'shou
精灵军团兵,jing'ling'jun'tuan'bing
镜木林树妖,jing'mu'lin'shu'yao
惊起,jing'qi
静物,jing'wu
菁英箭手,jing'ying'jian'shou
纠结缆线,jiu'jie'lan'xian
拒否之风,ju'fou'zhi'feng
巨魔角浮雕,ju'mo'jiao'fu'diao
巨穴爬虫,ju'xue'pa'chong
锯状闪电,ju'zhuang'shan'dian
掘壕战马,jue'hao'zhan'ma
卡恩,ka'en
卡甫,ka'fu
喀洛斯洞窟,ka'luo'si'dong'ku
卡马尔,ka'ma'er
卡帕轩,ka'pa'xuan
卡帕轩独角兽,ka'pa'xuan'du'jiao'shou
卡帕轩徽章,ka'pa'xuan'hui'zhang
卡特蓝,ka'te'lan
凯尔顿,kai'er'dun
凯尔顿古陵寝,kai'er'dun'gu'ling'qin
凯尔顿陆行舰,kai'er'dun'lu'xing'jian
凯尔顿烧夷队,kai'er'dun'shao'yi'dui
凯尔顿总督军拉图那,kai'er'dun'zong'du'jun'la'tu'na
凯尔顿纵火狂,kai'er'dun'zong'huo'kuang
凯壬滑翔翼,kai'ren'hua'xiang'yi
坎吉的门徒,kan'ji'de'men'tu
拷架人,kao'jia'ren
柯尔林,ke'er'lin
柯尔林练金术士,ke'er'lin'lian'jin'shu'shi
咳吼恶魔,ke'hou'e'mo
咳吼巫师,ke'hou'wu'shi
克利斯刀法师,ke'li'si'dao'fa'shi
克罗玛特,ke'luo'ma'te
克洛萨,ke'luo'sa
克洛萨保护者熙藤,ke'luo'sa'bao'hu'zhe'xi'teng
柯曼诺的祝福,ke'man'nuo'de'zhu'fu
克撒,ke'sa
克撒传,ke'sa'chuan
克撒的抚育设备,ke'sa'de'fu'yu'she'bei
克撒的滤色鏡,ke'sa'de'lv'se'jing
克撒之疚,ke'sa'zhi'jiu
克撒之铠,ke'sa'zhi'kai
克撒之怒,ke'sa'zhi'nu
克咒半人马,ke'zhou'ban'ren'ma
柯族圣泉,ke'zu'sheng'quan
空腹狗群,kong'fu'gou'qun
空中商队,kong'zhong'shang'dui
口络,kou'luo
寇族庇护地,kou'zu'bi'hu'di
酷刑轮,ku'xing'lun
狂耕乱耘,kuang'geng'luan'yun
狂乱隐者,kuang'luan'yin'zhe
狂热舍身,kuang're'she'shen
狂搜乱寻,kuang'sou'luan'xun
溃烂化脓,kui'lan'hua'nong
奎利恩哨兵,kui'li'en'shao'bing
奎利恩树灵,kui'li'en'shu'ling
拉高耶夫,la'gao'ye'fu
垃圾掠集兽,la'ji'lue'ji'shou
拉卡信徒,la'ka'xin'tu
拉图那军令,la'tu'na'jun'ling
蓝宝石蛭,lan'bao'shi'zhi
拦击,lan'ji
岚景院,lan'jing'yuan
老练喧哗兵,lao'lian'xuan'hua'bing
蕾荻安,lei'di'an
雷动巨人,lei'dong'ju'ren
雷景院,lei'jing'yuan
肋纹蜘蛛,lei'wen'zhi'zhu
泪雨,lei'yu
力量之缄印,li'liang'zhi'jian'yin
犁埋,li'mai
黎明步者,li'ming'bu'zhe
黎明使者蕾亚,li'ming'shi'zhe'lei'ya
砾食非,li'shi'fei
力夏达飞盗,li'xia'da'fei'dao
力夏达港,li'xia'da'gang
莲花丛,lian'hua'cong
连枷,lian'jia
连枷翼狮,lian'jia'yi'shi
炼栓狮鹫,lian'shuan'shi'jiu
亮光翼,liang'guang'yi
粮秣大炮,liang'mo'da'pao
疗疾神医,liao'ji'shen'yi
猎场看守人,lie'chang'kan'shou'ren
裂林兽,lie'lin'shou
烈焰术,lie'yan'shu
林隙嚎龙,lin'xi'hao'long
领地增生器,ling'di'zeng'sheng'qi
灵雕师,ling'diao'shi
领航员哈娜,ling'hang'yuan'ha'na
灵魂盛宴,ling'hun'sheng'yan
鲮鲤恐龙,ling'li'kong'long
灵气裂,ling'qi'lie
灵气窃影,ling'qi'qie'ying
灵气泄裂,ling'qi'xie'lie
灵俑化,ling'yong'hua
琉晶导师,liu'jing'dao'shi
琉晶研究,liu'jing'yan'jiu
六足豹后,liu'zu'bao'hou
龙葵气息,long'kui'qi'xi
龙葵预言师,long'kui'yu'yan'shi
龙兽髑浮雕,long'shou'du'fu'diao
龙兽幼雏,long'shou'you'chu
鲁杏巨灵,lu'xing'ju'ling
掠劫骑士,lue'jie'qi'shi
掠取,lue'qu
轮耕法,lun'geng'fa
洛菲罗斯的献礼,luo'fei'luo'si'de'xian'li
罗克犀龙,luo'ke'xi'long
螺塔猫头鹰,luo'ta'mao'tou'ying
罗堰密使洛菲罗斯,luo'yan'mi'shi'luo'fei'luo'si
罗堰骑兵,luo'yan'qi'bing
罗堰亡者,luo'yan'wang'zhe
旅法师的恩惠,lv'fa'shi'de'en'hui
马基塔的恩泽,ma'ji'ta'de'en'ze
玛凯迪安市集,ma'kai'di'an'shi'ji
玛凯迪亚,ma'kai'di'ya
玛洛术士莫黎墨,ma'luo'shu'shi'mo'li'mo
马洛术士穆塔尼,ma'luo'shu'shi'mu'ta'ni
马尼古斯树妖,ma'ni'gu'si'shu'yao
马蹄蟹,ma'ti'xie
曼格亚龙,man'ge'ya'long
漫游鬼眼,man'you'gui'yan
盲先知,mang'xian'zhi
没顶,mei'ding
美善使者,mei'shan'shi'zhe
煤渣气息,mei'zha'qi'xi
煤渣预言师,mei'zha'yu'yan'shi
闷燃火山口,men'ran'huo'shan'kou
闷烧焦油,men'shao'jiao'you
猛恶肺疾,meng'e'fei'ji
米斯拉,mi'si'la
米斯拉的螺旋柱,mi'si'la'de'luo'xuan'zhu
敏塔拉鳖,min'ta'la'bie
敏塔拉象,min'ta'la'xiang
冥府精灵,ming'fu'jing'ling
明灭不定,ming'mie'bu'ding
明圣示现,ming'sheng'shi'xian
铭印,ming'yin
抹除,mo'chu
魔法力池,mo'fa'li'chi
魔法力密储,mo'fa'li'mi'chu
魔力小径,mo'li'xiao'jing
茉莉预言师,mo'li'yu'yan'shi
魔像,mo'xiang
墓火,mu'huo
暮色呼声,mu'se'hu'sheng
穆塔尼的裁决,mu'ta'ni'de'cai'jue
穆塔尼的侍僧,mu'ta'ni'de'shi'seng
目眩,mu'xuan
墓穴匐尸,mu'xue'fu'shi
那卡亚阴魂,na'ka'ya'yin'hun
脑力激荡,nao'li'ji'dang
脑叶切除,nao'ye'qie'chu
能量消沉,neng'liang'xiao'chen
能量泄裂,neng'liang'xie'lie
匿形公鹿,ni'xing'gong'lu
匿形兽群,ni'xing'shou'qun
黏泞卡甫,nian'ning'ka'fu
涅夸信徒,nie'kua'xin'tu
纽杜云密使,niu'du'yun'mi'shi
扭曲航迹,niu'qu'hang'ji
牛头怪幻术师,niu'tou'guai'huan'shu'shi
农渠,nong'qu
怒火之袍,nu'huo'zhi'pao
暖流滑翔翼,nuan'liu'hua'xiang'yi
女巫引擎,nv'wu'yin'qing
欧葛,ou'ge
欧拉克蟹,ou'la'ke'xie
欧琳,ou'lin
欧琳的吟颂,ou'lin'de'yin'song
欧塔利亚,ou'ta'li'ya
帕笛卡,pa'di'ka
帕笛可,pa'di'ke
牌表,pai'biao
排拒,pai'ju
盘根牢笼,pan'gen'lao'long
盘卷亚龙,pan'juan'ya'long
潘卓欧龙兽,pan'zhuo'ou'long'shou
喷息森林犀牛,pen'xi'sen'lin'xi'niu
喷炎荚,pen'yan'jia
喷炎苦力兽,pen'yan'ku'li'shou
喷炎泰坦,pen'yan'tai'tan
喷炎幼兽,pen'yan'you'shou
喷液蜘蛛,pen'ye'zhi'zhu
漂游巨灵,piao'you'ju'ling
破浪而出,po'lang'er'chu
扑击猎豹,pu'ji'lie'bao
气爆,qi'bao
契约巨灵,qi'yue'ju'ling
潜藏密探,qian'cang'mi'tan
钳脚蜘蛛,qian'jiao'zhi'zhu
虔敬祈祷文,qian'jing'qi'dao'wen
潜心的竖琴师,qian'xin'de'shu'qin'shi
潜行凡派尔,qian'xing'fan'pai'er
强臂刺客,qiang'bi'ci'ke
戕杀,qiang'sha
强行军,qiang'xing'jun
峭壁蜥,qiao'bi'xi
窃鹊,qie'que
窃尸,qie'shi
窃体者,qie'ti'zhe
青葱原野,qing'cong'yuan'ye
晴空号飞船,qing'kong'hao'fei'chuan
晴苗仙灵,qing'miao'xian'ling
裘蕾尔的恩宠,qiu'lei'er'de'en'chong
去忧念珠,qu'you'nian'zhu
群魂狂欢,qun'hun'kuang'huan
群象复生,qun'xiang'fu'sheng
扰咒法师,rao'zhou'fa'shi
人浆,ren'jiang
熔毁,rong'hui
熔烬猫,rong'jin'mao
熔融威能,rong'rong'wei'neng
熔岩奔越者,rong'yan'ben'yue'zhe
熔岩斧,rong'yan'fu
镕铸多头龙,rong'zhu'duo'tou'long
蠕动团块,ru'dong'tuan'kuai
茹血巨龙,ru'xue'ju'long
蚋虫雾群,rui'chong'wu'qun
瑞莫斯,rui'mo'si
瑞莫斯教队长,rui'mo'si'jiao'dui'zhang
瑞莫斯教飞将,rui'mo'si'jiao'fei'jiang
瑞莫斯教士官,rui'mo'si'jiao'shi'guan
瑞莫斯教尉官,rui'mo'si'jiao'wei'guan
瑞莫斯教指挥官,rui'mo'si'jiao'zhi'hui'guan
锐鳍猎手,rui'qi'lie'shou
瑞斯恶魔,rui'si'e'mo
瑞斯危沿,rui'si'wei'yan
瑞斯凶汉,rui'si'xiong'han
萨保的罗网,sa'bao'de'luo'wang
萨保的宣判,sa'bao'de'xuan'pan
萨保突瓦克,sa'bao'tu'wa'ke
撒拉,sa'la
撒拉狂信者,sa'la'kuang'xin'zhe
撒姆尼大师娥托雅,sa'mu'ni'da'shi'e'tuo'ya
撒姆尼箭手,sa'mu'ni'jian'shou
撒姆尼圣疗,sa'mu'ni'sheng'liao
撒姆尼圣域,sa'mu'ni'sheng'yu
撒姆尼长老,sa'mu'ni'zhang'lao
萨帕佐,sa'pa'zuo
萨帕佐破浪兽,sa'pa'zuo'po'lang'shou
萨帕佐岩岛,sa'pa'zuo'yan'dao
塞菲德,sai'fei'de
塞塔信徒,sai'ta'xin'tu
散裂,san'lie
沙漠龙卷风,sha'mo'long'juan'feng
沙乌贼,sha'wu'zei
砂岩尖峰,sha'yan'jian'feng
山崩骑兵,shan'beng'qi'bing
善变魔神,shan'bian'mo'shen
山胡桃植林地,shan'hu'tao'zhi'lin'di
珊迦,shan'jia
闪烁护壁,shan'shuo'hu'bi
奢豪精灵,she'hao'jing'ling
慑魂尖呜,she'hun'jian'wu
蛇坑,she'keng
射口墙,she'kou'qiang
神卜巫师,shen'bu'wu'shi
神来一笔,shen'lai'yi'bi
审判之浪潮,shen'pan'zhi'lang'chao
神器,shen'qi
神器异变,shen'qi'yi'bian
深水缠藤,shen'shui'chan'teng
渗透影法术师,shen'tou'ying'fa'shu'shi
神谕使随员,shen'yu'shi'sui'yuan
生体活祭,sheng'ti'huo'ji
圣祥猎物,sheng'xiang'lie'wu
圣域,sheng'yu
圣战骑士,sheng'zhan'qi'shi
十地绿,shi'di'lv
噬地兽,shi'di'shou
尸殿蟾蜍,shi'dian'chan'chu
湿滑灰岩地,shi'hua'hui'yan'di
时空界境通道,shi'kong'jie'jing'tong'dao
时空震痴呆,shi'kong'zhen'chi'dai
时空震浪潮,shi'kong'zhen'lang'chao
时空震脉波,shi'kong'zhen'mai'bo
时空震通道,shi'kong'zhen'tong'dao
时空震抑制器,shi'kong'zhen'yi'zhi'qi
石磨人偶,shi'mo'ren'ou
噬人火焰,shi'ren'huo'yan
食人魔,shi'ren'mo
食尸鬼盛宴,shi'shi'gui'sheng'yan
石像鬼,shi'xiang'gui
食鹰蛾,shi'ying'e
湿沼八目鳗,shi'zhao'ba'mu'man
湿沼德鲁依特,shi'zhao'de'lu'yi'te
噬咒兽,shi'zhou'shou
兽奔驭者,shou'ben'yu'zhe
受惑的狮鹫,shou'huo'de'shi'jiu
书库辖员,shu'ku'xia'yuan
树梢护臂,shu'shao'hu'bi
树妖密教徒,shu'yao'mi'jiao'tu
树妖幼苗,shu'yao'you'miao
衰败泥壤,shuai'bai'ni'rang
双头龙,shuang'tou'long
水晶钟铃,shui'jing'zhong'ling
水龙卷元素,shui'long'juan'yuan'su
水位上涨,shui'wei'shang'zhang
嘶爆,si'bao
死斗场,si'dou'chang
斯克魔,si'ke'mo
斯奎,si'kui
死灵术士学徒,si'ling'shu'shi'xue'tu
死冥权能,si'ming'quan'neng
嘶气客,si'qi'ke
丝拳教士团,si'quan'jiao'shi'tuan
撕肉魔,si'rou'mo
死亡异变,si'wang'yi'bian
死亡之攫,si'wang'zhi'jue
死渊活祭,si'yuan'huo'ji
诵传仪典,song'chuan'yi'dian
肃荡龙王克罗希司,su'dang'long'wang'ke'luo'xi'si
宿敌,su'di
苏澜巨灵,su'lan'ju'ling
酸土,suan'tu
碎骨者,sui'gu'zhe
燧石魔像,sui'shi'mo'xiang
隼龙兽,sun'long'shou
索蓝,suo'lan
索蓝铸造厂,suo'lan'zhu'zao'chang
锁链刀,suo'lian'dao
锁链刀舞,suo'lian'dao'wu
挞地兽,ta'di'shou
塔路姆英雄坦格尔斯,ta'lu'mu'ying'xiong'tan'ge'er'si
泰菲力,tai'fei'li
泰菲力的护城河,tai'fei'li'de'hu'cheng'he
苔狗,tai'gou
泰科,tai'ke
泰坦尼亚,tai'tan'ni'ya
苔炎卵,tai'yan'luan
弹跳哔宝精,tan'tiao'bi'bao'jing
螳人,tang'ren
陶拉里亚,tao'la'li'ya
陶拉里亚密使,tao'la'li'ya'mi'shi
饕餮噬啜兽,tao'tie'shi'chuo'shou
藤蔓树灵,teng'wan'shu'ling
天恩眷顾,tian'en'juan'gu
天国监护使,tian'guo'jian'hu'shi
天火断空,tian'huo'duan'kong
天界辐辏,tian'jie'fu'cou
天使焰圣战军,tian'shi'yan'sheng'zhan'jun
天王坎鴶,tian'wang'kan'jia
天帷,tian'wei
天帷贝西摩斯,tian'wei'bei'xi'mo'si
天威大魔将,tian'wei'da'mo'jiang
天帷割腕兽,tian'wei'ge'wan'shou
天帷隆背兽,tian'wei'long'bei'shou
跳跃机械兽,tiao'yue'ji'xie'shou
铁索战士,tie'suo'zhan'shi
铁线猫,tie'xian'mao
铜箔天使,tong'bo'tian'shi
投尸器,tou'shi'qi
土地堑伤,tu'di'qian'shang
凸脊狂兽,tu'ji'kuang'shou
屠戮者欢宴,tu'lu'zhe'huan'yan
颓丧,tui'sang
挖壕亚龙,wa'hao'ya'long
歪曲量计,wai'qu'liang'ji
万里亚龙,wan'li'ya'long
罔两亚龙,wang'liang'ya'long
维持阶段,wei'chi'jie'duan
微光天使,wei'guang'tian'shi
维克族捍卫者,wei'ke'zu'han'wei'zhe
唯实修行僧,wei'shi'xiu'xing'seng
违天择,wei'tian'ze
唯心修行僧,wei'xin'xiu'xing'seng
瘟疫喷兽,wen'yi'pen'shou
纹章魔像,wen'zhang'mo'xiang
舞盾手,wu'dun'shou
乌尔博格,wu'er'bo'ge
乌尔博格跛行兽,wu'er'bo'ge'bo'xing'shou
污化,wu'hua
无名亡者,wu'ming'wang'zhe
污泥沼,wu'ni'zhao
污损,wu'sun
乌托树,wu'tuo'shu
无畏勇士琳西薇,wu'wei'yong'shi'lin'xi'wei
雾隐巨蛇,wu'yin'ju'she
曦草卵,xi'cao'luan
戏潮巨蛇,xi'chao'ju'she
西方神圣武士,xi'fang'shen'sheng'wu'shi
西风法师阿蕾克丝,xi'feng'fa'shi'a'lei'ke'si
系魂索,xi'hun'suo
西赛船长,xi'sai'chuan'chang
西坦努,xi'tan'nu
西坦努法皇,xi'tan'nu'fa'huang
西瓦,xi'wa
西瓦残虐者,xi'wa'can'nue'zhe
西瓦灵俑,xi'wa'ling'yong
西薇的妙计,xi'wei'de'miao'ji
先攻,xian'gong
陷阱奔越者,xian'jing'ben'yue'zhe
仙灵议场,xian'ling'yi'chang
仙灵云群,xian'ling'yun'qun
先人瓦德洛司,xian'ren'wa'de'luo'si
咸雨,xian'yu
咸沼,xian'zhao
相弑,xiang'shi
橡树之力,xiang'shu'zhi'li
象限虚空,xiang'xian'xu'kong
翔阳兵,xiang'yang'bing
消除魔障,xiao'chu'mo'zhang
哮火蜥,xiao'huo'xi
消魔,xiao'mo
小型乳齿巨象,xiao'xing'ru'chi'ju'xiang
邪恶饥渴,xie'e'ji'ke
邪秽示现,xie'hui'shi'xian
邪疑,xie'yi
心防,xin'fang
心灵饕餮格立尔,xin'ling'tao'tie'ge'li'er
心灵斩,xin'ling'zhan
新绿演替,xin'lv'yan'ti
心念窃取,xin'nian'qie'qu
星火雨,xing'huo'yu
行猎恐鸟,xing'lie'kong'niao
醒眠龙王丽丝,xing'mian'long'wang'li'si
雄狮马基塔,xiong'shi'ma'ji'ta
眩光一闪,xuan'guang'yi'shan
眩目天使,xuan'mu'tian'shi
血仇,xue'chou
雪花石蛭,xue'hua'shi'zhi
血色守卫,xue'se'shou'wei
血誓,xue'shi
血丝独眼巨人,xue'si'du'yan'ju'ren
削心兽,xue'xin'shou
血焰巨像,xue'yan'ju'xiang
血玉髓浮雕,xue'yu'sui'fu'diao
殉道者之墓,xun'dao'zhe'zhi'mu
迅猛龙,xun'meng'long
芽胞蛙,ya'bao'wa
亚格斯,ya'ge'si
