变异型心绞痛,bian'yi'xing'xin'jiao'tong
交界性逸搏,jiao'jie'xing'yi'bo
快慢综合征,kuai'man'zong'he'zheng
慢性冠状动脉供血不全,man'xing'guan'zhuang'dong'mai'gong'xue'bu'quan
逆行波,ni'xing'bo
频率依赖性右束支传导阻滞,pin'lv'yi'lai'xing'you'shu'zhi'chuan'dao'zu'zhi
平均电轴轻度左偏,ping'jun'dian'zhou'qing'du'zuo'pian
期前收缩,qi'qian'shou'suo
三联律,san'lian'lv
三束支传导阻滞,san'shu'zhi'chuan'dao'zu'zhi
室颤前室速,shi'chan'qian'shi'su
室内差异传导,shi'nei'cha'yi'chuan'dao
室内传导阻滞,shi'nei'chuan'dao'zu'zhi
室内阻滞等,shi'nei'zu'zhi'deng
室上性心动过速,shi'shang'xing'xin'dong'guo'su
室性并行心律,shi'xing'bing'xing'xin'lv
室性反复心律,shi'xing'fan'fu'xin'lv
室性期前收缩,shi'xing'qi'qian'shou'suo
室性融合波,shi'xing'rong'he'bo
室性心动过速,shi'xing'xin'dong'guo'su
室性逸搏,shi'xing'yi'bo
室性逸搏心律,shi'xing'yi'bo'xin'lv
室性早搏,shi'xing'zao'bo
束支传导阻滞,shu'zhi'chuan'dao'zu'zhi
束支阻滞型,shu'zhi'zu'zhi'xing
双侧束支传导阻滞,shuang'ce'shu'zhi'chuan'dao'zu'zhi
双侧束支阻滞,shuang'ce'shu'zhi'zu'zhi
双侧心室肥大,shuang'ce'xin'shi'fei'da
双向性室性心动过速,shuang'xiang'xing'shi'xing'xin'dong'guo'su
双支传导阻滞,shuang'zhi'chuan'dao'zu'zhi
体位性右束支传导阻滞,ti'wei'xing'you'shu'zhi'chuan'dao'zu'zhi
同步度双侧束支阻滞,tong'bu'du'shuang'ce'shu'zhi'zu'zhi
完全性房室脱节,wan'quan'xing'fang'shi'tuo'jie
完全性右束支阻滞,wan'quan'xing'you'shu'zhi'zu'zhi
伪改善,wei'gai'shan
文氏现象,wen'shi'xian'xiang
下壁心肌梗塞,xia'bi'xin'ji'geng'se
心电轴左偏,xin'dian'zhou'zuo'pian
心动过缓,xin'dong'guo'huan
心动周期,xin'dong'zhou'qi
心房颤动,xin'fang'chan'dong
心房颤动等,xin'fang'chan'dong'deng
心房扑动,xin'fang'pu'dong
心律失常,xin'lv'shi'chang
心室颤动,xin'shi'chan'dong
心室夺获,xin'shi'duo'huo
心室夺获及室性融合波,xin'shi'duo'huo'ji'shi'xing'rong'he'bo
心室扑动,xin'shi'pu'dong
心室停搏,xin'shi'ting'bo
心室自搏性心动过速,xin'shi'zi'bo'xing'xin'dong'guo'su
型预激综合征,xing'yu'ji'zong'he'zheng
一过性波倒置低平或双向,yi'guo'xing'bo'dao'zhi'di'ping'huo'shuang'xiang
一过性波或波,yi'guo'xing'bo'huo'bo
一过性的心律失常,yi'guo'xing'de'xin'lv'shi'chang
一过性段移位,yi'guo'xing'duan'yi'wei
一过性心律失常,yi'guo'xing'xin'lv'shi'chang
一过性异常波,yi'guo'xing'yi'chang'bo
异位搏动及异位心律,yi'wei'bo'dong'ji'yi'wei'xin'lv
异型预激综合征,yi'xing'yu'ji'zong'he'zheng
隐匿性交界性早搏,yin'ni'xing'jiao'jie'xing'zao'bo
隐匿性右束支传导阻滞,yin'ni'xing'you'shu'zhi'chuan'dao'zu'zhi
右房肥大,you'fang'fei'da
右房节律,you'fang'jie'lv
右束支传导阻滞,you'shu'zhi'chuan'dao'zu'zhi
右束支传导阻滞合并右心室肥厚,you'shu'zhi'chuan'dao'zu'zhi'he'bing'you'xin'shi'fei'hou
右束支阻滞加左后分支阻滞,you'shu'zhi'zu'zhi'jia'zuo'hou'fen'zhi'zu'zhi
右束支阻滞加左前分支阻滞,you'shu'zhi'zu'zhi'jia'zuo'qian'fen'zhi'zu'zhi
右心房肥大,you'xin'fang'fei'da
右心室肥大,you'xin'shi'fei'da
预激综合征,yu'ji'zong'he'zheng
阵发性并界性心动过速,zhen'fa'xing'bing'jie'xing'xin'dong'guo'su
阵发性房性心动过速,zhen'fa'xing'fang'xing'xin'dong'guo'su
阵发性交界性心动过速,zhen'fa'xing'jiao'jie'xing'xin'dong'guo'su
阵发性室上性心动过速,zhen'fa'xing'shi'shang'xing'xin'dong'guo'su
阵发性室性心动过速,zhen'fa'xing'shi'xing'xin'dong'guo'su
阵发性心动过速,zhen'fa'xing'xin'dong'guo'su
肢体导联,zhi'ti'dao'lian
综合波,zong'he'bo
综合波变宽,zong'he'bo'bian'kuan
综合波高电压,zong'he'bo'gao'dian'ya
综合波时间延长,zong'he'bo'shi'jian'yan'chang
综合波增宽,zong'he'bo'zeng'kuan
综合征,zong'he'zheng
左后分支传导阻滞,zuo'hou'fen'zhi'chuan'dao'zu'zhi
左前分支传导阻滞,zuo'qian'fen'zhi'chuan'dao'zu'zhi
左前分支传导阻滞合并肺气肿,zuo'qian'fen'zhi'chuan'dao'zu'zhi'he'bing'fei'qi'zhong
左前分支传导阻滞合并右室肥厚,zuo'qian'fen'zhi'chuan'dao'zu'zhi'he'bing'you'shi'fei'hou
左前分支传导阻滞合并左室肥厚,zuo'qian'fen'zhi'chuan'dao'zu'zhi'he'bing'zuo'shi'fei'hou
左束支传导阻滞,zuo'shu'zhi'chuan'dao'zu'zhi
左心房肥大,zuo'xin'fang'fei'da
左心室肥大,zuo'xin'shi'fei'da
左心室肥大伴左前分支传导阻滞,zuo'xin'shi'fei'da'ban'zuo'qian'fen'zhi'chuan'dao'zu'zhi
左心室肥厚,zuo'xin'shi'fei'hou
