八大部,ba'da'bu
惠工路,hui'gong'lu
惠民路,hui'min'lu
火炬大厦,huo'ju'da'sha
吉粮大厦,ji'liang'da'sha
吉粮集团,ji'liang'ji'tuan
吉粮康郡,ji'liang'kang'jun
吉顺胡同,ji'shun'hu'tong
煎粉,jian'fen
建和胡同,jian'he'hu'tong
健和街,jian'he'jie
健康胡同,jian'kang'hu'tong
建设大厦,jian'she'da'sha
建政路,jian'zheng'lu
江南大桥,jiang'nan'da'qiao
江湾大桥,jiang'wan'da'qiao
交通胡同,jiao'tong'hu'tong
解放大路,jie'fang'da'lu
近埠胡同,jin'bu'hu'tong
近埠街,jin'bu'jie
锦东花园,jin'dong'hua'yuan
金马娱乐城,jin'ma'yu'le'cheng
金桥大厦,jin'qiao'da'sha
锦水路,jin'shui'lu
金域蓝湾,jin'yu'lan'wan
金苑大厦,jin'yuan'da'sha
精明胡同,jing'ming'hu'tong
净月潭,jing'yue'tan
九台市,jiu'tai'shi
君子兰公园,jun'zi'lan'gong'yuan
咖啡小镇,ka'fei'xiao'zhen
凯旋路,kai'xuan'lu
开运街,kai'yun'jie
康平街,kang'ping'jie
科贸大厦,ke'mao'da'sha
宽城区,kuan'cheng'qu
魁星街,kui'xing'jie
莱茵东郡,lai'yin'dong'jun
蓝调倾城,lan'diao'qing'cheng
力旺康景,li'wang'kang'jing
辽源,liao'yuan
林丰宾馆,lin'feng'bin'guan
临河街,lin'he'jie
临江门大桥,lin'jiang'men'da'qiao
林园路,lin'yuan'lu
六马路,liu'ma'lu
柳条路,liu'tiao'lu
柳影路,liu'ying'lu
龙嘉国际机场,long'jia'guo'ji'ji'chang
隆礼路,long'li'lu
隆礼路胡同,long'li'lu'hu'tong
龙山水库,long'shan'shui'ku
龙潭桥,long'tan'qiao
龙潭区,long'tan'qu
六合屯东胡同,lu'he'tun'dong'hu'tong
六合屯一胡同,lu'he'tun'yi'hu'tong
绿地广场,lv'di'guang'chang
绿地上海城,lv'di'shang'hai'cheng
绿园区,lv'yuan'qu
民安北胡同,min'an'bei'hu'tong
民安路,min'an'lu
民航花园,min'hang'hua'yuan
明德路,ming'de'lu
明水路,ming'shui'lu
南关区,nan'guan'qu
南湖大路,nan'hu'da'lu
南湖广场,nan'hu'guang'chang
南湖新村,nan'hu'xin'cun
南湖新村中街,nan'hu'xin'cun'zhong'jie
南郡水云天,nan'jun'shui'yun'tian
牛马行,niu'ma'xing
农安,nong'an
农安县,nong'an'xian
欧亚商都,ou'ya'shang'du
品鱼码头,pin'yu'ma'tou
平阳,ping'yang
前进大街,qian'jin'da'jie
蔷薇路,qiang'wei'lu
清明东二胡同,qing'ming'dong'er'hu'tong
清明街,qing'ming'jie
清明街西胡同,qing'ming'jie'xi'hu'tong
青年路,qing'nian'lu
清水绿带,qing'shui'lv'dai
青松路,qing'song'lu
青云路,qing'yun'lu
人民大街,ren'min'da'jie
日杂大楼,ri'za'da'lou
融创上城,rong'chuang'shang'cheng
三马路,san'ma'lu
上海路南二胡同,shang'hai'lu'nan'er'hu'tong
尚味一号,shang'wei'yi'hao
胜利公园,sheng'li'gong'yuan
世纪大街,shi'ji'da'jie
舒兰市,shu'lan'shi
双辽市,shuang'liao'shi
水岸馨都,shui'an'xin'dou
水门洞,shui'men'dong
四马路,si'ma'lu
四平,si'ping
松花湖,song'hua'hu
松花江中学,song'hua'jiang'zhong'xue
天地十二坊,tian'di'shi'er'fang
天风大厦,tian'feng'da'sha
天嘉水晶城,tian'jia'shui'jing'cheng
天翼宾馆,tian'yi'bin'guan
通化,tong'hua
通顺胡同,tong'shun'hu'tong
同志街,tong'zhi'jie
图书音像大厦,tu'shu'yin'xiang'da'sha
团结路,tuan'jie'lu
万宝路,wan'bao'lu
万科上东区,wan'ke'shang'dong'qu
万晟现代城,wan'sheng'xian'dai'cheng
万盛中央一品,wan'sheng'zhong'yang'yi'pin
望云山,wang'yun'shan
蔚山路,wei'shan'lu
卫星路,wei'xing'lu
伟业星城,wei'ye'xing'cheng
文昌路,wen'chang'lu
文化广场,wen'hua'guang'chang
吴淞路,wu'song'lu
五星国际名家,wu'xing'guo'ji'ming'jia
西安大路,xi'an'da'lu
西春发,xi'chun'fa
西广大街,xi'guang'da'jie
西广大药房,xi'guang'da'yao'fang
西和平大街,xi'he'ping'da'jie
西环城路,xi'huan'cheng'lu
西解放立交桥,xi'jie'fang'li'jiao'qiao
西康路,xi'kang'lu
西三马路,xi'san'ma'lu
西三条胡同,xi'san'tiao'hu'tong
西三条路,xi'san'tiao'lu
西五条街,xi'wu'tiao'jie
西一条街,xi'yi'tiao'jie
新发路,xin'fa'lu
新建胡同,xin'jian'hu'tong
新立街,xin'li'jie
新伦胡同,xin'lun'hu'tong
新民北胡同,xin'min'bei'hu'tong
新民大街,xin'min'da'jie
新民广场,xin'min'guang'chang
鑫鹏大厦,xin'peng'da'sha
鑫鹏花园,xin'peng'hua'yuan
修正路,xiu'zheng'lu
栩鸿大酒店,xu'hong'da'jiu'dian
亚泰大街,ya'tai'da'jie
亚泰樱花苑,ya'tai'ying'hua'yuan
耀江五月花,yao'jiang'wu'yue'hua
义和谦,yi'he'qian
伊通,yi'tong
怡众名城,yi'zhong'ming'cheng
饮马河,yin'ma'he
永昌路,yong'chang'lu
永春路,yong'chun'lu
永吉县,yong'ji'xian
榆树市,yu'shu'shi
毓文,yu'wen
毓文东校,yu'wen'dong'xiao
毓文中学,yu'wen'zhong'xue
远东服装大厦,yuan'dong'fu'zhuang'da'sha
园艺路,yuan'yi'lu
越山路,yue'shan'lu
镇江路,zhen'jiang'lu
正阳街,zheng'yang'jie
中日联谊,zhong'ri'lian'yi
中信城,zhong'xin'cheng
中银大厦,zhong'yin'da'sha
朱雀山,zhu'que'shan
自强街,zi'qiang'jie
自由大路,zi'you'da'lu
