安提斯泰尼,an'ti'si'tai'ni
犬儒原指,quan'ru'yuan'zhi
犬儒主义是,quan'ru'zhu'yi'shi
犬儒主义诗人,quan'ru'zhu'yi'shi'ren
犬儒主义者,quan'ru'zhu'yi'zhe
犬儒主义这个,quan'ru'zhu'yi'zhe'ge
却忠诚可靠,que'zhong'cheng'ke'kao
热烈地追求,re'lie'de'zhui'qiu
人物呢,ren'wu'ne
社会批评家,she'hui'pi'ping'jia
社会虚套,she'hui'xu'tao
什么恩赐,shen'me'en'ci
什么是犬儒,shen'me'shi'quan'ru
甚至生活态度,shen'zhi'sheng'huo'tai'du
是产生,shi'chan'sheng
是个外来词,shi'ge'wai'lai'ci
是极其,shi'ji'qi
世间的,shi'jian'de
实践一种生活方式,shi'jian'yi'zhong'sheng'huo'fang'shi
是希腊,shi'xi'la
是指安提斯泰尼,shi'zhi'an'ti'si'tai'ni
谁都敢,shui'dou'gan
思想和观点,si'xiang'he'guan'dian
苏格拉底的弟子,su'ge'la'di'de'di'zi
他曾经,ta'ceng'jing
它的起源,ta'de'qi'yuan
他立志,ta'li'zhi
他们不要家庭,ta'men'bu'yao'jia'ting
他们的举止,ta'men'de'ju'zhi
他们藐视,ta'men'miao'shi
他们旁若无人,ta'men'pang'ruo'wu'ren
他们提出,ta'men'ti'chu
他却不恼,ta'que'bu'nao
特征很相似,te'zheng'hen'xiang'si
提着一个灯笼,ti'zhe'yi'ge'deng'long
通常将它,tong'chang'jiang'ta
同为犬儒,tong'wei'quan'ru
魏晋名士,wei'jin'ming'shi
文化规范,wen'hua'gui'fan
问他想要,wen'ta'xiang'yao
我的太阳,wo'de'tai'yang
我们若想,wo'men'ruo'xiang
我们知道,wo'men'zhi'dao
我在找,wo'zai'zhao
无论是怎样,wu'lun'shi'zen'yang
物欲之下,wu'yu'zhi'xia
希腊的城邦制度,xi'la'de'cheng'bang'zhi'du
西诺普,xi'nuo'pu
喜帕契亚,xi'pa'qi'ya
习俗和,xi'su'he
现成的对应词汇,xian'cheng'de'dui'ying'ci'hui
象狗一样的人,xiang'gou'yi'yang'de'ren
想起某些,xiang'qi'mou'xie
信奉者的行为,xin'feng'zhe'de'xing'wei
心灵自由,xin'ling'zi'you
形成了他的,xing'cheng'le'ta'de
行交合之事,xing'jiao'he'zhi'shi
行为乖张,xing'wei'guai'zhang
行为无拘无束,xing'wei'wu'ju'wu'shu
虚荣自负,xu'rong'zi'fu
学界的观点,xue'jie'de'guan'dian
学派的哲学家,xue'pai'de'zhe'xue'jia
雅典的,ya'dian'de
亚历山大御驾亲临,ya'li'shan'da'yu'jia'qin'lin
演化而来,yan'hua'er'lai
严肃的,yan'su'de
言谈行为方式,yan'tan'xing'wei'fang'shi
要揭穿,yao'jie'chuan
也是希腊,ye'shi'xi'la
一般认为是,yi'ban'ren'wei'shi
一定的主张,yi'ding'de'zhu'zhang
一个被人们叫做,yi'ge'bei'ren'men'jiao'zuo
一个桶里,yi'ge'tong'li
一切权威,yi'qie'quan'wei
一切伪善,yi'qie'wei'shan
以讨饭为生,yi'tao'fan'wei'sheng
一学派的,yi'xue'pai'de
因而被称作,yin'er'bei'cheng'zuo
用现在的话来说,yong'xian'zai'de'hua'lai'shuo
有必要略略,you'bi'yao'lue'lue
有段故事,you'duan'gu'shi
有更完整的把握,you'geng'wan'zheng'de'ba'wo
有名的犬儒主义者,you'ming'de'quan'ru'zhu'yi'zhe
有人讥笑他,you'ren'ji'xiao'ta
又有一说是,you'you'yi'shuo'shi
与狗,yu'gou
于是人们,yu'shi'ren'men
源于古希腊,yuan'yu'gu'xi'la
孕育了,yun'yu'le
在城里游走,zai'cheng'li'you'zou
在大庭广众之下,zai'da'ting'guang'zhong'zhi'xia
在这个地方,zai'zhe'ge'di'fang
早期的犬儒,zao'qi'de'quan'ru
则成了一种,ze'cheng'le'yi'zhong
则夫妻,ze'fu'qi
则因为,ze'yin'wei
则由这,ze'you'zhe
怎么会出现,zen'me'hui'chu'xian
这么一类,zhe'me'yi'lei
这派哲学,zhe'pai'zhe'xue
这使人想起,zhe'shi'ren'xiang'qi
这些理解,zhe'xie'li'jie
这些人的,zhe'xie'ren'de
这些特点的人,zhe'xie'te'dian'de'ren
这一主义,zhe'yi'zhu'yi
真正的德行,zhen'zheng'de'de'xing
正躺在,zheng'tang'zai
之称由此得名,zhi'cheng'you'ci'de'ming
只要你,zhi'yao'ni
至于这个,zhi'yu'zhe'ge
忠诚可靠,zhong'cheng'ke'kao
中文里,zhong'wen'li
住在木桶里,zhu'zai'mu'tong'li
住在瓮里,zhu'zai'weng'li
主张清心寡欲,zhu'zhang'qing'xin'gua'yu
追求从,zhui'qiu'cong
追溯一下,zhui'su'yi'xia
追随者队伍,zhui'sui'zhe'dui'wu
自我欣赏,zi'wo'xin'shang
综合来看,zong'he'lai'kan
