啊吃过啦,a'chi'guo'la
长江花园,chang'jiang'hua'yuan
长江隧道,chang'jiang'sui'dao
敞开头,chang'kai'tou
长乐路,chang'le'lu
长芦,chang'lu
长途东站,chang'tu'dong'zhan
长小,chang'xiao
长营村,chang'ying'cun
长鱼面,chang'yu'mian
常州吧,chang'zhou'ba
常州恐龙园,chang'zhou'kong'long'yuan
常州了,chang'zhou'le
常州站,chang'zhou'zhan
炒凉皮,chao'liang'pi
炒螺丝,chao'luo'si
炒肉死,chao'rou'si
朝天宫,chao'tian'gong
抄纸巷,chao'zhi'xiang
车子里面,che'zi'li'mian
陈峰宁,chen'feng'ning
程阁老巷,cheng'ge'lao'xiang
城河村,cheng'he'cun
成杰思,cheng'jie'si
城开,cheng'kai
诚品城,cheng'pin'cheng
城市绿洲,cheng'shi'lv'zhou
城市名人,cheng'shi'ming'ren
城市频道,cheng'shi'pin'dao
城西干道,cheng'xi'gan'dao
成贤街,cheng'xian'jie
成贤学院,cheng'xian'xue'yuan
诚信大道,cheng'xin'da'dao
澄园,cheng'yuan
吃哎,chi'ai
赤壁路,chi'bi'lu
吃不起来,chi'bu'qi'lai
吃吃喝喝玩玩,chi'chi'he'he'wan'wan
吃的迟,chi'de'chi
迟点到,chi'dian'dao
迟点走,chi'dian'zou
赤豆元宵,chi'dou'yuan'xiao
吃饭哎,chi'fan'ai
迟个,chi'ge
吃过饭啦,chi'guo'fan'la
吃过饭去,chi'guo'fan'qu
吃过咯,chi'guo'ge
吃过啦,chi'guo'la
吃过赖,chi'guo'lai
吃过了那,chi'guo'le'na
吃过没啊,chi'guo'mei'a
吃过中饭,chi'guo'zhong'fan
吃户,chi'hu
迟会,chi'hui
吃龙虾,chi'long'xia
吃什么的,chi'shen'me'de
吃什么的啊,chi'shen'me'de'a
迟一会,chi'yi'hui
冲把澡,chong'ba'zao
冲不起来,chong'bu'qi'lai
重搞,chong'gao
充过了,chong'guo'le
冲消费,chong'xiao'fei
充月票,chong'yue'piao
丑的一比,chou'de'yi'bi
抽乌龟,chou'wu'gui
抽香烟,chou'xiang'yan
出点头,chu'dian'tou
出份子,chu'fen'zi
滁河,chu'he
出南京,chu'nan'jing
出新,chu'xin
初训,chu'xun
出运表,chu'yun'biao
穿不起来,chuan'bu'qi'lai
川味观,chuan'wei'guan
吹吹牛逼,chui'chui'niu'bi
春光里,chun'guang'li
纯化水,chun'hua'shui
春江路,chun'jiang'lu
春江新城,chun'jiang'xin'cheng
纯泰,chun'tai
淳溪,chun'xi
淳溪镇,chun'xi'zhen
慈悲社,ci'bei'she
从家走了,cong'jia'zou'le
从江宁,cong'jiang'ning
从哪边,cong'na'bian
从南京,cong'nan'jing
从新街口,cong'xin'jie'kou
从扬州,cong'yang'zhou
粗品,cu'pin
粗森,cu'sen
翠贝卡,cui'bei'ka
翠岛,cui'dao
翠岛花城,cui'dao'hua'cheng
翠谷,cui'gu
翠屏国际,cui'ping'guo'ji
翠屏山,cui'ping'shan
翠屏湾,cui'ping'wan
翠香阁,cui'xiang'ge
翠竹园,cui'zhu'yuan
打不起来了,da'bu'qi'lai'le
大差不差,da'cha'bu'cha
大厂,da'chang
大厂的,da'chang'de
大呆逼,da'dai'bi
大呆子,da'dai'zi
大的一笔,da'de'yi'bi
打电话给我的,da'dian'hua'gei'wo'de
大定坊,da'ding'fang
大杠,da'gang
打掼蛋,da'guan'dan
大观天地,da'guan'tian'di
大光路,da'guang'lu
大贺,da'he
大黄路,da'huang'lu
大荤,da'hun
大金山,da'jin'shan
大狼狗,da'lang'gou
大脸鸡排,da'lian'ji'pai
大陆鸽,da'lu'ge
大路考,da'lu'kao
打命苦,da'ming'ku
大明路,da'ming'lu
达纳拉赫,da'na'la'he
大南京,da'nan'jing
大南通,da'nan'tong
大脑不好,da'nao'bu'hao
大牌档,da'pai'dang
大牌小厨,da'pai'xiao'chu
大盘膝,da'pan'xi
大气科学,da'qi'ke'xue
大桥北路,da'qiao'bei'lu
大桥饭店,da'qiao'fan'dian
大桥南路,da'qiao'nan'lu
大肉包,da'rou'bao
大肉面,da'rou'mian
大士茶亭,da'shi'cha'ting
大舜天,da'shun'tian
大苏果,da'su'guo
大头宝宝,da'tou'bao'bao
大屠杀,da'tu'sha
大屠杀纪念馆,da'tu'sha'ji'nian'guan
打我电话的,da'wo'dian'hua'de
大校场,da'xiao'chang
大行宫,da'xing'gong
大洋百货,da'yang'bai'huo
大阳沟,da'yang'gou
大中桥,da'zhong'qiao
大众书局,da'zhong'shu'ju
大钟亭,da'zhong'ting
大周路,da'zhou'lu
大煮干丝,da'zhu'gan'si
呆宝宝,dai'bao'bao
代笔,dai'bi
呆逼啊,dai'bi'a
呆逼了,dai'bi'le
呆逼日猴,dai'bi'ri'hou
呆掉了,dai'diao'le
代官山,dai'guan'shan
戴家巷,dai'jia'xiang
带快,dai'kuai
呆老婆,dai'lao'po
带老子,dai'lao'zi
带南京,dai'nan'jing
带你冲,dai'ni'chong
带你介绍,dai'ni'jie'shao
带你买,dai'ni'mai
带你问,dai'ni'wen
带你问问,dai'ni'wen'wen
带你找,dai'ni'zhao
带暖,dai'nuan
带伞的,dai'san'de
岱山,dai'shan
戴胜,dai'sheng
呆死了,dai'si'le
带我吃一个,dai'wo'chi'yi'ge
带我冲,dai'wo'chong
带我带,dai'wo'dai
带我介绍,dai'wo'jie'shao
带我看看,dai'wo'kan'kan
带我买,dai'wo'mai
带我买的,dai'wo'mai'de
带我买个,dai'wo'mai'ge
带我玩一个,dai'wo'wan'yi'ge
带我问问,dai'wo'wen'wen
带我笑死了,dai'wo'xiao'si'le
带我也,dai'wo'ye
呆丫头,dai'ya'tou
丹凤街,dan'feng'jie
丹凤新寓,dan'feng'xin'yu
丹枫雨露,dan'feng'yu'lu
丹枫园,dan'feng'yuan
单室间,dan'shi'jian
单室套,dan'shi'tao
丹阳了,dan'yang'le
丹阳人,dan'yang'ren
挡起来,dang'qi'lai
党日活动,dang'ri'huo'dong
到奥体,dao'ao'ti
到底怎么说,dao'di'zen'me'shuo
到底站,dao'di'zhan
到夫子庙,dao'fu'zi'miao
到鼓楼,dao'gu'lou
到江宁,dao'jiang'ning
到江浦,dao'jiang'pu
到了南京,dao'le'nan'jing
到溧水,dao'li'shui
到六合,dao'lu'he
到马群,dao'ma'qun
到迈皋桥,dao'mai'gao'qiao
到哪边,dao'na'bian
到哪边了,dao'na'bian'le
到哪快,dao'na'kuai
到南京,dao'nan'jing
到南京的,dao'nan'jing'de
到南京来,dao'nan'jing'lai
到南京了,dao'nan'jing'le
到桥北,dao'qiao'bei
到仙林,dao'xian'lin
到新街口,dao'xin'jie'kou
到新街口了,dao'xin'jie'kou'le
到扬州,dao'yang'zhou
导医台,dao'yi'tai
到中央门,dao'zhong'yang'men
到珠江路,dao'zhu'jiang'lu
的哎,de'ai
得房率,de'fang'lv
德高,de'gao
得基,de'ji
德基大厦,de'ji'da'sha
德基二期,de'ji'er'qi
德基广场,de'ji'guang'chang
得肯,de'ken
德拉甘,de'la'gan
德朔,de'shuo
德天肥牛,de'tian'fei'niu
的一笔,de'yi'bi
的一米,de'yi'mi
德盈,de'ying
等车子,deng'che'zi
邓府,deng'fu
邓煌,deng'huang
等刻,deng'ke
等刻儿,deng'ke'er
等你来南京,deng'ni'lai'nan'jing
等于讲,deng'yu'jiang
等于你,deng'yu'ni
等于说,deng'yu'shuo
邓卓翔,deng'zhuo'xiang
抵饱,di'bao
滴儿,di'er
地锅鸡,di'guo'ji
迪卡龙,di'ka'long
地科院,di'ke'yuan
滴屎,di'shi
涤丝纺,di'si'fang
帝斯曼,di'si'man
地铁大厦,di'tie'da'sha
地铁一号线,di'tie'yi'hao'xian
底站,di'zhan
点不起来,dian'bu'qi'lai
点断网,dian'duan'wang
垫还,dian'hai
店里头,dian'li'tou
点女人,dian'nv'ren
癫痫病,dian'xian'bing
典雅居,dian'ya'ju
点样子,dian'yang'zi
电影券,dian'ying'quan
电子路,dian'zi'lu
吊车子,diao'che'zi
吊带比,diao'dai'bi
掉的了,diao'de'le
吊地方,diao'di'fang
吊东西,diao'dong'xi
吊公司,diao'gong'si
吊男的,diao'nan'de
吊男人,diao'nan'ren
吊女的,diao'nv'de
吊女人,diao'nv'ren
吊钱,diao'qian
吊人,diao'ren
掉日子,diao'ri'zi
吊事,diao'shi
吊手机,diao'shou'ji
掉学校,diao'xue'xiao
吊样子,diao'yang'zi
吊意思,diao'yi'si
掉游戏,diao'you'xi
钓鱼巷,diao'yu'xiang
跌跌爬爬,die'die'pa'pa
定淮门,ding'huai'men
丁家桥,ding'jia'qiao
丁家庄,ding'jia'zhuang
丁山,ding'shan
丁山宾馆,ding'shan'bin'guan
鼎新路,ding'xin'lu
鼎业,ding'ye
丢的了,diu'de'le
东宝路,dong'bao'lu
东北炖,dong'bei'dun
东北人家,dong'bei'ren'jia
东边户,dong'bian'hu
东城汇,dong'cheng'hui
东池便当,dong'chi'bian'dang
东大,dong'da
东大的,dong'da'de
东大影壁,dong'da'ying'bi
东渡国际,dong'du'guo'ji
东方城,dong'fang'cheng
东方名苑,dong'fang'ming'yuan
东方商城,dong'fang'shang'cheng
东方天郡,dong'fang'tian'jun
东方卫报,dong'fang'wei'bao
东郊小镇,dong'jiao'xiao'zhen
东井村,dong'jing'cun
东井亭,dong'jing'ting
东看台,dong'kan'tai
东南大学,dong'nan'da'xue
东南的,dong'nan'de
东麒路,dong'qi'lu
东山,dong'shan
东山街道,dong'shan'jie'dao
东山了,dong'shan'le
东善桥,dong'shan'qiao
东山镇,dong'shan'zhen
东水关,dong'shui'guan
东铜,dong'tong
东新南路,dong'xin'nan'lu
东宇大厦,dong'yu'da'sha
东苑,dong'yuan
豆菜桥,dou'cai'qiao
豆腐果,dou'fu'guo
豆花鱼,dou'hua'yu
都记不得了,dou'ji'bu'de'le
都么得,dou'me'de
都洗过澡,dou'xi'guo'zao
都在南京,dou'zai'nan'jing
肚包鸡,du'bao'ji
堵起来,du'qi'lai
短信呼,duan'xin'hu
对哎,dui'ai
对包,dui'bao
对对胡,dui'dui'hu
对南京,dui'nan'jing
多哎,duo'ai
多摆,duo'bai
多的一笔,duo'de'yi'bi
多的一米,duo'de'yi'mi
多克多,duo'ke'duo
多啰嗦,duo'luo'suo
多喃,duo'nan
恩腿子,en'tui'zi
二板桥,er'ban'qiao
二呆子,er'dai'zi
二附院,er'fu'yuan
二胡卵子,er'hu'luan'zi
二街区,er'jie'qu
二楼湾,er'lou'wan
二年半,er'nian'ban
儿女心,er'nv'xin
二桥,er'qiao
二桥了,er'qiao'le
二十八所,er'shi'ba'suo
二十九中,er'shi'jiu'zhong
二条巷,er'tiao'xiang
儿童医院,er'tong'yi'yuan
二五,er'wu
二五郎当,er'wu'lang'dang
二月兰,er'yue'lan
发不起来,fa'bu'qi'lai
发南京,fa'nan'jing
法派大厨,fa'pai'da'chu
发什么的,fa'shen'me'de
发甩,fa'shuai
法制现场,fa'zhi'xian'chang
烦不了,fan'bu'liao
烦不了了,fan'bu'liao'le
烦的一比,fan'de'yi'bi
烦的一次,fan'de'yi'ci
烦的一米,fan'de'yi'mi
反而好,fan'er'hao
烦恼领了,fan'nao'ling'le
番茄妹,fan'qie'mei
犯甩,fan'shuai
烦死得了,fan'si'de'le
烦死老,fan'si'lao
烦躁呢,fan'zao'ne
放波,fang'bo
芳草园,fang'cao'yuan
房产局,fang'chan'ju
方家营,fang'jia'ying
方山,fang'shan
放箱令,fang'xiang'ling
放心来,fang'xin'lai
放装,fang'zhuang
肥比,fei'bi
肥肠鱼,fei'chang'yu
废的了,fei'de'le
废话啰嗦,fei'hua'luo'suo
飞南京,fei'nan'jing
飞鹰路,fei'ying'lu
分的了,fen'de'le
粉丝汤,fen'si'tang
风波庄,feng'bo'zhuang
枫丹白露,feng'dan'bai'lu
疯的啦,feng'de'la
疯的了,feng'de'le
丰富路,feng'fu'lu
风光里,feng'guang'li
凤凰和美,feng'huang'he'mei
凤凰和熙,feng'huang'he'xi
凤凰花园城,feng'huang'hua'yuan'cheng
凤凰书城,feng'huang'shu'cheng
凤凰台,feng'huang'tai
凤凰西街,feng'huang'xi'jie
凤台南路,feng'tai'nan'lu
凤翔新城,feng'xiang'xin'cheng
风云再起,feng'yun'zai'qi
佛城,fo'cheng
佛城西路,fo'cheng'xi'lu
佛手湖,fo'shou'hu
佛心桥,fo'xin'qiao
付不起来,fu'bu'qi'lai
富贵山,fu'gui'shan
傅厚岗,fu'hou'gang
傅家边,fu'jia'bian
福建路,fu'jian'lu
富丽山庄,fu'li'shan'zhuang
福润雅居,fu'run'ya'ju
府园,fu'yuan
夫子庙,fu'zi'miao
夫子庙的,fu'zi'miao'de
夫子庙了,fu'zi'miao'le
傅佐路,fu'zuo'lu
改不起来,gai'bu'qi'lai
盖盖好,gai'gai'hao
甘家巷,gan'jia'xiang
干嘛哒,gan'ma'da
干嘛去的,gan'ma'qu'de
干嘛事,gan'ma'shi
干嘛四,gan'ma'si
干么吊事,gan'me'diao'shi
干么吊死,gan'me'diao'si
干么撒,gan'me'sa
干么事,gan'me'shi
干么四,gan'me'si
干么四啊,gan'me'si'a
干丝,gan'si
肝素钠,gan'su'na
甘熙故居,gan'xi'gu'ju
刚才吃饭的,gang'cai'chi'fan'de
刚才洗澡的,gang'cai'xi'zao'de
刚吃饭的,gang'chi'fan'de
刚到南京,gang'dao'nan'jing
港华,gang'hua
港华燃气,gang'hua'ran'qi
刚回南京,gang'hui'nan'jing
刚来南京,gang'lai'nan'jing
岗山,gang'shan
刚洗完的,gang'xi'wan'de
刚洗澡的,gang'xi'zao'de
港盈轩,gang'ying'xuan
岗子村,gang'zi'cun
搞不起来,gao'bu'qi'lai
搞不起来了,gao'bu'qi'lai'le
搞车子,gao'che'zi
高齿,gao'chi
高淳,gao'chun
高淳的,gao'chun'de
高淳话,gao'chun'hua
高淳老街,gao'chun'lao'jie
高淳了,gao'chun'le
高淳区,gao'chun'qu
高淳人,gao'chun'ren
高淳县,gao'chun'xian
搞得啊,gao'de'a
搞东西,gao'dong'xi
搞搞弄弄,gao'gao'nong'nong
搞好啦,gao'hao'la
高楼门,gao'lou'men
高桥门,gao'qiao'men
搞情况,gao'qing'kuang
搞味,gao'wei
高新花苑,gao'xin'hua'yuan
高业,gao'ye
高邮,gao'you
高云岭,gao'yun'ling
歌帝,ge'di
葛关路,ge'guan'lu
葛军,ge'jun
隔离器,ge'li'qi
个么事,ge'me'shi
个么四,ge'me'si
各一只,ge'yi'zhi
个园,ge'yuan
格致路,ge'zhi'lu
给我赖,gei'wo'lai
跟南京,gen'nan'jing
跟我不想干,gen'wo'bu'xiang'gan
跟我家人,gen'wo'jia'ren
耿直性,geng'zhi'xing
工程兵,gong'cheng'bing
公费医疗,gong'fei'yi'liao
公公家,gong'gong'jia
公管院,gong'guan'yuan
工农兵,gong'nong'bing
共青团路,gong'qing'tuan'lu
工人新村,gong'ren'xin'cun
公社,gong'she
贡院,gong'yuan
购房证明,gou'fang'zheng'ming
狗日扯,gou'ri'che
古柏,gu'bai
固城,gu'cheng
固城湖,gu'cheng'hu
顾浩,gu'hao
估计危险,gu'ji'wei'xian
谷里,gu'li
古林公园,gu'lin'gong'yuan
鼓楼,gu'lou
鼓楼的,gu'lou'de
鼓楼公园,gu'lou'gong'yuan
鼓楼了,gu'lou'le
鼓楼区,gu'lou'qu
鼓楼校区,gu'lou'xiao'qu
鼓楼医院,gu'lou'yi'yuan
鼓楼站,gu'lou'zhan
古南都,gu'nan'du
牯牛降,gu'niu'jiang
古平岗,gu'ping'gang
箍桶巷,gu'tong'xiang
估衣廊,gu'yi'lang
瓜埠,gua'bu
瓜埠镇,gua'bu'zhen
寡吃,gua'chi
挂点水,gua'dian'shui
挂个水,gua'ge'shui
挂过水,gua'guo'shui
挂了水,gua'le'shui
挂式,gua'shi
挂水,gua'shui
挂水的,gua'shui'de
挂水了,gua'shui'le
挂水呢,gua'shui'ne
挂水去,gua'shui'qu
挂完水,gua'wan'shui
掼蛋,guan'dan
冠华,guan'hua
管家桥,guan'jia'qiao
光华东街,guang'hua'dong'jie
光滑滑,guang'hua'hua
光华门,guang'hua'men
光华园,guang'hua'yuan
光卡路,guang'ka'lu
广州路,guang'zhou'lu
贵的一笔,gui'de'yi'bi
鬼吊,gui'diao
归归,gui'gui
鬼喊鬼叫,gui'han'gui'jiao
桂花鸭,gui'hua'ya
鬼转,gui'zhuan
滚尼玛,gun'ni'ma
过大桥,guo'da'qiao
国电南瑞,guo'dian'nan'rui
国电南自,guo'dian'nan'zi
国防园,guo'fang'yuan
锅盖面,guo'gai'mian
国际广场,guo'ji'guang'chang
国际金融中心,guo'ji'jin'rong'zhong'xin
郭家山,guo'jia'shan
过江,guo'jiang
过江隧道,guo'jiang'sui'dao
国教院,guo'jiao'yuan
果壳里,guo'ke'li
果燃掂,guo'ran'dian
国睿,guo'rui
过是的,guo'shi'de
国缘,guo'yuan
国展中心,guo'zhan'zhong'xin
哈出来,ha'chu'lai
哈看到,ha'kan'dao
哈罗哈,ha'luo'ha
哈上班,ha'shang'ban
哈是啊,ha'shi'a
哈是的,ha'shi'de
哈瞎,ha'xia
哈晓得,ha'xiao'de
哈行啊,ha'xing'a
哈有空,ha'you'kong
哈有人,ha'you'ren
哈有事,ha'you'shi
哈在啊,ha'zai'a
哈在家,ha'zai'jia
哈知道,ha'zhi'dao
哈至于,ha'zhi'yu
还吃饭啦,hai'chi'fan'la
还吃饭了,hai'chi'fan'le
还吃过,hai'chi'guo
还吃过饭,hai'chi'guo'fan
还吃过饭啦,hai'chi'guo'fan'la
还吃过啦,hai'chi'guo'la
还吃过了,hai'chi'guo'le
还吃好啦,hai'chi'hao'la
还吃啦,hai'chi'la
还吃完啦,hai'chi'wan'la
还出发,hai'chu'fa
还出来啊,hai'chu'lai'a
还出来啦,hai'chu'lai'la
还出来了,hai'chu'lai'le
还出来玩,hai'chu'lai'wan
还出门啦,hai'chu'men'la
还带我,hai'dai'wo
还到家,hai'dao'jia
还到家了,hai'dao'jia'le
还到了,hai'dao'le
海德北岸,hai'de'bei'an
海德卫城,hai'de'wei'cheng
海底世界,hai'di'shi'jie
还懂,hai'dong
还懂啊,hai'dong'a
还对啊,hai'dui'a
还多啊,hai'duo'a
海尔曼斯,hai'er'man'si
还方便,hai'fang'bian
海福巷,hai'fu'xiang
还搞定,hai'gao'ding
还过啦,hai'guo'la
还好哎,hai'hao'ai
还好包,hai'hao'bao
还好啵,hai'hao'bo
还好吃啊,hai'hao'chi'a
还好点啦,hai'hao'dian'la
还好点了,hai'hao'dian'le
还好看啊,hai'hao'kan'a
还好啦那,hai'hao'la'na
还好了啊,hai'hao'le'a
还好玩啊,hai'hao'wan'a
还好要,hai'hao'yao
还回来啊,hai'hui'lai'a
还回来啦,hai'hui'lai'la
还回来了,hai'hui'lai'le
还回去啦,hai'hui'qu'la
还记得啦,hai'ji'de'la
还结束,hai'jie'shu
还结束啦,hai'jie'shu'la
还结束了,hai'jie'shu'le
还看到的,hai'kan'dao'de
还看到啦,hai'kan'dao'la
还看过啦,hai'kan'guo'la
还看啦,hai'kan'la
还困啦,hai'kun'la
还来啊,hai'lai'a
还来及,hai'lai'ji
还来啦,hai'lai'la
还来南京,hai'lai'nan'jing
还累啊,hai'lei'a
还买啦,hai'mai'la
还忙啊,hai'mang'a
还么的,hai'me'de
还么额,hai'me'e
还明白,hai'ming'bai
还拿到,hai'na'dao
还能帮我,hai'neng'bang'wo
还能不要,hai'neng'bu'yao
害怕人,hai'pa'ren
还起床啦,hai'qi'chuang'la
