安帝,an'di
成汉,cheng'han
成汉皇帝,cheng'han'huang'di
称汉王,cheng'han'wang
乘机举兵,cheng'ji'ju'bing
承认男子占有田地,cheng'ren'nan'zi'zhan'you'tian'di
承认私家,cheng'ren'si'jia
承认私家依附农民,cheng'ren'si'jia'yi'fu'nong'min
称为九品混通之制,cheng'wei'jiu'pin'hun'tong'zhi'zhi
称为调,cheng'wei'tiao
称为中军,cheng'wei'zhong'jun
乘坐羊车,cheng'zuo'yang'che
吃不掉,chi'bu'diao
吃得只剩下,chi'de'zhi'sheng'xia
持节,chi'jie
吃人的,chi'ren'de
重建晋朝,chong'jian'jin'chao
重建晋室,chong'jian'jin'shi
重整旗鼓,chong'zheng'qi'gu
充作军粮,chong'zuo'jun'liang
除开府的,chu'kai'fu'de
处理政务,chu'li'zheng'wu
除三族刑,chu'san'zu'xing
出身于,chu'shen'yu
处死部下,chu'si'bu'xia
厨田,chu'tian
楚王,chu'wang
楚王玮,chu'wang'wei
初为秦王,chu'wei'qin'wang
楚武悼皇帝,chu'wu'dao'huang'di
出镇,chu'zhen
出镇建业,chu'zhen'jian'ye
楚之,chu'zhi
次等士族,ci'deng'shi'zu
次年聪,ci'nian'cong
次年改元,ci'nian'gai'yuan
次年即帝位,ci'nian'ji'di'wei
次年杀之,ci'nian'sha'zhi
次年正月,ci'nian'zheng'yue
刺史加将军号,ci'shi'jia'jiang'jun'hao
刺史职务,ci'shi'zhi'wu
刺史专理民事,ci'shi'zhuan'li'min'shi
从不携带粮草,cong'bu'xie'dai'liang'cao
从朝廷,cong'chao'ting
賨人,cong'ren
从山东起兵,cong'shan'dong'qi'bing
从事耕种和,cong'shi'geng'zhong'he
从中原,cong'zhong'yuan
促进了当地的,cu'jin'le'dang'di'de
篡夺帝位,cuan'duo'di'wei
篡位后,cuan'wei'hou
存在以,cun'zai'yi
大部分是,da'bu'fen'shi
大臣的女儿,da'chen'de'nv'er
大臣们的支持,da'chen'men'de'zhi'chi
大都即在,da'dou'ji'zai
大都由,da'dou'you
大封功臣,da'feng'gong'chen
大概只剩下,da'gai'zhi'sheng'xia
大规模南下,da'gui'mo'nan'xia
达九十万人,da'jiu'shi'wan'ren
大量的,da'liang'de
大量人口,da'liang'ren'kou
大量田地,da'liang'tian'di
大掠中原,da'lue'zhong'yuan
大批南渡者,da'pi'nan'du'zhe
大权落入越手中,da'quan'luo'ru'yue'shou'zhong
大肆分封宗室,da'si'fen'feng'zong'shi
大司马,da'si'ma
大为减少,da'wei'jian'shao
大小不同,da'xiao'bu'tong
大约土着,da'yue'tu'zhe
大致每户年纳绢三匹,da'zhi'mei'hu'nian'na'juan'san'pi
大致相当,da'zhi'xiang'dang
大族,da'zu
代魏之后,dai'wei'zhi'hou
但本身并非,dan'ben'shen'bing'fei
但颠覆,dan'dian'fu
但建议,dan'jian'yi
但晋武帝,dan'jin'wu'di
但晋武帝不用,dan'jin'wu'di'bu'yong
担任要职,dan'ren'yao'zhi
但仍回根据地,dan'reng'hui'gen'ju'di
但是司马炎,dan'shi'si'ma'yan
但是司马昭,dan'shi'si'ma'zhao
但也无家可归,dan'ye'wu'jia'ke'gui
但由于双方,dan'you'yu'shuang'fang
但在,dan'zai
当地的人民,dang'di'de'ren'min
荡阴一战,dang'yin'yi'zhan
当作双脚羊,dang'zuo'shuang'jiao'yang
到边远之地,dao'bian'yuan'zhi'di
到此终结,dao'ci'zhong'jie
到江南驻守,dao'jiang'nan'zhu'shou
到了灭族,dao'le'mie'zu
到洛阳,dao'luo'yang
到冉闵,dao'ran'min
到西晋时期,dao'xi'jin'shi'qi
导致皇帝孤立,dao'zhi'huang'di'gu'li
的白种人,de'bai'zhong'ren
的边缘,de'bian'yuan
的措施,de'cuo'shi
的大族,de'da'zu
的地方,de'di'fang
的动荡时期,de'dong'dang'shi'qi
的都督这时封国所在,de'du'du'zhe'shi'feng'guo'suo'zai
的发展,de'fa'zhan
的反对之下,de'fan'dui'zhi'xia
的方法很多,de'fang'fa'hen'duo
的方式同时沿用,de'fang'shi'tong'shi'yan'yong
的方针,de'fang'zhen
的隔阂,de'ge'he
的根本力量是五胡,de'gen'ben'li'liang'shi'wu'hu
的官吏,de'guan'li
的惯用手法,de'guan'yong'shou'fa
的汉,de'han
的汉族,de'han'zu
的后宫,de'hou'gong
的胡人,de'hu'ren
的户数,de'hu'shu
的胡族,de'hu'zu
的荒淫残暴,de'huang'yin'can'bao
的基础上,de'ji'chu'shang
的机会,de'ji'hui
的家族,de'jia'zu
的监,de'jian
的决策,de'jue'ce
的爵位,de'jue'wei
的可怜,de'ke'lian
的联军,de'lian'jun
的权力,de'quan'li
的少数民族,de'shao'shu'min'zu
的设立,de'she'li
的首领左贤王,de'shou'ling'zuo'xian'wang
的态势之中,de'tai'shi'zhi'zhong
的条文,de'tiao'wen
的五千,de'wu'qian
的限额,de'xian'e
的野蛮胡族,de'ye'man'hu'zu
的遗意,de'yi'yi
的远因,de'yuan'yin
的政策,de'zheng'ce
的政局,de'zheng'ju
的知识分子,de'zhi'shi'fen'zi
的主要,de'zhu'yao
的主张,de'zhu'zhang
的专政,de'zhuan'zheng
的状况,de'zhuang'kuang
的租调,de'zu'tiao
的作用加强,de'zuo'yong'jia'qiang
等部落,deng'bu'luo
等职,deng'zhi
第八九品一户,di'ba'jiu'pin'yi'hu
地方行政,di'fang'xing'zheng
地方政府与官吏,di'fang'zheng'fu'yu'guan'li
第六品三户,di'liu'pin'san'hu
第七品二户,di'qi'pin'er'hu
氐人,di'ren
第三品十户,di'san'pin'shi'hu
第四品七户,di'si'pin'qi'hu
氐五个少数民族,di'wu'ge'shao'shu'min'zu
第五品五户,di'wu'pin'wu'hu
第一品,di'yi'pin
氐族人,di'zu'ren
奠基人,dian'ji'ren
殿中,dian'zhong
调动大军,diao'dong'da'jun
定都洛阳,ding'du'luo'yang
鼎立之时,ding'li'zhi'shi
丁零,ding'ling
丁男五十亩,ding'nan'wu'shi'mu
丁男之户交纳实物,ding'nan'zhi'hu'jiao'na'shi'wu
东北和西北,dong'bei'he'xi'bei
东海王,dong'hai'wang
东海王司马越,dong'hai'wang'si'ma'yue
东海王越,dong'hai'wang'yue
东海王越对,dong'hai'wang'yue'dui
东海王越皆,dong'hai'wang'yue'jie
东海王越擒长沙王乂,dong'hai'wang'yue'qin'chang'sha'wang'ai
东海王越迎惠帝,dong'hai'wang'yue'ying'hui'di
东海王越又,dong'hai'wang'yue'you
东记河,dong'ji'he
东晋,dong'jin
东晋的,dong'jin'de
东晋和,dong'jin'he
东晋权臣,dong'jin'quan'chen
东晋胜利,dong'jin'sheng'li
东晋时,dong'jin'shi
东晋为,dong'jin'wei
东晋政权,dong'jin'zheng'quan
东吴,dong'wu
东吴未灭,dong'wu'wei'mie
都被封为,dou'bei'feng'wei
都未见实行,dou'wei'jian'shi'xing
都主张,dou'zhu'zhang
都督,du'du
都督起初,du'du'qi'chu
都督区内,du'du'qu'nei
都督专擅,du'du'zhuan'shan
渡江以后,du'jiang'yi'hou
独立为令,du'li'wei'ling
毒死惠帝,du'si'hui'di
杜预,du'yu
短短几年时间,duan'duan'ji'nian'shi'jian
短暂平稳,duan'zan'ping'wen
堆成了小山,dui'cheng'le'xiao'shan
对晋都洛阳,dui'jin'dou'luo'yang
对他劝谏的,dui'ta'quan'jian'de
对统治的威胁,dui'tong'zhi'de'wei'xie
对峙的时期,dui'zhi'de'shi'qi
多出中书,duo'chu'zhong'shu
多达五十顷,duo'da'wu'shi'qing
多年的,duo'nian'de
多者荫九族,duo'zhe'yin'jiu'zu
恶性发展,e'xing'fa'zhan
二百四十馀万户,er'bai'si'shi'yu'wan'hu
而称帝的,er'cheng'di'de
而成为全国的重心,er'cheng'wei'quan'guo'de'zhong'xin
而范围,er'fan'wei
而宫女为求,er'gong'nv'wei'qiu
二品官,er'pin'guan
二品四十五顷,er'pin'si'shi'wu'qing
而且边境的,er'qie'bian'jing'de
而是采取拉拢,er'shi'cai'qu'la'long
而条文,er'tiao'wen
二王,er'wang
而在北方,er'zai'bei'fang
而造成与,er'zao'cheng'yu
而制定的,er'zhi'ding'de
二州,er'zhou
发兵攻蜀,fa'bing'gong'shu
发生八王之乱,fa'sheng'ba'wang'zhi'luan
伐蜀,fa'shu
伐吴,fa'wu
发展缓慢,fa'zhan'huan'man
法制方面,fa'zhi'fang'mian
反对意见,fan'dui'yi'jian
反而被他,fan'er'bei'ta
反而迫使他们,fan'er'po'shi'ta'men
方镇军,fang'zhen'jun
废惠帝,fei'hui'di
肥水,fei'shui
淝水,fei'shui
淝水之战,fei'shui'zhi'zhan
废太子遹,fei'tai'zi'yu
肥西,fei'xi
肥西县,fei'xi'xian
废止典农官,fei'zhi'dian'nong'guan
分别由,fen'bie'you
纷纷南迁,fen'fen'nan'qian
纷纷投降西晋,fen'fen'tou'xiang'xi'jin
纷纷争权,fen'fen'zheng'quan
分封宗室,fen'feng'zong'shi
分封宗室为王,fen'feng'zong'shi'wei'wang
分荆州,fen'jing'zhou
分裂割据,fen'lie'ge'ju
分裂局势,fen'lie'ju'shi
分驻,fen'zhu
封国,feng'guo
封国琅邪,feng'guo'lang'xie
封国内民户,feng'guo'nei'min'hu
封爵官位,feng'jue'guan'wei
封其为,feng'qi'wei
封为,feng'wei
封宣王,feng'xuan'wang
浮华奢侈,fu'hua'she'chi
苻坚,fu'jian
俘虏怀帝,fu'lu'huai'di
赋税徭役负担,fu'shui'yao'yi'fu'dan
辅政,fu'zheng
辅政的,fu'zheng'de
改变了,gai'bian'le
改年号为,gai'nian'hao'wei
改元,gai'yuan
改元永熙,gai'yuan'yong'xi
刚刚脱离,gang'gang'tuo'li
高度繁荣,gao'du'fan'rong
高官可,gao'guan'ke
高官显爵者,gao'guan'xian'jue'zhe
高门大族,gao'men'da'zu
高门顾荣,gao'men'gu'rong
高平陵事变,gao'ping'ling'shi'bian
高于,gao'yu
各按,ge'an
各地方的统治者,ge'di'fang'de'tong'zhi'zhe
各地流民,ge'di'liu'min
个公侯,ge'gong'hou
割据国,ge'ju'guo
个王,ge'wang
各自出镇南方要地,ge'zi'chu'zhen'nan'fang'yao'di
各族相融合,ge'zu'xiang'rong'he
更加强大,geng'jia'qiang'da
耕田百亩,geng'tian'bai'mu
宫殿和首都,gong'dian'he'shou'du
公侯,gong'hou
宫女门前,gong'nv'men'qian
供他一人享受,gong'ta'yi'ren'xiang'shou
攻陷洛阳,gong'xian'luo'yang
共享国,gong'xiang'guo
古代一夫一妇,gu'dai'yi'fu'yi'fu
孤家寡人,gu'jia'gua'ren
官品高下,guan'pin'gao'xia
官至,guan'zhi
光熙元年,guang'xi'yuan'nian
光熙元年刘伯根,guang'xi'yuan'nian'liu'bo'gen
归于一律,gui'yu'yi'lv
过度压抑,guo'du'ya'yi
国号称,guo'hao'cheng
国号汉,guo'hao'han
国号晋,guo'hao'jin
国力空虚,guo'li'kong'xu
国力下降,guo'li'xia'jiang
郭钦,guo'qin
国势衰弱,guo'shi'shuai'ruo
过世之后,guo'shi'zhi'hou
还保留着,hai'bao'liu'zhe
还看到,hai'kan'dao
还掳掠了,hai'lu'lue'le
还允许,hai'yun'xu
还主管,hai'zhu'guan
汉朝以来,han'chao'yi'lai
汉代的,han'dai'de
汉文化,han'wen'hua
汉族女子,han'zu'nv'zi
汉族人士,han'zu'ren'shi
汉族少女,han'zu'shao'nv
汉族张氏,han'zu'zhang'shi
汉族政权,han'zu'zheng'quan
好色之徒,hao'se'zhi'tu
和百越,he'bai'yue
和刺史,he'ci'shi
合肥市,he'fei'shi
和关中一带,he'guan'zhong'yi'dai
河间王,he'jian'wang
河间王颙,he'jian'wang'yong
河间王颙相继,he'jian'wang'yong'xiang'ji
河内温人,he'nei'wen'ren
河内温县,he'nei'wen'xian
河内温县人,he'nei'wen'xian'ren
和评议,he'ping'yi
贺邵,he'shao
核实九品的评定,he'shi'jiu'pin'de'ping'ding
何无忌,he'wu'ji
和依附人口,he'yi'fu'ren'kou
很残忍,hen'can'ren
很多关于,hen'duo'guan'yu
很少注意,hen'shao'zhu'yi
后汉,hou'han
后几次,hou'ji'ci
后来的,hou'lai'de
后来冉闵,hou'lai'ran'min
后赵,hou'zhao
后者地位,hou'zhe'di'wei
护军,hu'jun
护军将军,hu'jun'jiang'jun
胡人的暴行,hu'ren'de'bao'xing
胡人受,hu'ren'shou
胡人已,hu'ren'yi
户调的,hu'tiao'de
互相混战,hu'xiang'hun'zhan
户依资财贫富分为九等,hu'yi'zi'cai'pin'fu'fen'wei'jiu'deng
胡族和汉族,hu'zu'he'han'zu
怀帝,huai'di
桓冲,huan'chong
桓温,huan'wen
桓温之父,huan'wen'zhi'fu
桓温之妻,huan'wen'zhi'qi
桓温之子,huan'wen'zhi'zi
还乡,huan'xiang
桓玄,huan'xuan
桓彝,huan'yi
桓彝幼子,huan'yi'you'zi
皇帝孤立,huang'di'gu'li
皇帝临幸,huang'di'lin'xing
黄河流域,huang'he'liu'yu
黄河南北的广大地区,huang'he'nan'bei'de'guang'da'de'qu
黄籍,huang'ji
黄巾之乱,huang'jin'zhi'luan
皇太弟,huang'tai'di
惠帝,hui'di
惠帝弟,hui'di'di
惠帝时,hui'di'shi
惠帝永兴元年,hui'di'yong'xing'yuan'nian
回洛阳,hui'luo'yang
回师途中,hui'shi'tu'zhong
获得公田与禄田,huo'de'gong'tian'yu'lu'tian
获得统一,huo'de'tong'yi
或加,huo'jia
或录尚书六条事若干人,huo'lu'shang'shu'liu'tiao'shi'ruo'gan'ren
豁免租赋,huo'mian'zu'fu
即把,ji'ba
击败河间王颙,ji'bai'he'jian'wang'yong
即帝位,ji'di'wei
继皇帝位,ji'huang'di'wei
饥荒和,ji'huang'he
饥馑等,ji'jin'deng
即课田每亩定额交租八升,ji'ke'tian'mei'mu'ding'e'jiao'zu'ba'sheng
继立,ji'li
击灭东吴,ji'mie'dong'wu
及侍中,ji'shi'zhong
集体迁徙,ji'ti'qian'xi
即位,ji'wei
即位后,ji'wei'hou
即位为帝,ji'wei'wei'di
继续存在,ji'xu'cun'zai
继续推行,ji'xu'tui'xing
疾疫,ji'yi
记载的,ji'zai'de
记载正是,ji'zai'zheng'shi
集中用人权力,ji'zhong'yong'ren'quan'li
贾充,jia'chong
贾充等,jia'chong'deng
贾后于,jia'hou'yu
假节,jia'jie
贾南风,jia'nan'feng
家世的,jia'shi'de
加以安抚,jia'yi'an'fu
加以撤除,jia'yi'che'chu
监察省内及群官,jian'cha'sheng'nei'ji'qun'guan
建都建康,jian'du'jian'kang
建都洛阳,jian'du'luo'yang
歼晋军,jian'jin'jun
坚决采纳,jian'jue'cai'na
建立的,jian'li'de
建立了东晋,jian'li'le'dong'jin
建立默契,jian'li'mo'qi
兼领治,jian'ling'zhi
兼司,jian'si
见吴国,jian'wu'guo
建武元年,jian'wu'yuan'nian
建兴,jian'xing
建业,jian'ye
谏诤,jian'zheng
将军岭,jiang'jun'ling
将领们,jiang'ling'men
江南氏族,jiang'nan'shi'zu
江南也不平静,jiang'nan'ye'bu'ping'jing
将其,jiang'qi
江统,jiang'tong
江统曾说,jiang'tong'ceng'shuo
江州,jiang'zhou
交给张方,jiao'gei'zhang'fang
交战地点,jiao'zhan'di'dian
交战双方,jiao'zhan'shuang'fang
解放邺都后,jie'fang'ye'dou'hou
结束全国的分裂局面,jie'shu'quan'guo'de'fen'lie'ju'mian
皆为戎居关中百馀万口,jie'wei'rong'ju'guan'zhong'bai'yu'wan'kou
羯赵,jie'zhao
接着又,jie'zhe'you
羯族称之为,jie'zu'cheng'zhi'wei
羯族军队,jie'zu'jun'dui
羯族魔爪,jie'zu'mo'zhao
晋安帝,jin'an'di
晋朝的,jin'chao'de
晋朝官员,jin'chao'guan'yuan
金发碧眼,jin'fa'bi'yan
进封为,jin'feng'wei
晋公,jin'gong
进攻关中,jin'gong'guan'zhong
进攻邺城,jin'gong'ye'cheng
今河南,jin'he'nan
今河南温县,jin'he'nan'wen'xian
今河南温县西,jin'he'nan'wen'xian'xi
晋怀帝,jin'huai'di
晋惠帝,jin'hui'di
晋惠帝时,jin'hui'di'shi
今江苏南京,jin'jiang'su'nan'jing
晋旧臣,jin'jiu'chen
进爵为,jin'jue'wei
禁军将领,jin'jun'jiang'ling
晋律,jin'lv
晋愍帝,jin'min'di
晋愍帝司马邺,jin'min'di'si'ma'ye
进入益州,jin'ru'yi'zhou
今山西,jin'shan'xi
晋室分裂,jin'shi'fen'lie
晋室南渡,jin'shi'nan'du
晋室政权,jin'shi'zheng'quan
今属山西,jin'shu'shan'xi
晋王,jin'wang
晋王太子,jin'wang'tai'zi
禁卫军,jin'wei'jun
晋武帝,jin'wu'di
晋武帝本人,jin'wu'di'ben'ren
晋武帝大肆,jin'wu'di'da'si
晋武帝第二子,jin'wu'di'di'er'zi
晋武帝共封了,jin'wu'di'gong'feng'le
晋武帝立,jin'wu'di'li
晋武帝没有采取,jin'wu'di'mei'you'cai'qu
晋武帝司马炎,jin'wu'di'si'ma'yan
晋武帝为了,jin'wu'di'wei'le
晋宣帝,jin'xuan'di
进一步迁往南方,jin'yi'bu'qian'wang'nan'fang
金墉城,jin'yong'cheng
晋元帝,jin'yuan'di
晋元帝司马睿,jin'yuan'di'si'ma'rui
晋宗室,jin'zong'shi
经济和文化发展,jing'ji'he'wen'hua'fa'zhan
经济军事措施多沿袭,jing'ji'jun'shi'cuo'shi'duo'yan'xi
经济社会各方面,jing'ji'she'hui'ge'fang'mian
经济文明,jing'ji'wen'ming
兢兢业业,jing'jing'ye'ye
境内人民,jing'nei'ren'min
京师洛阳,jing'shi'luo'yang
竞相建立政权,jing'xiang'jian'li'zheng'quan
敬宣,jing'xuan
荆州刺史,jing'zhou'ci'shi
就吃了个干净,jiu'chi'le'ge'gan'jing
就达二十万,jiu'da'er'shi'wan
九大石胡,jiu'da'shi'hu
九等,jiu'deng
九分食一,jiu'fen'shi'yi
旧名,jiu'ming
九品,jiu'pin
九品中正制,jiu'pin'zhong'zheng'zhi
就有胡人,jiu'you'hu'ren
举兵响应,ju'bing'xiang'ying
据地自保,ju'di'zi'bao
锯下了舌头,ju'xia'le'she'tou
举秀才,ju'xiu'cai
具有绝对,ju'you'jue'dui
据有特殊优越地位,ju'you'te'shu'you'yue'di'wei
鞠允,ju'yun
军事重镇,jun'shi'zhong'zhen
开国君主,kai'guo'jun'zhu
开始了中国,kai'shi'le'zhong'guo
开始例行,kai'shi'li'xing
砍掉双脚等,kan'diao'shuang'jiao'deng
客观上促进了,ke'guan'shang'cu'jin'le
课田法,ke'tian'fa
课租不问每户占田多少,ke'zu'bu'wen'mei'hu'zhan'tian'duo'shao
苦县宁平城,ku'xian'ning'ping'cheng
会稽,kuai'ji
会稽郡公,kuai'ji'jun'gong
会稽内史,kuai'ji'nei'shi
宽而能断,kuan'er'neng'duan
宽和节俭,kuan'he'jie'jian
来饲养的家畜,lai'si'yang'de'jia'chu
琅邪,lang'xie
琅邪王,lang'xie'wang
琅邪王氏,lang'xie'wang'shi
琅琊王司马睿,lang'ya'wang'si'ma'rui
郎中,lang'zhong
劳动人手,lao'dong'ren'shou
牢之,lao'zhi
吏部,li'bu
吏曹,li'cao
历官,li'guan
力排,li'pai
李势,li'shi
离石,li'shi
历史上罕见的,li'shi'shang'han'jian'de
李氏也先后在,li'shi'ye'xian'hou'zai
隶属关系,li'shu'guan'xi
立司马炽,li'si'ma'chi
立为皇太弟,li'wei'huang'tai'di
立为皇太子,li'wei'huang'tai'zi
李雄,li'xiong
溧洲,li'zhou
联兵攻破邺城,lian'bing'gong'po'ye'cheng
梁芬,liang'fen
两个时期,liang'ge'shi'qi
两个政权,liang'ge'zheng'quan
两晋的,liang'jin'de
两派,liang'pai
两只脚走路,liang'zhi'jiao'zou'lu
凉州,liang'zhou
僚属,liao'shu
临汾西南,lin'fen'xi'nan
临幸的方便,lin'xing'de'fang'bian
领军,ling'jun
另立白籍,ling'li'bai'ji
令以外有时设,ling'yi'wai'you'shi'she
另有都督,ling'you'du'du
领有军权,ling'you'jun'quan
领有实土,ling'you'shi'tu
令掌起草诏令,ling'zhang'qi'cao'zhao'ling
六曹,liu'cao
刘聪,liu'cong
刘汉军,liu'han'jun
刘汉政权,liu'han'zheng'quan
刘汉主刘聪,liu'han'zhu'liu'cong
六将军统领,liu'jiang'jun'tong'ling
刘牢之,liu'lao'zhi
流离失所,liu'li'shi'suo
流亡南方,liu'wang'nan'fang
刘遐,liu'xia
刘曜,liu'yao
六夷,liu'yi
刘裕,liu'yu
刘渊,liu'yuan
刘渊死,liu'yuan'si
隆安,long'an
隆安三年,long'an'san'nian
陆机,lu'ji
路人皆知,lu'ren'jie'zhi
卢水胡,lu'shui'hu
陆云,lu'yun
洛阳城中的,luo'yang'cheng'zhong'de
洛阳军队,luo'yang'jun'dui
洛阳陷于包围之中,luo'yang'xian'yu'bao'wei'zhi'zhong
屡次为,lv'ci'wei
率精兵七万,lv'jing'bing'qi'wan
律令不分,lv'ling'bu'fen
蛮荒之域,man'huang'zhi'yu
没有关系,mei'you'guan'xi
没有任何区别,mei'you'ren'he'qu'bie
门阀士族,men'fa'shi'zu
密有灭吴之计,mi'you'mie'wu'zhi'ji
免除其租税徭役负担,mian'chu'qi'zu'shui'yao'yi'fu'dan
绵三斤,mian'san'jin
庙号世祖,miao'hao'shi'zu
庙号太祖,miao'hao'tai'zu
灭掉吴国,mie'diao'wu'guo
灭羯赵的时候,mie'jie'zhao'de'shi'hou
灭蜀后,mie'shu'hou
灭亡孙吴,mie'wang'sun'wu
愍帝,min'di
愍帝降于汉,min'di'jiang'yu'han
民生凋敝,min'sheng'diao'bi
民族大融合,min'zu'da'rong'he
民族已经,min'zu'yi'jing
名称与方式,ming'cheng'yu'fang'shi
命都督,ming'dou'du
名宫女,ming'gong'nv
末代皇帝,mo'dai'huang'di
某些高官,mou'xie'gao'guan
某州或某几州,mou'zhou'huo'mou'ji'zhou
慕容鲜卑,mu'rong'xian'bei
慕容鲜卑的手中,mu'rong'xian'bei'de'shou'zhong
慕容鲜卑污辱,mu'rong'xian'bei'wu'ru
慕容鲜卑一时,mu'rong'xian'bei'yi'shi
纳入后宫,na'ru'hou'gong
南北朝,nan'bei'chao
南北朝时期,nan'bei'chao'shi'qi
南北对峙,nan'bei'dui'zhi
南朝,nan'chao
南郡宣武公,nan'jun'xuan'wu'gong
南康公主,nan'kang'gong'zhu
南迁,nan'qian
南燕,nan'yan
内迁的,nei'qian'de
内迁的少数民族,nei'qian'de'shao'shu'min'zu
年颁布,nian'ban'bu
年晋武帝,nian'jin'wu'di
年禁止,nian'jin'zhi
年命,nian'ming
年在位,nian'zai'wei
奴隶和牲畜,nu'li'he'sheng'chu
女子三十亩,nv'zi'san'shi'mu
派遣到地方,pai'qian'dao'di'fang
叛军流民,pan'jun'liu'min
裴頠维持了,pei'wei'wei'chi'le
裴元略,pei'yuan'lue
偏安统治,pian'an'tong'zhi
偏安一隅,pian'an'yi'yu
篇目体系,pian'mu'ti'xi
漂亮的入后宫,piao'liang'de'ru'hou'gong
骠骑将军,piao'qi'jiang'jun
平阿公,ping'a'gong
评定者,ping'ding'zhe
平均定额,ping'jun'ding'e
平吴,ping'wu
平吴后,ping'wu'hou
平吴以后,ping'wu'yi'hou
平吴以前,ping'wu'yi'qian
平阳,ping'yang
破兵洛阳,po'bing'luo'yang
仆射,pu'ye
七八十年后,qi'ba'shi'nian'hou
七百馀万,qi'bai'yu'wan
起兵反晋,qi'bing'fan'jin
起兵反伦,qi'bing'fan'lun
