阿郁煲,a'yu'bao
城中城,cheng'zhong'cheng
赤岸,chi'an
赤岸镇,chi'an'zhen
吃饱来,chi'bao'lai
吃吃空,chi'chi'kong
稠北,chou'bei
稠城,chou'cheng
稠江,chou'jiang
稠州,chou'zhou
稠州北路,chou'zhou'bei'lu
稠州医院,chou'zhou'yi'yuan
从金华,cong'jin'hua
匆忙客,cong'mang'ke
匆忙了,cong'mang'le
从义乌,cong'yi'wu
大草坪,da'cao'ping
大陈,da'chen
大陈镇,da'chen'zhen
大畈,da'fan
大坟山,da'fen'shan
打个来,da'ge'lai
打个去,da'ge'qu
打个我,da'ge'wo
大红,da'hong
大红鹰,da'hong'ying
大货样,da'huo'yang
大金华,da'jin'hua
打来过,da'lai'guo
大路口,da'lu'kou
打双扣,da'shuang'kou
大塘下,da'tang'xia
打样费,da'yang'fei
大元村,da'yuan'cun
蛋糕模,dan'gao'mo
丹桂苑,dan'gui'yuan
丹溪,dan'xi
丹溪路,dan'xi'lu
当家人,dang'jia'ren
到东阳,dao'dong'yang
倒酒器,dao'jiu'qi
到兰溪,dao'lan'xi
倒傻,dao'sha
到武义,dao'wu'yi
到义乌,dao'yi'wu
到永康,dao'yong'kang
道院塘,dao'yuan'tang
到浙江,dao'zhe'jiang
德胜岩,de'sheng'yan
的喂,de'wei
德艺堡,de'yi'bao
等不牢,deng'bu'lao
地下长河,di'xia'chang'he
地下商城,di'xia'shang'cheng
第一百货,di'yi'bai'huo
迪元,di'yuan
电话打开,dian'hua'da'kai
电话打来,dian'hua'da'lai
电话打去,dian'hua'da'qu
殿口,dian'kou
顶顶团,ding'ding'tuan
东白山,dong'bai'shan
东方大厦,dong'fang'da'sha
东方之星,dong'fang'zhi'xing
东华家园,dong'hua'jia'yuan
东莱路,dong'lai'lu
冻去,dong'qu
冻去了,dong'qu'le
东岘峰,dong'xian'feng
东新屋,dong'xin'wu
东阳,dong'yang
东阳啊,dong'yang'a
东阳的,dong'yang'de
东阳哄,dong'yang'hong
东阳话,dong'yang'hua
东阳技校,dong'yang'ji'xiao
东阳江,dong'yang'jiang
东阳街,dong'yang'jie
东阳了,dong'yang'le
东阳人,dong'yang'ren
东阳市,dong'yang'shi
东苑小学,dong'yuan'xiao'xue
董宅,dong'zhai
东洲花园,dong'zhou'hua'yuan
都还好的,dou'hai'hao'de
斗牛士,dou'niu'shi
杜元,du'yuan
端村,duan'cun
端头,duan'tou
对的哇,dui'de'wa
对家畈,dui'jia'fan
对也过,dui'ye'guo
墩头,dun'tou
多湖,duo'hu
诶一,ei'yi
发个来,fa'ge'lai
樊村,fan'cun
仿红铜,fang'hong'tong
仿金,fang'jin
仿牛仔,fang'niu'zai
方前,fang'qian
仿羊绒,fang'yang'rong
方宅,fang'zhai
仿真丝,fang'zhen'si
仿紫铜,fang'zi'tong
非标门,fei'biao'men
飞凤山,fei'feng'shan
飞石,fei'shi
粉干,fen'gan
凤凰山庄,feng'huang'shan'zhuang
佛堂,fo'tang
佛堂镇,fo'tang'zhen
辅导站,fu'dao'zhan
福泰隆,fu'tai'long
福田市场,fu'tian'shi'chang
该是个,gai'shi'ge
干菜肉,gan'cai'rou
钢木门,gang'mu'men
镐把子,gao'ba'zi
搞逼,gao'bi
高村,gao'cun
高畈,gao'fan
高柜,gao'gui
割草机,ge'cao'ji
歌山,ge'shan
给个我,gei'ge'wo
更加了,geng'jia'le
龚大塘,gong'da'tang
工人北路,gong'ren'bei'lu
工商城,gong'shang'cheng
龚鑫芳,gong'xin'fang
宫苑,gong'yuan
古山,gu'shan
古山镇,gu'shan'zhen
挂袋,gua'dai
广福医院,guang'fu'yi'yuan
广州街,guang'zhou'jie
桂苑,gui'yuan
过爹,guo'die
国际村,guo'ji'cun
国际商贸,guo'ji'shang'mao
国际商贸城,guo'ji'shang'mao'cheng
国际站,guo'ji'zhan
国贸大厦,guo'mao'da'sha
郭宅,guo'zhai
还好不啦,hai'hao'bu'la
还好吃的,hai'hao'chi'de
还好看的,hai'hao'kan'de
海王世家,hai'wang'shi'jia
还在金华,hai'zai'jin'hua
还在义乌,hai'zai'yi'wu
韩国料理,han'guo'liao'li
杭金衢,hang'jin'qu
杭坪,hang'ping
好吧呢,hao'ba'ne
好吧也,hao'ba'ye
好的累,hao'de'lei
好的你,hao'de'ni
好的也,hao'de'ye
好歌声,hao'ge'sheng
好回去,hao'hui'qu
好回去了,hao'hui'qu'le
好佳基,hao'jia'ji
好乐多,hao'le'duo
好了你,hao'le'ni
好了也,hao'le'ye
好没啦,hao'mei'la
豪尚豪,hao'shang'hao
好睡觉了,hao'shui'jiao'le
好睡啦,hao'shui'la
好睡了,hao'shui'le
好玩不啦,hao'wan'bu'la
好耶过,hao'ye'guo
好易购,hao'yi'gou
好意思啊,hao'yi'si'a
何村,he'cun
何界,he'jie
何麻车,he'ma'che
河盘桥,he'pan'qiao
和平公园,he'ping'gong'yuan
和平桥,he'ping'qiao
和天下,he'tian'xia
河头,he'tou
荷叶塘,he'ye'tang
何宅,he'zhai
黑潮,hei'chao
很空,hen'kong
很空的,hen'kong'de
横店,heng'dian
横店了,heng'dian'le
横店影视城,heng'dian'ying'shi'cheng
横店镇,heng'dian'zhen
恒风,heng'feng
横锦,heng'jin
横溪,heng'xi
红门票,hong'men'piao
红门前,hong'men'qian
红拼,hong'pin
红拼木,hong'pin'mu
洪源,hong'yuan
后成,hou'cheng
后城里,hou'cheng'li
后宅,hou'zhai
湖海塘,hu'hai'tang
沪江路,hu'jiang'lu
胡库,hu'ku
虎鹿,hu'lu
壶山,hu'shan
湖溪,hu'xi
胡宅,hu'zhai
化工路,hua'gong'lu
画水,hua'shui
华统,hua'tong
花头精,hua'tou'jing
华溪,hua'xi
怀鲁,huai'lu
黄大仙,huang'da'xian
黄店,huang'dian
黄田畈,huang'tian'fan
黄杨梅,huang'yang'mei
篁园,huang'yuan
篁园路,huang'yuan'lu
篁园市场,huang'yuan'shi'chang
黄宅,huang'zhai
黄宅镇,huang'zhai'zhen
回东阳,hui'dong'yang
回金华,hui'jin'hua
回来没啦,hui'lai'mei'la
回兰溪,hui'lan'xi
回头货,hui'tou'huo
回武义,hui'wu'yi
回溪街,hui'xi'jie
回乡货,hui'xiang'huo
回义乌,hui'yi'wu
回永康,hui'yong'kang
混发,hun'fa
混款,hun'kuan
混色,hun'se
混装,hun'zhuang
火来的,huo'lai'de
火来了,huo'lai'le
货运市场,huo'yun'shi'chang
几号门,ji'hao'men
鸡毛换糖,ji'mao'huan'tang
鸡鸣山,ji'ming'shan
季宅,ji'zhai
加贝,jia'bei
加封,jia'feng
家和园,jia'he'yuan
尖峰山,jian'feng'shan
尖山,jian'shan
健身车,jian'shen'che
讲不来,jiang'bu'lai
江东,jiang'dong
江东街道,jiang'dong'jie'dao
江东客运站,jiang'dong'ke'yun'zhan
江南会,jiang'nan'hui
江南四区,jiang'nan'si'qu
江西老,jiang'xi'lao
教不起,jiao'bu'qi
教室楼,jiao'shi'lou
解百,jie'bai
金翅鸟,jin'chi'niao
金村,jin'cun
金德福,jin'de'fu
金东,jin'dong
金东区,jin'dong'qu
今飞,jin'fei
金福源,jin'fu'yuan
金高技,jin'gao'ji
进估计,jin'gu'ji
金华,jin'hua
金华啊,jin'hua'a
金华吧,jin'hua'ba
金华的,jin'hua'de
金华地区,jin'hua'di'qu
金华话,jin'hua'hua
金华火腿,jin'hua'huo'tui
金华哪里,jin'hua'na'li
金华市,jin'hua'shi
金华市区,jin'hua'shi'qu
金华天气,jin'hua'tian'qi
金华西,jin'hua'xi
金华呀,jin'hua'ya
金华一中,jin'hua'yi'zhong
金华银行,jin'hua'yin'hang
金华站,jin'hua'zhan
金华职业,jin'hua'zhi'ye
金茂大厦,jin'mao'da'sha
金水桶,jin'shui'tong
金天地,jin'tian'di
金味来,jin'wei'lai
金一中,jin'yi'zhong
缙云,jin'yun
金宅,jin'zhai
金职,jin'zhi
金职院,jin'zhi'yuan
经发大道,jing'fa'da'dao
旧村改造,jiu'cun'gai'zao
九德堂,jiu'de'tang
九峰,jiu'feng
九峰山,jiu'feng'shan
就好了哇,jiu'hao'le'wa
就睡去了,jiu'shui'qu'le
桔黄,ju'huang
聚千味,ju'qian'wei
卡布基诺,ka'bu'ji'nuo
咖啡壶,ka'fei'hu
凯吉路,kai'ji'lu
开心谷,kai'xin'gu
看到过没,kan'dao'guo'mei
康海徐,kang'hai'xu
康盛,kang'sheng
客户名称,ke'hu'ming'cheng
克痢痧,ke'li'sha
课时特训,ke'shi'te'xun
孔村,kong'cun
空咯咯,kong'ge'ge
空啦啦,kong'la'la
空姥姥,kong'lao'lao
空骚,kong'sao
扣头,kou'tou
哭来了,ku'lai'le
夸空,kua'kong
拉芳舍,la'fang'she
来东阳,lai'dong'yang
来横店,lai'heng'dian
来接下,lai'jie'xia
来兰溪,lai'lan'xi
来拿去,lai'na'qu
来浦江,lai'pu'jiang
来市场,lai'shi'chang
来义乌,lai'yi'wu
来永康,lai'yong'kang
来浙江,lai'zhe'jiang
蓝色沸点,lan'se'fei'dian
兰溪,lan'xi
兰溪的,lan'xi'de
兰溪话,lan'xi'hua
兰溪街,lan'xi'jie
兰溪了,lan'xi'le
兰溪门,lan'xi'men
兰溪人,lan'xi'ren
兰溪市,lan'xi'shi
兰一,lan'yi
兰一中,lan'yi'zhong
浪坑,lang'keng
浪莎,lang'sha
老逼,lao'bi
老农贸,lao'nong'mao
老撇,lao'pie
老三老四,lao'san'lao'si
老物流,lao'wu'liu
老壮,lao'zhuang
累去,lei'qu
黎明村,li'ming'cun
澧浦,li'pu
李英秀,li'ying'xiu
李渔路,li'yu'lu
李宅,li'zhai
连接体,lian'jie'ti
两不来,liang'bu'lai
两头乌,liang'tou'wu
灵洞,ling'dong
岭下朱,ling'xia'zhu
柳湖,liu'hu
六石,liu'shi
龙灯,long'deng
龙回,long'hui
龙山镇,long'shan'zhen
龙虾扣,long'xia'kou
楼姐,lou'jie
楼老师,lou'lao'shi
楼西宅,lou'xi'zhai
楼下村,lou'xia'cun
楼总,lou'zong
鹿田,lu'tian
路头,lu'tou
卢宅,lu'zhai
罗埠,luo'bu
罗店,luo'dian
罗店镇,luo'dian'zhen
骆家塘,luo'jia'tang
铝膜,lv'mo
履坦,lv'tan
麻包,ma'bao
麻包婆,ma'bao'po
麻车,ma'che
马涧,ma'jian
麻头,ma'tou
马宅,ma'zhai
麦饼,mai'bing
买点来,mai'dian'lai
买个来,mai'ge'lai
麦角,mai'jiao
买来没,mai'lai'mei
唛头,mai'tou
毛店,mao'dian
帽业,mao'ye
毛芋,mao'yu
每打,mei'da
梅湖,mei'hu
没花头,mei'hua'tou
没考出来,mei'kao'chu'lai
没空过,mei'kong'guo
魅力金座,mei'li'jin'zuo
美然,mei'ran
每色,mei'se
门博会,men'bo'hui
门架,men'jia
梦幻谷,meng'huan'gu
梦娜,meng'na
棉头,mian'tou
明清宫,ming'qing'gong
明清宫苑,ming'qing'gong'yuan
摩高,mo'gao
模具城,mo'ju'cheng
墨兰,mo'lan
摸去,mo'qu
木柄,mu'bing
木雕城,mu'diao'cheng
木糠杯,mu'kang'bei
木珠,mu'zhu
那不错的,na'bu'cuo'de
拿个来,na'ge'lai
那好了么,na'hao'le'me
那就好了么,na'jiu'hao'le'me
拿样品,na'yang'pin
奶当,nai'dang
南陈,nan'chen
南大门,nan'da'men
南方联,nan'fang'lian
南麂岛,nan'ji'dao
南马,nan'ma
南门街,nan'men'jie
南上湖,nan'shang'hu
南市路,nan'shi'lu
南下朱,nan'xia'zhu
南苑路,nan'yuan'lu
脑子呢,nao'zi'ne
内雕,nei'diao
内瓜,nei'gua
内陆费,nei'lu'fei
能关谷,neng'guan'gu
你东阳,ni'dong'yang
你很空,ni'hen'kong
你金华,ni'jin'hua
你来金华,ni'lai'jin'hua
你来义乌,ni'lai'yi'wu
你也好睡了,ni'ye'hao'shui'le
你义乌,ni'yi'wu
你在东阳,ni'zai'dong'yang
你在金华,ni'zai'jin'hua
你在义乌,ni'zai'yi'wu
你这么空,ni'zhe'me'kong
廿三,nian'san
廿三里,nian'san'li
牛背金,niu'bei'jin
牛公,niu'gong
牛清汤,niu'qing'tang
扭去,niu'qu
牛头山,niu'tou'shan
牛血,niu'xue
农贸城,nong'mao'cheng
女埠,nv'bu
女卡,nv'ka
哦累,o'lei
欧景,ou'jing
呕来,ou'lai
欧莱美,ou'lai'mei
欧意,ou'yi
排骨饭,pai'gu'fan
派溪,pai'xi
磐安,pan'an
磐安县,pan'an'xian
潘村,pan'cun
盘龙谷,pan'long'gu
潘宅,pan'zhai
碰去,peng'qu
平柜,ping'gui
浦江,pu'jiang
浦江的,pu'jiang'de
浦江话,pu'jiang'hua
浦江了,pu'jiang'le
浦江人,pu'jiang'ren
浦江县,pu'jiang'xian
浦阳江,pu'yang'jiang
浦阳镇,pu'yang'zhen
起订,qi'ding
起订量,qi'ding'liang
戚继光路,qi'ji'guang'lu
麒麟阁,qi'lin'ge
气泡袋,qi'pao'dai
起批,qi'pi
气去,qi'qu
气去了,qi'qu'le
汽校,qi'xiao
汽运中心,qi'yun'zhong'xin
前仓,qian'cang
前陈,qian'chen
前成,qian'cheng
前店,qian'dian
前洪,qian'hong
浅咖,qian'ka
前吴,qian'wu
乾西乡,qian'xi'xiang
千祥,qian'xiang
前于,qian'yu
枪黑,qiang'hei
巧溪,qiao'xi
切菜器,qie'cai'qi
秦王宫,qin'wang'gong
清洁球,qing'jie'qiu
青口,qing'kou
清明果,qing'ming'guo
清明上河图,qing'ming'shang'he'tu
青岩刘,qing'yan'liu
清装,qing'zhuang
秋滨,qiu'bin
球菜,qiu'cai
去东阳,qu'dong'yang
去横店,qu'heng'dian
衢江,qu'jiang
去金华,qu'jin'hua
去兰溪,qu'lan'xi
去买来,qu'mai'lai
去浦江,qu'pu'jiang
去武义,qu'wu'yi
去义乌,qu'yi'wu
去永康,qu'yong'kang
衢州,qu'zhou
衢州的,qu'zhou'de
全备,quan'bei
全涤,quan'di
泉溪,quan'xi
热疮,re'chuang
热转印,re'zhuan'yin
任氏物流,ren'shi'wu'liu
肉麦饼,rou'mai'bing
塞过,sai'guo
三角店,san'jiao'dian
三联单,san'lian'dan
三路口,san'lu'kou
三溪堂,san'xi'tang
瑟兰,se'lan
森博会,sen'bo'hui
傻不傻的,sha'bu'sha'de
纱带,sha'dai
沙畈,sha'fan
傻鬼,sha'gui
傻去,sha'qu
傻去了,sha'qu'le
山口,shan'kou
商博,shang'bo
上陈,shang'chen
上浮桥,shang'fu'qiao
上洪,shang'hong
上华,shang'hua
上活动,shang'huo'dong
商街,shang'jie
上口爱,shang'kou'ai
上卢,shang'lu
商贸区,shang'mao'qu
伤去,shang'qu
伤去了,shang'qu'le
商位,shang'wei
上溪,shang'xi
上溪镇,shang'xi'zhen
伤心去了,shang'xin'qu'le
商苑,shang'yuan
上宅,shang'zhai
烧不来,shao'bu'lai
烧午饭,shao'wu'fan
沈村,shen'cun
申华,shen'hua
神经的,shen'jing'de
深咖,shen'ka
神丽峡,shen'li'xia
申通快递,shen'tong'kuai'di
盛世豪门,sheng'shi'hao'men
盛武,sheng'wu
盛武肥牛,sheng'wu'fei'niu
十八里,shi'ba'li
十八腔,shi'ba'qiang
是不啦,shi'bu'la
是厂里,shi'chang'li
时代花园,shi'dai'hua'yuan
市府网,shi'fu'wang
施光南,shi'guang'nan
世纪联华,shi'ji'lian'hua
是金华,shi'jin'hua
十里牌,shi'li'pai
十里头,shi'li'tou
石龙头,shi'long'tou
世贸城,shi'mao'cheng
市民广场,shi'min'guang'chang
石桥头,shi'qiao'tou
实色,shi'se
实样,shi'yang
是义乌,shi'yi'wu
手空,shou'kong
瘦去,shou'qu
寿仙谷,shou'xian'gu
首重,shou'zhong
熟溪,shu'xi
摔去,shuai'qu
摔去了,shuai'qu'le
双活,shuang'huo
双扣,shuang'kou
双龙大桥,shuang'long'da'qiao
双龙洞,shuang'long'dong
双龙南街,shuang'long'nan'jie
双鹿,shuang'lu
双溪西路,shuang'xi'xi'lu
睡不去,shui'bu'qu
睡不去了,shui'bu'qu'le
睡得去,shui'de'qu
水阁,shui'ge
睡回去了,shui'hui'qu'le
水人家,shui'ren'jia
水亭,shui'ting
水洗标,shui'xi'biao
睡着去,shui'zhao'qu
睡着去了,shui'zhao'qu'le
顺达,shun'da
说来啊,shuo'lai'a
说来呀,shuo'lai'ya
四海大道,si'hai'da'dao
四开子母,si'kai'zi'mu
寺前,si'qian
寺前皇,si'qian'huang
丝线,si'xian
搜才网,sou'cai'wang
酥饼,su'bing
塑粉,su'fen
苏家爱华,su'jia'ai'hua
速卖通,su'mai'tong
苏溪,su'xi
苏溪镇,su'xi'zhen
随机发,sui'ji'fa
锁业,suo'ye
塔山,ta'shan
塔石,ta'shi
泰地,tai'di
太和堂,tai'he'tang
太子湾,tai'zi'wan
弹力线,tan'li'xian
烫去,tang'qu
唐三彩,tang'san'cai
汤溪,tang'xi
烫衣板,tang'yi'ban
陶村,tao'cun
桃花坞,tao'hua'wu
逃商检,tao'shang'jian
桃心,tao'xin
陶应元,tao'ying'yuan
套约,tao'yue
特报,te'bao
田畈,tian'fan
天慧,tian'hui
甜酒酿,tian'jiu'niang
天天快递,tian'tian'kuai'di
条形章,tiao'xing'zhang
听空,ting'kong
童店,tong'dian
通济桥,tong'ji'qiao
通江路,tong'jiang'lu
同年哥,tong'nian'ge
桐琴,tong'qin
通讯市场,tong'xun'shi'chang
童宅,tong'zhai
透环,tou'huan
头扣,tou'kou
土豆团,tu'dou'tuan
托卡,tuo'ka
托运部,tuo'yun'bu
托运处,tuo'yun'chu
托运站,tuo'yun'zhan
哇和,wa'he
哇后,wa'hou
袜业,wa'ye
外地佬,wai'di'lao
外贸公司,wai'mao'gong'si
外箱,wai'xiang
碗架,wan'jia
万盛街,wan'sheng'jie
望道,wang'dao
望道路,wang'dao'lu
忘记去了,wang'ji'qu'le
王宅,wang'zhai
伟海,wei'hai
巍山,wei'shan
问过没,wen'guo'mei
问你哇,wen'ni'wa
我班期中考试,wo'ban'qi'zhong'kao'shi
我到义乌,wo'dao'yi'wu
我东阳,wo'dong'yang
我很空,wo'hen'kong
我金华,wo'jin'hua
我睡不去,wo'shui'bu'qu
我义乌,wo'yi'wu
我在东阳,wo'zai'dong'yang
我在横店,wo'zai'heng'dian
我在金华,wo'zai'jin'hua
我在兰溪,wo'zai'lan'xi
我在义乌,wo'zai'yi'wu
我在永康,wo'zai'yong'kang
我在浙江,wo'zai'zhe'jiang
五叉,wu'cha
五岔路口,wu'cha'lu'kou
婺城,wu'cheng
婺城区,wu'cheng'qu
武川,wu'chuan
吴店,wu'dian
乌饭,wu'fan
五合院,wu'he'yuan
无痕钉,wu'hen'ding
婺江,wu'jiang
婺江新村,wu'jiang'xin'cun
婺剧,wu'ju
吴丽晴,wu'li'qing
五里亭,wu'li'ting
无水港,wu'shui'gang
武义,wu'yi
武义的,wu'yi'de
武义话,wu'yi'hua
武义人,wu'yi'ren
五一塘,wu'yi'tang
武义县,wu'yi'xian
五指岩,wu'zhi'yan
婺州公园,wu'zhou'gong'yuan
婺州街,wu'zhou'jie
西城路,xi'cheng'lu
西津桥,xi'jin'qiao
西牌楼,xi'pai'lou
西山公园,xi'shan'gong'yuan
西山下,xi'shan'xia
西塘,xi'tang
洗碗布,xi'wan'bu
西溪,xi'xi
溪心,xi'xin
下仓,xia'cang
下车门,xia'che'men
下陈,xia'chen
下付,xia'fu
下骆宅,xia'luo'zhai
吓去,xia'qu
吓去了,xia'qu'le
下王,xia'wang
夏溪,xia'xi
下宅,xia'zhai
下朱宅,xia'zhu'zhai
嫌差,xian'cha
仙华,xian'hua
仙华山,xian'hua'shan
香槟金,xiang'bin'jin
乡村大院,xiang'cun'da'yuan
香格里,xiang'ge'li
箱规,xiang'gui
香山路,xiang'shan'lu
香水座,xiang'shui'zuo
香溪,xiang'xi
项宅,xiang'zhai
小标签,xiao'biao'qian
小格,xiao'ge
小商品城,xiao'shang'pin'cheng
孝顺镇,xiao'shun'zhen
小应,xiao'ying
孝子祠,xiao'zi'ci
蟹煲,xie'bao
卸货点,xie'huo'dian
谢年,xie'nian
鞋塘,xie'tang
锌合金,xin'he'jin
新科花园,xin'ke'hua'yuan
新凉亭,xin'liang'ting
新马路,xin'ma'lu
新农贸,xin'nong'mao
新物流,xin'wu'liu
信源,xin'yuan
新宅,xin'zhai
幸福湖,xing'fu'hu
醒来过,xing'lai'guo
星乐迪,xing'le'di
绣布,xiu'bu
绣湖,xiu'hu
休业式,xiu'ye'shi
徐村,xu'cun
续重,xu'zhong
续重费,xu'zhong'fei
宣平,xuan'ping
雪峰银座,xue'feng'yin'zuo
雪尼尔,xue'ni'er
雅畈,ya'fan
亚峰路,ya'feng'lu
牙刷架,ya'shua'jia
岩头,yan'tou
阳光路,yang'guang'lu
样品费,yang'pin'fei
样品间,yang'pin'jian
咬去,yao'qu
也还好的,ye'hai'hao'de
夜戏,ye'xi
义北,yi'bei
义博会,yi'bo'hui
义东,yi'dong
义东路,yi'dong'lu
益公山,yi'gong'shan
艺海路,yi'hai'lu
义合,yi'he
义驾山,yi'jia'shan
义亭,yi'ting
义亭镇,yi'ting'zhen
义乌,yi'wu
义乌吧,yi'wu'ba
义乌大酒店,yi'wu'da'jiu'dian
义乌到,yi'wu'dao
义乌的,yi'wu'de
义乌港,yi'wu'gang
义乌购,yi'wu'gou
义乌话,yi'wu'hua
义乌火车站,yi'wu'huo'che'zhan
义乌江,yi'wu'jiang
义乌街,yi'wu'jie
义乌啦,yi'wu'la
义乌来,yi'wu'lai
义乌了,yi'wu'le
义乌乐园,yi'wu'le'yuan
义乌吗,yi'wu'ma
义乌哪里,yi'wu'na'li
义乌呢,yi'wu'ne
义乌人,yi'wu'ren
义乌市,yi'wu'shi
义乌天气,yi'wu'tian'qi
义乌呀,yi'wu'ya
义乌影都,yi'wu'ying'du
义乌站,yi'wu'zhan
义乌这边,yi'wu'zhe'bian
义乌中学,yi'wu'zhong'xue
一下哇,yi'xia'wa
银海路,yin'hai'lu
银河湾,yin'he'wan
迎灯,ying'deng
影都,ying'du
迎龙灯,ying'long'deng
应总,ying'zong
永康,yong'kang
永康的,yong'kang'de
永康话,yong'kang'hua
永康江,yong'kang'jiang
永康街,yong'kang'jie
永康了,yong'kang'le
永康人,yong'kang'ren
永康市,yong'kang'shi
永胜小区,yong'sheng'xiao'qu
游埠,you'bu
有加利,you'jia'li
油锯,you'ju
优速,you'su
玉山,yu'shan
余特力,yu'te'li
虞宅,yu'zhai
源东,yuan'dong
月泉,yue'quan
云都,yun'dou
运费是,yun'fei'shi
运号,yun'hao
晕去,yun'qu
咋西,za'xi
在北苑,zai'bei'yuan
在东阳,zai'dong'yang
在佛堂,zai'fo'tang
在横店,zai'heng'dian
在金华,zai'jin'hua
在兰溪,zai'lan'xi
再么,zai'me
在浦江,zai'pu'jiang
在烧了,zai'shao'le
在武义,zai'wu'yi
在义乌,zai'yi'wu
在永康,zai'yong'kang
在怎么办,zai'zen'me'ban
在浙江,zai'zhe'jiang
皂盒,zao'he
皂液器,zao'ye'qi
楂林,zha'lin
宅口,zhai'kou
摘杨梅,zhai'yang'mei
展示盒,zhan'shi'he
张府前巷,zhang'fu'qian'xiang
找个来,zhao'ge'lai
赵宅,zhao'zhai
浙江啊,zhe'jiang'a
浙江金华,zhe'jiang'jin'hua
浙江呢,zhe'jiang'ne
浙江省义乌市,zhe'jiang'sheng'yi'wu'shi
浙江师范,zhe'jiang'shi'fan
浙江师范大学,zhe'jiang'shi'fan'da'xue
浙江移动,zhe'jiang'yi'dong
浙江义乌,zhe'jiang'yi'wu
浙教版,zhe'jiao'ban
这么空,zhe'me'kong
这么忙的,zhe'me'mang'de
这么爽的,zhe'me'shuang'de
浙商证券,zhe'shang'zheng'quan
浙师大,zhe'shi'da
这样哒,zhe'yang'da
真吃不消,zhen'chi'bu'xiao
振兴路,zhen'xing'lu
郑家坞,zheng'jia'wu
郑宅,zheng'zhai
制版,zhi'ban
制版费,zhi'ban'fei
职技校,zhi'ji'xiao
指甲贴,zhi'jia'tie
纸卡,zhi'ka
志扬,zhi'yang
芝英,zhi'ying
芝英镇,zhi'ying'zhen
中村,zhong'cun
中孔,zhong'kong
舟山,zhou'shan
诸葛八卦村,zhu'ge'ba'gua'cun
朱基头,zhu'ji'tou
抓痧,zhua'sha
专业街,zhuan'ye'jie
转印,zhuan'yin
装柜,zhuang'gui
装柜子,zhuang'gui'zi
桩考,zhuang'kao
撞去,zhuang'qu
撞去了,zhuang'qu'le
装箱量,zhuang'xiang'liang
装箱数,zhuang'xiang'shu
总不要,zong'bu'yao
宗泽路,zong'ze'lu
宗宅,zong'zhai
钻石画,zuan'shi'hua
最空,zui'kong
