阿巴嘎旗,a'ba'ga'qi
滑县,hua'xian
华阴市,hua'yin'shi
华莹市,hua'ying'shi
花垣县,hua'yuan'xian
化州市,hua'zhou'shi
淮安市,huai'an'shi
怀安县,huai'an'xian
淮北市,huai'bei'shi
淮滨县,huai'bin'xian
怀化市,huai'hua'shi
怀集县,huai'ji'xian
怀来县,huai'lai'xian
淮南市,huai'nan'shi
怀宁县,huai'ning'xian
怀仁县,huai'ren'xian
怀柔区,huai'rou'qu
淮阳县,huai'yang'xian
槐荫区,huai'yin'qu
淮阴区,huai'yin'qu
怀远县,huai'yuan'xian
环翠区,huan'cui'qu
环江毛南族自治县,huan'jiang'mao'nan'zu'zi'zhi'xian
桓仁满族自治县,huan'ren'man'zu'zi'zhi'xian
桓台县,huan'tai'xian
环县,huan'xian
潢川县,huang'chuan'xian
黄岛区,huang'dao'qu
黄冈市,huang'gang'shi
皇姑区,huang'gu'qu
黄骅市,huang'hua'shi
黄陵县,huang'ling'xian
黄龙县,huang'long'xian
黄梅县,huang'mei'xian
黄南藏族自治州,huang'nan'zang'zu'zi'zhi'zhou
黄陂区,huang'pi'qu
黄平县,huang'ping'xian
黄埔区,huang'pu'qu
黄浦区,huang'pu'qu
黄山区,huang'shan'qu
黄山市,huang'shan'shi
黄石港区,huang'shi'gang'qu
黄石市,huang'shi'shi
黄岩区,huang'yan'qu
湟源县,huang'yuan'xian
湟中县,huang'zhong'xian
黄州区,huang'zhou'qu
惠安县,hui'an'xian
会昌县,hui'chang'xian
惠城区,hui'cheng'qu
汇川区,hui'chuan'qu
会东县,hui'dong'xian
惠东县,hui'dong'xian
惠来县,hui'lai'xian
会理县,hui'li'xian
回民区,hui'min'qu
惠民县,hui'min'xian
辉南县,hui'nan'xian
会宁县,hui'ning'xian
惠农区,hui'nong'qu
惠山区,hui'shan'qu
惠水县,hui'shui'xian
会同县,hui'tong'xian
徽县,hui'xian
辉县市,hui'xian'shi
惠阳区,hui'yang'qu
会泽县,hui'ze'xian
徽州区,hui'zhou'qu
惠州市,hui'zhou'shi
珲春市,hun'chun'shi
浑源县,hun'yuan'xian
霍城县,huo'cheng'xian
获嘉县,huo'jia'xian
霍林郭勒市,huo'lin'guo'le'shi
霍邱县,huo'qiu'xian
霍山县,huo'shan'xian
霍州市,huo'zhou'shi
集安市,ji'an'shi
吉安市,ji'an'shi
吉安县,ji'an'xian
鸡东县,ji'dong'xian
鸡冠区,ji'guan'qu
吉利区,ji'li'qu
吉林省,ji'lin'sheng
吉林市,ji'lin'shi
集美区,ji'mei'qu
吉木乃县,ji'mu'nai'xian
吉木萨尔县,ji'mu'sa'er'xian
集宁区,ji'ning'qu
济宁市,ji'ning'shi
稷山县,ji'shan'xian
积石山保安族东乡族撒拉族自治县,ji'shi'shan'bao'an'zu'dong'xiang'zu'sa'la'zu'zi'zhi'xian
吉首市,ji'shou'shi
吉水县,ji'shui'xian
鸡西市,ji'xi'shi
绩溪县,ji'xi'xian
蓟县,ji'xian
吉县,ji'xian
集贤县,ji'xian'xian
济阳县,ji'yang'xian
济源市,ji'yuan'shi
鸡泽县,ji'ze'xian
吉州区,ji'zhou'qu
冀州市,ji'zhou'shi
加查县,jia'cha'xian
嘉定区,jia'ding'qu
嘉禾县,jia'he'xian
夹江县,jia'jiang'xian
嘉黎县,jia'li'xian
嘉陵区,jia'ling'qu
佳木斯市,jia'mu'si'shi
嘉善县,jia'shan'xian
伽师县,jia'shi'xian
贾汪区,jia'wang'qu
郏县,jia'xian
佳县,jia'xian
嘉祥县,jia'xiang'xian
嘉兴市,jia'xing'shi
嘉荫县,jia'yin'xian
嘉峪关市,jia'yu'guan'shi
嘉鱼县,jia'yu'xian
尖草坪区,jian'cao'ping'qu
建昌县,jian'chang'xian
剑川县,jian'chuan'xian
建德市,jian'de'shi
剑阁县,jian'ge'xian
剑河县,jian'he'xian
建湖县,jian'hu'xian
建华区,jian'hua'qu
监利县,jian'li'xian
建宁县,jian'ning'xian
建瓯市,jian'ou'shi
建平县,jian'ping'xian
尖山区,jian'shan'qu
建始县,jian'shi'xian
建水县,jian'shui'xian
涧西区,jian'xi'qu
建阳市,jian'yang'shi
简阳市,jian'yang'shi
建邺区,jian'ye'qu
尖扎县,jian'zha'xian
江岸区,jiang'an'qu
江安县,jiang'an'xian
江北区,jiang'bei'qu
江城哈尼族彝族自治县,jiang'cheng'ha'ni'zu'yi'zu'zi'zhi'xian
江城区,jiang'cheng'qu
江川县,jiang'chuan'xian
江达县,jiang'da'xian
江东区,jiang'dong'qu
江都市,jiang'du'shi
江干区,jiang'gan'qu
江海区,jiang'hai'qu
江汉区,jiang'han'qu
江华瑶族自治县,jiang'hua'yao'zu'zi'zhi'xian
江津市,jiang'jin'shi
江口县,jiang'kou'xian
将乐县,jiang'le'xian
江陵县,jiang'ling'xian
江门市,jiang'men'shi
江南区,jiang'nan'qu
江宁区,jiang'ning'qu
江山市,jiang'shan'shi
江苏省,jiang'su'sheng
江西省,jiang'xi'sheng
江夏区,jiang'xia'qu
绛县,jiang'xian
姜堰市,jiang'yan'shi
江阳区,jiang'yang'qu
江阴市,jiang'yin'shi
江永县,jiang'yong'xian
江油市,jiang'you'shi
江源县,jiang'yuan'xian
江洲区,jiang'zhou'qu
江孜县,jiang'zi'xian
蕉城区,jiao'cheng'qu
交城县,jiao'cheng'xian
蛟河市,jiao'he'shi
椒江区,jiao'jiang'qu
交口县,jiao'kou'xian
蕉岭县,jiao'ling'xian
胶南市,jiao'nan'shi
胶州市,jiao'zhou'shi
焦作市,jiao'zuo'shi
揭东县,jie'dong'xian
解放区,jie'fang'qu
界首市,jie'shou'shi
揭西县,jie'xi'xian
介休市,jie'xiu'shi
揭阳市,jie'yang'shi
金安区,jin'an'qu
晋安区,jin'an'qu
金阊区,jin'chang'qu
金昌市,jin'chang'shi
金城江区,jin'cheng'jiang'qu
晋城市,jin'cheng'shi
金川区,jin'chuan'qu
金川县,jin'chuan'xian
金东区,jin'dong'qu
金凤区,jin'feng'qu
金湖县,jin'hu'xian
金华市,jin'hua'shi
金家庄区,jin'jia'zhuang'qu
锦江区,jin'jiang'qu
晋江市,jin'jiang'shi
金口河区,jin'kou'he'qu
金门县,jin'men'xian
津南区,jin'nan'qu
晋宁县,jin'ning'xian
金牛区,jin'niu'qu
金平苗族瑶族傣族自治县,jin'ping'miao'zu'yao'zu'dai'zu'zi'zhi'xian
金平区,jin'ping'qu
锦屏县,jin'ping'xian
金沙县,jin'sha'xian
金山区,jin'shan'qu
金山屯区,jin'shan'tun'qu
津市市,jin'shi'shi
金水区,jin'shui'qu
金塔县,jin'ta'xian
金台区,jin'tai'qu
金坛市,jin'tan'shi
金堂县,jin'tang'xian
金湾区,jin'wan'qu
金溪县,jin'xi'xian
进贤县,jin'xian'xian
金乡县,jin'xiang'xian
金秀瑶族自治县,jin'xiu'yao'zu'zi'zhi'xian
金阳县,jin'yang'xian
晋源区,jin'yuan'qu
缙云县,jin'yun'xian
金寨县,jin'zhai'xian
晋中市,jin'zhong'shi
金州区,jin'zhou'qu
锦州市,jin'zhou'shi
晋州市,jin'zhou'shi
静安区,jing'an'qu
靖安县,jing'an'xian
靖边县,jing'bian'xian
泾川县,jing'chuan'xian
旌德县,jing'de'xian
景德镇市,jing'de'zhen'shi
景东彝族自治县,jing'dong'yi'zu'zi'zhi'xian
井冈山市,jing'gang'shan'shi
景谷傣族彝族自治县,jing'gu'dai'zu'yi'zu'zi'zhi'xian
静海县,jing'hai'xian
精河县,jing'he'xian
景洪市,jing'hong'shi
镜湖区,jing'hu'qu
靖江市,jing'jiang'shi
京口区,jing'kou'qu
静乐县,jing'le'xian
荆门市,jing'men'shi
景宁畲族自治县,jing'ning'she'zu'zi'zhi'xian
静宁县,jing'ning'xian
京山县,jing'shan'xian
景泰县,jing'tai'xian
靖西县,jing'xi'xian
景县,jing'xian
泾县,jing'xian
井陉县,jing'xing'xian
井研县,jing'yan'xian
旌阳区,jing'yang'qu
泾阳县,jing'yang'xian
靖宇县,jing'yu'xian
靖远县,jing'yuan'xian
泾源县,jing'yuan'xian
靖州苗族侗族自治县,jing'zhou'miao'zu'dong'zu'zi'zhi'xian
荆州区,jing'zhou'qu
荆州市,jing'zhou'shi
鸠江区,jiu'jiang'qu
九江市,jiu'jiang'shi
九江县,jiu'jiang'xian
九里区,jiu'li'qu
九龙坡区,jiu'long'po'qu
九龙县,jiu'long'xian
酒泉市,jiu'quan'shi
九台市,jiu'tai'shi
九寨沟县,jiu'zhai'gou'xian
久治县,jiu'zhi'xian
居巢区,ju'chao'qu
巨鹿县,ju'lu'xian
莒南县,ju'nan'xian
句容市,ju'rong'shi
莒县,ju'xian
巨野县,ju'ye'xian
鄄城县,juan'cheng'xian
筠连县,jun'lian'xian
君山区,jun'shan'qu
喀喇沁旗,ka'la'qin'qi
喀喇沁左翼蒙古族自治县,ka'la'qin'zuo'yi'meng'gu'zu'zi'zhi'xian
喀什地区,ka'shi'di'qu
喀什市,ka'shi'shi
开封市,kai'feng'shi
开封县,kai'feng'xian
开福区,kai'fu'qu
开化县,kai'hua'xian
开江县,kai'jiang'xian
凯里市,kai'li'shi
开鲁县,kai'lu'xian
开平区,kai'ping'qu
开平市,kai'ping'shi
开县,kai'xian
开阳县,kai'yang'xian
开远市,kai'yuan'shi
开原市,kai'yuan'shi
康保县,kang'bao'xian
康定县,kang'ding'xian
康乐县,kang'le'xian
康马县,kang'ma'xian
康平县,kang'ping'xian
康县,kang'xian
柯城区,ke'cheng'qu
克东县,ke'dong'xian
科尔沁区,ke'er'qin'qu
科尔沁右翼前旗,ke'er'qin'you'yi'qian'qi
科尔沁右翼中旗,ke'er'qin'you'yi'zhong'qi
科尔沁左翼后旗,ke'er'qin'zuo'yi'hou'qi
科尔沁左翼中旗,ke'er'qin'zuo'yi'zhong'qi
克拉玛依区,ke'la'ma'yi'qu
克拉玛依市,ke'la'ma'yi'shi
岢岚县,ke'lan'xian
柯坪县,ke'ping'xian
克山县,ke'shan'xian
克什克腾旗,ke'shi'ke'teng'qi
克孜勒苏柯尔克孜自治州,ke'zi'le'su'ke'er'ke'zi'zi'zhi'zhou
垦利县,ken'li'xian
崆峒区,kong'tong'qu
库车县,ku'che'xian
库尔勒市,ku'er'le'shi
宽城满族自治县,kuan'cheng'man'zu'zi'zhi'xian
宽城区,kuan'cheng'qu
宽甸满族自治县,kuan'dian'man'zu'zi'zhi'xian
矿区,kuang'qu
奎屯市,kui'tun'shi
奎文区,kui'wen'qu
昆都仑区,kun'du'lun'qu
昆山市,kun'shan'shi
拉萨市,la'sa'shi
拉孜县,la'zi'xian
来安县,lai'an'xian
来宾市,lai'bin'shi
莱城区,lai'cheng'qu
来凤县,lai'feng'xian
莱山区,lai'shan'qu
涞水县,lai'shui'xian
莱芜市,lai'wu'shi
莱西市,lai'xi'shi
莱阳市,lai'yang'shi
涞源县,lai'yuan'xian
莱州市,lai'zhou'shi
澜沧拉祜族自治县,lan'cang'la'hu'zu'zi'zhi'xian
岚皋县,lan'gao'xian
兰考县,lan'kao'xian
兰坪白族普米族自治县,lan'ping'bai'zu'pu'mi'zu'zi'zhi'xian
兰山区,lan'shan'qu
蓝山县,lan'shan'xian
蓝田县,lan'tian'xian
兰溪市,lan'xi'shi
兰西县,lan'xi'xian
岚县,lan'xian
兰州市,lan'zhou'shi
廊坊市,lang'fang'shi
浪卡子县,lang'ka'zi'xian
郎溪县,lang'xi'xian
朗县,lang'xian
琅琊区,lang'ya'qu
阆中市,lang'zhong'shi
老边区,lao'bian'qu
老城区,lao'cheng'qu
老河口市,lao'he'kou'shi
崂山区,lao'shan'qu
乐亭县,lao'ting'xian
乐安县,le'an'xian
乐昌市,le'chang'shi
乐东黎族自治县,le'dong'li'zu'zi'zhi'xian
乐都县,le'du'xian
乐陵市,le'ling'shi
乐平市,le'ping'shi
乐山市,le'shan'shi
乐业县,le'ye'xian
乐至县,le'zhi'xian
雷波县,lei'bo'xian
雷山县,lei'shan'xian
类乌齐县,lei'wu'qi'xian
耒阳市,lei'yang'shi
雷州市,lei'zhou'shi
冷水江市,leng'shui'jiang'shi
冷水滩区,leng'shui'tan'qu
荔波县,li'bo'xian
李沧区,li'cang'qu
荔城区,li'cheng'qu
鲤城区,li'cheng'qu
历城区,li'cheng'qu
黎城县,li'cheng'xian
利川市,li'chuan'shi
黎川县,li'chuan'xian
丽江市,li'jiang'shi
利津县,li'jin'xian
醴陵市,li'ling'shi
黎平县,li'ping'xian
荔蒲县,li'pu'xian
礼泉县,li'quan'xian
立山区,li'shan'qu
离石区,li'shi'qu
梨树区,li'shu'qu
梨树县,li'shu'xian
丽水市,li'shui'shi
溧水县,li'shui'xian
理塘县,li'tang'xian
利通区,li'tong'qu
荔湾区,li'wan'qu
历下区,li'xia'qu
蠡县,li'xian
澧县,li'xian
理县,li'xian
礼县,li'xian
利辛县,li'xin'xian
溧阳市,li'yang'shi
连城县,lian'cheng'xian
莲都区,lian'du'qu
莲湖区,lian'hu'qu
莲花县,lian'hua'xian
廉江市,lian'jiang'shi
连江县,lian'jiang'xian
连南瑶族自治县,lian'nan'yao'zu'zi'zhi'xian
连平县,lian'ping'xian
连山区,lian'shan'qu
连山壮族瑶族自治县,lian'shan'zhuang'zu'yao'zu'zi'zhi'xian
涟水县,lian'shui'xian
涟源市,lian'yuan'shi
连云港市,lian'yun'gang'shi
连云区,lian'yun'qu
连州市,lian'zhou'shi
凉城县,liang'cheng'xian
两当县,liang'dang'xian
梁河县,liang'he'xian
梁平县,liang'ping'xian
梁山县,liang'shan'xian
凉山彝族自治州,liang'shan'yi'zu'zi'zhi'zhou
梁园区,liang'yuan'qu
凉州区,liang'zhou'qu
梁子湖区,liang'zi'hu'qu
聊城市,liao'cheng'shi
辽宁省,liao'ning'sheng
辽阳市,liao'yang'shi
辽阳县,liao'yang'xian
辽源市,liao'yuan'shi
辽中县,liao'zhong'xian
烈山区,lie'shan'qu
临安市,lin'an'shi
临沧市,lin'cang'shi
临城县,lin'cheng'xian
临川区,lin'chuan'qu
林甸县,lin'dian'xian
临汾市,lin'fen'shi
临高县,lin'gao'xian
临桂县,lin'gui'xian
临海市,lin'hai'shi
临河区,lin'he'qu
临江市,lin'jiang'shi
林口县,lin'kou'xian
临澧县,lin'li'xian
临清市,lin'qing'shi
临朐县,lin'qu'xian
临泉县,lin'quan'xian
临沭县,lin'shu'xian
邻水县,lin'shui'xian
临潭县,lin'tan'xian
临洮县,lin'tao'xian
临潼区,lin'tong'qu
临渭区,lin'wei'qu
临武县,lin'wu'xian
临西县,lin'xi'xian
林西县,lin'xi'xian
临夏回族自治州,lin'xia'hui'zu'zi'zhi'zhou
临夏市,lin'xia'shi
临夏县,lin'xia'xian
临县,lin'xian
临翔区,lin'xiang'qu
临湘市,lin'xiang'shi
临沂市,lin'yi'shi
临邑县,lin'yi'xian
临猗县,lin'yi'xian
临颍县,lin'ying'xian
麟游县,lin'you'xian
临泽县,lin'ze'xian
临漳县,lin'zhang'xian
林芝地区,lin'zhi'di'qu
林芝县,lin'zhi'xian
林州市,lin'zhou'shi
林周县,lin'zhou'xian
临淄区,lin'zi'qu
灵宝市,ling'bao'shi
灵璧县,ling'bi'xian
陵川县,ling'chuan'xian
灵川县,ling'chuan'xian
岭东区,ling'dong'qu
凌海市,ling'hai'shi
凌河区,ling'he'qu
灵丘县,ling'qiu'xian
灵山县,ling'shan'xian
灵石县,ling'shi'xian
灵寿县,ling'shou'xian
陵水黎族自治县,ling'shui'li'zu'zi'zhi'xian
灵台县,ling'tai'xian
灵武市,ling'wu'shi
陵县,ling'xian
凌源市,ling'yuan'shi
凌云县,ling'yun'xian
六安市,liu'an'shi
留坝县,liu'ba'xian
柳北区,liu'bei'qu
柳城县,liu'cheng'xian
六合区,liu'he'qu
柳河县,liu'he'xian
柳江县,liu'jiang'xian
柳林县,liu'lin'xian
柳南区,liu'nan'qu
六盘水市,liu'pan'shui'shi
浏阳市,liu'yang'shi
六枝特区,liu'zhi'te'qu
柳州市,liu'zhou'shi
龙安区,long'an'qu
隆安县,long'an'xian
隆昌县,long'chang'xian
龙城区,long'cheng'qu
陇川县,long'chuan'xian
龙川县,long'chuan'xian
隆德县,long'de'xian
龙凤区,long'feng'qu
龙岗区,long'gang'qu
龙港区,long'gang'qu
龙海市,long'hai'shi
龙湖区,long'hu'qu
龙华区,long'hua'qu
隆化县,long'hua'xian
龙江县,long'jiang'xian
龙井市,long'jing'shi
龙口市,long'kou'shi
龙里县,long'li'xian
隆林各族自治县,long'lin'ge'zu'zi'zhi'xian
龙陵县,long'ling'xian
龙马潭区,long'ma'tan'qu
龙门县,long'men'xian
陇南地区,long'nan'di'qu
龙南县,long'nan'xian
龙泉市,long'quan'shi
龙泉驿区,long'quan'yi'qu
龙沙区,long'sha'qu
龙山区,long'shan'qu
龙山县,long'shan'xian
龙胜各族自治县,long'sheng'ge'zu'zi'zhi'xian
龙潭区,long'tan'qu
龙亭区,long'ting'qu
龙湾区,long'wan'qu
龙文区,long'wen'qu
陇西县,long'xi'xian
陇县,long'xian
龙岩市,long'yan'shi
隆阳区,long'yang'qu
隆尧县,long'yao'xian
龙游县,long'you'xian
龙州县,long'zhou'xian
隆子县,long'zi'xian
娄底市,lou'di'shi
娄烦县,lou'fan'xian
娄星区,lou'xing'qu
路北区,lu'bei'qu
鹿城区,lu'cheng'qu
潞城市,lu'cheng'shi
陆川县,lu'chuan'xian
鲁甸县,lu'dian'xian
泸定县,lu'ding'xian
陆丰市,lu'feng'shi
禄丰县,lu'feng'xian
陆河县,lu'he'xian
庐江县,lu'jiang'xian
陆良县,lu'liang'xian
卢龙县,lu'long'xian
路南区,lu'nan'qu
路桥区,lu'qiao'qu
碌曲县,lu'qu'xian
鹿泉市,lu'quan'shi
禄劝彝族苗族自治县,lu'quan'yi'zu'miao'zu'zi'zhi'xian
庐山区,lu'shan'qu
芦山县,lu'shan'xian
鲁山县,lu'shan'xian
卢氏县,lu'shi'xian
泸水县,lu'shui'xian
芦淞区,lu'song'qu
卢湾区,lu'wan'qu
潞西市,lu'xi'shi
芦溪县,lu'xi'xian
泸西县,lu'xi'xian
泸溪县,lu'xi'xian
泸县,lu'xian
庐阳区,lu'yang'qu
鹿邑县,lu'yi'xian
鹿寨县,lu'zhai'xian
泸州市,lu'zhou'shi
栾城县,luan'cheng'xian
栾川县,luan'chuan'xian
滦南县,luan'nan'xian
滦平县,luan'ping'xian
滦县,luan'xian
略阳县,lue'yang'xian
轮台县,lun'tai'xian
萝北县,luo'bei'xian
罗城仫佬族自治县,luo'cheng'mu'lao'zu'zi'zhi'xian
洛川县,luo'chuan'xian
罗甸县,luo'dian'xian
罗定市,luo'ding'shi
漯河市,luo'he'shi
罗湖区,luo'hu'qu
洛江区,luo'jiang'qu
罗江县,luo'jiang'xian
洛龙区,luo'long'qu
洛隆县,luo'long'xian
洛南县,luo'nan'xian
洛宁县,luo'ning'xian
罗平县,luo'ping'xian
洛浦县,luo'pu'xian
罗山县,luo'shan'xian
罗田县,luo'tian'xian
洛阳市,luo'yang'shi
罗源县,luo'yuan'xian
洛扎县,luo'zha'xian
罗庄区,luo'zhuang'qu
绿春县,lv'chun'xian
吕梁市,lv'liang'shi
旅顺口区,lv'shun'kou'qu
绿园区,lv'yuan'qu
马鞍山市,ma'an'shan'shi
马边彝族自治县,ma'bian'yi'zu'zi'zhi'xian
麻城市,ma'cheng'shi
马村区,ma'cun'qu
玛多县,ma'duo'xian
马关县,ma'guan'xian
麻江县,ma'jiang'xian
麻栗坡县,ma'li'po'xian
马龙县,ma'long'xian
玛纳斯县,ma'na'si'xian
玛沁县,ma'qin'xian
玛曲县,ma'qu'xian
麻山区,ma'shan'qu
马山县,ma'shan'xian
马塘区,ma'tang'qu
马尾区,ma'wei'qu
麻阳苗族自治县,ma'yang'miao'zu'zi'zhi'xian
麻章区,ma'zhang'qu
麦盖提县,mai'gai'ti'xian
满城县,man'cheng'xian
满洲里市,man'zhou'li'shi
芒康县,mang'kang'xian
邙山区,mang'shan'qu
茂港区,mao'gang'qu
茅箭区,mao'jian'qu
茂名市,mao'ming'shi
茂南区,mao'nan'qu
茂县,mao'xian
美姑县,mei'gu'xian
梅河口市,mei'he'kou'shi
梅江区,mei'jiang'qu
美兰区,mei'lan'qu
梅里斯达斡尔族区,mei'li'si'da'wo'er'zu'qu
梅列区,mei'lie'qu
眉山市,mei'shan'shi
湄潭县,mei'tan'xian
美溪区,mei'xi'qu
梅县,mei'xian
眉县,mei'xian
梅州市,mei'zhou'shi
门头沟区,men'tou'gou'qu
门源回族自治县,men'yuan'hui'zu'zi'zhi'xian
蒙城县,meng'cheng'xian
孟村回族自治县,meng'cun'hui'zu'zi'zhi'xian
勐海县,meng'hai'xian
孟津县,meng'jin'xian
勐腊县,meng'la'xian
孟连傣族拉祜族佤族自治县,meng'lian'dai'zu'la'hu'zu'wa'zu'zi'zhi'xian
蒙山县,meng'shan'xian
蒙阴县,meng'yin'xian
孟州市,meng'zhou'shi
蒙自县,meng'zi'xian
弥渡县,mi'du'xian
弥勒县,mi'le'xian
米林县,mi'lin'xian
汨罗市,mi'luo'shi
米泉市,mi'quan'shi
密山市,mi'shan'shi
米易县,mi'yi'xian
密云县,mi'yun'xian
米脂县,mi'zhi'xian
渑池县,mian'chi'xian
冕宁县,mian'ning'xian
勉县,mian'xian
绵阳市,mian'yang'shi
绵竹市,mian'zhu'shi
民丰县,min'feng'xian
闵行区,min'hang'qu
民和回族土族自治县,min'he'hui'zu'tu'zu'zi'zhi'xian
闽侯县,min'hou'xian
民乐县,min'le'xian
民勤县,min'qin'xian
闽清县,min'qing'xian
民权县,min'quan'xian
岷县,min'xian
明光市,ming'guang'shi
明山区,ming'shan'qu
名山县,ming'shan'xian
明水县,ming'shui'xian
明溪县,ming'xi'xian
漠河县,mo'he'xian
墨江哈尼族自治县,mo'jiang'ha'ni'zu'zi'zhi'xian
莫力达瓦达斡尔族自治旗,mo'li'da'wa'da'wo'er'zu'zi'zhi'qi
墨脱县,mo'tuo'xian
墨玉县,mo'yu'xian
墨竹工卡县,mo'zhu'gong'ka'xian
牟定县,mou'ding'xian
沐川县,mu'chuan'xian
牡丹江市,mu'dan'jiang'shi
牡丹区,mu'dan'qu
木兰县,mu'lan'xian
木垒哈萨克自治县,mu'lei'ha'sa'ke'zi'zhi'xian
木垒蒙古自治州,mu'lei'meng'gu'zi'zhi'zhou
木里藏族自治县,mu'li'zang'zu'zi'zhi'xian
穆棱市,mu'ling'shi
牟平区,mu'ping'qu
牧野区,mu'ye'qu
那坡县,na'po'xian
那曲地区,na'qu'di'qu
那曲县,na'qu'xian
纳溪区,na'xi'qu
纳雍县,na'yong'xian
乃东县,nai'dong'xian
奈曼旗,nai'man'qi
南岸区,nan'an'qu
南安市,nan'an'shi
南澳县,nan'ao'xian
南部县,nan'bu'xian
南岔区,nan'cha'qu
南长区,nan'chang'qu
南昌市,nan'chang'shi
南昌县,nan'chang'xian
南城县,nan'cheng'xian
南充市,nan'chong'shi
南川市,nan'chuan'shi
南丹县,nan'dan'xian
南芬区,nan'fen'qu
南丰县,nan'feng'xian
南岗区,nan'gang'qu
南宫市,nan'gong'shi
南关区,nan'guan'qu
南海区,nan'hai'qu
南和县,nan'he'xian
南汇区,nan'hui'qu
南涧彝族自治县,nan'jian'yi'zu'zi'zhi'xian
南江县,nan'jiang'xian
南郊区,nan'jiao'qu
南京市,nan'jing'shi
南靖县,nan'jing'xian
南康市,nan'kang'shi
南乐县,nan'le'xian
南陵县,nan'ling'xian
南明区,nan'ming'qu
南木林县,nan'mu'lin'xian
南宁市,nan'ning'shi
南皮县,nan'pi'xian
南票区,nan'piao'qu
南平市,nan'ping'shi
南谯区,nan'qiao'qu
南沙群岛,nan'sha'qun'dao
南山区,nan'shan'qu
南市区,nan'shi'qu
南通市,nan'tong'shi
南溪县,nan'xi'xian
南县,nan'xian
南雄市,nan'xiong'shi
南浔区,nan'xun'qu
南阳市,nan'yang'shi
南岳区,nan'yue'qu
南漳县,nan'zhang'xian
南召县,nan'zhao'xian
南郑县,nan'zheng'xian
囊谦县,nang'qian'xian
讷河市,ne'he'shi
内黄县,nei'huang'xian
内江市,nei'jiang'shi
内蒙古自治区,nei'meng'gu'zi'zhi'qu
内丘县,nei'qiu'xian
内乡县,nei'xiang'xian
嫩江县,nen'jiang'xian
尼勒克县,ni'le'ke'xian
尼玛县,ni'ma'xian
尼木县,ni'mu'xian
碾子山区,nian'zi'shan'qu
聂拉木县,nie'la'mu'xian
聂荣县,nie'rong'xian
宁安市,ning'an'shi
宁波市,ning'bo'shi
宁城县,ning'cheng'xian
宁德市,ning'de'shi
宁都县,ning'du'xian
宁国市,ning'guo'shi
宁海县,ning'hai'xian
宁河县,ning'he'xian
宁化县,ning'hua'xian
宁江区,ning'jiang'qu
宁晋县,ning'jin'xian
宁津县,ning'jin'xian
宁蒗彝族自治县,ning'lang'yi'zu'zi'zhi'xian
宁陵县,ning'ling'xian
宁明县,ning'ming'xian
宁南县,ning'nan'xian
宁强县,ning'qiang'xian
宁陕县,ning'shan'xian
宁武县,ning'wu'xian
宁夏回族自治区,ning'xia'hui'zu'zi'zhi'qu
宁县,ning'xian
宁乡县,ning'xiang'xian
宁阳县,ning'yang'xian
宁远县,ning'yuan'xian
农安县,nong'an'xian
怒江傈僳族自治州,nu'jiang'li'su'zu'zi'zhi'zhou
瓯海区,ou'hai'qu
磐安县,pan'an'xian
潘集区,pan'ji'qu
盘锦市,pan'jin'shi
盘龙区,pan'long'qu
盘山县,pan'shan'xian
磐石市,pan'shi'shi
盘县,pan'xian
番禺区,pan'yu'qu
攀枝花市,pan'zhi'hua'shi
沛县,pei'xian
蓬安县,peng'an'xian
蓬江区,peng'jiang'qu
蓬莱市,peng'lai'shi
彭山县,peng'shan'xian
彭水苗族土家族自治县,peng'shui'miao'zu'tu'jia'zu'zi'zhi'xian
蓬溪县,peng'xi'xian
彭阳县,peng'yang'xian
彭泽县,peng'ze'xian
彭州市,peng'zhou'shi
皮山县,pi'shan'xian
郫县,pi'xian
邳州市,pi'zhou'shi
偏关县,pian'guan'xian
平安县,ping'an'xian
平坝县,ping'ba'xian
屏边苗族自治县,ping'bian'miao'zu'zi'zhi'xian
平昌县,ping'chang'xian
平川区,ping'chuan'qu
平顶山市,ping'ding'shan'shi
平定县,ping'ding'xian
平度市,ping'du'shi
平房区,ping'fang'qu
平谷区,ping'gu'qu
平果县,ping'guo'xian
平和县,ping'he'xian
平江区,ping'jiang'qu
平江县,ping'jiang'xian
平乐县,ping'le'xian
平利县,ping'li'xian
平凉市,ping'liang'shi
平鲁区,ping'lu'qu
平陆县,ping'lu'xian
平罗县,ping'luo'xian
屏南县,ping'nan'xian
平南县,ping'nan'xian
平桥区,ping'qiao'qu
平泉县,ping'quan'xian
平山区,ping'shan'qu
屏山县,ping'shan'xian
平山县,ping'shan'xian
平顺县,ping'shun'xian
平潭县,ping'tan'xian
平塘县,ping'tang'xian
平武县,ping'wu'xian
萍乡市,ping'xiang'shi
凭祥市,ping'xiang'shi
平乡县,ping'xiang'xian
平阳县,ping'yang'xian
平邑县,ping'yi'xian
平阴县,ping'yin'xian
平舆县,ping'yu'xian
平远县,ping'yuan'xian
平原县,ping'yuan'xian
坡头区,po'tou'qu
鄱阳县,po'yang'xian
普安县,pu'an'xian
浦北县,pu'bei'xian
蒲城县,pu'cheng'xian
浦城县,pu'cheng'xian
普定县,pu'ding'xian
浦东新区,pu'dong'xin'qu
普洱哈尼族彝族自治县,pu'er'ha'ni'zu'yi'zu'zi'zhi'xian
普格县,pu'ge'xian
蒲江县,pu'jiang'xian
浦江县,pu'jiang'xian
浦口区,pu'kou'qu
普兰店市,pu'lan'dian'shi
