阿弥驼佛纯,a'mi'tuo'fo'chun
放下万缘起佛号,fang'xia'wan'yuan'qi'fo'hao
非关言语非关文,fei'guan'yan'yu'fei'guan'wen
分别执著有,fen'bie'zhi'zhuo'you
芬芳入万家,fen'fang'ru'wan'jia
奉劝桥上行走人,feng'quan'qiao'shang'xing'zou'ren
风扫亭台灯投影,feng'sao'ting'tai'deng'tou'ying
风雨过后晴空万里,feng'yu'guo'hou'qing'kong'wan'li
风中捉飞花,feng'zhong'zhuo'fei'hua
佛前含笑是我家,fo'qian'han'xiao'shi'wo'jia
佛说是法本平等,fo'shuo'shi'fa'ben'ping'deng
佛音处处心,fo'yin'chu'chu'xin
浮生如茶梦如花,fu'sheng'ru'cha'meng'ru'hua
浮生如茶入我杯,fu'sheng'ru'cha'ru'wo'bei
敢为嫦娥为情故,gan'wei'chang'e'wei'qing'gu
感悟人生磨事多,gan'wu'ren'sheng'mo'shi'duo
鸽子衔枝近人家,ge'zi'xian'zhi'jin'ren'jia
更在向上尺寸间,geng'zai'xiang'shang'chi'cun'jian
孤独斩梦醒十分,gu'du'zhan'meng'xing'shi'fen
广大一性圆,guang'da'yi'xing'yuan
广阔无垠遍天地,guang'kuo'wu'yin'bian'tian'di
过桥是岸莫回头,guo'qiao'shi'an'mo'hui'tou
过隙光阴相戏弄,guo'xi'guang'yin'xiang'xi'nong
还到此中望莲台,hai'dao'ci'zhong'wang'lian'tai
还见悠闲小桥流,hai'jian'you'xian'xiao'qiao'liu
还看今日我辈中,hai'kan'jin'ri'wo'bei'zhong
还需当下自心处,hai'xu'dang'xia'zi'xin'chu
还须努力成,hai'xu'nu'li'cheng
还有同道帮忙修,hai'you'tong'dao'bang'mang'xiu
豪光遍大千,hao'guang'bian'da'qian
何不执弥陀,he'bu'zhi'mi'tuo
何处不是静净处,he'chu'bu'shi'jing'jing'chu
和睦便是缘,he'mu'bian'shi'yuan
何日如轮开眼孔,he'ri'ru'lun'kai'yan'kong
何问觅归途,he'wen'mi'gui'tu
何须望月照无边,he'xu'wang'yue'zhao'wu'bian
黑天阴雨只暂时,hei'tian'yin'yu'zhi'zan'shi
很难得净土,hen'nan'de'jing'tu
横竖三际十方处,heng'shu'san'ji'shi'fang'chu
红尘纷纷成蹉跎,hong'chen'fen'fen'cheng'cuo'tuo
红尘妙音现紫莲,hong'chen'miao'yin'xian'zi'lian
花到开时香四野,hua'dao'kai'shi'xiang'si'ye
花开数枝重,hua'kai'shu'zhi'zhong
花舞轻烟心若飞,hua'wu'qing'yan'xin'ruo'fei
花香飘四野,hua'xiang'piao'si'ye
幻出浮生变灭旋,huan'chu'fu'sheng'bian'mie'xuan
唤取归来住,huan'qu'gui'lai'zhu
黄鹂鸣柳落岸边,huang'li'ming'liu'luo'an'bian
混沌清浊混沌音,hun'dun'qing'zhuo'hun'dun'yin
火中应光有,huo'zhong'ying'guang'you
即到西方界,ji'dao'xi'fang'jie
寂寞花瓣路,ji'mo'hua'ban'lu
既然执着有,ji'ran'zhi'zhuo'you
即是本师处,ji'shi'ben'shi'chu
即是化佛身,ji'shi'hua'fo'shen
记忆无痕心有痕,ji'yi'wu'hen'xin'you'hen
脚踏平川手抬天,jiao'ta'ping'chuan'shou'tai'tian
结束时分亦开始,jie'shu'shi'fen'yi'kai'shi
今有大师圆满解,jin'you'da'shi'yuan'man'jie
经里少欲无为说,jing'li'shao'yu'wu'wei'shuo
净土定能生,jing'tu'ding'neng'sheng
净土何处不如来,jing'tu'he'chu'bu'ru'lai
静心念好本性佛,jing'xin'nian'hao'ben'xing'fo
经雨历霜风,jing'yu'li'shuang'feng
静止流水淡如菊,jing'zhi'liu'shui'dan'ru'ju
静止流水飘动云,jing'zhi'liu'shui'piao'dong'yun
就此怀疑成佛难,jiu'ci'huai'yi'cheng'fo'nan
九品莲台故乡归,jiu'pin'lian'tai'gu'xiang'gui
就如买菜获万金,jiu'ru'mai'cai'huo'wan'jin
就有真爱在,jiu'you'zhen'ai'zai
九月菊花微微抬,jiu'yue'ju'hua'wei'wei'tai
就在尔心深深入,jiu'zai'er'xin'shen'shen'ru
句句唤本觉,ju'ju'huan'ben'jue
绝处逢生转花明,jue'chu'feng'sheng'zhuan'hua'ming
绝望之后是希望,jue'wang'zhi'hou'shi'xi'wang
觉悟世间苦,jue'wu'shi'jian'ku
开黑暗慧灯,kai'hei'an'hui'deng
看破世间空,kan'po'shi'jian'kong
看云,kan'yun
可修可行处,ke'xiu'ke'xing'chu
空中花开水中月,kong'zhong'hua'kai'shui'zhong'yue
空中花色水中月,kong'zhong'hua'se'shui'zhong'yue
口念心行处,kou'nian'xin'xing'chu
口心心亦口,kou'xin'xin'yi'kou
快活当机有主人,kuai'huo'dang'ji'you'zhu'ren
来去皆匆匆,lai'qu'jie'cong'cong
蓝天绿地落白云,lan'tian'lv'di'luo'bai'yun
牢固不怕风,lao'gu'bu'pa'feng
唠唠叨叨草莓酱,lao'lao'dao'dao'cao'mei'jiang
了知上下空无沌,le'zhi'shang'xia'kong'wu'dun
了知无所住,le'zhi'wu'suo'zhu
泪到干时海潮绝,lei'dao'gan'shi'hai'chao'jue
离相定乾坤,li'xiang'ding'qian'kun
莲花处处佛自说,lian'hua'chu'chu'fo'zi'shuo
莲花独放灵光在,lian'hua'du'fang'ling'guang'zai
莲花开处夏意浓,lian'hua'kai'chu'xia'yi'nong
莲花龙女莲台坐,lian'hua'long'nv'lian'tai'zuo
莲台花雨飘丝路,lian'tai'hua'yu'piao'si'lu
了却佛圣也了凡,liao'que'fo'sheng'ye'le'fan
零花遍地转眼花开,ling'hua'bian'di'zhuan'yan'hua'kai
六朝繁盛尽眼收,liu'chao'fan'sheng'jin'yan'shou
琉璃灯前落,liu'li'deng'qian'luo
琉璃灯下树,liu'li'deng'xia'shu
六月玫瑰暗暗香,liu'yue'mei'gui'an'an'xiang
六祖答曰此,liu'zu'da'yue'ci
落泪满面风,luo'lei'man'mian'feng
罗罗嗦嗦草莓汁,luo'luo'suo'suo'cao'mei'zhi
漫随天边也无灭,man'sui'tian'bian'ye'wu'mie
梅花尽处杏花开,mei'hua'jin'chu'xing'hua'kai
梅花岭上追吴主,mei'hua'ling'shang'zhui'wu'zhu
门前红幅飘千里,men'qian'hong'fu'piao'qian'li
梦里看花却非花,meng'li'kan'hua'que'fei'hua
梦是回头醒是家,meng'shi'hui'tou'xing'shi'jia
梦在醒时方知幻,meng'zai'xing'shi'fang'zhi'huan
弥陀见真颜,mi'tuo'jian'zhen'yan
酩酊不知空日用,ming'ding'bu'zhi'kong'ri'yong
明光火中无,ming'guang'huo'zhong'wu
明心见性灯,ming'xin'jian'xing'deng
明月灵光照迷途,ming'yue'ling'guang'zhao'mi'tu
明月清泉凌光耀,ming'yue'qing'quan'ling'guang'yao
明月自在清风落,ming'yue'zi'zai'qing'feng'luo
莫到白发空自老,mo'dao'bai'fa'kong'zi'lao
莫道正觉无觅处,mo'dao'zheng'jue'wu'mi'chu
莫叫失落去,mo'jiao'shi'luo'qu
莫迷路景堕小河,mo'mi'lu'jing'duo'xiao'he
魔王也躲藏,mo'wang'ye'duo'cang
莫谓念佛很简单,mo'wei'nian'fo'hen'jian'dan
莫做外求向外寻,mo'zuo'wai'qiu'xiang'wai'xun
木零如花风姿开,mu'ling'ru'hua'feng'zi'kai
那需向外来寻求,na'xu'xiang'wai'lai'xun'qiu
南海观音甘露泉,nan'hai'guan'yin'gan'lu'quan
念此一句佛,nian'ci'yi'ju'fo
念佛声声是妙画,nian'fo'sheng'sheng'shi'miao'hua
念佛有何益,nian'fo'you'he'yi
念乃心不乱,nian'nai'xin'bu'luan
念念不觉出,nian'nian'bu'jue'chu
念念不绝处,nian'nian'bu'jue'chu
念念常现前,nian'nian'chang'xian'qian
念念心心佛相应,nian'nian'xin'xin'fo'xiang'ying
宁愿我伤心,ning'yuan'wo'shang'xin
努力得净土,nu'li'de'jing'tu
偏偏修者自寻繁,pian'pian'xiu'zhe'zi'xun'fan
品醇一杯铁观音,pin'chun'yi'bei'tie'guan'yin
破地狱猛将,po'di'yu'meng'jiang
婆婆妈妈草莓心,po'po'ma'ma'cao'mei'xin
菩萨好心肠,pu'sa'hao'xin'chang
菩提本无灯,pu'ti'ben'wu'deng
菩提常在智慧心,pu'ti'chang'zai'zhi'hui'xin
菩提净土全了然,pu'ti'jing'tu'quan'liao'ran
菩提深处起慈悲,pu'ti'shen'chu'qi'ci'bei
稽首天外天,qi'shou'tian'wai'tian
七月荷花慢慢出,qi'yue'he'hua'man'man'chu
前看海浪后看波,qian'kan'hai'lang'hou'kan'bo
勤学不辍勤思考,qin'xue'bu'chuo'qin'si'kao
情爱似春风,qing'ai'si'chun'feng
清风飘缘莲花在,qing'feng'piao'yuan'lian'hua'zai
青葛诞节时,qing'ge'dan'jie'shi
清净本来心,qing'jing'ben'lai'xin
清凉无桥心作桥,qing'liang'wu'qiao'xin'zuo'qiao
青鸟飞过天边晴,qing'niao'fei'guo'tian'bian'qing
青鸟飞上莲台坐,qing'niao'fei'shang'lian'tai'zuo
青鸟飘缘莲花在,qing'niao'piao'yuan'lian'hua'zai
轻轻见如来,qing'qing'jian'ru'lai
清清绕涧小桥水,qing'qing'rao'jian'xiao'qiao'shui
情人如烟心如雨,qing'ren'ru'yan'xin'ru'yu
情人如烟烟如丝,qing'ren'ru'yan'yan'ru'si
轻如飞雪飘如沙,qing'ru'fei'xue'piao'ru'sha
青山抬头也看云,qing'shan'tai'tou'ye'kan'yun
青山秀水照心情,qing'shan'xiu'shui'zhao'xin'qing
情欲难舍欲望难,qing'yu'nan'she'yu'wang'nan
情欲难舍欲望难割,qing'yu'nan'she'yu'wang'nan'ge
清浊混沌流水来,qing'zhuo'hun'dun'liu'shui'lai
清浊混沌清浊心,qing'zhuo'hun'dun'qing'zhuo'xin
秋来稻花香四野,qiu'lai'dao'hua'xiang'si'ye
秋去叶更尽,qiu'qu'ye'geng'jin
去无留意来无生,qu'wu'liu'yi'lai'wu'sheng
却是莲台入心茶,que'shi'lian'tai'ru'xin'cha
人间二月芳菲起,ren'jian'er'yue'fang'fei'qi
人间烦恼苦来多,ren'jian'fan'nao'ku'lai'duo
人间万象彩斑斓,ren'jian'wan'xiang'cai'ban'lan
人间万象红尘有,ren'jian'wan'xiang'hong'chen'you
人间万象色彩斑斓,ren'jian'wan'xiang'se'cai'ban'lan
人生八苦苦也苦,ren'sheng'ba'ku'ku'ye'ku
人生苦来多乐少,ren'sheng'ku'lai'duo'le'shao
日落西方印紫霞,ri'luo'xi'fang'yin'zi'xia
日照当头万里无,ri'zhao'dang'tou'wan'li'wu
日照影子无所形,ri'zhao'ying'zi'wu'suo'xing
如此长往解脱无望,ru'ci'chang'wang'jie'tuo'wu'wang
如此长往脱无望,ru'ci'chang'wang'tuo'wu'wang
如梦却是如是真,ru'meng'que'shi'ru'shi'zhen
如日云开终有日,ru'ri'yun'kai'zhong'you'ri
如同流水顺势而下无须用力无须太急,ru'tong'liu'shui'shun'shi'er'xia'wu'xu'yong'li'wu'xu'tai'ji
如无出离心不安,ru'wu'chu'li'xin'bu'an
若见山头半轮月,ruo'jian'shan'tou'ban'lun'yue
若水随风起波随,ruo'shui'sui'feng'qi'bo'sui
若无自信土,ruo'wu'zi'xin'tu
若心无住即是住,ruo'xin'wu'zhu'ji'shi'zhu
若心有住即为非住,ruo'xin'you'zhu'ji'wei'fei'zhu
若欲觅春还寻风,ruo'yu'mi'chun'hai'xun'feng
洒向人间洒向天,sa'xiang'ren'jian'sa'xiang'tian
洒向鸳鸯也洒仙出离心,sa'xiang'yuan'yang'ye'sa'xian'chu'li'xin
三界火宅片难安,san'jie'huo'zhai'pian'nan'an
三界人天眼,san'jie'ren'tian'yan
散向红尘无人知,san'xiang'hong'chen'wu'ren'zhi
三月阳光悄悄来,san'yue'yang'guang'qiao'qiao'lai
三月阳光五月天,san'yue'yang'guang'wu'yue'tian
山本黄枯因春绿,shan'ben'huang'ku'yin'chun'lv
山本青青因秋红,shan'ben'qing'qing'yin'qiu'hong
山登峰顶为看云,shan'deng'feng'ding'wei'kan'yun
山色青青对天歌,shan'se'qing'qing'dui'tian'ge
善缘还是自心出,shan'yuan'hai'shi'zi'xin'chu
上桥求法法来求,shang'qiao'qiu'fa'fa'lai'qiu
伤心痛处天地裂,shang'xin'tong'chu'tian'di'lie
少一份对立对立为友爱之错,shao'yi'fen'dui'li'dui'li'wei'you'ai'zhi'cuo
少一份争执争执因心欲之过,shao'yi'fen'zheng'zhi'zheng'zhi'yin'xin'yu'zhi'guo
少欲烦恼自然少,shao'yu'fan'nao'zi'ran'shao
少欲无为自在人,shao'yu'wu'wei'zi'zai'ren
舍弃一生照苍生,she'qi'yi'sheng'zhao'cang'sheng
身心浮云起,shen'xin'fu'yun'qi
身心自然自在得,shen'xin'zi'ran'zi'zai'de
深院锁清秋,shen'yuan'suo'qing'qiu
生活好坏于一心,sheng'huo'hao'huai'yu'yi'xin
生念却无念,sheng'nian'que'wu'nian
声声入净土,sheng'sheng'ru'jing'tu
生死根本无,sheng'si'gen'ben'wu
生也如是是,sheng'ye'ru'shi'shi
升子忆菩提,sheng'zi'yi'pu'ti
是本性弥陀,shi'ben'xing'mi'tuo
石城虎踞跨江流,shi'cheng'hu'ju'kua'jiang'liu
十方虚空无,shi'fang'xu'kong'wu
实际只要心不乱,shi'ji'zhi'yao'xin'bu'luan
世间一切法,shi'jian'yi'qie'fa
十年学佛不是梦,shi'nian'xue'fo'bu'shi'meng
事情本来很简单,shi'qing'ben'lai'hen'jian'dan
时时不离心,shi'shi'bu'li'xin
世外桃源无别处,shi'wai'tao'yuan'wu'bie'chu
是唯心净土,shi'wei'xin'jing'tu
诗意莲花万朵开,shi'yi'lian'hua'wan'duo'kai
十月稻花飘四海,shi'yue'dao'hua'piao'si'hai
水本无道因山转,shui'ben'wu'dao'yin'shan'zhuan
水本无情为谁流,shui'ben'wu'qing'wei'shui'liu
水看山色天看云,shui'kan'shan'se'tian'kan'yun
水流潺潺笑容来,shui'liu'chan'chan'xiao'rong'lai
寺庙长住佛常在,si'miao'chang'zhu'fo'chang'zai
死也如是是,si'ye'ru'shi'shi
四月春风静静吹,si'yue'chun'feng'jing'jing'chui
随笔随心处,sui'bi'sui'xin'chu
随风轻轻扫大地,sui'feng'qing'qing'sao'da'di
随风如影飞,sui'feng'ru'ying'fei
虽说万念纷纷争,sui'shuo'wan'nian'fen'fen'zheng
随缘随顺全净土,sui'yuan'sui'shun'quan'jing'tu
抬头看云低头天,tai'tou'kan'yun'di'tou'tian
抬眼前方回乡路,tai'yan'qian'fang'hui'xiang'lu
桃花香艳为春开,tao'hua'xiang'yan'wei'chun'kai
提水不用蓝,ti'shui'bu'yong'lan
天地一片明镜色,tian'di'yi'pian'ming'jing'se
天地之间任逍遥,tian'di'zhi'jian'ren'xiao'yao
天外还有九重天,tian'wai'hai'you'jiu'chong'tian
头顶星空身披月,tou'ding'xing'kong'shen'pi'yue
脱生死良方,tuo'sheng'si'liang'fang
万法如幻影,wan'fa'ru'huan'ying
万法现本心,wan'fa'xian'ben'xin
万世出世妙,wan'shi'chu'shi'miao
万事直待成蹉跎,wan'shi'zhi'dai'cheng'cuo'tuo
万象森罗真真切,wan'xiang'sen'luo'zhen'zhen'qie
为除千年黑暗夜,wei'chu'qian'nian'hei'an'ye
为学还是趁今朝,wei'xue'hai'shi'chen'jin'zhao
问君能知否,wen'jun'neng'zhi'fou
温情自在暖人间,wen'qing'zi'zai'nuan'ren'jian
我本寻风不觅春,wo'ben'xun'feng'bu'mi'chun
我预随风风自持,wo'yu'sui'feng'feng'zi'chi
无别他所念,wu'bie'ta'suo'nian
无常迅速前途远,wu'chang'xun'su'qian'tu'yuan
无常又无我,wu'chang'you'wu'wo
无处不紫莲,wu'chu'bu'zi'lian
无量无边德,wu'liang'wu'bian'de
无念无不念,wu'nian'wu'bu'nian
五千大藏髓,wu'qian'da'zang'sui
无事也如是,wu'shi'ye'ru'shi
无相无不相,wu'xiang'wu'bu'xiang
无心阅春风,wu'xin'yue'chun'feng
五信自信主,wu'xin'zi'xin'zhu
无须功来无须力,wu'xu'gong'lai'wu'xu'li
无须千般做他求,wu'xu'qian'ban'zuo'ta'qiu
无意长叹身边事,wu'yi'chang'tan'shen'bian'shi
乌衣巷口燕雀在,wu'yi'xiang'kou'yan'que'zai
无有高下人人同,wu'you'gao'xia'ren'ren'tong
无有谁比谁殊胜,wu'you'shui'bi'shui'shu'sheng
五月细雨轻轻落,wu'yue'xi'yu'qing'qing'luo
五浊恶世闻净土,wu'zhuo'e'shi'wen'jing'tu
昔人问六祖,xi'ren'wen'liu'zu
狭路相逢我为先,xia'lu'xiang'feng'wo'wei'xian
夏前荷中秀,xia'qian'he'zhong'xiu
闲看庭前花开落,xian'kan'ting'qian'hua'kai'luo
闲来无事问青山,xian'lai'wu'shi'wen'qing'shan
小草不言含春色,xiao'cao'bu'yan'han'chun'se
小河流水向东流,xiao'he'liu'shui'xiang'dong'liu
小河杨柳静静垂,xiao'he'yang'liu'jing'jing'chui
小楼为雨听,xiao'lou'wei'yu'ting
小桥流水过家来,xiao'qiao'liu'shui'guo'jia'lai
小桥曲径向东去,xiao'qiao'qu'jing'xiang'dong'qu
潇洒入云登九霄,xiao'sa'ru'yun'deng'jiu'xiao
小塘花枝落,xiao'tang'hua'zhi'luo
斜阳草树开,xie'yang'cao'shu'kai
心本不可行,xin'ben'bu'ke'xing
心本简单繁自扰,xin'ben'jian'dan'fan'zi'rao
心本静来无须静,xin'ben'jing'lai'wu'xu'jing
心本为人幸福有,xin'ben'wei'ren'xing'fu'you
心不妄求何有愁,xin'bu'wang'qiu'he'you'chou
心得解脱万事疏,xin'de'jie'tuo'wan'shi'shu
信能求极乐,xin'neng'qiu'ji'le
心如莲花自在无,xin'ru'lian'hua'zi'zai'wu
心如明灯手捻花,xin'ru'ming'deng'shou'nian'hua
心如知足幸福易,xin'ru'zhi'zu'xing'fu'yi
心若安时万籁寂,xin'ruo'an'shi'wan'lai'ji
心若贪求祸乱到,xin'ruo'tan'qiu'huo'luan'dao
心无谄曲何有忧,xin'wu'chan'qu'he'you'you
心无所欲则刚直,xin'wu'suo'yu'ze'gang'zhi
心无所欲则坦白,xin'wu'suo'yu'ze'tan'bai
心在悟时处处真,xin'zai'wu'shi'chu'chu'zhen
行本不可修,xing'ben'bu'ke'xiu
幸福本来自心有,xing'fu'ben'lai'zi'xin'you
幸福简单乱苦恼,xing'fu'jian'dan'luan'ku'nao
幸福脚步悄悄走,xing'fu'jiao'bu'qiao'qiao'zou
幸福原来在尔边,xing'fu'yuan'lai'zai'er'bian
行脚不在行,xing'jiao'bu'zai'hang
行脚还需落实处,xing'jiao'hai'xu'luo'shi'chu
行脚深处起慈悲,xing'jiao'shen'chu'qi'ci'bei
性命外事多惶恐,xing'ming'wai'shi'duo'huang'kong
行则持名号,xing'ze'chi'ming'hao
修心如执心,xiu'xin'ru'zhi'xin
修心无所心,xiu'xin'wu'suo'xin
修行如执行,xiu'xing'ru'zhi'xing
虚空遍新绿,xu'kong'bian'xin'lv
虚空法界都平等,xu'kong'fa'jie'dou'ping'deng
雪里寻月影,xue'li'xun'yue'ying
眼见便是春时生,yan'jian'bian'shi'chun'shi'sheng
眼前文殊菩提心,yan'qian'wen'shu'pu'ti'xin
杨柳轻摆垂岸枝,yang'liu'qing'bai'chui'an'zhi
扬枝甘露照月沙,yang'zhi'gan'lu'zhao'yue'sha
也来无所心,ye'lai'wu'suo'xin
也明方寸舒,ye'ming'fang'cun'shu
叶飘湖面月落痕,ye'piao'hu'mian'yue'luo'hen
也是非修心,ye'shi'fei'xiu'xin
也是因果缘,ye'shi'yin'guo'yuan
叶子闻香止步走,ye'zi'wen'xiang'zhi'bu'zou
一波才动万波随,yi'bo'cai'dong'wan'bo'sui
一草一木平常心,yi'cao'yi'mu'ping'chang'xin
一花便现一世界,yi'hua'bian'xian'yi'shi'jie
一句弥陀号,yi'ju'mi'tuo'hao
一句名号境,yi'ju'ming'hao'jing
一轮明月照我家,yi'lun'ming'yue'zhao'wo'jia
一念分明是,yi'nian'fen'ming'shi
一念即本怀,yi'nian'ji'ben'huai
一气才和万物春,yi'qi'cai'he'wan'wu'chun
一日春风起,yi'ri'chun'feng'qi
一日同风孤日起,yi'ri'tong'feng'gu'ri'qi
一声定能净土长,yi'sheng'ding'neng'jing'tu'chang
一声弥陀也如此,yi'sheng'mi'tuo'ye'ru'ci
一声弥陀自然留,yi'sheng'mi'tuo'zi'ran'liu
一心若不乱,yi'xin'ruo'bu'luan
一夜寒冷无,yi'ye'han'leng'wu
一叶知秋风知月,yi'ye'zhi'qiu'feng'zhi'yue
一朝顿悟转乾坤,yi'zhao'dun'wu'zhuan'qian'kun
引人入胜难填欲,yin'ren'ru'sheng'nan'tian'yu
引人入胜难填欲望,yin'ren'ru'sheng'nan'tian'yu'wang
音若起时却雷鸣,yin'ruo'qi'shi'que'lei'ming
因缘殊胜本难得,yin'yuan'shu'sheng'ben'nan'de
英雄也有流泪时,ying'xiong'ye'you'liu'lei'shi
有事也如是,you'shi'ye'ru'shi
有心开花花不开无心看心心自来,you'xin'kai'hua'hua'bu'kai'wu'xin'kan'xin'xin'zi'lai
有心却在无心时,you'xin'que'zai'wu'xin'shi
欲爱惰轮回,yu'ai'duo'lun'hui
鱼沉海底待龙门,yu'chen'hai'di'dai'long'men
雨打芭蕉点蔷薇,yu'da'ba'jiao'dian'qiang'wei
遇贱即贵逢低高,yu'jian'ji'gui'feng'di'gao
雨思大地春自来,yu'si'da'di'chun'zi'lai
羽衣霓裳云为线,yu'yi'ni'chang'yun'wei'xian
缘不空有心相印,yuan'bu'kong'you'xin'xiang'yin
缘生缘灭空,yuan'sheng'yuan'mie'kong
原是佛说在莲台,yuan'shi'fo'shuo'zai'lian'tai
愿则离娑婆,yuan'ze'li'suo'po
云本无路因峰回,yun'ben'wu'lu'yin'feng'hui
云聚云散因风落,yun'ju'yun'san'yin'feng'luo
云卷云疏云翻滚,yun'juan'yun'shu'yun'fan'gun
云下春风一片绿,yun'xia'chun'feng'yi'pian'lv
怎怕自心累根尘,zen'pa'zi'xin'lei'gen'chen
窄缝点点不容针,zhai'feng'dian'dian'bu'rong'zhen
斩群邪宝剑,zhan'qun'xie'bao'jian
只见身边处,zhi'jian'shen'bian'chu
