案件审理股,an'jian'shen'li'gu
税收征管,shui'shou'zheng'guan
税收征管信息系统,shui'shou'zheng'guan'xin'xi'xi'tong
税收证件,shui'shou'zheng'jian
税收证明,shui'shou'zheng'ming
税收制度,shui'shou'zhi'du
税务处理,shui'wu'chu'li
税务登记,shui'wu'deng'ji
税务登记部,shui'wu'deng'ji'bu
税务登记证,shui'wu'deng'ji'zheng
税务分局,shui'wu'fen'ju
税务公告,shui'wu'gong'gao
税务稽查证,shui'wu'ji'cha'zheng
税务机关,shui'wu'ji'guan
税务检查证,shui'wu'jian'cha'zheng
税务认定,shui'wu'ren'ding
税务申请,shui'wu'shen'qing
税务事项通知书,shui'wu'shi'xiang'tong'zhi'shu
税务所,shui'wu'suo
税务行政处罚,shui'wu'xing'zheng'chu'fa
税务行政性收费,shui'wu'xing'zheng'xing'shou'fei
税务行政许可,shui'wu'xing'zheng'xu'ke
税一股,shui'yi'gu
税源二股,shui'yuan'er'gu
税源二组,shui'yuan'er'zu
税源管理,shui'yuan'guan'li
税源管理二股,shui'yuan'guan'li'er'gu
税源管理股,shui'yuan'guan'li'gu
税源管理三股,shui'yuan'guan'li'san'gu
税源管理一股,shui'yuan'guan'li'yi'gu
税源三股,shui'yuan'san'gu
税源一股,shui'yuan'yi'gu
税源一组,shui'yuan'yi'zu
税证号码,shui'zheng'hao'ma
税制,shui'zhi
税种,shui'zhong
税种补录,shui'zhong'bu'lu
税种登记,shui'zhong'deng'ji
税种核定,shui'zhong'he'ding
四份,si'fen
司机组,si'ji'zu
四联,si'lian
四小票,si'xiao'piao
送达回证,song'da'hui'zheng
所得税科,suo'de'shui'ke
所得税前扣除,suo'de'shui'qian'kou'chu
逃税,tao'shui
特殊纳税人,te'shu'na'shui'ren
填开金额,tian'kai'jin'e
填开税额,tian'kai'shui'e
填用,tian'yong
填用作废,tian'yong'zuo'fei
停复业登记,ting'fu'ye'deng'ji
停业处理,ting'ye'chu'li
停业申请,ting'ye'shen'qing
停业通知书,ting'ye'tong'zhi'shu
停业信息,ting'ye'xin'xi
统一发票,tong'yi'fa'piao
通用查询,tong'yong'cha'xun
偷税,tou'shui
团委副书记,tuan'wei'fu'shu'ji
退票,tui'piao
退税,tui'shui
退税审批,tui'shui'shen'pi
退税申请,tui'shui'shen'qing
外出经营,wai'chu'jing'ying
外国居民,wai'guo'ju'min
外汇核销单,wai'hui'he'xiao'dan
完税凭证,wan'shui'ping'zheng
完税证,wan'shui'zheng
万位,wan'wei
万元,wan'yuan
万元版,wan'yuan'ban
往来收据,wang'lai'shou'ju
网上申报,wang'shang'shen'bao
违法违章处理,wei'fa'wei'zhang'chu'li
违法违章户,wei'fa'wei'zhang'hu
委托代征,wei'tuo'dai'zheng
文秘组,wen'mi'zu
文书传递,wen'shu'chuan'di
文书打印,wen'shu'da'yin
文书登记,wen'shu'deng'ji
文书登记岗,wen'shu'deng'ji'gang
文书回退,wen'shu'hui'tui
文书流转,wen'shu'liu'zhuan
文书审批,wen'shu'shen'pi
文书受理,wen'shu'shou'li
文书受理岗,wen'shu'shou'li'gang
文书送达回证,wen'shu'song'da'hui'zheng
文书通知书,wen'shu'tong'zhi'shu
文书销号,wen'shu'xiao'hao
文书作废,wen'shu'zuo'fei
文印室,wen'yin'shi
文字版,wen'zi'ban
五份,wu'fen
五联,wu'lian
无证户,wu'zheng'hu
无证户登记,wu'zheng'hu'deng'ji
系统整合,xi'tong'zheng'he
限缴,xian'jiao
限缴税款,xian'jiao'shui'kuan
现金票证汇总,xian'jin'piao'zheng'hui'zong
县局,xian'ju
限时办结,xian'shi'ban'jie
消费税,xiao'fei'shui
消费税纳税人,xiao'fei'shui'na'shui'ren
销号,xiao'hao
销售发票,xiao'shou'fa'piao
销售收入,xiao'shou'shou'ru
销项税额,xiao'xiang'shui'e
协查,xie'cha
信息补录,xin'xi'bu'lu
信息中心,xin'xi'zhong'xin
信息组,xin'xi'zu
行政效能,xing'zheng'xiao'neng
行政许可,xing'zheng'xu'ke
行政组,xing'zheng'zu
修理发票,xiu'li'fa'piao
修理行业,xiu'li'hang'ye
修理行业发票,xiu'li'hang'ye'fa'piao
选案股,xuan'an'gu
选案组,xuan'an'zu
宣传组,xuan'chuan'zu
验旧,yan'jiu
验旧供新,yan'jiu'gong'xin
验旧换新,yan'jiu'huan'xin
验旧结果,yan'jiu'jie'guo
验旧日期,yan'jiu'ri'qi
验旧信息维护,yan'jiu'xin'xi'wei'hu
延期纳税,yan'qi'na'shui
延期申报,yan'qi'shen'bao
验审,yan'shen
验审员,yan'shen'yuan
业务组,ye'wu'zu
业主,ye'zhu
一次性告知书,yi'ci'xing'gao'zhi'shu
依法治税,yi'fa'zhi'shui
一联,yi'lian
以票控税,yi'piao'kong'shui
一式,yi'shi
一式二份,yi'shi'er'fen
一式两份,yi'shi'liang'fen
一式六份,yi'shi'liu'fen
一式三份,yi'shi'san'fen
一式四份,yi'shi'si'fen
一式五份,yi'shi'wu'fen
以税控票,yi'shui'kong'piao
亿元,yi'yuan
亿元版,yi'yuan'ban
银行扣款,yin'hang'kou'kuan
印花税,yin'hua'shui
印花税票,yin'hua'shui'piao
印章印模,yin'zhang'yin'mo
印制,yin'zhi
营改增,ying'gai'zeng
应纳税额,ying'na'shui'e
应用系统管理组,ying'yong'xi'tong'guan'li'zu
优化流程,you'hua'liu'cheng
邮寄申报,you'ji'shen'bao
预缴税款,yu'jiao'shui'kuan
逾期未缴销,yu'qi'wei'jiao'xiao
预收款,yu'shou'kuan
预算级次,yu'suan'ji'ci
预算科目,yu'suan'ke'mu
月报表,yue'bao'biao
再就业优惠,zai'jiu'ye'you'hui
再就业优惠政策,zai'jiu'ye'you'hui'zheng'ce
责令限改,ze'ling'xian'gai
增值税发票,zeng'zhi'shui'fa'piao
增值税纳税人,zeng'zhi'shui'na'shui'ren
增值税普通发票,zeng'zhi'shui'pu'tong'fa'piao
增值税暂行条例,zeng'zhi'shui'zan'xing'tiao'li
增值税专用发票,zeng'zhi'shui'zhuan'yong'fa'piao
粘贴簿,zhan'tie'bu
政策法规科,zheng'ce'fa'gui'ke
正常填开,zheng'chang'tian'kai
征管处,zheng'guan'chu
征管股,zheng'guan'gu
征管科,zheng'guan'ke
征管软件,zheng'guan'ruan'jian
征管水平,zheng'guan'shui'ping
征管系统,zheng'guan'xi'tong
征管效率,zheng'guan'xiao'lv
征管信息,zheng'guan'xin'xi
证件重打,zheng'jian'chong'da
证件发放,zheng'jian'fa'fang
证件号码,zheng'jian'hao'ma
证件缴销,zheng'jian'jiao'xiao
征收方式,zheng'shou'fang'shi
征收股,zheng'shou'gu
征收管理,zheng'shou'guan'li
征收管理股,zheng'shou'guan'li'gu
征收环节,zheng'shou'huan'jie
征收监控,zheng'shou'jian'kong
征收效率,zheng'shou'xiao'lv
支付凭证,zhi'fu'ping'zheng
止号,zhi'hao
滞纳金,zhi'na'jin
滞纳金加收率,zhi'na'jin'jia'shou'lv
执行查询,zhi'xing'cha'xun
执行股,zhi'xing'gu
执行文书,zhi'xing'wen'shu
执行组,zhi'xing'zu
终止号码,zhong'zhi'hao'ma
注册地址,zhu'ce'di'zhi
注销登记,zhu'xiao'deng'ji
注销户,zhu'xiao'hu
注销纳税人,zhu'xiao'na'shui'ren
注销审批,zhu'xiao'shen'pi
注销申请,zhu'xiao'shen'qing
注销通知书,zhu'xiao'tong'zhi'shu
专票,zhuan'piao
专用发票,zhuan'yong'fa'piao
专用缴款书,zhuan'yong'jiao'kuan'shu
专用收据,zhuan'yong'shou'ju
自查补报,zi'cha'bu'bao
自印,zi'yin
自印发票,zi'yin'fa'piao
自印收购发票,zi'yin'shou'gou'fa'piao
资源税,zi'yuan'shui
自治区国家税务局,zi'zhi'qu'guo'jia'shui'wu'ju
自治区国税局,zi'zhi'qu'guo'shui'ju
自治区局,zi'zhi'qu'ju
综合查询,zong'he'cha'xun
综合股,zong'he'gu
综合管理组,zong'he'guan'li'zu
综合受理部,zong'he'shou'li'bu
综合受理岗,zong'he'shou'li'gang
综合选案股,zong'he'xuan'an'gu
综合业务股,zong'he'ye'wu'gu
综合业务组,zong'he'ye'wu'zu
综合组,zong'he'zu
走逃户,zou'tao'hu
组织机构代码证,zu'zhi'ji'gou'dai'ma'zheng
座落地址,zuo'luo'di'zhi
