阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿琼堪布,a'qiong'kan'bu
阿曲尊者,a'qu'zun'zhe
阿柔仓洛桑隆多丹贝坚赞,a'rou'cang'luo'sang'long'duo'dan'bei'jian'zan
阿僧祇,a'seng'qi
阿僧祇劫,a'seng'qi'jie
阿沙基,a'sha'ji
阿少兔楼驮,a'shao'tu'lou'tuo
阿阇梨,a'she'li
阿阇黎俱俱黎波,a'she'li'ju'ju'li'bo
阿阇黎龙树,a'she'li'long'shu
阿阇黎毗流波,a'she'li'pi'liu'bo
阿阇黎深意,a'she'li'shen'yi
阿阇黎行者,a'she'li'xing'zhe
阿阇世,a'she'shi
阿阇世王,a'she'shi'wang
阿湿波,a'shi'bo
阿湿波国,a'shi'bo'guo
阿氏多尊者,a'shi'duo'zun'zhe
阿首咖,a'shou'ka
阿输迦树,a'shu'jia'shu
阿说示,a'shuo'shi
阿私陀仙,a'si'tuo'xian
阿苏罗,a'su'luo
阿蘇罗,a'su'luo
阿娑缚抄,a'suo'fu'chao
阿特曼,a'te'man
阿秃师,a'tu'shi
阿屯,a'tun
阿陀那识,a'tuo'na'shi
阿王老藏,a'wang'lao'cang
阿旺洛桑,a'wang'luo'sang
阿旺洛桑丹巴坚赞,a'wang'luo'sang'dan'ba'jian'zan
阿旺罗桑丹白坚赞,a'wang'luo'sang'dan'bai'jian'zan
阿旺洛桑丹贝坚赞,a'wang'luo'sang'dan'bei'jian'zan
阿旺罗珠宗美,a'wang'luo'zhu'zong'mei
阿旺曲培,a'wang'qu'pei
阿旺云登桑布法王,a'wang'yun'deng'sang'bu'fa'wang
阿旺扎巴,a'wang'zha'ba
阿尾奢法,a'wei'she'fa
阿惟越致,a'wei'yue'zhi
阿悉多伽那,a'xi'duo'jia'na
阿修罗,a'xiu'luo
阿修罗道,a'xiu'luo'dao
阿修罗界,a'xiu'luo'jie
阿修罗王,a'xiu'luo'wang
阿修罗战,a'xiu'luo'zhan
阿逸多,a'yi'duo
阿逸多菩萨,a'yi'duo'pu'sa
阿诣罗,a'yi'luo
阿由多,a'you'duo
阿踰陀国,a'yu'tuo'guo
阿育王,a'yu'wang
阿育王参礼优波鞠多,a'yu'wang'can'li'you'bo'ju'duo
阿育王法勒,a'yu'wang'fa'le
阿育王经,a'yu'wang'jing
阿育王寺,a'yu'wang'si
阿育王塔,a'yu'wang'ta
阿育王息坏目因缘经,a'yu'wang'xi'huai'mu'yin'yuan'jing
阿育王造塔缘起,a'yu'wang'zao'ta'yuan'qi
阿咤力教,a'zha'li'jiao
阿渣雅移喜杨,a'zha'ya'yi'xi'yang
阿旃陀石窟,a'zhan'tuo'shi'ku
阿知活佛略传,a'zhi'huo'fo'lue'zhuan
阿专师,a'zhuan'shi
阿卓基,a'zhuo'ji
阿字本不生,a'zi'ben'bu'sheng
阿字布心,a'zi'bu'xin
阿字观,a'zi'guan
阿字七义,a'zi'qi'yi
阿字数息观,a'zi'shu'xi'guan
阿字五转,a'zi'wu'zhuan
阿宗江嘎仁波切,a'zong'jiang'ga'ren'bo'qie
阿宗珠巴仁波切土丹白玛逞列,a'zong'zhu'ba'ren'bo'qie'tu'dan'bai'ma'cheng'lie
阿宗珠巴卓兑巴沃多杰,a'zong'zhu'ba'zhuo'dui'ba'wo'duo'jie
阿足师,a'zu'shi
爱道,ai'dao
爱缚,ai'fu
哎嘎匝哲,ai'ga'za'zhe
哀公问,ai'gong'wen
哀公问社於宰我,ai'gong'wen'she'yu'zai'wo
哀公问於有若曰,ai'gong'wen'yu'you'ruo'yue
哀公曰,ai'gong'yue
爱国寺念佛堂,ai'guo'si'nian'fo'tang
矮国王,ai'guo'wang
爱护性,ai'hu'xing
爱见,ai'jian
爱见大悲,ai'jian'da'bei
爱结,ai'jie
爱厥妃,ai'jue'fei
埃勒凡达岛,ai'le'fan'da'dao
爱力,ai'li
艾略特,ai'lue'te
爱论,ai'lun
艾罗拉石窟,ai'luo'la'shi'ku
爱民,ai'min
唉那达里,ai'na'da'li
爱取,ai'qu
爱染明王,ai'ran'ming'wang
爱人,ai'ren
爱人者,ai'ren'zhe
爱同四,ai'tong'si
爱无寻差,ai'wu'xun'cha
爱系,ai'xi
爱行,ai'xing
爱欲,ai'yu
爱语,ai'yu
爱语摄,ai'yu'she
哀哉,ai'zai
艾泽顿,ai'ze'dun
爱之,ai'zhi
爱执,ai'zhi
爱之歌,ai'zhi'ge
爱知学院大学,ai'zhi'xue'yuan'da'xue
爱著,ai'zhu
安柏克博士,an'bai'ke'bo'shi
安般守意,an'ban'shou'yi
安贝卡,an'bei'ka
安禅那,an'chan'na
安禅师,an'chan'shi
岸禅师,an'chan'shi
安澄,an'cheng
案达罗国,an'da'luo'guo
案达派,an'da'pai
安呾罗缚国,an'dan'luo'fu'guo
安闍那林,an'du'na'lin
安多政教多,an'duo'zheng'jiao'duo
谙法皆空,an'fa'jie'kong
安法钦,an'fa'qin
安国,an'guo
安国寺,an'guo'si
安国兴国寺,an'guo'xing'guo'si
安含,an'han
安慧,an'hui
安徽东华山普慧禅寺,an'hui'dong'hua'shan'pu'hui'chan'si
安徽淮南白塔寺,an'hui'huai'nan'bai'ta'si
安徽淮南弘法慈善功德会,an'hui'huai'nan'hong'fa'ci'shan'gong'de'hui
安徽淮南上窑古观音寺,an'hui'huai'nan'shang'yao'gu'guan'yin'si
安徽怀宁福慧寺,an'hui'huai'ning'fu'hui'si
安徽省安庆市灵山寺,an'hui'sheng'an'qing'shi'ling'shan'si
安徽省阜阳市东狱禅寺,an'hui'sheng'fu'yang'shi'dong'yu'chan'si
安徽省阜阳市東狱禅寺,an'hui'sheng'fu'yang'shi'dong'yu'chan'si
安徽省阜阳市颍州西湖铁佛寺,an'hui'sheng'fu'yang'shi'ying'zhou'xi'hu'tie'fo'si
安徽省淮南市弘法堂,an'hui'sheng'huai'nan'shi'hong'fa'tang
安徽省南陵县千佛禅寺,an'hui'sheng'nan'ling'xian'qian'fo'chan'si
安慧则,an'hui'ze
暗极则光,an'ji'ze'guang
案剑,an'jian
安见方六七十,an'jian'fang'liu'qi'shi
安静,an'jing
安居,an'ju
安居竟,an'ju'jing
安克迭都培龙,an'ke'die'dou'pei'long
安可解,an'ke'jie
安可久长也,an'ke'jiu'chang'ye
安乐国,an'le'guo
安乐行院,an'le'hang'yuan
安乐集,an'le'ji
安乐净土,an'le'jing'tu
安乐寿院,an'le'shou'yuan
安乐寺,an'le'si
安立,an'li
安立推理,an'li'tui'li
安廪,an'lin
安廪法师,an'lin'fa'shi
安令首,an'ling'shou
安流传授纪要,an'liu'chuan'shou'ji'yao
鞍马寺,an'ma'si
庵没罗园,an'mei'luo'yuan
菴没罗园,an'mei'luo'yuan
安民,an'min
庵摩罗识,an'mo'luo'shi
安尼伯森夫人,an'ni'bo'sen'fu'ren
安平泰,an'ping'tai
安其居,an'qi'ju
安期生,an'qi'sheng
安清,an'qing
安然,an'ran
安忍,an'ren
安忍波罗蜜多,an'ren'bo'luo'mi'duo
案山吉道,an'shan'ji'dao
安身立本,an'shen'li'ben
安生塑真容菩萨,an'sheng'su'zhen'rong'pu'sa
安世高,an'shi'gao
安世高大师,an'shi'gao'da'shi
安受苦忍,an'shou'ku'ren
安顺妙法禅寺,an'shun'miao'fa'chan'si
安藤俊雄,an'teng'jun'xiong
安土宗论,an'tu'zong'lun
安陀会,an'tuo'hui
安无倾,an'wu'qing
安吴四种,an'wu'si'zhong
安熙,an'xi
安息国,an'xi'guo
安息沙门昙谛,an'xi'sha'men'tan'di
安息香,an'xi'xiang
安县飞鸣禅院,an'xian'fei'ming'chan'yuan
安详的心,an'xiang'de'xin
安祥寺,an'xiang'si
安心,an'xin
安心超行,an'xin'chao'xing
安心决定钞,an'xin'jue'ding'chao
安性乐命,an'xing'le'ming
安玄,an'xuan
安雅衮丹雅,an'ya'gun'dan'ya
安雅袞丹雅,an'ya'gun'dan'ya
安养抄,an'yang'chao
安养集,an'yang'ji
安阳沮渠侯,an'yang'ju'qu'hou
安养寺,an'yang'si
安永,an'yong
安元,an'yuan
庵元禅师,an'yuan'chan'shi
安远庙,an'yuan'miao
安岳了悟,an'yue'liao'wu
安乐律,an'yue'lv
安乐律院,an'yue'lv'yuan
安岳磨崖佛像,an'yue'mo'ya'fo'xiang
腤臜,an'za
安宅神咒经,an'zhai'shen'zhou'jing
安章竹巴,an'zhang'zhu'ba
案兆察迹,an'zhao'cha'ji
案之无下,an'zhi'wu'xia
案之亦无下,an'zhi'yi'wu'xia
安住何处,an'zhu'he'chu
鞍作鸟,an'zuo'niao
盎嘎,ang'ga
昂旺敦振,ang'wang'dun'zhen
昂旺朗吉堪布,ang'wang'lang'ji'kan'bu
奡盪舟,ao'dang'zhou
奥伏赫变,ao'fu'he'bian
奥俱啰那陀,ao'ju'luo'na'tuo
奥义书,ao'yi'shu
八瓣莲花,ba'ban'lian'hua
八辈,ba'bei
八背舍,ba'bei'she
八辩,ba'bian
八变化,ba'bian'hua
罢兵休卒,ba'bing'xiu'zu
八不,ba'bu
八部鬼众,ba'bu'gui'zhong
八不净,ba'bu'jing
八不净物,ba'bu'jing'wu
八不可越,ba'bu'ke'yue
八不显实,ba'bu'xian'shi
八不正观,ba'bu'zheng'guan
八不正见,ba'bu'zheng'jian
八部众,ba'bu'zhong
八不中道,ba'bu'zhong'dao
八不中观,ba'bu'zhong'guan
巴操尼玛札,ba'cao'ni'ma'zha
巴查巴,ba'cha'ba
巴察贡巴,ba'cha'gong'ba
八缠,ba'chan
八重,ba'chong
八触,ba'chu
拔出公忠之属而无阿私,ba'chu'gong'zhong'zhi'shu'er'wu'a'si
八除入,ba'chu'ru
八大,ba'da
八大地狱,ba'da'di'yu
吧大叫怕,ba'da'jiao'pa
八大金刚,ba'da'jin'gang
巴达利,ba'da'li
巴嗒厘子,ba'da'li'zi
八大灵塔,ba'da'ling'ta
八大灵塔梵赞,ba'da'ling'ta'fan'zan
八大灵塔名号经,ba'da'ling'ta'ming'hao'jing
八大龙王,ba'da'long'wang
巴达弥,ba'da'mi
八大明王,ba'da'ming'wang
八大奈落,ba'da'nai'luo
八大菩萨,ba'da'pu'sa
八大菩萨法,ba'da'pu'sa'fa
八大菩萨曼荼罗经,ba'da'pu'sa'man'tu'luo'jing
八大菩萨传记,ba'da'pu'sa'zhuan'ji
八大人觉经,ba'da'ren'jue'jing
八大山人,ba'da'shan'ren
八大童子,ba'da'tong'zi
八大辛苦,ba'da'xin'ku
八大夜叉,ba'da'ye'cha
八大自在我,ba'da'zi'zai'wo
巴丹闍梨,ba'dan'du'li
巴丹巿,ba'dan'fu
八倒,ba'dao
巴德拉巴夫,ba'de'la'ba'fu
巴帝摩卡,ba'di'mo'ka
八地菩萨,ba'di'pu'sa
八颠倒,ba'dian'dao
八定,ba'ding
八段,ba'duan
八段五篇,ba'duan'wu'pian
拔队得胜,ba'dui'de'sheng
八堕,ba'duo
巴尔夫,ba'er'fu
巴尔拉姆与乔萨发特,ba'er'la'mu'yu'qiao'sa'fa'te
八法,ba'fa
八梵,ba'fan
八幡大菩萨,ba'fan'da'pu'sa
八分斋戒,ba'fen'zhai'jie
八风,ba'feng
八风吹不动,ba'feng'chui'bu'dong
八风吹不动一屁过江来,ba'feng'chui'bu'dong'yi'pi'guo'jiang'lai
八风任吹动,ba'feng'ren'chui'dong
八佛,ba'fo
八福生处,ba'fu'sheng'chu
八福田,ba'fu'tian
八干,ba'gan
巴格石窟,ba'ge'shi'ku
八供,ba'gong
八功德水,ba'gong'de'shui
八功德水想,ba'gong'de'shui'xiang
吧古喇,ba'gu'la
八关会,ba'guan'hui
八关斋戒,ba'guan'zhai'jie
八海,ba'hai
八寒八热,ba'han'ba're
八寒地狱,ba'han'di'yu
拔乎其萃,ba'hu'qi'cui
巴壶天,ba'hu'tian
巴壶天居士,ba'hu'tian'ju'shi
八会,ba'hui
八秽,ba'hui
巴吉帝亚,ba'ji'di'ya
八吉祥经,ba'ji'xiang'jing
八吉祥颂,ba'ji'xiang'song
巴迦巴帝苟答弥,ba'jia'ba'di'gou'da'mi
八憍,ba'jiao
八教,ba'jiao
八戒,ba'jie
八解脱,ba'jie'tuo
八戒斋,ba'jie'zhai
八节斋,ba'jie'zhai
八戒斋八种胜法,ba'jie'zhai'ba'zhong'sheng'fa
八敬法,ba'jing'fa
八敬戒,ba'jing'jie
八句义,ba'ju'yi
八觉,ba'jue
八苦,ba'ku
拔苦,ba'ku
巴拉基嘎,ba'la'ji'ga
巴拉密,ba'la'mi
巴拉纳西,ba'la'na'xi
巴朗达,ba'lang'da
巴里岛,ba'li'dao
巴利律藏,ba'li'lv'cang
巴利圣典协会,ba'li'sheng'dian'xie'hui
巴利语,ba'li'yu
巴利语佛典,ba'li'yu'fo'dian
巴林右旗荟福寺,ba'lin'you'qi'hui'fu'si
巴路特,ba'lu'te
八轮,ba'lun
巴玛旺嘉,ba'ma'wang'jia
八慢,ba'man
把门关好,ba'men'guan'hao
八迷,ba'mi
巴米扬石窟,ba'mi'yang'shi'ku
八魔,ba'mo
拔目鸟,ba'mu'niao
巴拿哈,ba'na'ha
八难,ba'nan
八念,ba'nian
八弃,ba'qi
跋祇国,ba'qi'guo
八千枚护摩供,ba'qian'mei'hu'mo'gong
八热地狱,ba're'di'yu
八忍,ba'ren
八忍八智,ba'ren'ba'zhi
巴戎巴达玛旺秀,ba'rong'ba'da'ma'wang'xiu
巴赛囊,ba'sai'nang
巴桑希译师,ba'sang'xi'yi'shi
拔舌地狱,ba'she'di'yu
八神变,ba'shen'bian
八圣,ba'sheng
八胜处,ba'sheng'chu
八圣道,ba'sheng'dao
八圣道分,ba'sheng'dao'fen
八圣吉祥祈请文,ba'sheng'ji'xiang'qi'qing'wen
八圣吉祥颂,ba'sheng'ji'xiang'song
八石,ba'shi
八识,ba'shi
八十八佛,ba'shi'ba'fo
八十八品见惑,ba'shi'ba'pin'jian'huo
八十八使,ba'shi'ba'shi
八十八祖道影传赞,ba'shi'ba'zu'dao'ying'chuan'zan
八识二无我,ba'shi'er'wu'wo
八世风,ba'shi'feng
八识规矩颂,ba'shi'gui'ju'song
八十劫以后,ba'shi'jie'yi'hou
八十九心,ba'shi'jiu'xin
八识聚,ba'shi'ju
八十诵律,ba'shi'song'lv
八十随形好,ba'shi'sui'xing'hao
八识体别,ba'shi'ti'bie
八识体一,ba'shi'ti'yi
八识田,ba'shi'tian
八识心王,ba'shi'xin'wang
八十一品思惑,ba'shi'yi'pin'si'huo
八十种好,ba'shi'zhong'hao
把手放下来,ba'shou'fang'xia'lai
八思巴,ba'si'ba
八思巴洛哲坚赞,ba'si'ba'luo'zhe'jian'zan
八思巴文字,ba'si'ba'wen'zi
巴特那,ba'te'na
八天,ba'tian
跋陀罗尊者,ba'tuo'luo'zun'zhe
巴哇希,ba'wa'xi
八万次,ba'wan'ci
八万大劫,ba'wan'da'jie
八万法门,ba'wan'fa'men
八万法藏,ba'wan'fa'zang
八万四千,ba'wan'si'qian
八万四千病,ba'wan'si'qian'bing
八万四千尘劳,ba'wan'si'qian'chen'lao
八万四千法门,ba'wan'si'qian'fa'men
八万四千光明,ba'wan'si'qian'guang'ming
八万四千劳尘,ba'wan'si'qian'lao'chen
八万四千相好,ba'wan'si'qian'xiang'hao
八万威仪,ba'wan'wei'yi
八万细行,ba'wan'xi'xing
八万总持门,ba'wan'zong'chi'men
八妄想,ba'wang'xiang
八味,ba'wei
八未曾有,ba'wei'ceng'you
八位胎藏,ba'wei'tai'cang
八惟无,ba'wei'wu
把握机缘,ba'wo'ji'yuan
拔希,ba'xi
巴西佛教,ba'xi'fo'jiao
把溪寺,ba'xi'si
八仙宫,ba'xian'gong
吧县官,ba'xian'guan
八相,ba'xiang
八相成道,ba'xiang'cheng'dao
八邪,ba'xie
巴协,ba'xie
巴谢那地,ba'xie'na'di
八叶九尊,ba'ye'jiu'zun
八叶莲花,ba'ye'lian'hua
八叶莲华观,ba'ye'lian'hua'guan
八叶莲台,ba'ye'lian'tai
八叶肉团心,ba'ye'rou'tuan'xin
八叶印,ba'ye'yin
八叶院,ba'ye'yuan
八叶中台,ba'ye'zhong'tai
八叶中尊,ba'ye'zhong'zun
八佾舞於庭,ba'yi'wu'yu'ting
八音,ba'yin
八游行,ba'you'xing
八圆,ba'yuan
八月桂花层层开,ba'yue'gui'hua'ceng'ceng'kai
八月十四日余卧病博山寺中,ba'yue'shi'si'ri'yu'wo'bing'bo'shan'si'zhong
八灾患,ba'zai'huan
巴札力巴,ba'zha'li'ba
八遮,ba'zhe
八折诵经,ba'zhe'song'jing
八正,ba'zheng
八正道,ba'zheng'dao
八智,ba'zhi
八支甘露心要祕密教授续,ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu
八支甘露心要秘密教授续,ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu
八指头陀,ba'zhi'tou'tuo
八指头陀诗集,ba'zhi'tou'tuo'shi'ji
巴支汪朱,ba'zhi'wang'zhu
巴支星叽,ba'zhi'xing'ji
巴支移喜,ba'zhi'yi'xi
八支瑜伽,ba'zhi'yu'jia
八支斋,ba'zhi'zhai
八种别解脱戒,ba'zhong'bie'jie'tuo'jie
八种法,ba'zhong'fa
八种谬,ba'zhong'miu
八种胜法,ba'zhong'sheng'fa
八种事,ba'zhong'shi
八种施,ba'zhong'shi
八中洲,ba'zhong'zhou
巴宙,ba'zhou
霸州市净心佛堂,ba'zhou'shi'jing'xin'fo'tang
霸州市龙泉禅寺,ba'zhou'shi'long'quan'chan'si
把住,ba'zhu
霸诸侯,ba'zhu'hou
巴珠仁波且,ba'zhu'ren'bo'qie
八转声,ba'zhuan'sheng
八字文殊菩萨,ba'zi'wen'shu'pu'sa
八宗,ba'zong
八宗纲要,ba'zong'gang'yao
八祖佛陀密多尊者,ba'zu'fo'tuo'mi'duo'zun'zhe
八祖佛陀难提传法伏驮蜜多,ba'zu'fo'tuo'nan'ti'chuan'fa'fu'tuo'mi'duo
八祖佛陀难提尊者,ba'zu'fo'tuo'nan'ti'zun'zhe
八祖左溪尊者玄朗,ba'zu'zuo'xi'zun'zhe'xuan'lang
白庵金禅师,bai'an'jin'chan'shi
百八,bai'ba
百八烦恼,bai'ba'fan'nao
百八结业,bai'ba'jie'ye
百八三昧,bai'ba'san'mei
百八塔,bai'ba'ta
百八钟,bai'ba'zhong
白报,bai'bao
拜忏,bai'chan
百代同道,bai'dai'tong'dao
白度母咒,bai'du'mu'zhou
白法,bai'fa
百法,bai'fa
白法黑法,bai'fa'hei'fa
百法明门,bai'fa'ming'men
白法天尊,bai'fa'tian'zun
百法五位,bai'fa'wu'wei
拜佛,bai'fo
百福庄严,bai'fu'zhuang'yan
百福庄严相,bai'fu'zhuang'yan'xiang
白狗黑,bai'gou'hei
白古,bai'gu
百官总己以听於冢宰三年,bai'guan'zong'ji'yi'ting'yu'zhong'zai'san'nian
百光遍照王,bai'guang'bian'zhao'wang
白国因由,bai'guo'yin'you
百骸,bai'hai
白毫,bai'hao
捭阖术,bai'he'shu
白黑论,bai'hei'lun
白虎通,bai'hu'tong
白虎通义,bai'hu'tong'yi
百即百生,bai'ji'bai'sheng
百济观音,bai'ji'guan'yin
百劫,bai'jie
百界,bai'jie
百界千如,bai'jie'qian'ru
白居易居士,bai'ju'yi'ju'shi
白居易问禅,bai'ju'yi'wen'chan
百苦,bai'ku
白乐天,bai'le'tian
百里奚自鬻於秦养牲者,bai'li'xi'zi'yu'yu'qin'yang'sheng'zhe
白莲花传,bai'lian'hua'chuan
白莲社,bai'lian'she
白莲宗,bai'lian'zong
百灵庙,bai'ling'miao
白龙,bai'long
白龙城,bai'long'cheng
白鹿洞书院,bai'lu'dong'shu'yuan
白鹿洞书院讲义,bai'lu'dong'shu'yuan'jiang'yi
白鹿洞书院揭示,bai'lu'dong'shu'yuan'jie'shi
白露横江,bai'lu'heng'jiang
百论,bai'lun
百论疏,bai'lun'shu
白玛邓登,bai'ma'deng'deng
白马非马,bai'ma'fei'ma
白马论,bai'ma'lun
白玛曲英乔达尔尊者,bai'ma'qu'ying'qiao'da'er'zun'zhe
白马寺,bai'ma'si
百衲衣,bai'na'yi
百年而後崩,bai'nian'er'hou'beng
百年一梦,bai'nian'yi'meng
白牛,bai'niu
百千万劫,bai'qian'wan'jie
百千万劫难遭遇,bai'qian'wan'jie'nan'zao'yu
白伞盖佛顶,bai'san'gai'fo'ding
白色白光,bai'se'bai'guang
白沙集,bai'sha'ji
白沙学派,bai'sha'xue'pai
白沙子全集,bai'sha'zi'quan'ji
白少傅,bai'shao'fu
白圣,bai'sheng
白圣法师,bai'sheng'fa'shi
百乘之家,bai'sheng'zhi'jia
白石生,bai'shi'sheng
百松,bai'song
百颂诗集,bai'song'shi'ji
百岁宫,bai'sui'gong
白塔寺,bai'ta'si
百塔寺,bai'ta'si
白檀,bai'tan
柏万安之母曹氏,bai'wan'an'zhi'mu'cao'shi
百万塔陀罗尼,bai'wan'ta'tuo'luo'ni
百味具足,bai'wei'ju'zu
百味饮食,bai'wei'yin'shi
白文殊咒,bai'wen'shu'zhou
百屋禅师清珙,bai'wu'chan'shi'qing'gong
拜下,bai'xia
白夏瓦,bai'xia'wa
白心,bai'xin
百姓日用即道,bai'xing'ri'yong'ji'dao
百姓日用之学,bai'xing'ri'yong'zhi'xue
百姓足,bai'xing'zu
白虚通德论,bai'xu'tong'de'lun
白崖宝生,bai'ya'bao'sheng
白崖山无住禅师,bai'ya'shan'wu'zhu'chan'shi
柏岩禅师,bai'yan'chan'shi
白杨法顺禅师,bai'yang'fa'shun'chan'shi
白杨顺禅师,bai'yang'shun'chan'shi
白羊寺,bai'yang'si
白业,bai'ye
百业经,bai'ye'jing
白衣,bai'yi
百一供身,bai'yi'gong'shen
白衣观音,bai'yi'guan'yin
白衣观音灵感真言,bai'yi'guan'yin'ling'gan'zhen'yan
百一物,bai'yi'wu
百一众具,bai'yi'zhong'ju
白隐禅师,bai'yin'chan'shi
白隐慧鹤,bai'yin'hui'he
白玉蟾,bai'yu'chan
百喻经,bai'yu'jing
拜愿,bai'yuan
百源学派,bai'yuan'xue'pai
白月,bai'yue
白云,bai'yun
白云禅师智度,bai'yun'chan'shi'zhi'du
白云度公,bai'yun'du'gong
白云端禅师,bai'yun'duan'chan'shi
白云高飞丹顶鹤,bai'yun'gao'fei'dan'ding'he
白云花,bai'yun'hua
白云慧晓,bai'yun'hui'xiao
白云霁,bai'yun'ji
白云寂照明首座,bai'yun'ji'zhao'ming'shou'zuo
白云孔清觉,bai'yun'kong'qing'jue
白云绕山鸟自飞,bai'yun'rao'shan'niao'zi'fei
白云守端禅师,bai'yun'shou'duan'chan'shi
白云子祥,bai'yun'zi'xiang
白云宗,bai'yun'zong
柏斋集,bai'zhai'ji
百丈,bai'zhang
百丈丛林清规,bai'zhang'cong'lin'qing'gui
百丈道恒,bai'zhang'dao'heng
百丈海禅师,bai'zhang'hai'chan'shi
百丈怀海禅师,bai'zhang'huai'hai'chan'shi
百丈清规证义记,bai'zhang'qing'gui'zheng'yi'ji
百丈山怀海禅师,bai'zhang'shan'huai'hai'chan'shi
百丈野狐,bai'zhang'ye'hu
百丈野鸭子,bai'zhang'ye'ya'zi
百丈珍禅师,bai'zhang'zhen'chan'shi
百丈政,bai'zhang'zheng
白昼飞升,bai'zhou'fei'sheng
百转千回何人解,bai'zhuan'qian'hui'he'ren'jie
百字碑,bai'zi'bei
百字论,bai'zi'lun
百字明,bai'zi'ming
百字明修法,bai'zi'ming'xiu'fa
颁白者不负戴于道路矣,ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi
