爱咋咋去,ai'za'za'qu
没意思很,mei'yi'si'hen
美原,mei'yuan
美原镇,mei'yuan'zhen
美着里,mei'zhe'li
孟塬,meng'yuan
庙前,miao'qian
馍菜,mo'cai
木连,mu'lian
木乱的,mu'luan'de
那的朋友,na'de'peng'you
那个女娃,na'ge'nv'wa
那个娃,na'ge'wa
那还美,na'hai'mei
那你现在弄啥,na'ni'xian'zai'nong'sha
那女娃,na'nv'wa
那我就来了,na'wo'jiu'lai'le
乃必须,nai'bi'xu
乃打,nai'da
乃对,nai'dui
乃还,nai'hai
乃就,nai'jiu
乃就好,nai'jiu'hao
乃就是,nai'jiu'shi
乃你,nai'ni
乃你就,nai'ni'jiu
乃你来,nai'ni'lai
乃你忙,nai'ni'mang
乃你说,nai'ni'shuo
乃求的,nai'qiu'de
奶山羊,nai'shan'yang
乃说,nai'shuo
乃算了,nai'suan'le
乃咋,nai'za
乃怎么,nai'zen'me
南韩,nan'han
难很,nan'hen
难看很,nan'kan'hen
难受很,nan'shou'hen
难受太,nan'shou'tai
南营,nan'ying
能认得,neng'ren'de
能行木,neng'xing'mu
你比了,ni'bi'le
你不乏,ni'bu'fa
你到不是,ni'dao'bu'shi
你得是,ni'dei'shi
你都不害怕,ni'dou'bu'hai'pa
你都么,ni'dou'me
你乏,ni'fa
你乏不,ni'fa'bu
你乏了,ni'fa'le
你干撒里,ni'gan'sa'li
你干啥里,ni'gan'sha'li
你高低,ni'gao'di
你还没办,ni'hai'mei'ban
你来渭南,ni'lai'wei'nan
你老汉,ni'lao'han
你老汉呢,ni'lao'han'ne
你妈问怎么上班,ni'ma'wen'zen'me'shang'ban
你忙很,ni'mang'hen
你么看,ni'me'kan
你么上班,ni'me'shang'ban
你么在,ni'me'zai
你牛皮,ni'niu'pi
你弄撒,ni'nong'sa
你弄啥呢,ni'nong'sha'ne
你片,ni'pian
你去西安,ni'qu'xi'an
你人不行,ni'ren'bu'xing
你日你妈,ni'ri'ni'ma
你撒时,ni'sa'shi
你是渭南,ni'shi'wei'nan
你谁么,ni'shui'me
你睡起来了,ni'shui'qi'lai'le
你渭南,ni'wei'nan
你屋人,ni'wu'ren
你袖子,ni'xiu'zi
你也早早睡,ni'ye'zao'zao'shui
你一个在家,ni'yi'ge'zai'jia
你在房子,ni'zai'fang'zi
你在渭南,ni'zai'wei'nan
你在西,ni'zai'xi
你在西安,ni'zai'xi'an
年穿,nian'chuan
年给我,nian'gei'wo
年过得好,nian'guo'de'hao
年说,nian'shuo
弄撒,nong'sa
弄撒里,nong'sa'li
弄撒呢,nong'sa'ne
弄啥里,nong'sha'li
弄什么里,nong'shen'me'li
弄什么呢,nong'shen'me'ne
弄所,nong'suo
女娃,nv'wa
女子娃,nv'zi'wa
爬华山,pa'hua'shan
屁里,pi'li
屁死,pi'si
屁远,pi'yuan
片哈,pian'ha
片会,pian'hui
片来,pian'lai
片呢,pian'ne
谝一会,pian'yi'hui
漂亮很,piao'liang'hen
平路庙,ping'lu'miao
凭信,ping'xin
坡底,po'di
破烦很,po'fan'hen
婆合,po'he
坡头,po'tou
坡头镇,po'tou'zhen
蒲白,pu'bai
蒲城,pu'cheng
蒲城吧,pu'cheng'ba
蒲城的,pu'cheng'de
蒲城东,pu'cheng'dong
蒲城了,pu'cheng'le
蒲城人,pu'cheng'ren
蒲城贴吧,pu'cheng'tie'ba
蒲城县,pu'cheng'xian
普照路,pu'zhao'lu
齐村,qi'cun
洽川,qia'chuan
前半天,qian'ban'tian
羌白,qiang'bai
羌白镇,qiang'bai'zhen
强保,qiang'bao
桥南镇,qiao'nan'zhen
桥山,qiao'shan
秦川牛,qin'chuan'niu
秦东,qin'dong
亲很,qin'hen
秦家,qin'jia
秦岭,qin'ling
亲女子,qin'nv'zi
秦腔,qin'qiang
亲太,qin'tai
轻工市场,qing'gong'shi'chang
求可,qiu'ke
去韩城,qu'han'cheng
去合阳,qu'he'yang
去渭南,qu'wei'nan
去西安,qu'xi'an
去西安了,qu'xi'an'le
热很,re'hen
热太,re'tai
热太太,re'tai'tai
人多很,ren'duo'hen
人多太,ren'duo'tai
人家娃,ren'jia'wa
瑞泉,rui'quan
瑞泉中学,rui'quan'zhong'xue
三合乡,san'he'xiang
三马路,san'ma'lu
三星村,san'xing'cun
桑树坪,sang'shu'ping
啥人嘛,sha'ren'ma
陕化,shan'hua
陕煤,shan'mei
陕煤化,shan'mei'hua
陕铁院,shan'tie'yuan
陕西的,shan'xi'de
陕西韩城,shan'xi'han'cheng
陕西省合阳县,shan'xi'sheng'he'yang'xian
陕西省渭南市,shan'xi'sheng'wei'nan'shi
陕西渭南,shan'xi'wei'nan
陕西信合,shan'xi'xin'he
商芳会,shang'fang'hui
上华山,shang'hua'shan
上网里,shang'wang'li
上王乡,shang'wang'xiang
伤心很,shang'xin'hen
上夜机,shang'ye'ji
少华山,shao'hua'shan
社话,she'hua
什么里,shen'me'li
剩哈,sheng'ha
盛世金华,sheng'shi'jin'hua
石槽,shi'cao
势大,shi'da
事多很,shi'duo'hen
史官,shi'guan
实惠超市,shi'hui'chao'shi
世纪新村,shi'ji'xin'cun
石可,shi'ke
事情好,shi'qing'hao
石羊,shi'yang
舒服很,shu'fu'hen
帅很,shuai'hen
爽很,shuang'hen
双泉,shuang'quan
双泉镇,shuang'quan'zhen
双王,shuang'wang
双元,shuang'yuan
睡得美,shui'de'mei
谁满,shui'man
谁说谎了,shui'shuo'huang'le
说美了,shuo'mei'le
斯得雅,si'de'ya
四季恋歌,si'ji'lian'ge
四马路,si'ma'lu
司马庙,si'ma'miao
司马小区,si'ma'xiao'qu
寺前,si'qian
四十米,si'shi'mi
怂式子,song'shi'zi
苏村,su'cun
苏坊,su'fang
苏坊镇,su'fang'zhen
碎女子,sui'nv'zi
碎戏,sui'xi
孙镇,sun'zhen
所时候,suo'shi'hou
太了,tai'le
太史大街,tai'shi'da'jie
太史园,tai'shi'yuan
台台,tai'tai
太要,tai'yao
潭马村,tan'ma'cun
讨厌很,tao'yan'hen
陶艺村,tao'yi'cun
疼很,teng'hen
疼太,teng'tai
潼关,tong'guan
潼关的,tong'guan'de
潼关了,tong'guan'le
潼关县,tong'guan'xian
同家庄,tong'jia'zhuang
同州,tong'zhou
同州路,tong'zhou'lu
头疼很,tou'teng'hen
娃睡了,wa'shui'le
外货,wai'huo
外甩,wai'shuai
王村,wang'cun
王村矿,wang'cun'kuang
王村镇,wang'cun'zhen
王洪文,wang'hong'wen
王寮,wang'liao
王寮镇,wang'liao'zhen
渭北,wei'bei
渭高,wei'gao
渭河,wei'he
渭化,wei'hua
韦林,wei'lin
韦林镇,wei'lin'zhen
渭南,wei'nan
渭南啊,wei'nan'a
渭南北,wei'nan'bei
渭南的,wei'nan'de
渭南电视台,wei'nan'dian'shi'tai
渭南高级中学,wei'nan'gao'ji'zhong'xue
渭南了,wei'nan'le
渭南吗,wei'nan'ma
渭南哪的,wei'nan'na'de
渭南呢,wei'nan'ne
渭南人,wei'nan'ren
渭南日报,wei'nan'ri'bao
渭南市,wei'nan'shi
渭南师范,wei'nan'shi'fan
渭南师范学院,wei'nan'shi'fan'xue'yuan
渭南天气,wei'nan'tian'qi
渭南烟草,wei'nan'yan'cao
渭清路,wei'qing'lu
为什麽啊,wei'shen'mo'a
为所,wei'suo
韦庄,wei'zhuang
问你个话,wen'ni'ge'hua
我班娃,wo'ban'wa
我乏,wo'fa
我乏的,wo'fa'de
我乏很,wo'fa'hen
我乏了,wo'fa'le
我给娃,wo'gei'wa
我和娃,wo'he'wa
我伙,wo'huo
我伙计,wo'huo'ji
我困很,wo'kun'hen
我邻家,wo'lin'jia
我难受很,wo'nan'shou'hen
我去西安,wo'qu'xi'an
我撒时,wo'sa'shi
我陕西,wo'shan'xi
我是你建华,wo'shi'ni'jian'hua
我是渭南的,wo'shi'wei'nan'de
我渭南,wo'wei'nan
我屋人,wo'wu'ren
我在房子,wo'zai'fang'zi
我在富平,wo'zai'fu'ping
我在韩城,wo'zai'han'cheng
我在合阳,wo'zai'he'yang
我在蒲城,wo'zai'pu'cheng
我在陕西,wo'zai'shan'xi
我在渭南,wo'zai'wei'nan
武家,wu'jia
五里铺,wu'li'pu
无聊很,wu'liao'hen
无聊太,wu'liao'tai
西安医学院,xi'an'yi'xue'yuan
西二路,xi'er'lu
西固镇,xi'gu'zhen
西库道,xi'ku'dao
西六路,xi'liu'lu
西南京路,xi'nan'jing'lu
西三路,xi'san'lu
西四路,xi'si'lu
西潼路,xi'tong'lu
西五路,xi'wu'lu
西一路,xi'yi'lu
西原,xi'yuan
西岳庙,xi'yue'miao
西寨,xi'zhai
西庄,xi'zhuang
西庄镇,xi'zhuang'zhen
西卓,xi'zhuo
下吉,xia'ji
下吉镇,xia'ji'zhen
下苦,xia'ku
下苦的,xia'ku'de
下峪口,xia'yu'kou
下寨,xia'zhai
县上,xian'shang
翔村,xiang'cun
翔村乡,xiang'cun'xiang
乡党,xiang'dang
香很,xiang'hen
香山路,xiang'shan'lu
象山中学,xiang'shan'zhong'xue
响石盖,xiang'shi'gai
笑屁里,xiao'pi'li
新城办,xin'cheng'ban
新池,xin'chi
新池镇,xin'chi'zhen
信达广场,xin'da'guang'chang
新盛路,xin'sheng'lu
辛市镇,xin'shi'zhen
幸福城,xing'fu'cheng
行门户,xing'men'hu
行木,xing'mu
兴镇,xing'zhen
羞先人,xiu'xian'ren
许庄,xu'zhuang
许庄镇,xu'zhuang'zhen
宣化路,xuan'hua'lu
学不动,xue'bu'dong
薛曲,xue'qu
薛镇,xue'zhen
寻事,xun'shi
杨发盈,yang'fa'ying
阳光超市,yang'guang'chao'shi
阳郭镇,yang'guo'zhen
杨家庄,yang'jia'zhuang
羊肉泡,yang'rou'pao
阳山庄,yang'shan'zhuang
尧柏,yao'bai
尧禾,yao'he
尧禾镇,yao'he'zhen
尧山,yao'shan
尧山路,yao'shan'lu
尧山中学,yao'shan'zhong'xue
尧头,yao'tou
尧头镇,yao'tou'zhen
耀县,yao'xian
尧中,yao'zhong
也就是的,ye'jiu'shi'de
咦哒哒,yi'da'da
一个女娃,yi'ge'nv'wa
一会片,yi'hui'pian
一马路,yi'ma'lu
一取,yi'qu
迤山,yi'shan
迤山中学,yi'shan'zhong'xue
一叶无心,yi'ye'wu'xin
怡泽园,yi'ze'yuan
盈田,ying'tian
盈田村,ying'tian'cun
永丰镇,yong'feng'zhen
有病里,you'bing'li
尤河,you'he
有情天,you'qing'tian
禹甸园,yu'dian'yuan
育红,yu'hong
玉华宫,yu'hua'gong
玉泉院,yu'quan'yuan
原任,yuan'ren
原上,yuan'shang
晕很,yun'hen
在白水,zai'bai'shui
在大荔,zai'da'li
在房子,zai'fang'zi
在富平,zai'fu'ping
在韩城,zai'han'cheng
在合阳,zai'he'yang
在华山,zai'hua'shan
在华县,zai'hua'xian
在华阴,zai'hua'yin
在么在,zai'me'zai
在你房子,zai'ni'fang'zi
在片,zai'pian
在蒲城,zai'pu'cheng
在陕西,zai'shan'xi
再剩,zai'sheng
在潼关,zai'tong'guan
在渭南,zai'wei'nan
在我房子,zai'wo'fang'zi
在县上,zai'xian'shang
昝村,zan'cun
昝村镇,zan'cun'zhen
灶房,zao'fang
早机,zao'ji
贼贼贼,zei'zei'zei
怎么里,zen'me'li
怎么甚好,zen'me'shen'hao
摘花椒,zhai'hua'jiao
摘椒,zhai'jiao
站北路,zhan'bei'lu
站南,zhan'nan
张桥镇,zhang'qiao'zhen
找不哈,zhao'bu'ha
招商区,zhao'shang'qu
朝阳大街,zhao'yang'da'jie
赵庄,zhao'zhuang
赵庄镇,zhao'zhuang'zhen
挣不哈,zheng'bu'ha
芝川,zhi'chuan
芝川镇,zhi'chuan'zhen
芝阳,zhi'yang
芝阳镇,zhi'yang'zhen
重泉路,zhong'quan'lu
种完了吗,zhong'wan'le'ma
朱家河,zhu'jia'he
庄里镇,zhuang'li'zhen
状元街,zhuang'yuan'jie
孜然夹馍,zi'ran'jia'mo
子一路,zi'yi'lu
最后哭着说再见,zui'hou'ku'zhe'shuo'zai'jian
