阿赖耶识,a'lai'ye'shi
天耳通,tian'er'tong
天然真火,tian'ran'zhen'huo
天竺国按摩法,tian'zhu'guo'an'mo'fa
调身,tiao'shen
调息,tiao'xi
调息四相,tiao'xi'si'xiang
调心,tiao'xin
调行聚控变阴阳先后乘,tiao'xing'ju'kong'bian'yin'yang'xian'hou'cheng
通臂拳,tong'bi'quan
通灵彻视,tong'ling'che'shi
瞳色青光,tong'se'qing'guang
通神路,tong'shen'lu
童子长寿九步功,tong'zi'chang'shou'jiu'bu'gong
吐纳,tu'na
吞气,tun'qi
外物,wai'wu
万法归一,wan'fa'gui'yi
顽空,wan'kong
王气,wang'qi
王昱璇,wang'yu'xuan
未漏者,wei'lou'zhe
卫气,wei'qi
卫生三戒,wei'sheng'san'jie
唯识,wei'shi
未央术,wei'yang'shu
我执,wo'zhi
五不漏,wu'bu'lou
武当,wu'dang
五龙盘体,wu'long'pan'ti
五龙蛰法,wu'long'zhe'fa
无明,wu'ming
无始无终,wu'shi'wu'zhong
鹜行气法,wu'xing'qi'fa
无形无象,wu'xing'wu'xiang
五养,wu'yang
无欲,wu'yu
五脏神名,wu'zang'shen'ming
五贼,wu'zei
习定,xi'ding
膝跪足面,xi'gui'zu'mian
惜气,xi'qi
袭前,xi'qian
洗五脏,xi'wu'zang
息息归根,xi'xi'gui'gen
噏月精,xi'yue'jing
下德,xia'de
心定之法,xin'ding'zhi'fa
心境通,xin'jing'tong
行禅,xing'chan
形传,xing'chuan
性功,xing'gong
性命合一,xing'ming'he'yi
性命双修,xing'ming'shuang'xiu
性命圆通,xing'ming'yuan'tong
行气玉铭,xing'qi'yu'ming
形神庄,xing'shen'zhuang
形松意充,xing'song'yi'chong
形意拳,xing'yi'quan
熊戏,xiong'xi
修城廓,xiu'cheng'kuo
修持,xiu'chi
修昆仑,xiu'kun'lun
修天庭,xiu'tian'ting
虚静,xu'jing
嘘吸,xu'xi
玄白术,xuan'bai'zhu
玄鉴导引法,xuan'jian'dao'yin'fa
悬前,xuan'qian
旋伸,xuan'shen
眼耳鼻舌身,yan'er'bi'she'shen
雁行气法,yan'hang'qi'fa
咽津,yan'jin
延陵君炼气法,yan'ling'jun'lian'qi'fa
延年九转法,yan'nian'jiu'zhuan'fa
咽唾,yan'tuo
宴息,yan'xi
严新气功,yan'xin'qi'gong
严新生命科技,yan'xin'sheng'ming'ke'ji
偃仰之方,yan'yang'zhi'fang
咽液,yan'ye
养和,yang'he
阳见,yang'jian
养静,yang'jing
养内,yang'nei
养神养形,yang'shen'yang'xing
养生十六宜,yang'sheng'shi'liu'yi
养生五难,yang'sheng'wu'nan
养外,yang'wai
养形,yang'xing
摇肱,yao'gong
遥视,yao'shi
摇天柱,yao'tian'zhu
遥听,yao'ting
一不当,yi'bu'dang
以德为本,yi'de'wei'ben
一法一术,yi'fa'yi'shu
一门,yi'men
意念致动,yi'nian'zhi'dong
以气引形,yi'qi'yin'xing
意识力,yi'shi'li
意识致动,yi'shi'zhi'dong
意守,yi'shou
抑喜养阳,yi'xi'yang'yang
以形引气,yi'xing'yin'qi
以意引气,yi'yi'yin'qi
意元体,yi'yuan'ti
以众为亲,yi'zhong'wei'qin
以众为师,yi'zhong'wei'shi
引腜,yin'mei
引胒,yin'ni
引气,yin'qi
引肾,yin'shen
引阳,yin'yang
引阳筋,yin'yang'jin
引阴,yin'yin
营活城廓,ying'huo'cheng'kuo
营气,ying'qi
迎气,ying'qi
映象,ying'xiang
甬莫,yong'mo
有形有象,you'xing'you'xiang
有志之士,you'zhi'zhi'shi
语烦侵气,yu'fan'qin'qi
瑜珈,yu'jia
元精,yuan'jing
元门运气,yuan'men'yun'qi
元泉,yuan'quan
元神,yuan'shen
猿戏,yuan'xi
运动水土,yun'dong'shui'tu
熨目,yun'mu
允执厥中,yun'zhi'jue'zhong
脏真,zang'zhen
则比,ze'bi
增息,zeng'xi
站功,zhan'gong
占位,zhan'wei
站庄,zhan'zhuang
张果服气法,zhang'guo'fu'qi'fa
折阴,zhe'yin
真金鼎,zhen'jin'ding
真静,zhen'jing
真境界,zhen'jing'jie
真景象,zhen'jing'xiang
真念,zhen'nian
真七返,zhen'qi'fan
真铅真汞,zhen'qian'zhen'gong
真人起居法,zhen'ren'qi'ju'fa
真胎息,zhen'tai'xi
真妄相攻,zhen'wang'xiang'gong
真息,zhen'xi
真性命,zhen'xing'ming
真坐,zhen'zuo
正心,zheng'xin
征诸,zheng'zhu
止观,zhi'guan
止观法,zhi'guan'fa
制检还魄,zhi'jian'hai'po
智能功,zhi'neng'gong
智能气功,zhi'neng'qi'gong
治万病坐功诀,zhi'wan'bing'zuo'gong'jue
智照层面,zhi'zhao'ceng'mian
重道,zhong'dao
重德为本,zhong'de'wei'ben
中宫,zhong'gong
中脉,zhong'mai
众生皆有佛性,zhong'sheng'jie'you'fo'xing
转腰涮胯,zhuan'yao'shuan'kua
自按摩法,zi'an'mo'fa
综言之,zong'yan'zhi
组场,zu'chang
祖宫,zu'gong
祖气,zu'qi
祖炁,zu'qi
左洞真经按摩导引诀,zuo'dong'zhen'jing'an'mo'dao'yin'jue
坐引,zuo'yin
