阿儿厮兰,a'er'si'lan
花剌子模,hua'la'zi'mu
桓肃皇帝,huan'su'huang'di
皇太子,huang'tai'zi
即大汗位,ji'da'han'wei
即帝位,ji'di'wei
即立,ji'li
即位后,ji'wei'hou
即位前,ji'wei'qian
即位于,ji'wei'yu
即位诏,ji'wei'zhao
加封,jia'feng
加强法治,jia'qiang'fa'zhi
建国号为,jian'guo'hao'wei
建国号诏,jian'guo'hao'zhao
监国景襄皇帝,jian'guo'jing'xiang'huang'di
建立明朝,jian'li'ming'chao
简平皇帝,jian'ping'huang'di
建元中统,jian'yuan'zhong'tong
今北京市,jin'bei'jing'shi
金朝的,jin'chao'de
金朝政权,jin'chao'zheng'quan
今南京,jin'nan'jing
今内蒙古多伦,jin'nei'meng'gu'duo'lun
金史,jin'shi
今浙江杭州,jin'zhe'jiang'hang'zhou
就病逝,jiu'bing'shi
郡王阿儿厮兰,jun'wang'a'er'si'lan
开平,kai'ping
科举制度,ke'ju'zhi'du
控制朝政,kong'zhi'chao'zheng
孔子的,kong'zi'de
阔阔术,kuo'kuo'shu
滥发牌印,lan'fa'pai'yin
立明宗子,li'ming'zong'zi
李真常,li'zhen'chang
辽史,liao'shi
临安,lin'an
临终下诏,lin'zhong'xia'zhao
刘秉忠,liu'bing'zhong
刘福通,liu'fu'tong
陆秀夫,lu'xiu'fu
率其众来降,lv'qi'zhong'lai'jiang
迈来迪,mai'lai'di
忙哥撒儿,mang'ge'sa'er
蒙哥,meng'ge
蒙哥大汗,meng'ge'da'han
蒙哥汗,meng'ge'han
蒙古部落,meng'gu'bu'luo
蒙古的,meng'gu'de
蒙古帝国,meng'gu'di'guo
蒙古高原,meng'gu'gao'yuan
蒙古高原地区,meng'gu'gao'yuan'di'qu
蒙古军,meng'gu'jun
蒙古军队,meng'gu'jun'dui
蒙古正统派,meng'gu'zheng'tong'pai
蒙古族领袖,meng'gu'zu'ling'xiu
蒙古族统治者,meng'gu'zu'tong'zhi'zhe
灭南宋,mie'nan'song
民粮远输者,min'liang'yuan'shu'zhe
明军,ming'jun
名迈来迪,ming'mai'lai'di
名妥欢帖睦尔,ming'tuo'huan'tie'mu'er
明宗和世剌,ming'zong'he'shi'la
漠北,mo'bei
摩河罗峻,mo'he'luo'jun
母亲罕禄鲁氏,mu'qin'han'lu'lu'shi
纳罕禄鲁氏,na'han'lu'lu'shi
乃封为郡王,nai'feng'wei'jun'wang
乃马真脱列哥那,nai'ma'zhen'tuo'lie'ge'na
南返,nan'fan
南坡,nan'po
南坡之变,nan'po'zhi'bian
脑忽,nao'hu
讷怀,ne'huai
内外闻奏,nei'wai'wen'zou
年出生,nian'chu'sheng
年在,nian'zai
年在位,nian'zai'wei
宁宗,ning'zong
宁宗懿磷质班,ning'zong'yi'lin'zhi'ban
平定,ping'ding
其弟,qi'di
七十余人,qi'shi'yu'ren
其兄,qi'xiong
起义军,qi'yi'jun
遣使,qian'shi
前太子,qian'tai'zi
前太子真金,qian'tai'zi'zhen'jin
钦察,qin'cha
钦察首领,qin'cha'shou'ling
钦淑皇后,qin'shu'huang'hou
去国号,qu'guo'hao
取西北诸国,qu'xi'bei'zhu'guo
权臣,quan'chen
仁宗即位,ren'zong'ji'wei
仁宗死,ren'zong'si
仍管,reng'guan
儒家学说,ru'jia'xue'shuo
睿宗,rui'zong
赛典赤,sai'dian'chi
三个行省,san'ge'xing'sheng
三匹马,san'pi'ma
三史,san'shi
三王之乱,san'wang'zhi'luan
三子,san'zi
善阐,shan'chan
擅招民户,shan'zhao'min'hu
上报大汗,shang'bao'da'han
上都,shang'dou
上都之南,shang'dou'zhi'nan
赦段兴智,she'duan'xing'zhi
舍长立幼,she'zhang'li'you
生帝于北方,sheng'di'yu'bei'fang
史称北元,shi'cheng'bei'yuan
失烈门,shi'lie'men
适嗣昌王沙蓝朵儿只,shi'si'chang'wang'sha'lan'duo'er'zhi
是为,shi'wei
是为顺帝,shi'wei'shun'di
是为泰定帝,shi'wei'tai'ding'di
是为元明宗,shi'wei'yuan'ming'zong
是为元宁宗,shi'wei'yuan'ning'zong
是为元文宗,shi'wei'yuan'wen'zong
是为元武宗,shi'wei'yuan'wu'zong
是为元英宗,shi'wei'yuan'ying'zong
顺帝,shun'di
硕德八剌,shuo'de'ba'la
硕德八剌即位,shuo'de'ba'la'ji'wei
四匹,si'pi
私设公堂,si'she'gong'tang
宋恭帝,song'gong'di
宋史,song'shi
他的汗号,ta'de'han'hao
他的母亲,ta'de'mu'qin
泰定帝,tai'ding'di
泰定帝死,tai'ding'di'si
泰定帝之子,tai'ding'di'zhi'zi
泰定二年,tai'ding'er'nian
泰定五年,tai'ding'wu'nian
泰和六年,tai'he'liu'nian
泰和四年,tai'he'si'nian
太宗,tai'zong
太祖,tai'zu
贪污受贿,tan'wu'shou'hui
天光帝,tian'guang'di
天历元年,tian'li'yuan'nian
帖哥,tie'ge
铁木真,tie'mu'zhen
铁失,tie'shi
停止了,ting'zhi'le
统一了,tong'yi'le
统治时间,tong'zhi'shi'jian
图干铁木耳,tu'gan'tie'mu'er
图贴睦儿,tu'tie'mu'er
推翻了,tui'fan'le
退居漠北,tui'ju'mo'bei
推行汉法,tui'xing'han'fa
脱欢铁木儿,tuo'huan'tie'mu'er
妥欢贴睦尔,tuo'huan'tie'mu'er
妥欢帖睦尔,tuo'huan'tie'mu'er
托雷长子,tuo'lei'zhang'zi
完者忽都,wan'zhe'hu'dou
为帝,wei'di
为皇太子,wei'huang'tai'zi
未及一月,wei'ji'yi'yue
文宗,wen'zong
文宗卒,wen'zong'zu
窝阔台,wo'kuo'tai
窝阔台汗,wo'kuo'tai'han
窝阔台孙,wo'kuo'tai'sun
斡兀立海迷失,wo'wu'li'hai'mi'shi
武宗之子,wu'zong'zhi'zi
西辽,xi'liao
西夏,xi'xia
下令修撰,xia'ling'xiu'zhuan
宪宗,xian'zong
相会于,xiang'hui'yu
小皇帝,xiao'huang'di
谢太后,xie'tai'hou
刑法大权,xing'fa'da'quan
行汉法,xing'han'fa
兄终弟及,xiong'zhong'di'ji
许于近仓输之,xu'yu'jin'cang'shu'zhi
宣布即位,xuan'bu'ji'wei
宣发号令,xuan'fa'hao'ling
宣令尽收之,xuan'ling'jin'shou'zhi
牙剌瓦赤,ya'la'wa'chi
崖山海战,ya'shan'hai'zhan
严格的纪律,yan'ge'de'ji'lv
燕京等处行尚书省,yan'jing'deng'chu'xing'shang'shu'sheng
燕帖木儿,yan'tie'mu'er
延祐二年,yan'you'er'nian
延祐七年,yan'you'qi'nian
延祐七年四月丙寅,yan'you'qi'nian'si'yue'bing'yin
也可那颜,ye'ke'na'yan
也速迭尔,ye'su'die'er
也孙铁木儿,ye'sun'tie'mu'er
以朝觐为名,yi'chao'jin'wei'ming
懿璘质班,yi'lin'zhi'ban
以权谋私,yi'quan'mou'si
医巫,yi'wu
应昌,ying'chang
应天,ying'tian
英文皇帝,ying'wen'huang'di
英宗,ying'zong
拥立为,yong'li'wei
又叫元顺帝,you'jiao'yuan'shun'di
鱼肉百姓,yu'rou'bai'xing
原八府,yuan'ba'fu
元朝的,yuan'chao'de
元朝帝王年表,yuan'chao'di'wang'nian'biao
元朝后期,yuan'chao'hou'qi
元朝灭亡,yuan'chao'mie'wang
元朝中期,yuan'chao'zhong'qi
元成宗,yuan'cheng'zong
元大都,yuan'da'du
元惠宗,yuan'hui'zong
元惠宗是,yuan'hui'zong'shi
元明宗,yuan'ming'zong
元明宗之长子,yuan'ming'zong'zhi'chang'zi
元宁宗,yuan'ning'zong
元仁宗,yuan'ren'zong
元上都,yuan'shang'du
元世祖,yuan'shi'zu
元顺帝,yuan'shun'di
元太祖,yuan'tai'zu
元文宗,yuan'wen'zong
元武宗,yuan'wu'zong
元宪宗,yuan'xian'zong
元宪宗三年,yuan'xian'zong'san'nian
元宪宗五年,yuan'xian'zong'wu'nian
远行者,yuan'xing'zhe
愿意退位,yuan'yi'tui'wei
元英宗,yuan'ying'zong
元政府,yuan'zheng'fu
月鲁公主,yue'lu'gong'zhu
云南全境,yun'nan'quan'jing
在位时间,zai'wei'shi'jian
掌传驿所需,zhang'chuan'yi'suo'xu
掌道教事,zhang'dao'jiao'shi
掌佛教事,zhang'fo'jiao'shi
掌祭祀,zhang'ji'si
掌帑藏,zhang'tang'cang
掌斡脱,zhang'wo'tuo
长子军西征,zhang'zi'jun'xi'zheng
赵昺,zhao'bing
赵丑厮,zhao'chou'si
昭慈皇后,zhao'ci'huang'hou
诏旨,zhao'zhi
真金,zhen'jin
正式法典,zheng'shi'fa'dian
至大四年,zhi'da'si'nian
只儿斡带,zhi'er'wo'dai
至顺三年,zhi'shun'san'nian
之孙,zhi'sun
只许乘,zhi'xu'cheng
之裔孙,zhi'yi'sun
至元八年,zhi'yuan'ba'nian
至元九年,zhi'yuan'jiu'nian
至元十六年,zhi'yuan'shi'liu'nian
至元十三年,zhi'yuan'shi'san'nian
至正二十七年,zhi'zheng'er'shi'qi'nian
至正三年,zhi'zheng'san'nian
至正十九年,zhi'zheng'shi'jiu'nian
至正十六年,zhi'zheng'shi'liu'nian
至正十一年,zhi'zheng'shi'yi'nian
至治三年,zhi'zhi'san'nian
中书省,zhong'shu'sheng
中央政府,zhong'yang'zheng'fu
中央政府官吏,zhong'yang'zheng'fu'guan'li
周王,zhou'wang
驻跸南坡,zhu'bi'nan'po
诸官属,zhu'guan'shu
诸皇后,zhu'huang'hou
诸色目官职,zhu'se'mu'guan'zhi
诸事,zhu'shi
主事,zhu'shi
诸王,zhu'wang
诸王驰驿,zhu'wang'chi'yi
诸王贵族,zhu'wang'gui'zu
朱元璋,zhu'yuan'zhang
追尊,zhui'zun
自立为帝,zi'li'wei'di
宗王,zong'wang
最后一位皇帝,zui'hou'yi'wei'huang'di
佐幸,zuo'xing
坐诱诸王为乱者,zuo'you'zhu'wang'wei'luan'zhe
