爱无伤,ai'wu'shang
古城镇,gu'cheng'zhen
古藤精,gu'teng'jing
古藤林,gu'teng'lin
古藤仙人,gu'teng'xian'ren
古往今来相看,gu'wang'jin'lai'xiang'kan
古值,gu'zhi
广袖流仙裙,guang'xiu'liu'xian'qun
鬼遁水,gui'dun'shui
鬼蛤蜊,gui'ge'li
癸鬼袍,gui'gui'pao
鬼降,gui'jiang
鬼界外围,gui'jie'wai'wei
鬼禁,gui'jin
鬼炼狂魔,gui'lian'kuang'mo
鬼手,gui'shou
鬼头杖,gui'tou'zhang
鬼眼双刃,gui'yan'shuang'ren
鬼针胄,gui'zhen'zhou
鬼蛛网,gui'zhu'wang
滚龙,gun'long
还道人间好,hai'dao'ren'jian'hao
海底城,hai'di'cheng
海枯石烂心不弃,hai'ku'shi'lan'xin'bu'qi
还神丹,hai'shen'dan
寒梅,han'mei
寒魄月光石,han'po'yue'guang'shi
寒山枫,han'shan'feng
寒铁精,han'tie'jing
好梦成真,hao'meng'cheng'zhen
浩然巾,hao'ran'jin
和阳,he'yang
黑耀岩,hei'yao'yan
红葵,hong'kui
轰雷杖,hong'lei'zhang
红樱刀,hong'ying'dao
琥珀,hu'po
护手钺,hu'shou'yue
虎头靴,hu'tou'xue
护腕,hu'wan
画春堂,hua'chun'tang
花间闲度,hua'jian'xian'du
花似伊,hua'si'yi
花楹,hua'ying
花楹结局,hua'ying'jie'ju
换巢鸾凤,huan'chao'luan'feng
换巢鸾凤教偕老,huan'chao'luan'feng'jiao'xie'lao
幻鬼三叠杀,huan'gui'san'die'sha
还魂草,huan'hun'cao
还魂香,huan'hun'xiang
幻界水晶,huan'jie'shui'jing
幻水惊雷,huan'shui'jing'lei
幻香花蕊,huan'xiang'hua'rui
寰宇之星,huan'yu'zhi'xing
黄泉路,huang'quan'lu
回魂仙梦,hui'hun'xian'meng
挥剑难断未了情,hui'jian'nan'duan'wei'liao'qing
挥剑试问情,hui'jian'shi'wen'qing
回梦空传幽怨,hui'meng'kong'chuan'you'yuan
回生照,hui'sheng'zhao
回首花无数,hui'shou'hua'wu'shu
回首仙家,hui'shou'xian'jia
魂断香销弃旧情,hun'duan'xiang'xiao'qi'jiu'qing
浑沌舍利,hun'dun'she'li
婚无归处为情牵,hun'wu'gui'chu'wei'qing'qian
火鬼殿,huo'gui'dian
火鬼王,huo'gui'wang
火浣衣,huo'huan'yi
火灵珠,huo'ling'zhu
火神,huo'shen
火神弓,huo'shen'gong
火烷,huo'wan
火舞风云,huo'wu'feng'yun
火隐,huo'yin
几度流光人更远,ji'du'liu'guang'ren'geng'yuan
几度轮回误尘缘,ji'du'lun'hui'wu'chen'yuan
极咒返阴阳,ji'zhou'fan'yin'yang
家和易得欢笑,jia'he'yi'de'huan'xiao
佳期晚,jia'qi'wan
假清微,jia'qing'wei
剑斥风雷,jian'chi'feng'lei
剑吼西风,jian'hou'xi'feng
剑气逆乾坤,jian'qi'ni'qian'kun
剑气燃雷,jian'qi'ran'lei
剑神,jian'shen
减速砂,jian'su'sha
剑冢,jian'zhong
江湖远,jiang'hu'yuan
降魔杖,jiang'mo'zhang
绛纱复裙,jiang'sha'fu'qun
鲛绡,jiao'xiao
解名缰,jie'ming'jiang
解语朝暮伴,jie'yu'zhao'mu'ban
解语自销魂,jie'yu'zi'xiao'hun
解咒草,jie'zhou'cao
尽成泪,jin'cheng'lei
金窗绣户看妖娆,jin'chuang'xiu'hu'kan'yao'rao
金创药,jin'chuang'yao
金耳环,jin'er'huan
尽付东流水,jin'fu'dong'liu'shui
金刚斗笠,jin'gang'dou'li
金镂鞋,jin'lou'xie
金缕衣,jin'lv'yi
锦瑟年华谁与度,jin'se'nian'hua'shei'yu'du
金蛇枪,jin'she'qiang
今生盟,jin'sheng'meng
金丝腰带,jin'si'yao'dai
禁咒封,jin'zhou'feng
惊魂雷,jing'hun'lei
精精,jing'jing
惊雷闪,jing'lei'shan
净明,jing'ming
景天,jing'tian
精铁发箍,jing'tie'fa'gu
净衣咒,jing'yi'zhou
九顶山,jiu'ding'shan
酒金笺,jiu'jin'jian
九龙坡,jiu'long'po
酒入愁肠,jiu'ru'chou'chang
九阳帽,jiu'yang'mao
旧雨新知,jiu'yu'xin'zhi
九转修罗斩,jiu'zhuan'xiu'luo'zhan
举火燎天,ju'huo'liao'tian
巨灵神,ju'ling'shen
绝情,jue'qing
看朱成碧心迷乱,kan'zhu'cheng'bi'xin'mi'luan
刻舟行远人归去,ke'zhou'xing'yuan'ren'gui'qu
昆仑紫乌鸦,kun'lun'zi'wu'ya
蓝葵,lan'kui
蓝芒胆,lan'mang'dan
蓝幽羽,lan'you'yu
兰舟共上,lan'zhou'gong'shang
雷掣,lei'che
雷动九天,lei'dong'jiu'tian
雷界,lei'jie
雷灵珠,lei'ling'zhu
雷神,lei'shen
泪湿千里云,lei'shi'qian'li'yun
雷霆易逝,lei'ting'yi'shi
泪眼迷蒙,lei'yan'mi'meng
雷咒,lei'zhou
雷州,lei'zhou
离魂汤,li'hun'tang
离人过客暗凄凉,li'ren'guo'ke'an'qi'liang
莲花靴,lian'hua'xue
连环破斩,lian'huan'po'zhan
连环爪,lian'huan'zhao
炼狱真火,lian'yu'zhen'huo
连珠弩,lian'zhu'nu
两难分付,liang'nan'fen'fu
两仪仙丹,liang'yi'xian'dan
寥落风,liao'luo'feng
料峭风寒,liao'qiao'feng'han
燎天火,liao'tian'huo
裂地岩,lie'di'yan
烈日枪,lie'ri'qiang
裂天钉,lie'tian'ding
烈焰燃雷,lie'yan'ran'lei
临江仙,lin'jiang'xian
临柳搅镜曳双魂,lin'liu'jiao'jing'ye'shuang'hun
临危,lin'wei
玲珑斋,ling'long'zhai
凌乱罗衫,ling'luan'luo'shan
灵奴奈落,ling'nu'nai'luo
灵泉杖,ling'quan'zhang
灵山仙人洞,ling'shan'xian'ren'dong
灵蛇蜕,ling'she'tui
灵血咒,ling'xue'zhou
灵牙,ling'ya
灵珠有泪自千行,ling'zhu'you'lei'zi'qian'hang
流彩尖晶,liu'cai'jian'jing
流风散,liu'feng'san
流光诛仙斩,liu'guang'zhu'xian'zhan
柳似伊,liu'si'yi
流星火雨,liu'xing'huo'yu
柳叶刀,liu'ye'dao
流萦醉花衣,liu'ying'zui'hua'yi
流云刀,liu'yun'dao
流云披风,liu'yun'pi'feng
流转虹,liu'zhuan'hong
龙精石,long'jing'shi
龙葵,long'kui
龙葵结局,long'kui'jie'ju
龙女纱,long'nv'sha
龙形针,long'xing'zhen
路长梦短无寻处,lu'chang'meng'duan'wu'xun'chu
路茫茫,lu'mang'mang
鹿皮短靴,lu'pi'duan'xue
乱刃风,luan'ren'feng
乱影降魔剑,luan'ying'xiang'mo'jian
乱云天一角,luan'yun'tian'yi'jiao
轮回,lun'hui
落红逐青裙,luo'hong'zhu'qing'qun
罗如烈,luo'ru'lie
绿波红露斩,lv'bo'hong'lu'zhan
绿松石,lv'song'shi
绿玉骨,lv'yu'gu
脉络散,mai'luo'san
蛮州,man'zhou
梅花镖,mei'hua'biao
眉间心上,mei'jian'xin'shang
梅柳频看,mei'liu'pin'kan
魅影神靴,mei'ying'shen'xue
朦胧雾,meng'long'wu
梦蛇蛊,meng'she'gu
缅钢刀,mian'gang'dao
描金锦囊,miao'jin'jin'nang
描金头帕,miao'jin'tou'pa
魔触手,mo'chu'shou
魔鼎铭文,mo'ding'ming'wen
魔堕凡尘,mo'duo'fan'chen
莫负好花好景,mo'fu'hao'hua'hao'jing
魔骨,mo'gu
魔剑,mo'jian
魔剑飞仙,mo'jian'fei'xian
魔剑技,mo'jian'ji
魔剑养成系统,mo'jian'yang'cheng'xi'tong
魔剑斩妖,mo'jian'zhan'yao
魔界,mo'jie
魔狼齿,mo'lang'chi
魔灵,mo'ling
魔鸟翼,mo'niao'yi
魔披风,mo'pi'feng
莫遣人知,mo'qian'ren'zhi
蓦然回首神仙地,mo'ran'hui'shou'shen'xian'di
魔神诀,mo'shen'jue
莫问情归处,mo'wen'qing'gui'chu
莫问生前,mo'wen'sheng'qian
魔焰闪空斩,mo'yan'shan'kong'zhan
木棉靴,mu'mian'xue
难遣流年老,nan'qian'liu'nian'lao
年年秋复春,nian'nian'qiu'fu'chun
年年日日,nian'nian'ri'ri
凝窗仰宿雨,ning'chuang'yang'su'yu
凝寒雪,ning'han'xue
暖雾,nuan'wu
女娲庙,nv'wa'miao
怕流年暗消年少,pa'liu'nian'an'xiao'nian'shao
蓬莱,peng'lai
霹雳堂,pi'li'tang
霹雳堂弟子,pi'li'tang'di'zi
霹雳堂堂主,pi'li'tang'tang'zhu
扁舟不系,pian'zhou'bu'xi
平生书癖已均恙,ping'sheng'shu'pi'yi'jun'yang
破壁,po'bi
破甲散,po'jia'san
弃剑封刀,qi'jian'feng'dao
凄凉雪,qi'liang'xue
七巧弓,qi'qiao'gong
七星伴月,qi'xing'ban'yue
千宝阁,qian'bao'ge
千金难求珍宝,qian'jin'nan'qiu'zhen'bao
乾坤弓,qian'kun'gong
乾坤一掷,qian'kun'yi'zhi
潜身蛊,qian'shen'gu
前生后世君莫问,qian'sheng'hou'shi'jun'mo'wen
前世约,qian'shi'yue
千叶刃,qian'ye'ren
前缘再续新曲,qian'yuan'zai'xu'xin'qu
千载之下同晓梦,qian'zai'zhi'xia'tong'xiao'meng
情短恨长,qing'duan'hen'chang
倾国银弹波,qing'guo'yin'dan'bo
情眷恋,qing'juan'lian
情两难分付,qing'liang'nan'fen'fu
青龙宝甲,qing'long'bao'jia
青绮绫,qing'qi'ling
情牵,qing'qian
轻纱罗衣,qing'sha'luo'yi
情丝暗生,qing'si'an'sheng
青丝巾,qing'si'jin
青丝软履,qing'si'ruan'lv
情丝未断,qing'si'wei'duan
青丝绣衣,qing'si'xiu'yi
情天不老,qing'tian'bu'lao
青铜护镜,qing'tong'hu'jing
清微,qing'wei
青玉案,qing'yu'wan
人间道,ren'jian'dao
人间韶光几度,ren'jian'shao'guang'ji'du
任六界风飘,ren'liu'jie'feng'piao
人面兽,ren'mian'shou
人难老,ren'nan'lao
人生自是有情痴,ren'sheng'zi'shi'you'qing'chi
日月乾坤轮,ri'yue'qian'kun'lun
熔岩地狱,rong'yan'di'yu
柔肠百结,rou'chang'bai'jie
柔肠百结如醉,rou'chang'bai'jie'ru'zui
如梦如烟,ru'meng'ru'yan
如意发带,ru'yi'fa'dai
软骨浆,ruan'gu'jiang
阮郎归,ruan'lang'gui
软藤甲,ruan'teng'jia
弱袂萦春,ruo'mei'ying'chun
弱水路三千,ruo'shui'lu'san'qian
三才破魔阵,san'cai'po'mo'zhen
散花天女,san'hua'tian'nv
三昧真火,san'mei'zhen'huo
三色流金带,san'se'liu'jin'dai
三尸三虫,san'shi'san'chong
商风子,shang'feng'zi
上海软星,shang'hai'ruan'xing
伤离方寸乱,shang'li'fang'cun'luan
上软,shang'ruan
伤心脉脉难诉,shang'xin'mo'mo'nan'su
摄魂眼,she'hun'yan
舍却残生犹不悔,she'que'can'sheng'you'bu'hui
舍却三生石刻,she'que'san'sheng'shi'ke
蛇刃,she'ren
射日弓,she'ri'gong
神机四枢丸,shen'ji'si'shu'wan
神界,shen'jie
神魔之井,shen'mo'zhi'jing
神木簪,shen'mu'zan
身世飘零叹孤独,shen'shi'piao'ling'tan'gu'du
神兽革,shen'shou'ge
神仙人鬼两茫茫,shen'xian'ren'gui'liang'mang'mang
身已空,shen'yi'kong
圣灵披风,sheng'ling'pi'feng
圣灵珠,sheng'ling'zhu
誓补情天鬼神惊,shi'bu'qing'tian'gui'shen'jing
十方封魔斩,shi'fang'feng'mo'zhan
失魂雨,shi'hun'yu
石南藤,shi'nan'teng
十年一剑,shi'nian'yi'jian
是一丝烦恼,shi'yi'si'fan'nao
首阳参,shou'yang'can
鼠儿果,shu'er'guo
赎魂光,shu'hun'guang
蜀锦缭乱,shu'jin'liao'luan
蜀山,shu'shan
蜀山故道,shu'shan'gu'dao
蜀山掌门,shu'shan'zhang'men
束身定,shu'shen'ding
双飞鸰,shuang'fei'ling
双歧履,shuang'qi'lv
双属性仙术,shuang'shu'xing'xian'shu
水碧,shui'bi
水镜,shui'jing
水灵珠,shui'ling'zhu
水幕厅,shui'mu'ting
水柔声,shui'rou'sheng
水神,shui'shen
丝缎披风,si'duan'pi'feng
四顾盼相扶,si'gu'pan'xiang'fu
思恋相萦绕,si'lian'xiang'ying'rao
死灵骨,si'ling'gu
死生不渝共鸳盟,si'sheng'bu'yu'gong'yuan'meng
私语无踪,si'yu'wu'zong
松绿锦袍,song'lv'jin'pao
搜宝鼠,sou'bao'shu
搜魂砂,sou'hun'sha
素纱衣,su'sha'yi
素手出锋芒,su'shou'chu'feng'mang
诉衷情,su'zhong'qing
碎流星,sui'liu'xing
锁妖塔,suo'yao'ta
太极剑,tai'ji'jian
泰山压顶,tai'shan'ya'ding
贪恋人间,tan'lian'ren'jian
唐家堡,tang'jia'bao
唐家大小姐,tang'jia'da'xiao'jie
唐门弟子,tang'men'di'zi
唐泰,tang'tai
天崩地裂,tian'beng'di'lie
天蚕发带,tian'can'fa'dai
天地元灵斩,tian'di'yuan'ling'zhan
天罡战气,tian'gang'zhan'qi
天冠,tian'guan
天雷空破,tian'lei'kong'po
天灵千裂破,tian'ling'qian'lie'po
天龙刺,tian'long'ci
天冥束,tian'ming'shu
天魔附体,tian'mo'fu'ti
天魔往生诀,tian'mo'wang'sheng'jue
天蛇杖,tian'she'zhang
天师道袍,tian'shi'dao'pao
天师符,tian'shi'fu
天仙玉露,tian'xian'yu'lu
天涯芳草,tian'ya'fang'cao
天涯芳草无归路,tian'ya'fang'cao'wu'gui'lu
天妖皇,tian'yao'huang
铁履,tie'lv
铁索镇妖,tie'suo'zhen'yao
铁胎弓,tie'tai'gong
亭亭发几丛,ting'ting'fa'ji'cong
同步率,tong'bu'lv
透骨钉,tou'gu'ding
头巾,tou'jin
偷羡鸳鸯,tou'xian'yuan'yang
土遁,tu'dun
土灵珠,tu'ling'zhu
土神,tu'shen
土隐,tu'yin
土咒,tu'zhou
万蛊蚀天,wan'gu'shi'tian
万灵还神光,wan'ling'hai'shen'guang
完美结局,wan'mei'jie'ju
万年木变石,wan'nian'mu'bian'shi
万水千山远路迷,wan'shui'qian'shan'yuan'lu'mi
纨素服,wan'su'fu
万蚁蛊,wan'yi'gu
万玉枝,wan'yu'zhi
望海潮,wang'hai'chao
王乔仙履,wang'qiao'xian'lv
望仙鞋,wang'xian'xie
忘忧了残生,wang'you'le'can'sheng
望月,wang'yue
问死生,wen'si'sheng
温香软玉燕依人,wen'xiang'ruan'yu'yan'yi'ren
五彩花冠,wu'cai'hua'guan
五彩屐,wu'cai'ji
五彩苗裙,wu'cai'miao'qun
乌蚕背心,wu'can'bei'xin
无尘剑,wu'chen'jian
五毒归元,wu'du'gui'yuan
五毒兽,wu'du'shou
五毒珠,wu'du'zhu
无极阁,wu'ji'ge
误佳期,wu'jia'qi
五灵纶巾,wu'ling'guan'jin
误落古桃源,wu'luo'gu'tao'yuan
五芒镇邪破,wu'mang'zhen'xie'po
五气朝元,wu'qi'chao'yuan
五气连波,wu'qi'lian'bo
无题,wu'ti
无限思量,wu'xian'si'liang
五行钩,wu'xing'gou
无影神针,wu'ying'shen'zhen
五岳冠,wu'yue'guan
巫月柔甲,wu'yue'rou'jia
巫月神刀,wu'yue'shen'dao
溪风,xi'feng
吸精蛊,xi'jing'gu
夕瑶,xi'yao
细雨春光,xi'yu'chun'guang
闲愁滋味,xian'chou'zi'wei
仙蝶蜕,xian'die'tui
仙风云体术,xian'feng'yun'ti'shu
仙剑奇侠传三,xian'jian'qi'xia'zhuan'san
仙剑三,xian'jian'san
仙人岂相通,xian'ren'qi'xiang'tong
仙三,xian'san
羡鸳鸯,xian'yuan'yang
香袋,xiang'dai
相逢终有期,xiang'feng'zhong'you'qi
湘江西,xiang'jiang'xi
相思不忍轻离别,xiang'si'bu'ren'qing'li'bie
降妖谱,xiang'yao'pu
啸聚五灵,xiao'ju'wu'ling
小廊回合曲阐斜,xiao'lang'hui'he'qu'chan'xie
啸天枪,xiao'tian'qiang
逍遥草,xiao'yao'cao
笑靥无凭,xiao'ye'wu'ping
邪剑仙,xie'jian'xian
携手更如初,xie'shou'geng'ru'chu
心事难描,xin'shi'nan'miao
新仙界,xin'xian'jie
心有意,xin'you'yi
星沉地动,xing'chen'di'dong
星沉月落夜闻香,xing'chen'yue'luo'ye'wen'xiang
猩魔角,xing'mo'jiao
行运丸,xing'yun'wan
绣花鞋,xiu'hua'xie
袖箭,xiu'jian
秀口锦心咒,xiu'kou'jin'xin'zhou
修罗绝杀阵,xiu'luo'jue'sha'zhen
徐长卿,xu'chang'qing
玄冰刻悔风吟恨,xuan'bing'ke'hui'feng'yin'hen
玄冰咒,xuan'bing'zhou
旋光吞日月,xuan'guang'tun'ri'yue
璇龟甲,xuan'gui'jia
萱花寂寞红,xuan'hua'ji'mo'hong
玄冥宝刀,xuan'ming'bao'dao
玄女血石,xuan'nv'xie'shi
玄色风,xuan'se'feng
玄天帽,xuan'tian'mao
玄武战袍,xuan'wu'zhan'pao
雪见,xue'jian
雪见结局,xue'jian'jie'ju
雪莲精,xue'lian'jing
雪岭镇,xue'ling'zhen
雪蛇筋,xue'she'jin
雪羽披风,xue'yu'pi'feng
眼儿媚,yan'er'mei
阎后冠,yan'hou'guan
滟纹微涨,yan'wen'wei'zhang
演武堂,yan'wu'tang
燕行衣,yan'xing'yi
烟雨还魂,yan'yu'huan'hun
烟月神镜,yan'yue'shen'jing
炎咒,yan'zhou
燕子金镖,yan'zi'jin'biao
妖化,yao'hua
遥看春花朔雪中,yao'kan'chun'hua'shuo'xue'zhong
妖树刺,yao'shu'ci
窈窕舞熏风,yao'tiao'wu'xun'feng
夜光七彩兜,ye'guang'qi'cai'dou
谒金门,ye'jin'men
夜探刺史府,ye'tan'ci'shi'fu
叶叶声声是别离,ye'ye'sheng'sheng'shi'bie'li
一剪梅,yi'jian'mei
依旧尘缘未断,yi'jiu'chen'yuan'wei'duan
依旧多情好,yi'jiu'duo'qing'hao
宜男不忍佩,yi'nan'bu'ren'pei
宜男草,yi'nan'cao
一生惆怅情多少,yi'sheng'chou'chang'qing'duo'shao
依稀往梦幻如真,yi'xi'wang'meng'huan'ru'zhen
疑真疑幻,yi'zhen'yi'huan
阴差房,yin'cha'fang
银凤钗,yin'feng'chai
银狐氅,yin'hu'chang
银戒指,yin'jie'zhi
引路蜂,yin'lu'feng
银眉狐妖,yin'mei'hu'yao
萦绕千千岁,ying'rao'qian'qian'sui
英雄氅,ying'xiong'chang
永安当,yong'an'dang
永忆江湖初相逢,yong'yi'jiang'hu'chu'xiang'feng
幽冥弓,you'ming'gong
犹为离人照落化,you'wei'li'ren'zhao'luo'hua
幽玄,you'xuan
欲把春留驻,yu'ba'chun'liu'zhu
雨过云舒,yu'guo'yun'shu
雨恨云愁,yu'hen'yun'chou
欲回人间共形影,yu'hui'ren'jian'gong'xing'ying
浴火重生,yu'huo'chong'sheng
雨急人更急,yu'ji'ren'geng'ji
御剑飞行,yu'jian'fei'xing
御剑江湖,yu'jian'jiang'hu
御剑江湖加长版,yu'jian'jiang'hu'jia'chang'ban
御街行,yu'jie'xing
玉玲珑,yu'ling'long
玉露还精,yu'lu'hai'jing
玉满堂,yu'man'tang
雨润,yu'run
玉腰弓,yu'yao'gong
渝州,yu'zhou
渝州城北,yu'zhou'cheng'bei
渝州西南,yu'zhou'xi'nan
元戎弩,yuan'rong'nu
鸳鸯靴,yuan'yang'xue
鸳鸯钺,yuan'yang'yue
愿做双飞鸟,yuan'zuo'shuang'fei'niao
月迷踪,yue'mi'zong
陨冰飞堕,yun'bing'fei'duo
云锦衣,yun'jin'yi
云霆,yun'ting
再启生死门,zai'qi'sheng'si'men
再塑苍穹,zai'su'cang'qiong
仗剑,zhang'jian
赵文昌,zhao'wen'chang
镇海青金石,zhen'hai'qing'jin'shi
真武战靴,zhen'wu'zhan'xue
镇妖剑,zhen'yao'jian
真元护体,zhen'yuan'hu'ti
真元披风,zhen'yuan'pi'feng
珍珠冠,zhen'zhu'guan
止血草,zhi'xue'cao
只影向斜阳,zhi'ying'xiang'xie'yang
制作群片尾,zhi'zuo'qun'pian'wei
终恋江湖,zhong'lian'jiang'hu
竹笛,zhu'di
诸葛巾,zhu'ge'jin
铸剑厅,zhu'jian'ting
珠联壁合,zhu'lian'bi'he
烛龙内丹,zhu'long'nei'dan
转东风,zhuan'dong'feng
状元冠,zhuang'yuan'guan
紫鲛衫,zi'jiao'shan
紫锦深衣,zi'jin'shen'yi
自觉逍遥,zi'jue'xiao'yao
紫陌丰田,zi'mo'feng'tian
自是人间好,zi'shi'ren'jian'hao
紫石乳,zi'shi'ru
紫萱,zi'xuan
紫萱结局,zi'xuan'jie'ju
紫鸦乌,zi'ya'wu
紫幽粉,zi'you'fen
纵横吟啸,zong'heng'yin'xiao
纵千金难买一笑,zong'qian'jin'nan'mai'yi'xiao
总是情愁滋味,zong'shi'qing'chou'zi'wei
醉花阴,zui'hua'yin
