阿巴迪征,a'ba'di'zheng
侧脑室脉,ce'nao'shi'mai
侧脑室脉络丛,ce'nao'shi'mai'luo'cong
侧脑室前角,ce'nao'shi'qian'jiao
侧脑室体部,ce'nao'shi'ti'bu
侧脑室下角,ce'nao'shi'xia'jiao
侧区,ce'qu
侧索硬化,ce'suo'ying'hua
曾格尔征,ceng'ge'er'zheng
茶苯海明,cha'ben'hai'ming
叉叉叉脊髓橄榄束,cha'cha'cha'ji'sui'gan'lan'shu
查多克征,cha'duo'ke'zheng
差异感觉,cha'yi'gan'jue
颤搐,chan'chu
长春胺,chang'chun'an
常染色体,chang'ran'se'ti
长头的,chang'tou'de
肠系膜间丛,chang'xi'mo'jian'cong
肠系膜上丛,chang'xi'mo'shang'cong
肠系膜下丛神经节,chang'xi'mo'xia'cong'shen'jing'jie
潮式呼吸,chao'shi'hu'xi
抄写不能,chao'xie'bu'neng
成感觉神经细胞瘤,cheng'gan'jue'shen'jing'xi'bao'liu
成胶质细胞瘤,cheng'jiao'zhi'xi'bao'liu
成脑膜细胞瘤,cheng'nao'mo'xi'bao'liu
成神经管细胞,cheng'shen'jing'guan'xi'bao
成神经胶质细胞,cheng'shen'jing'jiao'zhi'xi'bao
成神经节细胞,cheng'shen'jing'jie'xi'bao
成神经膜细胞,cheng'shen'jing'mo'xi'bao
成神经细胞,cheng'shen'jing'xi'bao
成神经细胞瘤,cheng'shen'jing'xi'bao'liu
成视网膜细胞瘤,cheng'shi'wang'mo'xi'bao'liu
成髓细胞瘤,cheng'sui'xi'bao'liu
成血管细胞瘤,cheng'xue'guan'xi'bao'liu
痴呆,chi'dai
迟顿,chi'dun
迟发性肌张力障碍,chi'fa'xing'ji'zhang'li'zhang'ai
迟发性运动障碍,chi'fa'xing'yun'dong'zhang'ai
持久性痉挛,chi'jiu'xing'jing'luan
齿轮样强直,chi'lun'yang'qiang'zhi
持续性,chi'xu'xing
持续性不全癫痫,chi'xu'xing'bu'quan'dian'xian
痴愚,chi'yu
迟语症,chi'yu'zheng
齿状核红核萎缩,chi'zhuang'he'hong'he'wei'suo
齿状回,chi'zhuang'hui
齿状突,chi'zhuang'tu
冲动发放,chong'dong'fa'fang
重复动作,chong'fu'dong'zuo
重复书写,chong'fu'shu'xie
重复言语,chong'fu'yan'yu
充血,chong'xue
抽搐,chou'chu
抽象,chou'xiang
触发区,chu'fa'qu
触觉,chu'jue
触觉忽视,chu'jue'hu'shi
触觉减退,chu'jue'jian'tui
触觉缺失,chu'jue'que'shi
触觉失认,chu'jue'shi'ren
触觉小体,chu'jue'xiao'ti
触觉障碍,chu'jue'zhang'ai
出血后的,chu'xie'hou'de
出血性白质脑炎,chu'xue'xing'bai'zhi'nao'yan
出血性梗塞,chu'xue'xing'geng'se
出血性脊髓空洞症,chu'xue'xing'ji'sui'kong'dong'zheng
出血性脊髓炎,chu'xue'xing'ji'sui'yan
出血性脑炎,chu'xue'xing'nao'yan
传出,chuan'chu
传出性共济失调,chuan'chu'xing'gong'ji'shi'tiao
穿颅器,chuan'lu'qi
传入,chuan'ru
传入神经阻滞,chuan'ru'shen'jing'zu'zhi
穿通性脑炎,chuan'tong'xing'nao'yan
创伤,chuang'shang
垂体,chui'ti
垂体卒中,chui'ti'cu'zhong
垂体功能减退,chui'ti'gong'neng'jian'tui
垂体管肿瘤,chui'ti'guan'zhong'liu
垂体门脉系统,chui'ti'men'mai'xi'tong
垂体腺瘤,chui'ti'xian'liu
垂直同向偏斜,chui'zhi'tong'xiang'pian'xie
垂直性偏盲,chui'zhi'xing'pian'mang
次裂,ci'lie
丛状神经瘤,cong'zhuang'shen'jing'liu
促垂体区,cu'chui'ti'qu
猝倒,cu'dao
醋丁洛尔,cu'ding'luo'er
粗面内质网,cu'mian'nei'zhi'wang
催眠性昏迷,cui'mian'xing'hun'mi
催眠状态,cui'mian'zhuang'tai
存在觉缺失,cun'zai'jue'que'shi
错构瘤,cuo'gou'liu
错觉,cuo'jue
挫伤,cuo'shang
搓丸样,cuo'wan'yang
大发作,da'fa'zuo
大发作癔病,da'fa'zuo'yi'bing
大胶质细胞,da'jiao'zhi'xi'bao
达克谢维奇核,da'ke'xie'wei'qi'he
达克谢维奇纤维,da'ke'xie'wei'qi'xian'wei
大理石状态,da'li'shi'zhuang'tai
大脑,da'nao
大脑半球,da'nao'ban'qiu
大脑半球切除术,da'nao'ban'qiu'qie'chu'shu
大脑大静脉,da'nao'da'jing'mai
大脑动脉环,da'nao'dong'mai'huan
大脑发育不全,da'nao'fa'yu'bu'quan
大脑横裂,da'nao'heng'lie
大脑黄斑变性症,da'nao'huang'ban'bian'xing'zheng
大脑脚,da'nao'jiao
大脑脚病变,da'nao'jiao'bing'bian
大脑脚病灶综合征,da'nao'jiao'bing'zao'zong'he'zheng
大脑脚综合征,da'nao'jiao'zong'he'zheng
大脑镰,da'nao'lian
大脑连合,da'nao'lian'he
大脑内的,da'nao'nei'de
大脑皮层的,da'nao'pi'ceng'de
大脑皮层锥体细胞层内的,da'nao'pi'ceng'zhui'ti'xi'bao'ceng'nei'de
大脑皮质,da'nao'pi'zhi
大脑上纵束,da'nao'shang'zong'shu
大脑萎缩,da'nao'wei'suo
大脑性痉挛,da'nao'xing'jing'luan
大脑纵裂,da'nao'zong'lie
大细胞神经分泌系统,da'xi'bao'shen'jing'fen'mi'xi'tong
代偿,dai'chang
代热林兰杜茨营养不良,dai're'lin'lan'du'ci'ying'yang'bu'liang
代热林洋葱皮样综合征,dai're'lin'yang'cong'pi'yang'zong'he'zheng
代热林征,dai're'lin'zheng
代热林综合征,dai're'lin'zong'he'zheng
呆小病,dai'xiao'bing
带状疱疹,dai'zhuang'pao'zhen
带状疱疹脊髓炎,dai'zhuang'pao'zhen'ji'sui'yan
带状疱疹脑炎,dai'zhuang'pao'zhen'nao'yan
带状疱疹神经痛,dai'zhuang'pao'zhen'shen'jing'tong
单胺能通路,dan'an'neng'tong'lu
蛋白球色素退变综,dan'bai'qiu'se'su'tui'bian'zong
单侧面萎缩,dan'ce'mian'wei'suo
单侧偏盲,dan'ce'pian'mang
单处痉挛,dan'chu'jing'luan
单纯疱疹脑炎,dan'chun'pao'zhen'nao'yan
单纯疱疹性脑炎,dan'chun'pao'zhen'xing'nao'yan
单极神经元,dan'ji'shen'jing'yuan
胆碱能,dan'jian'neng
胆碱脂酶,dan'jian'zhi'mei
淡漠性忧郁症,dan'mo'xing'you'yu'zheng
丹参,dan'shen
单神经病,dan'shen'jing'bing
单瘫,dan'tan
单突触的,dan'tu'chu'de
单眼偏盲,dan'yan'pian'mang
单眼视觉,dan'yan'shi'jue
单一症状性癔病,dan'yi'zheng'zhuang'xing'yi'bing
单肢感觉异常,dan'zhi'gan'jue'yi'chang
胆脂瘤,dan'zhi'liu
单肢轻瘫,dan'zhi'qing'tan
单肢舞蹈病,dan'zhi'wu'dao'bing
单肢舞动,dan'zhi'wu'dong
氮卓脒青霉素,dan'zhuo'mi'qing'mei'su
岛长回,dao'chang'hui
倒错性屈肌反射,dao'cuo'xing'qu'ji'fan'she
岛短回,dao'duan'hui
岛盖,dao'gai
岛盖内面间裂,dao'gai'nei'mian'jian'lie
岛环状沟,dao'huan'zhuang'gou
导眠能,dao'mian'neng
岛旁区,dao'pang'qu
导水管周围灰质,dao'shui'guan'zhou'wei'hui'zhi
岛叶,dao'ye
岛阈,dao'yu
岛中央沟,dao'zhong'yang'gou
的下行通路,de'xia'xing'tong'lu
镫骨肌反射,deng'gu'ji'fan'she
瞪目昏迷,deng'mu'hun'mi
等温感觉,deng'wen'gan'jue
底板,di'ban
骶丛,di'cong
蒂德曼神经,di'de'man'shen'jing
地尔硫,di'er'liu
第二视区,di'er'shi'qu
第二运动区,di'er'yun'dong'qu
地方性麻痹性眩晕,di'fang'xing'ma'bi'xing'xuan'yun
低分子右旋糖酐,di'fen'zi'you'xuan'tang'gan
低钙血症,di'gai'xue'zheng
弟哥静,di'ge'jing
低钾性周期性,di'jia'xing'zhou'qi'xing
低镁血症,di'mei'xue'zheng
低密度,di'mi'du
低钠血症,di'na'xue'zheng
低能,di'neng
底丘脑,di'qiu'nao
地塞米松,di'sai'mi'song
第三脑室,di'san'nao'shi
第三脑室脉,di'san'nao'shi'mai
第三视区,di'san'shi'qu
第四脑室闭锁综合征,di'si'nao'shi'bi'suo'zong'he'zheng
第四脑室带,di'si'nao'shi'dai
第四脑室髓纹,di'si'nao'shi'sui'wen
第四脑室外侧孔,di'si'nao'shi'wai'ce'kong
第四脑室正中孔凹,di'si'nao'shi'zheng'zhong'kong'ao
地图状头颅,di'tu'zhuang'tou'lu
低温,di'wen
低血糖,di'xue'tang
低血糖脑病,di'xue'tang'nao'bing
第一视区,di'yi'shi'qu
第一听区,di'yi'ting'qu
碘苷,dian'gan
电击样舞蹈病,dian'ji'yang'wu'dao'bing
电解质,dian'jie'zhi
电惊厥疗法,dian'jing'jue'liao'fa
点头痉挛,dian'tou'jing'luan
点头状痉挛,dian'tou'zhuang'jing'luan
电突触,dian'tu'chu
癫痫,dian'xian
癫痫持续状态,dian'xian'chi'xu'zhuang'tai
癫痫大发作,dian'xian'da'fa'zuo
癫痫发作后瘫痪,dian'xian'fa'zuo'hou'tan'huan
癫痫发作后自动症,dian'xian'fa'zuo'hou'zi'dong'zheng
癫痫小发作,dian'xian'xiao'fa'zuo
癫痫性朦胧状态,dian'xian'xing'meng'long'zhuang'tai
癫痫性木僵,dian'xian'xing'mu'jiang
癫痫灶,dian'xian'zao
电休克,dian'xiu'ke
电泳,dian'yong
点状出血,dian'zhuang'chu'xie
电子显微镜,dian'zi'xian'wei'jing
叠氮胸苷,die'dan'xiong'gan
跌倒发作,die'dao'fa'zuo
蝶点,die'dian
蝶顶窦,die'ding'dou
蝶窦切开术,die'dou'qie'kai'shu
蝶腭神经节痛,die'e'shen'jing'jie'tong
蝶腭神经痛,die'e'shen'jing'tong
蝶筛的,die'shai'de
蝶囟,die'xin
丁胺卡那霉素,ding'an'ka'na'mei'su
顶板,ding'ban
丁苯塞嗪,ding'ben'sai'qin
丁呋心安,ding'fu'xin'an
顶盖,ding'gai
顶盖脊髓束,ding'gai'ji'sui'shu
顶盖脑桥纤维,ding'gai'nao'qiao'xian'wei
顶盖前区,ding'gai'qian'qu
顶盖前区橄榄纤维,ding'gai'qian'qu'gan'lan'xian'wei
丁螺环酮,ding'luo'huan'tong
顶内沟,ding'nei'gou
定时不能,ding'shi'bu'neng
定时障碍,ding'shi'zhang'ai
定位觉障碍,ding'wei'jue'zhang'ai
定向力,ding'xiang'li
定向障碍,ding'xiang'zhang'ai
顶叶,ding'ye
顶隐窝,ding'yin'wo
顶枕沟,ding'zhen'gou
顶枕颞桥束,ding'zhen'nie'qiao'shu
动静脉畸形,dong'jing'mai'ji'xing
动脉瘤,dong'mai'liu
动脉硬化,dong'mai'ying'hua
动眼痉挛,dong'yan'jing'luan
动眼神经麻痹,dong'yan'shen'jing'ma'bi
动眼危象,dong'yan'wei'xiang
动作过慢,dong'zuo'guo'man
动作性震颤,dong'zuo'xing'zhen'chan
动作障碍,dong'zuo'zhang'ai
窦汇,dou'hui
都可喜,dou'ke'xi
豆状核,dou'zhuang'he
豆状袢,dou'zhuang'pan
豆状束,dou'zhuang'shu
杜欧麻痹,du'ou'ma'bi
毒性痉挛性截瘫,du'xing'jing'luan'xing'jie'tan
杜兴氏肌营养不良,du'xing'shi'ji'ying'yang'bu'liang
短颅的,duan'lu'de
端脑,duan'nao
短头,duan'tou
断音言语,duan'yin'yan'yu
短暂,duan'zan
短暂性脑缺血发作,duan'zan'xing'nao'que'xie'fa'zuo
对侧,dui'ce
对称,dui'chen
对冲性损害,dui'chong'xing'sun'hai
多巴酚丁胺,duo'ba'fen'ding'an
多邦通角,duo'bang'tong'jiao
多邦通平面,duo'bang'tong'ping'mian
多邦通线,duo'bang'tong'xian
多动症,duo'dong'zheng
多动综合征,duo'dong'zong'he'zheng
多发性抽动秽语综合征,duo'fa'xing'chou'dong'hui'yu'zong'he'zheng
多发性单神经病,duo'fa'xing'dan'shen'jing'bing
多发性骨髓瘤,duo'fa'xing'gu'sui'liu
多发性肌炎,duo'fa'xing'ji'yan
多发性肌阵挛,duo'fa'xing'ji'zhen'luan
多发性脑膜瘤,duo'fa'xing'nao'mo'liu
多发性神经病,duo'fa'xing'shen'jing'bing
多发性神经根病,duo'fa'xing'shen'jing'gen'bing
多发性神经根神经病,duo'fa'xing'shen'jing'gen'shen'jing'bing
多发性神经根炎,duo'fa'xing'shen'jing'gen'yan
多发性神经纤维瘤病,duo'fa'xing'shen'jing'xian'wei'liu'bing
多发性神经炎,duo'fa'xing'shen'jing'yan
多发性神经元炎,duo'fa'xing'shen'jing'yuan'yan
多发性硬化,duo'fa'xing'ying'hua
多房的,duo'fang'de
多核细胞,duo'he'xi'bao
多极神经元,duo'ji'shen'jing'yuan
多肌痛,duo'ji'tong
多肌炎,duo'ji'yan
多肌阵挛,duo'ji'zhen'luan
多虑平,duo'lv'ping
多粘菌素,duo'nian'jun'su
多泡小体,duo'pao'xiao'ti
多神经炎型遗传性共济失调,duo'shen'jing'yan'xing'yi'chuan'xing'gong'ji'shi'tiao
多系统萎缩,duo'xi'tong'wei'suo
多形层,duo'xing'ceng
多圆锥状肌病,duo'yuan'zhui'zhuang'ji'bing
腭反射,e'fan'she
恶化,e'hua
额极,e'ji
腭肌阵挛,e'ji'zhen'luan
呃逆,e'ni
额钳,e'qian
额前区,e'qian'qu
额桥束,e'qiao'shu
额上发音区,e'shang'fa'yin'qu
额上沟,e'shang'gou
额上回,e'shang'hui
额下沟,e'xia'gou
额下回,e'xia'hui
恶性,e'xing
恶性高热苍白综合征,e'xing'gao're'cang'bai'zong'he'zheng
恶性肿瘤,e'xing'zhong'liu
额叶,e'ye
额叶步态失用,e'ye'bu'tai'shi'yong
额叶共济失调,e'ye'gong'ji'shi'tiao
额叶局部切除术,e'ye'ju'bu'qie'chu'shu
额叶内板增生症,e'ye'nei'ban'zeng'sheng'zheng
额缘沟,e'yuan'gou
腭震颤,e'zhen'chan
额中部的,e'zhong'bu'de
额中回,e'zhong'hui
恶唑安定,e'zuo'an'ding
恩格尔曼盘,en'ge'er'man'pan
耳病性神经衰弱,er'bing'xing'shen'jing'shuai'ruo
儿茶酚胺,er'cha'fen'an
二叠板旁区,er'die'ban'pang'qu
耳毒性,er'du'xing
二甲胺四环素,er'jia'an'si'huan'su
二钾氯氮卓,er'jia'lv'dan'zhuo
耳漏症,er'lou'zheng
耳鸣,er'ming
耳颞神经综合征,er'nie'shen'jing'zong'he'zheng
二巯基丁二钠,er'qiu'ji'ding'er'na
二十碳五烯酸,er'shi'tan'wu'xi'suan
儿童型家族性黑蒙性白痴,er'tong'xing'jia'zu'xing'hei'meng'xing'bai'chi
儿童营养不良,er'tong'ying'yang'bu'liang
耳硬化,er'ying'hua
耳硬化症,er'ying'hua'zheng
耳源性脑积水,er'yuan'xing'nao'ji'shui
耳源性眩晕,er'yuan'xing'xuan'yun
耳原性眼球震颤,er'yuan'xing'yan'qiu'zhen'chan
发绀,fa'gan
发热谵妄,fa're'zhan'wang
发音困难,fa'yin'kun'nan
发育不全,fa'yu'bu'quan
发作,fa'zuo
发作性,fa'zuo'xing
发作性肌红蛋白尿症,fa'zuo'xing'ji'hong'dan'bai'niao'zheng
发作性睡病,fa'zuo'xing'shui'bing
发作性睡眠,fa'zuo'xing'shui'mian
发作性舞蹈手足徐动症,fa'zuo'xing'wu'dao'shou'zu'xu'dong'zheng
反常,fan'chang
返流,fan'liu
反射,fan'she
反射减退,fan'she'jian'tui
反射亢进,fan'she'kang'jin
反射显微镜,fan'she'xian'wei'jing
反射消失,fan'she'xiao'shi
反应性小胶质细胞,fan'ying'xing'xiao'jiao'zhi'xi'bao
放射性多神经病,fang'she'xing'duo'shen'jing'bing
放射性脊髓病,fang'she'xing'ji'sui'bing
放射性脑病,fang'she'xing'nao'bing
放射性神经炎,fang'she'xing'shen'jing'yan
肺丛,fei'cong
肥大,fei'da
肥大性脊柱炎,fei'da'xing'ji'zhu'yan
肥大性间质性多发性神经病,fei'da'xing'jian'zhi'xing'duo'fa'xing'shen'jing'bing
肥大性神经病,fei'da'xing'shen'jing'bing
非典型,fei'dian'xing
非典型发作,fei'dian'xing'fa'zuo
非对称性同侧偏盲,fei'dui'chen'xing'tong'ce'pian'mang
腓骨肌萎缩征,fei'gu'ji'wei'suo'zheng
腓骨肌萎缩症,fei'gu'ji'wei'suo'zheng
腓肌萎缩型共济失调症,fei'ji'wei'suo'xing'gong'ji'shi'tiao'zheng
腓肌型肌萎缩,fei'ji'xing'ji'wei'suo
非类脂组织细胞增多症,fei'lei'zhi'zu'zhi'xi'bao'zeng'duo'zheng
非诺贝特,fei'nuo'bei'te
肥胖性生殖器退化,fei'pang'xing'sheng'zhi'qi'tui'hua
腓神经瘫痪,fei'shen'jing'tan'huan
菲斯特内病,fei'si'te'nei'bing
肺性脑病,fei'xing'nao'bing
飞行员精神衰弱,fei'xing'yuan'jing'shen'shuai'ruo
废用性缺陷,fei'yong'xing'que'xian
非洲脑膜炎,fei'zhou'nao'mo'yan
粪便,fen'bian
芬布芬,fen'bu'fen
分离性感觉丧失,fen'li'xing'gan'jue'sang'shi
芬那露,fen'na'lu
奋乃静,fen'nai'jing
酚噻嗪,fen'sai'qin
分子层,fen'zi'ceng
风湿性多发性肌痛,feng'shi'xing'duo'fa'xing'ji'tong
丰塔纳条纹神经干切面的横文,feng'ta'na'tiao'wen'shen'jing'gan'qie'mian'de'heng'wen
蜂窝织炎,feng'wo'zhi'yan
氟安定,fu'an'ding
氟苯氧丙胺,fu'ben'yang'bing'an
腹壁反射,fu'bi'fan'she
呋苄青霉素,fu'bian'qing'mei'su
幅度,fu'du
复发,fu'fa
氟奋乃静,fu'fen'nai'jing
氟桂嗪,fu'gui'qin
副核,fu'he
弗霍希瓦特病,fu'huo'xi'wa'te'bing
