阿里巴巴,a'li'ba'ba
耗材,hao'cai
好评,hao'ping
护法,hu'fa
护肤,hu'fu
户外,hu'wai
护洗袋,hu'xi'dai
换好评,huan'hao'ping
皇冠,huang'guan
黄金,huang'jin
婚庆,hun'qing
机票,ji'piao
家具,jia'ju
家居,jia'ju
家庭影院,jia'ting'ying'yuan
假一赔三,jia'yi'pei'san
家用电器,jia'yong'dian'qi
家政,jia'zheng
见面交易,jian'mian'jiao'yi
健身,jian'shen
竞价排名,jing'jia'pai'ming
竞拍,jing'pai
居家日用,ju'jia'ri'yong
军品,jun'pin
卡通,ka'tong
靠垫,kao'dian
客服,ke'fu
口碑网,kou'bei'wang
快邮,kuai'you
篮球彩,lan'qiu'cai
零食,ling'shi
流行首饰,liu'xing'shou'shi
录音笔,lu'yin'bi
旅游,lv'you
买家,mai'jia
卖家,mai'jia
美容健身卡,mei'rong'jian'shen'ka
美体,mei'ti
门票,men'piao
明星,ming'xing
魔豆宝宝,mo'dou'bao'bao
摩托,mo'tuo
模型,mo'xing
模板,mu'ban
母婴,mu'ying
母婴用品,mu'ying'yong'pin
奶粉,nai'fen
男装,nan'zhuang
内裤,nei'ku
内衣,nei'yi
内衣盒,nei'yi'he
女鞋,nv'xie
女装,nv'zhuang
排列三,pai'lie'san
排列五,pai'lie'wu
拍买,pai'mai
拍卖,pai'mai
拍拍,pai'pai
配件,pei'jian
批发,pi'fa
品牌商场,pin'pai'shang'chang
平邮,ping'you
铺货,pu'huo
汽车,qi'che
气泡膜,qi'pao'mo
七天退换,qi'tian'tui'huan
七星彩,qi'xing'cai
亲子装,qin'zi'zhuang
情趣内衣,qing'qu'nei'yi
全球购,quan'qiu'gou
群发,qun'fa
任选九场,ren'xuan'jiu'chang
如实描述,ru'shi'miao'shu
瑞士军刀,rui'shi'jun'dao
三心,san'xin
三钻,san'zuan
晒衣篮,shai'yi'lan
闪电发货,shan'dian'fa'huo
商盟,shang'meng
商铺,shang'pu
摄像机,she'xiang'ji
申通,shen'tong
胜负彩,sheng'fu'cai
实名认证,shi'ming'ren'zheng
食品,shi'pin
饰品,shi'pin
时尚饰品,shi'shang'shi'pin
时时彩,shi'shi'cai
时时乐,shi'shi'le
师爷府,shi'ye'fu
手表,shou'biao
收藏,shou'cang
收货,shou'huo
手机,shou'ji
书籍,shu'ji
数码配件,shu'ma'pei'jian
数码相机,shu'ma'xiang'ji
数字证书,shu'zi'zheng'shu
双色球,shuang'se'qiu
顺丰,shun'feng
四心,si'xin
四钻,si'zuan
台式整机,tai'shi'zheng'ji
淘宝店小二,tao'bao'dian'xiao'er
淘宝集市,tao'bao'ji'shi
淘宝商城,tao'bao'shang'cheng
淘宝商盟,tao'bao'shang'meng
淘宝网,tao'bao'wang
淘宝旺旺,tao'bao'wang'wang
淘宝助理,tao'bao'zhu'li
淘友,tao'you
淘友互助吧,tao'you'hu'zhu'ba
特卖汇,te'mai'hui
体彩,ti'cai
提现,ti'xian
天天,tian'tian
同城交易,tong'cheng'jiao'yi
童装,tong'zhuang
图形冲印,tu'xing'chong'yin
团购,tuan'gou
推广位,tui'guang'wei
推荐物流,tui'jian'wu'liu
退款,tui'kuan
玩具,wan'ju
网店,wang'dian
网店服务,wang'dian'fu'wu
网络服务,wang'luo'fu'wu
网络设备,wang'luo'she'bei
网络游戏,wang'luo'you'xi
旺铺,wang'pu
网商,wang'shang
网上银行,wang'shang'yin'hang
旺旺,wang'wang
旺旺大本营,wang'wang'da'ben'ying
旺旺群,wang'wang'qun
卫浴,wei'yu
文具,wen'ju
五金,wu'jin
物流,wu'liu
五心,wu'xin
五钻,wu'zuan
洗衣袋,xi'yi'dai
鲜花速递,xian'hua'su'di
先行赔付,xian'xing'pei'fu
箱包,xiang'bao
香水,xiang'shui
消保,xiao'bao
小二,xiao'er
消费者保障计划,xiao'fei'zhe'bao'zhang'ji'hua
鞋帽,xie'mao
信用炒作,xin'yong'chao'zuo
虚拟商品,xu'ni'shang'pin
雅虎,ya'hu
眼镜,yan'jing
移动联通充值中心,yi'dong'lian'tong'chong'zhi'zhong'xin
宜家,yi'jia
一口价,yi'kou'jia
已卖出的宝贝,yi'mai'chu'de'bao'bei
易趣,yi'qu
一心,yi'xin
一钻,yi'zuan
音乐,yin'yue
婴儿服,ying'er'fu
影视,ying'shi
邮宝,you'bao
邮币,you'bi
邮费,you'fei
圆通,yuan'tong
园艺花艺,yuan'yi'hua'yi
乐器,yue'qi
韵达,yun'da
运动,yun'dong
孕妇装,yun'fu'zhuang
杂志,za'zhi
脏衣篮,zang'yi'lan
宅急送,zhai'ji'song
掌门,zhang'men
招财进宝,zhao'cai'jin'bao
正品保障,zheng'pin'bao'zhang
支付宝,zhi'fu'bao
支付宝卡通,zhi'fu'bao'ka'tong
支付卡,zhi'fu'ka
支付密码,zhi'fu'mi'ma
直通车,zhi'tong'che
中评,zhong'ping
中通,zhong'tong
周末疯狂购,zhou'mo'feng'kuang'gou
珠宝,zhu'bao
住宅,zhu'zhai
装饰,zhuang'shi
滋补品,zi'bu'pin
自动发货,zi'dong'fa'huo
自封袋,zi'feng'dai
字画,zi'hua
自取,zi'qu
自行车,zi'xing'che
足彩,zu'cai
足彩单场,zu'cai'dan'chang
钻石,zuan'shi
