阿米果,a'mi'guo
怪好听,guai'hao'ting
怪好玩,guai'hao'wan
怪好呀,guai'hao'ya
怪好用,guai'hao'yong
怪黑,guai'hei
怪狠,guai'hen
怪会,guai'hui
怪急,guai'ji
怪急人,guai'ji'ren
怪简单,guai'jian'dan
怪近,guai'jin
怪久,guai'jiu
怪俊,guai'jun
怪可爱,guai'ke'ai
怪快,guai'kuai
怪老实,guai'lao'shi
怪累吧,guai'lei'ba
怪厉害,guai'li'hai
怪凉快,guai'liang'kuai
怪忙,guai'mang
怪忙啊,guai'mang'a
怪忙吗,guai'mang'ma
怪难看,guai'nan'kan
怪牛逼,guai'niu'bi
怪便宜,guai'pian'yi
怪漂亮,guai'piao'liang
怪气人,guai'qi'ren
怪强,guai'qiang
怪生气,guai'sheng'qi
怪舒服,guai'shu'fu
怪帅,guai'shuai
怪爽,guai'shuang
怪晚了,guai'wan'le
怪喜欢,guai'xi'huan
怪喜人,guai'xi'ren
怪小,guai'xiao
怪辛苦,guai'xin'ku
怪严重,guai'yan'zhong
怪有钱,guai'you'qian
怪有意思,guai'you'yi'si
怪远,guai'yuan
怪准,guai'zhun
罐罐香,guan'guan'xiang
冠鲁,guan'lu
冠亚星城,guan'ya'xing'cheng
官庄,guan'zhuang
官庄村,guan'zhuang'cun
广场附近,guang'chang'fu'jin
光棍子,guang'gun'zi
逛街来,guang'jie'lai
光这样,guang'zhe'yang
归昌,gui'chang
贵人道,gui'ren'dao
滚逼得,gun'bi'de
滚蛋的,gun'dan'de
锅饼,guo'bing
还不吃的,hai'bu'chi'de
还不睡觉的,hai'bu'shui'jiao'de
还吃吧,hai'chi'ba
还出来吧,hai'chu'lai'ba
还出去吧,hai'chu'qu'ba
还怪多,hai'guai'duo
还怪好,hai'guai'hao
还怪忙,hai'guai'mang
海关路,hai'guan'lu
还回来吧,hai'hui'lai'ba
还回去吧,hai'hui'qu'ba
还来吧,hai'lai'ba
海浪谷,hai'lang'gu
还买吧,hai'mai'ba
还没洗刷,hai'mei'xi'shua
还木吃,hai'mu'chi
还木起,hai'mu'qi
还难受吧,hai'nan'shou'ba
还强点,hai'qiang'dian
还去吧,hai'qu'ba
还上班的,hai'shang'ban'de
还上学吧,hai'shang'xue'ba
还上学的,hai'shang'xue'de
海水澡,hai'shui'zao
还疼吧,hai'teng'ba
还玩吧,hai'wan'ba
还喜,hai'xi
还下雨吧,hai'xia'yu'ba
还要人吧,hai'yao'ren'ba
还用吧,hai'yong'ba
还在家的,hai'zai'jia'de
还在临沂,hai'zai'lin'yi
还早来,hai'zao'lai
还怎的,hai'zen'de
还怎么了,hai'zen'me'le
孩子都这么大了,hai'zi'dou'zhe'me'da'le
韩一馆,han'yi'guan
韩宇来,han'yu'lai
行风热线,hang'feng're'xian
好滴嘛,hao'di'ma
好滴么,hao'di'me
好滴那,hao'di'na
好好百货,hao'hao'bai'huo
好记着,hao'ji'zhe
豪森华府,hao'sen'hua'fu
好想想,hao'xiang'xiang
好想着,hao'xiang'zhe
好宜家,hao'yi'jia
河东,he'dong
河东的,he'dong'de
河东了,he'dong'le
河东区,he'dong'qu
河东一中,he'dong'yi'zhong
和谁聊天的,he'shei'liao'tian'de
和谁一起的,he'shei'yi'qi'de
和谐广场,he'xie'guang'chang
喝一气,he'yi'qi
狠死了,hen'si'le
红嫂,hong'sao
红石湖,hong'shi'hu
红石寨,hong'shi'zhai
后护板,hou'hu'ban
后十,hou'shi
后园,hou'yuan
胡黑,hu'hei
胡家庄,hu'jia'zhuang
湖南崖,hu'nan'ya
护台,hu'tai
湖西崖,hu'xi'ya
胡译文,hu'yi'wen
化武路,hua'wu'lu
坏好啊,huai'hao'a
坏好吃,huai'hao'chi
坏好看,huai'hao'kan
坏好玩,huai'hao'wan
坏难受,huai'nan'shou
坏帅,huai'shuai
坏爽,huai'shuang
环球国际,huan'qiu'guo'ji
黄墩,huang'dun
皇山,huang'shan
黄山镇,huang'shan'zhen
回苍山,hui'cang'shan
回费县,hui'fei'xian
慧谷时空,hui'gu'shi'kong
回莒南,hui'ju'nan
回来着,hui'lai'zhe
回聊哈,hui'liao'ha
回临沭,hui'lin'shu
回临沂,hui'lin'yi
回临沂了,hui'lin'yi'le
回平邑,hui'ping'yi
回去着,hui'qu'zhe
回郯城,hui'tan'cheng
回沂水,hui'yi'shui
伙房,huo'fang
记不着,ji'bu'zhao
基础训练,ji'chu'xun'lian
集集小镇,ji'ji'xiao'zhen
家底子,jia'di'zi
家电厨卫城,jia'dian'chu'wei'cheng
家雀子,jia'qiao'zi
家住临沂,jia'zhu'lin'yi
家走,jia'zou
家走了,jia'zou'le
煎饼卷大葱,jian'bing'juan'da'cong
减退货款,jian'tui'huo'kuan
江泉,jiang'quan
江泉城,jiang'quan'cheng
教干,jiao'gan
交汇,jiao'hui
交汇处,jiao'hui'chu
焦见韦,jiao'jian'wei
蛟龙镇,jiao'long'zhen
叫你死,jiao'ni'si
叫什么来,jiao'shen'me'lai
叫他死,jiao'ta'si
焦庄,jiao'zhuang
界湖,jie'hu
界湖镇,jie'hu'zhen
节流猴子,jie'liu'hou'zi
金碧花园,jin'bi'hua'yuan
金鼎国际,jin'ding'guo'ji
金二路,jin'er'lu
金龟,jin'gui
金龟馅饼,jin'gui'xian'bing
金桂园,jin'gui'yuan
金海歌,jin'hai'ge
金海汇,jin'hai'hui
金九路,jin'jiu'lu
金六路,jin'liu'lu
晋妈妈,jin'ma'ma
金明寓,jin'ming'yu
金七路,jin'qi'lu
金雀,jin'que
金雀山,jin'que'shan
金雀山路,jin'que'shan'lu
金三路,jin'san'lu
金属城,jin'shu'cheng
金四路,jin'si'lu
金坛路,jin'tan'lu
金五路,jin'wu'lu
锦绣蓝山,jin'xiu'lan'shan
锦绣外滩,jin'xiu'wai'tan
金阳花园,jin'yang'hua'yuan
金一路,jin'yi'lu
金沂蒙,jin'yi'meng
金鹰家电,jin'ying'jia'dian
金玉山,jin'yu'shan
金源路,jin'yuan'lu
金正大,jin'zheng'da
金正阳,jin'zheng'yang
京鼎香,jing'ding'xiang
就罢了,jiu'ba'le
就不孬,jiu'bu'nao
就不孬了,jiu'bu'nao'le
就怪好,jiu'guai'hao
就光想,jiu'guang'xiang
九间棚,jiu'jian'peng
九曲,jiu'qu
九曲镇,jiu'qu'zhen
就是嫩,jiu'shi'nen
就算完,jiu'suan'wan
就在临沂,jiu'zai'lin'yi
旧寨,jiu'zhai
就真好,jiu'zhen'hao
九州超市,jiu'zhou'chao'shi
聚才,ju'cai
聚财路,ju'cai'lu
莒南,ju'nan
莒南吧,ju'nan'ba
莒南的,ju'nan'de
莒南了,ju'nan'le
莒南人,ju'nan'ren
莒南县,ju'nan'xian
莒南一中,ju'nan'yi'zhong
觉不到,jue'bu'dao
觉不着,jue'bu'zhao
浚河路,jun'he'lu
军检线,jun'jian'xian
开门头,kai'men'tou
开心汤姆,kai'xin'tang'mu
开阳路,kai'yang'lu
开元上城,kai'yuan'shang'cheng
看电视的,kan'dian'shi'de
看电视剧的,kan'dian'shi'ju'de
看孩子的,kan'hai'zi'de
看看你来,kan'kan'ni'lai
看看着,kan'kan'zhe
看看着吧,kan'kan'zhe'ba
看空间的,kan'kong'jian'de
看门头,kan'men'tou
看你就够了,kan'ni'jiu'gou'le
看是的,kan'shi'de
看小孩的,kan'xiao'hai'de
看新闻的,kan'xin'wen'de
看着了吧,kan'zhe'le'ba
看着了吗,kan'zhe'le'ma
靠死了,kao'si'le
可别了,ke'bie'le
柯剑锋,ke'jian'feng
可以的亲,ke'yi'de'qin
可怎卓,ke'zen'zhuo
肯定的哈,ken'ding'de'ha
扣你眼,kou'ni'yan
库沟,ku'gou
宽快,kuan'kuai
拉呱,la'gua
拉呱啊,la'gua'a
拉呱的,la'gua'de
拉呱来,la'gua'lai
拉呱了,la'gua'le
辣椒炒肉,la'jiao'chao'rou
辣椒肉,la'jiao'rou
拉拉呱,la'la'gua
啦啦话,la'la'hua
啦什么,la'shen'me
拉屎的,la'shi'de
来费县,lai'fei'xian
来好事,lai'hao'shi
来家了吗,lai'jia'le'ma
来莒南,lai'ju'nan
来临沭,lai'lin'shu
来临沂,lai'lin'yi
来临沂吧,lai'lin'yi'ba
来临沂了,lai'lin'yi'le
来罗庄,lai'luo'zhuang
来平邑,lai'ping'yi
来山东,lai'shan'dong
来是的,lai'shi'de
来他的,lai'ta'de
来泰安,lai'tai'an
来郯城,lai'tan'cheng
来沂水,lai'yi'shui
澜泊湾,lan'bo'wan
兰陵,lan'ling
兰陵镇,lan'ling'zhen
兰山,lan'shan
兰山的,lan'shan'de
兰山店,lan'shan'dian
兰山教育,lan'shan'jiao'yu
兰山路,lan'shan'lu
兰山区,lan'shan'qu
兰山小区,lan'shan'xiao'qu
蓝天步行街,lan'tian'bu'xing'jie
蓝湾国际,lan'wan'guo'ji
浪死了,lang'si'le
浪死你,lang'si'ni
琅琊网,lang'ya'wang
捞不,lao'bu
老不去,lao'bu'qu
老钢材,lao'gang'cai
涝坡镇,lao'po'zhen
老橡树,lao'xiang'shu
了不敌,le'bu'di
李凤山,li'feng'shan
李公河,li'gong'he
李官,li'guan
李官镇,li'guan'zhen
厉家寨,li'jia'zhai
利民街,li'min'jie
李培刚,li'pei'gang
李善新,li'shan'xin
力士德,li'shi'de
理想家,li'xiang'jia
李庄,li'zhuang
李庄镇,li'zhuang'zhen
联安现代城,lian'an'xian'dai'cheng
梁邱镇,liang'qiu'zhen
聊些什么呢,liao'xie'shen'me'ne
林村,lin'cun
临大,lin'da
临港区,lin'gang'qu
临工,lin'gong
临涧,lin'jian
临矿,lin'kuang
临商银行,lin'shang'yin'hang
临沭,lin'shu
临沭吧,lin'shu'ba
临沭的,lin'shu'de
临沭了,lin'shu'le
临沭县,lin'shu'xian
临沭一中,lin'shu'yi'zhong
临沭镇,lin'shu'zhen
临西,lin'xi
临西八路,lin'xi'ba'lu
临西二路,lin'xi'er'lu
临西六路,lin'xi'liu'lu
临西七路,lin'xi'qi'lu
临西三路,lin'xi'san'lu
临西五路,lin'xi'wu'lu
临西一路,lin'xi'yi'lu
临沂,lin'yi
临沂啊,lin'yi'a
临沂吧,lin'yi'ba
临沂百姓网,lin'yi'bai'xing'wang
临沂办,lin'yi'ban
临沂北,lin'yi'bei
临沂宾馆,lin'yi'bin'guan
临沂大学,lin'yi'da'xue
临沂大学的,lin'yi'da'xue'de
临沂到,lin'yi'dao
临沂的,lin'yi'de
临沂的嘛,lin'yi'de'ma
临沂地图,lin'yi'di'tu
临沂店,lin'yi'dian
临沂二路,lin'yi'er'lu
临沂二中,lin'yi'er'zhong
临沂饭店,lin'yi'fan'dian
临沂分公司,lin'yi'fen'gong'si
临沂分行,lin'yi'fen'hang
临沂海棠,lin'yi'hai'tang
临沂河东,lin'yi'he'dong
临沂话,lin'yi'hua
临沂火车站,lin'yi'huo'che'zhan
临沂教育,lin'yi'jiao'yu
临沂来,lin'yi'lai
临沂兰山,lin'yi'lan'shan
临沂了,lin'yi'le
临沂了吗,lin'yi'le'ma
临沂罗庄,lin'yi'luo'zhuang
临沂吗,lin'yi'ma
临沂那,lin'yi'na
临沂哪的,lin'yi'na'de
临沂哪里,lin'yi'na'li
临沂哪里的,lin'yi'na'li'de
临沂呢,lin'yi'ne
临沂汽车站,lin'yi'qi'che'zhan
临沂人,lin'yi'ren
临沂人民,lin'yi'ren'min
临沂人事,lin'yi'ren'shi
临沂三中,lin'yi'san'zhong
临沂市,lin'yi'shi
临沂师范学院,lin'yi'shi'fan'xue'yuan
临沂市兰山区,lin'yi'shi'lan'shan'qu
临沂四中,lin'yi'si'zhong
临沂天气,lin'yi'tian'qi
临沂天气预报,lin'yi'tian'qi'yu'bao
临沂玩,lin'yi'wan
临沂卫校,lin'yi'wei'xiao
临沂信息港,lin'yi'xin'xi'gang
临沂呀,lin'yi'ya
临沂沂水,lin'yi'yi'shui
临沂一中,lin'yi'yi'zhong
临沂有,lin'yi'you
临沂在线,lin'yi'zai'xian
临沂站,lin'yi'zhan
临沂这边,lin'yi'zhe'bian
林庄,lin'zhuang
岭泉,ling'quan
岭泉镇,ling'quan'zhen
柳编,liu'bian
刘店子,liu'dian'zi
六和,liu'he
刘南宅,liu'nan'zhai
柳青苑,liu'qing'yuan
刘勺妹,liu'shao'mei
刘中波,liu'zhong'bo
龙城华庭,long'cheng'hua'ting
隆达,long'da
龙家圈,long'jia'quan
龙潭路,long'tan'lu
龙之媒,long'zhi'mei
鲁城,lu'cheng
鲁南,lu'nan
鲁南制药,lu'nan'zhi'yao
鲁盛,lu'sheng
鲁信,lu'xin
路镇,lu'zhen
鲁洲,lu'zhou
芦柞,lu'zuo
落落你,luo'luo'ni
落落我,luo'luo'wo
罗马皇宫,luo'ma'huang'gong
罗七路,luo'qi'lu
罗四路,luo'si'lu
罗庄,luo'zhuang
罗庄的,luo'zhuang'de
罗庄店,luo'zhuang'dian
罗庄了,luo'zhuang'le
罗庄区,luo'zhuang'qu
马厂湖,ma'chang'hu
麻利滴,ma'li'di
马陵山,ma'ling'shan
马牧池,ma'mu'chi
骂谁的,ma'shui'de
马头镇,ma'tou'zhen
马晓丽,ma'xiao'li
马扎子,ma'zha'zi
马站,ma'zhan
麦乐星,mai'le'xing
买是的,mai'shi'de
买衣服来,mai'yi'fu'lai
漫步佳人,man'bu'jia'ren
曼德夫,man'de'fu
慢慢的就好了,man'man'de'jiu'hao'le
忙的什么,mang'de'shen'me
忙么的,mang'me'de
忙啥的,mang'sha'de
忙什的,mang'shen'de
忙什么的,mang'shen'me'de
忙什么额,mang'shen'me'e
忙什么来,mang'shen'me'lai
忙着的,mang'zhe'de
毛包,mao'bao
梅埠,mei'bu
没定亲,mei'ding'qin
美食园,mei'shi'yuan
没试着,mei'shi'zhe
没有嫩,mei'you'nen
没怎的,mei'zen'de
没住下,mei'zhu'xia
门头的,men'tou'de
门头了,men'tou'le
门头上,men'tou'shang
孟良崮,meng'liang'gu
蒙山,meng'shan
蒙山大道,meng'shan'da'dao
蒙山沂水,meng'shan'yi'shui
蒙阴,meng'yin
蒙阴吧,meng'yin'ba
蒙阴的,meng'yin'de
蒙阴了,meng'yin'le
蒙阴县,meng'yin'xian
蒙阴一中,meng'yin'yi'zhong
米豆,mi'dou
妙福,miao'fu
庙山,miao'shan
庙山镇,miao'shan'zhen
苗庄,miao'zhuang
苗庄小区,miao'zhuang'xiao'qu
明德花园,ming'de'hua'yuan
明天去临沂,ming'tian'qu'lin'yi
明天这,ming'tian'zhe
磨山,mo'shan
木出去,mu'chu'qu
木滴,mu'di
木动静,mu'dong'jing
木给,mu'gei
木几,mu'ji
母鸡汤,mu'ji'tang
木接,mu'jie
木觉得,mu'jue'de
木看懂,mu'kan'dong
木看着,mu'kan'zhe
木起,mu'qi
木什么,mu'shen'me
木数,mu'shu
木睡觉,mu'shui'jiao
木说你,mu'shuo'ni
木死,mu'si
木完,mu'wan
木完了,mu'wan'le
木有嫩,mu'you'nen
木怎么,mu'zen'me
木张,mu'zhang
木找,mu'zhao
木治,mu'zhi
木治了,mu'zhi'le
那白搭,na'bai'da
那不怪好,na'bu'guai'hao
那不孬,na'bu'nao
拿点药吃,na'dian'yao'chi
那怪好,na'guai'hao
那话头,na'hua'tou
拿劲,na'jin
拿款,na'kuan
那忙什么,na'mang'shen'me
那没治,na'mei'zhi
那你干嘛的,na'ni'gan'ma'de
哪有来,na'you'lai
哪怎么,na'zen'me
那怎弄,na'zen'nong
哪庄,na'zhuang
哪庄的,na'zhuang'de
奶比,nai'bi
奶不,nai'bu
奶奶比,nai'nai'bi
奶奶个比,nai'nai'ge'bi
奶奶个头,nai'nai'ge'tou
南道,nan'dao
南坊,nan'fang
南坊的,nan'fang'de
南古,nan'gu
南古镇,nan'gu'zhen
南外环,nan'wai'huan
南张庄乡,nan'zhang'zhuang'xiang
男主人,nan'zhu'ren
男主人在,nan'zhu'ren'zai
囊吧,nang'ba
孬的,nao'de
孬好,nao'hao
闹玩的,nao'wan'de
嫩老婆,nen'lao'po
嫩妈妈,nen'ma'ma
嫩庄,nen'zhuang
能出来吧,neng'chu'lai'ba
能死了,neng'si'le
能死你了,neng'si'ni'le
能些,neng'xie
能行吧,neng'xing'ba
你才是来,ni'cai'shi'lai
你从哪的,ni'cong'na'de
你从哪里的,ni'cong'na'li'de
你定亲,ni'ding'qin
你毒,ni'du
你干嘛的,ni'gan'ma'de
你干嘛的啊,ni'gan'ma'de'a
你干嘛的呀,ni'gan'ma'de'ya
你干嘛地,ni'gan'ma'di
你干嘛来啊,ni'gan'ma'lai'a
你干么的,ni'gan'me'de
你干么来,ni'gan'me'lai
你干什么的,ni'gan'shen'me'de
你干什么工作的,ni'gan'shen'me'gong'zuo'de
你干什么来,ni'gan'shen'me'lai
你干熊,ni'gan'xiong
你干熊的,ni'gan'xiong'de
你个哪的,ni'ge'na'de
你怪好,ni'guai'hao
你怪忙,ni'guai'mang
你怪能,ni'guai'neng
你还回来吧,ni'hai'hui'lai'ba
你还来吧,ni'hai'lai'ba
你还去吧,ni'hai'qu'ba
你还上学吧,ni'hai'shang'xue'ba
你还想什么,ni'hai'xiang'shen'me
你还行吧,ni'hai'xing'ba
你好看看,ni'hao'kan'kan
你河东,ni'he'dong
你和谁一起的,ni'he'shui'yi'qi'de
你叫什么来,ni'jiao'shen'me'lai
你看办,ni'kan'ban
你看什么的,ni'kan'shen'me'de
你看行吧,ni'kan'xing'ba
你困吧,ni'kun'ba
你来临沂,ni'lai'lin'yi
你来是的,ni'lai'shi'de
你冷吧,ni'leng'ba
你临沂,ni'lin'yi
你麻利,ni'ma'li
你忙就是,ni'mang'jiu'shi
你忙啥的,ni'mang'sha'de
你忙什么的,ni'mang'shen'me'de
你哪庄,ni'na'zhuang
你去临沂,ni'qu'lin'yi
你热吧,ni're'ba
你傻屌,ni'sha'diao
