阿泊加,a'bo'jia
科研成果编号,ke'yan'cheng'guo'bian'hao
科研计划,ke'yan'ji'hua
科研项目分题,ke'yan'xiang'mu'fen'ti
科研项目申报,ke'yan'xiang'mu'shen'bao
空白支票金额,kong'bai'zhi'piao'jin'e
空白支票张数,kong'bai'zhi'piao'zhang'shu
扣除金额,kou'chu'jin'e
扣分标准,kou'fen'biao'zhun
扣分理由,kou'fen'li'you
来源代码,lai'yuan'dai'ma
类别编号,lei'bie'bian'hao
类别名称,lei'bie'ming'cheng
累计费用,lei'ji'fei'yong
类型,lei'xing
类型编号,lei'xing'bian'hao
类型名称,lei'xing'ming'cheng
链霉素过敏,lian'mei'su'guo'min
联系地址,lian'xi'di'zhi
联系电话,lian'xi'dian'hua
联系关系,lian'xi'guan'xi
联系人名,lian'xi'ren'ming
联系邮编,lian'xi'you'bian
良发分值,liang'fa'fen'zhi
列标题,lie'biao'ti
列层次,lie'ceng'ci
列体系,lie'ti'xi
列约束,lie'yue'shu
临床诊断,lin'chuang'zhen'duan
临时发票,lin'shi'fa'piao
领导批示,ling'dao'pi'shi
领用日期,ling'yong'ri'qi
留观病人结算,liu'guan'bing'ren'jie'suan
留观病人入院,liu'guan'bing'ren'ru'yuan
留观床位设置,liu'guan'chuang'wei'she'zhi
留观费用明细,liu'guan'fei'yong'ming'xi
留观缴款作废,liu'guan'jiao'kuan'zuo'fei
留观结算明细,liu'guan'jie'suan'ming'xi
留观结算作废,liu'guan'jie'suan'zuo'fei
留观收款结帐信息,liu'guan'shou'kuan'jie'zhang'xin'xi
留观退补缴款,liu'guan'tui'bu'jiao'kuan
留观用药,liu'guan'yong'yao
留观作废票据,liu'guan'zuo'fei'piao'ju
六经小计,liu'jing'xiao'ji
轮转纪录,lun'zhuan'ji'lu
逻辑类名,luo'ji'lei'ming
麻醉代码,ma'zui'dai'ma
麻醉方式,ma'zui'fang'shi
麻醉费归并项,ma'zui'fei'gui'bing'xiang
麻醉例数,ma'zui'li'shu
麻醉死亡,ma'zui'si'wang
麻醉医师,ma'zui'yi'shi
脉搏,mai'bo
脉搏次数,mai'bo'ci'shu
满分分值,man'fen'fen'zhi
每次递增数,mei'ci'di'zeng'shu
每次剂量,mei'ci'ji'liang
每次时间,mei'ci'shi'jian
每次限量,mei'ci'xian'liang
每日次数,mei'ri'ci'shu
每日限量,mei'ri'xian'liang
门出不符,men'chu'bu'fu
门出符合,men'chu'fu'he
门出疑诊,men'chu'yi'zhen
门诊病人档案,men'zhen'bing'ren'dang'an
门诊病人帐户,men'zhen'bing'ren'zhang'hu
门诊处方表,men'zhen'chu'fang'biao
门诊处方表历史,men'zhen'chu'fang'biao'li'shi
门诊关联,men'zhen'guan'lian
门诊号码,men'zhen'hao'ma
门诊就诊,men'zhen'jiu'zhen
门诊科室,men'zhen'ke'shi
门诊科室核算汇总表,men'zhen'ke'shi'he'suan'hui'zong'biao
门诊科室核算明细表,men'zhen'ke'shi'he'suan'ming'xi'biao
门诊类别,men'zhen'lei'bie
门诊名称,men'zhen'ming'cheng
门诊人次,men'zhen'ren'ci
门诊收费付款信息,men'zhen'shou'fei'fu'kuan'xin'xi
门诊收费付款信息历史表,men'zhen'shou'fei'fu'kuan'xin'xi'li'shi'biao
门诊收费日报,men'zhen'shou'fei'ri'bao
门诊收费信息,men'zhen'shou'fei'xin'xi
门诊收费信息历史,men'zhen'shou'fei'xin'xi'li'shi
门诊序号,men'zhen'xu'hao
门诊医技单表,men'zhen'yi'ji'dan'biao
门诊医技单表历史,men'zhen'yi'ji'dan'biao'li'shi
门诊医生,men'zhen'yi'sheng
门诊医生排班,men'zhen'yi'sheng'pai'ban
门诊医师,men'zhen'yi'shi
门诊员工票据,men'zhen'yuan'gong'piao'ju
门诊诊断,men'zhen'zhen'duan
民族代码,min'zu'dai'ma
名称,ming'cheng
名族代码,ming'zu'dai'ma
默认标志,mo'ren'biao'zhi
模板编号,mu'ban'bian'hao
模板名称,mu'ban'ming'cheng
目标考核法,mu'biao'kao'he'fa
目标值,mu'biao'zhi
难产分娩,nan'chan'fen'mian
内部类别,nei'bu'lei'bie
内容,nei'rong
年龄,nian'ling
年龄标志,nian'ling'biao'zhi
年龄不详,nian'ling'bu'xiang
年龄新生,nian'ling'xin'sheng
排队序号,pai'dui'xu'hao
排列序号,pai'lie'xu'hao
排泄障碍,pai'xie'zhang'ai
陪床费归并项,pei'chuang'fei'gui'bing'xiang
培训单位,pei'xun'dan'wei
培训对象,pei'xun'dui'xiang
培训计划单号,pei'xun'ji'hua'dan'hao
培训天数,pei'xun'tian'shu
配药标志,pei'yao'biao'zhi
配药工号,pei'yao'gong'hao
皮肤状态,pi'fu'zhuang'tai
皮试结果,pi'shi'jie'guo
皮试判别,pi'shi'pan'bie
皮试时间,pi'shi'shi'jian
皮试医生,pi'shi'yi'sheng
票据号码,piao'ju'hao'ma
票据类别,piao'ju'lei'bie
票据类型,piao'ju'lei'xing
拼音代码,pin'yin'dai'ma
评分人,ping'fen'ren
评分设置,ping'fen'she'zhi
评分时间,ping'fen'shi'jian
评分项目,ping'fen'xiang'mu
评分项目编号,ping'fen'xiang'mu'bian'hao
评估单号,ping'gu'dan'hao
评估时间,ping'gu'shi'jian
评价单号,ping'jia'dan'hao
评价名称,ping'jia'ming'cheng
评价内容,ping'jia'nei'rong
评价人员,ping'jia'ren'yuan
评价日期,ping'jia'ri'qi
评价设置,ping'jia'she'zhi
评价时间,ping'jia'shi'jian
评审单位,ping'shen'dan'wei
评审时间,ping'shen'shi'jian
凭证号码,ping'zheng'hao'ma
凭证类型,ping'zheng'lei'xing
凭证类型名称,ping'zheng'lei'xing'ming'cheng
凭证类型刷新标志,ping'zheng'lei'xing'shua'xin'biao'zhi
凭证名称,ping'zheng'ming'cheng
凭证说明,ping'zheng'shuo'ming
破裂合计,po'lie'he'ji
破裂情况,po'lie'qing'kuang
剖腹分娩,pou'fu'fen'mian
